#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fabB//epd//
FliZ	ddlB//pgaD//qseB//citX//nuoG//ynbB//lysA//glmS//citX//ydeI//yoeB//dsbA//relE//xapB//nupC//fucR//paaF//wcaB//fecE//hdeB//phnE_1//
FucR	chbF//torA//ybdZ//nfo//flgC//ydhY//araE//
Fur	asnA//paaZ//trpR//hisQ//yoaG//mdtC//ycjF//sra//yjbF//hdeD//metA//ybjG//sdhC//tehA//moeB//dnaN//bamE//prpE//rpmI//nadB//napF//lgoR//cspI//yjeV//argR//prpD//tktB//lsrF//astD//psd//zraS//recN//malQ//ygbK//gpmA//acrR//moaA//thrS//ftsQ//araH//astB//rbsB//bioA//argD//bluF//wzc//dhaL//cysP//yciG//fabH//bioA//bamE//omrB//narG//appA//fliD//ihfA//ftnB//casC//flgI//lysR//moeA//gabD//fliK//qseB//glcC//micF//higA//yeaG//higB//ahpC//glxK//nuoM//fliS//rffG//htpG//ptsG//ygbA//puuB//glcB//mdtD//rseB//nanA//argG//leuO//fes//sucA//caiA//narX//hydN//cyoB//yhjC//cydA//yfiB//cbl//patD//asnB//napB//ada//fhuF//nrfF//caiE//pspG//sufC//prpR//fixX//rffT//yoeB//yjiY//ttdR//paaH//rbfA//fadM//rpoE//yedX//frdC//rpmA//argH//ulaG//iraP//mazE//purD//glnH//dnaN//caiE//dgkA//dctR//creA//ugpE//dmsB//
GadE	dcuS//rfe//creA//ybjC//skp//mhpC//dhaK//lacY//uvrD//rutG//tomB//uvrB//feaB//argR//potF//ndh//kdpF//purH//aidB//cas1//intQ//entD//gudD//mlrA//ymiA//aceA//yhiM//agaA//nfsB//
GadE-RcsB	metI//relE//uvrA//hycF//mhpD//ydhY//ykiA//rbsR//fau//
GadW	ybbW//hdeD//psd//gspC//tomB//yeaD//pgpC//yfdX//marR//ftsK//ompW//tktB//pspG//pgaA//glnL//
GadX	yjhC//pheT//fucP//higA//fabA//pykF//betT//ompC//prpE//nikE//seqA//pspF//uspD//melA//glnH//flgJ//gadB//hyaE//ddpX//lolA//rhaS//chbF//lysA//gltD//hybG//yciW//yeaE//marR//nikA//
GalR	yfaE//hdeA//kdpC//dhaL//fumB//cyoA//ftsK//fliG//uxuR//rnlB//
GalS	btuB//tyrP//asnC//flhA//ygbK//purB//ugpC//uspE//tdcC//rcnA//
GatR	ariR//xylF//iscR//garD//sufB//nupG//
GcvA	gspM//yiaK//alkB//malT//lamB//
GlcC	borD//argC//ydeP//rutD//phnH//glpA//trxC//
GlpR	flgL//yhdY//tktB//lsrB//tonB//phnK//moaE//tyrA//flgA//
GlrR	lsrA//acnB//idnK//cysH//mltF//
GntR	ugpQ//eno//rarA//hybF//sodB//rutD//wcaB//gntT//dsrA//ppsA//cusC//lsrA//
GutM	ymjC//rfe//dicB//malF//ptsH//tnaB//srlR//
GutR	narG//nrfF//cdd//yccA//gadA//psiF//cusA//
HU	gcvT//fliT//lsrK//alsE//phnE_2//fliQ//fadH//tnaB//glxK//
HcaR	nrdH//gabD//ydcV//narI//lhgO//mngB//
HdfR	fruB//rbsC//betT//slt//nikD//
HigA	nrdE//dkgB//
HigB-HigA	caiT//phnE_1//
HipAB	uxuB//lacZ//prs//paaB//gadY//
HipB	narJ//glmU//yaiW//emrY//pnuC//uvrB//
HyfR	bioA//bacA//mglC//csiD//yeaD//hycG//lacA//cpxR//gspK//dgkA//napF//metF//
HypT	cysK//kdpF//ebgA//gspO//nikC//pgaD//hyfE//dsdC//glnL//ybfN//fumB//pyrD//chbC//
IclR	ykiA//argR//tomB//grxA//
IdnR	nac//ampC//ybhG//tdcD//appC//glnA//tisB//
IlvY	artM//yegZ//
IscR	pspG//nikA//leuD//bdcA//fabH//csgE//gntP//pflB//yafQ//gltD//srlD//mtlR//treC//argF//rclB//ftsA//tbpA//nhaR//argG//yhjA//acnB//chbA//citC//bioB//aslB//mntS//fixA//hslJ//ygiB//dicB//nrdD//yjhB//
KdgR	kdpB//serA//
KdpE	bhsA//yeaG//wza//rpmI//
LacI	yqjH//ugpA//sbcD//
LeuO	appY//cadC//fhuA//psiE//pspG//hokE//dinD//malQ//gltB//ychF//pqiB//hyaF//yneM//melA//betB//nhaR//tyrB//lldD//aroF//ygdB//
LexA	seqA//fdhF//entA//ecnB//cspD//lysR//pstA//hyfH//lysC//cyoA//malQ//oxyS//rarA//arsC//pgm//ydbD//fruB//ydcV//glcE//pgaB//lyxK//chbB//yncE//ynfK//ada//cysW//pgpC//citX//glnK//nanK//ibaG//luxS//tsx//tauB//entB//lsrK//atoB//yjjZ//rutA//yfaE//ptsG//yjeV//chbG//citC//fecA//glmS//dmsA//gdhA//ccmF//focA//lldD//nagB//chbF//fecA//iscS//recN//pgaA//sroC//glmU//
LldR	phoU//yccT//cysA//
LrhA	yhcH//ftsI//yecT//purA//
LsrR	srlR//oppA//exbB//hcaD//nuoN//cyoE//gdhA//narJ//tnaC//
LysR	nagB//gcvB//
MalI	hdeB//pdeH//yafQ//
MalT	creD//fabH//gatC//yciG//paaC//ycjX//cadC//rutR//hslJ//mazE//
MarA	tisB//sutR//ydbK//aroP//iscS//dhaR//ulaF//ssuB//murG//murP//ygeH//gpmA//oxyS//tolC//speA//fadE//murG//ssuA//modB//nuoL//zraP//ydfE//ynfK//gadE//lsrB//cusF//purA//creB//paaG//tdcA//fldA//speB//exuR//ulaF//gntT//pgaB//cirA//yiaM//
MarR	fdnH//csgA//araA//
MatA	cusA//rcnB//moeA//sulA//pgaD//ybhL//yegR//dicB//
MazE	tynA//prpR//nfsA//
MazE-MazF	insK//yaiW//gcvT//
McbR	dsdA//nirB//csgG//yeaH//
MelR	dpiA//glcB//ecnB//
MetJ	agaI//rpmI//folA//rcsA//wzzE//ydiU//zraS//dkgB//ftsZ//yqjA//katE//malZ//ulaD//creD//tehA//
MetR	fecR//ynbC//gspI//exbD//pgpC//
MhpR	hcr//patD//yciG//fldB//phr//waaZ//
Mlc	yrbL//paaI//ycjX//nanS//nlpA//aceF//bamE//ilvY//alsA//rhaR//
MlrA	tdcG//isrC//rffM//cysJ//tyrB//casB//nuoA//hypC//ftsQ//glpT//
MngR	pqiA//entH//fruA//
MntR	murP//ybjG//nrfC//hcaE//hybB//
ModE	lysA//modB//ygiA//hybG//caiF//wecE//tdcG//alaC//cecR//rtcA//srlE//fadM//cytR//thiP//nuoF//uspA//envC//yaiA//napH//thrS//hslJ//hybD//yhdZ//ilvC//sdhB//cpxQ//ydiU//yjjZ//dgcZ//prpE//yhjX//sucB//fimB//ybhG//fliQ//agaS//nagE//nikB//yjjQ//yfdV//modC//sgbU//citC//cysB//nanA//uvrD//
MprA	dicB//oxc//csgE//dcuB//ygdB//murF//
MqsA	waaZ//fdnI//tfaQ//rbsR//copA//potF//mlc//allS//
MraZ	puuA//yjjQ//tdcE//mhpT//yfaE//spy//cadC//alsB//phnP//mhpC//ccmH//ccmH//glmU//nmpC//yiaM//paaD//ynfG//
MtlR	pstC//pfkA//gfcA//
MurR	rclB//mlc//yhbE//
Nac	hypD//yhjX//gcvB//argT//cysD//yjbH//icd//ibaG//acnA//chbR//hisQ//rdoA//yhjA//nfuA//amn//thrS//fliE//ydbK//moaC//accB//yjeV//
NadR	fliM//hokD//ebgA//mhpA//
NagC	hycE//ccmG//nanT//ribA//yhiM//feaR//feaB//intQ//alsB//malX//phoB//cynS//chbG//mdtB//nuoI//allE//fadB//ybjC//flhD//ubiA//rdoA//allC//ecpA//polA//hycD//ydfH//citX//cas2//ymjD//glnP//dnaN//yjbF//cysH//aroP//garP//arsB//cyoA//
NanR	ybaS//tomB//ycjF//fecR//fecC//glpQ//ybjG//rprA//motB//ugpE//rbsB//
NarL	pyrD//cysP//gntT//yoaC//ompN//nusA//yjjQ//acrD//zwf//acrR//mdtD//tehA//ttdT//recN//mqsR//kbaZ//hydN//srlB//bdcA//phoQ//ppdB//dhaL//chiP//pnuC//osmB//phnF//gfcA//hypC//yqjI//csgB//lolA//dkgB//nrdE//ydfX//yeaD//bdm//rprA//acnB//oxyR//mltF//ydeN//puuD//ycdZ//mntH//dsbG//fadH//deoD//prpD//efeU_1//hisP//ygdB//iraM//hdeD//dpiB//phnM//efeU_1//lolA//yiiS//nagC//mglB//dcuA//astB//nagE//idnT//ydeP//phoA//emrA//nemA//talA//lsrD//araG//ddpA//hyfD//metE//feaB//bamE//paaX//kdpA//malX//glgA//tsx//prpR//ynjI//focA//uspD//mhpF//tyrR//fau//polA//hyaF//xapB//gltK//paaX//relE//sdhA//gspI//dicB//nadB//ynfG//ykgM//glnD//sgrR//hipA//betA//nuoC//leuA//murG//putP//modC//appX//fadJ//carA//caiT//phnI//slt//metH//glcC//cpxP//wcaA//ftsQ//gatB//tauB//aspA//
NarP	btuB//ydiV//ccmA//nirB//grxD//araH//rprA//ymgA//dhaM//fdnG//dpiB//narH//hycC//nrdB//metC//purN//trpD//agaD//murF//cytR//uof//flgN//deoA//tfaQ//pyrD//alaC//asnA//gcvT//alsA//purD//murI//frc//rsmH//creA//phnE_2//motA//paaX//uxuB//casA//mngB//hycE//entH//malX//guaA//agaB//fur//mhpE//fabZ//mhpE//ymjD//
NemR	trxC//purM//isrC//
NhaR	tyrR//nfuA//ulaG//caiE//lpxD//lysC//ulaE//
NikR	yeiL//uidA//hyfB//fliJ//chbA//cpxP//
NimR	hemL//ynbC//
NorR	ynbD//hcaR//alkB//
NrdR	frdD//csgE//wcaB//lsrC//thrS//creD//purR//gcvH//fldB//
NsrR	pspD//ycgZ//gatZ//rffT//tyrP//fimE//ygbA//purN//citC//tauB//bglJ//paaC//ulaA//cysM//rpsU//znuB//lrhA//fadB//nikA//dinI//lsrB//hybG//caiA//lysR//purC//dgkA//fliE//nrfE//cpxA//fixC//rpoE//narJ//purC//lsrC//yjbH//phnP//ulaD//yfdE//fadJ//uxuB//mpaA//hha//aceE//copA//agaB//rutE//ybbW//wecE//csgA//cydC//csgC//metE//accD//gcvH//mtlR//dcuS//cydA//ecpA//sucC//kbaY//pnp//glgB//fdnI//rffH//ybiT//phnE_1//accC//ssrS//wecB//rclC//yfdX//pgaC//dgkA//ynfE//fimB//araD//fadI//glgB//phnH//gdhA//fhuC//nikA//ssb//
NtrC	yjjZ//rpsU//uvrC//yfdV//crl//relA//hyi//xylG//lldP//nanM//tolC//purB//malM//nikA//rutC//marB//argO//ssrS//mhpE//gspC//uspD//epd//hycC//sulA//dkgA//trpA//cyoC//ychF//nrdE//fimE//recD//lolA//fdnG//tyrR//crl//fur//speA//ryhB//hypC//kdpB//bdcA//treC//znuA//thiQ//stpA//murE//sdhA//yqaE//rsmH//
OmpR	fhuA//ttdA//uidC//sgrS//fruA//lon//flu//pspF//argB//rtcA//rnpB//ynbA//glnB//fldB//lsrK//glxK//bglG//ascB//lgoR//yefM//fabZ//
OxyR	gspL//melB//fliQ//astE//kdpB//trpA//cysH//pspC//gyrA//focB//hypF//hyfJ//casB//mdtB//fliR//cadA//slp//yedX//bglJ//srlR//nusA//mngR//evgA//mioC//ybaS//dhaR//moaE//nrfB//argA//gntU//ygaC//hflD//ftsK//yqjH//
PaaX	nhaR//yeaH//entC//mipA//waaH//iscU//mnmG//fhlA//gnd//moeA//pgi//ymgA//hybB//yafQ//
PdeL	hycD//
PdhR	malQ//ftsZ//potH//rbsD//ssuD//treR//fhuD//mngA//amn//agaV//citF//hybO//rutR//prpC//dapD//yeaG//artP//psiF//glpA//fadL//casE//cusF//rpoS//nrdE//mazF//hycC//cho//malI//grxD//envC//agaV//psiE//zraP//ftsZ//rhaR//uxuB//aidB//cho//ftsQ//dcuD//cdaR//
PepA	lysP//bolA//dgcZ//
PgrR	ftsQ//hslJ//sucD//talA//emrA//pspF//yfaE//trpE//
PhoB	cas2//hycG//cpxA//lpxA//araA//rstA//pykF//cytR//rbsR//ygiB//cytR//lpxA//hyfD//trpC//modB//casE//sfsB//casD//focA//ygeA//nuoB//hyfB//bluF//ydfH//hmp//yhiM//ppdC//ydfX//agaB//folA//sbmC//rhaS//entA//aldA//prpB//mngB//aspC//cas2//ftsI//cspE//paaC//cyoD//lldR//yhjA//rnlB//infC//fldA//rffM//nanM//ycgZ//uxaB//murC//trpR//nuoK//cysU//ccmG//phnJ//yccT//gltB//fpr//
PhoP	ugpA//gadC//rbsD//hisQ//phoH//bglG//rarA//paaF//ynfG//fecD//recC//bluF//norV//nuoB//fixC//osmC//yiaK//ygiC//pgi//fes//csgD//asnA//ydhT//adiA//katG//fbaA//gspC//hlyE//dinF//feoB//hdeD//gspI//nemA//insK//fixX//fruK//cydB//pykF//citF//srlA//pspB//deoA//nikC//agaA//phr//nikA//ymjC//yeaG//fldB//paaX//ygiA//napC//astB//idnD//fucO//pdhR//
PrpR	setA//dhaK//katG//ykgO//gntX//
PspF	nrdF//ftsW//feaR//mglA//galT//phoH//gadB//
PurR	cadA//ybiT//rutR//fes//yfaE//xylR//dinD//argD//argG//zraR//frdB//fixA//mazG//agaS//ydcS//cecR//polA//lsrR//kdpF//glpX//puuA//rimP//uxuR//nagE//hypA//ydiV//nuoH//nuoN//ymiA//serA//fecC//
PutA	paaG//wzb//
PuuR	narX//recX//creB//dctR//rbsC//yrbL//hipA//
QseB	ilvC//paaY//narL//phoU//
RbsR	rpsU//puuB//yegR//lpxC//purR//garP//yeaD//casE//agaD//
RcdA	ybaS//rbsA//sutR//ompF//fbaB//bglG//phnI//ygiZ//caiD//
RclR	sucD//ftsI//mgrR//
RcnR	flgG//dgcC//fucR//
RcsAB	fdhF//narK//fabI//ascF//tauC//fadR//leuA//ycgR//uxuR//paaE//ydfD//waaZ//ftsL//fliP//csgD//pagP//
RcsB	yiaM//exbB//cysN//ymgA//cpxP//ulaC//aceF//motA//focA//wcaA//ycjG//intQ//tnaC//nikR//hyfC//ybhR//srlA//oppA//gadF//mltF//cysJ//flhE//hipB//malZ//rstA//
RcsB-BglJ	waaH//rob//relA//acnA//sbcD//puuE//accA//ybjN//ubiC//ssuC//lysA//dinG//ybhS//nuoJ//yagK//aslB//
RelB	ptsI//gatC//astB//
RelB-RelE	soxS//ygiZ//aceE//
RhaR	mgtL//rhaD//
RhaS	uxuA//folE//ydcT//gltK//betB//araH//
Rob	phnJ//nrfD//pepA//seqA//ydeM//mipA//gadA//moeB//relE//tyrP//metQ//phnN//yncE//ubiC//casB//glpQ//cdd//narX//fucI//moaE//omrA//nfsA//hmp//napD//purN//flgG//
RstA	xapA//argH//fdnI//asnB//gntT//acrD//tcyP//argI//fucO//rhaT//
RtcR	murR//fixA//
RutR	rseA//caiT//relA//pdeR//mngR//chiP//ygeH//ebgA//gatD//psd//pykF//gntX//fepD//rpoD//obgE//dnaN//gpmA//
SdiA	gatA//zraP//ompN//hipA//atoE//
SgrR	ssuC//ygdB//prpR//yebG//gadY//cysB//ybbY//alaC//hycI//
SlyA	fadA//
SoxR	uvrB//entF//fliK//
SoxS	xylA//zraR//ydcS//tolC//hypC//cadC//gudD//fliE//lldD//artM//uhpT//icd//ppc//emrA//htpG//fixB//hcaF//uvrY//cas1//ydhY//betT//frdC//tisB//glpF//tnaB//paaG//cirA//baeS//copA//sulA//entH//hyfF//ppdC//cspI//fadA//aroL//fliI//nikC//srlB//narH//
StpA	nuoG//yecR//lrhA//pspB//uof//ycjF//ccmB//
SutR	fldA//gadE//grxD//aceK//ftnA//
TdcA	cysI//ompC//mtlA//ribA//hycE//aceF//emrB//
TdcR	malQ//recB//nrdI//flgD//ymiA//glnQ//mscM//
TorR	yegZ//gudD//hyfG//fhlA//spy//nrdF//gabP//cadA//nrfC//puuA//cynR//gabP//
TreR	nfuA//recN//
TrpR	ybbY//aspA//luxS//glcD//manY//hemH//glxK//ygbK//gntT//yncE//fucP//nirD//
TyrR	arsR//stpA//oppC//iscS//mntP//ftsQ//polA//fecB//gcvB//rpiB//pgk//ydjM//
UhpA	gcvB//
UidR	glnP//fliG//fliL//hyfE//
UlaR	yegR//chbB//moaC//molR_1//phnC//yjiY//metL//
UvrY	nuoE//sulA//fepC//idnT//rpsU//
UxuR	ycjG//artQ//sufA//mngB//gloA//glcB//tsr//phnM//araE//
XapR	malP//obgE//
XylR	leuB//nrfE//soxS//cyoA//yafP//rybA//uxuB//
YdeO	zwf//ilvC//nimT//srlR//rhaR//fhlA//malK//ebgA//nanS//ydbD//ttdA//cirA//purB//ymgC//lldP//prpC//prpR//gnd//pykF//rutD//asr//
YedW	mazE//creD//fhlA//rseC//nfo//aspA//arsR//sfsB//ygaC//metC//napF//yaiA//
YefM	ppdC//fixX//
YefM-YoeB	melA//codB//
YehT	ahpF//
YeiL	flgF//
YiaJ	trpR//kbaZ//phnP//cysI//purD//rhaB//bioA//fimB//hyaE//pspD//
YjjQ	garK//cyoB//ybbW//glnD//mhpC//casA//hcr//lacZ//hypD//flhC//
YpdB	ydeO//
YqhC	gloA//fecI//
YqjI	oxyS//tehB//
ZntR	tfaQ//
ZraR	intQ//acrR//hyfR//
Zur	bioB//alsB//slyB//ydcV//torR//yhjX//
