#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sgrR//glcC//
NsrR	amn//casB//fabG//malF//cysU//yhdX//dsrA//fadH//uxuR//agaD//narX//gdhA//uidR//sbcD//nuoL//nagB//hlyE//fhuA//bolA//potI//hydN//mntH//creA//yafN//fhuB//ydfX//fecE//fliQ//yqjA//cecR//glnA//tehA//yneM//ptsH//malT//hcaC//glgB//ydcV//glnH//mpaA//frc//ddpD//paaJ//ddpX//glxK//pspF//amn//aroF//xylA//ybaT//potI//fes//chbC//lamB//rhaA//ccmC//yidQ//baeR//nuoL//uvrC//psiE//rprA//yecR//sdhD//acnB//cyoD//fliE//yciW//araF//gutQ//sgrR//kdpF//ydeO//lpxC//gabP//glpA//glcD//umuD//cdd//carB//yidL//zraS//znuA//
NtrC	aspA//galT//ymjC//kdpF//xylG//tyrA//betI//udp//hcr//tdcF//mhpF//artM//luxS//patA//hyfB//hybO//cusC//mgrR//yaiA//csgB//gspL//mglC//ygbA//napH//casC//fliS//prpD//metB//prpC//sdhD//cydB//ydhX//lldR//molR_1//tyrA//treC//ruvB//nrfB//fadL//glpX//pqiA//acrZ//glnK//ynfG//metN//wecC//ybjG//paaX//rpoE//
OmpR	molR_1//xapA//fhuB//csgG//xylF//ccmE//fecR//mgtA//ycjG//yhjC//gltI//focB//yegH//ydhY//lysO//glnL//cyoE//ulaC//phnC//crr//nohA//
OxyR	rpmI//nusA//ftsL//gcvH//rhaA//fau//yhiM//nanA//rcsA//decR//gspO//gspL//rob//purF//purH//pepD//glcA//gcl//yjjQ//ddlB//mngR//pitB//flhB//hipA//ydcS//acnB//pgk//psd//agaB//yjjZ//polA//paaC//uof//gcvH//
PaaX	srlA//pspE//mtr//pheS//cvpA//yecR//fumC//inaA//focB//ydhT//grxD//ompC//ybbW//aceE//
PdeL	mnmG//
PdhR	malZ//cspD//ssuB//ccmE//glgP//sdhB//wrbA//phnF//phnJ//kdpA//yagK//trpE//sfsB//alsA//rstB//exuR//cynS//ahpC//ybiT//fadL//seqA//yibQ//glnL//malF//ybfE//yciE//galR//lldP//cysE//gadA//adhE//umuC//gltB//alaS//mglB//mraZ//focB//ccmA//oppA//ugpB//putA//
PepA	ppiA//gatY//nuoJ//
PgrR	trpB//yhbS//metQ//ulaF//glcE//glgX//phoE//psiF//
PhoB	aspA//betT//mntS//gntT//gabD//fucK//btuB//lamB//flgN//yeaR//gspM//fadJ//ykgO//nrfC//phnE_1//recC//galR//phnM//hipA//lolA//accD//citE//hcp//deoC//glpD//ynfK//mgtL//hyfI//hemL//mepH//mgtL//ddlB//ynbB//modB//carA//ttdR//sulA//glxR//rpmI//nac//flgH//metA//mntS//rseC//yiaK//osmY//codA//moaA//ddpB//nanS//srlB//cueO//mioC//agaR//rutB//ppc//cysC//ydhV//purB//intQ//
PhoP	fliS//yeaH//dinD//ftnB//bioC//lysO//fliN//srlB//yciX//yhiD//rutG//malT//hcp//yciX//ytfE//uidA//moaB//nikA//feoB//appC//ydfN//sgbU//hypE//tolC//cydA//uidB//glmY//nhaA//phoH//argB//lpd//codB//nuoK//osmC//ynfF//gadF//tadA//ybdZ//malT//mhpE//uxuB//fecE//gadF//ftnB//rhaB//phnI//adhE//yfiB//gatY//fepC//waaZ//gspF//glcD//aspC//ndh//ftsW//
PrpR	uidR//idnR//gspD//asnA//pstB//
PspF	zinT//yafP//tyrP//flgD//agaA//yecR//acrD//
PurR	hemH//yafP//hcp//dsbA//ydiU//entE//ybdN//gudD//argR//rcnR//nikR//aroG//caiD//sucA//araF//yccA//lacA//yfdX//agaB//omrA//glgX//ftsQ//glpF//galE//prpB//tfaQ//dtpA//purL//cirA//flgG//ydfD//
PutA	psiE//dicB//
PuuR	tauB//ebgC//hyi//ybhS//cysB//iscU//hipA//
QseB	xylF//gspM//sufA//lsrD//
RbsR	bdcA//evgA//truB//uspE//prpB//uvrA//mgrR//mdtA//paaH//
RcdA	rhaA//mltF//icd//nusA//oppC//purA//iraM//trpR//ddpB//
RclR	hycE//rbsR//gutM//
RcnR	fruA//wecB//gor//
RcsAB	agaV//lldR//dhaL//gntP//marR//garL//csgF//codA//gpmM//yeiB//betI//nikA//argR//crr//allA//pspG//
RcsB	iclR//hypC//ddpB//btuB//pdeR//nrdH//citX//yegZ//nrfC//tdcE//puuB//cyoA//patA//phoP//pck//gatZ//malZ//rpoE//ruvB//ymjC//caiF//citG//ddpD//caiT//glgB//
RcsB-BglJ	speA//ilvY//fadD//yjbH//hyfH//nrfA//dcuA//caiB//dctR//hdeA//ulaB//umuD//nanM//recN//citD//metY//
RelB	araC//lldD//speB//
RelB-RelE	ygiB//decR//rcnA//
RhaR	treB//ppsA//
RhaS	nadA//galR//napD//gspD//rimK//aceF//
Rob	wzzE//nimT//casA//relA//ybaT//exuT//fadB//dkgB//casB//bioB//focB//nirC//paaB//tadA//mglC//artI//rutD//flgA//pitB//oppD//acrB//araG//lysA//fliM//hycC//dhaM//
RstA	garD//ynbD//lsrC//kbp//allC//katG//lsrK//pspD//nemA//dkgB//
RtcR	galE//umuC//
RutR	dhaL//ydfN//yfiR//ydeO//aslB//malQ//hyfI//marB//pgi//atoB//tsx//nac//hybD//rimK//flgA//puuC//dcuB//
SdiA	fliL//nadA//alsA//dgcC//dtpA//
SgrR	trpB//hycF//polA//fdhF//caiB//qseB//yciG//fecA//araE//
SlyA	uvrY//
SoxR	alsA//tauB//nuoJ//
SoxS	gpmM//cysC//ibaG//prpE//fecE//torA//ybbW//glpK//yegZ//phnE_1//ynfF//kbaZ//ycjG//pspA//yafQ//psiF//lgoR//icd//treC//uof//pspD//cysB//hyaF//dpiB//csgB//flgF//flhD//gltI//purE//malS//wza//hycA//soxS//emrA//metN//oppA//yegZ//pspG//metQ//fau//
StpA	idnD//flgI//mtlA//ccmD//sdhB//yhcH//garR//
SutR	asr//prpC//mazF//exuR//rpsO//
TdcA	ybbY//nrdB//metR//recC//dcuA//seqA//yibQ//
TdcR	hybD//fadM//ybhF//acrA//metB//moaD//puuD//
TorR	modA//intQ//fliE//hycE//fes//gspI//xylF//rclB//citG//bdcA//psiE//araF//
TreR	rhaB//glnK//
TrpR	grcA//rarA//nupC//xylG//fucR//ydcS//galK//waaY//artM//cspI//ymjC//fhlA//
TyrR	dcuD//tdcF//ssuC//narG//dhaL//folA//fliL//ddpX//araH//fecD//puuP//hyfH//
UhpA	glcE//
UidR	atoB//ompF//exuT//dicB//
UlaR	nimR//fucI//allA//puuA//frdC//galP//tdcG//
UvrY	asnA//ycjF//pflB//fucA//rutA//
UxuR	glnG//fliM//lyxK//ampC//chbC//icd//yegR//mlc//tnaC//
XapR	aslB//aroM//
XylR	mazF//norV//gudD//atoB//dkgA//torD//flgK//
YdeO	trxC//wzc//flgN//glmU//poxB//marB//glgB//araC//rbsK//hns//chbG//hisQ//trpD//nohA//nuoB//idnK//modB//nuoI//napH//asnA//cysM//
YedW	feoA//xapB//nanS//flgM//dtpA//ymiA//csgG//argF//metR//flgF//gspJ//rcnA//
YefM	ycjY//yfiR//
YefM-YoeB	gntK//torD//
YehT	gltK//
YeiL	ybhR//
YiaJ	hyfE//galP//ygeH//metL//hypC//galM//trpC//yhiM//srlD//trpC//
YjjQ	uspA//cysA//nrfB//rutG//dmsD//napB//fau//baeR//fabG//torA//
YpdB	ldtC//
YqhC	ftsW//pepD//
YqjI	zwf//efeU_2//
ZntR	osmC//
ZraR	astE//trpB//nagE//
Zur	puuD//murE//pck//efeU_1//lsrF//gspO//
