#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ddpX//rybA//
Fur	hcaC//yqhG//malM//leuD//ppiD//yccT//fliP//talA//xylG//potI//ubiX//narL//yafQ//rpoE//aslB//gntX//rffM//garP//hyfB//fucK//phnC//yoaG//ydfW//ydhX//phnP//flgL//fadM//pitB//srlD//glnL//frdB//leuA//phoB//ynjI//slyB//aroM//araB//murE//lsrC//hypB//flhD//slt//emrA//fecA//accD//yciE//manY//hisP//gutM//xapB//flgG//araJ//fliO//hycH//allE//acrD//idnD//ydiU//puuC//murD//pgaA//recX//hyfG//yciF//hycF//ftsL//nusA//murD//nfsB//cusC//alaS//accD//malZ//fabA//artJ//fliL//tpiA//nfsB//frdA//yeaR//pnuC//zraR//galE//sucC//hycG//gltJ//hokE//flgC//pqiA//modA//ftsL//sulA//iscA//argG//gutM//gspK//yjeV//puuE//iraP//ulaE//tdcF//dmsB//caiD//iraP//mraZ//ilvC//cyoD//dhaM//rutA//deoD//pspF//xylR//ygaC//yegH//ssuC//iraM//kbaZ//rhaA//dcuA//bglG//btuB//bioD//hyaA//lysR//lsrD//hyfJ//ynbB//ppsA//skp//fur//
GadE	metL//murE//nikE//dacC//aroL//ynbB//nrdA//znuC//hybD//codB//glnK//cysB//yedX//purC//cdaR//mazG//uxaA//mhpF//uxuB//oxyR//glpX//malI//phoR//cysD//ymiA//yjbG//sufA//relB//focA//
GadE-RcsB	cecR//mngA//metB//xylB//lsrB//sufB//fliD//talA//trpL//
GadW	pqiA//ydeP//glnA//fimB//oppC//fliF//araJ//puuB//fabD//yegZ//allE//hyfJ//araE//ycdZ//glcC//
GadX	bamE//dpiA//eno//sufA//fhuE//fldB//deoA//waaH//tktB//glcC//ydfH//glcD//tyrR//yqjA//aspC//ddlB//yiaL//pgaC//ygbA//hyfF//mqsR//ecpR//cysB//tbpA//fhuA//fpr//bglF//znuA//mhpE//
GalR	rplU//ssuC//phnO//fliE//narH//codB//rimP//fabA//mngA//bolA//
GalS	polA//ampC//ymgA//tdcG//hyfC//artM//ybdZ//ynbA//nikD//fbaA//
GatR	mltF//yhhY//ymjC//chbG//lsrF//fur//
GcvA	purE//zraR//nmpC//speA//icd//
GlcC	trxC//exbD//hdeA//araA//dinQ//btuB//ccmF//
GlpR	idnR//cheW//fecC//bioA//ompN//yibQ//eno//lacZ//mtr//
GlrR	hokD//borD//yccA//yecT//aidB//
GntR	rbsK//phoH//uhpT//fadI//ygaC//thiP//puuD//purB//entH//exbB//fpr//yciX//
GutM	rbsD//feoB//acrR//entS//hyfD//dcuR//aslB//
GutR	ccmB//pheS//fliK//yagK//ssuE//cirA//nrdG//
HU	lrp//yjbF//metF//fliC//lon//rutD//alaC//nrfE//metC//
HcaR	yegZ//csrC//zraS//alkB//mqsA//yoaC//
HdfR	pgaD//rutB//mglB//ddpF//nadA//
HigA	ycgR//mdtE//
HigB-HigA	pstC//tadA//
HipAB	mhpE//flhC//uidR//rpsO//yeaD//
HipB	ssb//fliS//hypC//tcyJ//cytR//sufB//
HyfR	ydfN//metQ//asnA//lpxA//deoD//fepC//lrhA//glpA//flgB//fliL//sbmC//hdeB//
HypT	nanK//ybhF//hyfC//torA//hyfA//wzzE//yjeV//ybiT//nikA//dinG//mqsR//yqjI//ompW//
IclR	kdpA//argC//cspE//bglG//
IdnR	sutR//cecR//nuoL//mraZ//citD//fliM//nanS//
IlvY	stpA//casD//
IscR	gatY//dgcN//grxD//pykF//yeaG//ulaB//qseC//glmS//ung//recD//lacZ//dinJ//ssuA//argI//cdd//yfaE//paaE//mglC//frdC//casD//lysR//ydfW//paaB//mltF//hyfR//ompT//ydiV//lolA//yhiD//sodB//purD//gltB//
KdgR	wzzE//acrB//
KdpE	pgaB//ccmC//cheW//focA//
LacI	trxC//nrfF//fes//
LeuO	kdpB//sdhC//evgA//argT//glpF//crr//hycD//fliN//aroP//dapD//ebgC//ycgR//manZ//fixX//murD//yhjA//ydfN//asnB//ycjY//serA//
LexA	fadA//cytR//ytfE//mngR//mdtD//bdcA//tyrA//nuoM//ccmF//moaB//moaE//pheS//entA//phnH//caiB//uvrC//paaK//gatD//sgrR//ymgC//nadA//casD//uvrB//rcnB//yiaL//htpG//zraS//hycI//nemA//motB//accD//dinF//recD//yqhD//frdC//yeaH//argR//csrC//fliQ//argT//sgbE//pheT//nrfA//dpiB//tfaQ//sufD//mhpC//hypD//melA//uhpT//agaD//gcvT//aroL//hdeA//sdhD//ymgA//nuoB//nanT//murG//
LldR	recN//ybhR//uvrA//
LrhA	accC//ydhU//ydeO//treC//
LsrR	lldR//rfe//ybfN//dacC//yafN//mglB//glgB//fabA//dgcN//
LysR	trpC//aspC//
MalI	pyrC//tehA//purE//
MalT	phoP//glpK//nanA//leuC//fbaB//ulaB//lsrK//modA//cpxR//mtlR//
MarA	mhpA//yhjC//metL//paaC//puuB//yccT//ulaD//pstC//hypE//nuoC//nrdE//rffM//mpaA//alsA//mtr//hcaR//pgaA//fliI//ydeN//insK//nuoF//sodA//nanT//lrhA//ymjC//ftsZ//narL//ugpE//tolC//mtlD//bioF//cydD//ompN//mazE//hybG//symE//ldtC//ompC//
MarR	oxc//moaD//flgN//
MatA	ftsA//copA//malF//kdpC//paaI//appC//entA//tdcA//
MazE	flgK//tyrA//ariR//
MazE-MazF	napC//ftsI//ycjX//
McbR	phnK//narH//glxR//ecnB//
MelR	yhdX//nrdH//puuC//
MetJ	nanC//yqhG//mioC//puuD//araE//inaA//prpB//glnK//ydfN//flgD//osmY//udp//ydfW//zraS//uxaB//
MetR	hyaC//fliI//ulaF//gspK//mpaA//
MhpR	ydeI//lldR//rybA//rseB//tdcA//torC//
Mlc	mhpD//casC//modB//ddpF//cyoD//yciF//yiaK//yhiD//fliK//dsbC//
MlrA	ykiA//gadB//ppdA//ygiB//ppiD//nrdE//chiP//frdA//cydB//entD//
MngR	ilvY//fhuE//argO//
MntR	cydC//fadE//iscR//lexA//murI//
ModE	ppiA//ydbD//ybaS//ymiA//napA//pykF//pgpC//ldtD//tynA//hyi//fiu//gatC//hyaE//mntP//acnB//slp//pgaA//xylB//yneM//emrY//yjbE//glmS//malF//cyoA//astC//oxc//nimR//araD//dmsD//wecB//fliI//glpT//cyoC//araF//acnB//manX//ynfG//mhpF//paaB//hyaB//oppC//appX//spy//paaB//allE//glyA//
MprA	norV//hha//cadC//hyaC//xylF//ydfD//
MqsA	argG//cyaR//fliE//arsC//deoB//fliN//yegZ//gntP//
MraZ	pagP//fucA//fliN//gpmA//mlc//uspE//rpsO//ynfK//ykiA//dgkA//phnM//cysC//dpiA//rpoE//edd//appC//thiQ//
MtlR	dinD//mltF//aspA//
MurR	cdaR//fabA//sfsB//
Nac	alsB//rhaT//ygaC//dcuA//lrhA//phnH//yidQ//flgA//mhpB//potF//rffC//yhjX//pfkA//bluF//hycI//xylF//yfbR//cspD//fadE//yafP//tomB//
NadR	yiaJ//ybfN//ybjG//glxK//
NagC	cvpA//uidR//ybhG//fucK//chbF//ybjC//ybfN//umuD//flhE//phoP//gcvB//cyoA//acrR//uidB//dtpA//nagC//glgA//omrA//nimR//paaZ//cas2//ppc//entH//deoB//emrB//ydcT//puuP//pyrD//ycgR//cyoD//deoC//ftsA//bioA//mntP//lexA//phnK//ybfN//
NanR	ymjD//fliZ//nanT//ygbA//relE//xylR//yhdX//araF//sodA//yiaM//oppB//
NarL	lgoR//waaH//purR//galK//rsmH//lldR//metC//entA//pnp//cysU//moeA//mtr//flgB//cysD//yfdX//lrp//uidC//frdC//yiiS//fadJ//deoD//ydcV//yebG//icd//yafP//ydiU//adiA//higA//xylH//cynT//gltK//nemR//artI//metE//pspD//phnK//agaV//cynS//yoeB//rpoS//hyaC//ecnB//nagB//yhjA//hslJ//fucO//hcp//lsrF//nadA//pspE//acrR//micF//icd//ompC//arsB//ihfA//yhiD//tbpA//appA//ddpX//fucP//purC//mlrA//ddpC//pstA//dkgB//obgE//copA//dpiB//gpmM//mdtD//cadC//nanA//ompN//ybhG//cydB//pdhR//nfo//cysH//puuA//yhbT//hdeD//efeU_1//galR//flgL//gspG//nadA//appB//fimE//rffT//gspG//fhuE//potG//fdnH//alsA//melB//cdd//hns//ulaG//mprA//ompC//alsE//mgtA//ulaD//phnP//metE//yeaR//nuoI//adhE//phoB//hyfH//gatD//hyaA//sbmC//argE//wzb//yjhC//ybaS//cynS//ygiZ//lsrR//murG//lysC//
NarP	umpH//gyrA//fliD//ydeI//fbaB//csrB//fadM//yhjC//uhpT//aroP//ssuE//tnaA//rseA//fliC//csrC//accD//psiF//nuoA//safA//rpoS//mscM//hycH//gltI//cyoB//ydiU//trpB//rpoS//ymiA//uxuA//napC//crl//nikE//rbsD//nrdB//ndh//asnB//yciG//lacA//artJ//ykgO//cynR//dgcN//fliS//gspH//hha//insK//dctR//guaA//ihfA//malP//
NemR	puuB//mntH//ydjM//
NhaR	dtpA//hyfD//ompC//argC//frc//garP//dcuD//
NikR	alsA//nagC//yoaC//metY//phoU//aceB//
NimR	flgH//glk//
NorR	sufS//leuO//nfsA//
NrdR	caiE//fau//argI//gapA//slyB//mraZ//flhD//mntS//phr//
NsrR	caiC//narK//mprA//sdhA//sgbH//focA//fliA//glpX//poxB//pdhR//bioD//lldP//nhaR//ymiA//edd//argF//citF//cra//purB//rutC//moaA//lpxA//ftsI//phoA//ydcU//argP//isrC//safA//oppC//phoH//ccmD//dapD//gutQ//yqjI//potI//rybB//pheM//zraR//potG//zntA//hybF//frdA//ppc//tyrB//nrfG//rplT//efeU_2//ybjN//hyfB//sra//glpX//cysE//nrdA//appA//iraP//cueO//dinQ//rybB//intQ//yqhG//malY//chbC//rhaA//tdcG//fadD//araD//flgF//sfsB//phnH//dsdA//gspL//metN//yeiL//sulA//mlc//ygbK//gadY//gntK//casD//seqA//rffH//cysK//ulaC//
NtrC	ccmB//mtlR//dicB//sdhB//rnlB//fliO//yiaJ//fadR//feoC//dsdA//purB//citD//sbmA//ugpC//tyrB//gadX//thiQ//dsrA//ybfN//alkA//hyaD//appX//pheT//dapD//mprA//fadH//pstS//nuoM//glgP//srlA//cyoB//ybhG//rbfA//ycjG//slp//purL//nrfF//uxaA//aroG//zinT//rhaB//leuO//ftsA//iscS//fumB//mtlR//feaR//rseC//appB//
OmpR	hybC//hyfC//nuoM//hcaC//ugpB//napC//ppsA//manZ//moaA//ygiB//hypE//recX//oxc//intQ//cynX//puuC//ibaG//pflB//wzc//oxyR//pstC//
OxyR	nikC//hyfF//metC//phoA//phnC//hokE//mntP//hcp//cpxP//ygbA//poxB//ynfH//glnL//sgrT//ybjN//zwf//pspC//rhaT//metI//nikD//fhuA//moaC//pstB//htpG//crp//uxuB//cydB//fepA//cusB//waaH//chbC//deoA//paaE//yaiA//
PaaX	ynbB//ompN//wecE//creB//fadI//nfuA//yfdE//metR//metN//argD//pspF//glnQ//adiC//ogt//
PdeL	acrZ//
PdhR	malT//ribA//gcvH//mhpA//gcvA//lrp//nirD//cyaR//araJ//ogt//hisJ//rutD//melA//prpD//rimP//yecR//ybhL//nrdI//fliN//rybB//hipA//gabP//caiD//wzb//rnlB//sutR//infC//ydcT//cadA//sucD//yqjH//yhiD//inaA//infB//sufD//aslB//casA//dinF//yhdZ//hcp//ybiT//
PepA	ccmB//chbC//ccmD//
PgrR	iscA//fhuD//mngB//glnP//gutM//flhD//acrZ//gadC//
PhoB	lsrD//srlD//ldtB//acrR//cra//allE//allS//flgG//tpiA//ppdC//phnO//glmS//norV//nrfG//rbsK//cysM//rpiR//ulaC//manZ//bioF//napC//prs//napC//entA//rpsU//pspF//hycB//hyaF//pspB//yhbS//nikR//aroH//bioB//rpoH//arsB//xylB//gatA//slp//ftsK//ynbA//dcuB//ompC//ptsH//ycdZ//rutB//rclA//tyrB//creC//csgB//yegR//mhpC//potF//pfkA//rcnB//aceF//mglA//ybfN//phoR//fucA//gadB//
PhoP	yqjI//ynfF//sroD//idnK//trpR//pqiA//fliL//yjhC//citX//flgD//dcuA//marA//gadF//deoB//argI//ptsH//hyaB//lysP//uvrY//gspC//dinB//mipA//thiP//hyi//luxS//tdcF//kbp//araF//cdaR//dps//nuoB//nirD//cynR//rbsB//mhpF//moaE//ulaE//ibaG//iclR//modA//dps//fadB//feaR//yjeV//casE//caiE//yiaL//rutD//appA//sodB//glpQ//ssuA//cusR//emrY//mdtF//yccJ//
PrpR	gntK//pflB//gor//ydiV//puuR//
PspF	dmsD//fldA//csgF//pykF//gntP//mdtA//dapB//
PurR	sdhB//flu//gltI//feaR//ilvC//ybhS//hcaF//alsC//yhdY//fiu//hokD//glnG//eno//glcE//alsC//narX//chbA//hdeD//narX//hypB//pgk//tolC//tktB//frdD//ygaC//ssuE//nrfG//nrfF//fadH//cyaR//phnF//
PutA	wcaB//purM//
PuuR	kbaY//rpoS//glmY//fruA//ugpQ//fabB//cpxQ//
QseB	ydeN//lsrC//fliZ//yncE//
RbsR	ppdB//adiA//flgM//metN//fliL//ydeI//malY//araE//xapB//
RcdA	hyaA//fadE//gabD//hyfG//potG//glgP//csgG//nrfE//fimB//
RclR	aceA//mazE//rffC//
RcnR	lolA//ftsQ//fepD//
RcsAB	glpK//oppA//glxR//lpd//feoC//sulA//tyrB//feoC//cysH//hycH//ycjY//norV//nirC//rclA//nrdH//hipB//
RcsB	yqhG//dcuB//appA//csgG//pheM//hipA//aspC//emrY//frdA//mpaA//acrB//uidA//iscS//citD//lysO//fliG//purC//mhpD//csrC//gntK//rhaD//glgP//phoB//nikB//dinQ//
RcsB-BglJ	csgE//ygaC//glcB//pnuC//fliP//yiaJ//gfcA//rfe//ihfA//ycjF//yjhB//garD//flgC//ppdB//focB//nagB//
RelB	bioF//thrS//flgN//
RelB-RelE	grxD//csgF//argP//
RhaR	pgm//potG//
RhaS	yeaD//manY//sgbE//polA//astA//gutQ//
Rob	dcuD//manX//ybaT//ygbK//sfsB//exuT//rstB//hdeB//yciG//ycdZ//ybfN//cusA//fecE//yhbS//guaA//insK//ydeN//sdhD//dhaR//fhuD//yhiM//hcaC//ygiC//oppB//csgD//oxyR//
RstA	phoU//yqhD//rffM//napD//waaZ//ydbD//kbaY//lysA//rstB//gabT//
RtcR	ydhU//ddpF//
RutR	mhpD//uvrA//cdaR//mdh//lsrR//ddpC//lsrG//lpxC//nagE//mpl//hisQ//fhuB//ldtD//cas1//allD//decR//inaA//
SdiA	ydiV//fadL//prpC//gspF//ybdN//
SgrR	chbB//ndh//ftsW//pgk//ftsA//rpsU//betB//asr//malE//
SlyA	inaA//
SoxR	atoE//entD//glnG//
SoxS	glpT//carB//metF//higA//relE//rarA//atoD//cysA//yhhY//znuC//allD//oppF//fbaB//nanM//srlA//cvpA//kdpB//malX//lrhA//fliD//xylG//ydhW//ynfH//galE//paaD//malT//yqaE//nrdI//yfiB//gltJ//fliC//appY//puuA//nagB//rpmA//ilvC//cyoD//ydjM//sroD//htpG//
StpA	thrS//ynfF//ybaT//ynfE//nrfB//yneM//glcF//
SutR	tehA//malG//yiaM//aslB//glnP//
TdcA	ftsA//alsB//murP//malS//ftsI//gyrA//potI//
TdcR	flgG//entD//adhE//rpmI//pck//ompC//rpoE//
TorR	patD//appA//entD//nirC//setA//mgrB//edd//yfiR//allA//uof//lsrG//moeA//
TreR	nupC//napG//
TrpR	wecC//cvpA//pspG//wzb//fruA//argR//sufE//pstB//tdcG//alkA//napF//alsE//
TyrR	csgD//rpoH//ymgA//zraS//sbcD//paaH//uxuR//rutC//wrbA//dmsA//yfdV//mhpC//
UhpA	entE//
UidR	oppC//ompT//purL//phnM//
UlaR	melB//infC//gspG//glnP//yhdW//ynbA//nrdI//
UvrY	araB//fabA//qseC//oppD//gadF//
UxuR	wecE//dmsD//mcbA//rhaT//yjjQ//wcaA//ugpA//ymiA//hycE//
XapR	pspA//puuE//
XylR	csgD//aroH//artM//aroM//cpxQ//ftsW//narJ//
YdeO	ybhR//wzzE//phnC//pheS//tyrP//uxuB//flgB//gatC//rffG//pdhR//pnuC//uspD//erpA//mtlD//murQ//ydhU//lsrK//citE//pncB//ssb//rhaT//
YedW	mhpF//phnH//chbF//yfbR//ymgA//srlA//ttdR//iscS//srlR//ddpD//phnL//yidL//
YefM	ssuD//fbaB//
YefM-YoeB	fadR//sgrS//
YehT	nrdF//
YeiL	fiu//
YiaJ	ptsI//hypC//frdB//hycE//rpsU//uvrY//garL//sutR//cynR//nrdI//
YjjQ	ybhF//mioC//mntS//pheT//hcaB//pdeH//fhuC//gadW//narK//glmY//
YpdB	gatZ//
YqhC	hcaD//nrdI//
YqjI	pspG//fucR//
ZntR	aroP//
ZraR	torR//murP//gspF//
Zur	nrfE//ccmE//hybC//cpxA//yeaH//fhuA//
