#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tauB//hypB//
DcuR	rpmA//mzrA//putA//nanE//gcvP//relE//uvrA//yhcH//casA//
DeoR	katG//gltF//kdpC//lgoR//cadB//ompF//
DhaR	agaA//nlpA//mhpE//nupG//
DicA	murG//flgE//cyaR//alsA//ssuE//fabB//gadE//yeaE//
DinJ-YafQ	lsrB//pfkA//uvrC//
DnaA	rhaD//cusR//gfcA//lldP//argE//metQ//caiC//accD//slt//glcF//paaE//glpF//
DpiA	fliK//hyfR//lysR//mgrR//hyfI//gspM//glgC//recC//mqsR//yegZ//csgD//
DsdC	fhuA//glmU//yedX//
EbgR	bhsA//cyoD//
EnvR	ydfH//rffH//
EnvY	mcbA//lyxK//
EvgA	allA//tonB//aceA//frdD//aldA//allA//yfdV//rseB//dinQ//phoB//sbcD//garR//kbp//gadW//cysN//rffT//mnmG//nrfE//luxS//
ExuR	slp//glmU//phnE_1//xylF//araG//aroH//amn//ppdC//kbaZ//
FabR	rplU//hypC//
FadR	fliI//dmsA//fabZ//ttdA//ybaS//iclR//ulaD//phnP//paaF//aspA//hmp//rhaD//dnaG//baeR//dhaM//narK//hcaR//nrfF//narK//fadI//yhjA//rclA//fadD//
FeaR	phnD//focB//
FhlA	cyoC//fucA//ydhT//dnaG//zraP//ybhS//fucI//hybD//rpoE//napG//iraP//ddlB//nrdE//osmB//ddpA//ynfE//hycA//gntP//folA//tsgA//artJ//higA//bhsA//hybA//trpE//dgkA//ymiA//kdpC//flgJ//patD//
FlhDC	phnM//rcsA//rstB//moaD//agaI//rutC//yebE//gabP//fabG//gatY//glnG//yfdX//cdd//fdnG//narL//ryhB//narJ//srlA//agaB//nanS//metJ//ppdA//mglC//yecR//sucB//grcA//glcE//focA//insD//rpiR//yhcH//cpxR//phnL//srlB//dpiB//fliN//lsrD//narG//casA//gltF//flhD//casD//rhaS//focA//dcuB//cbl//lsrA//fliS//glnD//eda//fadE//moaC//hlyE//ldtD//lldR//flgB//emrK//lsrA//mqsR//asnC//hypD//flgI//wza//fliE//hyfR//ahpC//safA//aceE//lexA//cysU//gspF//katG//mlc//ryhB//recC//ulaA//flu//glyA//ddlB//modC//sgbE//ruvB//
FliZ	flgL//hyi//mntS//gspF//caiD//hisQ//nagA//tisB//nrdH//hisQ//nrdI//xapB//sufA//cpxP//motA//yegR//oppA//malY//ulaD//wzzE//caiA//
FucR	betA//rbsB//sucC//mdtD//dmsD//nrdG//aroF//
Fur	mdh//rutC//ompW//thrS//rpoS//nuoA//phnE_2//fiu//aceF//poxB//tauB//hisQ//caiT//spy//putA//recC//yqhD//ddpD//malY//yhbT//galS//fepD//gltI//relA//mntS//hcaE//dgcZ//dhaL//araD//yfdX//iscA//sdhC//hokE//rpmA//cpxP//pstS//ygaC//dnaN//efeU_1//katG//ydfX//yiiS//fepE//ydfX//agaS//paaZ//thiP//hisM//hisP//paaI//fiu//zinT//leuO//potG//polB//pspF//psiF//entE//gspJ//iraM//nuoF//gpmM//cas2//tsgA//rutE//waaH//recA//thiP//srlA//metC//gspF//narH//rybA//pdhR//dhaM//umpH//yccT//ubiX//eno//gadY//fadJ//uvrA//wcaB//ybhS//nagA//nfuA//torD//flhD//fepD//nlpA//nemA//napC//nrfD//iclR//efeU_1//yhjC//nrfC//artI//mtr//glnQ//ftsW//tsx//gspL//phnK//ecnB//creC//rpsU//pspB//yccA//frdB//artM//phnP//nrdH//yiaM//malF//ykiA//hycI//manZ//rob//phnC//iscR//yciE//trpD//higA//csgE//ppiA//narJ//agaW//rhaD//bolA//
GadE	amtB//ydiV//ddpB//tauB//lacY//lrhA//rcnA//gudD//yafP//argF//xylA//metF//ydhY//rutG//asnB//dtpA//aroG//cusR//caiC//creD//ugpQ//nrdE//umuD//csgB//paaJ//tbpA//cysM//mhpE//hybC//
GadE-RcsB	ddpB//flhE//srlD//ftsA//rcsA//cysB//glnP//hypE//gabD//
GadW	aceF//bioF//nagC//malX//codA//ybhL//malY//katG//gudX//glcF//fliO//artI//rimK//dsbG//marA//
GadX	ppiD//arsR//yjbH//ecpA//rffT//fepD//csgE//araA//mdtC//malF//hokE//gloA//gabT//yciX//gutQ//nrdB//yjhC//glpQ//napA//cusR//motA//glgP//flhC//ssuA//araG//hycE//cpxP//tdcE//argR//
GalR	argG//metF//tcyJ//tadA//flgN//cyaR//cysD//pyrC//ugpA//cyaR//
GalS	ddpA//yeiL//thiP//napG//cspD//xylR//ttdR//nohA//rpoH//entD//
GatR	yegH//zwf//fhuC//guaB//nrdG//gltJ//
GcvA	ccmH//fucK//pgaA//edd//uxaC//
GlcC	yhhY//nfuA//cpxR//bioD//fepA//sdhB//flgL//
GlpR	lrhA//hydN//cusA//nuoK//phoP//pgi//fhuB//rplU//dpiA//
GlrR	yjbE//pdeL//yjbG//talA//argC//
GntR	creA//nrfE//srlD//glpQ//argR//aroG//ynfH//ruvB//idnD//nanE//yfiR//infB//
GutM	relA//gadE//fliZ//torD//ydfD//metR//ybfE//
GutR	sufC//ribA//metQ//fdnH//rseA//yjbE//accB//
HU	aroP//cspI//waaZ//yafQ//ppiA//rutG//dctA//lldP//fliN//
HcaR	purL//ddpC//icd//pykF//dnaA//paaK//
HdfR	hcaE//cusA//tyrP//ygdB//ccmC//
HigA	iscU//hypA//
HigB-HigA	polA//hyfA//
HipAB	gcvH//gpmA//envC//accA//dapD//
HipB	hybD//speA//znuB//argT//cysE//nimT//
HyfR	fecB//metB//aceB//dtpA//dmsD//hycH//paaZ//leuL//uspD//fliQ//metC//wzc//
HypT	phoP//napF//dnaG//rybA//puuA//phnE_2//garP//csgE//inaA//dmsB//ppc//uhpT//mdtD//
IclR	lpxC//purD//potH//hipA//
IdnR	gatA//glmS//chiP//dpiA//recB//glnA//fliE//
IlvY	safA//argB//
IscR	lacZ//appX//phoU//nanS//dctA//gapA//glnB//glmU//dkgA//emrK//hybB//fdnG//cysW//mtr//feaB//ygbA//atoA//yegZ//yeiB//lysR//paaC//ugpE//treC//nuoB//uof//yoaG//glpX//rimK//araJ//galT//wrbA//yhdW//
KdgR	gcvB//cyoD//
KdpE	citC//yqhG//fliE//glcC//
LacI	yhdW//alaS//ydfN//
LeuO	flhB//oppB//mltF//wecE//yciG//paaH//ulaD//ecpR//iscS//mgtA//galS//ydbD//hemL//fnr//lolA//glcF//lysC//argR//metQ//emrY//
LexA	ydcS//tsx//agaI//ydfX//tsgA//mdtF//cheA//rnlA//glgP//ycgR//rffH//rarA//entE//insK//tnaA//accB//yciW//argC//dcuD//nikE//nrdE//lsrB//putP//yeaD//infC//glnQ//gltF//tauB//hycA//dhaM//evgA//feoA//fimB//cysB//aceE//copA//feoA//narX//insK//casA//cyoE//marB//rnpB//caiA//sdhD//lamB//putP//ftsI//acrD//cas1//deoD//flhC//ddpA//rbsK//hydN//fadM//leuB//waaZ//cysE//
LldR	gabT//nagC//phnN//
LrhA	intQ//yhhY//yecT//allB//
LsrR	ccmH//ycgR//betB//yoaG//glnH//yidL//uspE//cysC//iscR//
LysR	cydD//rob//
MalI	emrB//dmsB//betB//
MalT	cspE//tcyJ//ygiA//glk//pflB//glcC//umpH//ddpF//phoA//gntU//
MarA	yhiM//trpB//ribA//ebgA//dmsB//ddpD//trpD//iscU//betA//yiaN//ftnB//phnN//araD//paaE//ybfE//uvrY//relE//hypD//oxyR//garD//oppB//bglF//argC//yfiR//pdeR//metL//acrR//aroP//argE//potI//glnA//rffC//mntP//cdd//mgrR//gltL//fadD//ybhS//
MarR	rbsC//lysR//fadM//
MatA	nirC//paaX//creD//ccmG//leuD//fhuA//deoD//flgB//
MazE	trpE//nuoC//phnP//
MazE-MazF	phoQ//mraY//wecC//
McbR	nuoC//crl//isrC//flgJ//
MelR	yegZ//sufA//malT//
MetJ	iraP//hcr//nuoN//ompW//hcaD//ftsW//yjhC//emrB//ebgA//narH//ynfH//yhdZ//pspB//efeU_1//yjbF//
MetR	yiaO//torR//fecE//idnT//flgD//
MhpR	motB//rybA//lrp//fliZ//qseC//adiC//
Mlc	fhuD//gadF//focB//ccmC//entS//rob//malM//sdhD//aceK//mngB//
MlrA	fliM//chbG//dhaK//tonB//mlrA//lamB//narL//gspE//ldtB//fhuF//
MngR	eno//caiE//setA//
MntR	rbsC//purE//xapB//ung//mltF//
ModE	dmsD//aceE//deoD//dnaA//grcA//safA//nuoC//yhbT//garP//pdhR//yeaD//ydfN//paaK//metJ//borD//rpiB//norW//nlpA//bglJ//yhiM//ygiB//rhaB//sbcC//pgm//nrfB//hybO//pnp//moeB//rpmA//rtcA//wecE//hipB//waaH//gutM//gcl//glnG//paaE//exbB//hyfF//phnJ//baeR//nanC//sbcC//rffH//citG//mtlD//
MprA	mgtL//casC//mglB//pyrD//fadB//yafQ//
MqsA	pstC//pgaC//ruvB//phr//araA//uvrY//wecB//argG//
MraZ	mraY//lsrD//dpiA//zntA//mnmG//htpG//flhA//gcvA//tisB//malQ//cyoC//paaH//hokE//evgA//cspE//napD//cdaR//
MtlR	mglC//ydiU//fes//
MurR	lysC//feoC//mprA//
Nac	ybfN//napG//baeS//wzxE//puuR//lacA//rtcB//hisM//relB//oppB//yqjI//rutB//acrR//artI//frdA//alkB//ftsQ//lamB//ftsZ//baeR//ccmE//
NadR	fhuA//yecT//fadA//fldB//
NagC	nikC//uidR//ynfF//dcuR//waaH//fepA//aroL//flhD//mhpE//patA//phnE_2//glnH//ompN//gpmA//deoD//fliS//wzzE//xylB//yeaD//ompN//ddpX//oxyS//hdeB//ddpF//mngA//hcaC//napG//galM//yhjA//hyfE//gcvH//ycgZ//flhC//hisQ//wzxE//sucD//hcaB//
NanR	rnlA//fecI//nanT//glcF//pgi//dinD//ssuA//entA//napG//ssuE//cas2//
NarL	fecB//sucA//pyrC//hisP//alkA//yeaE//ynbC//treR//purN//ulaG//cecR//sucD//deoC//nlpA//gspM//bdm//yrbL//cueO//hisM//feaR//flgJ//rnlB//gadY//yhbT//nikR//yafP//betA//flhB//ycdZ//bioD//sdhA//cpxP//tyrP//purB//fimB//mdtC//yidL//lyxK//dcuB//ydfH//dinQ//polA//pgaD//nfuA//lacY//phnK//gntK//ynfG//asnC//pdhR//marB//gspC//fliS//pykF//mgtL//murE//gutQ//ydhV//mepH//alaS//garD//lpxA//ppdB//thiQ//dsdA//flgE//dnaA//mipA//ydeO//yjhC//hycE//galM//cyoC//rtcA//nmpC//pgaC//galE//exbB//rutE//speA//znuB//nadA//lsrA//qseB//entH//cyoC//cysE//speB//ydfH//dsbA//garD//uxuR//pnp//narJ//rybA//galR//frc//phnE_2//adhE//artJ//hybE//glcB//cysW//phnP//fhuC//fliP//tdcG//norV//dmsC//frdC//glpQ//rstA//hdeB//lacA//pspF//omrB//allS//mgrB//nuoN//nikB//lsrD//lexA//mntH//
NarP	malM//dtpA//glmU//ebgA//yeaD//lacA//phnM//phnK//fabA//cyoE//nac//glmY//patA//purN//nimT//narJ//aroH//casE//gspD//mgtL//sbcD//caiA//kdpB//rutG//metE//iraM//rybB//aroG//hyaC//yhdW//uxuR//ftsQ//rnlB//feaR//hdeB//fadM//xylA//allE//ygbK//psiE//ompN//sroC//srlA//tauB//pgaD//dgcC//nikE//glcG//zntA//ldtD//
NemR	fliP//dctA//argE//
NhaR	phnI//add//nrfB//malG//hyfB//flgD//cirA//
NikR	pepD//fliZ//metQ//ydhW//ccmB//mhpD//
NimR	rimP//ttdR//
NorR	ldtB//gltJ//ygaC//
NrdR	ccmG//fadD//fabZ//rfe//pdeR//pflB//yccT//flgC//yqjH//
NsrR	dinB//phoR//fixB//yhjA//paaG//potI//metN//fadI//psiF//gadX//fecR//fnr//moaD//cysK//tauC//nusA//higB//purR//dicB//ybjG//malF//nuoJ//agaR//nrfE//nuoI//yhjX//fliL//ldtD//cysI//pck//gntX//gdhA//nupC//hcr//entF//ssrS//tdcD//ydcV//skp//ybdZ//oppF//dmsD//rimP//csgE//hyi//mpl//pspE//wzyE//gpmM//flgE//gudP//ftsA//csgD//pagP//mipA//prpB//uxuB//ogt//moaE//tonB//guaA//galR//paaC//gpmA//yiaN//araD//fabB//sgbU//yagK//fbaB//katE//ariR//aslB//infB//purE//emrK//caiD//phoA//cusA//bhsA//flgJ//yafN//mzrA//
NtrC	folA//iscA//nikR//sucB//fliZ//fliD//metY//dacC//pheS//galM//ygiB//malK//qseB//moaC//htpG//fliZ//gfcA//napC//mlc//lldP//yciE//ydeN//ydeN//bglG//argO//hycA//flgI//cysW//purL//znuC//rcsA//mglA//entE//sroC//dctR//pdeR//tehA//agaR//glk//envC//ybhL//fixC//hybA//galR//yebG//purE//ilvC//ddpX//yqjH//
OmpR	osmB//qseC//hyfH//aceA//hyfR//rob//ybdZ//asnB//mtlD//rpoD//yhdZ//nanT//emrK//uvrA//erpA//htpG//rnpB//phnP//ptsH//ribA//fepD//
OxyR	rhaS//flhE//metI//tdcA//ddpC//hdeB//gspC//ribA//dhaL//tdcD//dicC//ynbB//ybhG//nrdB//mhpT//fadL//codA//ydhV//hyfD//gntK//hyaE//ppc//hycH//gapA//soxR//prpE//icd//cysW//recB//aceB//asnC//murG//gltF//xylG//
PaaX	mdtD//citC//dgcZ//mgrR//metI//yjjZ//malY//treB//yhhY//hycF//garL//pspA//aceE//hyfI//
PdeL	tdcD//
PdhR	glmU//paaX//bioC//recA//cspE//sgbH//ulaD//ycjG//ykgM//fliC//ybaT//potG//fecE//flgF//ddpB//metI//ygdB//aceF//mtlA//ybbY//araA//mdtF//flgC//cusS//ycjY//gpmM//marB//nac//garP//gspE//gor//fixX//phoB//ynfE//kbaZ//uvrC//ssuD//rcsA//ilvC//katE//glgX//
PepA	phnL//alaC//purB//
PgrR	rpsO//hslJ//lgoR//gpmA//ddpF//icd//paaY//allC//
PhoB	pepA//gntX//sucA//aroG//ybhG//gcvH//fecE//trpD//rbsA//ruvB//araA//crr//ftnB//fruB//ftsK//artQ//sgrS//asnC//paaK//frdB//yeaG//yiaJ//pstS//purK//napG//hflD//hycF//ygeH//rpiR//atoD//narH//glnK//rffT//agaW//phnJ//pstC//aldA//hyfF//thiP//ada//yhhY//uxaA//asr//rcnB//envC//add//qseB//yafO//cas2//gcvB//yrbL//entH//ynjI//ogt//carA//nuoA//yiiS//acrR//ruvA//citE//
PhoP	exbB//pspG//znuB//srlB//yqjH//phnE_1//cysN//adhE//metA//srlB//ptsH//lpxD//purF//purB//safA//fecD//folE//gutM//hyaE//allE//deoB//cpxR//rstB//wecB//hcaE//galE//ttdR//yoeB//caiF//folA//dsrA//rplU//dsdX//ydeM//trpR//caiT//xapB//lolA//mipA//yqjH//arsR//lpxC//yhdZ//alkA//manX//adhE//qseC//gntK//metF//fliJ//flhC//aroH//gadY//htpG//rclA//uvrY//
PrpR	ymiA//ycjF//phoU//araH//paaZ//
PspF	insK//melB//glpX//ykgO//nimT//aroF//flgL//
PurR	tauA//moeA//ftsL//trpB//mdtD//fepD//astD//ybdZ//potI//yfdV//glnP//ybjC//rplU//ydeI//garR//srlE//soxR//nfo//ompC//araA//ymgC//paaG//chbR//cspE//ompT//lpxD//metN//tyrP//iraM//agaI//fnr//
PutA	paaD//gabT//
PuuR	glnH//ynbD//exbB//murR//yiaJ//rclC//fliL//
QseB	uxuB//cysP//nuoJ//agaC//
RbsR	adhE//bolA//dinI//chbC//purE//pspA//puuP//glxK//yjbF//
RcdA	fhlA//araD//hycI//nikR//paaZ//atoE//umuD//uxaB//relB//
RclR	yiiS//rimK//recB//
RcnR	pstC//yebE//agaR//
RcsAB	fliG//zraR//ymgA//gspF//ddpB//appX//mprA//fdnG//tbpA//pspA//fucK//accC//yciW//ulaD//uidC//yaiA//
RcsB	manZ//hycC//dsdX//cspI//hyaA//rpiB//appX//fucU//rbsK//lsrD//sucA//rutD//aceA//rbsD//rstA//mltF//rpiB//gpmA//tnaA//ycjY//nfsB//frc//metA//pnuC//pheM//
RcsB-BglJ	ydbK//nrdG//srlB//citG//tdcC//chiP//nirC//ybdZ//mpaA//gpmM//tcyP//ynbA//pspE//torR//cueO//fhuC//
RelB	sgbU//allE//emrB//
RelB-RelE	hyfJ//ydcT//tolC//
RhaR	sucA//ydfN//
RhaS	cpxQ//cysH//flgE//rnpB//fadJ//yoaC//
Rob	xylA//ygiB//dctA//yaiA//marA//yrbL//gcvP//ppc//dacC//lysR//dcuA//chbB//phoE//mqsR//puuC//nuoN//rimK//gadW//astD//phnJ//tfaQ//gltB//pdeR//waaZ//pgpC//cyoC//
RstA	phoR//citD//pflB//hyfB//guaB//ynbC//hemL//phnF//ulaG//agaD//
RtcR	deoC//dnaA//
RutR	fliQ//ppdC//wcaB//lrp//entA//asnA//uidA//argF//intQ//glpA//fliJ//araH//hybE//cysP//puuP//umpH//fabG//
SdiA	efeU_2//cydC//tdcF//nagA//ybjN//
SgrR	alaS//gadF//feoB//dinI//ydcS//csiD//yhjA//xylG//xapA//
SlyA	mdtB//
SoxR	ddpA//bdcA//gapA//
SoxS	marB//ptsG//dinF//leuC//agaW//norW//garL//cheW//pgm//appY//glnK//citF//malQ//hybB//nusA//phnF//hisQ//btuB//astA//yciW//glgC//yncE//rpiB//cueO//yecR//napC//purA//dinF//yibQ//lpxC//gltK//nhaR//aroL//tbpA//recX//pgpC//casB//mtlR//bhsA//malY//
StpA	mepH//baeR//fliR//rhaR//pgpC//obgE//umpH//
SutR	glcD//fabZ//yiaO//fepG//amn//
TdcA	entD//nikD//umuC//ycgZ//btuB//tyrA//hha//
TdcR	recA//flhA//rffM//yqjI//gntP//nrfB//csgG//
TorR	wecB//gudP//betA//hybE//csgG//ymjD//argO//rstB//grxD//gltF//rpiB//flhE//
TreR	ybhL//ykgM//
TrpR	hyfJ//ydeP//nusA//katE//ydeI//gatB//ssuC//betI//alaS//gspC//lsrA//gspO//
TyrR	ccmA//sutR//yfdE//hycC//tdcD//rpiR//rhaA//lrhA//hyfD//pspD//torD//dpiA//
UhpA	fliC//
UidR	dctR//acrB//ssrS//puuC//
UlaR	sgbE//yeiB//cadB//cyoA//gspF//rbsB//fdhF//
UvrY	hybO//umuC//rclB//hybC//tauD//
UxuR	wzyE//carA//dnaG//nimR//caiE//rsmH//yhjC//hyi//cusC//
XapR	ppc//rpmA//
XylR	bioF//rutD//alkB//glnQ//galK//ydeN//tktB//
YdeO	ygbA//nrfF//manY//mgrB//ycgR//alkB//ecnB//alkB//dsdA//crp//baeR//ynjI//appB//phnH//ydfH//fldA//cusB//glcA//tyrB//melA//moeA//
YedW	putA//citE//glnK//ynfH//feaB//mprA//citD//cysW//ppdC//sbcC//folA//dmsB//
YefM	yeiB//paaA//
YefM-YoeB	galR//gatZ//
YehT	pstB//
YeiL	nanA//
YiaJ	arsR//acrR//pflB//mntH//purE//nimT//glpC//puuE//cydB//cyoA//
YjjQ	sufS//ugpA//entS//fliD//nanS//melR//atoB//envC//recX//yeaG//
YpdB	nikE//
YqhC	yhbT//creD//
YqjI	mgrR//aroG//
ZntR	ycjG//
ZraR	hdeB//rcnA//ynfG//
Zur	cysJ//glpB//psd//gdhA//slp//hslJ//
