#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	rplT//deoD//
CsgD	amn//ycgR//ubiA//wecC//fadH//rpsU//galE//phnJ//cusC//pheS//pstC//hybO//recD//ompC//flgJ//mgrB//ecnB//prpC//cspI//rffM//sodB//alsC//dinB//recB//ftnA//ybdN//rffH//narX//
CsiR	uof//phnN//ebgA//flgK//yaiW//
CspA	cynR//galP//
CueR	lsrG//ynfG//iscA//paaB//oxc//ygbK//trpL//
CusR	ydhT//guaB//ppdC//cpxP//lexA//gapA//nrfD//waaH//ompT//phnF//pspB//hybO//
CynR	zraR//treC//fadB//fumC//
CysB	paaC//artP//ycgZ//fhuC//fimB//gabT//gadF//hybO//dmsD//yhdZ//hyfJ//lsrF//cas2//nfo//cysE//ybfE//hybC//nuoK//dtpA//aceF//mtlA//rseB//glnL//fliP//hyaB//wza//cyoB//katG//dhaL//yegR//sucC//rpiR//
CytR	nimR//yjbH//aceE//sodB//hypE//flu//insK//mdtB//phoA//ycjF//rtcB//paaF//nimR//
Dan	gudD//murG//hlyE//xapA//
DcuR	yciE//phoQ//phnD//aceA//psiE//pfkA//phnG//gadB//sucC//
DeoR	mgtL//hyfF//pdeH//sodA//marB//fumB//
DhaR	dmsA//ftsI//dinI//mntH//
DicA	sucB//treB//nrfF//gadX//exbB//iscS//gadY//spy//
DinJ-YafQ	galS//hyfH//aroH//
DnaA	rbsA//wzyE//narG//fliS//yafO//emrK//ptsI//treB//alsC//pflB//uspA//omrA//
DpiA	pspE//hipA//yiaM//nuoJ//rutE//aceF//pfkA//ybhS//sra//nanC//nikR//
DsdC	hypF//metI//yciW//
EbgR	gadY//ptrA//
EnvR	atoD//rnlB//
EnvY	puuC//thrS//
EvgA	gspF//lsrA//hycA//yafO//rffG//cysD//glpC//yafP//glcF//nanE//tyrB//rbsB//glnD//mdtA//pspE//nirC//chbC//marR//rutR//
ExuR	casB//lysO//csgE//leuA//lldD//fbaB//hyi//dps//tnaA//
FabR	garK//yciG//
FadR	napG//galP//sra//paaA//hokD//moaB//bolA//aslB//glgC//glcC//feaB//lysC//leuB//gatD//alaS//citG//glk//ptsH//malG//hyfE//uxaC//lamB//yeaH//
FeaR	yeaD//mdtD//
FhlA	hyfJ//nhaA//frdC//narK//rffM//pgaB//nrdH//wza//ynbC//fur//prpR//lysR//hisM//ompT//chiP//rfe//fliC//cadC//guaA//hycB//pgaB//agaW//paaJ//rseC//cyoE//lldR//dkgA//atoA//yagK//flgE//
FlhDC	rffC//caiC//rsmH//ldtC//yoaG//norR//yegR//bglF//fdnH//pdhR//ccmF//purB//argH//glmU//nemA//seqA//lacY//mipA//malX//cysW//ssuD//ompN//pqiB//citC//yeaH//nagE//yqjA//ynbD//tnaB//nfsA//torR//phnM//ugpC//iraM//sgbE//tsx//alsB//phoR//mdh//yiiS//dsdX//hdeD//fabG//yiaN//lysO//phnG//betA//sroA//mhpT//fadH//ydhW//cvpA//cynR//leuD//treC//yjiY//fadA//gltF//dhaM//wcaB//fbaA//carB//mgtA//atoA//gltB//betI//ydcT//malS//treR//yccJ//yidL//rbsK//alsE//yegH//uidC//ihfA//ydcU//ymgA//cysN//narJ//ttdR//cysM//
FliZ	ssuA//pstC//fbaB//hycD//pdhR//gntK//cysM//rybB//nrfB//torC//yoeB//glcD//prpC//garD//phnO//patA//rpiB//copA//paaG//phoU//rpoS//
FucR	wcaB//mngB//sgbH//pdhR//hslJ//mepH//stpA//
Fur	tdcD//fecI//mhpC//osmC//hybC//glpD//entB//ybfE//ygiA//gadW//ptsI//ydcT//waaH//argD//tdcA//fixA//gspO//waaH//napB//fepB//norR//rpmA//lyxK//yccJ//feaB//hypE//yjiY//manY//ybhL//glmU//cusC//trpE//fecC//ybdZ//gspK//araE//moaA//dnaG//hyi//yefM//tadA//soxR//rhaB//uidA//ykiA//sdhA//yccJ//cytR//soxS//purR//tdcG//ulaE//hdeB//trxC//hycI//guaB//hcp//norR//glcC//htpG//rnpB//uidB//hyaA//phnE_2//argB//iclR//nimR//puuB//nohA//ftsA//gadB//galT//ssrS//mntP//codB//pgaB//glgX//ychF//acrD//gatD//zwf//inaA//htpG//dacC//mpaA//phnP//pheM//fepC//astB//fliP//nfuA//ydeN//glgA//pheS//lgoR//tsr//molR_1//ydhV//mdtA//mazG//uspE//cpxA//fadB//murP//fabA//yjjZ//fau//hypC//ogt//araD//mhpD//tehA//hycB//yoaC//fau//yfbR//micF//yiaN//cysG//alsE//pyrD//tauC//malY//cpxA//chbF//yeiB//ariR//nirD//malE//asnC//
GadE	decR//rpmA//cysM//ynfH//alaC//psd//purM//hyfD//nimT//degP//flhB//bioF//bglG//ydeP//agaW//slt//uxuR//nemA//gspG//setA//fepA//fucA//ynfF//mzrA//ulaB//glnB//dacC//alsB//uof//
GadE-RcsB	lyxK//pgk//metR//dsbA//dcuA//yhhY//yjjQ//caiT//agaW//
GadW	nuoH//modB//erpA//artP//nikD//fliM//nagC//qseC//phnF//yegR//norV//astD//ybjG//srlA//dsbA//
GadX	dsbG//hcaE//phnK//spy//mdh//nimT//omrA//dsdC//cytR//murP//ynbD//cysN//gltJ//ydeO//ssuC//tnaC//dhaK//ilvY//modA//ynfG//emrA//yedX//yegR//srlE//puuR//murD//hypA//modA//hemH//
GalR	metH//yoeB//fadE//fliH//chbC//pspB//rffM//glnH//uhpT//ynfG//
GalS	uvrA//agaV//ascB//tynA//glcB//rutB//metE//sgbH//cyoC//dhaK//
GatR	wzc//hybE//glnG//deoC//sucC//fadL//
GcvA	arsB//fur//rcsA//fepC//crr//
GlcC	paaF//torA//lrhA//metY//glmU//ahpC//pgaC//
GlpR	mngB//malM//cynS//nuoF//uvrC//fadM//phnE_2//ynbD//mngR//
GlrR	frdB//nac//ydeP//gatY//araG//
GntR	purA//nanM//hydN//sdhA//pspE//sbcC//nfo//exbD//rbsK//hdeB//nanM//ubiA//
GutM	ccmB//ydhT//citD//nimT//lacY//tauD//ydhW//
GutR	metF//yfiR//putA//marR//prpD//speB//pheM//
HU	purR//fixC//uspE//garP//garP//feaR//yccA//epd//uidA//
HcaR	csgB//araA//yjbF//idnT//rpoS//cpxR//
HdfR	ydhV//cysW//ahpC//bglB//qseC//
HigA	fhuF//edd//
HigB-HigA	alkB//ecpR//
HipAB	murC//alaC//fucA//yqhD//hybB//
HipB	rcsA//yecR//recX//emrY//sgbU//emrB//
HyfR	glxK//recC//acrZ//nuoF//nuoM//fliD//lyxK//hyfD//deoB//fucP//fliH//frc//
HypT	nikB//fepD//borD//glcG//mtlA//nadB//flgB//gspE//paaY//nupC//ykgO//yiaJ//rpsO//
IclR	pgpC//entC//astE//exuR//
IdnR	malQ//gor//srlB//yjbF//nfo//dgcC//ssuE//
IlvY	uxuR//sufS//
IscR	rdoA//cueO//decR//fecD//lpxA//ttdA//appX//iclR//phnJ//uvrD//gspH//dsbG//chbB//fimB//ynbC//rpsO//dcuS//gltB//yafO//tehA//fliI//purE//nuoN//gadA//glnL//arsC//betT//rutG//chbR//tomB//dhaK//chbF//
KdgR	luxS//yhjC//
KdpE	rffC//hyfH//nrdD//cysE//
LacI	citX//rffC//rpsU//
LeuO	bioF//aspA//hybC//malT//mazG//mhpA//ibaG//csiD//lexA//ariR//obgE//gspJ//acrD//rtcA//malG//nrdA//puuB//dsbG//safA//wzxE//
LexA	alkB//cspD//hycD//hycE//gcvB//thiP//hcp//mazE//carA//flgE//rhaA//nirD//aceK//glpF//cusA//dgcZ//glnP//puuB//phoB//lrp//ybdN//modC//norW//manX//idnK//alsB//rarA//metJ//fldA//osmY//idnO//dhaR//pyrC//aceK//rcsA//ppc//cysI//deoB//ldtB//cadA//betB//gadY//znuB//ynfK//fliP//nagE//ybaS//pck//yjbE//recF//glgX//arsR//prpE//rbsA//tehA//adiA//yhbT//hyfE//flgL//
LldR	bglJ//pflB//casA//
LrhA	sgrT//tbpA//hcaF//pgaB//
LsrR	yqjH//mgrB//cusC//lpxC//rfe//aroM//lamB//phoP//yjbG//
LysR	hydN//hybB//
MalI	sdhB//trpB//sufD//
MalT	cysJ//tehB//gpmM//ygbK//uspD//yaiW//yqjH//lysA//agaA//prpD//
MarA	znuA//ymjC//moaD//ygiB//dsdX//mdh//tpiA//tyrB//glpX//agaW//leuA//hisQ//araE//yeaG//gadE//modC//nrdA//higA//ldtB//glgP//alaS//mglC//csgA//gntX//yiaJ//fdnI//xylB//ccmB//grxA//deoC//mntS//glpX//hlyE//bioC//modB//bolA//frdA//leuD//
MarR	ybjN//nrdG//phnK//
MatA	dgcN//ydeO//casB//copA//fumC//glcB//rplU//rbfA//
MazE	melB//asnC//psiF//
MazE-MazF	phnE_2//yhbS//yeaR//
McbR	mhpE//oppA//ebgC//kdpC//
MelR	wzzE//mhpT//efeU_2//
MetJ	nuoK//lamB//yjjZ//srlE//fliG//yqjH//infC//garL//hipA//mglB//nuoK//ryhB//araJ//cspD//galM//
MetR	lpxD//atoB//lacY//yfaE//fliH//
MhpR	metF//ydhU//skp//purC//ydfE//hyfA//
Mlc	sdhC//prpC//ugpB//pdeH//fadA//yecR//nuoN//puuE//aroM//xylH//
MlrA	appX//tisB//appA//ybdN//katE//borD//nagC//grxD//mntH//hflD//
MngR	rpoE//rplU//yccA//
MntR	arsR//phnK//gspO//mltF//nanM//
ModE	ydfW//exbD//yjhB//torD//murD//yrbL//edd//ygeA//oppB//tcyJ//fliE//zraS//ecpR//wzyE//ampC//wcaB//exbB//fecB//mtlD//feaB//phoH//yafN//crr//modC//malY//fau//paaB//chbA//mgrR//modB//ybjG//phnJ//ulaB//glnP//hypA//gatD//aceK//alsE//hyfE//ygiC//hcaF//glcA//sroD//cheA//ymgA//yefM//
MprA	polA//accD//ftsA//argT//iscS//ugpQ//
MqsA	dps//hyaA//rutA//metN//fumB//cusB//yhdY//metY//
MraZ	fumC//hns//hyfA//rffM//lamB//prpB//citX//ftnA//slt//rffM//lsrB//betT//hycA//rpoD//napD//ynbD//mngB//
MtlR	accC//cysN//ynbA//
MurR	paaB//ydhX//yfdE//
Nac	uidA//ccmB//malZ//agaD//fdhF//wecC//dicB//nemR//paaX//nfsA//leuA//mglC//ygeH//hycH//arsB//mlc//gutQ//fliH//araG//ynjI//paaA//
NadR	sdhD//gnd//aroL//oppD//
NagC	yhdZ//yeaH//aroM//trpD//rffC//thrS//insD//ydeO//nrfC//ebgA//mprA//idnK//accA//pgi//puuP//purC//mglC//isrC//tolC//umpH//flgA//glpB//argR//pgm//gloA//dinF//gadF//fadL//dapD//mprA//accA//nrfA//betT//iraP//tauB//alsB//yciW//
NanR	frdD//fldA//mglB//umuD//qseB//hcaF//melB//phoE//dapB//recF//fecC//
NarL	tsr//hyaA//katE//hycA//bioF//puuD//bluF//dgcZ//mntP//ryhB//pqiA//carA//fucA//lhgO//gltL//ecpR//dps//ftsW//gyrA//ymjD//rarA//pspB//gatB//manY//yafQ//leuA//hypC//lexA//agaW//yjbE//ssuC//fabG//fucA//nrfB//fabG//lsrB//paaE//phnL//cdd//hns//xylB//prs//dinQ//ygiC//ihfA//potI//ftsL//eno//nrdA//fixB//pstA//nuoI//nemR//flgK//copA//gcl//luxS//ydfN//cydD//sutR//flgG//fucU//paaZ//hcaR//hyfF//fixX//srlD//ybaT//gatB//allE//nrfB//csgG//mdtB//dsbG//fucR//adiC//fliK//ycgR//omrA//puuP//murE//citC//motB//thiQ//phnN//dinG//yfaE//rhaD//mhpD//ddpF//rhaR//yegH//sufE//ppc//sucC//oxyS//ariR//nrfC//nirC//hisP//yfbR//nemR//ybaS//rnlB//ccmG//metL//stpA//rnlB//acrA//dgkA//astB//casC//yoeB//aldA//narG//nmpC//tsr//gspC//leuD//tolC//sufE//rpoE//mpaA//
NarP	fecB//cysI//soxR//galR//fabB//gspK//aidB//srlR//cysA//fumB//fbaA//rimP//ugpC//modB//rybB//yjhC//malI//bdm//moaB//yecT//cysM//tyrA//rpsU//cusS//caiF//fnr//ulaF//ompC//glgA//moeB//waaH//pgm//moaC//sbcD//argI//atoD//lysP//nikD//flgN//pgaA//hyfB//baeR//cas2//folE//fruK//cusA//gutM//acrD//nupG//atoD//
NemR	lsrA//sufC//moaC//
NhaR	gor//deoC//trpD//hycI//ccmG//rbsA//ccmD//
NikR	yoaG//yfdE//ygiB//metL//phnN//fliP//
NimR	lexA//hcaC//
NorR	hmp//fldB//pspD//
NrdR	hypA//lysC//cusF//thiP//hemH//putP//hyfG//fhuA//ulaD//
NsrR	csgF//wcaB//betB//ydjM//rutR//ldtC//hisP//trpL//rcnB//glnK//xylB//ydfE//nanM//rsmH//ybhS//metJ//cho//amtB//ydeN//waaY//nrdF//deoD//allC//lrhA//alsE//yebE//glnA//ynfH//osmB//hybE//yhcH//dkgA//moaE//metI//moaA//fepG//yneM//fadA//yeiL//nuoC//lsrK//uxaC//yjjZ//pfkA//flgB//dpiA//atoB//cysA//ybhF//araD//ydeO//narI//aceB//glgC//fecE//cbl//hyaE//hydN//sufA//glmS//gcvA//dcuB//infB//ycjG//fhuA//gspF//efeU_2//tdcD//gadE//mdtC//metE//fadA//fucI//hisM//nrdF//idnO//oppF//safA//borD//hycH//hisQ//iscS//gyrA//
NtrC	dmsD//fadL//nuoC//flgE//ydhT//flgG//bolA//purB//ssuD//gatB//chbF//gspD//bluF//fecA//malG//ppsA//marR//cueO//casE//kdpB//rbsK//cspE//pitB//dicC//mazF//recC//nrdH//fadM//zraS//nimT//hycB//yhbT//rob//creD//glpD//malP//trpR//ydfX//yhdW//glxR//allA//ddlB//ybhL//ydcU//iraP//gabD//cbl//sbcC//yidQ//
OmpR	fliK//rprA//wcaA//aceF//flgM//mgtL//yjbG//torR//yhjC//kdpF//pheS//nikC//uspA//pflB//pqiB//metF//yhdY//mdtB//narX//nrdI//phnF//
OxyR	hemH//fhuF//paaJ//purN//dps//citG//yjbH//idnR//purD//ibaG//dhaK//lacY//paaI//ydcT//nuoI//hcaC//ompW//yiaN//katE//ygiB//uidB//uxuR//adiA//mngA//hisJ//dmsC//glnG//hyaE//nikD//frdB//glxR//iclR//cynR//trpC//
PaaX	fucU//nfsA//argO//nikE//betA//cysP//rnpB//crl//dnaN//glgX//glpT//nrfF//omrA//bglF//
PdeL	fhuF//
PdhR	yibQ//purD//araB//argO//narH//cysK//rpoE//ybfN//rplT//flgH//gadA//hisQ//acrA//malP//ydjM//folA//trpR//dacC//ampC//grxA//dnaG//ptsI//hha//hyfE//fabD//fixX//ydfH//caiF//yjhB//yagK//flhE//nuoN//fhuE//nuoH//metA//znuB//cusR//yfbR//katE//hslJ//iscS//
PepA	patA//mlc//nhaA//
PgrR	hdeD//napF//rffH//ygiC//paaK//bioF//modA//astB//
PhoB	glcB//cysG//add//recC//frdA//fepD//mhpF//csrB//allB//fadI//umuC//pagP//nmpC//ilvC//yjbF//phnM//gadA//appX//chiP//rnpB//ybbY//purF//ccmA//dcuB//dgcZ//trpE//grxD//cpxA//paaG//tolC//trpC//fhuD//rclC//phnC//nanK//pnp//hyaD//xylA//ycjF//mntS//fliK//rfe//ykiA//omrA//lpxC//creC//hyfR//metA//accC//aroG//phnO//fhuD//phnE_1//gapA//paaJ//ubiX//gltD//paaH//znuC//yfiR//
PhoP	mgrR//yaiW//metK//caiB//ynbC//nrfA//yhdX//ybhG//mglB//sodA//metL//ycdZ//oxyS//sra//phoR//poxB//fimB//purD//galR//recN//motB//nagE//deoA//lysO//dsdX//ydcT//mhpB//flgI//lsrK//katG//fliR//gspL//yibQ//yoaG//frdD//dhaL//rfe//ydeI//lysC//ccmC//zntA//argH//pspE//rutR//aidB//ydfH//mzrA//phnE_2//talA//phoP//aceA//ydcS//mlrA//rffH//gltJ//narK//
PrpR	setA//rybA//agaV//ecpA//ruvB//
PspF	citG//fadL//glpQ//glxR//tsr//nirD//copA//
PurR	uspA//creC//mdtE//frdD//glgP//ebgA//hcaD//nrdB//mipA//gpmM//hyfH//flhB//cusA//ybdZ//ygaC//dpiA//ndh//mngB//rcsA//yhhY//wcaB//carB//gspJ//nikD//rpoE//fliR//dicB//yiaJ//csgE//alaS//yneM//
PutA	gadY//trpE//
PuuR	ascB//gor//ssuA//paaI//entF//sbcD//ynfG//
QseB	yhbS//malS//mhpB//mraZ//
RbsR	treB//allE//fadE//phoE//norR//accA//nanS//fadA//glcB//
RcdA	ssuE//phnM//aroF//xapB//srlR//marR//sbmA//fepD//lldD//
RclR	phnJ//bdm//napG//
RcnR	arsB//nfuA//csgG//
RcsAB	accC//araG//ydfX//dmsB//yoaG//tisB//nrfE//phnD//ydiV//kbaY//potF//ascF//gudP//oxyR//rffM//norR//
RcsB	hybG//yhdY//yagK//pspB//feaR//uidC//dctR//dkgA//treR//uxuR//ttdA//yidL//gltB//hypF//caiC//wzzE//hyaF//tdcF//metH//gor//rpoH//pheS//dinB//cydB//rbfA//
RcsB-BglJ	exbD//dmsD//napF//relB//bdcA//dsbC//dmsA//lyxK//modC//fadD//yjhB//fhuF//modB//mpl//csrB//iscA//
RelB	ppdC//cpxP//yiaN//
RelB-RelE	sucA//srlA//phnL//
RhaR	cyoE//ftsI//
RhaS	fucR//argE//malM//yfdV//icd//katG//
Rob	yhiM//cysA//recX//gadA//recB//nrdA//rutG//hyfB//rutD//ybhG//fliG//nuoM//gspE//sdhA//csgB//ydhY//pck//purK//bdcA//luxS//tdcG//uxaC//recC//caiF//alaS//ttdB//
RstA	rpoE//ynbA//ppiA//qseC//mscM//wecC//malS//crr//xylR//ybhG//
RtcR	codB//uidC//
RutR	recB//thiQ//nmpC//hyfB//frdC//hyaD//ybhL//galS//hisP//ruvB//argH//hycE//phoP//rimP//eda//nuoG//hemH//
SdiA	argT//yeaD//ssuE//leuA//ccmE//
SgrR	flgI//gadX//hypE//leuA//modC//evgS//pheT//pgm//cydD//
SlyA	gspG//
SoxR	isrC//tyrR//sbmA//
SoxS	trpR//citF//artM//mdtA//glgB//feaR//tyrA//aceA//gspE//araA//cusS//alsB//acrB//araB//ydeI//tfaQ//soxR//argC//tfaQ//galM//fimE//artQ//nuoI//yjbG//lamB//exbB//malX//hisQ//glcE//betB//yfdE//paaB//fadB//gntU//betB//hcp//sdhD//yhdX//metE//yhdW//
StpA	gntX//yiaO//gltD//araH//envC//glcG//purC//
SutR	chiP//lsrD//feoB//hipB//arsB//
TdcA	ybbY//hyaE//nrdG//murF//htpG//moeB//nagB//
TdcR	fabI//rpsU//fdnI//sbcD//ihfA//ftsK//ttdA//
TorR	flgH//frdB//cynT//ompC//hyfH//gltI//yebG//potI//pstB//yfdV//fucR//argB//
TreR	lrp//ulaE//
TrpR	csgF//higB//ynfK//aceE//hipB//dgkA//ynbB//sfsB//nrdG//rbsD//mdtA//flhD//
TyrR	yafQ//malS//hslJ//rarA//psiE//nikE//fucP//tisB//fliO//osmC//rhaB//creB//
UhpA	gcvH//
UidR	cysE//ryhB//phr//gntT//
UlaR	nanT//murE//phoQ//dps//ydfW//pspA//betB//
UvrY	gltI//csgA//dps//deoA//oppC//
UxuR	ybdZ//garP//kdpF//tpiA//ftsW//ttdT//yafQ//metF//nuoK//
XapR	yqjH//fecE//
XylR	codB//ssrS//slt//citE//cysA//xylH//hypC//
YdeO	oppF//entB//ydfX//nhaR//fabG//ydhT//fucK//ndh//nrdA//tomB//focA//rcnR//pgaC//astD//allA//rstB//hipB//malT//treB//narH//dinQ//
YedW	tyrR//rnlA//ynfG//hemL//sdhD//fhuB//pfkA//mngA//garP//uhpT//adhE//ykiA//
YefM	kdpF//ompF//
YefM-YoeB	prpE//citC//
YehT	hybA//
YeiL	ubiA//
YiaJ	fliS//argI//mglA//mngB//pstC//yebE//xapA//alsC//caiD//recF//
YjjQ	atoA//rffM//malP//hybD//cirA//alaC//waaH//bglF//hyi//mazE//
YpdB	fhuA//
YqhC	asnA//acrZ//
YqjI	atoB//rcsA//
ZntR	sodB//
ZraR	nirD//glmS//ybbY//
Zur	yiaJ//aceB//umuD//guaA//flhD//melB//
