#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	frdC//trxC//
ChbR	rnlB//ynfK//fadA//purF//bdcA//ccmH//
ComR	pqiB//
CpxR	caiT//aceB//glgA//cpxR//rffT//cyoE//fadH//yiaL//mazG//melA//flgL//cheA//lamB//gdhA//fucR//rcnB//casE//yoaC//trpB//ulaD//malE//iscU//sufA//motA//ynjI//baeR//phoQ//moaA//nfsA//thiQ//tbpA//csgA//yjjQ//tdcF//fnr//galK//nusA//argI//ynbB//ydhX//galK//ykiA//creB//putA//sucC//ccmE//potI//fixX//gadB//lldD//puuR//idnD//chbB//flgD//ydeI//ybjG//nrfG//focA//fbaB//hyfB//paaD//aroF//pspF//mqsA//metN//cbl//ybjN//moaA//cusB//lrhA//
Cra	fhuC//rpmA//trpD//mepH//cadA//waaY//cysK//leuA//mqsR//murD//wzc//caiC//ydhY//cysP//hypB//aroL//narG//phr//hslJ//ugpQ//ompW//znuA//oxyS//uxaB//ftsL//phnO//arsB//tynA//nuoJ//yqhG//gspH//srlE//gspL//narH//aceF//phnM//mqsA//aidB//yibQ//rhaS//metB//rfe//rpiB//dnaG//chbA//malS//dpiB//rstA//yqhD//leuD//fdnG//ydfX//fecI//ddpB//obgE//artM//artM//cra//agaI//hns//norW//rffC//narG//moaB//cydD//entA//glgB//bdcA//cpxR//torA//dinG//psiE//ahpF//caiE//aldA//mtlR//cspI//arsR//fabI//
CreB	pqiA//amtB//ubiC//fadH//zraR//
CsgD	kdpA//trpC//agaD//sufD//cpxA//hcaD//dnaN//dinJ//oxyS//csgB//pstC//yhjC//trpD//glpC//dacC//flgE//slp//ugpC//tdcA//fliG//gspL//lacZ//hybE//fhuC//glxR//malM//pncB//yqjI//
CsiR	hcaF//chbC//ppdB//mtlD//aslB//
CspA	lldR//narG//
CueR	dgcZ//eda//psd//yqjI//potH//cyoC//lrhA//
CusR	osmC//fadD//ynbA//yciW//flgG//asnC//obgE//glnB//nikB//ilvY//yeiB//uxuB//
CynR	alsC//glnQ//btuB//ssuE//
CysB	hyfD//betT//insD//entH//moaC//srlB//galR//osmB//ybjC//puuA//ynbD//relE//mlc//puuA//rpsU//yhjC//aroG//cecR//relB//glmU//ydhX//tnaC//dcuR//uvrB//arsC//argF//flgD//dinG//narK//metH//cysU//pgi//
CytR	nuoN//lsrD//ccmC//potH//sufE//ycjG//decR//nagA//ybjN//dsdA//sucC//rpoS//hmp//
Dan	gadC//recA//deoD//csrB//
DcuR	hyfJ//chbB//gudP//tnaB//arsC//ulaB//nuoH//ecnB//codB//
DeoR	lpxC//ygiA//dctA//ycgR//gadB//rffG//
DhaR	recA//glcD//tisB//gadY//
DicA	aroP//pyrD//torC//ulaF//malZ//trpA//cadB//mscM//
DinJ-YafQ	ascB//fumC//yhjX//
DnaA	fhuA//emrA//entE//pstB//fdnG//sgrT//pgaA//eda//yjjQ//aroL//yhbS//fliJ//
DpiA	agaS//gpmA//ahpC//fecA//yjhC//flu//wzc//carA//nrfD//fixA//add//
DsdC	araE//gcvB//cspI//
EbgR	acrB//fpr//
EnvR	frdD//glpF//
EnvY	nuoE//uxuA//
EvgA	dapD//yecR//fliR//znuC//hslJ//pgaA//lacZ//nikD//ruvB//hypC//znuA//cusA//rclC//higA//gspO//prpC//fucU//nanK//chbC//
ExuR	rpsU//sufC//modA//glpK//alsE//artP//lrhA//idnR//pgaD//
FabR	hybF//hycB//
FadR	narG//crp//rnlB//rseB//ftsZ//bglJ//malK//lsrA//nrdD//ahpC//molR_1//bglB//intQ//ecnB//rpiB//gntT//gatC//glcC//fliJ//trpC//waaY//hyaB//cydC//
FeaR	flgC//argC//
FhlA	acrR//phnE_2//yjbE//bioD//focA//ssrS//yeaG//kdpB//trpE//gntP//puuC//codA//ascF//bioA//mgtA//edd//hyfJ//glcE//yqhD//relA//waaZ//ppiA//flgI//ynjI//borD//rffG//yaiW//feoB//appC//rcnA//
FlhDC	napA//gabP//erpA//ulaA//phoU//fabI//nupG//glpQ//malQ//uof//nhaR//folE//add//yafP//glnA//lldP//ydhT//aroG//nuoE//ftsQ//paaK//fucI//rutC//ccmC//gcvA//ymiA//rsmH//ybfN//ybaS//hcaR//galM//gatZ//ybjC//phoE//dgcZ//alsA//ssuE//pncB//mazF//manX//yafN//fecB//mnmG//entC//zraR//gadC//stpA//glgX//oxc//pagP//accB//nuoH//feoB//fadJ//ccmE//moaD//paaC//glgC//yneM//tpiA//ychF//bioA//rnlB//srlR//pstS//lyxK//metE//rbfA//nhaA//ompC//marR//nuoB//phnC//argG//glnL//yeiB//acrA//gpmA//alaS//caiA//nrdA//gor//
FliZ	tam//lysA//mglB//dpiA//tyrB//rnlA//ccmA//nikC//ymiA//bhsA//nagE//hyaC//leuB//casE//patD//feoA//fruB//trpE//infC//casC//serA//
FucR	hyfJ//argO//fhuF//appY//malK//recC//pdeH//
Fur	gspC//hycG//hcaF//srlR//narX//idnT//fadD//oppB//pstS//glmY//tdcB//dtpA//uvrY//glnL//rhaT//rhaR//nikA//ecpA//astB//araC//ftsW//flgM//insK//yccA//chbC//csrC//sdhC//gadE//patD//fliO//gntU//deoB//agaI//flgC//metN//ebgA//ybhR//phnD//ptsG//yjbF//ugpA//ydcT//thiP//chbA//rcnB//hyfI//envC//fepE//moaB//mltF//rnlA//trpD//araF//fdnG//sutR//gnd//fucR//ybhR//cbl//rffC//accD//chbA//yhjC//lysP//aceA//cvpA//yebE//phnH//nrdF//pgm//nimT//lldD//cyoB//cadA//metB//atoA//rpiB//mraZ//fdnG//cueO//frdA//araD//gntP//alsC//osmY//argC//yeaR//micF//spy//gcvP//rffG//spy//fliZ//hydN//ynjI//psiF//ppiA//ydfN//rhaT//hyfI//glgP//katG//xylF//gntT//nrdE//cyoD//gntX//appX//hycD//sroD//yrbL//kdpB//napF//kdpA//trpC//ykiA//caiE//fbaA//trpE//emrK//nrfA//phoU//moaA//pgm//caiC//gadA//iscU//araE//micF//nikB//
GadE	lsrF//exuT//pspE//paaC//glpA//hycG//ygeA//cho//gspF//ecpR//phnL//rcsA//gudX//fucR//cytR//iraP//cho//ydcV//hybO//pgpC//casB//aroF//nrdI//yhdZ//uxaC//nrfB//ccmC//norV//bglJ//
GadE-RcsB	flgA//srlA//ymjC//citG//adhE//tauB//ccmD//dinB//cbl//
GadW	rhaA//mzrA//amn//putA//yfiR//trpA//mpaA//fadJ//flgB//deoA//phnO//glnG//pgaC//iscA//purC//
GadX	fliK//fdnH//purC//paaI//phoE//hycD//dnaG//purH//entF//sucD//fepB//pgi//soxS//hlyE//glcD//gadY//chbG//arsB//nuoI//yjiY//pheT//yegR//fruB//argB//zwf//glgB//bhsA//mntP//gspF//
GalR	yoaC//sutR//guaA//pstC//pspB//hslJ//rpmI//yoeB//metH//paaF//
GalS	glnP//cysK//cyoE//murP//gudD//deoC//aroG//ompN//phnJ//ybhS//
GatR	paaG//puuA//cusF//ubiC//argG//ompF//
GcvA	mdtC//bioC//moeA//flgC//alsA//
GlcC	napD//gadB//kdpF//sutR//lrp//tauA//csgB//
GlpR	yqaE//yiaL//mglA//yciF//nagC//fruB//nrfE//metN//garP//
GlrR	mdtE//mhpD//rybB//exuT//atoA//
GntR	lpxC//ydfD//fliE//aroL//ftsK//fliT//yegZ//sodB//skp//ydcS//kbaY//phnO//
GutM	rhaS//trpE//kdpC//cysN//fucK//marR//ydhW//
GutR	nuoG//moeA//cynX//ynfG//leuO//ynbB//micF//
HU	prpR//mtlA//gfcA//hcaF//ykgM//rimK//cysD//argB//ymgA//
HcaR	alsE//yoaG//norW//polA//flu//yciF//
HdfR	ogt//ptrA//tam//yfdV//gatA//
HigA	ynfK//ybfN//
HigB-HigA	murF//mtlD//
HipAB	citD//ddpA//malI//paaK//cdaR//
HipB	zraS//potI//nagC//yjjQ//hybE//iscU//
HyfR	malX//sgbU//bglB//umuD//treR//narX//flhB//mnmG//alsA//ilvY//chbF//ykgO//
HypT	xylA//fliS//artJ//mglA//dgkA//gadA//ydeN//omrA//hmp//yciG//ulaB//glmU//bdcA//
IclR	frdC//sdhB//glcC//katE//
IdnR	hybF//cpxQ//nupG//wecE//metQ//argB//rutE//
IlvY	pepA//argD//
IscR	lldP//melA//bdcA//ydhU//putP//aidB//hisJ//ydhW//dacC//purN//uxaC//tauD//iraM//purM//gcvB//glnK//rutE//araF//fliM//ybdZ//yecT//gltI//araA//nrdF//efeU_1//sdhD//cysD//grxD//sufB//phoA//nuoG//feoA//
KdgR	glnA//bglF//
KdpE	moaE//nirC//fimE//yjbG//
LacI	creA//idnR//insD//
LeuO	bglG//pqiA//exbB//fadJ//metI//potF//xylH//yjeV//modA//insD//ppiD//sbmA//nanA//lpxC//yciG//purD//rcsA//lysA//entH//gudX//
LexA	rhaT//phoH//cysC//aceK//glpF//chbB//manY//osmC//mhpE//mgtL//dsbA//dinF//glgA//dinJ//rpsO//gspC//cadA//cpxR//ykgO//nhaR//ugpQ//phnE_2//mlc//mntS//fimB//cysJ//puuB//glnK//cho//qseB//ydhT//recA//agaB//napH//ydhY//pdeL//rclB//bhsA//nuoG//yeaE//grcA//phnI//hipA//manX//oppA//hyfI//purD//iclR//trpL//tehA//potI//pdhR//bglB//amn//sbcD//yagK//citE//lhgO//cas2//
LldR	rutF//fepC//hypC//
LrhA	cysU//cysU//acrD//idnT//
LsrR	ybfE//hha//nrfA//katE//dgcC//gatY//hdeB//hokE//glcG//
LysR	lldD//yefM//
MalI	fliI//purC//katE//
MalT	baeS//mhpC//mdtA//tfaQ//aroH//chbB//hycD//nohA//guaB//marA//
MarA	caiT//yecR//moaD//yhiD//xapA//mraY//artJ//malK//isrC//frdD//phnO//pncB//omrA//pykF//ccmA//rcnR//rnlA//malY//nrdH//murF//atoA//dcuA//qseC//rcsA//nrdE//ynfK//yecT//yciF//glcB//ompF//narL//nimR//hyaA//argT//argC//ribA//gudP//fliO//
MarR	murG//dicC//yfiR//
MatA	rimK//nmpC//glpB//gadW//cysP//glpB//exuT//gfcA//
MazE	cysN//pgaD//metR//
MazE-MazF	gcvB//cbl//caiA//
McbR	entC//ybiT//moeA//rprA//
MelR	ssuA//nuoI//hybD//
MetJ	fdnG//cynR//gudX//tonB//pspE//tdcF//xylF//talA//thiQ//yfdV//ydeO//hmp//aceB//hcaC//ydfW//
MetR	rnlA//fbaB//sulA//glgX//nohA//
MhpR	poxB//recB//glxR//wecC//psiE//ddpX//
Mlc	gltJ//chbC//hycF//tnaB//rplT//nirD//alsE//ynbD//setA//caiT//
MlrA	narG//cysE//slt//hyi//hycI//sgrS//ptrA//murD//entD//hyaC//
MngR	manX//prpB//tam//
MntR	fdnI//malS//nagC//ymiA//melB//
ModE	acnB//rplT//oppA//sgbE//entS//rplU//glnH//fliQ//ryhB//cytR//chbR//ompT//ygbA//spy//ydbD//sucA//thrS//feoB//tdcB//flgL//speA//ccmA//ubiX//fldB//phoR//phnF//ydhV//glcC//ftnA//puuD//ssuB//ecpA//pqiA//sodB//rbsA//ydfX//purF//yiaJ//creA//dcuA//appX//fliD//inaA//ulaA//pncB//tcyP//
MprA	rutR//glxR//pnp//slt//hycF//tpiA//
MqsA	rffT//yoaG//araB//flgI//yhiM//ydhX//nikC//tsgA//
MraZ	lsrR//pspB//sgrR//umuC//argO//cirA//hipA//yfaE//phoU//yhcH//ccmF//gcvP//yrbL//idnT//fepD//fliC//allA//
MtlR	srlA//yiaK//malT//
MurR	napC//yhiD//ybjC//
Nac	hcaD//glnK//argR//nanA//rybA//gadF//yeiB//zntA//cysE//yiiS//flhC//aceK//infC//ydeI//ulaG//rpiB//pdhR//puuD//lacA//aceF//prpC//
NadR	sbcC//modC//murC//rimP//
NagC	gadW//rbfA//phnL//udp//accA//ddpB//chbG//purN//nanC//gltD//rseA//alsC//atoB//murI//rpmA//yegR//ybhG//ccmG//ubiC//nupC//garK//rbfA//glpC//phnE_1//ybdZ//dsrA//entA//glnK//yedX//lysR//ppiA//nimT//ydeI//tdcC//narJ//zraR//fau//
NanR	eda//mgrB//malM//yaiA//argC//pyrC//csrC//mntH//iraM//atoE//insD//
NarL	wzyE//hybO//fixX//sgbU//xapA//ycjG//fliP//nanM//flgI//argF//rplU//hycD//kdpB//fabZ//phoH//wzyE//sodA//nhaR//bglF//yafO//fadH//flgM//ybhL//gspC//dsdA//hypC//tsr//idnD//yciG//ssuD//ycjX//mgrB//phnN//mcbA//grxD//nagC//ybhS//grcA//hypC//fabG//ydiU//kdpF//dsbA//pspA//trpL//sufD//osmY//argA//glpD//hyaF//nikB//gspD//hypC//fucU//bglB//hycG//fepC//pdeL//chbB//moaA//rseB//dcuR//hisJ//csgG//yjhB//mhpF//pfkA//hycE//aidB//aidB//napB//lacY//ugpQ//nupG//nrfB//ecpR//metY//narK//citF//napD//gcl//recN//phr//ompT//soxR//rpiR//yjhC//ybiT//oxyR//flgB//efeU_2//fadL//araH//yidL//treC//pepD//fdhF//umuC//ulaF//phoE//uxaC//lsrD//hyfJ//fhuE//gadB//glpA//pnuC//ymgA//trpB//fabA//zntA//tpiA//dinQ//cheW//trxC//metB//yegZ//uvrA//lon//fadR//recA//ccmB//metQ//
NarP	rpoD//pflB//glcD//yeaG//entF//wzc//glxK//gudD//wrbA//sgbU//deoA//epd//hdeA//tonB//glnH//betI//wcaB//tehB//acnA//napC//ynfG//hisM//relE//creD//ydfH//xylR//uvrB//isrC//malZ//ftsZ//malT//metB//cysU//frdB//ompF//mglC//frc//cysJ//borD//fliT//tsx//glpB//fabZ//rseA//argB//cra//phnJ//ydeM//rimP//mdtF//
NemR	arsB//yjiY//ruvB//
NhaR	ftsW//murC//sdhC//oxyR//dcuA//exuT//hcaB//
NikR	ompW//ldtD//fliR//gudD//glcB//hycH//
NimR	fecI//yegR//
NorR	tolC//cheW//fpr//
NrdR	ybhR//moeA//pflB//murP//appY//glk//pdeH//ynfH//aroF//
NsrR	ecnB//trpE//dctR//dinI//ydfN//entD//ftsI//pyrC//paaG//purH//nanM//napG//mgtL//recD//artQ//araF//nrdE//fliA//paaZ//alsA//lsrD//glpT//tnaB//yjiY//tyrA//dnaG//cysM//yccJ//tbpA//hypE//spy//murC//tynA//iraM//ppdB//fadE//dicC//iraP//yiaN//trpD//rtcB//rcsA//xapB//astB//glmU//fadM//psiE//bioB//copA//leuA//copA//mhpA//ascB//oppD//ugpB//hslJ//puuP//iscA//casA//dps//nfo//lldP//pnuC//thiP//aidB//gadA//arsR//yhiM//mgtL//norW//narG//ybhS//oppB//yciX//yegR//gabP//fadL//polA//tnaC//appA//dsbG//ulaD//nhaA//
NtrC	pgi//ygdB//fhuC//melR//hdeB//pgaA//torR//fucR//ugpE//psiE//fimB//ppsA//cysE//znuA//chbA//yoaG//higB//yiaN//allE//sgbE//fiu//dsdA//glcG//malY//paaK//ybbY//yhbE//oppC//ibaG//prpR//metR//gntT//lsrB//csrC//ahpC//iscS//ugpE//guaB//astD//metK//hdeB//cydB//bacA//idnT//osmC//thrS//yidL//glpD//casB//
OmpR	tynA//caiA//iscU//tcyP//ftsZ//uvrY//mazF//yjiY//caiT//obgE//dinD//lldR//prs//cyoE//ddpA//dgkA//ftnA//ymjD//ulaG//ribA//hybC//
OxyR	ydbK//sulA//gspK//ppiD//sutR//nuoM//artI//ulaD//fepA//mtlD//glmS//sucC//lysA//gltB//caiC//ahpF//ccmA//thiQ//malM//idnT//paaF//agaC//thiQ//galE//pgaA//focB//glk//fdhF//ttdA//grcA//zinT//glnL//ssuC//prs//
PaaX	chbA//psiF//citC//narH//puuC//tsr//rfe//tdcA//frc//mpl//ybaT//yjbH//fliD//rplT//
PdeL	mntS//
PdhR	flgG//hcr//argP//rpiB//ulaF//gspM//araF//gadE//wzb//ygiA//ygbK//lsrK//yiaO//gltJ//gltL//dhaR//wcaB//casB//asr//fur//hycB//nrfA//pspG//mhpD//dinJ//aroG//caiF//gltD//astA//hlyE//tdcF//malM//chbA//arsB//ygeA//flgK//uidC//ppdB//deoB//fucA//moaD//
PepA	hipB//ttdR//agaI//
PgrR	garK//moeA//hycG//fumB//sgrR//crr//agaC//acrR//
PhoB	nikD//cysB//pepD//lsrA//safA//pstS//paaH//glcE//ybhF//cadC//puuD//nuoB//hyaB//wzyE//bioF//ttdR//emrA//phnL//metB//mngA//cusF//uspD//glpC//hisJ//lpxC//fruB//wecB//argD//sufB//tdcD//nanT//nfsA//seqA//nanC//asr//rpiB//napA//alsA//yqjA//fdnI//rsmH//hyfF//nemA//mqsA//bioC//fadR//wecC//pspB//dinG//argT//tsgA//ydcV//yhjA//slp//yebE//kdpC//fabB//fliH//guaB//rclA//
PhoP	osmB//glcF//ssuD//pnuC//ptrA//flu//phoU//yefM//napC//aceF//hcaF//yeiB//tehA//bdcA//argP//tdcB//micF//rarA//araG//nrdB//yafP//sgbH//alaC//fadB//nrdH//nrfF//tomB//ybjN//dnaN//paaC//kdpB//yiaN//torR//gspG//metB//glxR//qseB//phnD//bdm//rbsA//yccA//ebgC//gspD//fabA//fadL//ccmC//ugpC//cydA//murI//ymiA//nirB//rffC//mglB//fdhF//flgK//paaH//
PrpR	relB//uspA//wza//evgA//bioD//
PspF	arsC//zinT//cadA//ybdZ//galS//nadB//nanA//
PurR	ulaF//hyaA//allA//ppdC//tyrR//mioC//ydiV//wzc//qseB//ttdA//yhjC//phoR//marB//nrfC//pagP//mgtL//cspD//arsB//sufB//symE//betI//dsbG//soxS//asnB//nikD//ompN//ybhG//gntT//nhaR//gspD//gatD//
PutA	fbaB//phnI//
PuuR	ydeP//nuoF//iscU//rybA//fldA//ynfH//frdC//
QseB	napB//ttdA//sucD//fliJ//
RbsR	puuP//trpR//gutM//dps//yqjA//gcvH//nlpA//ykiA//manZ//
RcdA	creB//malF//rclB//tbpA//ygbK//hycC//ynbA//envC//fliL//
RclR	ycjG//wecE//puuB//
RcnR	fliD//metE//gpmM//
RcsAB	yjbE//hyfB//baeR//gatD//rutF//paaH//purH//napF//xylA//rpiB//cynR//uidC//mhpD//hyfJ//mngA//leuB//
RcsB	dicC//psd//phnC//dinD//purD//hflD//dctR//yagK//nanM//ydhT//ulaA//ssb//fliE//gfcA//ddpD//lsrB//focA//codB//hlyE//rbsA//argA//tauB//mhpD//tfaQ//hybC//
RcsB-BglJ	yoaG//chbF//nrdE//malY//cusB//mpaA//mhpD//fucR//flgD//ygeH//nanT//yjhB//sulA//argH//ddpC//gapA//
RelB	caiT//exuR//paaF//
RelB-RelE	osmY//lexA//hslJ//
RhaR	metC//alsB//
RhaS	napC//paaK//folA//ybaT//nanC//srlD//
Rob	rseC//yhdX//ycgR//yidL//dcuB//rcnB//hyaE//gltD//pgaA//flgE//malP//narI//paaD//feoA//mhpC//fliZ//tam//ecnB//alkA//mqsR//idnR//sroD//wzyE//aceF//alaC//zraP//
RstA	ydeN//pagP//sucA//metB//fliJ//htpG//higB//nagB//mglA//nuoM//
RtcR	astB//ugpE//
RutR	malY//hyfF//psiF//recX//aroG//relB//fliC//moaA//pagP//lsrB//ydfE//yfdE//ugpC//chbG//lacZ//cadC//htpG//
SdiA	yiaO//idnT//relA//ydfX//paaX//
SgrR	wcaB//malX//yciF//murI//dcuB//eno//puuA//agaB//rffC//
SlyA	prs//
SoxR	yiaO//malI//rffH//
SoxS	yhcH//erpA//iscS//agaW//fau//ytfE//edd//add//gadY//nupG//srlE//cyoE//gatB//cysB//glnG//lpd//murD//rpiB//phnC//glcG//appA//nuoB//sufD//nrdI//glgP//wecC//yoeB//rnlB//chbC//glcG//yebE//lsrD//ulaD//nohA//gspC//lsrK//ssuC//fliR//metL//fecC//
StpA	ygeA//ssb//napA//adiA//rutR//safA//yjbH//
SutR	cydB//agaI//fliF//hyfE//nrdE//
TdcA	caiB//rhaR//ssrS//fdnH//xylA//tyrP//edd//
TdcR	rpoE//dcuA//accB//folE//fepB//citF//nagC//
TorR	oppA//mhpB//napB//mdh//hycH//ygbK//hycG//gspD//umuD//treB//mtlA//lsrF//
TreR	paaI//ssuC//
TrpR	pdeH//ygiB//hybO//ybiT//cpxR//dicC//melA//manZ//glpB//aroG//nrfE//yebE//
TyrR	higB//rffH//gspC//phoR//ascF//ydcV//cusF//gloA//rpoS//recX//glnD//pncB//
UhpA	fepE//
UidR	hcr//hyaF//tdcA//murP//
UlaR	aroG//wecB//idnT//yjbF//glnL//xapB//chbA//
UvrY	yhiM//cysI//ynbC//hcaD//feoC//
UxuR	paaD//paaC//mdh//cysD//ybbW//atoA//rplT//frdC//ubiA//
XapR	ftsQ//entE//
XylR	deoC//murG//ygbK//phnD//ybiT//dmsC//glpC//
YdeO	mglB//hypB//nikB//adiC//nikA//yjjQ//fabI//sgbH//fldB//glgB//uvrA//glgP//yafQ//bioB//rutF//acrR//gpmM//ynbC//hlyE//garK//hemH//
YedW	uvrC//cas1//paaE//kbaZ//zraR//qseB//add//nadB//lrhA//arsR//cecR//fixA//
YefM	yfdX//csgE//
YefM-YoeB	crr//metB//
YehT	csrB//
YeiL	gspC//
YiaJ	trpR//uspA//torC//rclB//mhpD//ymjC//metR//dkgA//puuB//dpiB//
YjjQ	rfe//ascF//fliQ//gspO//hypE//fldB//dicB//gltI//bdm//nrdH//
YpdB	codB//
YqhC	sgbH//rybA//
YqjI	potH//prs//
ZntR	napH//
ZraR	soxR//yidQ//gcvT//
Zur	ssb//paaI//nagA//fdnH//phnI//ccmE//
