#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	metR//casB//
NsrR	gcvA//fabA//ssrS//entF//astA//purC//puuA//puuE//alsA//dicC//bglF//dinQ//cusF//ygiZ//rstB//motB//rnpB//dsbA//agaS//pgaC//hyaC//dctA//ycjX//nuoG//appX//icd//dicC//higA//cadB//arsR//ariR//fadI//hisM//yneM//fliK//nanM//exuR//rutA//gntT//agaW//murP//oxyR//ygeA//dhaK//entC//dsbG//ribA//yaiW//ydhX//dnaG//cysW//flgB//rffC//rbsB//casD//agaD//hycE//nemA//ydjM//fpr//hybF//rhaS//ftsI//xylG//ymgA//motB//malY//paaJ//rplT//glpB//hyaE//fepD//fldB//aceE//ycjY//hycF//fdnI//csiD//lsrF//marR//chbG//citC//wrbA//
NtrC	rbsA//metY//gntX//argO//hycF//sbcD//crr//artJ//cyoC//osmY//wecC//fdnH//cyoE//uvrY//ubiA//pdeR//accA//hcaC//cusA//dnaN//rutE//yrbL//tyrA//xylB//mhpA//hyfC//argF//frdA//ddlB//dinI//hemL//gspE//cydA//lexA//allC//isrC//allC//cysK//arsB//gspO//sufC//lsrB//phnO//sbmA//rcnB//exbD//pqiA//ebgC//rob//
OmpR	fbaA//wecE//fhuE//hemH//ddpB//accB//tyrA//ycjX//metI//ybdN//fecC//yjbF//yhjA//rpoH//glpX//evgA//phnL//araD//dtpA//lldR//yjbE//
OxyR	yjjZ//ttdR//yjhB//yafQ//purN//cvpA//fliR//talA//ulaC//puuE//gabD//uxaA//atoE//yqhG//ybdZ//norR//accA//hybC//udp//borD//hybB//entD//ada//nanK//hmp//crr//rbsD//ccmD//tktB//mcbA//hyaA//wza//ftsQ//yaiA//
PaaX	hyfJ//yfdV//nfsB//ccmC//recA//codB//phoQ//nuoL//gntP//murG//nhaA//ddpD//lsrB//eno//
PdeL	deoD//
PdhR	mioC//ddpX//tnaC//galK//kdpA//higA//glnG//ychF//marB//mltF//ptsG//trxC//paaG//dinJ//atoD//pdeR//rclB//mgrB//pfkA//rprA//yjjQ//gatZ//thrS//ymgA//ldtD//fixX//phnF//yqjI//acrB//omrB//flgH//envC//argT//wcaA//paaX//hycG//appX//yqjH//dhaM//sbmA//nrfB//
PepA	aroP//metN//yfaE//
PgrR	tsr//puuC//puuR//mglA//rbsR//sucB//yciX//gcvT//
PhoB	ymgC//cspI//uspA//glgX//creB//stpA//nuoC//ybdN//glnB//oxyR//argF//hyaF//guaB//hycE//rffH//moeB//rcnB//ddpB//leuB//phnN//flgL//caiD//feaB//srlR//amn//yaiW//pheS//hcaB//hlyE//sodA//narX//cysN//purD//ftsK//araH//cyoC//yrbL//asr//rybA//fucA//ymjD//fabI//ftsA//arsB//nrfE//cysK//appB//ydeN//cspD//bluF//ybfN//lpd//pgpC//ppdA//nupC//fixC//ynfF//lacZ//gyrA//ybfE//
PhoP	ccmA//ccmC//napA//frdD//metN//gspH//cecR//nemR//modA//nuoH//melB//phoU//ydhX//deoC//fldA//asnA//bacA//degP//lsrG//rffC//mraZ//phoQ//ftsA//yoaC//alaC//mgtA//fucO//cytR//lysA//uvrD//acrD//fliC//cheA//cysD//ppiD//ydeN//fliK//lacA//ynfE//dgcN//arsR//slyB//yhdW//sufE//hyfJ//fhuC//fucR//mnmG//glmY//glcF//rutG//gcvP//isrC//rhaA//yegR//wzc//
PrpR	hokD//oppA//nadA//gutM//purC//
PspF	atoD//fhuC//acrA//cysU//nikC//fliQ//alkB//
PurR	appC//casA//fecE//nupC//uvrC//ulaB//hyi//yegZ//nimR//argC//exuT//cynS//gspC//malI//artM//fau//fecR//mtlD//recD//moaC//epd//wecE//rnlA//dctR//gadW//acrR//ddpD//gspI//nirB//ebgC//gudX//
PutA	fadL//srlB//
PuuR	phoQ//rpmI//nanK//aroP//hcaF//yibQ//feaB//
QseB	xylF//mioC//mraZ//gltB//
RbsR	ygiB//mglA//dhaL//hybC//fliZ//entA//gspI//mngA//malQ//
RcdA	ygeH//glmS//purD//lexA//entC//melR//agaW//alsB//rffG//
RclR	mngR//gltL//ybhR//
RcnR	aroP//fliA//artM//
RcsAB	fruA//hcaR//motB//tauA//ddpC//lhgO//poxB//yeiB//glpF//gltF//oppA//uvrA//cysB//cyoD//glcG//fepG//
RcsB	ompC//glpC//mgtL//gadB//puuC//cyoB//galK//tyrA//yjbG//cecR//hycG//aroG//fepD//ppc//yhjA//tnaB//agaI//dkgA//fliO//iscU//cyoE//polB//marB//paaC//dcuR//
RcsB-BglJ	ynjI//ygdB//appA//fiu//lsrK//rutC//napG//cbl//argH//agaV//mgtL//amn//puuC//tsgA//ppdA//ddpD//
RelB	glmY//cydB//katG//
RelB-RelE	flgD//bioA//garD//
RhaR	galK//nagB//
RhaS	yagK//idnK//glcF//fhuC//dsbG//ttdR//
Rob	araD//nanT//rybB//fabB//efeU_2//yiaM//rtcB//infC//nikE//moaD//moeA//gadX//hycG//feoC//lon//ymjC//hyaB//fadH//ccmH//cbl//napH//glnA//glyA//sufA//amn//iraM//
RstA	dicB//agaW//ycgR//nagA//bolA//casC//copA//hokE//yfbR//yebE//
RtcR	waaZ//tonB//
RutR	lgoR//hybE//infC//mazF//moaD//leuC//frc//mgtL//nlpA//cirA//hypC//cyoD//arsB//glcG//cydC//pyrD//murD//
SdiA	yiaO//treR//rhaA//ytfE//purH//
SgrR	rybA//flu//aceA//narK//kdpF//idnR//recA//lysR//casB//
SlyA	casA//
SoxR	malK//yiaO//gntK//
SoxS	fliF//mazE//fucU//tbpA//ccmF//ptsH//marR//ybjC//yhdZ//feoB//paaD//dsrA//astB//hcp//spy//sroD//astC//nirB//flgB//manY//nlpA//insK//narI//add//caiE//flgF//fliQ//glgA//malS//glnA//rstB//fliD//nrdB//flgK//cueO//dnaG//ydfW//xylB//grxD//nemR//
StpA	rffG//yeiL//degP//hypB//ybfE//waaZ//argT//
SutR	ribA//ugpA//ccmA//hycD//yeaE//
TdcA	tdcG//melA//araC//nohA//mpl//ccmB//citE//
TdcR	uspE//nmpC//phoR//yegZ//nuoG//murP//rob//
TorR	ybfE//ompF//ulaB//fruA//nikA//nikE//prpD//potG//grcA//purL//yqaE//pagP//
TreR	fadI//yiaK//
TrpR	ydhW//lexA//patA//mgrB//leuD//molR_1//dacC//aroH//yciX//yhiD//gnd//emrK//
TyrR	ydbK//gutQ//hypC//gspD//rpsO//glpD//murC//lhgO//yjjQ//dinQ//entC//ptsH//
UhpA	phnD//
UidR	ydfX//yhiM//ascB//csiD//
UlaR	fliF//mdtA//idnR//cysC//rpsU//napC//nfsA//
UvrY	fecB//yccJ//yebG//nhaA//yccA//
UxuR	ydeP//yqjA//rob//ytfE//umpH//yoaC//ttdB//ybaT//glpA//
XapR	fecR//yfiR//
XylR	mhpT//ulaD//relE//glpT//tehB//paaI//sgbU//
YdeO	rseC//fabG//ycjF//gntX//metL//casD//ynfF//leuA//gntT//hokE//yiaN//exbD//pck//phoR//dsrA//tauC//kbp//ybjN//paaD//allE//rimP//
YedW	rutC//recA//pspC//leuC//phoH//agaS//iclR//tdcC//emrB//hypB//idnO//focB//
YefM	cusS//exbD//
YefM-YoeB	glcA//purL//
YehT	galR//
YeiL	ccmH//
YiaJ	seqA//allE//sucC//ynfK//gadY//hipA//flgA//ptsG//pqiA//trpE//
YjjQ	modB//gspF//nirD//hlyE//cyoE//nrdH//ampC//uxaC//argG//phnG//
YpdB	cadA//
YqhC	yafO//yfdX//
YqjI	sgrS//potF//
ZntR	dmsC//
ZraR	cyoB//mglB//mglC//
Zur	alsE//yfdV//paaE//appA//sucD//ycjF//
