#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hlyE//pspE//
GutR	nanA//rfe//marB//rstB//gudX//rseC//nuoI//
HU	manY//tdcB//rutC//aidB//iraM//dapB//nagB//phnH//cadB//
HcaR	glpD//dcuS//tomB//kbp//fliD//yhjA//
HdfR	cusF//ada//csgF//atoE//moaB//
HigA	yeaR//nirC//
HigB-HigA	mazG//psd//
HipAB	sdhD//ybaT//idnD//trpA//cysE//
HipB	rpoS//sdhC//ddpC//nikC//emrK//gadW//
HyfR	dpiA//csrB//yfiB//pstC//ydeP//galK//mhpC//pitB//aceB//hyfD//yqhG//dcuR//
HypT	ddpC//fliJ//nirB//glnQ//ompF//citF//agaB//rpsO//ptrA//metR//sroA//pitB//sra//
IclR	putA//sroC//ydhX//glyA//
IdnR	flgC//xylA//ompN//thiQ//nrfG//glcG//soxR//
IlvY	ugpB//prpR//
IscR	xapA//wza//citF//rbsR//recC//emrY//purM//gltB//fhuC//glgX//tcyJ//molR_1//srlA//srlE//kdpA//ddpB//wrbA//mraZ//glcA//puuB//cbl//flgB//moeB//gatY//mhpF//yoaC//murF//recX//nuoB//nirD//murE//osmY//
KdgR	cra//gltD//
KdpE	fabD//ccmD//lldP//entC//
LacI	accA//bdm//psiF//
LeuO	dmsA//rcsA//metE//lysR//casC//lysA//lysP//puuP//cyaR//ugpE//flgD//fliK//ydiV//ybbY//serA//fliH//cysE//uof//garL//lexA//
LexA	fliP//aroP//purD//flgK//ydcV//oxyS//dkgB//flgB//fliK//argB//dacC//acrZ//narI//rbsA//fhlA//tadA//asnC//dgkA//rfe//glpQ//omrA//agaI//tnaA//frdA//rutF//add//ptrA//araH//lacZ//murE//ftsL//flgC//yafQ//dcuB//bglB//amtB//emrA//fepD//guaA//hypB//ttdT//sgbE//allA//marR//fliF//phnE_2//patA//artI//ldtD//nikA//yjbF//dpiB//fliK//oxc//nemA//uhpT//nrfB//ruvA//ahpC//
LldR	malE//casA//iscR//
LrhA	yjhB//nemR//ydeM//yidQ//
LsrR	araG//agaI//osmB//ecpA//ascF//chbA//bioA//mntP//prpB//
LysR	yfdX//cyoA//
MalI	wcaA//yhdZ//pspC//
MalT	erpA//cyaR//yjbG//lamB//moaD//casE//mngB//fruA//yfbR//aceF//
MarA	hisJ//malG//hmp//glnQ//ftsK//gor//ecpR//ychF//garP//argP//pitB//phnM//cpxP//caiD//fdnI//nanT//creA//fucA//acrZ//entE//uidB//artP//yncE//pspD//nikA//sra//purL//gltL//dcuS//dctR//zraP//iraM//tsr//ugpQ//bacA//fabZ//dhaM//phnO//
MarR	frdA//cusC//ydhT//
MatA	flgJ//appY//ftsW//mlrA//argG//hdeB//nrdE//hypC//
MazE	nrdA//chbG//lsrC//
MazE-MazF	bioF//srlR//relB//
McbR	metR//mgtL//yneM//ybhL//
MelR	melA//cpxR//ftnB//
MetJ	melR//mnmG//hemH//yfbR//nuoC//frdA//ompF//tdcG//gabD//fadJ//codA//talA//hipB//gadA//cysA//
MetR	nrfG//sbcC//gspF//glpX//fes//
MhpR	rprA//malT//fecR//nemA//torA//fes//
Mlc	rbsB//fecD//nimT//nrfC//recF//bglJ//nadB//paaB//gltB//fepG//
MlrA	aroF//fabB//fabZ//ynfF//dcuD//deoD//recX//tomB//argC//glnP//
MngR	casE//symE//fldA//
MntR	accB//argO//citD//hycB//glxK//
ModE	rpmA//katE//ttdB//leuL//aceE//ydbD//dinF//cspE//mdtA//gntK//prpE//fixB//tonB//flgD//pgaB//murP//citC//acrR//glnD//appY//nfsB//moaA//oxc//fliG//gltL//bdcA//gutQ//chbA//lgoR//agaI//fhuC//fepG//mdtE//casB//hypB//fliQ//fhuC//amn//oxyS//fiu//sgbH//rbsB//tisB//fecB//argE//emrA//
MprA	tisB//cydA//bdcA//yegR//rutB//ptsG//
MqsA	ynjI//dnaG//dgkA//paaH//fliT//torA//slyB//mgtA//
MraZ	exbD//modC//nrfE//rffH//uxuA//metL//ydfE//ybdZ//fixA//dkgA//yiaM//fhuD//gatY//nrfB//ftnA//glcG//sroD//
MtlR	truB//rprA//metR//
MurR	ygbA//fixC//ydcV//
Nac	bdm//thiQ//codA//appB//psiF//astB//cecR//gadA//chbG//flhC//nikD//fdnH//wecC//phoQ//mraY//sgbE//rhaA//accB//hisJ//ydiU//mraZ//
NadR	obgE//malI//ddpX//yqaE//
NagC	nusA//garR//nimT//ychF//ycjF//ppdC//appC//modC//tehB//yciG//cusR//hyaF//pyrD//lacY//chbG//argR//nuoG//metR//hyaF//nagB//phnL//yciX//yhhY//cheW//guaB//hflD//gadA//melA//aidB//hyfG//rybA//hybO//narG//acrR//nlpA//lrp//umuC//
NanR	zwf//hokE//mltF//katE//ahpF//cydA//artJ//purB//rplU//galK//moaC//
NarL	hemH//alaC//hisM//cyoB//spy//yjbG//metF//nikR//paaX//gatY//paaE//fabI//fliG//yhcH//glnB//flgB//efeU_2//psd//crp//napC//ccmE//hokE//nohA//fucI//fabI//recD//phnK//tyrR//eno//trpA//galE//umuC//gltK//motA//nusA//idnR//asr//mazE//higA//tauC//fabG//gatC//ybjG//entD//ydfE//aspC//nrfF//nirD//metF//polA//fliR//allS//ycjF//ddlB//ydjM//rffM//metI//gcvP//ydhV//pgaD//yhjA//mglB//gatB//nikE//aroH//cadC//cspE//gatD//gspH//fliA//rclA//glpB//thrS//tyrR//modC//sutR//pgi//ydfN//lysP//fepB//ydjM//trpE//lysC//gltK//nhaR//artQ//yncE//yidQ//mraY//trxC//asnB//hyfH//dsdX//dtpA//uvrB//mazF//accB//gltD//sufE//isrC//rffH//ppdA//yfbR//malS//lsrK//yjbH//yjhB//gatZ//yoaC//creA//yafN//ulaE//rutA//gadC//kbp//asr//gloA//flhC//caiD//tcyJ//aspC//narH//caiT//
NarP	phoR//nuoA//putA//modC//codA//phoQ//ibaG//copA//malF//srlE//rbsK//ydfD//napA//caiC//glnG//pgk//hycA//fliR//dgcZ//fliA//rstB//cusA//gltK//yeaE//gspE//baeR//tyrA//oxc//ydbK//ybhG//gcvH//rutF//fliI//dctR//ppdC//sdhA//accD//arsB//carB//glnQ//ybiT//gyrA//fucA//rclA//deoA//amn//yccA//ftsI//galE//nrfE//
NemR	glcB//moaA//citG//
NhaR	yhhY//aceE//serA//mnmG//astD//aldA//feoC//
NikR	malE//yiaJ//rtcB//mgrB//rstA//dcuD//
NimR	galE//ykiA//
NorR	glcG//ynfH//yhbE//
NrdR	asnB//alsB//fes//hyaE//pagP//ybjN//fliO//phoH//gntT//
NsrR	paaB//xylB//entD//focA//hypD//lacY//sufC//crr//lldD//paaY//hyfD//aroM//ttdB//purH//dkgB//ilvY//ompT//ydbD//ydfX//grxA//uvrC//ydjM//ecpA//kdpA//yeaH//garP//rsmH//pyrC//lldD//rutD//ryhB//fabH//dcuD//cecR//yeaH//phnP//cas2//ydhW//metF//ydhU//mntP//nagB//cysK//entS//gatC//znuB//metJ//sgrR//gabD//ynbD//trpD//hslJ//hflD//cusS//uidR//fucA//argI//fixX//napA//fepE//slt//recF//speB//entD//yaiW//pagP//wzyE//folE//pepD//ydhW//bacA//fepC//atoB//manY//dpiB//rffH//xapA//ybbW//phnO//grxA//galK//dinB//hycH//
NtrC	manX//amn//pgaC//flgI//ytfE//tdcF//rbfA//fadM//yeaR//fhuF//cysH//flgL//idnR//hybC//glpK//napG//alsC//csiD//yaiW//yebE//hyfA//dcuD//yfbR//uidB//glpF//csgA//hlyE//ddpC//fliN//ygiZ//mpaA//ydhT//rplT//malI//pncB//ynfK//creB//mscM//uvrA//rutE//artP//cysB//hyaF//hycA//nrdA//idnO//cysE//codB//cysA//
OmpR	dps//fliI//moaA//aldA//mazE//chbC//hyfI//nmpC//dsdA//tsx//ascB//ruvB//cecR//yegH//ymgA//ogt//ydfN//iraP//accC//ybdN//glgC//
OxyR	flgM//fliI//allD//nrdF//lon//crr//ugpA//ydfE//gabP//paaB//sufD//ecnB//rpsO//araA//ubiC//nirD//asr//murD//modB//rhaT//galM//cysJ//mqsA//csrC//yjbE//dmsC//uvrC//yfiB//rpsU//yidQ//ychF//sbmA//narL//hycA//
PaaX	btuB//edd//appX//gatC//narK//ftsK//nagC//yegZ//hyfH//fadR//ccmA//trpR//phoH//mdtF//
PdeL	fucP//
PdhR	mazG//efeU_2//prpE//mlrA//dsrA//yaiW//glpC//araB//yeiL//flgF//fabD//mazE//deoD//malK//uidB//appC//ptrA//nrdE//manX//yciX//ybiT//ccmF//ydiV//ybjC//puuR//torC//ddpF//srlR//tyrB//sufB//sufE//caiF//garD//mqsA//purH//evgS//hycD//araH//yciE//hyfA//yqjH//
PepA	rprA//mepH//puuE//
PgrR	frdA//oppD//frdD//cadC//emrK//dsbC//tauC//baeR//
PhoB	rtcA//gspH//pspE//fliJ//htpG//ppdC//fepE//narI//moaB//dcuB//sroA//fhuF//kdpB//yhiD//tsgA//gspM//gspE//yqaE//ugpA//gltJ//phnG//srlA//phnN//frc//yjbF//cra//yjhB//gadB//citG//fecD//yeaD//yfdE//murE//iscU//yciE//modA//phnO//metE//crp//gapA//acrA//baeS//fliK//idnK//atoB//moeA//yhjA//asnA//emrY//citX//ybbW//yafQ//ynbB//eda//phnF//yciX//symE//phnM//iscR//aroH//
PhoP	yoaC//putP//gntX//gudP//dinD//evgA//dctA//pfkA//sbmC//artP//malM//ung//aroF//adiA//cspI//osmY//cysN//yafP//glmY//yiaK//ttdR//yciE//narH//srlB//alsB//ccmB//caiF//acrB//phnM//metK//yrbL//accD//bacA//flgC//hycE//yidL//caiD//fepD//metI//cydB//yecT//adhE//idnK//flgL//metB//wzxE//artI//ygdB//ftnB//efeU_2//napB//sdhD//yciE//glgX//pdeL//bdm//
PrpR	paaK//yqjI//wcaB//mazE//cdd//
PspF	astA//aspC//xylB//paaA//ybhF//flgG//yciE//
PurR	araA//mhpB//phnK//idnK//nuoJ//fepD//fliD//dinJ//glxK//phoB//atoE//nanS//ybjN//dsdA//uxuB//ygiZ//flu//pflB//metK//polB//tdcD//gltD//ycjX//yhjA//sra//frdA//sucC//argD//asnB//iclR//baeS//
PutA	gadW//nohA//
PuuR	yjhB//ycjY//hycF//ykiA//gspL//creD//galP//
QseB	focB//nuoG//isrC//nanE//
RbsR	tyrA//glnP//malQ//ydfD//nuoF//phoA//cvpA//iscA//hcaD//
RcdA	luxS//ydbK//ubiC//pgpC//nrdE//emrA//appB//fixA//fadB//
RclR	nuoB//gcvA//gpmA//
RcnR	sroC//glxK//phr//
RcsAB	creB//phoH//rpoH//nrdA//hyfF//dcuA//deoD//gcvA//obgE//fdnG//dctA//yefM//manZ//hslJ//fbaB//hybA//
RcsB	hyfE//gudX//purM//mngB//phnM//eno//ydcV//mlrA//alsE//tolC//gyrA//pstB//hipB//trpA//mazG//gpmA//rfe//gspJ//nuoA//mdtE//pheT//nadB//ykgM//fadH//yhdW//
RcsB-BglJ	erpA//hcaB//ascB//focA//dpiA//codA//glcD//fixB//pgaB//uxaB//lpd//tnaA//decR//ydhY//gspE//flgE//
RelB	phnP//glcE//katG//
RelB-RelE	dapD//ilvY//ubiA//
RhaR	yqjA//rdoA//
RhaS	sgbU//tdcA//hisJ//mglB//ppdA//tehB//
Rob	sra//cpxQ//fucP//dsrA//citX//pspG//ydjM//rhaS//murI//wzzE//lexA//agaI//fldB//decR//sodB//relE//cas1//rplT//fliD//ldtD//artP//sgrT//mntP//metF//yjiY//uhpT//
RstA	galE//tadA//ydcU//argF//purF//glcC//rclA//fabB//fbaA//nikB//
RtcR	idnD//ariR//
RutR	yfbR//mscM//katG//gspO//rhaT//csgF//gspH//ttdB//yhdW//nuoA//tauB//xapA//agaI//soxS//kdpC//cra//acnB//
SdiA	gatZ//pstB//deoD//rbsK//cysN//
SgrR	nagB//gadA//mscM//fecD//csrB//nikC//alkA//ynfK//mhpE//
SlyA	sroA//
SoxR	csgG//phoE//hcaF//
SoxS	uidR//hlyE//yafN//fliL//torA//entD//dmsB//gadA//gnd//gspK//hybG//appA//yagK//nuoB//crl//pfkA//thiP//osmC//grxD//agaB//yccJ//astE//purC//sgbH//glmY//ddpD//fabA//agaA//sucB//aroM//ftsQ//rnlB//uvrB//paaK//ydfE//murF//uxuA//rybA//baeR//hycA//
StpA	hcaC//fecD//ppiD//appC//hcaB//metI//trpE//
SutR	nadA//sucC//zwf//mhpB//sufE//
TdcA	fliT//dmsC//nimT//omrA//dsdC//slt//nfuA//
TdcR	gspC//hypA//argD//gltB//pheS//hycD//psiF//
TorR	hdeA//yiaK//hisP//pheS//luxS//mioC//garK//ssb//yiaL//chbA//add//dapB//
TreR	caiD//motB//
TrpR	wza//stpA//yciG//amn//alaC//ynbB//rpiR//ttdR//recA//aceB//nlpA//ecpA//
TyrR	ompN//chbA//gspK//entC//pspB//fecC//fixA//araB//zraR//rcnA//grxA//tcyP//
UhpA	dapB//
UidR	ugpC//nfo//araA//srlE//
UlaR	idnO//sroC//mntH//nrfB//prpE//cvpA//cirA//
UvrY	wzyE//artQ//aceK//lysA//nrfG//
UxuR	gudD//nadA//mhpE//gspF//deoA//fixA//cyoA//cheA//dinD//
XapR	treR//fucU//
XylR	nmpC//dmsA//fliS//mtlR//iscU//tbpA//fliL//
YdeO	iraM//nanT//ascB//citX//pepA//nfuA//astA//purL//glcG//lacZ//rarA//metI//mpl//malM//ydeN//murR//mioC//accA//garL//oxc//ccmG//
YedW	pstB//rutD//tisB//gspK//yhjA//aslB//ybaT//hmp//glcD//potG//dsdA//flgD//
YefM	wrbA//chiP//
YefM-YoeB	hcaD//yiaJ//
YehT	pdeH//
YeiL	uxaB//
YiaJ	lsrG//citX//araF//ybfN//yefM//phnO//talA//idnD//dcuA//dsdC//
YjjQ	accC//bdcA//nfsB//flhD//lsrB//srlD//frdB//folA//moaE//flu//
YpdB	yfaE//
YqhC	nanE//tdcF//
YqjI	glk//cpxA//
ZntR	oppB//
ZraR	phnN//gadF//galE//
Zur	artQ//yhjX//dsdA//ccmC//mhpA//uvrB//
