#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sgrR//glpC//
Fur	ynbC//nagA//ydeI//mcbA//tdcB//gltL//cyoB//rstA//hycC//dtpA//hycF//paaF//gabD//frc//uidA//fliA//napG//hlyE//nrdB//rcnA//araA//cysN//moaA//sgrS//nuoG//treR//cusR//uspD//pspB//hemL//gatC//dmsB//agaV//mraY//marR//modA//hisJ//casA//tadA//malX//guaA//thiQ//cdd//malI//nuoK//fliG//allS//guaA//rcnA//dinF//ccmD//mprA//flgA//setA//fliI//cadC//pgaA//dps//pspB//hokD//yciW//pqiA//hdeD//dinJ//rbsR//narL//narX//dhaK//xylF//nimR//aceF//intQ//gspM//fadD//dnaG//ydhX//nagC//puuC//higB//flgL//pspB//yiaL//ydbD//melR//entS//astB//hydN//oppC//gltJ//oxyR//phoU//alaC//yhdX//ydhY//bioC//hycH//wzxE//fruB//gspM//pck//talA//trpA//fadA//hybF//rpoH//tomB//ddpA//yjbE//hlyE//deoB//speB//metA//puuR//lexA//dinB//kdpC//slt//fhuE//patA//fiu//yhjX//fliG//tehA//glpA//yqjH//nanE//yciF//cydB//ebgA//ddpX//
GadE	umuD//ytfE//stpA//caiD//entD//alaC//yidL//argF//hyfA//pgaB//hypE//ymgC//ynfH//oxyR//phnN//guaB//napG//tpiA//rbsB//bglB//ppsA//nhaR//icd//ydhU//nirB//ecpR//pgm//gspM//dgcC//
GadE-RcsB	rnlA//bdm//hyfG//dkgB//moeB//ubiA//appY//adiC//tehA//
GadW	alsB//htpG//tyrP//yegR//ymjC//lolA//intQ//mtr//dapB//idnD//dinD//hypF//nhaA//rplU//dapD//
GadX	nohA//mtlA//ynbC//tam//nfo//ahpF//malF//purD//cynS//artM//yiiS//tynA//cysK//seqA//sroC//cueO//acrR//csgA//norR//evgA//ydhY//garD//uxuR//accD//relE//higA//hybG//fliQ//purL//
GalR	gltI//nuoG//rpmA//tdcE//ompC//rhaA//ydcU//yafP//yebE//rbsK//
GalS	relA//lsrA//mgtA//accB//glcC//malQ//emrA//pstA//kdpC//rpiR//
GatR	flgA//ygbA//casC//ydeI//infB//glnB//
GcvA	phnC//ttdB//malY//iscU//glcA//
GlcC	nrdI//ascF//yqjA//pspG//entD//mngA//dinD//
GlpR	lexA//bioA//uxaB//dhaK//ynfH//caiC//oxyR//allE//cydD//
GlrR	caiC//hslJ//alkB//ybiT//fepC//
GntR	lon//hyaF//argB//yqjI//hyfF//alkB//setA//dkgA//norR//lrhA//glgB//artJ//
GutM	rpoH//metR//creD//glnL//paaB//rhaS//ccmC//
GutR	kbaY//pgaA//nuoH//yccT//purB//rffH//recF//
HU	cysA//wecE//thrS//gyrA//argP//yjbF//hycA//potG//caiC//
HcaR	ynfF//citC//pspD//leuA//dkgA//yqjI//
HdfR	ddpX//gltD//dicB//uspE//yccJ//
HigA	adiC//iraP//
HigB-HigA	ptsI//yhiD//
HipAB	ssuE//moeB//garL//puuC//baeS//
HipB	recD//hybA//tnaA//uvrB//flhE//glmY//
HyfR	xylR//phnM//emrK//rutA//cysH//fadE//gatA//mglA//idnO//ybhS//hypC//csrB//
HypT	kbp//garD//ygeH//fucI//codA//cysW//murI//amtB//narJ//metJ//napA//hcaC//xylH//
IclR	hypF//artQ//citF//rclC//
IdnR	rseA//idnD//ptsG//murR//acrA//norR//uvrD//
IlvY	gcvA//mazG//
IscR	ygiZ//glpF//yhhY//nikB//lrp//caiB//dps//aroP//entF//cspI//fruA//hybD//cvpA//idnD//rffG//yncE//zraS//araG//appB//pepA//yfdE//evgS//metE//pnuC//araC//fau//cusC//yncE//bamE//rcsA//znuA//rbsC//
KdgR	ykgO//safA//
KdpE	asnC//trpC//fimB//metF//
LacI	hcaC//uxuA//appY//
LeuO	nikR//truB//gntX//yeaG//mgrB//chiP//nanT//exuR//recC//eno//fruK//nagC//yoaG//dmsC//ybjC//fhuF//recC//prpC//hybF//yiaJ//
LexA	psiF//murR//pdeL//fimE//fecE//csgF//ddpC//bioB//pgaB//phoU//cecR//nrfB//cynT//ugpB//sra//narJ//hha//lexA//emrK//mtlR//ahpC//cas1//pgk//mcbA//seqA//oppD//uxuB//uhpT//yeiB//gltI//hyfE//phnH//gadE//fnr//malS//ulaD//cspE//hcaB//uvrD//ynfK//cysM//wecB//hcr//rpoH//citD//cusR//ygaC//ydcU//argR//paaA//ssuD//prs//glcB//glnH//mprA//pgaD//tsr//prpE//aceE//
LldR	dapD//ydeM//flgB//
LrhA	trpA//gyrA//alaC//mtlA//
LsrR	slyB//rbsK//amn//luxS//chiP//prpB//feaB//yafQ//gcvB//
LysR	pstB//fnr//
MalI	fliL//hha//yhhY//
MalT	pepA//fliE//yncE//ibaG//phnP//nrdH//gspO//fbaB//bioB//gdhA//
MarA	nuoJ//flgC//frdB//rhaA//baeS//tdcE//srlA//hyfB//wcaA//galR//acrZ//yeaG//phnK//casA//mdtE//lsrC//pspD//ccmC//pykF//purK//ygbK//appA//yfbR//ihfA//flhD//emrB//nac//argB//gnd//ttdA//ydeI//yhiD//cyoB//cbl//pyrC//cysN//ymjC//agaB//
MarR	yoaG//ybdZ//rybB//
MatA	pncB//yebE//dctA//rpsU//metQ//torR//dcuB//argB//
MazE	fdhF//cyoB//dinG//
MazE-MazF	marR//edd//sgrS//
McbR	cas2//yqjH//acrD//dmsC//
MelR	adhE//ssuB//mglC//
MetJ	flhB//paaG//arsR//frdC//ldtC//phnI//envC//fabD//epd//gntK//tauA//mdtA//potI//lsrA//fliO//
MetR	yebE//cysK//gcvH//hycH//ydeI//
MhpR	ynfK//phoB//napG//nanE//frdB//garK//
Mlc	pspB//wcaB//hisQ//narH//hokD//ftsL//nuoM//sbmC//caiD//fepA//
MlrA	kdpF//prs//kbaY//tauA//prpR//intQ//ycgZ//ruvB//gadW//flgD//
MngR	fixC//yciX//rimK//
MntR	hycE//fadA//yiaJ//lsrA//yccT//
ModE	phnJ//yeiB//argR//cvpA//agaW//hyfH//dnaA//entS//nuoG//ttdR//setA//sbmC//fimB//hcaF//dhaK//tynA//glpT//yfdX//gatD//cecR//zraP//patA//pspA//phr//fliJ//nrdI//glxR//torD//uof//putA//ydiV//malG//alkB//nagB//bioD//phoB//norW//fliQ//tam//gadW//creC//phnL//glpB//dmsA//insK//cydC//
MprA	dmsC//marA//fepG//agaI//yidQ//aceK//
MqsA	nrfF//entE//agaS//pheT//tyrP//hflD//alkA//ycjY//
MraZ	fliN//yebE//sgbU//pheT//feaB//atoA//rplT//mtr//sgrT//nrfC//potH//codB//tcyJ//flhA//ydeM//nikB//lsrK//
MtlR	mtlA//nrdF//adiC//
MurR	murP//yciX//nrdA//
Nac	pspF//relA//phnF//artQ//yeiB//ssrS//argP//fruK//gltB//relB//rimK//artQ//alkA//fecR//ccmG//arsC//amn//tyrA//ykiA//purN//agaB//
NadR	wzxE//lysR//acnA//hybE//
NagC	moaC//tyrR//hydN//oppF//fabH//fucR//ynfF//znuC//caiD//sgrS//ykgO//phoQ//luxS//purM//yagK//casE//fliT//rbsD//mntP//ftsA//ftsW//hisQ//skp//lpxA//mntP//hybC//cdd//polB//murE//paaD//yccJ//dkgB//nuoI//glmY//csgF//ppiD//rprA//
NanR	hns//casA//sbcC//dctR//yeaD//flgJ//appB//infB//gadA//ftsK//mdtA//
NarL	ygdB//yfaE//atoD//nuoE//fixX//ompC//sra//atoD//pck//malE//dkgB//pstA//xylG//ydfN//soxS//tonB//recC//codA//uspE//infC//yeaR//tcyP//putP//galE//lacY//rhaT//recN//yfdE//ppsA//ybhR//puuD//csiD//fpr//poxB//gatD//skp//feaB//dnaG//astB//yhdY//glcB//cpxP//rhaR//hypA//fdhF//phoA//marB//kdpC//fliS//entF//rnlA//yefM//nimR//asnA//pepD//nuoB//acrD//murG//narX//yciF//rtcA//pdeH//idnD//aspC//soxS//aroG//ttdB//fecD//allD//yqaE//yiiS//metR//oppF//rffM//gudX//glnD//rbsC//xylB//emrA//pgm//ibaG//exuR//ahpC//atoA//pgaB//nrfD//entB//bdcA//narL//focA//hns//narX//argR//asnB//nagC//marB//nirC//nuoC//glxR//ascB//glgB//rbsB//kbaY//codB//fepA//yafO//phnI//melB//acrD//gspO//malI//cysH//dkgB//ssuB//hybA//ydhT//malQ//lldD//yibQ//garP//lon//tisB//baeS//
NarP	fldB//yecR//rhaT//hyfG//lolA//yedX//phnJ//fhuE//phnE_2//yaiA//aceK//gcvP//tdcB//hcp//osmC//hyfB//ycjF//nanE//lhgO//purR//oppC//gspK//kbaY//argP//sufD//hcaF//purM//uof//rutR//glk//ldtB//insK//narG//nrfE//tnaC//mzrA//relE//treR//mnmG//cusF//phnL//chbC//tynA//dpiB//sufA//aroF//ygeH//fau//nuoH//feaR//
NemR	gspD//artQ//adhE//
NhaR	arsC//murP//wcaA//yhiD//rhaR//dsdA//malE//
NikR	hflD//yneM//sgrR//mhpF//nemR//pstS//
NimR	narG//iscR//
NorR	gltD//bluF//uxaC//
NrdR	hisQ//glpD//flgN//fixB//flgG//nmpC//csgF//crl//fecB//
NsrR	ygiB//gspI//fadA//fadR//ascF//ulaD//mioC//purA//osmC//uxuR//glcF//trpR//ycjF//paaB//alaC//rplT//allD//phoH//mprA//ykgM//fbaA//phoP//yafO//iscU//hisM//serA//alkA//ada//ycjG//putP//narG//gcvP//allS//dmsB//argO//srlD//sbcD//entA//allC//gntP//nupG//tsr//flgF//ftnA//ybhS//glxK//udp//truB//argF//glnG//mngR//rybA//gntU//glpC//yciG//agaS//cysM//rbsA//pyrD//paaK//yjbE//flgE//pdeR//ynfK//wcaB//norW//betT//yciF//wzb//galE//ftsI//hypF//nikB//yiaO//dmsA//ychF//pepD//tam//deoD//flgK//ssuC//trxC//rnlA//
NtrC	yhjC//moaE//lsrB//metK//ssuA//ariR//recC//asnB//putA//fabG//setA//emrA//ebgC//ymgC//acrB//bioF//yiaM//dpiA//cysA//yjbG//cysG//glpD//soxS//sufE//lldR//ilvC//csgB//grxA//pykF//mhpE//tktB//cysB//rpoS//accA//dsrA//pspA//bolA//fecA//fepG//rbsD//dhaL//mgrR//yfdX//hyfG//appA//lysR//fabI//dsrA//gatZ//
OmpR	fliI//zraR//aroH//gudD//adiA//ydfN//allA//gatZ//gltB//rutD//nfsB//bluF//nuoA//paaG//lolA//phnD//uvrD//araJ//rpoS//mdtB//lsrF//
OxyR	paaH//cusR//gutQ//astA//flhC//cynT//fruB//prpE//sra//fdnH//sbmA//kbaZ//fliF//accB//nuoG//ilvY//nrfD//ybbW//chbG//sucC//cyaR//yfdX//oxyS//tolC//aroP//evgS//yhdZ//fdnI//moaD//ybiT//ompC//dgkA//moaE//emrA//
PaaX	yeaR//yciG//tomB//pstB//cho//iraP//pck//htpG//aceK//hycB//hslJ//hypE//yfiB//potF//
PdeL	bglG//
PdhR	treB//wzc//astE//glcE//garD//tdcD//nrdI//sulA//flgK//tynA//cydA//cysH//rbsC//ydfX//nrfB//cydB//yhhY//ytfE//yedX//dacC//nikE//pdeH//gatC//yfiB//codB//yjhB//tehA//ulaG//mscM//rcnB//treR//hybO//manZ//ydeP//dcuD//zraS//puuA//yciG//nuoJ//gadC//cecR//
PepA	fliE//gntT//ygiB//
PgrR	dhaK//betB//dinB//yfdV//fecE//yecT//xylF//ulaA//
PhoB	araG//rprA//casC//fliK//carB//malM//zntA//gspD//glpD//nlpA//ccmE//dinJ//pstA//sroA//nikD//slp//dctA//gcl//gltF//aroG//fepB//fdnH//cas1//ynbC//seqA//fliF//yhiD//idnD//agaC//nrdD//phnP//bglF//thiP//puuB//sodA//hyfJ//sgbE//rhaS//malX//glxK//aroM//yfdE//fadR//cas1//yiaO//rnlB//yhjC//dhaL//paaY//nirC//sgbE//csgG//codB//ccmD//hflD//zraS//cyoE//fadI//agaR//crl//
PhoP	gspF//pheT//gltL//qseB//gutQ//atoD//kdpA//adhE//rarA//xylA//moaD//btuB//norV//murR//mraZ//hcaB//adiC//fdnI//glpQ//slt//ybhF//aroH//fecD//gpmA//chiP//rnlB//yciF//relB//hyfC//pepA//ftnA//csgG//hypF//hycA//ubiX//sucB//nagE//fucK//nuoE//mgrB//araC//hcp//dcuS//prpR//gdhA//dnaA//sgbU//nrdB//thrS//glxK//pstC//sdhB//ycgZ//ung//mhpB//ldtD//
PrpR	flgB//uidA//yebE//yibQ//ybdZ//
PspF	murI//gntT//csgC//gcvH//potH//dtpA//hybO//
PurR	ynfG//eno//rutG//moeA//phoE//pdhR//glk//entB//chbA//phnO//hycC//prpB//yncE//appB//pdeL//fhuC//pnp//oppB//ttdR//ssuA//ecpA//hycF//thiQ//flgL//fliC//hyfC//aroH//katG//acnB//hcaE//hipB//
PutA	kdpA//fumB//
PuuR	artJ//ldtB//rimP//gatD//ada//fimB//rbsK//
QseB	chbA//dhaL//mhpB//norV//
RbsR	napH//tonB//yiaK//eno//hcaD//yidQ//ascF//aceB//fabB//
RcdA	fecC//gntT//rhaD//creA//hyfB//cho//phnK//glcD//ydfE//
RclR	glcF//kbaY//hyfF//
RcnR	lamB//nadB//yqjA//
RcsAB	kdpF//aceB//oppA//malT//rpmI//lsrB//cyaR//nanA//agaW//fliN//pheM//murG//stpA//glpA//yhdX//fabB//
RcsB	fliO//fixX//fixA//narJ//gdhA//mlrA//ybhS//waaZ//yqaE//pflB//potH//bdm//napD//wzb//ecpA//ykiA//yagK//hcaE//yjhC//ydeO//ycjY//fadB//ulaB//napG//tdcG//
RcsB-BglJ	glgC//marB//mpaA//sutR//fruK//tyrB//fepD//fixA//lsrB//guaA//fhlA//rbsR//fpr//sbcD//appY//dpiA//
RelB	recN//hyaF//frdA//
RelB-RelE	galS//puuB//alkB//
RhaR	ftsZ//dcuB//
RhaS	nimT//moaC//ydbD//allB//mtlD//lldP//
Rob	mqsR//pspA//phnN//nrfB//ppdA//mipA//murI//betT//ssuB//glgP//flgE//motA//iscR//prpC//hdeB//nikC//csrC//allE//uvrY//fbaB//mipA//znuC//sucC//flgM//potF//feoA//
RstA	ulaA//ndh//fliM//rarA//deoD//xylR//narG//fliQ//cydA//ftsI//
RtcR	caiF//nmpC//
RutR	kdpB//purM//sdhB//baeR//hypA//paaA//frdC//iraP//xylA//yegH//yeiL//moaD//murP//rpoS//phoH//ssuB//sgbE//
SdiA	deoA//paaI//yafO//zraR//fliJ//
SgrR	ompT//fdnG//asnA//leuL//napB//yhdW//btuB//ybjC//napH//
SlyA	alsC//
SoxR	poxB//glcD//moeB//
SoxS	fliM//torA//ydfX//yiaM//nikC//malX//bioC//tyrA//fruA//tktB//araC//xylR//cysP//paaG//yidL//speA//fadA//cynR//zwf//sbcC//baeR//cydC//recD//fliJ//fadJ//nimT//fur//nlpA//rob//malE//glgA//pheS//adhE//pspG//tomB//potI//garD//mngA//ykgO//gltD//
StpA	fucK//cysK//nagC//glcA//lacZ//rimK//metQ//
SutR	mngB//ydjM//ruvB//lhgO//gspJ//
TdcA	recB//appX//idnK//pgm//bglB//sufE//degP//
TdcR	hyfD//dapD//atoE//phnK//ugpC//wcaB//betT//
TorR	hcaB//relE//yqjA//phnF//eda//thiQ//tcyP//phnP//ydjM//isrC//cysG//uspD//
TreR	higA//flgK//
TrpR	gatZ//ydeI//wzc//relB//yjhB//pqiB//cra//yccT//uvrB//metE//artI//murG//
TyrR	allA//yhcH//rimK//mtlA//gadA//nuoJ//araF//ompT//prpB//mdtD//fimE//fliF//
UhpA	trpB//
UidR	znuC//aidB//evgS//gntT//
UlaR	baeR//frdB//rpoD//rstA//pheM//znuC//zraS//
UvrY	caiF//xylB//iscR//chbG//sdhA//
UxuR	artI//feaB//fabB//hydN//dmsC//cydA//ecpR//pepA//ftsQ//
XapR	ptsG//znuA//
XylR	nrfA//napH//tktB//sgrT//yiiS//atoB//tynA//
YdeO	fliJ//nemA//melB//ebgC//dhaL//fabH//yiaK//narJ//ssuE//chiP//fucP//flgA//phnE_2//amtB//yidQ//cusR//tyrA//ccmD//mhpB//entA//sbmC//
YedW	tehA//idnK//cdaR//puuD//caiA//gatZ//uvrA//rpmI//gadE//yeaH//nanK//gltJ//
YefM	dsbC//csgB//
YefM-YoeB	nanE//purN//
YehT	ecnB//
YeiL	arsB//
YiaJ	yibQ//ychF//yccJ//garR//pstB//oppF//yidQ//dinF//cdd//ydfX//
YjjQ	ykgO//higA//yjhB//frdC//yaiW//dsrA//rutR//melA//pck//leuB//
YpdB	cydD//
YqhC	bamE//fliZ//
YqjI	casB//rhaS//
ZntR	cspD//
ZraR	deoB//ygiC//ddpB//
Zur	galE//xapB//metB//ssuE//ddpD//talA//
