#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	insK//dnaN//
CusR	trxC//yegH//mtlA//tauA//yfiB//trpL//malG//hcaE//argH//paaY//leuB//ycjF//
CynR	paaX//argI//yeiB//yebE//
CysB	ebgC//yhbT//osmC//ynfG//psiE//phnM//dps//glmU//polA//nikB//sufS//yiaN//yhdZ//malX//argO//relE//exbD//insD//psiE//waaZ//lsrG//lon//gltJ//psd//nupC//lysR//fliO//sdhA//pyrD//galR//gatD//ldtB//
CytR	casB//ydiV//dsdC//ftsL//exbD//mpl//rffC//sgrT//ymgC//baeR//garK//nuoG//degP//
Dan	yqjH//bglJ//srlA//bdm//
DcuR	rfe//hyfC//cspD//ptsH//ychF//cynR//gspO//agaB//citC//
DeoR	mlrA//ppsA//yegZ//dnaA//nfsB//tyrP//
DhaR	pgpC//fadM//ulaG//uspD//
DicA	gutQ//ada//hemH//rcnB//ftnA//tauA//intQ//caiD//
DinJ-YafQ	marR//gspH//nuoC//
DnaA	hybC//ybdZ//tpiA//emrA//glnK//hipA//modC//yiiS//cspI//hyaD//uspD//rob//
DpiA	emrK//yebE//ydcU//ddpF//narX//glmU//metA//glk//gatA//adhE//casA//
DsdC	ybdZ//dapB//gudD//
EbgR	csrB//hypD//
EnvR	arsB//yecT//
EnvY	artQ//nrdG//
EvgA	mhpA//glpC//recX//galT//folE//entA//yiaK//deoA//araG//add//ppsA//gatD//soxS//fliC//uof//alsE//yafN//mazE//yjeV//
ExuR	murG//puuA//betB//rutA//ycjF//glmU//dcuS//yfdV//aroP//
FabR	phnE_1//artI//
FadR	garR//lysR//agaD//gspK//yebE//sbmC//spy//bhsA//malY//stpA//asnB//phnJ//eda//potF//paaK//cysC//ecpR//rffG//gcvB//gyrA//nimR//hemL//fadM//
FeaR	nrdI//mgtA//
FhlA	aroH//dacC//murI//mgrR//gspD//mraY//chbC//cra//sufA//ascF//fruB//yjbG//lldP//rstA//fliS//caiE//aceA//dicC//alaC//oxc//ybhR//borD//nirC//dpiA//ydbK//betB//exuR//acrR//creC//malI//
FlhDC	ychF//ddpX//rnlB//rdoA//glpA//fdnG//mhpD//pspG//yeaD//zinT//fecR//yjjQ//murC//yegH//ygiA//pqiA//yccJ//ccmD//fliK//gatZ//mlrA//cytR//citC//ssuA//csgG//lolA//dhaK//xylH//gabP//tcyP//mgtL//oxyS//hipA//fliZ//polA//mglA//caiB//dnaN//phnP//eno//thiP//gutM//gcvB//eda//dicB//hybG//mqsR//yeaE//nanA//dsbA//xylB//ulaE//ppsA//ddpA//rutA//norV//ugpE//ydfX//gcl//appC//ydcU//glpT//fliS//yhbE//dcuD//napB//rhaT//ynfF//yqhD//puuA//betI//zntA//glpC//pflB//glmS//rplU//paaY//dnaG//yebG//manY//prpR//hyfB//
FliZ	ygiA//lrp//mraZ//mntH//znuA//cydA//yefM//rnlA//rpsU//garR//pagP//ygiB//glpD//rcnB//caiC//osmC//metH//sgbH//eda//evgA//paaZ//
FucR	malQ//ynbB//rclA//bglJ//relE//glcB//hyfF//
Fur	hipB//aceE//puuD//cecR//fliQ//crl//nirD//mgrB//malF//polA//purD//entE//entF//cadC//citX//bdcA//xapA//hcr//hdeA//oppC//sfsB//iraP//cysE//dmsB//argP//prpC//iclR//fau//cysH//csgA//sdhB//argC//pgaC//grxA//phnG//hypA//sufS//gcvP//flhE//yafN//malQ//phnH//trpE//gspL//gspI//serA//leuC//yefM//murI//xylR//chbB//fumC//fadM//citF//yhdX//hisJ//yjjQ//ycjF//rffH//hcr//ydhW//gadW//artP//ynbD//torA//dinG//frdD//paaY//pgpC//gspH//argI//glxR//yeiB//wecE//ihfA//alaC//narH//cadA//yhbT//betA//tdcA//rtcA//lysP//gcvT//yidQ//citX//gcvA//artJ//fliK//flgE//safA//metB//ppc//ulaD//hyaC//hcaE//moaB//hycB//csgG//gabD//pheM//glgP//potH//envC//polB//malZ//caiA//ulaA//nrdE//aspA//tam//fabI//creB//uspA//metA//lsrA//dinB//znuC//glgP//hcaB//leuB//cydC//fadI//fimB//ihfA//putP//yjbE//yfbR//alaS//agaC//
GadE	caiC//rffG//mdh//gspK//xapA//fadR//ugpA//nikA//nuoL//katG//yeiL//uof//leuA//emrB//mdtF//manZ//nanS//pspA//hyaA//ygiB//iraM//hyfF//wecE//ymgC//gpmM//lysA//nirB//frdB//ppdC//
GadE-RcsB	mngR//alkA//phnI//gntX//pepD//glnG//gltI//bglJ//malM//
GadW	ycjF//ydjM//gadW//ydhY//ulaF//mraZ//cysC//sdhD//uof//nirC//fliG//hypF//deoC//cyaR//ugpA//
GadX	ppsA//feaR//dgcZ//fucU//fucO//ddlB//nuoH//tauD//gudD//insD//cdaR//ykgM//yfiR//yccJ//araA//cysK//nemR//ytfE//nrdF//fucP//yqaE//lysR//ydhY//fecE//pgaD//ftsL//gatZ//sucC//gloA//
GalR	trxC//ynfH//rhaA//uvrD//allE//aceB//psd//dhaM//glpA//ebgC//
GalS	cysG//yciX//cspE//flgC//yafP//nuoA//yhdX//ytfE//fepD//ybdZ//
GatR	bglJ//hns//phoB//mlc//mhpA//cysK//
GcvA	fruB//bioB//znuC//ybdZ//evgS//
GlcC	kbaY//dctA//cdd//rutE//gadF//lacY//katE//
GlpR	znuC//yhbT//sgrR//nimR//napB//purN//qseC//trpB//paaK//
GlrR	pncB//rpmA//exuR//ftsK//hybA//
GntR	qseB//cynT//ykgM//nagA//hdeA//nanK//hyaA//xylG//moaA//omrA//tisB//napC//
GutM	fepA//atoE//thiP//cysP//astC//fecI//hypF//
GutR	araB//putA//yccT//ptsI//yjbG//ppdC//glpA//
HU	murR//yegR//gabP//rbsB//metN//ygbA//puuC//ccmC//phnE_2//
HcaR	rclA//atoE//add//paaA//araH//hydN//
HdfR	trpR//betT//symE//motB//tauB//
HigA	ycgR//truB//
HigB-HigA	fadB//hyfI//
HipAB	lpd//ymiA//gntX//ygiC//dgkA//
HipB	purD//metQ//uxaA//yegZ//trpE//oppC//
HyfR	ssrS//borD//dacC//codA//casD//ydcS//glpB//mltF//ygbK//fadH//prs//glnB//
HypT	bacA//hypB//cynS//feoA//metF//yhcH//fruB//paaX//folA//ppdB//waaY//ccmB//oxc//
IclR	paaA//nrdH//agaD//fliZ//
IdnR	gor//hcaR//purE//araA//dsdX//mepH//exbB//
IlvY	napD//hmp//
IscR	ccmC//mltF//mipA//bolA//hyi//yafQ//yjbE//deoB//ribA//aroM//bacA//rnpB//soxR//lldD//pgk//nrfB//sbmA//pepA//glcE//ebgC//rfe//gpmM//sbcD//rffT//nagB//ydeM//nikE//csrB//yqjI//phnK//fliK//serA//
KdgR	glpX//yjeV//
KdpE	pgi//katE//argB//agaI//
LacI	uvrA//cysP//decR//
LeuO	galP//phnH//mhpE//gadA//metK//rutA//prpD//ymgC//skp//yecR//mdtB//ybbW//umuD//fhuD//pgaD//nfsB//creB//mzrA//nanS//phnE_2//
LexA	ybbW//cysG//malF//ydeI//acrR//umpH//fadJ//fliC//yqhG//soxS//sucA//ssuC//infB//znuC//glpB//fecI//oxyS//nrdA//pspG//ydeP//argF//rnpB//gnd//cirA//rseC//atoA//symE//fucP//chbA//gspF//glmU//phoE//fliL//fepG//ssuA//ydeI//feaR//purD//slt//ybhF//fur//tktB//mazG//napG//tauD//glpA//ydhT//tauB//pgi//hipA//cpxA//nupC//phnH//sufE//glcB//mazF//yiiS//fliS//araA//
LldR	ccmF//casB//idnK//
LrhA	cynR//mdtF//malQ//fadB//
LsrR	ompF//fecD//galR//argG//eno//gspJ//gadX//ydeM//paaD//
LysR	casE//alaC//
MalI	ybhS//dnaA//fucA//
MalT	hyfJ//pncB//zraR//rutE//lhgO//xapB//ynbB//sgbH//nuoM//rclC//
MarA	fucA//rprA//ydhX//acrA//polA//lamB//ptrA//ddlB//mdtD//ydfD//nfsA//fimE//flgJ//ftsW//artM//rimK//hemH//ydcS//nemR//aspA//mhpA//mraZ//ygbK//phnG//ydfE//agaR//polB//nirB//yqjH//cyoC//safA//yagK//yoaG//rffT//argT//xylA//pck//treC//
MarR	mraZ//phoE//leuC//
MatA	tdcF//sgrS//csgD//gapA//prpB//nanS//patD//fecD//
MazE	dinG//casE//emrK//
MazE-MazF	metR//copA//fldB//
McbR	hycB//moaA//osmB//phoA//
MelR	zwf//nrfG//nimT//
MetJ	emrA//agaB//nhaA//appB//casC//lhgO//yjbF//yccT//cysG//glmS//nagE//safA//astD//narH//pgaA//
MetR	ycgR//soxR//pncB//mtr//csrC//
MhpR	recA//ydeI//pgaA//manZ//galS//mtr//
Mlc	sroD//marR//sufS//alkA//yafO//tfaQ//glcF//xylF//ydjM//ftsQ//
MlrA	tsgA//borD//ddpA//ubiX//umuD//ymiA//znuA//dicC//dacC//phnF//
MngR	oxyS//fes//prpB//
MntR	yjbH//cysJ//hyfH//yccT//phnH//
ModE	puuC//arsR//nfo//baeS//ppdC//phoQ//casB//hokD//paaF//relA//rhaA//rnpB//yaiW//gntP//hokE//narL//ubiA//csiD//rclA//sufE//yidQ//ssuA//dapB//wzc//ryhB//fixC//nuoC//rcnB//sgrR//nemA//ydjM//wecE//fliO//purN//oppC//wzb//malE//leuC//cpxP//grxD//fumB//dinD//galS//frdB//tolC//soxS//
MprA	dtpA//csgA//ynfG//citF//codB//ddpX//
MqsA	yhdZ//glmS//gspD//lysP//yagK//frdC//srlE//galM//
MraZ	sroD//glpK//yjjZ//recX//gfcA//yjjZ//ppdC//paaB//phoP//fliL//fadL//yjeV//allC//astA//yhiM//gntP//tfaQ//
MtlR	flgH//rprA//yqhD//
MurR	tdcB//fepC//csgB//
Nac	phoQ//infB//ynfK//cysE//argI//xylH//prpR//sra//exuR//ynjI//gatZ//ddpC//ccmG//sdhC//acrA//sutR//gadY//tdcD//galT//pheS//ygeH//
NadR	ppdC//fliT//hmp//paaG//
NagC	yegR//ykiA//feaB//entS//nadB//ahpF//yiaL//yeiL//mdh//nuoG//creC//ppdA//hycE//rbsK//potF//spy//artJ//rffT//rplT//ompW//ydbD//gltB//araJ//bioC//dpiB//fliD//rcnB//gspF//pncB//gutQ//ymgC//artQ//yibQ//uxuR//fdnI//metI//nfsB//
NanR	uvrB//lpxC//tehA//wcaB//frdB//astC//caiB//yhdW//fhlA//iclR//mlc//
NarL	kbaZ//ftnB//yeaD//yegH//hycD//mgrB//glnK//dinG//aceE//ykiA//adhE//hybE//paaI//paaC//tnaC//gatB//cyoB//feoC//mhpD//pyrC//lgoR//cysA//sroA//glxK//oppD//ulaC//aceK//ftsA//tauC//lysR//sucD//citX//fucA//pnuC//glyA//feaB//chbC//entD//glnB//hypD//insD//ydbD//cyoC//fimE//potH//argA//yiiS//ddpX//argO//ttdT//cspI//sufS//dnaG//rutB//gpmM//glnD//mtr//flgJ//aceK//argE//narK//hisP//glnB//fadJ//ascB//citC//yaiA//gatA//crp//nrfE//yciG//araH//ruvA//ycgZ//sgbU//fes//yhdX//ygeA//sufD//flgC//dsrA//prs//accC//dinB//glcF//pspG//deoA//ubiC//flgE//sbmA//uhpT//creA//deoC//ygeA//gadX//ybbY//yhjA//stpA//aroP//phr//rpmI//mhpE//moaE//feaB//yqjA//nrdI//rprA//gcvA//fucK//creB//ybaS//glpF//ynfE//fruB//ogt//evgA//lexA//yhdX//cysP//ugpA//fabI//ugpQ//yoeB//
NarP	phoP//yjjZ//fadR//cbl//ynbB//zraS//bglG//dhaR//bglJ//rimK//gatY//uxaB//zntA//pspF//ydfX//ssuA//fabZ//ygiZ//tauC//rutB//bioB//yeaE//ftsQ//wzyE//yaiA//fabH//amtB//ydfN//pdeL//deoB//nuoL//sufS//mpaA//erpA//pgm//ldtB//phnD//cynT//cydD//cas1//yeaR//rutC//mlc//ecpR//prpD//ygiA//caiT//paaD//ybbY//aceA//
NemR	dnaG//nadA//rybB//
NhaR	ydeP//yafQ//ygaC//rutA//hlyE//napD//gltK//
NikR	mazG//malE//ydcV//pspG//sbmC//nrfA//
NimR	dinG//zraS//
NorR	rhaD//fhlA//aspA//
NrdR	metB//yiaO//gntT//hflD//borD//sulA//aspC//dacC//relA//
NsrR	dps//frdB//galS//purD//ssb//lysA//casB//cas2//ddpD//dapB//rybB//gspF//gltJ//dgcC//serA//pspB//rpsO//ycjY//sgrT//tam//nanC//napF//metF//acnB//waaH//oppF//hmp//hypC//ymjC//kdpB//hmp//sufA//phnF//uxuA//malM//mlrA//galE//hokE//cbl//fdnG//adhE//kdpC//ascB//ptsI//mdtC//agaI//acnA//artM//motA//yaiA//rutD//waaY//argF//gor//wza//nadB//fliR//kdpF//alaC//cydD//nrfC//agaW//relE//phnJ//zraS//hcaD//tfaQ//argD//ybbY//uvrA//ugpC//yccA//xylA//uvrD//cirA//ccmA//malM//epd//yccJ//uspD//fadL//ykgM//alaC//
NtrC	sodA//yeaE//mtr//xylF//nfsA//dpiA//lsrG//yhiM//yfaE//yeiB//cheW//ppsA//yjbH//gadY//inaA//gatA//cbl//acnA//nrfC//mqsA//ulaC//hcaE//ugpQ//ydhV//entH//dgcZ//yafN//purE//fadD//ddlB//rpoE//hyfJ//garK//ung//fliH//aroG//gatZ//bolA//alkB//ddpC//potG//citC//agaC//hyfH//ynfG//focA//sgbE//yafP//hyfF//
OmpR	nemR//fecR//cysB//yeiL//kbaY//alsA//flhC//aroF//ftsL//mngB//glcA//hypF//torR//glgP//feaB//pflB//hyaB//zraS//slp//hyaD//tktB//
OxyR	nuoL//oxyR//bluF//gutM//fliH//hypD//sodB//dnaN//paaE//ymjD//nadA//lsrA//asr//bioF//mgtA//tolC//idnO//paaG//thiQ//uidA//cyoD//ulaC//purN//acrD//gltF//aroF//hmp//glmY//trxC//galT//aspC//bglJ//pheT//glnB//
PaaX	fucI//ebgA//rbsC//phoP//btuB//putA//aceB//nanC//mdtF//focB//ygbA//pgpC//pnp//cusF//
PdeL	pfkA//
PdhR	btuB//adhE//caiD//chbF//flgD//creC//flgN//sgbE//fucR//uxaB//lysR//atoB//rbsK//flgN//lsrF//sgbU//aspA//pspD//nfo//dmsC//flgH//caiB//phoE//mngA//tcyP//citF//tauB//nadA//gspC//uspA//lacZ//gdhA//nfsB//soxS//dmsD//sgbU//hycE//nagC//rsmH//malK//ugpA//
PepA	ccmE//ompN//aroM//
PgrR	lsrR//gutM//malZ//wzb//agaV//cspI//acrR//rutE//
PhoB	lpd//gntX//ygiZ//adiC//yaiA//ygiC//talA//fdnG//lldP//fixC//lrp//rnlA//gntU//iscR//phnP//infB//gabT//zwf//fabI//puuA//narJ//ulaB//yfiB//glcF//nrdG//ybaS//hslJ//lyxK//nanC//waaH//mqsR//asnC//iclR//glpT//paaF//melA//udp//glgP//ttdT//malY//marA//caiE//pqiA//alsB//gcl//dnaG//ssuD//gspL//fadE//hyfF//ygeH//crl//ykgO//gntX//malY//pgaA//bamE//dmsA//entS//tdcF//
PhoP	aceB//ubiA//dinB//hisP//tdcA//fabH//malX//crl//glpD//ubiA//yoeB//ybdZ//fruK//lysR//aceE//glpA//btuB//entB//fhuC//malZ//cyoC//fiu//nuoA//ydhW//metJ//lrhA//wecC//ygeA//yeaR//murP//zntA//mprA//cyoA//agaW//nrfG//rtcA//nemR//creB//glnP//galK//paaX//relE//yjjZ//hdeD//ybhR//argR//ugpA//dsdX//fhuE//argO//umpH//creB//araA//gloA//fbaB//rnlB//
PrpR	ftsZ//dcuS//mqsA//cyoA//bioB//
PspF	yciW//marB//alsB//mdtB//udp//ynfH//cadB//
PurR	fhuE//trpL//araB//decR//malY//araF//pqiB//znuB//recN//rffC//cysM//rclC//rob//polA//appC//gntP//idnT//yeaE//glpX//argC//codB//yeaG//ygbA//ydbK//hisQ//ccmC//osmY//sufB//artQ//dpiA//leuO//
PutA	hokD//hycF//
PuuR	ydcV//epd//soxS//garP//pqiA//treR//ldtC//
QseB	thiQ//ugpC//flgH//inaA//
RbsR	bioF//fes//patA//rimP//relA//glpA//wza//lrp//cyoC//
RcdA	ttdR//pnuC//sdhC//frdD//inaA//nikB//melA//dinG//astB//
RclR	lysO//narK//amn//
RcnR	pnuC//uvrB//hdeD//
RcsAB	hyfH//napD//argO//atoB//gltF//fruB//cusC//hyfH//gabT//ygeA//rbfA//metA//recC//osmB//yegH//ydcV//
RcsB	lpxD//hybG//yibQ//sroC//rutA//hycI//gatC//ftnB//fabA//psd//fumB//leuD//hydN//ugpC//pgaB//ybhL//fliL//nfsB//decR//hybF//sbmA//bioA//aroL//fliA//dmsD//
RcsB-BglJ	narK//yjbF//hybO//nuoC//gltB//ynfH//dapB//micF//oppC//garR//lpxA//zraS//malX//pstA//sucB//wecB//
RelB	aceE//gadC//sutR//
RelB-RelE	appB//nhaR//soxS//
RhaR	yhjA//recB//
RhaS	moaE//nuoE//gadE//grxD//glgC//csgE//
Rob	uvrC//fucO//purN//murD//fadM//icd//ynfK//ynbD//ymjD//lsrR//gatB//hmp//fecE//pheS//degP//pagP//ygiC//mhpA//narG//ygdB//iraM//ydfW//rplU//gspI//yhdW//gltJ//
RstA	sufD//nrfD//ccmB//lsrF//grcA//yhbS//ymjC//iscU//tauB//nrdF//
RtcR	mgtA//aroM//
RutR	hha//hisQ//fecR//pspA//feoA//metQ//ygeA//fliL//waaH//araC//mtlR//araH//nupG//yecR//nmpC//mpaA//nuoN//
SdiA	dinQ//cusC//ugpB//flgA//phnG//
SgrR	fau//tcyP//recN//purN//gutM//metE//trpL//metN//yoaC//
SlyA	ynfF//
SoxR	nirB//hmp//ydiU//
SoxS	feaR//nimR//phoA//glnB//focA//hcaR//nuoA//crp//chbG//entC//nirB//ruvA//rutE//oppB//pheS//arsR//ychF//hyfE//lsrK//rplT//putP//srlD//appX//mdtA//allS//casE//rcnA//tauD//lysP//yfdV//mpl//marR//torA//ydhX//murP//hokD//cynT//yciX//yeaD//puuE//
StpA	lpd//ydfN//fepB//setA//purR//hmp//narJ//
SutR	paaC//recA//fruA//rsmH//alaS//
TdcA	cadA//trpR//leuB//psiF//bglJ//flgM//glcA//
TdcR	rpoS//phoE//dkgA//yciF//hemL//galK//osmC//
TorR	aceF//gapA//entB//sdhB//argB//ynbD//lpd//sbmC//mhpT//purB//accB//bglJ//
TreR	yfbR//marR//
TrpR	gcvH//ydhT//aceE//ybjC//hns//caiD//ttdB//tynA//caiE//ibaG//glnK//sodA//
TyrR	yfiB//fadD//wzc//add//dsdA//malX//astA//fumC//lldD//fecA//spy//ybbY//
UhpA	cusR//
UidR	cydD//gadY//ftsI//dacC//
UlaR	trpR//cra//slyB//gyrA//ulaE//cyaR//csiD//
UvrY	csgA//fecC//yhdZ//ppiA//malS//
UxuR	ilvY//adiC//pck//idnO//recN//gltF//fruA//fliC//ahpF//
XapR	alaS//lrhA//
XylR	entB//hyfJ//ybdN//kbp//tauA//dsdA//trpA//
YdeO	purK//aslB//phnD//yhbE//dinB//gabP//rnlB//fabG//ptsI//mgrB//arsC//tauD//nrdI//tcyP//rnlA//ydfD//csiD//epd//garD//allA//chbG//
YedW	slp//copA//rffM//phnN//hybF//ddpC//frdD//fruK//araG//tehB//trpB//setA//
YefM	gatY//agaV//
YefM-YoeB	symE//paaA//
YehT	glcE//
YeiL	fepE//
YiaJ	appY//ynbA//dps//fdnI//cydD//aroF//gadX//mdtB//citG//uvrY//
YjjQ	atoB//murG//lsrR//hslJ//thiQ//yhdZ//ulaF//sdhB//bhsA//mgrB//
YpdB	prpR//
YqhC	casD//hycB//
YqjI	mngA//rseA//
ZntR	phr//
ZraR	garK//hypF//ygiZ//
Zur	dgcN//metQ//lpxC//glgC//hdeD//ftsZ//
