#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	osmC//entS//
Fur	cysJ//serA//moaA//yhbE//rnlA//pstA//phoH//phnG//cspI//nagB//frdB//rpoS//pstS//zinT//torC//waaY//tauB//fecB//dsdX//sufB//lgoR//lsrF//decR//qseB//acnB//entD//argO//cysM//hyfJ//paaB//gfcA//araE//gltF//fliH//cadB//fabD//cysB//leuC//yebG//uvrD//lrhA//rpoS//dsdX//glcD//tdcA//glcC//ulaF//rtcA//dacC//rbfA//murC//nanA//hisM//mglA//hycI//gabT//katE//xylB//tdcE//ompN//mpl//araD//poxB//dgcN//astD//pncB//glpD//pspD//malS//arsC//napA//iraP//sroD//hha//phnC//fixC//wzyE//yeaH//ydeP//isrC//mnmG//yaiA//mngA//mazE//tdcF//efeU_1//lsrB//metI//fadL//dnaA//aroG//gntU//ydiU//hycA//torA//fpr//tdcF//hypD//idnT//emrB//lolA//pstB//yidL//nanC//pgaC//wzzE//recA//evgS//cpxR//yecT//fbaA//cdd//murQ//uspA//sdhC//ynfF//glnP//asnB//phoA//hcp//uhpT//ldtD//casB//fruA//yjeV//polA//caiF//pspB//rhaD//ytfE//
GadE	nupG//rpsU//ssuC//melA//sdhB//glpX//uspE//iscR//baeS//gcvP//flgF//glnB//nuoH//nuoB//metF//yjiY//adiC//pspD//yoaC//ydfW//dapB//creD//cysH//srlD//ascB//katG//hybO//tsr//nupG//
GadE-RcsB	fliA//ssb//cadA//tonB//ydcV//znuA//rffG//kbp//wzc//
GadW	relB//rplU//gadF//nrfF//talA//glmU//fruA//nrfB//casD//ydiU//casD//xylA//uspD//yjbE//dhaK//
GadX	yiaN//dmsB//gdhA//yiaN//hisJ//treC//focA//hha//murC//nanA//metC//paaX//xapA//malE//nuoG//oppF//yhbE//galK//mngB//efeU_2//yafP//hyfB//acnB//exuR//acnB//sufC//motA//glgB//lsrF//
GalR	feoC//uvrY//nupG//sulA//recF//tsx//yhbS//nadB//sdhA//ybfN//
GalS	fliF//phnO//mgrB//cysN//ppiD//rhaT//fruA//motB//alsB//yoaC//
GatR	ydiU//hydN//gcvH//arsC//hemH//mgrB//
GcvA	dsdX//cadB//ascB//phnI//malT//
GlcC	hycE//aceA//cadB//cas1//hycI//glcG//fecC//
GlpR	cydA//bioC//metN//phoQ//nirD//malE//glmY//ydfX//motA//
GlrR	bglG//rseA//gatD//nadA//rhaA//
GntR	psiF//melB//nfsA//allD//ibaG//yjeV//flgD//sgbH//casD//ygdB//gspF//phnL//
GutM	murI//rseC//malQ//fabA//prpC//luxS//glgP//
GutR	srlD//ppdC//nac//icd//fadR//acnA//fldA//
HU	alaC//codA//cvpA//nimT//galT//ychF//pdeH//agaB//fucI//
HcaR	bluF//malP//tauB//nemA//ftsA//murE//
HdfR	ydcU//yeaG//cyaR//ykgO//iscU//
HigA	agaB//nagC//
HigB-HigA	phnL//xapA//
HipAB	fumB//ulaD//gcvT//metE//agaB//
HipB	ycgR//aceB//chbG//umuC//wecC//yfdV//
HyfR	katG//hdeB//fadJ//pyrC//hyfJ//fabA//recF//argG//nagC//rnlB//ybaT//lrp//
HypT	fadR//higA//caiT//wzyE//oppA//dsbG//murI//hycE//ybfN//gadA//ydcV//fabA//ascF//
IclR	ykgO//garK//focA//hyi//
IdnR	nrfC//baeR//ftsI//ahpF//tsr//ymiA//mdtD//
IlvY	mdtB//gnd//
IscR	gntT//ccmC//murE//frdC//gltF//ccmF//murP//nrfA//astC//yfiR//manX//gltJ//hycH//purD//malS//hyfF//cysN//yfiR//ydfX//seqA//mqsA//csgD//gabD//murD//astA//gltB//lsrB//uxuA//yciE//ftsL//purR//pspC//
KdgR	bioF//mgrB//
KdpE	rbsD//rstB//paaY//dhaR//
LacI	mglC//ilvY//aroP//
LeuO	yjbG//purL//dtpA//atoA//recA//lexA//fumC//bolA//poxB//flhD//cpxP//ubiX//garK//ynjI//flgF//dnaN//patA//yegZ//ddpB//truB//
LexA	fhuE//nuoE//malK//pspA//dsdA//fau//yidL//gpmA//hcaC//fabH//nuoG//ppc//fucI//rstA//higA//gpmA//puuE//nuoA//norR//ftsZ//yfbR//ftnB//mngR//uvrC//dinI//argE//hisM//metE//hcaB//yeiL//osmC//hisQ//cynS//agaB//glcB//fecE//zntA//dmsD//dsbC//rbsD//alkB//trpE//uof//pspF//hypA//ssuD//metL//hns//hypB//ytfE//ubiA//iscU//dinJ//fhuF//grxA//sbmA//lysP//tauD//nanC//
LldR	hyaD//rcsA//dacC//
LrhA	cbl//mntS//gudD//malQ//
LsrR	molR_1//yfiR//argH//waaZ//osmB//kbaZ//gadY//rprA//fliD//
LysR	pstC//gntU//
MalI	ubiX//lhgO//casC//
MalT	thiQ//polA//yfdV//yidQ//creB//dkgB//ssrS//tadA//phr//umpH//
MarA	flhD//recC//asr//yhbS//nanK//zwf//phoU//fliJ//rutA//cra//cysB//yccJ//trpB//wecE//tpiA//glgB//yebE//adiA//crl//gadE//ugpQ//inaA//hycF//pspD//purF//flgF//mazG//malG//ycjX//cpxP//fes//hycH//arsC//fliP//phoR//narX//mlc//nikE//
MarR	ssb//dacC//gatA//
MatA	lamB//slyB//trpB//napC//hyi//aspC//cas1//dinI//
MazE	malY//ppiD//rpoH//
MazE-MazF	tomB//napD//csgG//
McbR	glcE//hycH//tpiA//dinQ//
MelR	glpX//citC//rseA//
MetJ	frc//potG//yjhC//dpiA//rplU//ydfN//uidB//nrdG//nhaR//idnD//hybD//ydiV//exuR//napH//ppiD//
MetR	allA//lrhA//adiC//xylH//iraM//
MhpR	copA//paaH//purK//fhlA//fhlA//nuoG//
Mlc	ppdA//araH//phoH//ddpX//araA//zraP//casB//ydcV//nrdA//fabG//
MlrA	gcvT//trpB//pstC//garP//yjhB//ychF//aidB//ygiB//argT//ynfE//
MngR	hycH//fliK//hycG//
MntR	nirC//umuC//pck//dinJ//bglG//
ModE	gatD//ydcS//mazG//metJ//nuoL//ydfD//fadD//galE//rpsU//yafN//potH//fdhF//xylG//rutC//ddpB//mazG//dkgB//gltJ//ydiV//ydcU//artJ//frdD//dsdA//cueO//hflD//narX//micF//citC//hflD//chbA//ygiC//modC//cyoE//cas1//nagE//nrdH//ddpX//galS//gspI//norR//psiF//csgC//fepD//ftsK//gnd//cydB//
MprA	osmY//ihfA//nimT//tauD//pyrC//phnH//
MqsA	ftsK//mhpB//psiE//sbcC//sufD//dhaM//rhaR//glnH//
MraZ	yhcH//puuA//ung//entE//yhjA//rnpB//yiiS//dsbA//ubiA//rutC//hlyE//gcvB//cynS//ccmD//metK//yneM//uxuR//
MtlR	frc//dnaN//ppiD//
MurR	yoaG//cysD//fadB//
Nac	ada//betT//aspC//ebgA//flhB//ygeH//modC//fadA//gspF//moaD//flgE//nrfF//fhuA//metC//flhD//dnaG//hypD//dnaN//ahpF//grxD//patD//
NadR	gspG//guaA//yhdY//yecT//
NagC	ppiA//dicC//nuoI//fliS//deoB//folE//accD//mngR//cyoE//srlD//ptsG//glnP//uvrB//phoE//waaZ//metR//fabH//nrdB//idnK//cusA//marB//fdhF//mhpF//chbG//grxA//yccJ//nagE//folA//dhaL//hcaD//ydhY//evgS//baeS//srlR//cirA//poxB//phnK//
NanR	phnJ//nuoI//allC//tnaA//fucK//mtlR//lolA//napC//hyi//nrdH//nrdE//
NarL	fabH//moaD//yeiB//trpD//ilvC//rpoD//hycI//mipA//mgtL//glpT//ynfG//emrK//bglJ//gabP//dgkA//gutQ//ynfF//hyaB//ompF//gltJ//recA//gspJ//higA//entE//glxR//fes//narG//gcvT//rimP//ygeA//ahpC//acrD//molR_1//hyfB//ptsI//nikR//pdhR//citX//yiaO//nirC//adhE//argD//moeB//fecB//malF//nadA//yqjA//paaG//erpA//pepA//pgi//tonB//fdhF//napF//gspC//yhbE//fabI//iscA//nemR//ttdB//pdeR//chbB//gcvA//zraP//fixA//kdpC//mqsR//narK//nrdH//atoA//agaD//yefM//napC//paaY//fepC//rplT//hycF//fhuF//caiA//cysU//malX//dgcN//lysC//argI//lhgO//metI//yidQ//ydiV//sufB//gcvT//folE//mhpA//paaZ//tonB//rob//ccmD//flgH//bioF//crp//nanK//crr//fumC//arsC//hisP//omrB//rnpB//lpxC//nanT//putA//pdeL//tam//moaC//moaE//add//gcvP//metC//rffM//murP//ybaT//ssb//rprA//sdhD//mhpT//
NarP	cysB//wzc//caiF//tehA//frdA//dmsC//ppdB//murQ//bglJ//ydfW//fhuE//ybdN//ydfD//gcvP//ruvA//gcvT//tbpA//tdcG//gpmM//leuL//hybD//bioF//agaA//nrdI//cyoA//rutC//ubiC//xylG//fepB//tdcG//ynjI//ynbB//puuA//rpiR//nupG//nuoM//cpxP//ygbK//moaC//phoP//dcuA//argE//glnL//hypF//caiD//motB//fliE//ykgO//cynR//uvrD//
NemR	leuB//mglB//ydfX//
NhaR	arsB//guaB//yfbR//tadA//metE//asnA//lldR//
NikR	oppA//napG//cra//fdhF//alkB//idnD//
NimR	ycgR//nikR//
NorR	uvrA//cyaR//idnR//
NrdR	hydN//xylH//nrdD//relA//narX//ppiD//rybA//yhbT//phnJ//
NsrR	nrdG//ddlB//gltB//tyrP//creD//dtpA//motB//accB//rtcB//yciG//fliE//fixB//cyoB//cheA//bioD//fixX//motA//wzc//bioC//aroM//patA//rbsR//garD//yafP//araD//spy//uspD//htpG//pstA//argO//erpA//nuoF//appC//napD//yhbS//glmU//hyfJ//dcuS//uxaA//fecD//leuL//malX//trpD//gadW//gpmA//sdhA//fabG//cadB//malX//galM//fabH//napF//rbsD//emrK//pgaD//mglA//xylF//ydhW//rutD//entC//fabI//cecR//yecT//ycjY//pgpC//yhbT//ftsW//hypC//pheM//tdcA//wzzE//araH//argA//nrfA//tauB//ddlB//ugpQ//hycH//exbB//recD//entE//bioF//lysR//
NtrC	yidQ//pfkA//fhuC//lysR//lldP//ruvA//emrK//lldD//yiaN//mtlA//lon//ybjC//yhiM//crr//recF//sufE//ydbK//ybfE//ydfH//sroA//hypE//wcaA//kdpA//fbaA//artQ//allD//paaX//norR//dgcN//lgoR//appB//bioA//rclA//lysA//fadJ//tcyP//fldA//ynbB//micF//hisQ//rcnR//gabP//fepG//hcaC//csgA//fecA//entS//fadI//caiC//
OmpR	sucC//narX//gadF//rcnA//glnD//fadE//leuD//ppdC//ddpA//ycgZ//yebE//ynbA//lexA//tadA//dgkA//yhjC//fepA//pstA//cysH//ybjN//wrbA//
OxyR	glcE//wcaA//yqaE//ymjD//yciG//isrC//fliN//rtcA//sgrS//araF//hydN//accD//hyfG//hycC//malT//ftsA//nagC//psd//kdpF//kbaY//fabI//sgbH//wrbA//allA//gabP//hisJ//dsdX//rtcA//nanA//malI//ykgM//ulaE//lysP//phoQ//
PaaX	rpsU//glcC//nuoJ//galK//gadX//gudD//yeaH//hcr//norV//ulaA//tisB//garD//lsrC//yibQ//
PdeL	alsA//
PdhR	astC//mtlD//modA//hcaC//ybdZ//ygeA//waaY//glnD//phnL//glpQ//gnd//pstA//dsdC//hybG//glnA//ycjX//lysR//nuoF//ygbA//dhaL//fadM//iclR//exuT//tyrP//hycC//grcA//chiP//yafQ//nac//ilvY//cadC//rpoS//gspH//dinJ//phnL//hycE//ynbD//araA//yhdX//artM//nrfD//
PepA	hlyE//gspK//rstA//
PgrR	melR//dcuS//yhdX//hybB//fumC//amn//gspC//recD//
PhoB	bioF//tktB//nuoM//fabA//isrC//sgbU//nrfE//exbD//nhaA//ebgC//fadM//phnE_2//paaA//murI//thrS//truB//ruvA//mngA//dsbG//araJ//gspD//caiF//malF//hycH//gor//ybiT//wza//srlD//hha//flgL//glcG//iscU//ulaD//pgaD//fabB//alaS//narL//ruvB//aroH//leuO//napD//hslJ//relB//hycB//ycjX//gadE//znuC//nrfF//flhB//ftsW//mdtA//gadY//poxB//betI//dsrA//pepA//arsB//fliJ//dgcC//tam//
PhoP	mdtA//ulaF//flgI//glk//mgrB//cyoD//ydfE//hyfD//purM//rplU//dmsC//fhuD//pspE//relA//paaY//flgJ//leuC//phnD//mdtE//hypF//glpB//rhaA//rcsA//gspO//ecpR//hyfH//araE//allD//ompC//yafQ//yaiA//fucA//bamE//ybhR//yafQ//oxyR//grcA//ugpQ//psiF//umpH//yiaK//fadM//rpoD//rcnB//phnK//rseC//lsrD//araE//yfbR//qseB//appB//garL//araJ//dcuR//nuoK//mhpB//
PrpR	nrdE//cysU//nikA//skp//ftsA//
PspF	gatA//cspD//tomB//torR//mhpC//appA//aroM//
PurR	pspF//ycjG//gatB//glnD//mgrB//zraS//obgE//ssuC//deoB//obgE//nuoJ//rseC//waaZ//rpoS//tisB//sbcC//rffC//tauD//hypC//infB//ruvA//nuoK//tynA//creB//yaiW//ydcU//mntS//emrA//guaA//melB//efeU_2//
PutA	puuD//yafP//
PuuR	polB//fadA//nac//pstS//hyi//metR//btuB//
QseB	yhcH//allE//agaA//nikE//
RbsR	ygiA//lacA//ydcT//tsx//moaC//cvpA//rbfA//dnaN//cbl//
RcdA	rtcA//entA//malX//sroD//moaA//puuR//aslB//mnmG//bglB//
RclR	gspE//betA//focB//
RcnR	yncE//agaW//fes//
RcsAB	tyrA//ribA//rpmA//metE//nikE//astC//csgB//tdcF//cvpA//nuoJ//metR//hybD//artJ//mtlD//hcaB//efeU_1//
RcsB	frdC//tdcE//pspC//ascF//argB//rpsO//glnP//nrfF//ssuC//sgbH//gabD//gspC//yncE//aceB//yafO//ybdN//rstB//exbD//csiD//umuC//treR//mdtB//mhpT//dinQ//glpC//
RcsB-BglJ	sgrR//murI//deoC//ppiD//idnK//murF//csgD//pheS//metK//glgA//ccmA//aslB//gpmA//glmU//yeaE//phnN//
RelB	dmsD//sra//gatD//
RelB-RelE	hyi//xapA//rfe//
RhaR	nuoB//amtB//
RhaS	lldR//osmY//feoA//fumB//mtlD//purM//
Rob	purN//lsrR//flhB//pstA//argI//ftsW//mhpF//araB//fabB//rplT//gabP//astE//ccmA//metI//creC//moeB//fau//hycD//artP//yaiW//cysC//purB//folE//uxuB//fecB//cysP//
RstA	aroF//yfdE//flgG//znuC//rseC//hycH//nikB//sgrR//alsC//evgS//
RtcR	pdhR//hslJ//
RutR	fepE//eda//ydfD//hybE//rnpB//lsrC//rutE//araE//pgaD//srlD//yqhD//allE//sdhB//hokD//nhaA//fucR//ybfE//
SdiA	araH//hyaE//bdcA//idnR//narJ//
SgrR	wzzE//dmsC//safA//hyaE//gudD//ydfH//lsrD//astE//narL//
SlyA	tcyJ//
SoxR	hokE//add//yiiS//
SoxS	fadR//cysA//sodB//fimE//metJ//cysA//exbB//gatC//umpH//ugpB//metR//fepC//yecR//ftsA//nimR//yeaE//napB//mpl//lpd//fadI//phnL//cspE//nuoM//purC//xylF//molR_1//entH//phnD//mgrR//allB//sdhB//yeaG//spy//lldP//yhdX//torA//fecE//recA//patD//gadY//
StpA	cirA//ybhG//fixC//cecR//uxuA//relB//hycI//
SutR	eno//pheM//ddpC//murC//ybbW//
TdcA	ebgA//flgJ//ddpX//rclB//cydA//pgi//adiA//
TdcR	ecnB//gudX//atoA//pepD//phoQ//focA//phoB//
TorR	hycC//lacZ//yeiL//yiaK//bdcA//aceE//norR//micF//wecE//ldtC//caiT//rhaB//
TreR	fliL//glnK//
TrpR	ydcU//adiA//feaR//paaI//ttdB//nfsB//sdhD//glpX//nanE//pstS//crl//alsB//
TyrR	ygeH//araC//sfsB//xapA//yeaD//hycB//aspC//ybhG//tbpA//pstS//mglA//fimE//
UhpA	cysG//
UidR	ydhU//norW//bioB//bioD//
UlaR	fhuF//phoE//fadR//talA//garK//mntP//ybhF//
UvrY	fucK//torC//yccT//rnlA//ydfD//
UxuR	astC//araC//pspE//lon//ygaC//ubiC//codB//eda//tdcD//
XapR	agaD//copA//
XylR	fecR//gltD//entS//tyrB//entA//moeB//casC//
YdeO	yiaK//hypE//cysK//marB//fucA//cadB//hcaC//putP//rseA//glcC//wrbA//pgaB//ppdB//alsB//nrdD//nuoG//rclB//aidB//sbcC//ulaE//uidB//
YedW	aslB//gutM//pspB//gcvP//tehB//ppc//wzc//ymgC//yfaE//dnaG//hypC//putA//
YefM	mtlD//hypB//
YefM-YoeB	ymjD//zraR//
YehT	fepG//
YeiL	glyA//
YiaJ	gatC//argA//ttdB//uidA//gadY//phoH//rdoA//gudP//yedX//paaK//
YjjQ	mazE//yfiB//putP//sufD//ssuB//stpA//intQ//rbsD//znuA//flu//
YpdB	allC//
YqhC	nrfD//nupG//
YqjI	rstA//sucD//
ZntR	nhaA//
ZraR	gadY//nimR//nac//
Zur	hybD//uspE//fliE//ycjX//glpQ//rtcA//
