#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	malE//astA//
FeaR	patA//ydhX//
FhlA	deoA//deoD//bdm//rarA//sodA//mntH//metN//truB//gspC//hyfA//trpR//ynfH//cynT//ymjC//cysN//katG//seqA//serA//nrdD//ariR//glcA//glcD//narX//pdeL//tdcD//pspF//mcbA//gabT//rpoS//relE//
FlhDC	aspA//ftsW//pheT//rutD//narX//bioB//tdcG//yebE//moeB//ulaC//obgE//aldA//cysE//nrdI//uvrY//cynS//fadD//katE//amn//moeA//mazE//aspC//gadX//puuR//cysP//ybhF//tonB//yjbE//glmY//malS//oppB//mglA//flgK//pstC//cbl//fumB//truB//arsC//sufS//hybE//intQ//paaE//truB//hisP//yhdX//prpE//glpX//phnN//sroC//uvrY//purF//yfdX//narK//fepD//fliQ//sufB//yccJ//putA//iscR//hyfR//ccmA//flgC//ascF//ygiB//glnA//trpA//hybO//rpsO//gatA//hypF//sbcD//tyrR//hisQ//osmB//ykgM//hyfH//yjbF//ydeM//znuC//tolC//entC//uidC//
FliZ	pspC//emrK//uspD//ttdB//ydfW//flhE//aspC//ynbB//potG//ybaT//speB//murF//hyaE//artP//ugpQ//ddpD//znuC//feoB//mdtA//phoA//uidR//
FucR	alkB//gntP//nhaA//wzb//tonB//flgH//tyrA//
Fur	glk//rstA//xylA//rhaR//entH//metN//xylG//hisJ//paaK//rpoD//yeaD//creA//zraP//leuO//fumC//cytR//pstS//fldB//yoaG//cysK//metJ//dmsB//ulaC//metB//hyaA//fldB//ybhF//dsdC//pspD//recB//mazF//norV//fucK//zraR//ulaG//glpF//nirC//slyB//adiC//lacY//kdpB//ubiA//feoA//rutC//dicC//galM//ubiX//nuoL//malK//araA//cysU//hlyE//fliO//araJ//ptsH//puuB//chbB//rffH//metY//umuC//ddpC//soxS//sroD//agaA//glcC//glnL//pgaA//hyaA//yrbL//ftsL//casA//pspG//yjhB//purL//gspE//trpD//araJ//napH//ccmD//sgrT//allA//agaW//phoB//dmsA//tyrB//sfsB//tehB//icd//pdeL//marR//mcbA//moeB//ydcT//ssuB//fliS//yhdZ//puuE//rprA//entE//pstA//nadB//cysG//fadJ//hyfC//ynfF//creC//fliK//araJ//dgcN//fucO//hyi//yqjA//mngA//thiQ//pgm//frdB//insK//rpoH//ccmC//entS//tdcC//yciW//hypE//yjiY//bhsA//znuB//yqjI//puuD//mioC//malI//
GadE	gatB//alsC//gadW//paaF//glnG//hycI//norV//yfdE//gpmM//pgaB//yaiW//dicC//gspH//entC//hemL//rybA//fdnH//ulaB//rprA//agaV//wcaA//wzb//fliC//gltK//puuR//sroC//dinQ//cytR//purA//
GadE-RcsB	yafO//araE//arsR//tyrR//cynS//dpiB//ybhL//xylA//fecB//
GadW	phoR//pdeH//bioC//ftnB//mdtD//caiA//ynfG//appB//ccmC//hyfC//uspA//tam//gntP//ynbB//ddpF//
GadX	flgK//htpG//glpB//omrB//ydeI//paaJ//tktB//mtlA//lacZ//oppC//garR//sufS//pck//uof//fecB//glgX//putP//tauD//uidC//fldB//fadD//yhjX//folE//yagK//rnlB//mntP//rffC//galK//araC//
GalR	fliZ//slp//csgG//hyfC//mdtB//yjeV//ydhT//yhiM//yqjA//astC//
GalS	yecR//metN//oppD//potF//hycE//yfiB//srlA//mpl//betI//rseA//
GatR	dnaN//yfdV//paaI//creC//ynfG//mprA//
GcvA	dgcN//iscU//nuoK//nemR//tbpA//
GlcC	arsR//fbaA//napD//accC//fecR//torA//symE//
GlpR	dgcN//rob//hyfJ//cyoD//obgE//srlR//ulaB//poxB//hybA//
GlrR	yhjX//araG//fliK//argT//metQ//
GntR	dpiB//tonB//kdpA//gadX//dcuS//nanE//nrdH//dnaN//mepH//codA//nac//pyrD//
GutM	citC//mepH//ddpC//astB//pnp//lexA//bamE//
GutR	glcE//csiD//treB//fixX//artQ//metN//ydcU//
HU	nuoJ//xylH//idnO//lsrK//artI//yhiD//hisP//yoaC//hycC//
HcaR	mhpB//alkA//fhuA//nuoK//cusA//nuoI//
HdfR	mhpB//dacC//gspJ//ydiU//hflD//
HigA	lsrB//decR//
HigB-HigA	bioD//hyi//
HipAB	sdhC//murD//phnD//yeaR//trpA//
HipB	phnF//yqjA//argI//yfbR//ubiC//mhpA//
HyfR	agaS//yhdY//mntP//pstS//argG//fadB//uidR//intQ//rutG//galE//patD//phnF//
HypT	araH//rdoA//eda//ulaD//nanS//yjeV//artJ//dinF//fixB//flgJ//rseC//bglB//nuoL//
IclR	frdC//purM//insK//sucD//
IdnR	paaD//chbA//glxR//thrS//nuoF//phnE_2//xylA//
IlvY	inaA//hypA//
IscR	marR//oppA//ompW//ecpR//yjiY//metH//modB//yqjA//lsrB//srlA//modA//lrp//ydeO//deoB//gatZ//tdcC//gspK//hypD//waaY//efeU_2//cspE//tehB//metB//nikB//lsrG//citD//prpR//recC//insK//sdhB//sdhC//kbaY//
KdgR	rutD//wrbA//
KdpE	torC//add//yiiS//cueO//
LacI	artQ//guaA//rstB//
LeuO	nrfA//cueO//hdeB//fliK//nadB//ulaB//argA//infB//ndh//metK//ulaA//gltB//gadC//nirB//yqhG//ydfN//rnlA//htpG//kbp//emrA//
LexA	chbC//cynR//ybaS//aidB//ynfF//yhjX//phoB//pspC//thrS//argG//ihfA//fliF//agaI//nuoK//ptsG//gudX//glnL//yjbF//flhA//purC//fepA//emrA//bioB//napD//rpiR//casC//fes//mdtA//rffG//yeaG//lamB//pspE//fucP//entF//yiaL//rdoA//hybE//norV//frdD//pitB//cra//rseA//copA//mngA//mhpC//kbaZ//deoD//gfcA//paaK//codB//rutR//htpG//puuB//uidC//lpxA//idnR//flgD//osmB//cydC//
LldR	dacC//hyaE//leuD//
LrhA	rffT//cytR//pgpC//mlc//
LsrR	yiaM//fhuF//kdpA//fliH//tdcC//hyaE//dpiA//astD//yciW//
LysR	feoC//tauC//
MalI	puuB//tdcA//uxaC//
MalT	insD//gcvT//araF//yciW//argI//gadB//appB//ada//fucK//yebE//
MarA	fabB//malE//pck//mtr//pspB//mdtB//hyfC//gatY//ydfE//rnpB//rbsD//znuA//leuA//yiaK//napA//yjeV//putP//cysK//cas1//mtlR//higB//aldA//ddpX//yedX//ynfF//malY//appC//dtpA//ybjG//pgaD//adiC//astC//gadA//caiE//cspI//recA//oppF//alaC//
MarR	recF//ybhG//glk//
MatA	evgS//icd//sucD//infB//napG//argC//yjbF//yhbT//
MazE	artQ//cspE//intQ//
MazE-MazF	yeaG//ydjM//ydeP//
McbR	aroF//flgH//artI//phoH//
MelR	casE//mhpC//ppiD//
MetJ	yfdV//oppB//gutM//agaC//glmU//rpsO//xylG//ruvA//puuR//hyfI//phnM//hycD//csrC//ibaG//rybA//
MetR	sutR//zinT//glcG//ppc//uvrD//
MhpR	ydbD//murC//gudD//add//fhuB//rprA//
Mlc	fepC//napD//nimR//entF//sodB//fliA//ppdA//yafN//sdhB//malZ//
MlrA	pstS//focB//gadE//chbB//nagE//gcvB//malE//ahpC//fliM//gyrA//
MngR	hcaC//lsrD//gspC//
MntR	srlR//csiD//efeU_1//pgm//cdaR//
ModE	ydiV//artI//murC//bolA//ydfH//gcvP//fumC//ascF//nuoG//cpxA//lldR//yhdX//hyaE//ydfD//tnaA//ydfN//ttdT//murE//infB//allE//metI//gabD//pgpC//agaI//cynR//dinJ//yccJ//purD//agaD//trpA//metJ//yrbL//mazF//chbR//nanK//bglF//ydcV//csgE//narK//gspF//ynbD//glcE//tsx//dsbA//malX//lrp//
MprA	csrC//ptsH//frc//yjbH//ydiV//entF//
MqsA	hslJ//sucD//lsrR//paaF//ebgC//mepH//nuoI//eno//
MraZ	osmB//glk//hokD//oxyR//adiC//ydfH//pspC//symE//xylF//codB//iraP//astD//yebG//sgbE//nrdH//iclR//lyxK//
MtlR	ulaD//csiD//frc//
MurR	trpD//napH//pdeR//
Nac	cusS//casB//sgbH//artJ//ydhV//rybB//gfcA//nhaA//nikB//hipB//csgA//feoA//chbF//cyoB//iscA//sufC//eno//pfkA//hybE//agaD//omrA//
NadR	hha//fliK//cysA//umuC//
NagC	mngA//gutM//dinQ//gntP//gntK//crp//lysO//nanK//gadC//sfsB//csgB//gudD//flgG//entH//argI//phnH//yqhD//mgrB//ybhS//hmp//omrA//argD//trpE//rpsO//ynbB//rpsU//yhhY//rprA//argC//glpQ//nimR//ydiU//gltI//ryhB//flhA//ycjY//fdnG//
NanR	yrbL//iraM//csrB//ssrS//umuD//nuoE//uidA//thrS//recA//nuoN//yiaM//
NarL	yafP//micF//gcvP//focA//acrZ//chiP//ynbC//nac//chbR//fliP//glpC//leuO//nac//nikE//galP//ycgR//argP//oppD//ppsA//gltL//yiaL//wrbA//citE//nanS//ydiU//asnB//bdm//flgI//evgS//yeaG//yebG//hmp//nemA//argD//ydjM//aroL//allC//patD//rhaB//rybA//oppB//hyfB//hcr//ariR//yeaD//rffT//rffH//fabD//casD//phoP//paaK//flgJ//mzrA//mscM//dsdA//phnO//modA//lysP//entE//nikD//manX//dinJ//fdnI//slt//lldP//omrB//moeB//ygaC//artQ//citF//umpH//ubiC//yiaJ//yciF//nikA//feoC//murP//nanC//cysI//zraR//wzyE//pqiB//rpoS//dnaN//ftnB//hha//mazF//yeiL//citC//phoP//hmp//aroL//purC//tdcC//ydiU//galP//gspO//mgrB//ycjY//ccmD//iscS//slp//torA//lrp//ybjN//lsrD//frc//dinG//manY//nuoA//glmS//fumB//yciE//araG//tyrB//ecpA//dhaL//uvrD//yfdE//galK//paaC//nuoK//agaV//
NarP	yfdX//fucP//yneM//gspD//ydjM//fliL//ecnB//gspG//hycB//ftsK//rpiR//ydhY//fecI//ynbD//galP//tam//hdeD//rffH//aceB//aceB//grcA//flgD//flgN//rtcA//ydeM//pstA//murD//argA//purB//ppdA//fliT//tyrB//dctA//rarA//allS//rcnB//deoB//yhdZ//gltB//argR//purC//bglG//yoeB//napC//tdcB//mtlR//caiE//yhbT//hcaF//dctA//
NemR	leuO//gspF//allA//
NhaR	rutA//ynfE//recA//fadH//nohA//nuoE//slyB//
NikR	ycgR//gadF//ynfK//yccJ//rffC//uxuR//
NimR	ygiA//grxD//
NorR	rffT//murI//moaC//
NrdR	leuB//ahpC//oppF//yagK//tauC//flgN//ydeI//paaH//fepC//
NsrR	ybaS//glnQ//ahpF//astC//rprA//gutQ//appA//tam//ptsH//betB//dinG//mhpT//glcD//pspG//ydbK//mlrA//btuB//fucA//rbsD//rstB//hycH//ymiA//rbsR//hcp//ttdB//ygiC//nagA//prpE//lacZ//guaB//alsC//nrfE//psiE//frdA//borD//nikD//alsB//phoP//hyfI//mdh//wecE//wecC//bioC//cspE//paaZ//trpD//fes//fhuF//hipB//ynbD//bglJ//flgH//yqhD//agaV//paaI//gcvP//srlB//gltI//bolA//nohA//ydfD//psd//gcvT//lon//cysG//gabP//acrZ//nupC//flgC//ttdA//ppiA//zinT//aroL//atoA//allE//lolA//mcbA//ynbB//pitB//lamB//hflD//creB//aspC//
NtrC	cysC//metL//paaB//sbcC//srlD//degP//galT//phnM//ygiC//mngA//wzc//hisM//ygbK//oxyS//hybF//pgaD//zinT//yoeB//astE//dinD//ybhG//dcuR//fabB//ppiA//pepD//efeU_2//uspD//cysP//ydeN//cydC//yqhG//btuB//lpd//rimP//caiB//cynT//cysM//malM//hycG//chbG//rpiB//pitB//fumC//fecC//caiT//grxA//modB//ydhX//leuB//
OmpR	fruK//csgE//rbsR//phoU//fliD//cydB//cyoA//hdeD//fabZ//dhaR//astC//fliS//psiF//ilvY//wrbA//hypA//nuoG//purA//iscA//galE//nanT//
OxyR	pspB//rutA//paaF//oxyS//aspA//artQ//wrbA//oppD//sufC//gntU//fixA//dcuA//zraR//phnO//ubiC//gadY//flhE//artI//nemA//recD//malM//nlpA//glpF//evgS//cydD//yecR//ppdC//tyrP//phoH//nrfB//umuC//flhB//artJ//malK//
PaaX	csgF//efeU_2//cas2//flhD//fdhF//gcvT//metA//nuoB//dsbG//asnB//pspD//phnD//rutD//nuoJ//
PdeL	mcbA//
PdhR	yagK//casC//envC//katE//fliA//ibaG//tolC//rprA//ruvB//polB//nikD//yegH//rnpB//csgC//ddlB//ydhY//wecB//gspI//dcuA//napG//araD//ydfD//uvrA//nirB//yfdV//polB//sra//moeA//phnF//fadE//nemR//oxyR//hcr//dsbC//fadM//pyrC//ascF//ykiA//nuoH//yegZ//astE//
PepA	nimT//puuB//ytfE//
PgrR	tktB//entH//casB//sgbH//sdhC//nagA//fepG//rhaA//
PhoB	paaA//nanS//ydfW//oppB//gspI//hyi//ydcV//wzxE//ccmH//allS//nuoF//fucO//dmsB//phnP//kdpC//ilvY//hypE//putA//xylF//entE//galS//amn//malY//alkA//ebgA//emrB//hcaC//hokE//aroL//lacY//deoC//tomB//ecnB//dctR//ygiZ//acrA//eno//acnB//ddlB//cysW//nuoK//insK//fliL//purK//nanC//oppF//uvrD//nanK//feoC//citG//phnM//hypC//intQ//phnO//amtB//ccmD//tonB//ycjG//gatA//tfaQ//
PhoP	mdtF//hcaE//entH//efeU_2//hybC//agaD//malI//fadH//hcaF//rffM//moaD//tdcA//nuoA//recF//thrS//frdD//ygbK//dmsA//lon//nirC//bacA//rimK//purH//ppiD//evgS//asnC//uidR//idnD//nagC//yoeB//kdpB//leuA//flgM//nfo//nikA//fhlA//truB//uxaB//mioC//ompN//wzxE//exuT//garD//chbC//ldtB//speB//fbaA//pgi//glxR//ynfF//ygeH//ulaG//pstC//nuoH//setA//ftsI//
PrpR	rcnB//sufB//xylG//fpr//fhuD//
PspF	acrB//ybjC//glnL//psd//argG//skp//melA//
PurR	sfsB//modC//motA//pspE//motB//rbsR//acrB//potH//iscS//yjhC//hmp//ychF//sutR//dhaL//accC//fecR//nohA//phnE_2//fabH//sroD//fliZ//yecR//zntA//hypD//ascF//fadJ//ygdB//yqhD//adiA//caiE//ldtD//
PutA	fixA//gntT//
PuuR	dpiB//malS//cyoC//narX//ydhY//pgaD//galT//
QseB	hybO//gltD//ssuB//yiaN//
RbsR	ydbK//phnJ//purF//dinF//mqsA//ada//araE//lrp//mhpB//
RcdA	cysW//mhpC//fes//rffH//nuoI//tbpA//fliJ//yefM//rbsK//
RclR	yiiS//fixC//astB//
RcnR	rnlA//fhuC//nagA//
RcsAB	marB//chbA//fabD//fliI//ung//citE//gltB//acrB//exuT//fucU//kbp//ykgM//ybhL//appA//xylG//ymjC//
RcsB	mhpT//chbG//relE//purK//pfkA//hcaB//gcvH//yafO//pgm//fecB//hisM//talA//creB//nuoK//gudP//gltF//appB//nuoE//glpF//ydhX//lgoR//glpB//mngR//gabT//allC//
RcsB-BglJ	caiA//lolA//lacA//napH//nrdE//uxaB//soxS//narI//ydhX//manY//hybE//exuT//pheT//nrfG//glpQ//malI//
RelB	ompT//purM//sroA//
RelB-RelE	ybaS//hybA//efeU_2//
RhaR	appC//mraY//
RhaS	dsdC//ompC//yoeB//agaI//mdtA//ppiD//
Rob	deoA//dmsB//bioF//purD//nanT//glpQ//ahpF//ddlB//ugpA//trpB//cysC//rbsB//bioD//ydhY//nuoE//ydcT//ycdZ//cyoB//cusS//tisB//idnK//cirA//dhaM//hcp//fur//garK//
RstA	sbcD//tdcF//cusF//fnr//ybfE//fadH//pheT//aceB//lsrK//lexA//
RtcR	ydfH//glyA//
RutR	napG//mglB//wecE//hyfB//nanA//hyfI//adiA//dsdC//torA//hybC//intQ//ldtB//nusA//cusR//fdnH//gltK//zwf//
SdiA	fecD//ybaS//thiQ//yoaC//hycG//
SgrR	rtcB//dcuA//gltI//ldtB//fiu//murF//cecR//hokE//qseB//
SlyA	betT//
SoxR	hcaB//fucP//feaB//
SoxS	mhpA//yhbE//osmC//gltD//mdtB//rstA//dpiB//tyrR//hisQ//glnK//citD//crl//fiu//tyrB//iscS//ppsA//katG//uof//nanT//mgtL//trpD//mgtL//melR//nagC//bioA//pitB//kdpA//murI//ygeH//yhjC//wzzE//hcaC//rhaR//aldA//bacA//gntP//metB//fecD//asnA//malQ//
StpA	glpK//ugpE//cyoD//yeaG//yhcH//ydeP//moaD//
SutR	yhhY//potH//mgtA//appY//hcaR//
TdcA	fadR//hypB//dhaR//flhD//thrS//puuD//sufD//
TdcR	yfiR//dkgA//artQ//nrfF//fes//hyfI//fliA//
TorR	rnlA//cysU//gcvA//bolA//mraY//relE//rbsD//cynR//dmsD//metQ//tam//nusA//
TreR	tehB//garK//
TrpR	lacZ//ftsK//hyfH//ydhX//mntP//recB//cusC//fimB//paaG//hycA//pepD//nuoC//
TyrR	nikB//phnE_1//ydbD//torR//glnA//tsr//malI//glnB//artM//ulaF//mhpB//hycA//
UhpA	mhpE//
UidR	nagA//astE//iraM//hybF//
UlaR	lldD//ybaT//oppB//csgF//tdcB//ampC//mhpD//
UvrY	artM//nfuA//yiaN//tbpA//araE//
UxuR	napH//mraZ//pncB//sutR//rybB//yccA//nanC//gspE//tdcE//
XapR	dgcC//amn//
XylR	mgtA//borD//ygiZ//ddpF//dnaG//argE//gspI//
YdeO	modA//codA//fadB//ccmC//ompF//fhuD//yhbE//galR//psiE//murD//galR//wcaA//yafP//pnuC//puuC//phnM//seqA//nfsB//ybhG//feoB//ogt//
YedW	gspO//ynbC//rbfA//tauD//dhaK//mhpT//glxR//hypE//tauA//cydB//agaW//gspO//
YefM	ynbC//ydcS//
YefM-YoeB	gspK//thrS//
YehT	exuR//
YeiL	ydhT//
YiaJ	fhuA//rffC//purD//aceF//mpaA//puuD//flhA//paaI//dinQ//lpd//
YjjQ	gudX//fliE//ydcS//glxK//copA//flgA//oppD//melB//baeS//nikA//
YpdB	yaiA//
YqhC	fdnG//galM//
YqjI	yciG//rprA//
ZntR	aslB//
ZraR	hcp//cdaR//sutR//
Zur	fucU//nuoC//creB//glnA//ulaD//arsR//
