#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tyrB//ahpF//
ChbR	uspD//melR//yiaJ//csgA//ydcU//lsrG//
ComR	lysO//
CpxR	eno//hyfJ//dgcZ//umuD//garD//leuD//csgD//prpD//agaI//yafN//murQ//fruA//purM//fixA//gspG//dnaA//fldB//fucO//nrdH//hisM//nikC//gspM//allD//hyfI//ynjI//ribA//leuL//tyrB//ynbC//cadB//focA//oxyS//uidR//chbF//ldtC//folA//yhbS//treR//yjhC//rnlB//bdcA//ydeP//ygiC//mdtE//sbcC//ssuB//pdeH//tauA//sdhD//artI//hypB//gabD//fliC//emrY//pykF//argA//ybfE//moaD//mipA//ftsK//alaS//pagP//cysJ//hyi//dcuR//xylH//dcuD//sgrT//sufS//baeS//
Cra	pgpC//glcE//frc//folA//nuoL//argO//mtlA//yrbL//hyfF//lacY//nmpC//feaR//ynfK//hycB//mhpE//hycH//hmp//dcuA//potG//cra//mlrA//paaJ//crp//acrA//ftsL//flgK//sdhA//deoD//cyoD//wzyE//hybO//gltK//acrB//phoA//mprA//dmsC//ppdC//mprA//hyaE//envC//sgrR//uhpT//fliK//uidC//cynR//fbaB//rpsU//pheS//betI//guaA//ulaC//dcuD//ycjX//cadC//aroL//fliM//pgk//lon//acrD//dmsD//mhpB//pgaC//hycG//ccmF//ynfG//fadR//hycA//fau//grcA//pdeH//modA//glcC//gspK//flhD//yaiW//cysK//cas2//dinD//yeaD//
CreB	xylH//gadC//malZ//efeU_1//gnd//
CsgD	ybfE//infB//rhaA//entF//aceE//adhE//dmsA//yhiM//obgE//wrbA//gspG//betA//napC//purD//talA//trpC//tdcG//ftsI//aspC//uof//aroP//focB//araE//mdtE//flhC//fimB//mngB//ynbA//
CsiR	oxyR//ptsH//seqA//hcaB//truB//
CspA	araH//rclA//
CueR	asnB//serA//rhaB//fliF//ulaG//ydcT//yccT//
CusR	rdoA//metC//aspC//fumB//iscR//ybjN//add//ampC//ptsH//iscR//dgcC//entA//
CynR	codA//fes//fhuB//gspH//
CysB	kdpC//dmsA//waaZ//yhiD//rseB//rybB//nagE//cydD//rnlA//hyfJ//bglF//nagA//alsA//feaR//xylR//fixC//sra//exuR//pdeH//yqjI//ynfF//tpiA//agaR//gudP//creA//frc//ybhF//phnH//moaA//mepH//aidB//argP//
CytR	ygiA//ytfE//citD//cysC//tyrB//alsA//ascF//ccmE//xylA//phnI//bhsA//yafP//deoA//
Dan	paaJ//ldtD//qseC//rcnR//
DcuR	ahpF//hyfC//wzxE//glnB//fucU//hybB//dcuB//rcsA//fixB//
DeoR	agaR//fabZ//luxS//gadX//copA//dtpA//
DhaR	hycE//fixX//atoB//ppc//
DicA	ulaD//ybjN//marR//ybhG//fliK//mhpE//potI//gudP//
DinJ-YafQ	rstA//csrB//cusC//
DnaA	glnP//sutR//hcaF//glpF//argR//murD//paaJ//yhiM//yhiD//fepG//rtcB//dctA//
DpiA	ccmD//iscU//tolC//relE//pspG//lsrF//mqsR//mhpE//yegH//hns//tnaC//
DsdC	leuA//recB//ymiA//
EbgR	acrD//pgm//
EnvR	araF//yhbT//
EnvY	recC//cpxQ//
EvgA	pspE//fadH//copA//modB//ynfK//rseB//mraZ//pyrD//gadA//paaH//rpoE//rdoA//aspA//luxS//sgbH//paaZ//uxuB//malT//dinF//
ExuR	yqhD//entS//yciW//aceF//bioF//lexA//umpH//pgpC//gcvA//
FabR	ddpB//flgG//
FadR	ftsK//argO//cydB//acnA//speB//hyfI//metE//moaE//murI//hisQ//fliP//rcsA//mlrA//yjhB//flhB//yrbL//ycjX//yciW//purN//paaA//cysP//nanA//ddpF//
FeaR	asnB//yjjQ//
FhlA	yhbS//crp//gspI//rcnB//yiaM//mlrA//phnK//narI//dsdC//mazG//ubiA//fadR//talA//fliR//ygbA//gadE//sdhC//recX//gdhA//mlc//cheW//purA//gabT//hybC//xylH//mgrR//torA//agaI//glk//slp//
FlhDC	glgP//dtpA//acnA//phnO//mipA//yciG//flhD//hycH//uidA//cas1//ydcV//pyrC//aroF//sgbE//malE//wzxE//deoB//psiF//cho//lysA//dinJ//sucA//acrA//moeB//casD//oppB//nagC//evgA//yjeV//gltF//puuC//cheW//insK//gor//oppF//tauA//cyoE//hcaF//caiF//gltK//rffC//ymgC//yjbE//ulaD//kdpF//yjbG//kdpC//potF//safA//ynfH//cyoA//sra//pitB//xylG//glnG//entF//ascF//fpr//agaD//sdhA//glpX//torA//ilvY//ydeP//paaG//mdtC//lpxD//hisQ//lrhA//talA//nusA//mngA//cysB//nuoI//fdnG//bglF//rarA//ykgM//caiE//cysP//phoE//fbaA//
FliZ	glcE//ftnB//purE//adiA//purB//mraY//ygdB//yqjH//pgaD//leuC//tnaC//aceF//trpB//glpQ//lgoR//phnG//bioB//hyfC//focB//glpX//ldtB//
FucR	pgaB//gntT//srlB//gspK//htpG//atoE//relA//
Fur	mgrB//metI//ompF//marR//xylR//ccmC//citD//cheA//edd//aceF//leuC//borD//fumC//ilvY//modB//fruK//napB//iscU//fecE//malZ//nuoC//oppD//fpr//evgS//gltB//purA//accA//aroH//malZ//phnN//betI//citX//rtcA//malP//galT//puuD//talA//argA//gspI//hypD//yjjQ//nuoA//hdeD//ydcV//rpiB//crl//slt//ygiB//ybfN//yeaG//asnC//agaR//ulaF//pheS//fiu//bioD//yhdY//yciF//yqhG//tyrR//murC//nanS//ynfH//nanS//torA//hcaD//gcvB//modC//dmsD//znuC//dctA//dctA//ttdT//rtcA//yibQ//fecB//xylA//agaD//fecB//atoE//dsrA//mhpT//ydcV//fadD//osmB//bluF//yqhG//ybjN//csiD//nikD//moaC//dinD//yqjI//puuE//kdpA//pdhR//mzrA//torA//ccmC//hisP//purC//rhaA//galT//arsB//ybjG//omrB//dnaA//yqjH//ydbD//ydfD//glcB//fabG//marB//glnA//yhiD//nuoB//casD//lysO//fepD//bioA//sbmA//bioD//hybB//gabD//lacA//hdeD//relE//skp//glgA//hybG//
GadE	phnE_1//envC//cdd//rob//yqjI//rpoD//gadY//gatZ//marA//rbfA//nirC//aroL//yneM//thrS//ybjN//ddpC//paaH//fimB//tonB//araE//gltK//ddpC//fliH//carA//nfuA//fdhF//symE//iscS//yciG//
GadE-RcsB	cpxR//narH//adiC//fabI//fliC//oxc//araC//idnK//rbfA//
GadW	btuB//ygiB//accC//safA//tdcG//trpR//wzzE//napB//ddlB//phnE_2//rfe//dicB//prpR//metA//xapA//
GadX	hycF//nanA//gloA//citG//ycdZ//lhgO//zraP//srlB//nac//artM//ubiA//pspC//serA//mscM//sufC//fliS//casD//fliC//nrdH//dinD//wza//ubiX//uvrY//nrdE//pnp//dsdA//purA//crp//uspE//
GalR	hybG//ymgA//idnR//sufB//nimT//yecT//fhuE//malE//dgcC//nuoF//
GalS	ybaT//decR//rbsR//hha//hslJ//glmY//bioB//amtB//cspI//hybB//
GatR	mdtF//rimK//gltK//umpH//icd//norR//
GcvA	grxD//nuoG//pgaB//rhaS//fadD//
GlcC	sbcC//fimE//lacA//sdhD//carB//lacA//sufS//
GlpR	znuB//fruB//yneM//aroF//pck//relA//malI//pheS//emrY//
GlrR	potG//add//sulA//glcD//fbaA//
GntR	dsbG//stpA//murQ//putA//dinI//polA//artM//lyxK//argH//trpB//intQ//nanM//
GutM	phnD//nirB//moaD//ydhV//uidB//nfo//astC//
GutR	agaD//dinG//galS//artP//ecpA//nrfD//citF//
HU	mraZ//tsr//nirD//paaI//casC//ydfW//uidA//lacZ//nrfB//
HcaR	pagP//zraR//yaiA//yhiM//idnO//gpmM//
HdfR	cysD//pgm//tolC//ndh//ftsZ//
HigA	ariR//phnL//
HigB-HigA	fhuE//rpmI//
HipAB	emrY//mhpC//citF//mhpD//lsrF//
HipB	astD//fliD//aceA//nemA//modB//hdeB//
HyfR	nanS//nemR//nfsB//fhuC//fabG//fliC//ynbA//mntS//phoA//rpsU//rpoH//hyfD//
HypT	lacY//flhA//tsgA//ugpB//crl//entF//sucB//recF//degP//ldtD//glpK//glcF//fliJ//
IclR	poxB//dacC//torR//ygiB//
IdnR	yjjZ//casA//agaI//melA//gntP//leuC//mntS//
IlvY	aroG//argF//
IscR	exbD//polA//srlR//ynfF//srlA//napA//glcG//iscA//rpiB//ymjD//nanE//mdtA//bglB//hyfR//atoD//cynS//araB//flgL//grxA//garD//rob//rnlA//prpC//fabH//leuD//yhbS//hyfI//fucU//trpL//acrZ//malX//gltF//
KdgR	soxR//emrA//
KdpE	murF//oppD//nuoK//ybjC//
LacI	pstA//atoB//hcp//
LeuO	rclC//sulA//pgk//paaE//fruB//fbaB//pheS//yeaD//yhdX//allB//waaY//yebG//rseC//sbcD//ulaC//puuP//ynfG//osmB//omrA//fhuA//
LexA	nohA//leuD//ulaE//carB//frc//rutB//aslB//alsE//gapA//aceA//uxaA//tdcD//nrfC//slp//paaB//cysE//paaH//narX//frdB//mraZ//sdhC//nuoF//gntP//metY//norW//uidA//mtr//flhB//higB//lpxC//hyi//ycjG//ybfE//hcaC//bluF//fabB//ybjN//glnK//wzzE//emrA//malT//wcaA//moaB//astE//yagK//ptsI//sgrS//fepE//lsrR//trpL//yjhC//rpmI//chbG//yiaN//motA//cspE//hmp//hybB//deoA//
LldR	citX//feaB//sdhD//
LrhA	ppsA//fepE//sodB//uidR//
LsrR	argB//yhjX//deoD//lgoR//hypC//yqjA//astC//rcnB//fhlA//
LysR	pgm//accD//
MalI	glmS//nrdI//uvrC//
MalT	soxS//casB//citG//lsrB//malI//murI//tolC//sulA//csgA//argR//
MarA	yjbH//idnR//ftsI//hyfC//dkgA//alsB//purH//gatA//higB//dinB//fadD//glpA//dps//gloA//hyfC//dhaM//dgkA//bluF//nadB//ssb//sufA//ugpE//yeiB//sufC//flgJ//narL//galE//yecR//cyoA//ariR//flgD//allB//bioB//ariR//entC//purE//fliK//fucP//
MarR	dinQ//cynR//ftsW//
MatA	cas2//fecD//casA//rpsU//soxS//purB//fhuE//tpiA//
MazE	purC//galM//yiiS//
MazE-MazF	pqiA//nuoL//sfsB//
McbR	lpd//astB//grcA//dcuD//
MelR	fucK//hemH//ykgO//
MetJ	lysC//ulaB//phnD//fixA//fixX//lsrC//dgkA//ybdZ//crl//rutA//pnp//mnmG//hcaE//nadA//bacA//
MetR	modB//paaB//dicB//dinI//ldtD//
MhpR	cadA//lolA//dcuA//tsgA//yhdZ//iraP//
Mlc	fucK//rtcB//fabG//hycA//oxyR//ydbD//btuB//fadA//aldA//iraP//
MlrA	dcuS//hyfR//tauB//cysM//hycH//recA//hyfD//mnmG//rpoS//gntX//
MngR	fruK//rbsK//omrA//
MntR	ydhX//mepH//hisJ//tnaC//wrbA//
ModE	phnK//kdpF//hisJ//ydbK//tisB//trpE//oxyR//paaB//mhpA//entB//ycgR//fepD//pstA//mipA//ascB//ftsL//moeA//wcaB//astB//cydB//patD//napA//crr//ydiV//csgC//ybjG//dcuB//norR//tnaA//nuoJ//trpE//murR//hcaD//evgS//nuoJ//intQ//marA//sdhC//cecR//eda//galT//galM//yaiW//fur//mdtD//bdcA//
MprA	entE//rseB//marR//intQ//dinB//idnK//
MqsA	fadA//nrdB//prpR//puuB//glnH//csgA//ymiA//gadB//
MraZ	yhdY//rhaR//dcuA//crp//ydfN//napH//pdeR//rhaA//rhaA//katE//sgrR//carA//yhbT//tauB//arsR//ydfX//artQ//
MtlR	mprA//symE//gspD//
MurR	pdeL//leuO//tomB//
Nac	nrdA//prs//gudP//pncB//ygbA//dinG//dkgA//asnB//ftsZ//eda//ccmG//araJ//aroF//rcsA//murR//tomB//nirD//recA//napF//patA//kbaZ//
NadR	dsrA//sfsB//glxR//cpxA//
NagC	narH//caiF//tktB//dinF//alsB//dsbC//ddpB//purC//hcp//uof//slp//xylH//qseB//yhbE//malT//sulA//modC//trpE//hcaR//ydfN//rffM//hcaE//ymiA//dinB//nrfC//pqiB//rybB//phnN//erpA//appC//setA//mglC//citX//agaW//rseC//ftsZ//ydhV//
NanR	xapB//ybiT//puuB//cirA//dmsB//asnB//recN//metY//rffC//gcvB//alaS//
NarL	yjhC//purA//agaR//fadA//gntU//truB//ulaD//thiQ//yqjH//gor//murF//murR//cysJ//ldtD//ydiU//uxaB//hybA//casE//rplT//csrC//yjhB//paaF//phoE//agaI//fabG//cecR//nikB//hflD//sgbE//baeR//ariR//xylB//argB//galR//intQ//tdcF//hcaE//adiC//yhbE//bacA//accD//ycgZ//fliG//lysC//araB//paaH//ybdN//yafO//feaR//gadA//cynT//feaB//exbB//yhcH//sodB//nrfB//yiaO//copA//ebgA//chbB//srlB//nirB//ydjM//wzzE//hlyE//sufE//ptrA//ugpA//hybE//nfo//osmY//fumB//iscS//ccmD//potG//astA//sucC//zraS//hycI//lysC//cpxR//pqiB//hycD//murC//ymjD//yebG//iscR//gltJ//yeaR//pspD//fiu//wzc//ruvB//araB//mdtA//metR//hycD//tyrR//qseC//galT//dctR//bglB//murC//tomB//cyaR//tdcC//mdh//gudP//wrbA//hycH//wcaA//artP//aroF//yhbT//gadC//ynbD//ppdC//gadW//ybdN//frc//ydeI//srlE//glnG//
NarP	yegH//bhsA//fdnI//wcaB//rutE//borD//ftsK//yiaL//mdtD//hybG//pgaC//crp//murD//fabG//cbl//ppc//oppD//gloA//codA//mipA//nagA//hcaB//ppc//rob//flu//tsx//yhbE//artQ//accB//cvpA//leuD//recX//fucO//dinI//fecC//ybjG//manY//ahpF//dgkA//ldtC//rcsA//nrfC//melR//gabT//trpB//lpxA//tehB//appX//hycA//yhbE//
NemR	fadB//fecI//psd//
NhaR	feoB//rhaA//fixX//glxK//cho//rprA//pfkA//
NikR	fliK//aroM//frdC//phoA//galE//tomB//
NimR	hybC//glcB//
NorR	cheW//prs//mltF//
NrdR	hcaF//psiF//torR//nemA//hdeA//ygiZ//nupG//phr//asnB//
NsrR	mhpF//mgrR//appY//osmY//bacA//gspK//paaX//rutB//aidB//pheM//malQ//exbB//ydhX//leuD//slyB//araJ//mscM//rimK//gltL//waaZ//mraY//gspK//dgcC//appB//tnaC//recC//recC//hyfD//hybG//fdnH//nimT//isrC//bioC//ygdB//dnaA//dnaG//gspG//paaH//ecnB//mepH//ftsW//bolA//recX//lysO//flgN//creC//fixA//sfsB//yciX//hipA//ccmH//glnD//fumB//uvrA//fucI//sulA//sbmC//dinI//narG//waaY//fliA//nuoM//qseB//metN//ygiA//accA//iraP//gadF//cydC//arsR//leuO//dsdC//nagB//fabA//cadA//marB//ybdN//gabD//allE//lexA//recA//dcuD//nac//
NtrC	accB//hycB//nirD//hyfR//artJ//bioA//fucI//hycB//feoB//hybD//gspK//hybF//cusR//ymgA//fliZ//ydfH//inaA//ugpE//uvrB//fecE//gspC//yhiM//moaE//csgB//yoeB//argF//allE//fucO//entS//leuC//pheS//deoD//dkgB//ddpF//mraZ//mntH//betI//nrfB//ydfE//hyaF//nusA//glmU//rutR//pstS//fucU//glgA//glpT//nuoF//gltF//
OmpR	yciG//fhuD//yncE//putP//ibaG//gatZ//nikR//mhpE//entS//mscM//prpC//lsrD//edd//idnR//metF//lacZ//flgH//entC//galP//ompC//ssuE//
OxyR	dgcN//bioB//inaA//leuB//tdcE//mhpT//yqaE//alkA//yiaL//uxaB//csrB//poxB//pfkA//argH//ugpB//argB//uspD//betI//ydhT//bioA//xylR//waaH//cydC//hyfC//zntA//fliC//srlD//appB//ydhW//ubiA//lpxD//glxK//hemL//recB//
PaaX	ycdZ//napC//btuB//ydbK//entB//aldA//nagB//rnlB//dicB//ygbK//uvrY//tehA//flgL//glnL//
PdeL	ydhY//
PdhR	amn//glgB//frc//agaB//ycdZ//nikB//nrfE//sodA//gspK//ppdA//nikR//ydcT//gatC//gltF//acnB//xylG//gcl//ycjF//relA//cysI//rpoS//gltD//metN//amn//evgS//glpT//ybdN//hcaD//rclA//umuC//tisB//mntH//aroH//hyaF//trpD//metR//cadA//murQ//rybA//asnC//lhgO//
PepA	ydfD//uidR//poxB//
PgrR	kdpF//tyrR//idnR//ssuB//betB//ubiC//cysK//purC//
PhoB	mlc//ruvB//mdtE//alsE//glcB//yoaC//yciE//hyfA//rhaS//glpX//ynjI//lysR//nikA//ddpB//narX//napG//casA//cynX//yhbE//tsgA//yqhD//higB//mdtD//csgE//yhbS//pyrD//hipA//mprA//cynS//ascF//fecD//hycE//ydfE//fepC//xylB//yeiL//ssuB//ribA//hycB//hisP//yaiW//fecB//yjbE//ydfD//flgA//marR//yiiS//tyrB//gcl//nfsB//carA//entF//aceK//flgC//relE//pfkA//rclC//creA//lysC//argB//
PhoP	metN//mprA//araA//fhuE//rutC//ptsH//nirD//truB//puuP//fliJ//ygbK//dmsB//poxB//agaA//garP//yhiM//lexA//rimK//flgD//feoC//yeaH//mprA//flhD//btuB//mpl//manX//hmp//bioB//dhaK//frc//exuT//ynjI//grcA//ilvC//aceE//yqjI//fpr//tfaQ//bglJ//fliE//fadH//araG//yefM//chbB//idnR//yagK//ybdZ//citC//narI//lsrB//dhaR//ybdN//dps//hybG//casE//ydfD//
PrpR	hypE//fliF//yqjA//accD//lacA//
PspF	galR//acnB//tyrA//lysR//nuoB//cyoC//aroF//
PurR	wcaB//phoA//phnD//aceF//ynbC//nikA//cysW//yneM//cysJ//fliH//ygiZ//hycA//paaH//ptrA//casA//uxaA//fabB//napA//pgaB//ydfD//nanM//narJ//phnF//cpxR//pgi//ydfN//rob//efeU_2//rybA//cydD//fadD//
PutA	treC//ybhL//
PuuR	rbsR//nrdD//malG//kbaZ//ftnB//focA//yjjZ//
QseB	lexA//argC//dmsC//ibaG//
RbsR	purM//fadA//znuC//ydhW//sucC//creA//rybA//agaW//cra//
RcdA	psiF//cadB//bglG//yegZ//araD//metR//betT//hydN//treC//
RclR	ada//rseC//rarA//
RcnR	yfaE//rhaB//citC//
RcsAB	hyfC//chbB//dinJ//glgX//paaJ//tam//ldtB//garK//hycD//fecC//mltF//sroA//cvpA//cysH//aceF//aslB//
RcsB	mqsA//ftnB//entF//bglG//yhdY//nrdB//glcD//ydhT//citF//rffG//dkgA//pstB//aceB//cyoA//agaV//glgB//fruK//eda//astD//alsC//phnF//yjbF//tsgA//tdcE//chbB//
RcsB-BglJ	fecR//ppdB//rffT//lrhA//ompC//ybjN//nupG//pqiA//caiF//torD//gspK//nuoB//dps//ssrS//codB//cueO//
RelB	wzc//yegZ//idnR//
RelB-RelE	recA//pepD//qseC//
RhaR	lacA//gspH//
RhaS	hyfF//mdtC//evgS//sdhD//deoD//flgG//
Rob	pyrC//hybA//aslB//ecnB//cysH//yiiS//ppsA//recB//ulaB//yeaG//acrD//carB//rpoE//nfuA//fadH//argH//gor//mntS//hybF//kdpA//ppiA//hypE//glpC//allS//nirB//ttdA//
RstA	modA//mglA//rseA//pitB//sucB//mpl//dnaA//uhpT//tktB//idnT//
RtcR	ybfE//lamB//
RutR	flgE//dmsB//pdhR//fecA//manX//malG//nrfE//nrdI//creD//nuoF//recD//folA//cytR//recC//metR//rtcB//cusR//
SdiA	cecR//prpC//malY//dsbA//lacA//
SgrR	mgtL//phnE_1//lsrC//flgL//fliI//chbA//modC//garP//leuL//
SlyA	tyrP//
SoxR	folE//hypA//rbfA//
SoxS	nuoC//purC//hybF//uvrD//cysP//lldR//metB//napA//znuB//betB//ccmF//yqhD//ydcU//idnD//gatA//gntK//ascB//amn//ygbA//puuR//rpoE//mscM//dinB//betI//pflB//hybG//yciE//dmsB//nrdH//dsbG//mhpF//ydhW//hybA//phoP//purK//hycG//acrR//lon//efeU_2//ompN//
StpA	gspF//putA//csrC//paaK//glxK//tyrR//slt//
SutR	dcuA//nanE//yfdE//mdtB//slt//
TdcA	nrfF//purB//flgC//uvrB//fecR//asnB//wzb//
TdcR	ydfE//fecE//gor//pqiA//bacA//dmsC//rsmH//
TorR	purH//mazF//fliS//garD//rcnA//dicB//ynfH//csgE//tisB//hemL//citC//astC//
TreR	lsrF//yqjA//
TrpR	flgH//rpiB//hcaD//fliQ//artP//gcvA//nirD//zntA//frdB//malP//adiC//artI//
TyrR	yjjZ//ybhL//yoaC//purL//nanE//relA//alsE//alaS//fliD//paaK//acrZ//yfiR//
UhpA	ftnB//
UidR	tdcG//yneM//entA//deoA//
UlaR	polA//ruvB//araG//ibaG//gadC//fnr//relE//
UvrY	rstA//appX//gntK//motA//fumB//
UxuR	hcr//pgm//oppC//decR//yccT//ppdA//gspF//bioB//nanS//
XapR	rcnA//glgP//
XylR	fruB//htpG//sufC//patD//ytfE//osmY//flu//
YdeO	fucI//ompT//uspA//gatA//hybD//hcaE//rutA//fucP//mhpT//ssrS//rutB//murI//hyfC//ttdT//ecpR//pqiA//napA//cheW//pspB//lsrB//dnaA//
YedW	rhaB//prpD//marB//glnP//murQ//mzrA//umuC//molR_1//recF//purH//appX//hycG//
YefM	rcsA//gabP//
YefM-YoeB	cysB//mngR//
YehT	torC//
YeiL	ynbA//
YiaJ	yebG//crl//yfiR//fecC//sufS//recD//ubiC//rffM//araG//ldtB//
YjjQ	yjjZ//bhsA//dkgB//sufD//metC//dsbA//glxK//ynbB//hycC//napC//
YpdB	artQ//
YqhC	glnQ//idnO//
YqjI	pgm//mtlA//
ZntR	gntX//
ZraR	qseC//slp//glgP//
Zur	pqiB//pyrD//fimE//rcsA//rnlB//gltK//
