#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	glpT//fau//
CpxR	nikD//fliG//phoB//caiE//tpiA//pgaD//lpd//hyaB//yeaD//cysJ//flgG//creA//cydB//astE//cysI//micF//gatY//ariR//pepD//talA//iraM//nrfC//asr//tynA//hyfA//casD//ftsA//flgH//allA//ddpB//tnaB//leuC//hns//pck//rbsA//melR//fliA//narI//paaG//ykgM//fliN//flhD//betB//nhaR//mlc//paaF//ymgC//rclC//katE//pdeR//feoB//hycD//murD//lexA//sutR//dinG//yhdY//gatA//yjeV//mtlA//purF//wrbA//mgrR//zwf//sutR//bolA//rpoE//znuB//gspL//fliH//
Cra	degP//pstS//oxyR//napG//rarA//entE//fliR//ygaC//edd//yiaL//ygeA//citE//paaB//phnI//zraP//gcvT//citX//casB//ydfX//xylF//astC//metN//aroH//xylA//mtlA//baeR//putP//uxuB//sdhD//fur//citD//cyoD//yhbS//sgbU//pyrD//lrp//dinD//nusA//galK//ybfN//yoaC//hcaD//tsr//gyrA//argR//trpD//zntA//artI//puuR//ybhL//nikR//oppC//narG//sodA//chbF//leuA//serA//phoA//srlD//gudD//nagE//glk//manX//nemA//bglF//infB//dgcC//hyfF//hyfD//dsbA//asnC//crl//cho//nuoN//glnL//yaiA//cpxQ//ydbK//fepG//
CreB	folA//rbfA//hipA//yaiW//setA//
CsgD	oxyR//ynfH//rplT//ddpX//dsdX//nrfF//ydhW//betI//malZ//mdtF//recB//ydcS//yafP//acrD//appY//cusC//tolC//flgH//nrdA//uof//rseB//copA//agaA//fhlA//treC//yciX//ygeH//nikE//
CsiR	fliE//nimT//malZ//hyfB//katG//
CspA	cusS//tpiA//
CueR	tyrP//gatZ//galR//rffM//folA//bglJ//nuoE//
CusR	hypF//slp//yccA//araH//sdhD//phnP//ecpR//focB//pgaB//pepD//paaJ//hybG//
CynR	nrfB//dmsA//tdcD//hypB//
CysB	phoA//cynX//mqsA//glpD//cpxA//nuoG//tomB//leuA//gadX//fadH//prpR//zraR//srlE//hyfE//nanA//puuA//uxuR//mhpT//dicB//tonB//moaC//glcG//sdhC//fabA//hokE//mqsA//cecR//xylB//fdnH//deoA//ykiA//wzxE//
CytR	recB//phoB//glgX//iclR//sbcC//gspJ//cynS//mpl//psd//phnN//glmY//cdd//rtcA//
Dan	gatB//ubiX//yqjH//aceK//
DcuR	allD//mngR//allA//uxuB//ydeN//melA//fhuA//mnmG//hyfJ//
DeoR	deoC//ymjD//flgA//rbfA//gltJ//dsrA//
DhaR	flhB//citD//uxuR//fecA//
DicA	fucK//agaB//hyfB//ynfK//cusB//nirD//nanC//ubiA//
DinJ-YafQ	gadW//dhaR//oxyS//
DnaA	glcB//nrdF//aceK//safA//yidQ//flgC//moeB//psiF//gutQ//efeU_2//metI//nhaA//
DpiA	deoD//ydeM//xapB//rnlB//mdtC//yiaO//katE//yhhY//dsrA//fepA//yciW//
DsdC	psd//srlE//aroL//
EbgR	trpE//gltI//
EnvR	ddpB//tdcA//
EnvY	ccmG//ulaD//
EvgA	entB//murP//yebE//ebgC//glnL//fucI//ebgC//ssuD//treR//lon//acrD//napF//cyoC//araB//alsA//ycgR//moaD//deoD//katG//
ExuR	ycdZ//cyaR//yjeV//psiF//fixC//uidA//appB//recC//appB//
FabR	nadA//yrbL//
FadR	ftsI//qseC//recD//fadB//ymgC//gcvP//ybjN//ynbC//tehA//cydD//mhpC//melB//emrB//hyfH//nanK//narI//hycD//tnaB//hdeD//gspJ//hokD//aslB//mraY//
FeaR	aceB//napG//
FhlA	wzc//dgcC//nrdD//fur//sroA//torC//ulaA//nimR//hybC//flgM//cydB//fhuA//tdcE//fepB//glpQ//agaW//cdd//gntX//ldtB//umuC//decR//dicC//thiP//gltK//wza//hyaB//emrB//yafN//gudP//treC//
FlhDC	skp//acrD//gltD//nirC//fruK//ytfE//prpR//uvrC//ssuC//metJ//citD//cusR//flgF//cydB//idnD//iscA//mltF//creC//frdD//idnK//thiQ//yhjC//araG//gspH//trpL//gspI//sucC//hmp//gspM//ydbD//kdpA//potF//yhdY//paaF//potF//narJ//rtcB//purD//ssuB//dicC//narX//csrB//yqhG//epd//htpG//atoA//nrfD//nrfD//casB//mgrB//pgi//glk//ycgZ//ybiT//entC//ygiC//mntH//gabP//yjjQ//sbmC//potI//yagK//bhsA//yhdY//uspA//ybiT//hipA//pnuC//guaB//nhaA//gltD//nimT//fliQ//alaS//aroM//pstC//gspG//hybE//serA//ccmB//moaA//leuB//
FliZ	ugpE//lpd//rpmA//hyi//paaB//gspF//aroM//glcA//gabD//nimR//sroA//gabP//flgA//fadR//recX//flgA//ompC//treR//yfdE//nfuA//cspE//
FucR	ecpR//gabD//ydeO//narG//uxuA//hlyE//crr//
Fur	glpQ//alaC//gltD//xylF//pspF//hyfR//entS//metQ//crr//cdd//gutQ//fhuC//sodA//rffM//pdeL//ssuD//ulaA//mtr//bglF//yeaE//fliP//rutR//ybhG//garP//phnK//yoeB//ydeM//paaD//fdnI//lysC//phnJ//ybhL//icd//gutM//lysO//lldP//uvrD//fabA//uidC//uspA//tehA//araG//ybaS//sodA//dacC//chbA//purF//insD//entA//uvrC//sbcD//mhpD//fldB//moaB//malQ//cydC//fixC//dkgA//paaX//sufE//rob//ymjD//tauD//metY//nrfG//dcuB//bolA//csgG//dmsD//appB//purB//cusS//soxS//fes//tfaQ//frdA//mtlD//efeU_2//napH//citF//glpC//ybjN//yciX//tisB//acnA//treR//cpxR//rbfA//tnaC//dnaN//asnA//glcE//mdtA//rpsU//feoB//atoD//nlpA//dhaK//mdtF//cusC//agaC//argA//yfbR//lysC//alsB//yfdE//srlE//phr//ruvA//yhbE//lpxD//codA//baeR//gpmM//fepD//rybA//cspI//pspG//mngA//gatZ//fadA//allD//dsrA//cadA//nikC//higA//glmY//ppdA//rutC//rbsC//
GadE	wecC//nuoB//hybG//dmsD//yeaR//rffG//argR//hybG//leuB//psd//csgF//pstC//gspD//ompF//ydfE//mraZ//seqA//fabH//emrB//kdpA//gadC//recX//wcaA//glgA//fliM//fecE//ssrS//phnE_1//yiaJ//
GadE-RcsB	yeaE//fadM//cpxR//fabH//seqA//ycjF//degP//btuB//ppdB//
GadW	glnK//feaR//iscR//wecC//hycI//betT//yjbH//fabH//luxS//dinQ//phoE//tbpA//gadY//ytfE//uvrB//
GadX	borD//moaB//ydcU//cyoC//ycgZ//yqjA//appX//ydhX//ppc//entC//ydeN//gspH//rffT//ebgA//yoaG//galP//yfdE//moeB//tktB//oxyS//amtB//sufB//hybB//tnaB//ymjD//puuP//fabH//torA//srlD//
GalR	motB//melB//ydfW//argH//degP//fucK//cueO//tnaA//flgN//aceA//
GalS	rpoE//dhaM//umpH//norW//slt//nrfG//gltK//gltI//pstB//purD//
GatR	hyfF//dicB//hypF//thrS//ldtB//waaZ//
GcvA	kdpB//pgaB//cysD//xylG//pqiA//
GlcC	cho//argE//sdhB//lgoR//exbB//ymiA//aspC//
GlpR	uxaB//gyrA//uxuB//garL//wecB//focA//ydcV//napA//glcF//
GlrR	ynfK//nuoM//nanK//slyB//mpaA//
GntR	caiC//rbfA//flhA//yeaH//phr//pheS//ulaA//gutM//atoE//rseB//araE//glpA//
GutM	hcaR//nfsA//dicB//ccmD//paaI//carB//ftsZ//
GutR	mioC//malF//frdB//glyA//cynT//adhE//fiu//
HU	ybhF//alsA//codA//metJ//chbB//cusR//nmpC//dmsA//deoD//
HcaR	cpxQ//dapB//pspG//fdhF//rffG//casC//
HdfR	gcvT//cas1//cdd//oxyR//zraP//
HigA	gcvT//ppiD//
HigB-HigA	yfdV//hcaR//
HipAB	acrA//chiP//pheT//yafN//narH//
HipB	ybbW//codA//fhuE//symE//rhaA//casD//
HyfR	deoD//ycdZ//agaA//flgB//mltF//idnR//araF//ycjX//gor//nrfG//wzc//ykiA//
HypT	adiC//agaC//ymgA//prpB//htpG//cyaR//flgF//bamE//nrfG//asnC//glnH//cbl//allD//
IclR	hycF//ftsI//bioF//nikR//
IdnR	hypE//fadJ//ydfD//yeiL//dcuD//flgD//cra//
IlvY	lysR//rpsO//
IscR	kdpF//rob//tktB//purR//folA//oxyR//bioB//osmC//aroM//fucU//dcuD//gatB//flgN//agaI//recF//csgA//lacA//ddpX//aceK//yafN//hycB//speA//ibaG//tsr//cho//fnr//ybaS//mgrB//yeiL//rarA//pspD//araB//
KdgR	tyrA//cyoB//
KdpE	nrdA//hycH//ynfG//gspH//
LacI	potI//argF//pepD//
LeuO	pgi//pdhR//pfkA//qseC//melR//rpiR//umpH//gatD//phnN//ybhF//yidL//glnH//ymjC//betT//hypF//eda//glmY//mhpE//lamB//ydeP//
LexA	mpl//cysC//pgpC//entD//chbB//nrdG//nikD//acnB//yiaO//gadX//cecR//prpD//narJ//lolA//torD//paaJ//borD//fliC//rhaA//phnE_2//sgbH//allE//yqhG//kbp//nusA//tonB//nuoB//appC//nuoK//epd//nmpC//codA//ompF//frdC//feoA//obgE//yccA//purD//ygaC//wzb//emrK//aspC//phoU//edd//yfbR//ftsQ//talA//zraR//pheT//hcaR//astA//modB//pitB//dmsD//gspL//codB//hydN//rhaA//fdnG//
LldR	cynR//feaB//rbsB//
LrhA	uspA//phnF//cusS//fliM//
LsrR	nanT//trpR//ariR//yjjQ//gcl//alsC//grcA//purB//csgA//
LysR	nadA//bdm//
MalI	tauB//hcaE//dsbG//
MalT	nuoE//ybiT//hslJ//artM//ahpF//nemR//ybdZ//pspB//fdnH//norW//
MarA	cysN//nuoI//psiE//atoE//cysK//flgG//evgS//ymgC//napA//tadA//hyfI//prpB//ndh//hybB//fhuF//fadM//yjeV//ccmF//ppsA//fliI//metI//tynA//ddpX//cysJ//fucP//cusR//galT//caiC//ssb//rutG//ascB//rimP//puuR//ilvY//mtlD//araE//casE//copA//
MarR	alaC//mdh//obgE//
MatA	degP//ccmD//dsrA//casC//flhD//trpL//yidL//uvrY//
MazE	appX//pykF//ykgO//
MazE-MazF	dicC//napC//cysW//
McbR	argO//mdtD//frdC//fimB//
MelR	fixA//rprA//hyfF//
MetJ	moaE//ppiD//marB//nrfE//ubiA//ebgC//speB//tisB//ddpA//trpD//lldD//lacZ//galE//hisQ//bglJ//
MetR	nemA//xylB//yhcH//metA//ddpA//
MhpR	cysD//ilvY//gor//ygbA//hokE//ptsI//
Mlc	hypC//gcvP//uidC//modA//hyfH//emrY//bamE//mltF//dhaM//glcD//
MlrA	glnG//creB//agaB//nrfF//nagE//motA//mtlR//xylA//gspO//uspE//
MngR	cirA//dsrA//potH//
MntR	rhaA//yhiD//sucA//insK//grxA//
ModE	fucO//cueO//dnaA//nrfD//nuoI//napF//efeU_2//gudD//lldP//pspG//mntS//hcaD//rcnR//fadE//phnP//hipB//dmsA//glpB//lsrR//yoeB//ydcT//malS//gltF//phnK//narK//rutA//hipB//lacY//nadA//rbsC//tktB//cysK//cadB//ybjC//napF//glgB//ymiA//gntU//gspD//mntP//tauB//nfsA//metA//idnT//ecpR//ynfF//
MprA	cspI//gatZ//sra//napC//edd//fucA//
MqsA	rybB//mpaA//pstC//cheW//yhiD//aidB//hyfR//fdhF//
MraZ	murD//fixB//mdtF//frc//ogt//ftsL//nfuA//yegZ//malG//motB//ddpF//speA//wecE//hyfH//gntX//oxyS//ecpR//
MtlR	dnaA//phnD//ddpF//
MurR	nfuA//ppsA//ptsG//
Nac	rffC//fadM//allE//nuoL//fadD//rtcB//malI//aspA//ynbA//cysD//ssb//recA//mhpB//fruA//sufD//ugpE//pheM//fliG//nrdF//pdhR//lsrC//
NadR	uxaA//rhaA//leuL//accD//
NagC	treB//gdhA//mzrA//trpL//artI//ihfA//deoD//wecE//ybfN//yqhG//aceE//gltB//phnJ//narK//fucO//relE//chbC//ymjD//accD//cysI//ccmA//ampC//lsrD//cysW//creB//phnJ//aceB//rnlA//cvpA//nuoC//ybdN//htpG//marA//inaA//hyfF//nuoB//ulaE//
NanR	ada//efeU_2//gudX//tisB//csgD//norV//phr//ugpB//dhaM//ptsH//agaB//
NarL	paaH//emrA//dsdA//ygdB//agaD//codB//tsgA//emrY//murE//mglA//ccmF//recN//fumB//leuL//recC//motA//lsrF//hyaD//metB//xylA//ddpB//hycH//pitB//ybhL//prpE//metL//gatC//fdnH//fadR//yhbS//fadI//crl//xylG//micF//nuoK//yafO//yciX//casC//nrdD//tyrR//yncE//ybfN//oppD//tyrR//yegR//dsbC//gltD//phoQ//nlpA//bioF//mpaA//yeiB//csgF//yeiB//cynR//phr//paaK//argA//paaF//crl//ebgA//nhaA//yccJ//entC//tdcD//uspE//malS//wecE//cadB//dhaR//yfiR//ybfN//lsrA//infB//speB//yhiM//ugpQ//setA//wcaA//gadY//dcuS//nhaA//cyoE//moaA//ydbK//hyfJ//rbsD//ssuB//stpA//fecA//nusA//yhdW//argP//lgoR//uidA//hypF//metR//artI//slyB//lsrK//sgrT//artM//fucP//yebG//rclB//hcaF//yfdX//tsr//nirB//ugpQ//grxA//astE//tonB//fiu//gudD//fecD//fepC//cpxQ//cysK//iscR//lpd//modB//mtlA//
NarP	fucA//dps//cusA//potH//hyaE//ydcV//mntS//hybB//ydcV//paaI//fliS//hybA//cpxA//nupG//evgS//nanS//nikE//slp//tyrP//lsrB//rutA//fbaB//malT//fecA//pfkA//dsdX//lsrC//glxK//idnR//nuoN//emrK//mhpF//artP//ddpA//fucP//ydhV//glmU//gspD//cusC//pgaA//phnO//mpaA//gutQ//galM//mgrB//cbl//narG//fimE//rffC//yegH//
NemR	uxaA//gspL//ynbB//
NhaR	casD//pepD//cusB//pepD//araB//gntK//uxaB//
NikR	gabD//hyaC//phnJ//tcyJ//glcD//moaC//
NimR	yeaE//dsdX//
NorR	xylA//mhpF//flhD//
NrdR	pykF//ftsQ//flgG//ytfE//adhE//ftsI//ftsK//kbaY//iscA//
NsrR	rpoD//lpxC//ppdC//sdhB//pyrD//ssuE//fliH//ompW//cadA//xylH//yiaM//rpmI//guaB//cysG//emrY//rcnR//nuoJ//yebG//fecC//purN//glpB//pspG//ssuA//fur//phoH//treB//galM//yciX//znuC//osmY//hycH//dpiA//prpR//ulaG//srlR//yjjQ//yqhG//rtcA//kbaY//ynfK//pgpC//rstA//ybdN//crp//alsC//lsrD//sroC//sucA//puuB//alkB//yefM//mzrA//agaC//arsR//ynfH//dgcZ//fhuF//ddlB//ynfH//pepA//moaB//aroF//ybfE//dinQ//fucI//cysM//hybE//ccmC//yhiM//prpE//rdoA//rcnB//paaZ//murI//ygaC//hycA//murF//lldD//artJ//murE//galE//hybG//srlB//
NtrC	zwf//ygeH//malZ//dmsA//dapD//modC//appY//ygbK//tehA//gspF//csgD//yeaG//ygiA//yidQ//bhsA//tdcG//ynbA//rffG//uxuA//ccmF//glnL//casE//cydC//hycE//nimR//casC//gspI//cyoC//fucK//appY//cdaR//fadD//fliG//hycH//yegH//gcvP//rseC//yqjA//tdcG//lsrK//adiA//garR//rcnB//nimT//ybhF//rcnR//ydeM//mpaA//entE//
OmpR	ygeA//omrB//rtcA//hisJ//hcaE//acnB//iscR//gltK//gadY//hcp//yafQ//chbF//oxyR//obgE//hcp//casD//galM//wzxE//fepE//srlA//allA//
OxyR	ydcV//ycjY//agaV//infC//fliM//pspC//pgaC//kdpA//phr//yafP//rdoA//patD//ydhU//adiA//stpA//leuL//fliN//phoE//cho//tehB//recF//appB//gntP//sroA//mdh//argB//xylF//ompN//fabH//cadA//yecT//mioC//ynfG//yccA//
PaaX	purF//emrK//feoA//malE//insD//agaV//hybG//gudX//dnaN//fdnI//yjhB//nrdB//ygiZ//melB//
PdeL	frdA//
PdhR	chbG//astE//rhaR//cvpA//phnK//sbcD//fepA//acrD//nanC//ybjN//yrbL//yrbL//cpxP//zntA//osmB//adiC//waaY//skp//flgK//betI//hyi//dgkA//putP//melB//truB//fecD//yeaH//sodB//nemA//tyrP//paaZ//slt//tdcD//flhC//ddpD//znuB//wzyE//phoU//stpA//yiaL//cysN//
PepA	hcp//yjbE//garL//
PgrR	yeiB//ydhU//sufD//bglJ//ppiA//ibaG//fldA//dps//
PhoB	mntP//pepA//ddpC//flgK//cbl//rcnR//yhdZ//moeA//oppF//pqiB//ahpC//recA//mraZ//tcyJ//yfdE//htpG//sgrR//dapB//ccmE//sbcD//cadC//recD//gltD//rbsA//hyfI//lacA//fliF//ugpE//acrD//fdnI//gntK//xylB//kbaZ//mipA//qseB//cysE//nrfB//mcbA//iraP//cysH//zraS//glxR//rutB//recN//yjiY//rclC//dgcZ//flgB//phnG//dicC//araE//uxuB//metC//ddpX//metL//artJ//malK//fur//yfiR//fhuE//
PhoP	accC//paaJ//ubiX//rhaS//zinT//pnp//trpE//yiiS//hydN//ompW//phnD//ecnB//recA//mgtL//entS//yhdW//tisB//sroA//icd//yegR//uspA//rhaT//malZ//glcA//nanE//sufE//gatZ//cas1//glpX//flgK//purD//rutG//ung//ryhB//nikA//cysU//astC//hokD//sgbH//ompC//hyfB//hcaC//soxS//waaY//focA//gcvB//ftsZ//ydbD//yhjA//ompN//baeR//phnI//dcuA//tdcG//rffM//metN//
PrpR	speB//fau//flhE//puuE//hyi//
PspF	lon//fadD//cysE//relE//glpD//bolA//agaV//
PurR	ecpR//gspG//hflD//gspJ//dcuR//gspE//tadA//rpmA//chiP//cysK//tcyP//pgi//ydhT//rpsO//sbmA//sufB//csgG//hyaC//fruA//gspI//casD//bioA//yegR//rpoS//nrdE//ydbK//fepD//ccmG//fldA//dmsA//infB//
PutA	katG//cusC//
PuuR	malS//gadA//csgG//fecB//aroG//yedX//acrA//
QseB	metA//dps//dgcC//galS//
RbsR	cusC//yiaM//deoB//hyaA//nanC//mtr//ymgA//argP//hflD//
RcdA	erpA//rbsD//citC//cpxQ//kdpC//pdeL//nohA//rbsA//mpl//
RclR	yhjC//glgB//mazF//
RcnR	moaB//dkgA//fixX//
RcsAB	frc//tam//treB//glmS//cra//sgrR//trpL//lysR//acrA//napF//paaC//rsmH//ihfA//puuA//cytR//tisB//
RcsB	nikB//lsrA//mraZ//fumB//fliR//ulaC//fabB//hokD//codA//ydiV//omrA//puuB//amtB//rpoD//rseA//efeU_1//tomB//frdC//dinI//polB//dinI//murI//mcbA//appY//sucA//
RcsB-BglJ	yaiW//lyxK//sroA//yeaH//rutA//yidQ//idnO//gadB//bglJ//fliN//malF//glpF//flhB//nagC//dcuR//trpC//
RelB	phoR//dinG//phnG//
RelB-RelE	mngA//fes//hdeD//
RhaR	narH//yqjH//
RhaS	frdC//ydfE//recX//oxyR//yoeB//ybdZ//
Rob	acnB//lhgO//ycdZ//ygdB//ftnB//mqsA//ahpC//ddpB//puuE//asnB//hyfD//evgA//wrbA//ydfD//insD//prpC//caiA//purK//mglB//gspJ//ynfG//chbG//feaB//xapB//torC//iraP//
RstA	ygaC//ccmB//pstS//ybaT//dinB//hybE//potI//entF//nikC//frdB//
RtcR	creC//yiaN//
RutR	gatD//relB//sufE//nanK//frc//adiA//bioF//nikC//yqjA//gspF//lpxA//yefM//hcaE//melR//oxyS//glcF//hyfC//
SdiA	slt//chbB//yhjA//nuoM//aslB//
SgrR	tyrP//nrfF//fabG//ariR//nuoN//cadC//paaK//gcvB//hycD//
SlyA	fhuC//
SoxR	puuE//nanA//purK//
SoxS	wrbA//metA//nuoK//yhiM//gcvB//cynT//pqiA//yneM//ydfD//flgD//yjjZ//ynfH//hydN//gadW//emrK//ydeM//pyrC//tcyJ//ftsL//ebgC//pykF//yhdW//ihfA//phnH//yeaD//osmB//cspD//tfaQ//asnA//nupG//atoD//gcvB//aroH//bglF//mtlR//cadA//insK//gatB//uvrA//malE//
StpA	prpB//exbD//uvrD//degP//sufD//hybG//fabI//
SutR	gabP//dnaA//exuT//betA//nrfF//
TdcA	sufC//ahpF//gadA//metK//wecE//idnO//pdeL//
TdcR	malY//malT//mdtF//mngR//rplT//ykgM//ruvA//
TorR	ulaF//chbC//malT//metY//gadX//sufD//rpsU//psiE//hyaD//fliD//sroD//fdhF//
TreR	ecnB//hcaB//
TrpR	uvrD//pheM//sbmC//cusS//dicB//pstA//recA//yafN//dsbG//hcaE//dgcZ//malQ//
TyrR	fliL//phoA//ldtB//wzzE//csgC//mdh//gltK//mdh//fliL//cysJ//glpA//trpD//
UhpA	manY//
UidR	hypE//narK//ydfN//pepA//
UlaR	hyfR//recX//soxS//trpR//efeU_2//agaB//nuoM//
UvrY	cueO//fhuA//udp//yafP//accC//
UxuR	tdcB//fecI//nfsB//mdtF//hyaB//gspG//nuoL//agaV//rutD//
XapR	ibaG//pstB//
XylR	yecT//eda//sdhC//fepD//glcA//sucB//fliC//
YdeO	pspC//rpiR//nfsB//malP//araH//gdhA//purC//speB//alsE//fecC//casD//yccJ//dkgB//crl//aroL//pspE//aceK//uspD//xylA//pyrC//fabA//
YedW	ybhS//hisQ//wecB//degP//flgF//yciW//molR_1//lsrB//accD//nuoN//potG//tisB//
YefM	ulaE//efeU_1//
YefM-YoeB	uxuA//ftnB//
YehT	talA//
YeiL	pspF//
YiaJ	oxc//nanA//metH//purN//rutA//yhcH//rffC//sdhD//ccmA//murD//
YjjQ	kbp//astC//araC//ydbK//bolA//phnN//glpA//sufE//mngA//ftsZ//
YpdB	melR//
YqhC	hyaF//tnaC//
YqjI	rclA//fadD//
ZntR	ydcT//
ZraR	spy//puuP//citX//
Zur	gltF//ybaS//mazE//rcnA//ybdN//exuR//
