#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	pstC//ampC//
CdaR	citE//nfo//hyfA//oxc//accD//phr//yciG//iscR//fldB//gspF//
CecR	edd//speB//xapA//hcp//csgF//
ChbR	nirD//treR//leuO//uvrC//agaR//xylG//
ComR	oxyR//
CpxR	relE//artP//yedX//fnr//paaD//allD//glcA//pspA//aspA//napG//yiiS//erpA//guaB//cydA//kdpB//xapA//napD//feaR//argD//ydfN//rutR//glgX//glnQ//bglF//yaiW//moeB//bhsA//lldP//tnaC//dmsB//lysA//napA//yccA//ttdR//artI//glcF//yhcH//gudD//uxaA//malG//betB//adiA//emrK//ptsI//moaE//carA//ymgC//bioF//nrfF//mnmG//gyrA//fecC//ybhG//fucO//eda//aspA//cysJ//iscU//inaA//relA//araC//nimT//tktB//speA//rplT//malF//xylG//gatB//ppdC//nikD//
Cra	hyfA//sucC//fucO//pagP//thiP//gcvP//polB//gudX//melR//pspA//folE//srlE//fecR//hypB//leuL//uidB//flgN//hisP//yecT//citC//uxuR//yiaM//torR//wzc//ibaG//ynbD//puuP//rtcB//lpxD//dkgA//torD//fadA//sdhA//yhhY//recA//bacA//cysB//gutQ//ryhB//yoaG//sucC//nirD//cyoB//galT//fes//idnT//ybaS//ynfE//hdeA//rnlA//mdtD//dhaR//pitB//exuR//ccmA//argB//tbpA//purR//inaA//ihfA//glpQ//nhaR//hycI//ilvC//trpA//cysA//moaC//lysC//gltL//metK//yegH//gadA//prpE//nadA//sgrS//nrfF//aroF//lysC//yciW//
CreB	caiA//pgm//truB//hipB//bolA//
CsgD	manZ//chbF//wzc//gspD//ldtC//nuoN//cysB//hybD//erpA//fliN//phnG//ybfN//lpxD//hyfG//paaF//ddpB//ogt//ndh//mazE//psiF//dinD//yjbF//dcuS//ydeN//pnuC//fepC//cadB//torR//
CsiR	rclA//hcaF//rybB//potF//waaH//
CspA	melB//potG//
CueR	glmY//entB//kbaY//yecR//fliO//nuoI//ynfK//
CusR	evgA//ycgZ//nanA//recA//tauB//aroF//guaA//fecA//argD//casA//hyfD//araD//
CynR	ybjC//glcD//alkB//ydcT//
CysB	fliE//yebE//hypA//caiC//narJ//epd//ynbD//gdhA//phnM//rpmI//gatD//ttdR//cvpA//argT//bioD//dcuA//yegZ//ycgR//norV//fliD//fiu//treR//cynX//mdtC//gspI//uvrB//pdhR//fhuA//tdcB//cspI//thiP//efeU_2//
CytR	recF//ynfE//hdeB//cysC//fliT//gadY//yiaO//ybhF//dtpA//napD//glnQ//hdeB//ychF//
Dan	fepC//wecC//ascF//crl//
DcuR	idnK//aroF//zraP//lamB//nrfE//cusB//yiaN//marR//treR//
DeoR	yecR//fucK//gltK//araC//citE//slp//
DhaR	glnG//yccJ//pdeL//nanC//
DicA	ybiT//qseB//symE//mngA//fecE//aroG//nuoE//norV//
DinJ-YafQ	mhpB//infB//entH//
DnaA	ugpC//ubiX//exuR//puuD//rpiB//acnA//ygbA//cysK//gltD//manY//pck//waaH//
DpiA	rpoD//rtcB//dtpA//ugpB//rbsB//yecR//ddpD//ybhG//trpA//puuD//ynbD//
DsdC	chbR//gcvP//higB//
EbgR	dapD//tktB//
EnvR	nfuA//ddpF//
EnvY	yqaE//mntS//
EvgA	agaW//iscA//ybaT//wcaB//flgH//fliJ//fecC//rstB//nuoJ//malE//gpmA//aspA//paaX//rnpB//rffG//rtcA//micF//rarA//tyrA//
ExuR	dsrA//hdeD//lsrB//lysC//ybhS//argT//cysU//gutQ//phnI//
FabR	speA//phnK//
FadR	yfbR//gntX//osmB//rplT//ynfE//znuA//rffM//zinT//wcaA//gnd//cyaR//ydfW//manY//cpxR//nfuA//cpxA//ccmC//ndh//lrp//yibQ//deoD//mntH//cynX//
FeaR	yhhY//frdA//
FhlA	ymjC//ugpB//nrdE//chbB//ttdR//glnB//sgbU//gatB//casD//guaA//uxuR//hyfC//dkgB//hslJ//galR//rutF//ascB//kbp//ybdZ//entD//hokE//aceB//nrdD//gadX//nupG//flgM//malP//rutE//araG//cydB//
FlhDC	artP//rcnA//glpT//ymgA//hypF//yjbE//fecE//artM//entH//rcnB//ynfG//fepB//yeaD//purF//mhpB//fbaA//dicC//yafP//fadA//ptrA//hisQ//mzrA//hypA//cysM//ymjC//ydhW//ybjN//yiaJ//katE//yeiL//ftsA//ydcS//yjiY//bioA//rcsA//kdpB//nikR//fepG//hha//fruA//leuB//focA//allA//frc//agaV//yjbH//nikB//ybjN//infB//yecT//ybaS//fhuF//gspM//recN//mzrA//kbp//dicB//ldtD//glpT//nrdH//yciG//acrB//flgG//bioF//cysU//narX//fruA//flgA//ygeH//cspE//fhlA//flgC//ccmE//argT//thiP//ynfE//mprA//argT//galS//argT//nikB//cydA//
FliZ	aldA//murD//prpR//accB//aroF//ymiA//nimT//kdpC//lamB//feaR//phnG//flgN//phnL//nuoJ//glcC//betI//accC//pdeL//wcaB//dkgA//prpE//
FucR	nohA//focB//metL//pitB//phoB//csiD//yoaC//
Fur	pgm//pstB//emrY//astD//oppA//argF//fliN//yegH//dmsC//flgA//flgK//accD//glyA//dpiA//artQ//nrdH//poxB//moaE//gadE//cpxP//yeiL//malZ//fhuE//caiF//nrfE//nagA//paaI//guaB//rutG//tadA//yciF//gltL//rutG//phoR//xylG//pqiB//fadL//cysN//casB//degP//wecC//argR//flgC//gspJ//yrbL//ptsH//yefM//ccmA//tcyJ//gspO//rstA//ybdZ//glpQ//hdeB//iclR//nuoI//zraS//tdcD//appB//exbB//araG//tam//fabI//pspF//ybhR//fimE//pepD//pgaD//entS//ulaC//appY//rpoD//agaA//dtpA//dmsB//oppF//crr//ydhY//decR//adiA//rarA//gabD//fucO//pyrC//yhjX//ulaD//bioF//lysC//galP//phnF//dnaN//paaG//flhB//murG//pdeR//ilvY//araC//paaB//ompN//pitB//pepA//dcuA//mntP//ftsK//nadB//ydcU//ftnA//narI//garL//truB//artI//appB//rutE//ryhB//dgkA//ecnB//rbsA//dsbC//napF//nuoL//dhaM//phnI//glpA//yiaJ//gadB//yciF//astE//udp//torR//tolC//
GadE	glcA//iscR//nuoF//hcaE//infB//ygaC//trpE//leuO//ddpX//sdhB//tynA//cas2//feoB//phoU//norV//phr//yhiM//fadB//bolA//betI//hycF//gcl//atoD//fliD//fbaA//ulaB//cas2//gyrA//ulaF//
GadE-RcsB	glnD//prpB//nhaA//ppdB//thiP//malP//mtlD//hyfJ//fdnG//
GadW	yoeB//idnD//wecB//modB//cysA//murI//fabG//waaH//glnQ//pdeR//aroG//fur//fliH//mazG//marB//
GadX	napH//pfkA//murR//ybdZ//metF//tisB//hybO//ynjI//yibQ//mpl//malF//phoP//sulA//hybC//iscR//hisP//gspE//murE//lsrG//appB//nuoH//psiF//chiP//srlE//citG//ybfE//slt//gspI//fabZ//
GalR	tauA//pnp//dkgB//tbpA//gntP//aceK//mdtF//hcaE//puuC//rtcB//
GalS	nrfC//yhhY//flgC//metN//rnlB//kdpF//qseC//leuB//fliQ//infB//
GatR	cysM//rpiB//mltF//gatY//purN//ascB//
GcvA	uidR//flgC//fliG//gspI//ptrA//
GlcC	betA//ydfE//phnG//nirB//pnuC//potF//yaiA//
GlpR	nhaA//exuT//idnD//glgX//tnaA//rtcB//copA//ytfE//rhaT//
GlrR	pspA//hdeB//citE//nupC//gcvA//
GntR	csgD//yfiB//lrp//dapD//ymgA//gcvT//wzxE//ampC//nuoE//agaW//yfaE//fadB//
GutM	gadC//argG//acnB//ybdN//csiD//srlD//narI//
GutR	rhaT//xapB//putP//marB//dinD//evgA//xylG//
HU	fbaB//rffH//lolA//rstB//hycA//dps//sgrR//sucA//lrhA//
HcaR	ydeN//speB//kdpC//allD//ybhR//ycjF//
HdfR	csgD//dsdC//asnA//pspG//appC//
HigA	astE//paaX//
HigB-HigA	hypC//ydcV//
HipAB	rhaT//gabD//sdhB//flgD//ycjG//
HipB	safA//araC//phnK//citG//dcuS//tadA//
HyfR	sroD//galS//zraR//ygiC//metE//aspC//accA//hns//ccmF//mraZ//pdeL//wzb//
HypT	mgrB//amn//uxaB//flu//trpB//dcuA//nhaA//ydcS//murF//galS//hdeB//soxS//mdh//
IclR	mpaA//cusA//nagE//dsbG//
IdnR	bglF//yafO//galS//rimK//ymgA//artM//argO//
IlvY	nirC//lpxA//
IscR	phnE_2//glcG//gcvT//srlA//rclC//tdcG//yrbL//bioB//zraR//trpE//gntX//cyoD//ptsG//ynbB//gspM//tpiA//ycdZ//aroM//hmp//mlrA//nikD//torC//nhaR//motB//lgoR//rbsD//artI//ugpC//fucO//feoB//flgI//cyaR//
KdgR	wzxE//ydcU//
KdpE	tpiA//flgE//melR//lgoR//
LacI	dsdA//cysW//xylB//
LeuO	ymjD//mhpE//argF//appC//sra//csrC//fucI//cdd//uvrB//dinB//sra//argA//wzb//ttdR//yjbH//hyaE//mprA//entC//molR_1//fdhF//
LexA	gudP//sbcD//mngA//dcuR//argG//gadA//rffG//flgC//hisP//entD//argD//fimB//rnlB//cho//uxaA//focA//glnA//glgB//mraZ//ecpR//ecpR//ptsH//asnA//luxS//dmsC//borD//napH//paaI//trpB//glgX//mhpF//yegZ//yciF//fliK//dmsC//gadX//sodA//patD//ihfA//fur//xylB//nirD//metI//phnF//yciX//kdpF//nemA//gltD//kbaY//araJ//astD//sufB//ftsZ//mdh//prpR//glnB//ndh//fadH//kdpB//
LldR	micF//xylR//mioC//
LrhA	glnG//gatC//hybC//fliM//
LsrR	mraZ//frdB//lexA//fixA//dcuA//malY//ydcV//osmY//talA//
LysR	lrhA//erpA//
MalI	ydhV//nemR//gntX//
MalT	nuoF//eno//ftsZ//yidQ//metI//wecE//yjeV//ahpF//sufA//pstC//
MarA	murC//gcvH//ychF//sgrR//nuoI//osmC//symE//melR//ecpR//ycjY//fucI//ydhW//ttdT//argP//rstB//zraS//yjbH//ynjI//fabA//narI//treC//malZ//rimK//phnF//yjeV//hyfA//hisP//hha//dpiA//ydfX//rbfA//oppF//uof//metB//dcuR//fhuD//nrdD//glgX//
MarR	iscR//ydfN//murP//
MatA	narK//galP//tam//tdcG//flgJ//tsgA//entC//fruB//
MazE	rhaR//bioB//lsrC//
MazE-MazF	relB//nrdF//nanE//
McbR	rpmA//glgC//fau//sufE//
MelR	entB//sucB//wza//
MetJ	yhjA//ulaD//glpX//fadR//ahpF//garD//acrD//lrp//phoH//crr//fbaA//rtcA//ihfA//cysU//yiaJ//
MetR	flgC//hns//yafO//lsrF//pspD//
MhpR	cadA//fadL//sbmA//hybF//gabD//paaX//
Mlc	yhjC//rutG//dinI//malE//leuL//dapD//acrR//nirC//gspK//serA//
MlrA	xylB//fbaB//idnD//thrS//gabD//purK//omrA//mhpD//xylA//tcyJ//
MngR	ascB//ttdA//lldR//
MntR	mipA//phnC//glk//rybA//gspC//
ModE	umuD//yegR//torC//adiC//ada//puuD//pspF//sucD//nrfF//mglB//fruK//fldB//flgF//dcuR//glpT//recB//lldD//lldP//purE//sgrT//metN//gntX//gntP//hyfJ//mdtB//paaJ//rbsA//flgJ//moaA//glpX//ogt//artQ//ydeM//phoH//fldA//mgtL//ybfE//ogt//pitB//feoC//idnT//allB//dcuA//yhjX//yebG//ybjC//
MprA	bioD//ddpA//gltK//citD//nrdD//sbmA//
MqsA	pgk//dcuR//pnp//ppsA//nuoI//dapD//aroF//pheM//
MraZ	mdtE//pspD//ydfD//narX//ydhY//rclC//phoR//srlA//atoA//artQ//acrB//fruA//malM//metL//lacY//higB//napA//
MtlR	fliD//tfaQ//galR//
MurR	marR//wcaB//mntH//
Nac	insK//fecC//nimT//adiA//rutA//icd//ccmB//ybhS//dkgB//mepH//glgB//nrfB//uspA//hybC//cas2//argH//csgC//iscR//mltF//ompW//acnB//
NadR	hycH//phoE//sgbH//dps//
NagC	argF//phnP//mngR//gcvT//ytfE//ydcS//sucA//yecT//entS//rpmA//fhuA//ygbA//aceB//feaR//lacA//appY//leuD//gltB//ydfW//nfuA//fepD//fhuD//recD//cysH//lsrR//add//araA//fhlA//atoD//cyoE//araJ//rclB//gcl//ydfE//prs//lsrD//gntK//
NanR	umpH//ynbB//rhaT//yebE//deoC//cusC//argI//atoD//rpoH//sucA//idnD//
NarL	sdhA//ccmE//ybhF//purC//rseA//yfdE//yhhY//gspL//cyoA//appY//malE//melR//fliP//fldA//lsrG//acrA//yjhB//paaX//mdtE//hdeD//lysR//ccmB//rffC//paaB//ftsK//hokD//add//polA//mntH//sgbH//dsbG//hybE//astB//fucK//fadM//fdnG//fruB//rpoH//glgA//sufB//cynT//phoU//gabT//mnmG//ydhX//fucK//pepD//pspA//napA//yegR//tdcF//tnaA//ryhB//cusB//tsx//phoH//gcvP//dhaM//moeB//frdD//ybhL//garK//hyaF//murD//phoQ//infB//mngR//ftsK//mglC//ecnB//ykiA//recC//rclB//ybhG//recX//melB//purN//norW//dhaM//waaH//glgC//alkB//garP//fixA//pstA//moaB//metQ//gadF//sgrS//dhaM//mioC//alaC//araE//putA//ydeI//aroL//xapB//hycF//umuC//casE//bglG//fucA//ccmD//nuoB//casE//nagA//udp//alkB//argE//focA//mipA//ftsZ//nmpC//acnB//sra//focA//fliR//betA//arsR//ygiZ//potG//pdhR//gntU//
NarP	tauC//paaJ//pspB//yeaR//nirD//evgA//ygaC//hycF//allS//zraP//thrS//rseB//gcl//purB//dinJ//cadA//relE//ydeO//tomB//lpd//ydhW//cbl//cysC//csgB//idnO//metR//yhiM//kbaZ//ahpF//asnB//grcA//rbfA//yqhD//argI//pstA//nirC//rstB//pgpC//yegH//nrdG//feoB//serA//rpmI//wzzE//glyA//hyfE//pdeH//poxB//argA//speB//
NemR	ilvC//tehB//ldtC//
NhaR	uxaB//oppD//ybdN//marB//yebE//tyrB//gloA//
NikR	codA//pfkA//prpE//dsdX//dctA//ilvY//
NimR	prpD//gspH//
NorR	cusA//uxaC//arsR//
NrdR	cynS//ymjC//hybD//metC//epd//ytfE//cysP//hdeD//mpl//
NsrR	purA//yiaJ//xylA//rarA//luxS//modC//metR//ygaC//fucK//ccmH//yqhD//rpoS//garL//gspD//dmsC//glnD//alsB//mdtA//ybbY//mtlR//purR//ybjG//aspA//mdtA//trpE//tonB//ynbD//hybB//agaS//acrB//pstC//acrD//recC//treC//ybhF//yhbT//ydfH//moaB//ftsK//ynfK//katG//potF//pdeL//recD//treC//fucR//metQ//sdhB//cysI//fadJ//hisQ//fliM//lldP//flgG//recB//ruvB//mdtE//puuE//glnG//yiaN//ssuC//glnQ//gspC//iscR//ykiA//borD//gpmM//nuoC//rpiR//fadL//rbsA//aceB//iscA//nrfC//sucA//aroH//alsE//exbB//lrhA//sbcD//nikD//mqsA//flgA//
NtrC	yecR//prpB//fepA//nrfB//ydfH//higA//glnP//gltF//aldA//wecE//argP//purC//fliQ//xylA//hha//mgtA//rpsU//lamB//nuoA//galK//purD//yneM//fadB//pdhR//caiF//argP//gltI//ecpA//nikA//metK//paaZ//marR//bluF//ecpR//ulaD//ssrS//nrfD//flgN//uvrC//hcaR//yhiD//uspE//hyfH//uspE//rbsB//flgI//mdh//sufB//mepH//
OmpR	flhE//betA//nohA//rplU//fliR//efeU_2//cspE//cas2//yhbT//gabD//malE//bglG//lysA//fadH//qseC//mglB//hyfG//yjjQ//yjjZ//fliL//ompF//
OxyR	feoB//gatD//ruvB//hisJ//sgbE//gabP//arsB//flgD//nrdF//pgaA//oppF//ecnB//ibaG//ecnB//puuB//deoA//yciW//purK//putP//emrA//narI//ydfN//ptsG//flgE//pgaA//grcA//wzxE//srlB//agaA//psd//gspH//ybbY//rclB//oppC//
PaaX	potF//csgD//yjjQ//gntU//treR//cysE//creC//flhD//gspH//emrA//yeaE//fliI//ycjY//oppA//
PdeL	flhC//
PdhR	yhjC//glpD//gadE//rpsU//ppsA//bioA//cusF//fucO//rob//mscM//pqiB//fecE//nusA//bdcA//ydhT//yjeV//ompW//ftsL//metR//rseA//mhpB//mtr//yaiW//metR//icd//ymjC//glnK//iraP//evgS//galR//oppB//cysB//flgL//tonB//aidB//flgB//paaY//ldtD//gdhA//ptsI//hypB//
PepA	wecB//rpoS//yhdW//
PgrR	modA//yfdE//flgD//acrZ//rhaB//ychF//narG//idnK//
PhoB	nanK//phoP//yhjC//phnF//umpH//tisB//efeU_2//ybjN//sufC//gspG//nupG//pck//degP//yegR//yegZ//frdA//cho//nrfE//dsbG//deoA//hcaF//ssuA//manY//putP//mzrA//agaD//ttdB//mqsR//dcuD//efeU_1//ibaG//uxuA//grxA//mdtC//tcyP//rpoE//csgB//rnlA//rstA//araF//fliA//rybA//ogt//rutD//wecE//ydhX//casD//cyaR//asnA//ldtB//rcnA//rseC//grcA//rdoA//mprA//amn//allA//metC//fdhF//uxaB//
PhoP	grcA//pflB//nirC//gapA//dsbA//gspK//fliT//recN//yidQ//ftsZ//fliS//cyoB//gltI//nuoC//gspF//moeA//uvrY//ycjG//cirA//htpG//talA//yegZ//ybfN//napB//ppsA//lysC//hypF//lsrG//glnD//iraM//ssuA//mpaA//gcvA//mraY//infC//soxS//gabD//nupC//zinT//glk//garP//pnp//rcnB//xylA//rbsB//cysB//zinT//nhaR//ascB//galR//paaA//cydB//bdm//mntH//rplU//kdpB//
PrpR	lpxC//yeaD//insK//hyfH//bhsA//
PspF	dapD//entS//ddpX//yafO//hybC//nrfA//patD//
PurR	cas1//icd//murR//rseB//nrfD//mazG//feaR//purL//frdD//rpmI//emrY//puuR//yefM//melB//safA//acrR//dcuS//murC//nusA//gfcA//waaZ//paaF//paaY//eda//idnT//flgK//hcaC//znuA//argI//mpl//sucD//
PutA	wcaB//phoR//
PuuR	gutQ//gadF//fecB//yfdX//ycjX//cpxP//luxS//
QseB	ydcT//recN//wecB//soxR//
RbsR	rhaB//iraM//ssuD//ygaC//purR//araG//paaF//deoB//arsC//
RcdA	nrdE//sdhC//fliF//ebgA//guaB//caiD//hycC//fadJ//yidQ//
RclR	gspM//napD//rnlA//
RcnR	sdhD//ppiD//mngB//
RcsAB	nrfG//pstS//nohA//alkA//crr//purF//cueO//adiC//ssuE//sgrS//ddpB//pgm//wzc//ycgZ//flgD//higA//
RcsB	tynA//cusR//iscA//bglB//ascB//dcuS//lysR//argD//flgD//murD//rffC//trpA//ynjI//glpD//paaI//gfcA//carB//fliD//gudP//tdcA//yjjQ//bolA//argR//agaV//mdtF//
RcsB-BglJ	nrfF//nadB//ftsZ//tynA//mqsR//norV//recF//sodA//hypA//acrD//fabZ//casD//rpoE//ykgO//paaF//dhaR//
RelB	sucA//garP//artI//
RelB-RelE	tynA//sufC//narJ//
RhaR	ndh//evgA//
RhaS	yaiW//torR//speA//ompW//kbp//carB//
Rob	pck//lpd//tisB//yeaD//hcr//gabT//yeiB//fhuB//gcvB//betT//yciE//relE//napA//mscM//envC//mdtA//astC//tsx//acrD//agaB//galK//cysM//ddpA//paaG//sgrS//adhE//
RstA	gyrA//phoQ//rhaR//crr//yafO//gdhA//glpX//oppD//hyfH//metR//
RtcR	ubiC//thiP//
RutR	malY//fadH//ymgA//ariR//phoH//fixB//nikA//sbmC//nirB//ybbW//glcG//uxuA//relE//lacY//gatA//prpB//fabH//
SdiA	ppiA//paaH//tsgA//yjjZ//wzc//
SgrR	yccT//dgcC//nadA//ydfN//lexA//paaZ//gspL//ydfN//wzxE//
SlyA	gltJ//
SoxR	sufB//gspF//ydhX//
SoxS	narK//ybjG//nadA//ahpF//accB//erpA//purM//ssuE//yhiM//rnlB//aroH//glcE//fpr//artI//marB//carA//ppdA//metQ//hcp//glnH//cysB//lpxC//serA//caiE//leuA//stpA//glmY//casC//ttdT//phnN//puuR//tyrA//sufB//ymgC//cdaR//tomB//fur//zinT//rbsC//trpC//
StpA	ydhW//napG//rpmA//tehB//nuoK//ppiD//rnlB//
SutR	gntT//ddpF//ccmC//leuA//atoB//
TdcA	acnB//malG//ssuD//fecE//fau//ftsK//glpB//
TdcR	hipB//nrfA//rseC//dnaN//srlA//icd//glgB//
TorR	astE//oppD//uvrD//moaA//dmsB//hyaD//ftsW//dctA//erpA//paaG//cusC//lacY//
TreR	fdhF//hypA//
TrpR	rbsD//trpD//nanS//leuO//yebG//srlB//lrp//astA//fhuE//dgcN//paaD//yeaH//
TyrR	hipB//potG//gntP//malK//sgbU//ompN//fadL//nikD//emrK//napD//gdhA//aidB//
UhpA	rpmA//
UidR	adiC//atoE//creA//metQ//
UlaR	zntA//ygbA//hybF//entA//betA//narI//mdtA//
UvrY	rnpB//cydD//nac//mtlD//nanM//
UxuR	nrfA//cheA//dacC//gor//yfiR//marR//prpB//malK//yccT//
XapR	csgE//lpd//
XylR	torR//phoE//flgH//galP//yqjI//nrfD//xylA//
YdeO	gadF//purN//gcl//inaA//ssrS//fepB//sucA//agaR//safA//nuoE//mdtA//yeaR//ddpX//betA//yccT//phnI//nrdH//entD//sodB//sdhC//cyoA//
YedW	grcA//oppB//hyfR//gadY//iraM//ykiA//hisP//phoP//atoE//cadA//fhuF//rhaT//
YefM	tsgA//hyfJ//
YefM-YoeB	malK//galP//
YehT	uof//
YeiL	dkgB//
YiaJ	trpL//rnlA//glpD//cynX//mtlD//pheS//fliI//pdeR//ybhL//pagP//
YjjQ	ssuB//ddpB//nuoB//csrC//borD//glnB//ddpF//dnaA//acrZ//deoB//
YpdB	rnlB//
YqhC	cusR//nemR//
YqjI	rbfA//hcaE//
ZntR	glcD//
ZraR	tyrB//entA//fixA//
Zur	dhaL//slt//mazE//seqA//gabD//yhjC//
