#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	pepA//sdhD//
CecR	glmY//zraS//glnL//dinI//adhE//
ChbR	mdtA//yiaJ//paaZ//chbG//dcuS//ssuE//
ComR	carB//
CpxR	glgA//nuoA//qseB//mntH//phnO//mtlD//glpK//araF//gspO//yhbS//purK//fliZ//purK//purA//hemL//glnQ//dpiA//rprA//yciF//glnB//glmU//cysC//cysC//argI//argG//glpK//ulaF//napA//uvrB//znuB//puuD//glnK//gntX//phnI//frc//ssuD//argE//fliL//argT//fruA//guaA//leuA//patA//nrdG//glpX//glpA//hisM//pspA//dsdX//grxD//rbsR//nrdA//nhaR//ascB//prpE//fucK//sroD//csrC//molR_1//glcC//cheW//yaiW//ahpC//cpxR//araJ//agaI//gdhA//potH//idnT//grcA//
Cra	rpmI//fepB//ybjN//yfiR//mqsR//glnQ//ydhY//nuoN//yafQ//gyrA//fau//cpxA//mdtE//cusC//ydfW//fabZ//dgkA//yjeV//acrZ//araE//cydC//aroP//skp//ydcT//ibaG//yefM//tdcB//oxc//dinB//fhuE//mgrB//hcaE//astE//entS//malF//paaF//cpxQ//amn//ygiZ//asr//patD//trpA//fhuE//yiaO//pagP//hyfR//aslB//pspG//tpiA//yjeV//rbsA//metI//prs//rclA//tcyJ//cheW//yhdW//feoC//ampC//glnP//pspA//mhpB//glnL//fabA//agaD//nfsB//fepE//potG//melB//creD//yegR//treC//uspA//purD//aceK//gltJ//fliZ//relB//garR//
CreB	hyfR//hydN//fadD//flgB//lsrR//
CsgD	arsB//evgS//phnD//fhuC//cydD//pnp//obgE//betB//erpA//yccJ//phnG//tktB//ymgC//ydhX//araH//gcvB//cas2//dkgB//yciG//aroH//ydeM//soxR//purB//higB//gltF//lsrG//gadE//zntA//
CsiR	agaI//yegH//borD//sgrT//idnO//
CspA	dhaM//dmsB//
CueR	napA//phoU//sroA//flgA//ydfD//citG//phnL//
CusR	borD//emrK//casC//torC//dhaL//flgH//treC//sroD//dhaL//mntS//marR//wcaB//
CynR	cpxP//truB//fldB//uspA//
CysB	ftsA//atoB//ydhW//pdeL//hydN//malG//amtB//purE//araC//cysG//sbmC//yhjC//sdhC//hycF//ybjG//fadA//pgm//thiP//treB//fadB//mazG//btuB//puuB//qseB//allA//bglG//marB//ynbA//cyaR//artJ//csrC//ymgA//
CytR	rpoS//umuD//mdtD//yjjQ//rutR//oppA//flgB//yhhY//nirB//ddpX//metA//uvrD//norV//
Dan	hycC//flgH//ribA//gspM//
DcuR	uvrB//ybhL//zinT//glpX//pstC//ykgM//malG//narI//aldA//
DeoR	ydjM//cysN//mdtC//argI//htpG//casE//
DhaR	putA//fepE//lsrG//thiQ//
DicA	gcvB//glyA//sfsB//yjbG//tehA//nagB//tauB//bhsA//
DinJ-YafQ	fdnG//alaS//caiC//
DnaA	fecI//ynfG//emrA//hyfR//hycE//galP//znuB//isrC//uvrB//infB//lsrR//leuL//
DpiA	glmU//ptrA//dnaN//ddpD//bioA//fes//srlD//ykgM//lsrG//dinB//leuO//
DsdC	zraP//sgbU//casE//
EbgR	murE//lpd//
EnvR	cyoA//frdD//
EnvY	stpA//tcyP//
EvgA	degP//rstB//torR//rcsA//adhE//chiP//argC//deoC//gatA//argC//dsdX//napB//araA//mlc//ccmG//asnB//grxA//allC//leuD//
ExuR	ccmD//ugpA//seqA//fdnI//glgA//trpR//relE//fnr//glpQ//
FabR	ydbK//csgE//
FadR	garK//prpD//hcp//ttdA//yneM//fecC//znuA//paaF//hybC//phnC//nhaA//bhsA//dpiB//sodA//fucI//pspG//ydeO//hybG//wecC//agaI//epd//thrS//galK//
FeaR	tnaB//ydhU//
FhlA	pgi//allE//yegH//galM//fadJ//potG//malE//purA//hisQ//fdnG//tnaC//hcaB//flgE//metK//exbB//poxB//cpxQ//uxaB//trpA//treB//yibQ//glgA//fadE//molR_1//ulaB//emrK//mdtF//gcvT//appB//ybbW//
FlhDC	ydeN//chbC//lpxC//nhaA//pspC//mazG//ampC//xylA//narL//dgcC//fliM//ddpX//aceE//slt//sdhB//pgaB//glpA//rbsR//yqjH//baeS//phnP//ulaC//ycdZ//rpoS//gfcA//motB//cysI//argD//deoD//sutR//yefM//rbsR//cydB//ssuB//galP//recA//yoaC//zwf//chbF//gatC//yibQ//nirB//argA//ssuD//ycgZ//yfbR//yjjZ//allS//betI//ptsG//yebG//uspD//malI//moaC//xylH//lpxD//rbsD//fliN//ybfE//rbsB//ugpC//paaD//narJ//pflB//uspE//cysC//feaR//rstB//cpxQ//kbp//hyaA//pyrC//ssuD//entC//lacA//nirD//frdB//yneM//malP//astA//ascB//yeiL//
FliZ	tsgA//cysU//yfiB//nrdG//accB//argB//melR//moaA//gntK//potF//hha//kbaY//pyrD//cra//accA//dsrA//hyaF//zraR//fimB//cysN//dps//
FucR	yhiM//tomB//ldtC//araD//malE//mqsA//truB//
Fur	fadB//nuoJ//mdh//puuR//nrdI//ompN//gutQ//ogt//phoA//tauC//yfiR//cheA//tisB//ftsK//ptsG//yhdY//argI//fliF//flgE//mazG//yhjX//napB//manZ//yhiD//sutR//micF//lsrA//hisM//glcE//patD//narL//paaK//gltL//hycD//fepC//ccmF//uvrY//cysG//kdpB//focA//ung//glgA//aslB//nfsB//mhpB//purM//exbB//gadC//fepG//fadE//hybF//atoB//flhD//cydC//speB//dsdC//gpmM//yjeV//ygiZ//ybdZ//chbR//hcaF//aceK//gabD//relE//wzc//ulaD//mioC//frdA//yqjH//ebgA//entD//fucA//ccmF//glxR//glnQ//prpR//rsmH//ppdB//glmY//cysU//sroA//allE//yrbL//hyfA//nanA//mngR//pspD//pstA//nikR//glnG//lysA//tfaQ//gltB//flgA//gapA//hokE//hflD//phnJ//nrdF//hipA//moaA//cra//nohA//ppiD//mgtA//fliQ//mscM//gatB//fadJ//ybdZ//ygbA//fliT//icd//caiE//norV//yjhC//feoA//ydhW//cdd//gloA//glpB//arsB//metQ//yjbF//accC//fliF//ybiT//ppiA//yecR//
GadE	ampC//safA//cydC//ccmA//aceA//nadA//hyaA//srlR//ymiA//wzxE//nimT//arsC//yiaO//umuC//hyi//gntU//gntU//cyaR//paaJ//mtlR//hybG//hyfJ//relB//hmp//gadB//serA//fadH//ubiC//napD//
GadE-RcsB	sodB//phoQ//ybhS//ydjM//higB//fruA//ptsI//deoB//sufB//
GadW	yqjH//thrS//uxuA//cyoA//ihfA//marB//ftsZ//nikR//aceF//glnD//mtlR//qseC//purL//ybaT//nuoA//
GadX	gcvP//hcr//ydhX//dcuS//dinI//gspD//ndh//nac//gntU//lysO//patA//dhaK//puuR//cas1//frdD//btuB//insK//yneM//yagK//rhaB//pflB//ddpX//pqiA//fecA//pyrD//dmsD//kdpC//phr//xapB//
GalR	soxS//argH//cysD//cytR//dpiB//glnB//prpD//phoU//glgB//nrdE//
GalS	fumC//tyrR//uvrY//cspD//rplU//malZ//fliQ//rutR//modC//ung//
GatR	ydiV//alkB//rplT//tcyP//ccmH//gcvH//
GcvA	mdtB//gspO//fhlA//srlE//rutE//
GlcC	pdeH//hflD//malE//mngB//cysA//cysC//tyrA//
GlpR	tolC//sgbU//cueO//alsA//uxuA//yeaG//araD//yhdY//tdcD//
GlrR	bamE//fliT//hybG//yiiS//ompT//
GntR	metE//cyoC//pdeH//pgaB//ymgC//treR//ydiU//cvpA//artM//mhpE//tfaQ//eda//
GutM	cyoA//wecE//iscR//ulaE//zntA//norV//moeA//
GutR	fpr//osmB//mipA//tonB//ssb//oppC//glpT//
HU	purD//ppiA//malI//dcuD//ycjG//mltF//fbaB//nohA//tyrA//
HcaR	ymiA//patA//citE//feoA//lacZ//yhbE//
HdfR	xapB//gspG//aroL//yeaG//cadA//
HigA	napA//phnE_1//
HigB-HigA	gspL//narK//
HipAB	potI//murI//ulaA//mhpE//degP//
HipB	sgbU//pspD//motA//feoA//casB//paaK//
HyfR	rpsO//artM//xapB//flgH//ubiX//ymgC//ddpA//glpD//dinJ//mhpE//pck//fecC//
HypT	osmB//lhgO//glpX//rseA//malY//cdaR//uvrC//cynS//ftnA//hycA//lhgO//prpB//paaH//
IclR	aroM//hybC//ycjG//agaB//
IdnR	alsE//rbsR//nikB//yhdY//rhaA//ampC//gudX//
IlvY	gabP//bglG//
IscR	yidQ//pnuC//exuT//hokE//trpE//cyoA//fadM//yhjX//moeB//lsrK//nfuA//thiP//rpmA//recD//fldA//ybhR//ykgO//yegZ//ddlB//pagP//gltJ//omrA//yjiY//phnN//zinT//accB//umuC//lacY//ebgC//dhaM//fiu//cysN//
KdgR	acrB//yoaG//
KdpE	ascF//murF//chbC//iclR//
LacI	dsbG//nanT//yjbE//
LeuO	betT//bglG//mtlA//psiF//ibaG//cbl//osmY//dmsC//hlyE//aceB//dicB//nmpC//ccmE//galM//ytfE//lysA//pepD//wcaB//prpD//lysC//
LexA	fucA//garP//glpD//aroH//ompT//phoU//nrdH//wrbA//wza//creB//ycjY//norW//rcsA//folA//nemR//metN//agaB//gntP//deoD//malK//nuoG//ttdR//uidA//sgbU//mhpD//sgrS//znuA//ydhW//narX//pheS//znuA//fliC//mazE//tnaA//deoB//murR//glyA//rtcA//melA//ybaS//yecR//mtlA//fliP//metF//asr//cyoC//nuoN//nrfC//flhC//ygbA//fliH//hyaA//ulaC//malX//ynjI//qseC//moaC//dcuS//leuC//
LldR	melB//rclA//tauA//
LrhA	yidL//torR//arsC//nanA//
LsrR	ygaC//fecR//mdh//zinT//ompN//tsr//tauD//yidL//ybdZ//
LysR	glnQ//ndh//
MalI	entA//aroH//hydN//
MalT	sufC//ppdC//wrbA//evgA//uidC//sfsB//ubiX//tyrR//recX//cydA//
MarA	rhaD//ulaE//pheT//nhaA//nrdA//allS//ilvC//pfkA//artM//fepD//hemL//lsrF//bioC//mnmG//hypE//lysC//ung//ppiA//caiT//paaI//iscS//aroH//fixX//entF//yiaM//paaZ//fixA//nadA//flgJ//nohA//moeB//fecA//dhaM//ccmF//mdtE//tyrR//nuoN//gnd//
MarR	rutB//trpC//mhpC//
MatA	amn//adiC//frdA//ugpC//sgrR//glpT//fucK//tehA//
MazE	paaG//pnuC//cysB//
MazE-MazF	slp//fliS//phoU//
McbR	uidC//gcl//modA//glcE//
MelR	rhaA//pykF//ugpE//
MetJ	qseB//fldB//cas1//envC//pstS//ssb//yjbG//cadA//csrB//hybF//iraM//relE//mtlA//ydbK//emrA//
MetR	yafQ//lacA//mgtL//allA//cytR//
MhpR	psd//dkgA//crl//mdtD//dinI//nrdG//
Mlc	yjbG//astD//flgB//nrdB//bioC//hipA//rutG//hyfD//gspL//hcaF//
MlrA	agaI//glpK//cysD//rutC//sufS//codB//ugpE//aroG//ybhL//recN//
MngR	murI//ybhF//ptsG//
MntR	yfdE//hdeA//carA//gadB//rfe//
ModE	appC//gatB//pspD//fhuF//deoC//napC//fhuB//znuC//ydcT//fecC//ynbD//argP//ymgC//gpmA//iscU//yibQ//gudX//gpmA//uxuB//wzzE//metY//wcaB//soxS//phoH//gltK//fucK//aceA//lsrD//potI//deoC//fur//fruA//phoP//gabD//fdhF//mnmG//hha//ptsG//rybB//metH//lpd//recB//ompW//rbsC//ibaG//yhdY//
MprA	casD//napG//erpA//purB//fbaA//cueO//
MqsA	ddpA//torR//ompC//yhhY//hyfF//manX//araG//sdhD//
MraZ	araD//yiiS//serA//pspB//lamB//rnlA//cdaR//sroC//citE//dacC//nrfE//nac//fldB//nfo//dsrA//lldD//agaB//
MtlR	araJ//pgaD//ecpR//
MurR	gltK//accB//fliN//
Nac	flgF//setA//trpL//thrS//gpmM//nikA//ftnA//omrB//ftsW//ddpC//bioD//ung//efeU_2//tdcC//ftnA//uspA//malX//cusS//zraR//malY//ydeI//
NadR	galE//fliG//paaA//hisJ//
NagC	iclR//hyfC//glyA//ybbY//glnL//gspI//rstB//yjbG//metR//atoE//rcnB//fliS//phnO//yebE//glnK//fruA//murR//ilvY//deoD//yjiY//feoC//lacY//slyB//nrfD//cecR//rbsR//cspD//folE//efeU_2//dpiA//fadA//ulaB//araH//iscA//sdhC//nuoF//lldD//
NanR	rpmA//gltI//lsrR//flgJ//yegH//tnaB//glgX//ubiA//mhpB//rybA//fhlA//
NarL	pnp//idnK//cysD//cynS//serA//rcnR//nuoF//sodA//mscM//flgA//srlB//flhA//ugpA//ada//flgB//nirB//melR//stpA//hycG//infB//rutG//guaB//pgaD//ugpQ//sbcC//glmY//fepA//iscS//tehA//wecB//araH//nuoC//lpd//tonB//ccmE//gspD//sulA//mhpD//purK//rutC//phnN//ttdA//nrfG//rpsO//alaC//ftsQ//metE//xapB//crr//argD//rbsA//nac//polA//pnuC//citX//modC//sucC//envC//rsmH//cspD//nrfC//potI//tynA//pgaD//lpd//alaC//sufB//rpsU//yegR//fliF//flhE//alsA//glmY//ygiA//dsbG//hybB//acrR//flhA//ptsI//xylB//fhuA//rplU//cusC//sdhA//rimP//astC//yebE//metF//cynS//rpoD//oxc//glyA//ygaC//chbA//fecC//ynjI//gltF//mhpD//ynbB//emrB//lexA//ybaS//caiB//metY//fepG//rpmA//amn//ydeN//chbR//oxyR//ruvB//nagC//mglA//soxS//eno//ymgC//lpxD//cbl//yjeV//yjjQ//gatA//asnC//pepA//
NarP	hycB//eda//fadI//purA//araA//fliS//narX//nagE//cysE//ydcS//nrfD//hcaR//cusC//emrK//fliP//trpE//malG//ryhB//pgpC//ppiD//fliJ//glnB//astA//lamB//atoA//entH//deoA//oppB//lldD//dnaN//tyrB//glcD//nrdI//yiaO//rpsU//glxR//oppC//cpxR//accA//ddpD//ribA//yhjA//gspJ//nrdE//ybhF//truB//caiB//dhaR//csgE//napG//
NemR	srlD//ndh//hokE//
NhaR	putA//metB//lacA//emrA//rhaR//mhpT//mngB//
NikR	phoH//paaX//asr//oppA//nfsB//gudD//
NimR	murI//pheT//
NorR	hyfB//ycjF//nirB//
NrdR	srlR//hyaA//sgbE//mtlR//hypD//metY//yiaO//ynbD//prpE//
NsrR	fdnI//accB//glpT//cynS//allC//amtB//rseA//glmU//argD//mglC//metB//pflB//cynR//moeA//yiaO//ulaC//ftsI//arsC//aldA//yjhC//ccmH//phoP//agaS//bglF//atoA//evgA//intQ//pspD//uof//yhbE//gntT//phoH//glnD//emrY//agaA//mngB//dinB//fixC//hypD//rybB//frdC//hycB//araG//gfcA//nuoI//nuoH//ugpC//cheW//accC//cysG//insD//tsx//dcuB//sdhB//agaW//yneM//ydfH//pncB//yfaE//rpoH//zinT//kbaY//fliC//glnD//moaA//fabZ//metK//soxS//icd//lrp//agaW//prs//wecB//tyrP//gcvP//ybhS//prpR//ftnB//tdcE//purH//dcuS//pheT//mdtB//
NtrC	appB//ycjG//purE//gabT//glxR//wzc//lsrR//agaC//lacA//fliE//yjbG//sodB//gspK//rpiB//fliQ//kbaY//yecR//gltK//marB//rpmA//phoH//rob//tauC//ydeP//ycjY//hybF//dctR//mazG//kdpB//gspK//mhpB//nrfC//metK//ptsH//hycC//ftsL//flgD//fliN//flgJ//umuC//fadD//rhaS//fadM//nfsA//dgcZ//nfuA//malM//caiD//dmsC//
OmpR	flgE//oppA//fhlA//yciE//yidL//yecR//glpQ//soxR//yiaO//gnd//tyrB//ddpD//leuO//ppdB//cysU//cyoB//ilvY//icd//hybG//infB//recN//
OxyR	dsdC//frdD//ldtD//trxC//bioC//pqiB//caiC//ibaG//fliC//fadB//uxuR//fliR//aspC//frdC//mscM//fucA//yeaD//yegR//slp//ydbD//cusC//nhaR//ecnB//tyrA//malM//exuR//srlB//fucO//ynbB//betT//yqhD//hyaB//nrfE//trxC//
PaaX	seqA//flgA//fixA//ecpA//yhhY//pspD//lexA//nikA//argC//rnlA//alsA//cysA//moeA//fecD//
PdeL	gfcA//
PdhR	evgS//hyfI//uspE//rstA//gltB//atoB//ydeM//yncE//pfkA//ung//pspD//lsrR//xylF//psd//cdd//ydhT//mtlA//lsrK//yhiM//trpD//rstA//rffC//artJ//ccmE//yaiA//relE//arsR//adhE//dnaN//argB//rhaA//cysC//yiaM//nikB//murQ//fhuD//yjhC//higA//cyoD//fruA//ydiV//
PepA	sroD//uvrD//ssb//
PgrR	aldA//rpsO//potI//gatA//sufB//ccmC//tnaA//fliI//
PhoB	carA//patA//fimE//leuL//ruvA//tauA//ldtB//yidL//lldD//slyB//ftsA//gadC//iraP//garL//csgA//ddpD//recX//mtr//ptrA//ccmH//phoE//ahpC//nrfE//ppsA//cirA//cyoA//ycjF//phnM//pfkA//relA//paaE//pspC//recB//ycgZ//ulaB//aceE//nimR//gapA//fimE//sdhB//ascB//metA//arsB//evgA//idnD//gpmA//cusC//dsbA//hyi//atoA//xylF//nmpC//nrdG//pdeR//yjhC//yiiS//hyfD//dgcN//lpxC//ybdN//
PhoP	flgJ//nemA//dgcZ//frdD//galT//fucA//cysA//ygiC//manZ//patD//malF//ascB//malZ//caiB//cyaR//phoH//rbsD//uof//ycdZ//dhaM//ydbD//cheW//borD//mpl//norR//nuoF//uspE//gatZ//ydhX//ttdA//ecnB//malE//yiaM//nusA//caiB//sfsB//mglC//leuB//ebgC//fucI//agaW//nanK//leuL//fabH//ddlB//recX//cheA//tnaC//yfdX//rpoH//purA//paaK//lacA//glpF//hyfJ//murC//
PrpR	hyfA//cyoB//yfiR//hybO//fadL//
PspF	fadM//csrC//kbp//yafO//katG//wcaA//nuoA//
PurR	idnR//mntH//setA//fliN//mdtA//ddpD//cyaR//pyrD//tsx//cspI//galS//nikD//paaZ//fecC//argR//ygdB//glcF//allA//argB//xapB//tauD//oppD//cynR//fhuF//pspF//rstA//amtB//ynfG//recF//accB//ybdN//
PutA	ydbK//fdhF//
PuuR	nuoB//asnB//tnaB//cysU//alsB//ybjC//dctR//
QseB	uxaA//acrB//glxK//napD//
RbsR	gspC//yrbL//lpxC//dicB//phnJ//rutA//narJ//glpD//phnC//
RcdA	mdtE//phoP//speB//marB//xylR//paaK//fbaA//yciG//slyB//
RclR	dkgA//alsE//ilvC//
RcnR	melB//oxyR//gatY//
RcsAB	ptsI//nikA//mdtC//sufE//fdnH//gcl//degP//sucC//yhdZ//ulaB//leuA//yhdX//setA//fadL//cho//fliS//
RcsB	gadY//cpxR//cysJ//rutA//fadD//malM//sra//intQ//gntT//oppA//hlyE//tdcC//ulaD//fliO//ydjM//hyaD//gspM//pdeL//thiP//mqsA//cusR//idnT//nanK//hypD//yhiD//
RcsB-BglJ	lhgO//bioF//ybjC//yiiS//cvpA//zraS//fiu//nrfE//chbB//hyaA//tdcF//uof//tbpA//yjbE//ydfH//uspA//
RelB	gspF//hyaE//lsrB//
RelB-RelE	ybjN//ldtD//polB//
RhaR	cpxR//pstC//
RhaS	yciX//nupC//cadA//tauD//rbsK//yiaL//
Rob	rimP//hcaD//cdaR//malE//nikE//xylG//nagB//gatA//dhaL//oppC//glcE//omrA//uspE//creD//hyfI//yecR//moaD//bioA//glgB//fhuB//slp//yegR//galR//pspE//potH//artQ//
RstA	cysN//nanE//bdcA//phnI//mdtC//gltB//argA//rtcA//uvrY//metA//
RtcR	fadI//ulaB//
RutR	katE//hcaD//allA//mlc//setA//yecR//fecR//agaS//rutA//rffG//gspL//infB//ymiA//ycjG//rybB//yoeB//gspF//
SdiA	agaD//yfiB//nikD//pqiA//cyoA//
SgrR	osmC//dtpA//rseC//znuB//mzrA//pheT//pheT//nadB//mipA//
SlyA	ydhY//
SoxR	dinB//yedX//nupG//
SoxS	ssb//nagE//ybjN//prpC//fepE//mlc//hdeD//ynjI//seqA//nuoC//glmY//cytR//bluF//hemH//gspJ//gltL//tonB//atoE//lsrB//argR//cysJ//flgL//yrbL//hyfC//mazE//yqhD//fliE//fucI//pspD//kbaZ//ryhB//hdeD//xylF//accB//yneM//ybjC//feaB//gntK//modC//argH//
StpA	emrK//glnA//pck//cho//asnC//sbmA//copA//
SutR	stpA//hypD//agaC//tktB//nuoC//
TdcA	ydbD//uspE//galK//uidR//yncE//nuoL//hypA//
TdcR	ariR//rybB//yciX//ftsL//alaS//slt//nrfD//
TorR	glpX//hcr//gcvT//gatY//yhjA//yhcH//csgG//rutG//nanM//cpxP//ydcT//nikR//
TreR	hyfF//fumC//
TrpR	mraY//stpA//csrB//fliI//puuC//csgG//fliM//fliI//pitB//fecI//ycjX//hyfI//
TyrR	yfbR//rbsA//fliE//lon//gcvP//uvrY//nirB//rimP//fhuD//iclR//flhB//appB//
UhpA	gloA//
UidR	potH//ppiA//katG//mngR//
UlaR	ptsI//fldB//idnD//tauB//yfaE//rutD//hdeB//
UvrY	rcnA//gspL//higB//ynfH//guaB//
UxuR	ttdB//cadB//ynfG//glpC//torR//nikB//modA//pqiA//agaB//
XapR	hypD//hisP//
XylR	fliM//fur//ycjG//decR//paaZ//gspF//chbC//
YdeO	pyrC//qseB//norV//rplU//phnK//mnmG//sra//nhaR//ynbA//katE//potI//rutA//cusB//ydcS//manZ//hypA//hns//fldB//tauC//ppdA//uxuR//
YedW	higB//ebgC//sra//paaF//ompC//atoB//araH//fabB//fliK//pncB//rbsK//phr//
YefM	yidQ//cydB//
YefM-YoeB	fau//paaG//
YehT	nanA//
YeiL	malF//
YiaJ	acnA//prpE//psd//ydeO//nrfB//glnB//adhE//lamB//ppiA//ychF//
YjjQ	atoE//ppiD//ldtB//ulaF//fliG//fliR//nupG//feaR//hlyE//phoR//
YpdB	rclA//
YqhC	ycgR//gyrA//
YqjI	paaD//ybfE//
ZntR	csrB//
ZraR	tnaA//ydjM//phoR//
Zur	ygiZ//hyaD//purA//ulaG//lldR//fliR//
