#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	acrA//nrfE//
CaiF	rhaB//dcuR//hyfF//fhuC//lldD//yeaE//lexA//hypE//uhpT//hcaR//
Cbl	intQ//dpiA//gnd//ygeA//fruA//dmsD//omrB//metQ//ilvC//
CdaR	efeU_2//rplT//hybB//mpl//nrfA//cheW//fabB//nikR//ahpF//tauD//
CecR	gadA//sucB//gntK//ybfN//acrD//
ChbR	rnpB//asnC//sbcC//nemA//ascB//yciW//
ComR	gspO//
CpxR	modA//glnP//ilvC//yegZ//bhsA//gutQ//fldB//xylH//lldP//dinF//araE//csgB//hybB//tpiA//symE//allB//recB//tauB//yqhD//oppC//ytfE//ynfK//hybO//yhdW//cusA//rybA//metH//dctR//csgC//rtcB//yhdY//hyfG//hemH//bioB//lpd//ppiD//cysA//stpA//uvrY//pgaD//ttdA//dcuR//fhuA//astA//zwf//ynfH//prpB//tyrA//mdtE//dinJ//ygeA//arsC//alsA//ugpC//glxK//cas2//ycgZ//lyxK//flgG//ybjG//hybC//fumC//tyrB//grxA//hcaR//ydhU//kdpF//melB//dnaG//nuoH//
Cra	araF//potF//hyaE//dmsD//bacA//hycH//rsmH//mgrB//gfcA//aceK//glgB//aceE//mepH//exuR//gadY//iraP//gadF//mngA//araJ//dapD//dkgB//fucK//murQ//dgcZ//malZ//malX//rutF//hypA//ubiA//lpxD//trpE//cynX//hybG//hcaD//hyaC//glcD//agaD//infB//rtcA//phnP//gabT//glxK//fecE//tsr//paaX//ryhB//tdcB//sdhA//uidR//nhaA//purC//nuoH//infC//murE//uidC//alaC//yccJ//sucB//pheM//garR//exuT//ulaC//chiP//entE//murG//yecT//argH//nuoG//tnaC//cusS//dapB//agaD//uof//hyfA//paaZ//modC//dhaR//aceF//fucP//
CreB	artQ//manZ//fldA//csgG//ydjM//
CsgD	malF//rclC//casC//yhiM//nuoC//hypA//rseB//rpoH//yhiM//napB//feoC//cspD//ppiA//potF//fliN//relE//lpxA//ttdR//glxR//malM//gadE//symE//aceK//napF//asnA//paaE//yafQ//gatC//
CsiR	ttdR//tynA//cysJ//hybF//crl//
CspA	fliA//leuC//
CueR	gspM//hycD//uspE//dtpA//ybhG//ddpA//ftnB//
CusR	prpC//fepC//rybB//zwf//rcnA//caiE//metA//feaR//garL//malP//glnB//mntS//
CynR	rffC//relE//hns//obgE//
CysB	pykF//tauD//hyfE//lsrF//rfe//glmY//dmsB//yagK//rhaD//cirA//hyfA//ibaG//citF//araA//ydiU//nrdA//hybC//lpxD//feaR//fldB//fhuC//rclB//fixX//argO//bolA//araD//rhaB//ydcT//yeaR//dinI//ynfF//flgN//
CytR	galK//hcaF//araC//nikC//flhC//phnF//moaD//flhD//rffC//trpR//nohA//ydfN//epd//
Dan	bluF//ynfF//btuB//yeaH//
DcuR	glgC//rhaS//puuB//sgrT//sbmC//rpsU//fepA//uxaA//malF//
DeoR	fabH//sucB//uvrB//hycC//flhB//gnd//
DhaR	phnM//idnT//gcvB//glpX//
DicA	sroD//phnC//yeaG//rseC//gatZ//oxc//fadH//artI//
DinJ-YafQ	gatY//ydfX//cueO//
DnaA	mepH//chbC//cirA//pgpC//nadA//fbaA//gspD//potG//nfuA//ydbK//pflB//ygbA//
DpiA	ecpR//fucK//zraS//narH//dinQ//cysB//dkgA//yafO//csgC//mqsA//grxA//
DsdC	araD//rpoH//potG//
EbgR	ydeO//melB//
EnvR	ecnB//manX//
EnvY	cysD//nimR//
EvgA	osmB//pstB//ybfN//yiaM//lacY//trpC//fliG//asnA//ddlB//ftsL//uidR//fecC//csgA//psd//fdnG//hdeA//eno//glmU//pykF//
ExuR	ssuC//phoB//amn//malQ//lsrG//gspE//znuB//mngA//yjeV//
FabR	lsrC//trpD//
FadR	bdcA//cra//flgK//rbsR//nuoC//paaF//pheS//atoD//umuD//rhaB//mgrB//glcG//yafQ//nimT//patA//pstC//glxR//cusC//mpaA//pdeR//yciF//uidB//fadE//
FeaR	hdeD//cyoD//
FhlA	waaZ//ynfE//caiB//nohA//recF//mhpF//iclR//glmS//caiT//narX//aceB//aidB//nirD//csgE//glgP//mgrB//pspE//soxS//rhaT//moeB//fadA//nupG//uxuA//dhaM//uspE//chbC//gadA//ydjM//phnK//ybdZ//
FlhDC	thiQ//artM//betI//hypA//fliZ//glnD//pncB//entF//dhaK//narL//ldtC//artJ//fliM//casD//fnr//astC//ulaD//paaH//caiE//narK//gudD//ydfH//nuoF//yafN//frdD//rbsB//malY//dsdC//paaC//artM//malS//lon//pepD//yccT//mlc//citD//inaA//nrfB//pspG//lon//yciX//uxaA//metN//ydfD//hipA//dps//hydN//glgP//yqjI//nikE//agaV//srlD//nikA//accC//astB//fruA//rcnA//hisQ//prpB//argA//ampC//tyrB//tdcB//dinI//cynX//pitB//marB//ssuC//gspO//ccmC//yqhD//sulA//rprA//yoaC//dinF//ydeN//galK//fabH//carB//fadI//murC//hokD//
FliZ	htpG//hycH//metE//yeiL//mglB//gspE//yidL//moeB//mdtD//cheW//glnD//dcuA//rpsO//fliS//accA//aspA//gntT//kdpF//flgK//galP//tauD//
FucR	caiD//hisM//adhE//rtcB//hyi//dapB//yqjH//
Fur	yciX//galM//tcyJ//mtr//ptsH//alsE//hybG//uspE//pspC//ymjD//lolA//umpH//entE//motB//aidB//paaC//fadD//sulA//uvrA//accD//glpA//mpl//phnP//entC//tisB//flhA//ynfG//murG//focB//pyrD//sdhB//fnr//pyrC//pfkA//csgB//lamB//wecB//rseB//mntP//fucP//kdpF//recX//yhbT//yeiB//erpA//tadA//acrA//eno//nuoK//acrR//sgrT//galS//micF//lldD//hipB//dhaL//decR//lyxK//glcB//sra//ftsA//leuA//phr//xylR//nuoK//serA//dkgA//torA//hyfF//gcvA//fau//tnaB//agaC//cas2//dcuA//gfcA//mipA//napD//phoP//garK//pspG//yoaG//ynfF//pyrD//nrfG//sufA//frc//relB//gpmM//xylF//nhaA//grxD//hypE//agaB//hemL//phnP//fbaB//molR_1//cyoC//cyoA//metN//yjhB//hcaB//zraR//ssb//cusR//tyrA//alsE//atoE//narJ//purF//dhaM//ydeM//yciE//ygeH//flgI//gspF//ygiC//alkA//ptsH//nanT//phr//mtlR//dnaA//ecpA//paaH//ftsL//dinJ//rclC//nrdE//
GadE	rutC//nrfB//sgbU//fixC//tdcA//agaI//ulaA//cysM//nuoE//purD//lpxA//metY//paaK//purN//cho//aroM//caiE//fliG//aroF//fucU//emrK//grxD//glmS//murG//hyfE//deoC//acrD//tisB//ccmA//
GadE-RcsB	sufD//leuD//ahpF//zinT//fiu//gspF//gspF//agaI//pyrC//
GadW	ppdA//yhdZ//rutG//cbl//ynfH//trpA//dctR//zwf//mgtL//lexA//ssb//dsdC//araC//ydeN//puuD//
GadX	nrdA//pnp//yegR//dmsC//yefM//allD//gadC//phnE_2//crr//stpA//chbA//ybbY//tsgA//gyrA//ugpB//pheM//caiA//ynfK//yqaE//kbp//hybG//agaV//ogt//focA//lolA//ebgC//lsrB//rutR//psiE//
GalR	hns//dgcZ//gntK//nrdI//moaC//katG//rstA//yjjQ//molR_1//puuR//
GalS	gyrA//casD//tdcF//gcvA//purC//rffC//frdD//garK//hyaC//treR//
GatR	aroH//lgoR//nirD//phoB//psiF//nrfA//
GcvA	feaB//ugpQ//cueO//phnO//accA//
GlcC	lyxK//deoA//paaJ//ytfE//slt//ygiZ//fliS//
GlpR	fepB//fadJ//ssuE//sfsB//ecpR//fiu//relE//mraZ//glnL//
GlrR	entB//yqhD//pstC//yhjC//tehA//
GntR	cyoE//pgaB//puuB//fumC//thiQ//yciF//arsB//yhbT//tdcA//ruvB//wecB//ccmC//
GutM	fucI//sufE//carA//gspI//metE//gadF//degP//
GutR	yeaD//hcaE//ycgZ//rstB//cynS//alkB//yhbT//
HU	glgC//rhaT//ydhW//yegZ//ycjF//nuoC//fhuD//degP//bacA//
HcaR	ecpA//fliT//bglF//prs//fliA//iclR//
HdfR	yjiY//cheW//yhiD//glpA//rhaB//
HigA	ynjI//katE//
HigB-HigA	yneM//chbF//
HipAB	pspA//cpxQ//ydcV//rseC//dinF//
HipB	ompT//yqjA//rbsK//ssuA//uxaC//dgcZ//
HyfR	malZ//sroA//zinT//yccT//kdpC//atoE//bglJ//ymjC//garL//hybO//treB//crp//
HypT	copA//cysP//omrA//gltB//dmsC//modC//casD//gadC//puuA//glcB//murG//flhD//mhpD//
IclR	narK//leuD//phnE_2//wecE//
IdnR	cusC//ddpA//malE//yfdX//yjhC//moaB//cynS//
IlvY	omrB//yneM//
IscR	uspA//gutQ//leuL//prs//yjhB//ampC//yqaE//cas1//wzyE//ahpF//baeS//dmsA//entA//uvrY//gltB//paaD//argH//yecR//decR//sdhB//aroF//kbp//dinG//accD//rnpB//rtcB//ydjM//srlA//pgaC//narK//hypF//dnaA//
KdgR	dapB//hycI//
KdpE	lrp//astE//asr//tdcB//
LacI	rimK//fecD//rybA//
LeuO	murD//bioF//rhaR//glnH//hcaR//ddlB//soxR//hycI//fecE//carA//dhaM//chbR//phnE_1//purK//sgbH//metF//ybfN//kdpF//fadI//ogt//
LexA	yqjA//flgI//cadC//leuO//moaD//hemH//ddpD//ydeP//gspO//yciE//pheM//metE//yhdX//fabB//rpmA//uvrD//grxA//fadR//ydeP//fiu//yncE//gspH//arsR//mazE//mtr//ydeP//fliJ//pyrC//nrdG//dtpA//cpxR//mdtB//wzb//phoP//murG//sbmC//osmY//dkgA//cspE//artJ//uidC//fbaA//gltI//hybA//phoQ//fecC//yiaJ//yiaO//yfiB//paaA//appC//bdm//ompC//higA//nac//dps//umuD//fliF//hcaC//
LldR	tdcC//metQ//pheM//
LrhA	mdtA//yccJ//fucR//glgB//
LsrR	citE//wecC//fdnH//fucI//dsbC//uvrB//dsbG//recN//torA//
LysR	xapA//rutC//
MalI	fepG//yqhG//dhaM//
MalT	yhdW//gltF//nrfC//hybE//trpB//glmY//waaY//uxuR//fnr//luxS//
MarA	narG//gabP//kdpF//puuA//narK//rimP//cytR//ascB//serA//rbsA//thiP//soxR//napG//puuE//dsbA//dinG//glxR//nirD//entB//garL//gyrA//ygiZ//ycgZ//aldA//pagP//araH//agaC//glgP//cydC//marA//gutQ//rbsD//nagC//asr//ychF//gspL//yrbL//malQ//
MarR	narJ//emrK//yidL//
MatA	atoA//narG//gadY//rtcA//yafP//nimR//exuT//murG//
MazE	tdcF//mdtB//ymgC//
MazE-MazF	dsdC//narJ//glnH//
McbR	glcB//glnD//gspG//psiE//
MelR	yjbG//fhuC//ydeI//
MetJ	tnaC//hybE//yrbL//znuC//nanM//sdhD//fruB//malY//emrB//fes//yhdW//allE//galP//mntS//tehA//
MetR	hcp//artM//bhsA//galK//ppc//
MhpR	leuL//puuC//uxaB//ddpF//emrK//ccmA//
Mlc	kbp//nikR//pspG//appX//oppD//dhaR//lyxK//yciW//torA//serA//
MlrA	dcuD//pspG//ugpA//iscR//mlc//tktB//argA//araE//tehB//polB//
MngR	cusC//baeS//trxC//
MntR	mnmG//ruvA//mraY//tdcB//napD//
ModE	fucA//micF//lrp//lsrK//rbsA//argH//phnE_2//yciX//wecB//gadX//pgpC//fecR//murR//ftsQ//hcaB//tauC//appA//arsR//yecT//rstB//argP//argR//hyfJ//dnaG//mltF//manX//glcG//dctA//gapA//glpQ//ynbD//bdcA//nfo//rnlA//yecT//malF//agaI//murC//tpiA//napD//cho//rtcB//recC//metQ//phnN//ompW//
MprA	tdcD//add//hflD//nupC//znuB//cysI//
MqsA	alkB//flgK//carB//gadB//gabD//leuO//ycgZ//yncE//
MraZ	ydfW//aceB//argA//oxc//icd//chbB//iraM//uxaB//napB//yhdX//hdeB//phnP//ahpC//glyA//pck//mgtA//yjjZ//
MtlR	mtlA//ttdR//leuC//
MurR	fepD//hypB//pdeR//
Nac	rhaD//moaB//hybC//zntA//metR//flgB//nikR//ppdC//asnB//phnE_2//entC//htpG//gspG//dnaG//ccmF//argD//gspO//gudX//rarA//pdeH//iraM//
NadR	ydeM//glgX//caiD//bamE//
NagC	zwf//mlrA//ycdZ//accB//aroL//rnpB//fumB//flgA//fadA//bioC//puuC//sdhA//csiD//rhaT//hyfA//lysP//ulaC//pgaB//nuoF//fumB//yhjA//gspK//ybjN//kdpB//manZ//asnB//puuE//fes//hypC//alkB//agaV//mtlR//ydeO//flgH//hipA//cheA//rffT//
NanR	fliS//uidA//pgaC//araD//dmsC//nrdA//gapA//phnH//fliQ//ulaF//gspM//
NarL	metR//gspK//hcaC//ydhT//oppB//tsr//gntK//csgG//ybbY//yiaK//gapA//evgA//xylG//trpA//zinT//ryhB//fliI//hybB//nemR//ydfN//nirB//slyB//fepD//ybiT//fumB//emrA//artI//phnH//gadA//nikR//yfdE//yfiR//argC//entA//dicB//lsrA//leuA//borD//oxyR//sgbE//ppdB//gltB//yebG//astA//bacA//yqjA//fabI//spy//hlyE//uidA//ydcT//paaY//gspL//dnaN//cysI//ldtD//hydN//adiA//mgtA//ftsQ//hcaB//fadJ//yncE//tdcA//aroP//purL//ydeM//nimT//tyrR//recC//nemR//fhuF//gutM//entC//ygeH//grcA//dcuS//atoE//ilvC//uof//lsrK//cspD//dkgB//argA//gadA//edd//fhuB//nac//yaiA//ydhV//nemR//mglA//hokD//fhuA//pdeR//wzxE//tfaQ//ycjY//recB//csrB//tyrA//gspG//uspA//cdd//nuoN//lexA//glpT//yccJ//yjjQ//fur//sdhC//idnD//xylA//bglG//yneM//rutG//narL//prpD//mdtC//ybjG//alsB//ada//sgrT//
NarP	idnR//yjeV//idnR//dinF//glnB//fpr//dsbG//cspD//lyxK//ynfK//uxaB//nrfB//hcaD//cpxP//pspC//hokE//mhpA//gapA//mdtB//modB//artJ//dkgB//rhaS//psiF//nrdA//hcp//malY//flgB//hycC//ftnA//mprA//mtlR//glcE//fur//pspA//cyoD//entB//xylG//recA//yqaE//ndh//ttdB//ynbA//moeB//luxS//ybdZ//fliC//pgaC//rutG//tdcE//
NemR	micF//ftsQ//fliA//
NhaR	wzzE//ydfH//mntH//qseC//fumB//nlpA//glyA//
NikR	nanK//modC//fliG//intQ//cynT//cysB//
NimR	fucK//puuD//
NorR	fadI//ynjI//aceK//
NrdR	nikR//mepH//ydcU//sufS//pck//ahpF//hisJ//fliD//crp//
NsrR	psiE//cadB//ycjF//fliP//purK//alsC//phoQ//yciX//nikD//setA//yccJ//glcF//glcG//ydhX//creA//sbmA//garP//cusS//flgB//yhdY//yidL//mdtF//ynbB//dnaA//appX//ebgC//fadR//ompW//yhdX//araF//wza//yjiY//paaB//prs//dcuR//thiP//araC//dinQ//ygiZ//sgrT//fepC//umuC//yedX//chiP//hcaC//fliH//relB//dinB//dgcC//gcvB//mpl//hybD//hycG//pspG//cusC//aidB//add//nrdG//hyfG//sufE//ttdA//bdcA//cspD//kbp//hdeD//caiC//fdnI//yhcH//mgrR//intQ//polA//ygbK//pyrD//fliR//narX//leuC//astD//glgC//codA//leuO//hokD//cysA//cysM//
NtrC	dhaL//deoD//galK//pfkA//psiE//bacA//lacY//yqhD//dinD//yrbL//fnr//mdtA//fliD//lldD//srlB//pspA//nohA//ftnA//moaB//ychF//dmsC//accC//cysK//waaZ//lysC//exbD//lldP//dgkA//glpB//ecpR//xylG//accD//cheA//fadB//rbsR//napH//hyfF//araH//pgaB//glcD//arsR//sfsB//glnL//napH//nadB//ftsZ//sroC//mdtF//aceK//
OmpR	manY//csgC//ydcU//malS//ybfE//cysJ//cheW//fadR//tdcA//nirC//infB//ampC//yjbH//idnK//hyfF//pspF//ccmF//mntS//metK//uxaB//pfkA//
OxyR	yhjA//appY//nimR//pspG//cysB//gabP//codB//gabD//purK//hycI//fecC//yiaJ//iraP//aceF//lldD//fecA//hycA//ybbW//lolA//deoB//argB//omrA//intQ//entC//mcbA//ybdZ//tyrA//caiC//nimR//astD//arsB//lpd//csgD//gadA//
PaaX	rbsD//asr//mgtL//fliH//fadB//uxuB//tehA//rbsD//yiaK//cusS//fadE//guaA//yqaE//ydcS//
PdeL	glyA//
PdhR	fimB//fliH//yccT//glpQ//dhaL//hycH//murD//caiC//ddpB//rtcA//fruB//uvrC//lacZ//cspE//mntP//phnJ//fhuB//waaY//nuoA//uxuB//hyaE//purD//lhgO//nikR//ilvY//pstA//ccmC//entE//ynbB//ssb//rtcB//dps//ahpF//iscA//mglC//recC//gcvT//mcbA//pepA//glyA//cysA//
PepA	rffC//cysE//ydfH//
PgrR	fucP//dsbA//pfkA//rutA//idnD//flhC//ttdB//casC//
PhoB	hycF//mngR//csgE//fliC//mhpF//glyA//ynfK//eno//gabP//galT//focB//fecD//gapA//pykF//mgtA//malY//tsx//galT//ppiD//csgC//prpE//deoB//dsbC//umuD//ariR//emrB//chiP//appY//ydcS//yjbH//sdhB//emrB//appX//arsR//rclA//hcaD//ulaC//amn//cysW//lacA//setA//hybB//ynbB//pncB//exuR//frdD//lpxA//lsrC//zinT//wecC//phnF//rdoA//torD//argB//purM//sdhC//mdtC//sroC//fabI//cysA//
PhoP	dctA//dnaA//ccmD//tehA//argT//mepH//envC//casE//ccmC//ruvA//bhsA//hcp//sbcC//lacA//argT//ybdZ//ydeP//wcaB//feoA//fdnH//fliA//modA//fliS//nagE//cra//glnP//ydhY//cbl//gatC//gatB//astA//ybjC//ynbA//ydfX//ompT//ndh//deoD//ascB//mdtC//ecpR//hokD//fecE//fhlA//bluF//znuB//rarA//paaG//flhB//napD//yjbG//btuB//glgX//hycG//yegR//add//ydhW//
PrpR	flhA//yqhD//asnA//nuoJ//fadH//
PspF	galR//hyfI//tolC//ttdA//entB//flgB//obgE//
PurR	yjbG//malY//pspD//dnaN//glcD//ftsK//nrfA//glk//gcvP//gadB//hha//glpK//melA//allC//gspI//rutR//ruvB//zraP//paaK//tdcB//sucC//nupC//phnE_1//yfiR//rnpB//sbcC//metH//rclC//citG//ykgM//araD//
PutA	dkgB//dhaR//
PuuR	baeR//yfdE//gspI//ppsA//yjbF//ynfG//slyB//
QseB	gspM//dhaR//prpE//yhbS//
RbsR	yaiW//cyoB//flu//dps//zraR//puuP//potH//pqiA//lsrA//
RcdA	hypF//htpG//moaE//mraZ//tfaQ//grxA//relB//tynA//hycC//
RclR	yccJ//ulaF//mngA//
RcnR	pspE//potF//mtr//
RcsAB	purD//dsrA//malG//torR//mqsA//rhaR//yhdY//nfsA//nuoC//hycG//phnL//soxS//lgoR//ttdR//bglJ//ddpD//
RcsB	ftsI//nfuA//gcl//ampC//glgC//srlB//mioC//flgI//lsrC//nrdI//agaA//hybF//sdhD//tbpA//phoB//amtB//fabB//nlpA//mscM//sfsB//glgP//hycI//yidQ//cas1//lsrB//
RcsB-BglJ	caiT//hybF//citF//rcnA//nimT//dsdC//uvrC//artM//yafO//ydiV//lldD//dmsD//pgaC//ssuA//ilvC//fadD//
RelB	argO//casE//fhuF//
RelB-RelE	feoB//hycD//tpiA//
RhaR	lsrD//flgK//
RhaS	allE//bglF//cueO//hyaD//glyA//mngA//
Rob	pheS//hha//galE//bioF//yciE//gltD//xylR//torD//rfe//ygeA//lsrR//sdhA//ynfE//cueO//cyoB//cheA//dinB//fhuE//caiT//infB//umuC//katG//focA//ydcV//cysI//fldA//
RstA	cysW//feoC//flgD//wzb//phnL//ydeP//sbmA//fimB//lolA//nlpA//
RtcR	luxS//yccJ//
RutR	rpoD//rstA//sufC//sra//rarA//dinF//alkA//phoQ//ynfE//glpT//carB//tadA//ydhW//rseB//casA//fixA//fliT//
SdiA	pgm//glnL//nanT//rprA//nirD//
SgrR	ibaG//pheM//pagP//fliD//ssrS//gadX//gspO//yafN//iscS//
SlyA	yjeV//
SoxR	uvrC//btuB//uvrY//
SoxS	trpA//hdeA//nemR//sgrS//metK//sroC//yiaM//cysC//lldR//glcF//fliK//purD//nrdE//hycA//nemA//ydeO//nfuA//gatC//baeR//nuoM//ssuD//yiaK//artJ//casD//pheT//hybD//tfaQ//rbsA//fliL//hycF//hyfA//carB//ykgM//hypD//hycB//mdtE//waaZ//dsdX//entE//oppA//
StpA	fdnG//paaB//degP//yqjI//rclC//putA//ttdR//
SutR	rutR//kdpA//manY//oppD//rhaA//
TdcA	dgcN//yaiW//cysK//mlrA//araH//flgE//yegZ//
TdcR	frdC//lsrA//argT//dsrA//gadA//higA//idnD//
TorR	aspC//rutG//potG//galK//flgG//acrZ//sgrS//znuB//phnG//uidC//cysW//argP//
TreR	tauA//speA//
TrpR	pdeR//osmB//ebgC//ugpQ//fruB//yegR//agaI//aceE//patA//metL//alkB//umpH//
TyrR	aldA//idnD//gcvH//nemR//idnO//yeaR//metJ//rbsC//araJ//rseA//agaR//fliF//
UhpA	kbaY//
UidR	rybA//gatC//mioC//glyA//
UlaR	cheW//rimK//araC//gcvT//metJ//safA//phnH//
UvrY	tyrB//yeiL//nrfA//hycA//yqaE//
UxuR	bglF//rcsA//waaZ//ymgA//lrp//gntK//setA//yoaC//stpA//
XapR	yeaD//dhaR//
XylR	hlyE//ung//csgG//gyrA//yfiB//phoE//araA//
YdeO	ttdT//tisB//uidR//tisB//csrB//amtB//hycH//tauC//ryhB//gadF//casE//glmS//ymgC//cyoE//entF//gadW//rnlB//flhC//moaB//flgB//idnT//
YedW	paaZ//frdA//torA//agaB//lysA//yccA//hisJ//puuP//yidQ//trpL//rffM//nrdG//
YefM	gspJ//fumC//
YefM-YoeB	dmsC//yhjA//
YehT	nanS//
YeiL	dnaN//
YiaJ	lolA//ybbW//glnG//ydcT//lysO//agaB//cyoB//cho//yqjH//yagK//
YjjQ	rutR//rtcA//nusA//hybD//araB//ccmC//aceB//wzb//purR//wecB//
YpdB	frdD//
YqhC	fhuF//nrdG//
YqjI	glpT//frdA//
ZntR	puuC//
ZraR	fhuF//csgE//cusF//
Zur	ygbA//ydcU//mgtA//melA//malQ//allS//
