#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	epd//caiE//
GlrR	umuC//ddlB//hcaB//galK//hisP//
GntR	sutR//trpR//fepE//alsC//uidB//fucK//aroM//umuD//cysH//paaK//xapA//pncB//
GutM	mpaA//fadH//gcvB//nimT//ulaA//fnr//ompW//
GutR	nuoJ//phnL//ybbY//gadF//kbp//glnP//ppiD//
HU	znuC//purD//dapD//gntU//nagE//mpl//fadI//pck//ftsZ//
HcaR	rpsO//gutM//gloA//hcr//malT//osmC//
HdfR	cas2//fur//phnO//ybhL//puuB//
HigA	yefM//aslB//
HigB-HigA	yeaR//metJ//
HipAB	araC//agaS//mgtA//ybfE//argE//
HipB	leuC//allE//chbR//marA//srlR//sutR//
HyfR	flgN//fepC//entH//ubiA//srlD//hdeD//deoA//mgrR//rcsA//metL//purA//cusA//
HypT	hybG//mltF//fepA//hycI//csgC//hyfC//guaA//aceK//lsrK//glmU//gpmA//astC//arsB//
IclR	mngB//araB//wecE//omrA//
IdnR	lysO//focB//yhjX//uxuR//lhgO//glpB//araG//
IlvY	cyoD//crp//
IscR	bioC//ecnB//fhuC//astB//gspC//bluF//cyoA//galT//xapB//borD//hyfF//lacA//flgI//lacA//sufC//tolC//treC//ycjG//yneM//yciG//bdm//yiaL//nuoL//dcuD//rutD//hha//yagK//sroC//fucK//leuC//folE//norV//
KdgR	motB//yjjQ//
KdpE	tnaC//yccJ//hns//citX//
LacI	nirC//yqaE//gatZ//
LeuO	rimP//ybjG//relE//fhuA//mioC//soxR//idnK//galE//argO//lsrA//rfe//ppdB//rcsA//ynfG//hyfF//lysO//eda//tyrP//allD//malZ//
LexA	nhaA//pck//murG//artM//yiaO//phnE_1//feoA//glpC//bglG//ompW//sufE//ndh//psd//purA//yhdY//hlyE//slp//omrB//obgE//ygdB//hcaD//infB//insD//hdeA//mprA//ulaC//phoR//glpK//wzxE//sodB//ydiU//fliN//ycjF//mraY//galT//yjjQ//nuoF//emrB//citE//ascF//galR//modB//yeaR//tdcE//phoR//bhsA//yecR//ynbA//lpd//malE//ydeM//relB//nac//mdtB//sufA//fldA//nimR//bdm//ftsK//
LldR	fdnH//crp//rpoE//
LrhA	bglG//yqjI//csiD//gntK//
LsrR	rutB//lgoR//ynbB//ogt//leuA//ompT//ssuC//citF//prpC//
LysR	flgA//yfaE//
MalI	qseB//caiF//dsbG//
MalT	gudD//argB//purL//pheS//gcvT//rutG//flgG//metN//dgcZ//csgB//
MarA	srlR//fepA//ygaC//efeU_1//ppdC//metA//dcuB//manZ//nadA//acrD//fldB//hns//lsrK//ycjG//icd//pyrD//sufS//lpxD//fliP//astE//tdcB//ybhF//gntU//yebG//atoE//hdeA//rarA//caiC//yqjA//stpA//nfsA//putA//glnL//araG//deoA//dinB//guaB//flgI//
MarR	yeiB//fliZ//paaB//
MatA	sufS//flgA//pck//cyoE//hyaB//glpQ//sbcC//tfaQ//
MazE	yafQ//mgrR//hcaR//
MazE-MazF	dapD//murP//arsB//
McbR	bacA//gudP//sgbU//hycG//
MelR	qseB//polB//intQ//
MetJ	ftsZ//manX//ccmA//mdtC//phnP//sucD//malP//ung//glk//ynfE//metK//malF//dsdC//ybaT//hyfA//
MetR	ada//cysJ//rpmA//argC//ulaG//
MhpR	aroF//potF//ryhB//nuoK//lysA//lpxC//
Mlc	hcaF//ugpC//bglF//lamB//nadA//qseC//yafP//mepH//xylG//cbl//
MlrA	skp//yeiB//ygeA//nuoL//srlD//xapA//nrdA//murP//ppdC//ykgO//
MngR	nrfC//cyoD//obgE//
MntR	inaA//aceF//rseC//polB//yoeB//
ModE	nemR//fabI//acrB//glyA//aroL//cpxA//yiaL//chiP//znuA//fecD//hycI//yqjI//ycjY//nuoC//erpA//motB//hycG//yeaD//motB//flgE//higB//arsB//zwf//modA//talA//gspH//dinG//ybhR//hyaD//caiF//ldtB//yhcH//ppdB//uxaB//rffC//paaD//mqsA//napD//ygeH//dmsD//mntS//dctA//flhE//ompW//hcaC//rclB//
MprA	pspD//yjjQ//yedX//caiA//baeS//nrdI//
MqsA	molR_1//phnN//cyoC//pitB//iscA//zraS//folE//arsR//
MraZ	ygeH//hyfE//fiu//entC//fadA//add//wza//ykiA//fhlA//lysR//ygdB//mntS//fadM//rpmI//glgX//paaB//pdhR//
MtlR	mnmG//glgC//caiA//
MurR	allE//sbcC//gutQ//
Nac	idnT//ygbA//phoU//hemL//purN//gadY//flgB//astE//aroF//malX//cysI//ydcT//feaB//glpC//hipB//ampC//ygbA//cysI//ftsZ//pck//phnF//
NadR	ycgZ//yhjA//sgbH//puuB//
NagC	fixB//rbfA//nrdA//mdtF//mprA//murG//purB//fucI//nhaA//napH//manY//rcsA//yciW//dinI//nikA//yjjZ//dgcC//yhdY//ydhW//araA//glmY//ibaG//idnO//arsC//hycE//codB//fliL//mdtD//nimT//rpsU//kbp//dsdX//dps//csgB//nuoN//gspE//argP//
NanR	rybA//agaV//tpiA//symE//udp//mdtE//phnM//dnaN//ryhB//purL//artJ//
NarL	hybE//paaC//cusC//kbaY//fliS//yhdW//hyfF//paaJ//ydbD//rffG//sucA//dcuB//yebE//norW//sulA//lolA//rbsB//pgm//allC//gabD//amn//nuoA//deoD//puuE//gspF//hycA//paaY//glpC//omrB//nanE//mnmG//uvrY//hycD//prpD//uxuB//rclB//citD//artP//casC//nuoF//paaI//hmp//zraS//tnaA//artQ//sdhC//caiT//yiaJ//slp//yhcH//yegZ//dicB//nanM//tpiA//frdC//sodB//fliM//oppA//cusC//gadE//prpC//nagC//gabP//ugpB//fixA//cho//mscM//entH//cadC//gadE//citE//yfdV//purK//ydfE//pgaC//yafO//astA//uhpT//cpxR//fliQ//araH//ydeM//bglB//fabZ//ssrS//osmY//entE//ebgC//hyfB//yhbS//nagC//ybhL//argC//puuB//rstA//frdB//spy//emrB//katG//yjjQ//pspB//prpB//hycD//gadC//guaA//rbsB//glpA//glnA//fdhF//ydfX//fhuB//cyoA//pstA//ulaA//citG//lacY//appC//dinG//nanA//ynbB//glnA//pheS//rbsR//
NarP	ebgC//ydeM//phnE_1//emrA//ybfN//cpxR//sbcC//ygbK//ybhS//yegZ//murC//xylR//trpL//argD//phnG//ygiA//glcC//recA//exuT//dmsB//rcnR//citD//nadB//pgaD//sgbU//phnI//omrB//melR//dmsA//rffT//malE//fliQ//feaR//gntU//yecT//gltD//ccmF//yjbH//napB//fhuA//napB//hybA//garK//purA//putA//feoA//tonB//iraM//yrbL//pyrC//
NemR	intQ//tsr//xylR//
NhaR	yefM//tyrP//fixB//cusF//nrfF//allA//fdhF//
NikR	yiaL//hycI//pgpC//rtcB//ssuD//metR//
NimR	araF//soxS//
NorR	aceB//bglG//yeaH//
NrdR	xylF//tnaA//phnM//ftnA//lldD//csgB//psiE//zraR//cysA//
NsrR	cyoD//sufB//flhE//gadA//gudP//acrB//cusC//nrdD//stpA//entC//rffG//nanA//rbsA//leuO//folE//hycI//nrfD//chbC//relA//cysI//ebgC//atoA//ulaB//rcnR//flgM//soxR//fliJ//entH//ulaC//casD//gspH//fliM//metF//glpB//nadB//ampC//umuC//glpQ//cas1//flhB//pykF//lysO//relB//rseB//cho//phnE_2//yciF//nrdE//ahpC//metE//aceE//aldA//uxuR//fliT//nirC//fucO//gspH//ccmF//folA//cusR//gadC//gntK//astB//tcyP//phoP//isrC//treR//ybaT//hisQ//rclC//leuD//dmsC//mpaA//flgG//gspO//gatC//patA//tdcA//aceK//citD//fumC//fadH//rpoS//
NtrC	yaiW//nuoK//hns//aidB//lacY//rutD//gdhA//yidQ//murP//artM//ulaA//micF//tdcA//rob//nanC//rhaD//phnM//lysC//yeaE//fadL//purR//yidL//nikA//dcuR//tyrP//psiF//ymjC//mngA//gatZ//oppC//sra//agaI//insK//asnC//ftnA//nuoF//hokE//yiaL//glgX//pheT//luxS//ybdN//ycgZ//ydfD//tynA//cynX//ycjG//hdeA//malT//
OmpR	feoA//wzzE//caiF//fabI//nadA//phnO//caiF//hycB//fecA//ubiX//ebgC//mraY//fadL//flu//phnF//hyfR//acnB//recX//glnA//araB//rhaD//
OxyR	molR_1//yfiB//nrfG//alkA//casD//glxR//hyfA//uspE//wecC//zinT//fucI//mlrA//ygdB//intQ//fliD//rtcB//gudP//ptsG//ydjM//leuL//agaC//uhpT//paaJ//napG//hokE//gudP//dgcZ//yjjZ//phnG//pgk//gor//flgE//alaC//mngB//
PaaX	malM//mscM//malI//yqjI//ydcU//cspD//phnM//hokD//prpB//relA//acnB//ung//rbsC//pheS//
PdeL	ftsA//
PdhR	ttdR//puuA//efeU_1//yfiR//yafO//entC//agaB//rhaR//yeiL//psd//ydeO//rhaB//cpxA//narI//nagA//folA//alkB//aroP//rclB//malI//ubiX//fliR//yiiS//rutC//dhaL//bhsA//ydhW//psiE//ycgZ//kbaZ//nanK//appY//prpR//hyaA//nanT//rpoD//aceA//ygbK//nanE//treB//pgpC//
PepA	trpB//mdtB//rimP//
PgrR	ilvY//ychF//lacA//pgi//baeS//dnaG//fiu//ftsL//
PhoB	cydC//ygdB//rhaB//nuoM//tyrP//cusB//sroD//pgaB//ynfF//pdeL//dsbC//fadE//dtpA//hcr//sra//hisM//yidL//ppiD//gspI//fliD//hmp//phnE_1//zntA//nikE//yagK//luxS//yhiM//cysA//hyaD//cysJ//yoaC//ftsZ//add//cyoB//hha//dctA//rpmA//moaC//cirA//codB//yhdY//glgA//wzzE//flgK//ybbW//entC//pspF//chbB//glpA//ttdT//deoA//btuB//frc//norR//chiP//sufD//icd//rnlB//adhE//yafP//
PhoP	ydeI//cusR//mdtA//hemH//casE//rhaS//tnaA//yedX//leuL//decR//artJ//astE//gspD//exuT//fecC//acrD//phoA//rhaD//yjbH//metL//fliS//nanK//feoB//cynS//ybjG//fbaB//zraR//uvrY//ydeN//dcuR//idnD//ssuE//zraP//xylA//pck//yefM//aceA//rutR//xapB//putA//cusC//moeB//ynbD//rstA//gltJ//focB//trpA//ydbK//tauB//eda//rbsD//ykgO//csgA//yidL//hyfA//ung//
PrpR	flgD//serA//hybD//rcsA//uspA//
PspF	slt//creB//ygiC//dgcZ//uspE//adhE//galP//
PurR	sbcC//gspJ//fdnG//marR//bglF//malQ//pgaA//napF//acnB//argT//hdeA//melB//fliJ//csgE//gapA//frdB//nagC//citD//tyrP//fliA//nuoF//glxR//grxD//trpL//motA//flgJ//pheM//cheW//napG//dicC//dcuR//
PutA	fhuB//mdtE//
PuuR	osmB//fucA//gspJ//malE//rutR//bluF//aidB//
QseB	agaA//rseC//metE//gntU//
RbsR	cheA//cysK//truB//gspK//rffH//dmsC//galP//flgN//nusA//
RcdA	cusR//appX//flgH//polA//eno//nirD//ebgC//yccT//nrfG//
RclR	yidL//lysA//phnD//
RcnR	nikB//talA//astD//
RcsAB	hyaF//ssrS//znuA//trxC//mdtA//ychF//ccmD//acrA//pyrD//pyrD//gloA//glgP//mhpE//mazF//puuC//ddpA//
RcsB	fucO//trxC//fixC//yciX//erpA//flhA//fucR//glpB//gntP//umpH//ybbY//allA//infC//ddpF//fliL//pspF//hybB//gspK//artQ//uhpT//hemH//csgC//xylG//tauB//gatB//
RcsB-BglJ	creB//lexA//srlB//narK//ymjC//flgK//ynbD//gatD//gltD//cadA//ldtD//fucO//tolC//betT//ftsA//flgM//
RelB	ydhT//phnM//hlyE//
RelB-RelE	baeS//oppD//gspH//
RhaR	sdhD//napB//
RhaS	evgS//ygeA//cbl//xylH//ebgA//pspD//
Rob	flhD//oxc//dcuB//uidA//nupC//moaC//glgX//flhB//accD//rnpB//cydD//gcvA//appB//recF//fecB//srlB//umuD//atoB//citG//tpiA//yccT//psiF//pspG//fumC//relB//fepC//
RstA	gltL//aidB//tynA//copA//cusR//gatY//yfiB//soxS//sucD//torA//
RtcR	accC//oppA//
RutR	oxc//fliG//hyfH//nrdE//hycB//ssrS//yafO//ulaE//ddpF//pnuC//ycjG//yqhG//yeaR//murR//gspG//mqsA//paaA//
SdiA	iscR//pdhR//ygiA//aspC//hybO//
SgrR	recF//ulaG//fecR//rhaR//agaC//uxaC//acnA//lldR//atoE//
SlyA	glpX//
SoxR	glxR//argR//cas1//
SoxS	mglA//creC//fhuE//mhpA//astE//malP//guaA//ydeI//yafP//ssuC//gntT//setA//ppc//carA//ilvC//gcvH//sgbE//yaiW//hyfE//cydA//xylR//cysK//yiaN//sgbE//dkgA//hyfA//frdA//phnK//fliK//argT//uidC//tnaA//hycH//sbmA//prpR//torA//prpC//omrA//nadB//dsdA//
StpA	kdpF//hha//deoB//hyfE//prpD//ftsK//zraP//
SutR	yjiY//emrK//sucD//fucA//ihfA//
TdcA	agaC//cho//ftsW//uidA//fadM//rsmH//paaH//
TdcR	hemL//rclC//citC//chbR//safA//arsB//gudX//
TorR	yccT//cysH//hemH//ddpB//ftsZ//hyi//yqhD//nrfG//csrB//nuoH//yecT//napA//
TreR	lysA//fhuA//
TrpR	bolA//tdcF//acrR//fbaA//sroC//mngR//sbmC//aroM//astD//pspG//sufB//hycB//
TyrR	ftsA//lrhA//fes//flgM//psiF//hycE//ptsG//yqaE//glnK//uxaA//gloA//flgI//
UhpA	csgE//
UidR	qseB//mzrA//kbp//ydfX//
UlaR	dkgA//gadE//ynbD//ttdT//oppC//ybjC//qseC//
UvrY	cysG//ilvC//exuT//galP//yhdZ//
UxuR	uhpT//gatZ//gudX//ccmF//wzzE//hypD//ydfH//lysC//obgE//
XapR	mngB//fixB//
XylR	ibaG//norW//potI//nrfA//rbfA//murC//nikD//
YdeO	nagE//guaA//wzc//acrZ//gadX//asnB//dcuR//paaE//entE//betB//acrR//fpr//nanT//lsrF//garP//gltL//hisJ//exuT//purE//nagC//acnB//
YedW	ymjD//cheA//glpA//ugpQ//metJ//paaI//xylR//argP//argD//manX//nuoA//entD//
YefM	aspA//cysH//
YefM-YoeB	mdh//argB//
YehT	fepA//
YeiL	wcaA//
YiaJ	phnE_1//hycG//citC//baeS//cysE//bluF//ybhR//hflD//copA//ynfF//
YjjQ	astE//norW//purM//edd//norV//sucA//kbp//lolA//adiA//garL//
YpdB	ybhR//
YqhC	cydA//entD//
YqjI	gpmM//mngR//
ZntR	astD//
ZraR	srlD//umpH//yciF//
Zur	ppdC//ompF//flgF//ubiA//ugpB//ompC//
