#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	rbfA//sufB//
LysR	adiA//agaI//
MalI	argG//tyrB//thrS//
MalT	asr//glyA//gadA//dinB//hyaD//chbB//glgB//wecB//cytR//nikB//
MarA	ycjY//rdoA//ccmC//citG//gapA//fadM//hypC//nrdE//tolC//bglF//wza//alsA//katG//ssuD//dnaA//entE//hcaE//amn//araH//cpxR//borD//yegZ//ptsH//focB//mhpF//fpr//csgG//agaB//sbcD//osmY//argD//mzrA//yccA//hslJ//pgaA//purF//bolA//modC//
MarR	csgA//baeS//dgcN//
MatA	lgoR//ycgR//ydfN//citC//srlE//ubiX//pdeH//fepA//
MazE	fadM//yhdX//lon//
MazE-MazF	glgB//znuC//yiaJ//
McbR	yfdV//alkB//napH//tfaQ//
MelR	bioC//asr//gloA//
MetJ	creD//yiaN//xylA//yjbH//zraP//efeU_2//oxyR//ydhX//glpC//hyfH//exuT//csgB//cyoD//cspD//cysI//
MetR	fnr//wecE//fucP//ydiU//ptsH//
MhpR	nagC//mgtA//waaH//ybfE//dgkA//allE//
Mlc	rhaB//ndh//nanM//ulaC//rsmH//pstA//ybhG//araH//yegZ//nrdI//
MlrA	puuA//alaS//alkB//dcuD//caiB//cusA//glmY//rutC//gntT//caiF//
MngR	gspG//prpD//marB//
MntR	mtlD//dgcZ//bioC//ybhG//cecR//
ModE	yjhB//malZ//nuoK//pstS//mzrA//tonB//mepH//gntP//artJ//recB//argR//rclC//omrB//rbsB//qseC//yhbE//hyfJ//galK//kdpA//cspD//aceE//ygiB//ygiC//rsmH//btuB//kdpB//paaG//tcyJ//znuA//lon//ydjM//phnN//cydC//gcvP//poxB//flhC//gudP//ryhB//psiF//ompW//metQ//moeB//aroH//aroM//hyfR//hyaD//
MprA	cdd//artI//putA//mhpD//uxaA//rffG//
MqsA	allE//leuA//galS//nanE//yjiY//treB//rpoS//aldA//
MraZ	marR//appX//narX//glnH//tpiA//flgN//nrfD//pheM//hycH//chbF//metY//atoE//nrfD//paaE//higA//nohA//agaR//
MtlR	pflB//fecE//zraS//
MurR	rffH//ygbA//nrdI//
Nac	rbsA//paaC//gadY//sutR//paaY//grcA//mazG//glcA//ydhU//bacA//uvrA//creA//guaB//infB//lpd//ybaT//pspF//recA//ydhV//ygbA//carA//
NadR	yhdX//gutM//prpR//dapD//
NagC	tktB//melR//gcvT//ung//ssrS//cysG//gatB//fadD//dinQ//putA//dcuB//ssuA//dgcC//ygbA//aceE//fabB//gatY//fepG//relA//metR//recB//nrfF//csgE//nrfA//ugpB//gltI//umuD//cysJ//lyxK//fliK//rbsR//flgL//fliK//gspF//nuoC//ftsI//astB//
NanR	fecA//speA//potF//phnK//nrfE//katE//osmC//hflD//yjjQ//yidL//melB//
NarL	gntX//entE//recD//ftnB//lsrC//umpH//gadX//nrfC//tdcD//rsmH//alsA//paaI//glcA//glpF//rffM//malK//malK//uof//ybiT//uidA//psd//rpoD//nfo//potG//asr//ftsW//xylB//paaX//malT//ynbB//ftsW//zraR//tauA//fepG//hcaR//cra//waaZ//nagB//yhjX//murR//rutB//gcvH//acnA//grxA//napF//recX//hlyE//ruvA//folA//inaA//norV//aroM//rhaB//asr//lsrG//fliH//wzzE//caiE//cas2//sroD//hlyE//yccA//erpA//degP//higA//malQ//rbsR//baeR//crr//hcaD//ccmF//cusB//yagK//fruK//iscA//glmY//ppdC//argR//ihfA//argO//nuoE//btuB//uvrA//tyrA//argR//rpiB//hcaD//flgG//thrS//deoC//lldD//ydiU//sdhC//metF//fhuF//yidQ//bacA//lrp//phnO//ssuC//yefM//fruA//mhpA//pspA//nuoN//bglF//osmB//nanM//yiaO//ompC//tolC//add//nfuA//borD//hisP//fixA//hcr//fur//rclB//nuoL//yhiM//gltD//fucO//
NarP	gutM//uxuB//wzyE//sucA//kdpB//znuB//glnQ//dinQ//oppF//paaF//mhpB//nupC//cusC//baeR//moaC//nhaR//ynbC//hybO//casC//pgaD//sbcC//mzrA//nrfC//prpR//yidL//murE//hyaD//yhcH//ruvB//flgI//caiD//mltF//gatA//gatY//glpT//hyfI//motA//nrfD//malS//ycjY//malY//hyfC//yccT//adhE//creA//ptrA//artQ//paaE//cysH//bdcA//
NemR	rclA//rpoH//osmC//
NhaR	pgk//metR//fau//phnJ//cheA//qseB//melR//
NikR	moeA//agaB//omrB//norR//nrfD//rprA//
NimR	rseA//ydiV//
NorR	mdtC//argG//tdcE//
NrdR	argT//ptrA//rtcA//gltF//hypA//metN//rbsB//gcvA//dmsB//
NsrR	idnR//sucB//lsrC//oppA//gabT//allS//nuoC//hycI//gcvB//emrA//marB//acnB//fdhF//cysA//ybfN//potF//fhuC//caiE//hisM//ygiZ//hycH//nuoG//spy//cysA//sodA//codA//hybO//fimB//bhsA//zinT//aroM//sutR//fadA//sulA//citX//tcyP//bglF//hemH//rpoS//uxaC//hyfJ//pstA//dkgB//hyfE//yjbG//nrdA//rutB//ynfE//astC//ibaG//phnP//gspF//higA//agaD//ycgR//carB//uspE//flgI//ssuE//lldD//gudD//yiaN//yqhG//trpE//accA//artI//hydN//lysR//norR//nadA//nikB//prpC//asnB//sdhC//skp//waaH//molR_1//ybaT//ccmH//allB//yiiS//acrD//gloA//
NtrC	tomB//ymjD//copA//metB//aceB//inaA//yciW//fhuC//garD//ybjG//tyrA//sufS//argT//hcaD//pnp//gadC//gltB//murI//cysJ//aceK//ynbA//cvpA//lysA//uvrD//glpC//trpR//sucA//hyfE//glcB//puuR//mntP//chiP//ydfW//dcuR//gabT//fixC//creB//cas2//ryhB//wecB//acrD//leuD//efeU_1//rybA//glnA//grxD//argR//ycgZ//ftsZ//
OmpR	hcaE//ssuB//csgC//hha//sroA//ygiZ//ybfN//idnK//ddpD//gutM//prs//tdcF//ybhS//yhjX//ykgO//argO//rpsU//nusA//ftsZ//yrbL//agaB//
OxyR	micF//ydiV//rcnR//tsr//agaI//ssrS//gltL//cyoB//cysG//yjbH//flu//nikD//oxyR//bglF//infC//pnuC//emrY//ddpD//slt//higA//uxaB//oppA//lacZ//mraY//mtr//zraP//yhjX//lsrC//malQ//ycgR//fau//malS//hycH//cysH//
PaaX	phnI//polB//hybF//sodA//hyaD//hokE//fabH//tynA//pgaA//mdtA//glpA//lsrA//waaH//lsrF//
PdeL	rprA//
PdhR	frdC//gspM//ygeH//ybhF//ykiA//adiC//fimB//motA//nuoH//cecR//ftsI//alsB//fruA//ydeP//symE//ftsW//acnA//wrbA//gabT//glnP//hybF//caiE//cas2//ydhT//paaF//ariR//ampC//fdhF//rpoE//melB//oxyR//fabZ//nikE//ykgM//ppsA//rpiR//paaY//kdpF//betI//rpoS//mazG//
PepA	baeS//cyoD//stpA//
PgrR	oppD//uidA//rffT//uspE//bhsA//nfsA//cysW//dkgB//
PhoB	bioA//phnO//lysA//trpC//flgA//manY//cecR//caiE//nuoK//folA//adiA//dsrA//nemR//yecR//fliG//gatY//tsgA//hydN//feoB//malT//ulaD//lysC//gadC//dsrA//ecpR//fadM//hycD//sgrS//dcuS//molR_1//paaE//pdeH//puuB//gnd//yccA//alsB//rpsO//ydfH//rutE//napB//sroD//yqhD//hipB//torD//ybbW//garP//aldA//rhaS//leuO//phnJ//nemR//astA//yafN//lsrG//uxaB//hns//gadA//rimK//sbcD//rseA//
PhoP	gcl//oxyS//ynbA//purH//trpA//pdeH//xylA//codA//uvrD//hyfR//yhdX//cysA//hycA//yecR//flgH//talA//arsB//lsrF//fliI//rffC//ymjD//mazG//yhbS//pgaD//tyrB//fliN//flgC//ugpE//mnmG//relB//fumC//mglA//ydjM//cusF//rnlB//yccA//ydfD//dsdA//appA//caiA//argG//ugpB//sulA//nemR//yhbT//yagK//fecE//purF//zraS//pspC//motB//cysK//ydcT//cpxA//edd//slp//
PrpR	hyaA//recF//acrD//sucD//amtB//
PspF	pspE//accC//uspD//cysE//agaB//yidL//ycjX//
PurR	cysP//osmB//hdeD//hcaE//flgA//mqsR//malQ//rstA//agaC//nadB//phnL//lysP//yibQ//argD//alsA//citC//glpC//ilvY//rseB//sufS//manY//ydhW//iscU//gltI//dcuA//zraS//paaF//argR//ihfA//paaB//dhaL//
PutA	sufB//cydA//
PuuR	aspA//arsR//xylB//metI//fucU//yibQ//ftnA//
QseB	sroD//phnE_2//tisB//zntA//
RbsR	wrbA//hybF//ydfE//yhjA//rpiB//mioC//phoA//pspA//gntK//
RcdA	gadF//sbmC//oppB//recX//tktB//yqaE//pstC//phnO//luxS//
RclR	dctR//dsdC//moaC//
RcnR	cyoB//fur//yhdW//
RcsAB	narG//polB//argO//hybF//ybfN//csiD//phnP//soxS//sbcD//sucC//gadE//hyfD//cadB//lsrB//nagE//umpH//
RcsB	uvrB//rffM//accC//yqjA//casB//artJ//dgkA//mntS//ynfE//mtlD//qseB//gspO//ynbB//nanE//cusB//manX//rdoA//glxR//yqhD//flhD//phoU//evgS//rpmI//moaE//srlB//
RcsB-BglJ	tauD//leuD//phnN//marB//pgaC//lexA//nrdA//ydeO//xylF//ynfF//fadM//pspE//artI//ecpA//ynbC//copA//
RelB	aidB//yafN//mscM//
RelB-RelE	trpB//luxS//fur//
RhaR	paaD//gatZ//
RhaS	ycjG//napD//modA//sufA//ulaA//nanS//
Rob	fdnG//tdcF//eda//mlc//pgm//ldtD//nlpA//cysA//sgrR//wcaA//betI//lacZ//argG//narX//tfaQ//caiE//garK//yiaL//malQ//sbcC//glnH//slyB//ydeO//rstA//asr//nfo//
RstA	ugpC//yjhB//pspE//baeS//ilvY//purN//artP//fliI//recN//cysA//
RtcR	yaiW//pflB//
RutR	fliA//tnaA//fadJ//rbsB//fliE//spy//yeaD//hycB//cydC//araB//ynjI//hyaC//rdoA//patA//fes//gspL//dhaM//
SdiA	oppB//cspD//ruvA//fadD//dps//
SgrR	nac//malZ//flu//hyfR//crl//acrR//hcaF//hyaE//yiaM//
SlyA	gfcA//
SoxR	glcE//wecE//allB//
SoxS	sroC//ynbB//idnK//argP//csgC//gadY//modA//garK//yhjA//cspE//nlpA//ycjG//ydfD//tadA//lpxA//pdhR//ygeA//ompW//ecnB//uxaA//aceK//wzxE//gapA//dcuS//hyfE//fhuF//oppC//tdcF//puuR//yneM//phnM//malI//cspI//feoA//lacY//sucB//sdhB//yciE//glpC//wzxE//
StpA	rffC//sufA//ydhW//ugpC//galE//pnp//moaB//
SutR	fimB//ybhS//ynbB//nimT//cydC//
TdcA	ybfE//napF//ddlB//ompC//baeS//xylF//oppC//
TdcR	pstA//guaA//metQ//ydjM//codB//ydeO//ymiA//
TorR	purF//setA//atoE//tomB//yeiB//fdnI//acrB//rutE//gfcA//pitB//yeaG//galS//
TreR	bioD//ribA//
TrpR	ybhS//lldP//yqjH//tdcE//nrfG//exuR//trpD//potI//thrS//paaK//nikA//araJ//
TyrR	fucA//dps//tsx//fepA//cyoA//ybhS//ybbY//pgk//mdh//fucA//purA//grxA//
UhpA	yaiW//
UidR	paaH//symE//hdeA//lldR//
UlaR	emrA//hycF//flgJ//pqiA//argD//ompN//gspM//
UvrY	sroC//fhuB//yeaE//mprA//yafQ//
UxuR	purD//hha//tam//phnF//glpK//agaD//gabD//chiP//gspK//
XapR	rutF//dgcC//
XylR	mepH//dhaM//mprA//lpd//yeaH//relE//yjbE//
YdeO	borD//mgrR//agaD//ibaG//fadM//nohA//glpB//zinT//fliH//fabZ//ppsA//modC//cysJ//rbsA//asnA//slp//yccA//mlrA//fabI//lldD//lldP//
YedW	yebE//carA//flgC//dsdA//mdtB//yegZ//cydA//ccmF//pyrD//speA//agaA//bglB//
YefM	fliL//purD//
YefM-YoeB	moaE//glpQ//
YehT	rimP//
YeiL	slt//
YiaJ	ynfG//aroM//sufS//rutR//cysN//trpA//dpiB//cydB//osmB//omrB//
YjjQ	pagP//frdC//pstB//uidB//thiP//nuoC//paaZ//ssuE//skp//fixB//
YpdB	hypE//
YqhC	nanK//lldP//
YqjI	rhaS//gspJ//
ZntR	hyaD//
ZraR	fhuA//ubiA//pstC//
Zur	phr//sbmA//yfiR//napA//flgL//nuoH//
