#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fliI//dsdX//
CysB	cynX//iscR//ygbK//gadB//pitB//ydeM//entC//mdtA//araE//galE//ybbW//ygiA//glmY//pflB//yqhD//crl//accD//envC//qseB//cusC//gatB//lrhA//cysB//malK//yhbT//tehB//fliC//hycF//gadA//nirD//nupC//flgC//
CytR	modB//seqA//dkgB//melB//leuA//gadA//rbsR//fixA//ampC//galS//allC//fucI//phoA//
Dan	crr//ybhG//puuE//cydD//
DcuR	ulaE//cra//aroM//acnA//glnK//tadA//alaS//mscM//fhuB//
DeoR	fliF//fliQ//pspD//uxaB//sucA//araE//
DhaR	yeaE//yccA//sdhB//kdpA//
DicA	arsC//pspF//caiB//fur//ybaS//ykiA//modA//casE//
DinJ-YafQ	malG//htpG//gatZ//
DnaA	yeiL//bglG//molR_1//hcaF//fdhF//rutG//rhaD//gltD//paaB//murP//cdd//alsE//
DpiA	idnD//dsdX//rutR//gspF//mpaA//galM//rybA//alkA//ulaE//nuoJ//rob//
DsdC	cysE//emrA//rcnR//
EbgR	glpX//mhpD//
EnvR	glnH//rimP//
EnvY	galS//yjeV//
EvgA	malE//ymgC//fliC//lsrC//nanE//ydcT//dctA//tdcG//yoeB//pgaA//yjbH//fecI//casA//ynfE//araG//prpC//fadJ//ccmD//pheT//
ExuR	yafN//symE//gutM//fliQ//aroM//tdcG//cspD//rdoA//yoaG//
FabR	speA//zntA//
FadR	yhbE//relE//cas2//nrdG//cvpA//mhpC//ahpF//lacZ//kdpB//rimK//aroH//purL//nfsB//csgF//nimR//xylG//pheT//nanC//dinQ//fnr//flgJ//ybhG//araJ//
FeaR	gapA//lldD//
FhlA	nuoA//creA//potH//frc//pykF//amtB//phnC//paaY//epd//yebE//cusR//hycH//cyoD//bioF//ubiC//dapB//fau//prpD//dsdA//fliT//rstA//murE//tehA//ykiA//tdcD//feoC//nuoM//gntK//leuO//metJ//
FlhDC	norV//yqaE//aceE//higA//tynA//ycjG//hyfF//lhgO//zraP//ascF//potI//allC//fruA//phnP//pqiA//ugpC//pepA//codA//motB//sufE//torC//nrfB//hisM//casA//feaR//dapB//fliS//ccmH//yafQ//ydhV//umpH//eda//murI//yoaC//cadA//fucR//hcaB//ppdB//slp//insK//carB//lysP//ynfH//argF//ynjI//alsE//ldtC//dicC//fldA//katG//norR//nrdB//gspE//potH//glcB//argG//yecT//dtpA//yoeB//cspE//tauB//yoeB//sbcC//motB//hyaF//mnmG//flgA//fadE//paaJ//pgaA//narH//cas2//hflD//idnT//betT//hcr//metY//ynbA//infC//uxuB//ydfH//dinF//
FliZ	nikD//pgaD//ccmD//sucD//mtr//fucA//ycjG//metE//fliG//aceF//gltJ//gpmM//galE//argB//ydeO//fumB//tbpA//purA//epd//kdpA//ygiA//
FucR	lpxA//lhgO//fliO//gspF//yeaD//relB//waaH//
Fur	sroC//malT//exbB//paaI//nfuA//fliM//allS//yiiS//moaC//casD//gltB//hyi//ssrS//caiB//rstA//csiD//entE//napB//ydcU//ybjC//hmp//dpiB//prs//fabZ//prpD//csgA//pgm//cysE//guaA//gpmM//garR//cpxP//yafN//argC//dcuB//tsr//ydiV//chbA//yciE//pheM//dinB//phnD//rimP//hdeD//nanC//exbD//oppB//ygbK//argI//yjhB//ymjC//nmpC//speB//putP//cysB//ulaC//bacA//napD//tnaC//nanK//frdB//pnp//ycjG//glmY//glcD//uvrA//tauA//yegZ//tauD//lrp//grxD//stpA//caiE//chbB//gadB//glcE//aceK//galP//putP//gfcA//yecT//nuoG//sgrS//fliT//tynA//nrfE//yfdE//hypA//dtpA//gspO//artM//puuE//mdh//uvrA//malZ//ppdC//glmY//cyoA//pqiB//edd//artJ//pck//feoA//ompF//zntA//casA//dnaN//yjbG//pspF//yibQ//ydhV//psiF//nanK//rbsA//cueO//ycgR//dkgA//ybhF//ycjF//marR//gpmA//yfiR//yafO//adiC//fliQ//micF//xylF//chbG//yaiA//paaD//
GadE	lon//fucO//hlyE//nuoK//phnP//casA//flgB//tsr//ompT//mdtE//pspC//glxK//recC//recA//folA//paaK//pheT//ycgZ//flgN//yhhY//glcG//chiP//yciF//tdcA//leuB//aslB//caiT//malT//pnp//
GadE-RcsB	phnG//cspE//cysK//flhE//znuA//ptsG//phnK//mepH//flgG//
GadW	serA//dinQ//mhpB//accC//ftsK//ydhU//hycE//atoE//cusB//fliQ//yhdX//truB//paaK//dmsB//pyrD//
GadX	ssuC//rpmI//ynfH//fabA//glcF//ddpA//rbfA//ydiU//gcvB//amn//rhaB//nuoJ//rstA//ymjC//ynbC//mhpD//mhpD//rclB//mraY//fdhF//ybfE//gadX//murG//betA//pgaA//relE//talA//hcaB//bioD//
GalR	tsr//phnJ//mlc//cyaR//iscR//ryhB//csrB//kbaZ//rseA//ttdT//
GalS	znuC//sufS//prpE//fbaA//arsC//gadC//relB//lyxK//gudP//ygiC//
GatR	rhaS//hyfB//gpmA//leuA//rnpB//rhaR//
GcvA	gntK//dpiB//ftnA//trpC//gudX//
GlcC	phnJ//malE//mdtE//osmY//lsrR//ynfG//gcl//
GlpR	yeiL//pdeR//wza//chbB//napA//astD//argH//chbA//katG//
GlrR	flhE//dctR//hybG//entF//cusS//
GntR	kdpB//kdpF//cysG//ihfA//glxK//paaK//yfiB//xylR//idnT//hyfI//fhuC//rcnB//
GutM	dicB//dgcN//yciF//iscR//ybfE//luxS//torC//
GutR	iscR//pnuC//sdhB//phnL//rbsD//fabZ//pepA//
HU	flgE//fixA//rseA//rbsR//ssuB//ydhW//yciX//tbpA//ygiB//
HcaR	cas1//fecI//ariR//cysB//uvrC//infC//
HdfR	crp//torD//recB//guaB//prpE//
HigA	mntS//thiP//
HigB-HigA	relA//malP//
HipAB	gcvA//glpC//ssuC//lysP//hyfC//
HipB	inaA//gloA//flgB//nrdH//dcuD//feoC//
HyfR	moaA//dhaR//lyxK//znuA//ung//aceB//entC//yedX//mgtA//pheM//fliE//trpD//
HypT	mgrB//ydcT//artQ//katG//rbsK//glgC//fliH//flgJ//pheT//iraP//agaR//galS//ydbK//
IclR	mprA//yjiY//yjjZ//glcB//
IdnR	galM//fepG//rplU//lsrB//marB//waaY//ccmE//
IlvY	yfiB//leuD//
IscR	rhaB//wzxE//adiA//nirB//prpD//pdeL//nrdA//feoC//mhpB//rybA//araE//yhdW//appY//amn//putP//ssuC//pstC//psiE//malY//deoD//ubiC//flgB//tauC//xylH//nadB//ldtD//exuR//hybF//glnL//phnF//codA//tynA//
KdgR	pdeR//flgN//
KdpE	zwf//cirA//pyrC//fimB//
LacI	glcG//ynbD//hslJ//
LeuO	nagB//prpE//asnA//rhaS//nohA//crl//ybhF//murG//fhuE//acnB//argG//ugpC//fdnI//qseC//glpC//sufS//yfiB//appC//pspF//yciX//
LexA	cysN//glnD//tdcF//osmY//pdhR//uvrB//purB//ydcT//omrA//cvpA//feoA//purE//hydN//chiP//gatD//rpiR//gabD//murP//cspI//paaK//metF//hybC//ssuD//phnE_2//leuC//ddpA//gspO//nuoI//ftsK//aldA//sufD//rffG//mazE//hlyE//entF//dmsB//gcl//yneM//nrdF//ygiZ//nohA//trpA//fliZ//chbB//tyrR//rplT//ugpA//hycF//fadE//fadD//paaE//norV//ugpB//lysR//chiP//mqsR//appC//aspC//galE//
LldR	nagE//hdeB//phnO//
LrhA	mgtL//ycgR//tisB//nlpA//
LsrR	fliJ//aidB//ugpQ//icd//osmC//ppdA//sroC//accA//ubiA//
LysR	atoA//fadA//
MalI	ydfW//obgE//malF//
MalT	citD//yjiY//sulA//rhaD//moaD//glpD//uxaB//tauC//nrfA//lacA//
MarA	nuoN//yqhG//gntK//ruvA//cydD//ssuD//iscR//argA//aroG//narL//nrfB//rutB//purA//rpsU//cadC//nmpC//cynX//flgA//rffH//dapD//folA//lsrK//higA//agaV//caiA//iscR//dsdC//potI//fumB//psd//entC//ybhL//kdpA//nuoJ//araA//csgE//infC//aspC//
MarR	lsrF//dcuD//phnK//
MatA	cysP//prs//asnB//rpoH//hypA//sodB//yncE//citF//
MazE	nikB//lldP//yrbL//
MazE-MazF	pgaB//fdnH//aspC//
McbR	araB//yibQ//dcuA//waaZ//
MelR	folE//copA//ybaT//
MetJ	gdhA//infC//soxS//adiA//mzrA//ydeO//rpoH//dicC//pck//hyfI//rseB//ydfX//yeiB//sodA//araJ//
MetR	malS//ulaC//ybaS//hflD//malX//
MhpR	speA//glgC//glpC//astA//fepG//hybF//
Mlc	uxuR//ygiB//paaE//infC//deoC//glgC//wzzE//rbsK//yhbS//tomB//
MlrA	aroP//sdhA//wrbA//argA//nuoB//yegZ//ydfH//nfo//cyoB//astE//
MngR	argB//fucU//yebG//
MntR	deoA//hyaF//hyaA//hflD//ulaD//
ModE	ttdB//malK//crp//flgN//srlR//yqjI//nanT//nac//araF//yrbL//ymjD//tdcD//mhpD//ydjM//glk//pspB//hyaB//mdtF//recB//iscA//accA//xylF//yhdY//hyfE//fadA//paaE//glgB//xylR//paaA//hycI//rsmH//nimT//hmp//erpA//arsR//ada//zraR//mtlA//garD//znuC//cspI//glpB//appB//flhB//acrZ//deoC//
MprA	fhuC//tdcF//xapA//oppA//putA//yhbE//
MqsA	zraR//phnE_2//epd//lysP//hisJ//yiiS//glmS//entB//
MraZ	fadB//cspI//cusC//ydhW//rffT//ymgA//psiE//fliE//nfo//gltL//citD//ssuB//pstA//dicB//fliE//tynA//xylB//
MtlR	dcuB//fes//ccmD//
MurR	hns//hybE//tbpA//
Nac	fliH//dtpA//efeU_2//ubiA//gpmM//ydhW//umpH//torC//fliH//sgrT//alkB//yhbS//araA//trpE//flgB//ymjD//yeaG//tolC//mhpB//ynbA//ptrA//
NadR	rutE//zraR//ymjC//mazF//
NagC	paaK//fadD//phnF//paaB//marR//ynfK//kbp//infB//phnM//cysU//fliS//gabT//hycH//phnN//yhbS//betT//trpA//lpd//mazF//thiQ//insK//pck//phnM//gadF//glnD//hisP//cadA//yidQ//rprA//flgE//pgaC//xapB//yefM//yhbT//nrfF//fadH//dmsC//
NanR	yibQ//cho//yeaE//folA//nuoA//purK//wecB//cusB//ycdZ//ydcV//cheW//
NarL	modA//mqsR//yegZ//ygeH//purD//slp//motB//alaS//infC//nikA//hybE//fau//astD//uxaA//cecR//gspF//gcvH//alaC//adiA//pdeH//nimT//ykgO//prpE//gatD//higA//argP//potH//ptsI//yqhD//mazF//aspC//cysA//cusC//dps//wzc//ftsQ//gdhA//gltI//crp//ppiD//napH//hcaF//oxc//ygdB//napC//sufE//hcaD//cydD//torR//ykgM//dmsC//hycG//ygdB//fliG//leuC//rutG//nemA//cheA//murE//sbcD//ynbA//yebE//uxuB//kbaZ//glnD//garP//ahpC//rpsO//relA//argO//katG//fruB//wecC//pstS//metN//acnA//flgD//dicB//mhpF//gspF//ydhY//entF//borD//malX//hypB//argP//fhuE//melR//hypE//treC//dgcC//fliS//nrfF//ybaT//hdeB//ygbK//allE//cadC//iscA//purE//yeaD//umpH//nupG//nadA//ccmD//appC//nac//tehB//purL//napF//hypA//rnlA//gcvP//glcA//rpiB//nadA//fliP//dmsA//malY//idnO//dctA//cynR//iclR//
NarP	hyfD//accC//rfe//hipA//aldA//rcnB//inaA//ygeA//cyoA//gdhA//norW//purC//moaC//nusA//zntA//yegH//cvpA//pspE//glnK//tdcF//aldA//fliN//cheA//flgE//nfo//hyfA//nanA//gltD//rhaA//yjjQ//znuC//ugpE//nrdD//xylA//hcaD//lsrR//uxaB//tsgA//phoU//betI//flgG//rdoA//ydjM//pepD//appY//frdC//recF//gor//ptsH//yjbE//
NemR	envC//mgrB//rprA//
NhaR	cysI//hcp//focA//hybB//phoR//sdhC//purK//
NikR	luxS//hns//metB//ygbA//nhaR//ddpF//
NimR	sdhA//nanM//
NorR	ahpF//rtcA//lolA//
NrdR	metJ//idnK//flgB//murE//moaA//cytR//pheS//ydeI//yecT//
NsrR	betT//trpD//ttdA//waaH//adhE//purK//ynfH//sodB//nrfA//cpxP//carB//glnP//alsE//casC//pspE//manX//ydbD//paaC//ybbY//sucD//mpl//fecC//nrdF//murG//flgE//yhbS//hyfC//nuoN//fdnI//phnP//nrfD//aceK//truB//lsrB//fpr//ygiC//napF//uvrD//ahpC//srlR//rtcB//pspA//glpT//ybiT//aroP//garR//nagE//ihfA//lsrF//kdpC//phnC//umpH//citX//ccmH//fabI//ulaF//rpiB//gabT//cadC//osmC//aroF//galK//tsx//ydfX//skp//casE//hokE//rseA//glxR//mqsA//bdcA//hyfB//trpA//hisP//argD//cysN//ybbW//purH//rpmA//sgrS//prpR//creD//fabG//
NtrC	artQ//ddlB//nrfB//dicC//frdD//chbR//srlA//glnH//osmY//uvrB//murF//cho//trpD//nrdH//mpaA//araE//purL//caiA//hcaC//melB//rseC//pyrC//obgE//hyfD//narK//entC//ppdA//tyrB//fepB//aceB//nuoJ//nanM//dapB//lysA//fruB//mdtA//ykiA//ribA//entE//citG//sodA//idnT//ptsG//emrA//allB//yhdZ//ydhW//dhaL//dinG//
OmpR	phnG//narX//ftsI//tpiA//fabG//arsC//aroF//hyfD//malZ//iraM//ygiA//fixX//serA//hypC//sdhC//ruvA//tauD//ruvB//metY//cynS//ytfE//
OxyR	pykF//metK//bolA//grxD//uxaB//tonB//ung//ecpR//malZ//rpoD//dhaR//xylF//ftsL//allE//thrS//cirA//ymgA//dtpA//ubiC//pepA//evgA//yhhY//gltF//znuC//ybfE//kdpA//purM//adiC//glmY//ompC//nuoB//yhdY//tolC//ybhS//
PaaX	marR//nrfA//tyrB//ampC//hcaB//rseC//bdm//paaD//ydhW//astC//ydcT//sucD//gspG//xylB//
PdeL	dkgA//
PdhR	fliH//nrdH//paaJ//zntA//metA//dinJ//aroP//sbcC//uvrA//cheA//purM//fecE//kbp//malS//ygbK//ybhL//wecB//mntP//dacC//mngA//ccmD//paaB//slt//uspA//ftsK//hyi//btuB//purF//rhaA//asnC//fadM//phoR//uhpT//galT//ycdZ//nikR//metI//dinQ//fadJ//katE//dcuD//
PepA	recF//potH//tsgA//
PgrR	hdeA//rcnA//ada//fruK//gpmA//phnO//aspC//stpA//
PhoB	fbaB//mtlD//moaA//ydiU//tauD//yoaC//hyfG//argI//ddpD//recB//ydhU//murF//ilvY//ynfE//lacA//pagP//flgF//umuD//hcp//ruvB//dgkA//sbmA//treC//mraY//mhpC//emrY//fixX//fucI//rplU//prpB//iscS//yjjZ//uvrA//cydA//lysA//mhpB//psd//ybhR//casC//yiaK//gudX//mngA//ndh//exbB//waaY//polB//yqjI//dinB//paaD//tdcC//yegH//katG//betB//hyaC//gltJ//mhpD//gyrA//mraZ//fdnG//nadB//
PhoP	fabI//pheS//hcaB//ybaT//metY//gadA//nuoN//malP//fes//xapA//rtcA//aidB//citD//phoU//melB//yidQ//frdB//rhaS//leuD//xylB//yecR//cas1//dinQ//paaY//yjhB//ynbA//csiD//caiE//uidB//speB//kdpB//yhjA//ssrS//pgk//acnB//citF//lsrG//setA//tehB//hyfJ//cynT//lsrD//dkgA//nrfF//dnaN//bolA//mscM//acnB//psiF//tyrA//fliT//modA//glcD//hcaB//manZ//yegH//
PrpR	ycjG//glxK//fliF//waaY//mazG//
PspF	gltF//phoE//yfdX//acnB//ybaT//ddpF//bioF//
PurR	gntK//ydhU//xapA//nlpA//ynbC//agaR//alsA//fabI//recF//nanC//fecC//tdcD//ydfX//seqA//cyoB//argA//hisQ//yqjA//nlpA//higB//fhuD//paaB//yebG//gltD//ryhB//rpoE//glmU//gadY//ygiZ//ldtC//tsgA//
PutA	ulaE//tomB//
PuuR	tdcB//yhhY//gspJ//agaV//patD//htpG//hybC//
QseB	cusA//nanK//pgaD//psiE//
RbsR	potF//napC//glgC//nikB//paaK//accD//hypA//ubiC//phoQ//
RcdA	amtB//gltB//frdC//ddpF//frc//putA//pspD//dinI//narI//
RclR	trpA//fliM//umuD//
RcnR	mtr//yfdE//prpC//
RcsAB	fhlA//aceK//lon//sodB//nadA//gutQ//yafN//bacA//sdhD//hisP//mqsR//prpR//rbsB//torC//nagA//yeaG//
RcsB	ydiU//ycjG//argC//glnD//yhdZ//chiP//sdhC//purM//ruvB//araA//adiC//entB//fliD//fimE//cysI//glxK//lldR//pspF//mdh//gatC//yiiS//fepG//sulA//umuC//tnaC//
RcsB-BglJ	puuB//mhpT//potH//narH//envC//csgE//codA//araE//ybjG//bioB//folE//nuoF//chiP//artI//mtlA//baeS//
RelB	ruvA//ung//sdhA//
RelB-RelE	argC//ampC//csgG//
RhaR	tehB//paaX//
RhaS	phnO//deoC//asnC//ybjN//yqjI//dgcN//
Rob	flgL//wcaB//sufE//pnuC//dapD//argC//ydfE//paaC//yfiR//purD//hycC//paaI//agaD//ribA//phnM//gntP//sufA//seqA//rnlB//dsbA//yeaG//rpiR//gspM//caiD//wza//dgcC//
RstA	uxaC//rhaB//fepB//fliQ//metH//mhpB//dsbA//edd//cysG//ppc//
RtcR	nlpA//thrS//
RutR	nanM//eno//acrZ//bioC//chiP//murD//pgaA//ynfH//ynfH//recB//mepH//fadM//mdtD//hyaC//nagA//ttdA//hypF//
SdiA	hycE//yhbT//rpoH//yciW//asr//
SgrR	gutM//fhuD//ydiV//ptsH//ymiA//yeaR//dsrA//emrY//asnC//
SlyA	cysB//
SoxR	glcF//trxC//nrdE//
SoxS	fepB//gor//flhB//fes//mhpD//ugpC//mdtF//sucD//feoA//sufD//pgpC//ydhT//phnL//nanS//ptrA//ybdZ//ydeM//phoB//thiQ//garL//nuoN//ydfE//ybhF//fixA//flgD//ubiC//bamE//fabA//chbB//yeiL//potF//dicC//asnA//csrC//chbF//ybbW//metK//gadA//uspD//manY//
StpA	mngA//uspD//yciG//glcE//ilvC//guaA//lrp//
SutR	cyoA//talA//emrB//fldA//paaZ//
TdcA	seqA//icd//lldD//ccmH//phr//isrC//pheM//
TdcR	ybhL//glcA//flgF//cynX//flhC//rclA//atoE//
TorR	garD//tauB//betA//hyfI//citE//purC//ydcU//gcvT//tynA//focA//cdd//ycjY//
TreR	appA//tomB//
TrpR	ptsG//ftsK//gatA//uidR//guaA//rclA//gltJ//ihfA//fliP//speB//nikR//nrfD//
TyrR	paaC//chbB//tfaQ//dhaK//xylF//pqiA//sbcC//purB//mgtL//mdtD//phnK//mscM//
UhpA	yegR//
UidR	argH//yqjA//yidQ//ddlB//
UlaR	betA//gatC//carB//ynfF//aslB//fliL//lacZ//
UvrY	narI//tnaA//mgrB//idnK//ymgC//
UxuR	gatB//ccmF//dinB//fucU//agaW//phnE_1//artQ//dhaR//dgcN//
XapR	tdcC//mazE//
XylR	mprA//prpD//gntP//metB//glnQ//xylR//rbsC//
YdeO	flhC//rpsU//gatY//ydbD//fliT//cadA//cynX//torA//slp//metC//lpxA//flgL//bglF//hybG//cysA//allA//rutB//fucR//gatZ//paaK//thrS//
YedW	yjbG//frdC//aroP//nrdB//tyrB//slt//uidC//flhB//astC//rutE//yoaC//mntH//
YefM	glcG//nirB//
YefM-YoeB	ahpF//fliO//
YehT	nikB//
YeiL	yiiS//
YiaJ	slyB//ybjG//yiaN//cpxA//cyoB//malQ//zraP//arsR//pepD//csgA//
YjjQ	yiaO//yjhC//garL//rimK//tauB//phnH//metI//rutD//mdtE//obgE//
YpdB	yeiB//
YqhC	yeiL//spy//
YqjI	cysW//gfcA//
ZntR	ruvB//
ZraR	yafO//marR//fabH//
Zur	glnD//metJ//mnmG//uidA//lysA//pitB//
