#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sbmC//artJ//
CaiF	gltD//ykgM//ompW//pncB//nimR//crp//lldR//tyrB//sbmC//ygeA//
Cbl	mngA//gutM//asnA//nrdI//pgi//mgtL//rclA//nuoE//marA//
CdaR	purL//gabT//manY//cytR//gnd//mraZ//gor//malX//yebG//nrdI//
CecR	fliH//gapA//dmsC//ddpB//yidQ//
ChbR	lrp//murP//nupC//tdcA//srlR//tbpA//
ComR	nirB//
CpxR	fbaA//ddpF//paaD//paaE//mntP//torR//hslJ//ydjM//frdC//lacY//dgcC//iraP//ubiX//fixC//aspC//glpD//chbA//galR//mgtA//ydcT//katG//entF//nrdE//araF//argB//purH//glpK//paaJ//oppC//hyaA//idnT//ybjN//fabH//hybF//insK//yjeV//ftnA//mtlD//fecD//glxR//tyrP//nrdA//fixA//garP//mprA//ftsW//yhbS//ynfE//modC//glpD//dgkA//fucP//glnP//gspG//pyrD//yqhD//hybD//potH//cynS//ccmA//gntK//ygbK//phnF//hyfG//garR//caiD//glcE//fhuB//ccmB//csrC//
Cra	katE//puuE//fdnH//alsE//hycC//sra//alaC//fdnI//fadL//nuoB//yebE//gatD//mhpC//fepD//ssuC//hns//nanC//rseC//pnp//tadA//dinD//nanM//dgcZ//hcaD//yfaE//srlD//yecT//fdhF//nagA//psiE//moaD//hybF//trpD//uxaA//argR//fruB//argE//folE//yfiR//nagE//rcnA//ulaA//sulA//ugpB//asnB//yrbL//umuC//agaC//glnL//nrdF//pncB//dgcC//adhE//pstC//hycH//nrdH//hycI//gpmM//gapA//ddpX//ybdZ//ldtD//xylG//metR//argA//sfsB//ybaT//wrbA//phnJ//setA//gatD//hokD//yccJ//tbpA//glnL//gutM//yhdZ//modB//pagP//
CreB	flhE//rbsB//yqjI//ccmE//sdhC//
CsgD	cadB//ruvB//hemL//sgbE//tdcF//cysI//phnO//tnaB//puuC//csgD//dps//pgaB//ibaG//stpA//mltF//cheW//leuC//wzb//ogt//bioF//yeiL//ssb//cspI//eno//hyaE//exuT//kdpA//ydeI//
CsiR	ppiA//hyfD//paaI//tsr//gatZ//
CspA	icd//agaC//
CueR	osmY//ahpC//gspG//mhpT//metK//pspC//baeR//
CusR	nanT//hycA//lsrK//fepA//caiB//relB//sufA//ryhB//alkB//yccA//gadW//xylG//
CynR	hisP//murC//hmp//pgaB//
CysB	cas2//ybhF//fliK//murR//flgL//pqiA//napG//sgbE//lexA//nlpA//rhaS//moaC//glk//lolA//evgA//rbfA//argT//rbsA//relB//purD//hyfE//ygdB//pck//thrS//inaA//sodA//purC//ykgM//gcvB//rplU//cspD//ssuD//
CytR	yeiB//uvrD//yiaK//ymgA//glcF//dnaG//nrdA//tyrB//entE//ascF//setA//paaZ//bhsA//
Dan	rcnB//paaY//dicB//caiD//
DcuR	cysP//ilvC//hisJ//metN//entE//yegZ//mntP//dinI//yiaN//
DeoR	fliP//recN//nrdI//csrC//dpiA//wzxE//
DhaR	creC//mgtL//ynfH//nanA//
DicA	fhuF//nfo//rybB//gabT//flgI//dcuD//lsrC//sgbH//
DinJ-YafQ	recN//aldA//xapA//
DnaA	xylB//fnr//recC//yhjX//entS//yegH//mdtB//nanE//ftsQ//paaG//argE//rbsR//
DpiA	gcvH//mlrA//cydD//glnG//fliE//cpxA//nagB//ydeN//puuR//gutM//ydcV//
DsdC	cusR//efeU_1//lpxA//
EbgR	tyrP//motB//
EnvR	atoE//cyoE//
EnvY	lysC//pnp//
EvgA	soxS//recC//fiu//glpD//erpA//hycD//cra//fabZ//ptsG//agaR//cyaR//iraP//efeU_1//fdnI//pyrD//potG//nanT//rpsU//cysM//
ExuR	atoA//hokD//tolC//glpF//paaI//glpQ//purK//rhaB//luxS//
FabR	fucR//metJ//
FadR	csgG//hyaA//treB//evgS//astB//rbsB//flhC//osmY//ymiA//purD//mioC//fecI//casE//nanM//purN//ybhG//alkB//ppdB//motA//astB//metR//hypB//fabZ//
FeaR	fabG//ssb//
FhlA	slyB//tauB//fhuD//lysO//phnD//rcnA//allA//mnmG//ttdB//pgaA//cysK//ptrA//araH//yebG//rutG//mazG//yiiS//metC//sroD//yafP//idnD//ruvA//fliN//gor//phnO//galS//recX//cysG//purD//nrdD//
FlhDC	atoB//flhD//paaG//hisM//yiiS//relA//hyfR//uxaC//yjbH//ybdN//csgB//fucR//sufE//astB//glnP//gltJ//uxuR//recD//marB//potG//fliG//fabI//sgrS//obgE//fepB//efeU_1//ycdZ//rnlA//rutG//recC//fliL//ahpF//narI//csgE//setA//phoP//napB//ttdA//crp//pstS//ryhB//napD//ychF//ubiX//dhaK//entC//uhpT//baeR//yagK//idnK//hisP//dpiB//relB//acnA//wzc//ydeP//ykiA//yedX//flgC//fliO//rcnR//creD//ung//fixB//fur//flgF//rutD//gntU//hybB//ydbK//malI//paaJ//ulaG//srlA//ilvC//prpE//fldB//hcaE//pstS//ptrA//nuoI//hcaC//
FliZ	gfcA//murD//phnC//yeaR//tsr//phoU//nuoF//tdcA//gadW//lyxK//glgA//cysJ//sfsB//agaD//alkB//uidC//fliG//fabG//betT//cecR//rhaT//
FucR	purD//yegZ//ruvB//narX//artP//nuoN//yhbE//
Fur	argB//malY//higB//dps//add//dinI//yqhD//alsE//ppiD//putP//lsrF//aroL//mscM//puuE//nikC//uvrB//fumC//ccmE//marB//xylH//ynbA//recF//fliD//cysI//cynR//paaY//ftsW//chiP//hycI//ddpC//ulaG//thiP//nimR//rcnA//fucA//dmsD//rstB//uidR//fadA//xylR//marB//ybaS//galP//motB//nuoK//artP//napD//tsr//flgI//wzzE//tauC//bacA//uvrD//phoE//betA//glgX//fliO//yccA//sgrR//fliF//pqiB//glpQ//yafQ//alsB//mzrA//kdpC//mtlD//ybdZ//hdeD//torA//fliS//ogt//fdnH//zwf//modC//mdtC//potF//leuB//ybaS//nrdH//epd//ydcS//sgrT//pspA//garL//soxR//oxc//fliS//fldA//yeaD//dpiA//caiD//mraZ//yiaM//fecE//yfdE//ssrS//ubiC//mltF//cytR//appY//casD//cspI//phnD//pnuC//cueO//chiP//fecI//ydhY//ccmA//rplU//gltL//trpC//caiE//ybiT//yhjA//sbmA//hlyE//gor//nimT//aceK//galM//zinT//gloA//idnD//glcF//fabG//ycjY//astC//hlyE//
GadE	fixX//glmS//lpxA//glnP//iraP//mgtL//hcaD//symE//lacY//mglC//tsx//gspI//fixC//sgrS//malG//yegH//motA//bglG//argP//feaR//ebgA//entC//fpr//tauD//tonB//spy//nikB//gcvT//oppD//
GadE-RcsB	zntA//nfsA//iclR//gyrA//csgC//yfbR//fhuD//ompF//cas2//
GadW	rseC//chbB//trpB//hyfR//yefM//ahpC//narH//gspK//rffG//mntS//prpC//gspC//fixA//dicB//hcaF//
GadX	nuoI//phoA//nlpA//modC//ppiA//puuC//htpG//fucI//yjiY//nrfC//leuL//eno//deoC//hyaF//sdhC//putP//gltJ//relA//aceA//dpiA//glmS//trpC//hisJ//ahpC//pstS//glcC//yafO//wcaA//hybC//
GalR	sbmA//cusC//yafP//cysB//yecT//uhpT//gcvB//flgN//carA//ftsK//
GalS	tsr//prpB//manX//adhE//ydeI//melR//glpQ//ydeP//lyxK//galE//
GatR	fadJ//ariR//pykF//gspC//pstA//hcr//
GcvA	yfaE//pspG//hyaC//melR//nemR//
GlcC	fau//glnA//fixA//ptsH//recA//lacA//hycI//
GlpR	dctR//agaV//iraP//nrfE//umpH//tfaQ//napB//mazG//rsmH//
GlrR	yccA//yoeB//srlB//caiT//pheM//
GntR	araF//galK//hemL//puuR//tonB//ybhG//ydfX//leuD//ulaE//pstA//psd//ruvB//
GutM	insD//araG//potF//ugpB//glpT//fepA//fliD//
GutR	purH//yiaJ//moaE//glcF//lsrG//manZ//purL//
HU	yidL//ycjG//phnE_2//pspF//safA//cyaR//patA//uidC//deoC//
HcaR	glgX//ddpD//atoD//gcvT//chbA//ydeI//
HdfR	aroP//cysG//potI//rnlB//ytfE//
HigA	frdD//atoB//
HigB-HigA	hypE//malI//
HipAB	lexA//fdnH//murG//hyaF//phnE_2//
HipB	rob//fliL//idnD//cadA//dkgA//chbA//
HyfR	ydiU//ycjF//zraS//fucU//psiE//ariR//sroC//tauA//cysP//citG//gspH//hipB//
HypT	zraS//alsA//rpiR//sgrT//ndh//hybB//betA//gspG//nikE//ykgO//gntK//treB//yagK//
IclR	yqjI//intQ//dcuS//purL//
IdnR	tnaB//metH//murD//uof//rbfA//nohA//napH//
IlvY	folE//wecE//
IscR	cyoB//araH//wcaB//malP//lysR//fecB//phoU//paaG//hokE//rseC//trpR//yafQ//ebgC//wecE//bioD//garD//ydfE//yedX//uvrD//caiF//gutQ//fepG//dmsA//paaF//emrB//ytfE//nimT//moaA//zraP//cysU//sufS//galP//
KdgR	uspD//gntT//
KdpE	ryhB//treR//ccmB//hyfA//
LacI	cynT//araF//nrdD//
LeuO	prpC//murI//cysE//gspL//ydcS//frc//yeaG//hdeD//leuA//carA//galS//betA//hyaF//glnQ//rffH//yibQ//grxA//mazE//entF//cydC//
LexA	nanM//nuoN//rprA//aceF//torC//ytfE//rutD//napA//fliK//frdD//malM//srlE//sufE//dmsB//bolA//nuoA//relE//galR//dinQ//fabA//glnL//pgpC//gspE//gntP//alaC//mscM//argO//lacA//mdtD//cysC//cspI//aroP//fadB//ugpB//flgN//yiaO//ptsG//oxc//oxyR//gudD//paaG//rpoE//acrA//rfe//fliR//ydeM//aceF//pgpC//iscS//yfiB//aroF//nfsB//recN//mazE//ydeO//rob//glmS//ulaG//moeB//
LldR	nirD//fabI//atoE//
LrhA	nuoF//gor//yccT//deoA//
LsrR	ecnB//yhhY//fliI//ugpQ//pyrC//carB//deoD//yncE//mlrA//
LysR	fepA//ung//
MalI	ymjD//fhuE//nuoA//
MalT	glpK//gcvH//ompC//bglB//hyfR//katG//sufD//argC//hypE//bglG//
MarA	lysO//moaE//bioA//yjhC//yiaK//hyfH//dcuA//ulaG//glpF//malI//lysR//envC//ydfW//ynbA//ytfE//fliL//ugpC//xylH//sbcD//argH//paaX//gyrA//nuoA//fhlA//nuoL//borD//hypF//glmS//fpr//pgk//emrA//ugpE//alsE//paaG//gdhA//fhuF//narL//ybjN//
MarR	wecC//cspD//cas2//
MatA	ygbK//argA//argD//moaC//nikE//fliR//sgrT//gatZ//
MazE	malY//alsC//paaY//
MazE-MazF	mtlA//glk//hycB//
McbR	citX//fadJ//mngA//ydfX//
MelR	recB//dcuD//crr//
MetJ	ycjX//yecT//ddlB//puuA//yeiB//oppB//hcaF//entD//cysN//ygbK//uxaA//uxuA//gpmM//cusA//argI//
MetR	tadA//eno//rpoD//lolA//flgE//
MhpR	narH//rbsB//rnpB//gabP//hybC//yjhB//
Mlc	hisQ//fpr//dacC//mglC//malF//dpiB//ppdC//norR//tynA//treC//
MlrA	fhuE//paaB//sufE//bacA//adiC//agaW//glpF//fhuF//ndh//asnA//
MngR	dmsD//fecB//mgtA//
MntR	chiP//alkA//nikC//malP//paaH//
ModE	rpoD//agaB//yeiB//nanS//ycjY//ebgC//ada//hyfJ//oxyS//dhaM//fucI//ddpB//malK//nuoB//cpxQ//focA//melR//feaR//flgH//pqiB//cysM//paaF//crr//astC//sufS//ygeA//gcvT//yfbR//lamB//rpsU//gabT//tam//ybjG//mraY//yjbF//ftsA//yiaM//nadA//wzc//ppdC//fecB//mlrA//garR//chbA//rstB//ulaE//
MprA	cpxR//nrdA//norR//uxuA//allA//creB//
MqsA	fliL//ychF//hybD//leuO//ryhB//yeiB//metJ//ulaB//
MraZ	efeU_2//araJ//mcbA//lgoR//frdA//prpE//mazG//allD//cheW//rbsC//rnlB//yqjA//dinD//glnD//idnK//dgcN//tauD//
MtlR	feoA//soxR//ttdT//
MurR	sdhD//csiD//trpE//
Nac	intQ//ulaB//rbsB//alsE//dnaN//sgrS//aceF//araA//sulA//cysC//ftsZ//flhD//ynfE//malM//manY//gudX//zraR//tpiA//garR//metQ//yhhY//
NadR	uvrA//pdeH//nikC//accA//
NagC	citF//modA//mtr//ddlB//rutD//pepD//pgaA//setA//yecR//ugpA//hypA//dmsD//dinQ//folA//sbmC//pqiA//gspI//thrS//ulaD//prpC//marB//mglA//ybfE//sulA//ydcS//fliL//sufA//bglG//leuA//potG//araG//pck//ybhF//pnuC//wzxE//acrB//hcr//
NanR	nrfE//idnK//poxB//hypD//mgtL//ydeP//nikB//gcvT//paaH//narL//accC//
NarL	glpQ//rfe//fldB//ftsZ//ebgC//ycjY//paaA//higA//frdB//fliM//malF//nhaA//fepB//rybB//metN//gltL//rpoS//csgG//gspG//napA//fepA//hcaB//nimT//ecnB//dcuD//ssuC//hlyE//garD//malS//tdcE//hns//yeaE//yhiM//gatA//ubiX//srlB//metI//pspB//yoaC//cysP//ydcU//alsC//cueO//mgtL//gabT//frdB//sgbU//pstA//lsrR//nemR//ynfK//glnD//astD//dps//ydfH//btuB//evgA//nmpC//artJ//tdcF//rpoH//arsC//xylF//fadB//ecnB//rarA//add//pspG//ftsZ//allD//aslB//ybhG//umuC//bdcA//ddlB//puuE//add//tomB//flgE//galS//rhaD//fbaB//lrp//puuE//ahpF//narG//seqA//hokD//tyrB//moaC//oppD//tcyP//dps//cusA//agaR//mtr//borD//speB//umuD//fliR//oxyS//glgC//cydA//ynfK//cyoD//ybhG//purA//cynT//cusF//mepH//dmsC//cheW//paaD//glxR//glk//hybB//ykiA//mazG//chbR//thiP//melB//ecnB//hyfI//
NarP	atoD//frdD//feaR//tam//malY//dinQ//dctA//rclA//btuB//yidL//asnB//inaA//gcl//dcuR//chiP//sufC//ydhX//citC//ruvA//cysC//yjhB//wzb//erpA//infC//wrbA//dkgB//pstB//dhaL//paaI//exbD//cynR//cecR//ssuB//pck//aspC//uvrC//alkA//rhaT//fdnI//dicB//hdeB//leuA//hyfR//narL//gntP//paaG//yjeV//mntS//fliQ//nrfE//
NemR	rob//wzzE//tdcD//
NhaR	psd//mdtC//xapA//nimT//tktB//waaY//modA//
NikR	nrdG//ydiU//creD//ddpF//dctA//gadA//
NimR	chbC//gspL//
NorR	kdpA//nikA//amn//
NrdR	pspF//sbcD//yoaG//lhgO//feoA//metC//gcl//tyrR//srlD//
NsrR	yiaN//nuoC//fhuF//glpK//hflD//guaA//cecR//flu//nikE//rcnA//flu//garL//rimP//appA//rhaS//argA//metR//evgS//fixX//bglG//nrdG//moaE//feoB//ccmB//deoB//cyoA//fadM//tsx//frc//mglC//hemL//yhdZ//phnF//ung//hdeD//gatC//sufB//borD//sbcC//potG//carA//qseB//creC//nuoK//oppD//gabD//fliI//ybbY//pdeH//hycB//mdh//galT//gabD//iclR//bglF//glpA//yiaJ//hybD//ugpC//hypF//agaW//cspD//yjbH//trpC//ldtB//gadW//dpiA//ulaD//bglG//ssuD//lsrR//gltL//talA//hyfI//hdeB//tdcD//nuoK//yciG//fadL//mepH//marA//uxuR//metH//
NtrC	nanK//citC//acrZ//ycgZ//mqsR//napH//psiF//fepA//pgaC//mngA//malY//exuT//ycdZ//phnM//mpaA//glyA//uvrA//hycH//lsrK//waaY//tsr//purN//yegH//narJ//fabH//metK//waaZ//dkgB//dkgA//rutA//ccmA//cysI//malX//malK//phnH//gcvA//cysA//fadM//kbaY//ccmA//nrfE//galK//tdcG//phnF//grcA//fecD//gspI//nuoL//rhaS//
OmpR	lsrA//trpR//ymgA//flgM//tyrP//erpA//flgM//yedX//nuoG//tehB//betT//uof//puuB//zntA//acrA//napG//hypC//treR//yhcH//rstB//lacY//
OxyR	recC//hyaD//csgG//lysP//narX//napF//yedX//norR//yciE//nlpA//recF//lysA//yeaH//zraR//nadB//pgpC//hemL//glpQ//napA//modC//fliZ//fabG//ydhW//sodA//aroM//lldR//ssuD//sufE//yqhG//feoB//dinJ//folA//mglC//phnM//
PaaX	aceB//rseB//rseC//rtcB//casE//ychF//ydeI//wcaB//mngA//yeaD//glk//pspD//srlB//ptsH//
PdeL	seqA//
PdhR	phr//ybdN//flgE//fbaA//sodA//yecT//gcvH//dicB//csgC//narG//umuD//nuoE//idnR//yrbL//ydhW//hycI//mqsA//fecD//ptrA//ybjG//leuD//deoB//mdtC//yqjA//cynR//yjjZ//murE//argB//tnaB//artQ//bglG//znuB//nrdI//alaC//pspC//sroC//mdtF//psiE//spy//tyrR//nrfC//
PepA	ugpB//metK//yafO//
PgrR	sgrT//nirB//casD//exbB//recX//pheS//fadB//rcsA//
PhoB	hyaC//focA//ccmC//gltB//leuO//uvrB//wza//hybD//wecC//ccmF//ydiV//artM//rnlB//hycD//lsrF//gspE//ubiX//uxuB//ybhF//hycF//hcaR//cysE//csgD//uidA//moaD//gspD//nrfB//gspI//fdnI//sbmC//ahpC//murI//murP//gabD//lsrK//entA//rbsK//ycjY//fimE//dcuS//gatC//gadW//sutR//dps//iclR//rhaB//ybhS//ugpE//nac//cas2//ytfE//malI//nrdG//agaC//ptsI//ddpA//ascF//glgC//soxS//narL//
PhoP	allA//fliS//rcnB//yjhB//rutE//cecR//fecE//hypC//yqjH//accB//fdhF//nikR//gntX//hyfF//dmsA//narG//yccT//gadF//dinQ//gspD//glgP//gspI//cvpA//malQ//fliD//tbpA//yfdX//phr//dkgA//cusR//arsC//crp//nuoN//lgoR//tauB//garR//flgJ//tdcC//flgI//ssuB//cueO//fdnH//mhpF//nikR//nimT//entA//araJ//oxyS//ptrA//fliA//puuR//nimR//mhpE//glk//agaW//pagP//
PrpR	hyaC//hypF//soxS//gadF//nimR//
PspF	mscM//alaS//ydiU//ygeA//evgS//malS//ssb//
PurR	znuA//ecpR//ppiA//amtB//dapB//fepG//lsrC//ubiA//murF//aceK//nohA//iscS//dctR//pstB//znuC//ppiD//gcvP//wzzE//sutR//rbsD//sroC//hdeB//nanE//rfe//cyoE//uspA//fucK//bioB//sufB//lysP//sbmA//
PutA	ydeO//ynbC//
PuuR	ybhG//ulaD//prpB//araF//ugpC//alsB//emrY//
QseB	rutD//lsrC//citX//glgC//
RbsR	alsB//yqaE//murF//gnd//lpd//chbG//rhaT//dacC//ruvB//
RcdA	hdeB//gnd//guaB//mnmG//nuoB//carB//ulaC//alsC//citF//
RclR	lpxC//moaA//phoH//
RcnR	ynfH//dnaG//yiiS//
RcsAB	fliG//hcaF//glnL//ompC//flgE//rpiR//asnA//napB//relB//yhjA//rutG//caiC//nusA//wza//glxR//oppC//
RcsB	ydjM//uxuR//nikB//amtB//pyrD//fiu//caiD//gpmM//fucA//fau//entB//agaV//paaA//yoaG//cydC//ydcS//rutB//thiP//ydcV//ydcS//add//nfo//lsrA//mdh//ydeM//
RcsB-BglJ	thiP//acrD//casA//sdhA//ssuB//lpxD//fabD//mraY//zwf//sucD//glcG//lsrA//purL//emrB//yagK//hyaB//
RelB	fabG//grxD//rprA//
RelB-RelE	xylA//codA//zraS//
RhaR	paaG//prpB//
RhaS	rbfA//uof//prpB//ycdZ//cysC//nanA//
Rob	cynT//relB//ydhX//nupG//nrdA//csgE//ydeM//glnB//sgrR//deoD//rutG//potI//flgD//mglC//artP//nhaR//hyfA//sbcC//fpr//ynfK//fliI//tktB//citE//fadD//qseC//ydfW//
RstA	phnH//hypC//fliD//thiQ//mazF//glmY//gatD//casD//dcuR//malF//
RtcR	flgI//fecE//
RutR	yafP//allB//cas1//dnaG//dapB//ccmB//tcyP//argD//sfsB//ygiB//argE//recX//hisQ//dkgA//lsrG//waaZ//pdeL//
SdiA	chiP//yhbE//fliL//poxB//tynA//
SgrR	nrfG//yjhB//moaB//mraY//relB//agaB//nrdD//evgS//phoA//
SlyA	hyfI//
SoxR	sufB//murF//hcaF//
SoxS	paaX//nemA//araB//nuoC//fliM//ycgZ//ydhU//norW//artM//artJ//entB//ubiX//pheM//modA//nagC//rutF//tdcA//rnlB//rstB//kdpB//arsR//hypF//ybhF//yegZ//aceB//yiaJ//sufD//galM//sroC//pstS//phnE_1//dmsA//tdcF//wzzE//moeB//tdcG//paaF//nanC//hlyE//sra//
StpA	sutR//caiD//oppC//cho//ydcT//pncB//mpl//
SutR	gdhA//aceA//polA//metJ//rutC//
TdcA	nikE//rimP//allA//mepH//gltI//ybdN//artQ//
TdcR	uof//phnK//fucO//nanK//nirC//xapA//yneM//
TorR	csgB//pgaA//aroG//idnT//dsdA//nac//ulaA//paaX//rutF//motB//nrdD//puuB//
TreR	astE//yfiR//
TrpR	yjeV//ydcS//ygiZ//uvrA//gltB//evgA//nuoK//pnp//phnK//argO//katG//yhbT//
TyrR	fhuE//purH//sufA//lsrA//emrA//ycgR//codA//yjiY//dcuA//agaW//phoA//purL//
UhpA	cysB//
UidR	yoaC//yeaD//lpxD//flgE//
UlaR	pnuC//gspH//iscR//potI//yaiA//gyrA//yqjI//
UvrY	rarA//murF//idnO//hcaF//citE//
UxuR	rsmH//nfo//dgcZ//betB//phnE_1//ydeP//ynfE//dmsD//hycI//
XapR	rutR//feoC//
XylR	udp//fadH//glnL//thiP//argH//dhaK//sdhD//
YdeO	mazE//wzxE//emrB//yciX//puuC//glpB//rbsB//entH//flhB//aslB//fucP//ddlB//hycC//feaB//acnB//tonB//gltJ//entS//agaI//uxuA//garL//
YedW	gadA//codA//bolA//purB//glcD//rtcA//ycjY//evgA//lgoR//lysA//tnaB//exbD//
YefM	nimR//ykgM//
YefM-YoeB	wecC//hyaB//
YehT	fliP//
YeiL	metB//
YiaJ	katG//creD//fhuD//copA//mgtA//argE//eno//dmsC//ompC//araG//
YjjQ	uvrB//leuO//srlR//nagE//paaB//glxR//mhpA//dgcZ//aroH//yqhG//
YpdB	gnd//
YqhC	nemR//phnN//
YqjI	gadY//ddpF//
ZntR	cbl//
ZraR	lsrF//ydjM//srlE//
Zur	ung//ddpC//ppiA//purL//ddpA//tsr//
