#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	gntT//fliE//
GlpR	fadA//fadB//isrC//glxR//erpA//hypF//nrdI//agaC//sulA//
GlrR	ynfF//intQ//phoH//thrS//fadA//
GntR	ygeH//ynjI//mgrB//entH//flgJ//pgpC//ccmC//dsdC//dgcC//malE//rutE//ymiA//
GutM	yjhC//flhE//hyfR//gspD//umpH//speA//flgE//
GutR	gspH//glnP//psd//acrA//gspF//torC//nhaA//
HU	envC//pstB//pgi//ompN//caiB//yidL//luxS//ascF//ribA//
HcaR	flhE//moaD//nuoB//nemA//ydiU//glnQ//
HdfR	xapB//chbR//ihfA//flhC//ssuD//
HigA	fdnH//lrhA//
HigB-HigA	eda//yhbS//
HipAB	mcbA//narI//setA//ahpC//soxR//
HipB	rhaA//rhaB//wcaA//csgF//dsdX//frc//
HyfR	nrdF//fucA//tsr//rffM//nfo//ybhS//fabI//tisB//cydB//sdhC//mntH//cyaR//
HypT	add//rhaS//ulaD//xylR//zinT//dmsA//idnR//marB//dhaK//ynfE//acrB//pspB//yoeB//
IclR	rob//pdeH//dinB//mltF//
IdnR	glnD//zwf//rplT//efeU_2//dcuD//skp//flgK//
IlvY	agaI//fbaA//
IscR	yqhD//thiP//ftsW//gltI//nadB//nrfG//glcC//fliZ//ptsI//acnA//lpd//crp//yncE//cdaR//gadB//nrfB//casA//entE//glnK//tauB//treB//ftsL//htpG//mgrR//rplT//tbpA//acnB//metH//ubiC//skp//ygeH//chiP//
KdgR	aceF//glpX//
KdpE	ddpF//bioC//zinT//sodA//
LacI	fucK//nrfB//dkgB//
LeuO	hycE//metF//nirD//ugpQ//pheS//marR//ydhW//yqjI//sucC//dgcN//nemR//yeiL//bolA//yqjA//metI//glcE//rhaR//hyfG//frdD//cysG//
LexA	tcyP//grxD//ftnB//argO//alsA//caiA//ulaD//tdcC//yjiY//phoR//sroA//lsrF//nhaA//fadA//pspF//mgtL//emrB//csgF//ybhF//paaF//ymiA//rplU//torA//fdnI//mscM//hyfC//exuR//argD//recX//fadD//feoC//lacZ//hdeD//yciG//tktB//yafP//sgbU//sufS//caiE//nirC//yfiR//caiF//rffC//ybjC//glgA//sodB//yefM//sutR//creA//norR//astE//mtr//rsmH//ydiU//uspD//fepA//ulaC//hflD//pdeL//
LldR	ccmE//puuR//gspI//
LrhA	galT//fabZ//fepE//gspH//
LsrR	sufC//hdeA//malS//dmsC//trpR//wecE//yeaD//idnT//ydeP//
LysR	cysW//gspJ//
MalI	pstB//pgaD//potG//
MalT	pitB//gspI//prpB//ynfH//yhhY//dcuB//oxyS//ydfW//astA//pepD//
MarA	insD//metI//yciW//gadE//ydbD//dpiA//prpD//ssuE//sufE//fecR//oppD//fecD//ddpD//acrZ//yoeB//lldR//cysG//ydcU//gntP//dapB//tnaB//narG//ybbW//flgE//narI//yiaO//garD//idnT//lsrA//hydN//fadL//mglA//acrA//rbsR//ihfA//hmp//ubiC//gspM//
MarR	feaR//sdhD//rffC//
MatA	rbsK//fliO//mioC//ryhB//rutF//phnJ//manX//xylH//
MazE	garP//yhcH//tdcA//
MazE-MazF	nfsA//carB//exbB//
McbR	pgaD//lolA//zntA//mdtE//
MelR	rutG//dmsB//mntP//
MetJ	rob//ilvC//fadI//araD//araC//ascB//fadI//nanM//ssuB//dnaN//gadA//dsdA//hcaB//alkA//flgC//
MetR	csgB//napA//flhC//glcB//garL//
MhpR	kdpA//lsrC//ftsL//kdpB//thiQ//ugpQ//
Mlc	nikE//ymjD//nupC//casC//fhuD//ydhT//flgB//phnC//metR//folE//
MlrA	cysD//ssrS//wecC//xylG//torR//lamB//flhC//ydfH//glxK//yjbF//
MngR	ygiC//exuR//fucU//
MntR	lpxA//evgS//ptsI//trpD//dhaM//
ModE	betI//rclC//gdhA//decR//fliH//ydhV//lpxA//gspI//ariR//ccmF//pqiB//glnD//caiF//napF//hcaE//ldtC//chbF//cvpA//dapD//narG//hycB//murD//patA//phnJ//sodB//narI//bamE//polB//lacZ//talA//mhpB//dnaG//waaH//appY//argH//ddpC//cusS//cysN//oppB//entD//tam//oppD//tyrA//cadA//yegH//lldP//
MprA	metR//dsdX//rarA//hyfF//melR//caiE//
MqsA	mazG//ompT//dinQ//lysP//lysR//nohA//allC//ptsH//
MraZ	gspG//alaS//tonB//fiu//casE//rnlA//flgJ//ybjC//creA//tauB//bdcA//uidB//leuO//ybfE//metK//pstS//nanS//
MtlR	napB//fixC//yeaD//
MurR	mscM//artQ//pgaB//
Nac	purA//cdaR//phnH//ycjG//wrbA//pspF//ftnB//tolC//norV//flgN//fucK//betA//hipA//cydC//hisP//btuB//purR//nadA//mpaA//glnQ//mepH//
NadR	fucA//rbsB//nagA//ebgC//
NagC	cysW//nrdH//napA//acrB//ykiA//leuA//argC//mntH//yjjQ//napC//idnK//tyrB//lsrF//fixA//purD//yeaH//pepD//isrC//ppiD//degP//rclA//cusA//treC//puuE//ugpC//moeB//caiD//ycjX//fliN//iscU//dcuB//betB//trxC//ppiD//gfcA//nhaA//fimB//
NanR	cynS//ydhW//torC//glgC//ynfF//sdhD//fhuE//glnQ//ccmC//hcaR//nuoE//
NarL	fabZ//lyxK//citC//murE//intQ//ascF//fliO//osmY//fliM//alkB//ygiA//zraR//paaG//rpsU//fecI//mlrA//ykgO//evgS//hcp//phnE_1//waaY//yeiB//yafO//cyoC//entS//rpsO//ulaE//murP//slyB//tynA//cadC//hybO//fixB//glnP//puuP//flgL//metQ//flhE//yqjI//cra//ompT//modC//fucR//ygiA//mraZ//hycB//nac//inaA//recA//oxyR//phoR//astD//borD//yhbT//manZ//napA//dcuB//focB//speB//yfaE//aroL//rtcB//ymjC//fucU//ulaE//pfkA//hipB//narJ//agaD//lon//feaB//eno//murC//gcvP//cysW//rutB//nhaA//ycjX//ybfN//dpiB//oxyS//ydcT//acrB//tisB//ryhB//yncE//ydbK//flhA//tsr//nirC//ssb//feaB//ilvC//treR//rcsA//nirB//acrD//malS//tdcE//ytfE//metN//ybbW//yoaG//sbmA//oppB//glnQ//allC//tam//nuoL//yoaG//rhaS//asnB//tnaC//allD//paaI//murP//allC//hcr//uxuB//caiC//dhaR//fepC//baeR//
NarP	insK//narI//wecC//leuD//hydN//flhA//xylH//nirC//uspD//chbA//cspD//nuoA//yjhC//betT//uvrA//glpC//argC//polB//glnL//gadC//tolC//pflB//wzc//alsC//ybbY//fadH//phoB//gspE//yeaR//rarA//creC//yegR//yeiB//dacC//rcsA//pstS//araD//nuoM//glgC//cas1//tsx//uidB//bglB//borD//ydhU//nrfD//kbp//fecR//fruA//cynR//
NemR	ulaB//argA//dsbG//
NhaR	ugpC//gatC//fadL//mlrA//gabP//spy//yaiA//
NikR	phnI//glxR//flgG//fabI//ydfD//xylG//
NimR	rhaR//yjhC//
NorR	dinQ//hcaB//chbC//
NrdR	nupC//phnL//napC//ompN//tnaC//hyfJ//argH//phr//hybG//
NsrR	osmY//rhaS//metL//recX//ynfF//ydhT//fecA//murE//pnuC//gabD//fpr//phnN//cysI//argR//ldtB//murE//accB//dmsB//mglB//casB//ecnB//sucB//hdeB//flgK//recD//hcaB//mntP//dgcZ//citE//hybA//ycjF//creC//aroG//rutE//ptrA//cpxA//ybhS//yhjC//paaI//fadE//argF//moaB//mazF//hdeD//yidL//moaE//sufA//yhcH//tyrP//dhaR//fliN//adiA//asnB//pnp//prpR//mioC//bacA//soxS//kdpF//murC//fruA//cas1//uvrC//xapB//fhuB//nuoM//garP//rclC//hdeB//gadB//idnK//fecE//purK//gapA//dmsD//uxaB//cho//nrdB//luxS//ldtD//ybjG//cdaR//cyaR//
NtrC	fepA//fadE//gadE//dacC//asnA//ygiC//chbR//creD//ecpR//mlc//hycC//ybaS//yiaM//araG//fliR//cusF//umpH//pgaA//ydfN//ydeO//mglC//ppdA//glcA//wza//cueO//puuR//fabH//ccmH//murQ//ynjI//ygbA//nikC//leuO//yhdZ//rutA//phoB//glxK//osmB//galE//putP//lysO//hyfB//ydiU//yegH//nanC//agaD//glcG//tehA//yecR//
OmpR	cytR//relA//rcnR//ccmD//phnG//cynS//glnH//glxR//fliZ//trpA//ymjD//rseC//dctA//hcp//alkA//potI//osmC//gspJ//fhlA//rcnB//fepB//
OxyR	flhA//bioA//yhdX//agaW//metL//oppD//yhjC//degP//purL//nrfD//argP//ssuC//cheW//lrp//ynbA//ssuC//metN//oppD//sucD//trpB//tsgA//thiP//dpiA//araG//glcB//mngB//tktB//appX//ulaF//icd//ydfX//argO//tauA//ung//
PaaX	astA//mhpF//gatD//ubiX//napC//tdcA//metK//gltI//glgB//yidL//tcyP//rutF//sucA//malT//
PdeL	fhuA//
PdhR	tsgA//pspD//nuoN//ybjN//ppdC//fecD//feoA//sgrS//nmpC//glpB//nadA//fecB//caiE//rbsR//metQ//rseA//pepA//uxuB//uxaA//csrB//ybhS//purA//osmC//acnA//cysH//dinF//cytR//hybG//tynA//paaK//rarA//hyfE//araD//mqsR//fruB//metL//nanE//srlA//uof//nimR//fliF//
PepA	gspH//cysE//glpB//
PgrR	fliH//aceK//intQ//mglB//fliA//cas2//ygdB//srlE//
PhoB	mdh//rpoH//yoeB//rybB//rarA//guaB//ssuE//metL//gadC//malY//atoD//cysU//paaF//hcaR//ydeP//flgB//gadB//nagE//hyfH//dhaL//cpxR//dapB//dgcN//fldA//gfcA//dkgA//ygiA//qseB//alaS//tehB//mpaA//fliN//codA//artQ//seqA//trpR//fliP//csgC//uvrB//torD//malI//hydN//hycE//mngA//lacA//katE//purE//nagA//ssuB//napG//exuR//sufD//manX//ybhF//nuoK//copA//emrA//inaA//pfkA//lexA//
PhoP	creA//galS//tsgA//malT//speB//ccmG//umuC//betI//gspM//yiaL//ybjG//idnO//ybaS//phoB//flhB//putA//nagA//ynfG//cydA//mngB//sbmC//yqaE//appC//nhaR//wzb//nuoK//yoaC//flhC//rseC//artP//ybhL//tauC//hybE//dapD//rutA//yjiY//zinT//yiaM//purA//dapD//ssuE//ccmH//cheA//yiiS//moeB//yfaE//ahpC//wcaA//sdhA//fdnI//malK//ygiB//cysM//gatC//gltJ//yjjQ//
PrpR	lgoR//mgrB//hcr//cspI//metQ//
PspF	cysD//metQ//gadC//manY//rbsC//asr//rutR//
PurR	malG//fucR//araD//fldB//adiA//metK//rbfA//rhaR//patD//cyoA//ttdB//nfuA//glcE//hyfC//fecA//purM//agaA//glpT//caiB//hypD//iscS//pnuC//araB//ygaC//artI//gspK//gadF//nanC//fruK//exuR//focA//
PutA	murR//potH//
PuuR	yiiS//garK//yciX//phnG//iclR//adhE//iclR//
QseB	btuB//xylH//phoR//aslB//
RbsR	tisB//cyoC//tdcF//glpB//agaW//flgB//gutM//ihfA//yeaE//
RcdA	cynS//flgJ//lldR//skp//rpsU//emrY//ftsK//yqhG//aslB//
RclR	hyaA//phnF//phnC//
RcnR	wecE//phnC//feoC//
RcsAB	glnL//zraR//ybhR//gadB//hyfH//narK//casE//ddpC//tehA//purD//ygiA//wecB//ydfH//fucU//kdpA//nirD//
RcsB	flgK//prpB//ubiC//rpiR//ygbA//tehA//deoA//acrZ//fliA//feoC//astB//aceB//hdeB//sufC//nhaA//nimT//paaY//cusR//uvrY//rpmA//casB//srlE//lhgO//rbsK//agaC//
RcsB-BglJ	cynX//fnr//glpA//ldtC//rutC//hyaB//cueO//acnB//ynfF//agaR//lsrC//tcyP//pfkA//mraY//fabH//relA//
RelB	rimP//rpoE//ydbK//
RelB-RelE	dnaG//gadF//citC//
RhaR	astA//hycG//
RhaS	ycjF//yjeV//cysD//alaC//dsrA//rnlA//
Rob	mdh//hisP//hyfE//setA//insK//astB//yeaG//flgD//hycE//ubiA//artJ//yidQ//nmpC//hcaR//zraR//trpD//yagK//accD//murE//sgrT//caiD//sufS//purC//paaC//ogt//csgE//
RstA	exuR//lon//decR//entC//nuoC//glmY//hflD//malE//yhbE//nupG//
RtcR	relA//ldtC//
RutR	tehA//hycG//ycdZ//ugpB//nupC//fabI//srlB//hokE//gfcA//yncE//exuR//pstB//argT//amn//flgD//emrK//yccA//
SdiA	atoA//pdeL//cydB//aslB//fldB//
SgrR	gatY//araB//ttdR//ulaA//edd//evgA//fliC//tktB//ahpF//
SlyA	higB//
SoxR	mpl//dgkA//gspM//
SoxS	ihfA//fliS//cysK//fhuF//ulaB//yiaM//pagP//aidB//dkgB//frc//lsrF//nuoA//csrC//purL//caiF//chbA//norR//efeU_2//srlB//rutF//yhjX//puuD//narG//wecE//phoP//fiu//tdcE//chbC//uxuR//mazF//artI//gapA//isrC//murF//pdhR//ygbK//wecE//ascF//gspD//sucD//
StpA	argH//fecD//zraR//oxc//epd//fldB//hycE//
SutR	galE//aroF//ulaE//torR//flu//
TdcA	rbsR//ycgR//nemR//pfkA//hyaD//fepD//phnG//
TdcR	ldtB//allC//mglC//hyaB//xylA//hisQ//epd//
TorR	trpA//speB//puuC//glnB//mdtC//fucP//yeaR//skp//dicC//gatB//aroL//pstC//
TreR	oppD//wzzE//
TrpR	glmU//mqsR//ftsQ//nagA//hyaA//narL//cpxP//ilvC//efeU_2//hyfJ//recA//chiP//
TyrR	yciF//setA//malS//gnd//tdcD//sbmA//hns//araJ//higA//fldA//sucD//mdtF//
UhpA	glgC//
UidR	yeiL//cysI//hyfR//betA//
UlaR	phoU//rhaS//napD//fepE//flgF//rutC//ygbK//
UvrY	emrB//purE//frc//fucK//baeS//
UxuR	alsE//rffM//pspD//mgtA//mdtB//yjjQ//aidB//paaC//nagE//
XapR	dsdA//hemL//
XylR	glgB//metI//fhuD//slp//nrdI//safA//ykiA//
YdeO	csiD//mazE//ptsG//gutQ//gspL//mcbA//ibaG//bioA//yccT//cdaR//ygiB//marA//yqjH//yefM//prpR//fepD//yjbE//hyfC//purL//yciE//dnaG//
YedW	mdtB//psd//rpiB//astB//ruvA//ydhW//hypB//betB//cysB//lhgO//ydcT//yedX//
YefM	galT//exbB//
YefM-YoeB	osmC//iscR//
YehT	potH//
YeiL	ung//
YiaJ	csrB//hisJ//modC//glnP//omrB//purM//tyrA//puuD//phoH//dnaG//
YjjQ	kdpC//kbaY//fadR//pdhR//tsr//phnM//ulaF//ppc//ampC//phnI//
YpdB	cysD//
YqhC	ybhR//bdm//
YqjI	argD//flhE//
ZntR	hydN//
ZraR	gabP//hcaR//ulaB//
Zur	lamB//sbmC//pgaD//rbsA//rbsA//sucB//
