#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	nrfF//motB//
CecR	caiF//recX//ycjG//paaH//sgrT//
ChbR	glpF//paaY//uhpT//purM//rutE//lgoR//
ComR	yhdX//
CpxR	rffC//narX//pdeR//rutB//pspD//dinD//nirC//agaS//napF//paaX//ygiA//yjiY//znuC//yegZ//ydcV//katE//cadA//araJ//rimK//glnH//sufE//rcnA//rutA//emrA//nrfE//bioB//mglC//ulaB//casD//infB//pqiB//paaI//allD//rob//modC//metA//lldP//hypA//ybjC//putA//glnL//mhpE//yegR//frdA//yjjZ//purB//rpiB//alsE//asnC//cysK//uxaA//argR//rfe//atoE//osmY//argD//caiE//narH//hyfJ//pdeH//thrS//malP//lsrC//dinD//murP//hyfC//argA//gadY//cydA//tauC//
Cra	fucA//tisB//glnP//exbB//murP//sucD//araJ//cas1//yebE//yeiL//csgA//glmU//nimT//nuoE//creD//bacA//dhaK//uxuR//ugpE//ydhV//rpmI//fecB//caiB//glnL//ydfD//lldD//flgD//metJ//uvrY//pqiB//rffC//sdhC//glnB//aroL//glk//yagK//patA//hycI//gltL//envC//cspI//iclR//fadA//zraS//frdB//ydfH//bglJ//yagK//psiE//yciG//phnO//fldA//lon//yfbR//cysK//mgtA//uidC//eda//gudD//frdA//allS//glpK//betT//oppC//ebgC//flhE//argI//ydbK//metQ//cysN//lldP//argH//ycjF//ybhS//manX//rpoS//iraP//hycD//ppiA//
CreB	phoB//nagE//alsC//idnD//yrbL//
CsgD	ycgR//chbF//glnQ//treC//argB//fadM//fruB//treC//rdoA//yjbE//phnD//gatA//nikA//csgD//flhC//tyrP//lysC//tdcB//deoA//paaB//nagB//deoC//metE//fau//exbD//narG//paaX//flhA//
CsiR	ulaG//ygiB//decR//decR//dicB//
CspA	dsrA//symE//
CueR	udp//tsgA//mprA//pgm//oppB//argT//ydfH//
CusR	ydfN//agaW//ynfH//ugpA//fixB//phoR//mprA//ruvB//ascF//moeB//wcaA//tehA//
CynR	nusA//fliE//entF//soxS//
CysB	glcD//fnr//cysD//idnO//nuoF//ppsA//hyaD//ybhL//hflD//astD//galM//trpC//trpA//gspD//ygiC//araA//idnK//aceK//paaJ//lysR//crl//ynjI//mntP//guaA//bdm//mgtL//alsC//agaV//rcnA//cynT//artP//galR//
CytR	tisB//pspC//ttdB//mltF//dacC//glcA//ydhW//phnH//rutA//fnr//ykgM//metN//yhjA//
Dan	cas1//rcnB//yqaE//relA//
DcuR	malE//lysC//gspM//rplT//cysB//ndh//dinJ//aspC//accD//
DeoR	yibQ//xylR//bolA//yegR//oppA//agaD//
DhaR	narK//znuA//ydbD//glnA//
DicA	micF//cyaR//pgaD//paaY//cynT//lysA//phnD//galE//
DinJ-YafQ	ftnA//nuoN//srlB//
DnaA	fes//pheT//phr//ecpA//rfe//metA//hha//ugpQ//leuA//talA//ecnB//tauA//
DpiA	alaS//relA//flgB//csrB//fliG//gntU//ybaT//sdhC//ybjG//creD//tnaC//
DsdC	lsrK//soxR//ygbA//
EbgR	arsC//tpiA//
EnvR	ryhB//bamE//
EnvY	hyaF//mipA//
EvgA	amtB//mtlD//rpoH//appB//fbaA//gadW//sufC//flgL//sufS//sufC//nrdH//cdaR//btuB//gadC//atoD//cyoA//umuD//spy//hdeA//
ExuR	dcuB//ccmB//ulaC//xylG//flgH//csrC//gloA//argT//nrdI//
FabR	rffM//lpxD//
FadR	dnaA//ppiD//wecC//hcp//cecR//nmpC//udp//fliS//chbF//lpxD//yafP//metE//fliN//iscU//treR//ydbK//tisB//dinJ//erpA//higA//glcF//hybE//glpT//
FeaR	nadA//fepG//
FhlA	yccJ//fliI//pykF//rbsC//ydbD//znuB//ybbY//melA//rpmI//dsbA//ynbB//tdcF//iclR//betI//lysR//cysP//fadE//iscS//sbcD//paaB//ydhX//prpR//udp//purB//fliM//allC//yhiM//fdnH//ssuB//fabD//
FlhDC	cysG//dpiB//nagB//flgN//lacZ//guaA//gspL//glcA//cysP//ecnB//narG//carA//napF//rclA//tsgA//fadJ//uhpT//metE//malZ//srlA//glmU//ynbB//pheS//kbp//mazG//wzc//cusS//hisP//moaC//adiA//sroA//nrdA//cysN//eda//ddlB//kbaY//exbD//rdoA//tsx//ynbC//treC//flgN//xapB//nemR//prpR//infC//cspI//uspA//flgL//fhlA//gutQ//narH//rhaD//yjiY//slt//fliR//agaD//oppC//waaZ//entB//fliZ//fau//fdnH//lysR//glpK//umuC//seqA//trpA//modA//exuT//frdD//hcaE//fecI//cueO//rpoS//malZ//nuoI//gcl//astE//paaF//frdD//sroC//
FliZ	dhaR//recN//leuA//paaC//csgD//lsrB//cysN//ftsW//ybaS//dps//metB//hyfH//rclA//galP//dhaL//hyaB//citE//mhpT//sutR//purE//rnlA//
FucR	cusR//ppdC//ygiC//fecD//ycjF//safA//mgtA//
Fur	fabG//cydC//hyfE//fecA//yneM//pyrD//ascB//ftsZ//prpD//ccmF//nanT//yfdE//rffC//gatY//ssuD//idnO//rffM//fabB//fliI//cpxQ//rnlB//cysJ//rbsB//yncE//yhjC//mntP//hisP//rplT//flgH//cspI//glyA//agaB//mhpD//ulaC//hybA//glpC//degP//dsdC//tsx//fliC//deoD//sulA//gatA//gfcA//nrfF//malK//tdcD//deoD//purL//mdh//gspG//paaX//eda//leuB//hycB//ybhF//cusC//ompN//gspH//rbsB//sra//ptsG//sufB//srlE//exuR//bioA//cysN//ppdA//gntX//ycjY//tehB//cpxQ//yjiY//yafQ//ssuB//hybE//flgI//yhdX//paaE//ykgM//prpE//mngA//hisM//hisJ//narI//cho//recD//gntK//gspI//fruK//rstB//nuoK//sra//cysP//phnE_2//fadI//rybA//mglC//chbF//fdhF//hycG//argT//alkA//metC//gltK//modB//gspF//mdtD//fixB//agaD//malG//idnK//flgM//hyaB//idnK//hyfR//dkgA//qseB//murI//purK//nrdF//flgH//ubiC//pstA//puuA//mntH//glpA//ugpB//isrC//nhaA//
GadE	glxK//atoD//ydhT//fadI//purH//tnaA//ydeM//trpB//argO//yeiL//kdpC//htpG//potH//sbcD//ycgR//dmsD//ydbD//sra//lgoR//ybdN//gadB//ydbK//wcaB//csrB//ybjG//melB//cpxR//bioA//manZ//
GadE-RcsB	phoB//yiaL//ybdZ//rplT//phnG//ynfE//appB//nrfE//wzb//
GadW	ihfA//argE//glgB//ykgO//tpiA//rbsB//mpaA//agaR//fliS//aslB//rffH//ydfE//lysC//ccmA//dinD//
GadX	mdtD//fhuE//puuD//ppiD//pgi//alsE//pgaA//tcyJ//leuB//psd//ebgC//wecE//slp//srlD//ppiA//fur//hyfF//pnp//sucA//hemL//gcvB//leuD//mdtB//dhaL//dnaN//ybbY//nrdD//hypD//amtB//
GalR	ybhL//feoA//csgE//phnH//rpoH//nrfB//ptsH//fecD//aceB//fecA//
GalS	murP//sroC//yciG//adiC//hybD//dhaM//pnuC//lsrK//decR//cadA//
GatR	cysG//ynbB//nikA//fliD//omrA//hypC//
GcvA	garP//yebG//napH//recB//ycjY//
GlcC	ugpQ//glcD//astE//flgC//yciF//manX//ftsI//
GlpR	ruvA//nrdG//dinJ//serA//hycF//galR//allC//ccmB//accB//
GlrR	nlpA//paaE//ymgC//dcuA//fldB//
GntR	nikE//glpC//bdm//treC//feoC//modA//sgbE//rpoD//ttdA//phnI//yciF//fliK//
GutM	fepE//rbsC//nrdE//pheT//zntA//feaB//pspD//
GutR	tnaC//hcaE//marB//fimB//hyi//xylH//alsB//
HU	grcA//hyfD//idnR//fecC//ycjX//dsdC//mhpE//metY//agaA//
HcaR	nadB//kdpA//nirB//frdC//citD//fadD//
HdfR	ymiA//fucP//lysC//baeS//caiA//
HigA	hcaF//ttdT//
HigB-HigA	lpxC//flgC//
HipAB	pykF//betB//mhpF//fliJ//ddpF//
HipB	yhbT//stpA//fadI//garD//spy//agaV//
HyfR	rutE//dkgB//mpl//leuD//srlR//oppD//ycgZ//gcvH//phnJ//emrA//rdoA//mzrA//
HypT	ompT//mgtA//tnaB//ftsA//torR//leuO//mgtA//fliC//hokE//lsrG//ebgA//sgrT//entF//
IclR	nirC//ppdC//gntU//ecpA//
IdnR	argP//torA//puuB//relB//cydC//aslB//fabB//
IlvY	glmU//dsbC//
IscR	zraS//lrp//carA//cas2//fbaA//dnaN//hyfR//purC//rnlB//accD//recF//citG//sulA//tdcC//ftsI//bglB//phnD//hyaF//hcaB//casA//glcE//rfe//ulaF//gadF//tisB//ydhX//katG//hyaD//evgA//nanA//malY//nanC//
KdgR	bglB//ccmH//
KdpE	rcnR//agaA//fliG//betT//
LacI	chbC//agaI//glnB//
LeuO	baeS//yebG//ycjF//fhuA//casC//cirA//fruA//uspE//marB//lexA//fhuB//infC//dgcC//gspE//argC//aroP//ftsL//evgS//ygiA//ttdB//
LexA	pdhR//wzb//lldP//argI//talA//citE//dinI//paaH//flgI//lexA//sfsB//ubiX//glcC//safA//xylR//sroA//add//csrB//galR//aroP//mhpD//pheT//gudD//puuE//glpA//hcaD//puuA//creB//rpmI//glpF//ccmD//rutA//mpl//mngB//glpT//ydhV//garK//soxS//pepA//rpoH//cysG//rcnB//hflD//phoA//bioC//citE//sufS//gntP//bglJ//fliM//ftnB//ulaG//mhpD//ydiV//dgcN//xylR//rnlB//yciE//tonB//
LldR	lrp//soxR//gatZ//
LrhA	nrdG//lldD//ydhT//ybjG//
LsrR	nemR//srlB//yeiB//soxR//fepG//fldA//narJ//yoaC//ydeI//
LysR	yhdZ//wzzE//
MalI	entF//nanK//arsC//
MalT	mtlA//rutR//deoD//torC//wcaB//ompW//fruK//nadA//nuoM//ppiD//
MarA	ampC//recA//dmsC//emrY//nupC//yccA//csrC//flgH//trpL//xylG//metY//allE//rutB//fliG//glpA//acnB//yciW//phr//tyrP//insD//rpiB//copA//mhpD//narL//metF//hyaF//murC//cyoB//fldA//ribA//ppdA//cyoD//narJ//gltB//metY//mgtA//idnD//nrdH//
MarR	ybhS//bdm//narL//
MatA	rpoD//glpF//pdeR//yfbR//zraR//lpd//ychF//lyxK//
MazE	mngB//lgoR//gcl//
MazE-MazF	glcF//phnN//dsbA//
McbR	mcbA//ldtC//nemR//fliL//
MelR	paaE//gapA//agaW//
MetJ	idnO//dhaL//moeA//insK//hisM//rcnA//yqjI//appA//agaW//ymgA//sroA//dmsA//hyaC//yiiS//alsC//
MetR	pykF//crl//hycA//hypE//ruvA//
MhpR	glnQ//lsrR//lrhA//chbB//lacA//malF//
Mlc	sufD//astD//yiiS//argG//yfaE//isrC//ydfN//sgbU//oppC//asnA//
MlrA	yjbF//lldR//allS//nuoI//tsx//hyfA//lrhA//sgrR//astE//phoB//
MngR	nrfB//gspI//ybhL//
MntR	marB//tdcA//gspL//nanS//pstB//
ModE	araA//zinT//recN//hokE//rstB//leuC//yidQ//carA//aroG//ecpR//nirB//agaD//tnaC//mlc//phnH//rcnA//gspI//guaA//chbB//fepC//metN//ihfA//kbaY//rpmA//wcaB//ulaD//ynbA//psiF//pgi//znuA//ftnB//flgE//metQ//tadA//iscU//idnK//glxR//dpiA//ulaE//nuoI//gyrA//mprA//nuoB//mraY//yebE//fliT//
MprA	intQ//folA//ybiT//fliR//nusA//dgcC//
MqsA	mgtA//nrdB//fliP//gspD//dnaA//metI//lpxC//dsbG//
MraZ	nanC//garK//ydcU//flgH//ydeN//ddpF//hyfH//rimK//rbsR//yoaC//accB//glpD//yciX//yhdY//ytfE//mdtA//citF//
MtlR	cysU//treB//ydcV//
MurR	tynA//mhpE//srlD//
Nac	tdcF//deoA//oppA//pgm//uvrY//crr//dkgA//trpR//ubiC//spy//pfkA//araJ//rpmI//malI//ttdB//osmC//sodA//citC//micF//fliO//pitB//
NadR	pgk//purN//ydfD//srlR//
NagC	fepB//cydB//nhaR//gntU//dnaG//purC//dicC//srlA//hdeD//codB//dicB//ptrA//rseB//malI//ydcV//ftsW//sodB//iraP//pdhR//narL//ymgC//lsrB//murQ//hybG//leuO//nlpA//mdtC//fecE//tdcB//arsR//lsrB//nrdE//fes//rbfA//metR//sulA//hycC//
NanR	tonB//copA//osmY//mgtL//fdhF//cydD//sroA//glcB//sufD//dacC//betA//
NarL	hyfJ//ndh//wza//nrdH//mntP//uspD//glpK//dcuR//caiC//rnlB//ydhV//flhC//tnaB//nuoM//pgm//yjbE//agaV//malY//ydeI//rffG//hydN//recD//ompT//argD//glcF//yhiD//mnmG//ssuB//cyoE//ykgM//ttdB//dpiB//hyaB//ptsI//sodA//argR//baeR//lysP//lsrK//ptsI//pnuC//agaR//hypE//iscR//pstS//envC//ssrS//ynfH//gspD//phnE_1//metB//mglC//uidR//wzc//yciG//metE//ydbK//waaH//fepC//yciG//uvrC//appA//mgtL//mtr//amtB//ydbK//nrdG//feaB//aroH//ygbA//evgA//csgG//ydcS//frdA//gloA//gudX//ykiA//yhdW//nrfE//exuR//fimB//gatD//nac//cydD//fhuA//yiaL//oxc//glcD//hyfB//rpsO//slt//ynbD//yagK//gntT//yecT//lysP//yegR//alkA//napH//cysW//mdtB//dnaN//ompC//dsdA//cysE//mepH//argP//dacC//ulaG//gltD//nimR//emrA//gabD//phoH//hisQ//cynR//cydA//frdA//oppA//gadW//gntX//dinJ//ulaB//
NarP	hcaB//argF//glk//nuoM//ymgC//murI//ftsA//mtlD//yqjH//ybfN//norW//argR//cydD//mlrA//ugpE//ftnB//purL//hha//fadJ//ymgA//lysR//ycjF//pheM//pspA//caiE//fiu//metN//mdtA//yfbR//hypD//tfaQ//cdaR//phoR//manZ//gatC//atoB//aldA//appY//znuB//tehA//ftsK//betI//ydhY//ppdC//rpoD//mioC//crp//yiiS//tsr//aceE//
NemR	srlE//idnT//qseB//
NhaR	paaF//ynbD//appY//lsrD//phoR//btuB//entH//
NikR	glgP//ssuD//exbB//gcvH//entS//arsB//
NimR	hycH//tktB//
NorR	gabP//yhbT//chiP//
NrdR	yegR//dinI//phnL//garL//waaH//emrB//rpsU//yjeV//spy//
NsrR	fliG//bioD//ydfD//psd//deoC//safA//cytR//phoH//mntP//accC//lyxK//cirA//lexA//puuA//hypC//ydiV//ecpR//murC//creD//yegH//bioC//nrfG//ppdB//sgbE//ccmB//yeiL//fhuA//gadE//aroP//fau//atoE//sdhA//dinI//focA//allE//gpmM//flgI//cyoC//moeA//manY//znuC//trpB//hemH//allE//gatB//nanM//pepD//ribA//mdtB//glnP//tfaQ//cydB//glmY//csgC//carA//yccJ//hemH//ppdC//sgbH//wzzE//patA//rcsA//nemA//ugpC//paaC//fecD//ugpA//kdpC//hyfG//ybiT//potF//murI//hyfD//lsrB//aroH//alsE//phoQ//lsrF//cydA//recC//yeaG//metE//fadM//
NtrC	mdtF//aroG//bglG//pepD//aroG//nmpC//cspI//mntP//bglG//fadL//ulaA//mgrR//oxyR//sbcC//ydcU//fpr//ulaG//yhbS//gcvA//fabD//wzxE//nrfE//nrfE//mngA//kbaZ//manY//hybA//yjbE//ptsG//phoB//yhjC//lsrB//wecC//dsdX//gor//bolA//mnmG//ymjC//pheT//gor//prpD//umpH//ahpC//fecA//phoA//yqjI//flgA//pgm//pck//
OmpR	flhE//patD//galT//oppC//gntX//lysA//gudP//deoB//argA//hflD//malT//yrbL//yhhY//ynfK//puuB//ychF//pqiB//paaH//ihfA//caiD//paaF//
OxyR	cynS//pck//yafN//flgF//idnT//phnH//ydeO//xylB//yeaD//purN//ryhB//fabG//purM//fliH//rsmH//ecpA//bdcA//cysK//agaI//lon//wzzE//edd//manY//lpxC//cadA//uvrY//xylF//ydhV//paaJ//nusA//aroH//flgA//gadY//zwf//
PaaX	metI//tcyP//purA//ygiZ//trpR//lacZ//nrfC//nimT//ycgR//mtr//yegZ//malZ//tsx//rfe//
PdeL	lon//
PdhR	dinB//uxaC//fliZ//leuC//zwf//acrZ//cysC//rseB//ynbC//arsR//melB//gcl//lon//aldA//asnB//nimR//galE//hypE//flgL//gfcA//ynfE//glpD//cspD//fdnH//yfbR//gspL//ssb//fliZ//nrfA//hypB//xylA//mngA//pepA//ynfG//nirC//sucB//glcC//rutF//nimR//evgS//tdcA//
PepA	rffG//nuoA//acrD//
PgrR	fliN//yaiA//intQ//pitB//wzxE//ssuB//nupC//waaZ//
PhoB	srlA//acnB//wzb//cadA//ccmA//potG//yhdX//tyrB//rseA//acrA//ygdB//murP//mepH//tonB//zwf//omrB//srlB//mhpT//rffT//yeaG//acrR//slp//purB//mzrA//phnG//ompW//ybjC//uxuR//puuC//lsrG//relE//paaG//galS//prs//uvrD//hypD//fhuB//hycD//fruK//hcaB//murI//rnpB//aceE//aroM//mglB//araH//tauC//mgrB//leuD//moaE//nrdD//citX//ydiU//ccmG//nirB//yafN//gadY//iclR//wcaB//glgB//
PhoP	znuC//tpiA//csgG//guaB//mlrA//rpoE//ynbD//rffG//purB//ppc//gspL//nagC//ftsK//ihfA//gltD//idnR//acrR//yeaR//rutB//hyfH//nfsB//agaD//katE//lsrK//cadB//ftnB//hokE//uspA//dcuA//rcnA//gspK//glyA//pnp//rhaT//norW//putP//agaB//cynS//ddpA//yjeV//accD//dcuD//argB//ydfH//tolC//bioB//dcuS//fecD//sucC//recX//napD//hcaE//wrbA//aslB//oppC//flhD//
PrpR	pstA//pgpC//rcnA//deoC//accD//
PspF	cvpA//tdcG//gpmM//mntH//wecC//iscR//fadL//
PurR	acrA//rffC//rutC//yiaK//xylR//focA//hisM//ptrA//ycgZ//atoD//slyB//betB//nrdI//evgA//hyfG//baeS//adiA//uxuR//flhA//ppdB//lacA//kdpF//ybhS//casA//ilvC//gadF//cynR//rbsR//gltK//agaI//caiE//
PutA	ygiB//sufD//
PuuR	dhaM//hcaR//galM//yjbH//glnK//dctR//udp//
QseB	norR//tyrP//gudX//allS//
RbsR	thiP//recD//folA//argD//astD//bglF//higB//artM//feoB//
RcdA	ytfE//yjbF//wecB//yiaN//waaH//slyB//ccmB//paaE//pnuC//
RclR	csrB//feoA//glpB//
RcnR	rutC//moaD//stpA//
RcsAB	ilvC//idnR//tsgA//gltL//iraM//adhE//seqA//hisJ//nikD//bioD//dgcZ//metY//focA//cynX//flhB//pspA//
RcsB	lsrR//gcvB//ydhY//ftnB//mgrB//micF//cvpA//rsmH//glnA//pagP//purD//idnR//sucC//fes//fecD//glnH//zwf//hybF//fliL//norR//cysI//mhpE//araE//ascB//lacY//
RcsB-BglJ	dinB//cynT//yegZ//bglF//ybjN//gor//flgL//tdcG//fecC//yhcH//mgrB//rutB//acrD//napG//csgG//cpxR//
RelB	lpxC//caiD//ycjY//
RelB-RelE	qseC//ftsA//gntT//
RhaR	rstB//alaS//
RhaS	rseC//malE//ynfH//glgX//osmC//yciG//
Rob	metN//fadJ//creA//rcnA//idnT//pgaD//alkA//glnG//hyfG//asnB//yciF//ydbD//pgaC//ybbW//cyoD//lacA//rutC//glcG//bdcA//mazG//sodA//cho//dps//creC//ftsA//yccA//
RstA	allS//nanA//feaR//potI//recC//umpH//ulaE//ybhL//metL//flgI//
RtcR	puuA//malT//
RutR	gspI//cra//alaC//rbsK//fadB//appY//rybB//mgrB//ddpD//rffM//prpD//oppA//ydbK//ttdT//polA//ygeH//gltK//
SdiA	uspE//nrdG//ymiA//manY//murE//
SgrR	feoB//aslB//phnH//sdhA//fliK//sbcC//glcE//yfaE//nrdB//
SlyA	nfo//
SoxR	sufB//cas2//yhdZ//
SoxS	phr//fucP//yebE//insD//yhdW//csrC//polB//araD//ascF//adiC//ygiZ//treR//wrbA//dapD//lpxC//csgF//lyxK//nirD//deoB//grxA//malG//glpQ//murF//sdhD//ymjC//entA//lgoR//nmpC//yhdY//zntA//murE//hybG//yeaD//rhaS//talA//moaC//hyfD//ebgC//argH//prpE//
StpA	lsrB//mcbA//caiA//ecpR//fucO//ydfN//bglB//
SutR	aroM//napB//nrdG//acrZ//cdd//
TdcA	yneM//glxR//glnP//argR//evgS//ygbA//ybiT//
TdcR	nuoI//ydcT//pagP//folA//betA//dinJ//fadL//
TorR	trpA//prpD//lsrR//gatC//ulaG//ebgC//nlpA//fadH//inaA//rseB//bdm//xylR//
TreR	gadX//hslJ//
TrpR	glcF//cysM//phnK//pgm//cydB//leuA//aceF//zwf//dsdX//rhaD//cydA//nanC//
TyrR	dapD//gcvP//fadI//narK//xylG//adhE//lacY//gntP//appC//alsB//gor//dinF//
UhpA	umuD//
UidR	fliD//lysR//aspC//zraR//
UlaR	inaA//cysG//sucB//araE//yciW//purB//yoeB//
UvrY	napC//spy//nikR//cecR//nanK//
UxuR	aslB//araE//nrfG//atoD//prpR//astD//nupG//galM//rutR//
XapR	metI//fliL//
XylR	uvrY//exbB//cytR//ycjG//argT//tnaA//yfbR//
YdeO	gspG//iraP//icd//nadB//spy//uvrC//sgrT//galM//ygiZ//ruvA//cirA//hha//tfaQ//wecC//treB//puuD//waaH//rdoA//nfsA//pnp//rutR//
YedW	rcsA//galM//cusS//metL//ihfA//dinB//paaZ//ddpB//mazE//arsB//cheA//hycD//
YefM	slt//eno//
YefM-YoeB	ddpB//ssb//
YehT	metY//
YeiL	glgC//
YiaJ	yccA//ppdB//phnH//glcE//manY//ppiA//phoB//fhuD//garK//ugpC//
YjjQ	accA//ddlB//hisQ//cynR//infC//idnK//ykgM//yhbE//fpr//glpQ//
YpdB	pstC//
YqhC	mhpC//lyxK//
YqjI	gcvH//mscM//
ZntR	lacA//
ZraR	sbmC//tynA//creA//
Zur	cheA//pykF//pqiB//araJ//nrdF//ybjC//
