#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	umuC//modA//
IscR	seqA//glnD//nikA//torR//hybG//zwf//dpiA//puuE//focB//ychF//gor//cadA//xylH//lysC//citE//fucK//caiC//symE//nrdH//gspL//yccT//hcaR//mnmG//dgcN//dinQ//yjbF//fecC//nuoK//gudX//sbcD//glgC//feoA//
KdgR	nemA//yhbT//
KdpE	csgC//astE//tauA//katE//
LacI	fpr//cydB//aroG//
LeuO	lyxK//allA//fhuA//emrA//ibaG//malK//caiC//bhsA//torC//tdcF//idnK//yfbR//xapB//truB//recD//hyfB//purR//hipB//gabP//spy//
LexA	mngA//yciX//yeaD//kbp//cydB//manY//purN//phnP//dnaN//ydfX//yhiM//aroM//zraS//ynfF//fldA//nrdG//yhjC//ruvA//creC//uxaA//rcsA//wecC//bdcA//flhD//ddpC//yciF//gabT//phnM//yagK//ydbK//ychF//exbD//efeU_1//decR//mntH//gadE//ymgC//dkgB//ulaF//slyB//rnlB//yjbH//ydhT//gntX//rutB//gutQ//aldA//fecA//hyfR//rbfA//rhaB//dsbG//flgM//cpxA//yoeB//pgaD//uxuR//gatB//argI//
LldR	appX//murD//iscU//
LrhA	pspF//yegZ//xapA//csgF//
LsrR	pyrD//nagC//glpA//rimK//dkgB//fliO//prpR//gadW//agaD//
LysR	fecE//mgrB//
MalI	gatB//galE//mtlD//
MalT	rcnR//feoC//lyxK//ydiU//carB//sodA//rplU//hycI//yebE//tolC//
MarA	hlyE//sgrS//katE//fruK//caiC//dcuR//uspA//fdhF//amn//yibQ//xylA//ydfH//galS//phoQ//fliL//ppdA//uidA//nmpC//trpL//yhhY//allA//moaC//lolA//napD//malZ//ydeM//gspC//napB//caiA//lrhA//purE//fabZ//trpL//ygdB//paaI//rclA//hyaD//aspA//
MarR	aceK//ynfE//waaZ//
MatA	uidC//fadH//feoB//ddpA//iscU//phoQ//yhdY//aldA//
MazE	tisB//soxS//fliL//
MazE-MazF	cysG//srlB//ssuA//
McbR	yhhY//sucC//malX//ccmE//
MelR	paaG//uspE//hyaA//
MetJ	phnH//argO//dsdC//omrB//prpB//rffH//cynT//yeaH//betI//sgrT//lsrK//ygiA//yfdE//tyrR//mnmG//
MetR	cueO//cas1//kdpF//yrbL//ompW//
MhpR	frdA//motB//nanS//putP//rbsK//gabD//
Mlc	xylG//alkA//yfiB//fnr//fabZ//oppF//rpsU//ompF//fumC//gatY//
MlrA	speA//pheM//gspO//gadC//asnC//relA//gutM//fliT//pdeL//metN//
MngR	pdeH//leuC//fadE//
MntR	araB//flhB//alsC//nuoG//zraR//
ModE	glcB//aspA//yhiM//ycjG//ydhY//appC//dinG//intQ//sucA//yhdY//cysE//poxB//casD//acrA//iscU//aceA//bglJ//yeaD//ttdT//gadB//fliP//ppc//rhaA//yneM//trpR//sulA//psiF//fabZ//yeiB//hcaD//dctA//oxc//ynjI//garR//mtlA//agaR//puuP//glpX//rtcA//mdtC//gspH//ssuE//tpiA//sgbU//nupC//ssuD//
MprA	lhgO//cynR//hipA//gudD//gspF//zntA//
MqsA	dhaK//ybhL//dkgA//mhpB//yegH//narJ//ribA//hypD//
MraZ	agaV//fadI//xylA//gatB//qseB//glnG//napB//mngB//fau//mtlA//flgE//hyaE//frdB//glpB//yjbE//yoeB//flgN//
MtlR	appY//yciX//frdD//
MurR	kdpC//hyfB//fliQ//
Nac	zraP//glgA//yeaD//sucB//ribA//pdeL//chbF//skp//ynbB//nagE//mglB//arsR//nohA//fadL//fbaA//phnO//fepB//sbcC//flgC//norW//tdcA//
NadR	feaB//micF//ydfH//moeA//
NagC	iraP//rybB//sucA//cynR//tcyP//ftsA//mntH//argA//aroP//nrdD//aceB//ybbY//alsE//hipB//patA//narH//nanA//wecC//baeR//ynbC//phnG//garR//csgB//chbA//mhpA//hyfH//rhaA//bdcA//sufA//torR//rbsR//citX//dsbA//fumC//nrfA//metF//rstA//
NanR	araE//talA//dicC//umuC//astE//rpoE//dinJ//ada//cyoD//galS//fliG//
NarL	sroA//gapA//acnA//emrK//fbaA//purN//yiaL//nrfE//rutD//xapB//citE//fliG//cdd//phnC//bglF//hycD//artJ//nmpC//dicB//aroH//phoR//sdhB//kdpB//phnL//metC//omrA//speB//nuoK//rutR//dpiB//gntU//recF//csiD//ndh//paaK//bioC//nikE//gspO//putA//prpC//alsC//csgF//rybB//tyrA//mqsA//potH//appA//hycD//rbsR//paaY//ahpF//wza//torR//gatD//murR//hycB//trpB//gspM//nimT//dkgB//pepD//rutR//hyfR//ccmA//mdtB//dsdA//rutC//gudP//amn//prpC//creC//cheW//baeS//gcvA//asr//gntT//phoB//fhuF//hmp//yecR//fadH//gudD//ynbD//murF//hdeB//agaD//carB//metI//higA//ydbD//treB//artI//cecR//araG//fdhF//alsC//ccmH//pepD//leuL//thiQ//pgaD//phoQ//deoA//aldA//gspG//norW//glyA//appC//aldA//nikR//lamB//nlpA//nikD//mgtA//fabG//fucK//modA//lsrF//argO//araC//ydhT//nirB//ddpB//
NarP	folA//fucP//pnuC//tam//pdhR//mdh//codA//ydfN//ymjC//deoA//focA//araB//nrdE//gntK//ymjD//hha//alaS//dsdX//srlB//cysE//yegR//rbsR//ydiV//chbA//yeiB//amtB//ulaA//ccmF//kdpC//cysK//gatD//gadX//ydbK//garD//allB//garR//murP//citD//lysO//prpB//lacY//artP//glnG//glpB//srlB//acrD//aslB//yebG//lrhA//fabD//
NemR	nuoN//ccmE//argH//
NhaR	phnP//fadH//kdpA//mraY//hypB//erpA//ttdR//
NikR	ssuC//ydbK//mcbA//purF//purK//narX//
NimR	hdeD//ilvY//
NorR	malP//mlrA//fucA//
NrdR	nrfE//emrA//ccmH//ymjC//manY//hyfA//nrfE//ddpX//yibQ//
NsrR	araF//yagK//cadA//fadH//lpxC//mhpB//ybhL//yccA//dhaL//ssuA//pitB//lysC//patA//appX//cysP//phoP//envC//cusA//mioC//ssuA//flgJ//ibaG//artM//araE//lysC//yfdE//cydD//kdpC//puuC//hha//hycE//creB//astA//lsrC//citE//nemA//pstB//nuoL//betB//ftnB//pstB//deoB//hyaD//treR//yfdE//gyrA//polB//cusB//gabP//ihfA//acrB//caiT//wzb//ymjD//yebE//ygeH//hybC//purR//ybhL//rpmA//slyB//gadB//aroF//efeU_1//fecA//uidR//mdtB//acrD//citC//glgA//gadX//rpsU//rseC//sufC//mepH//omrA//yhbE//ldtB//treB//ymiA//potH//appC//gnd//
NtrC	mcbA//garR//rpoS//ydeI//dgcC//sufS//cysG//glmU//sroC//ugpB//araB//glnH//ygiC//putA//nfsA//yjjZ//rcnA//ddpB//prpR//yaiW//micF//lpxA//ydjM//lysP//tdcE//rhaA//phnN//pdeR//flgF//mntS//nemA//citG//rpoE//artM//chbA//ptsG//ftsW//gspJ//rffH//murE//alsA//gspG//gyrA//sufS//znuA//uxuA//ydiU//citG//ssrS//
OmpR	flu//eda//focB//mhpF//dmsC//dtpA//mscM//luxS//phnK//hisM//murR//nrdA//rseC//pepA//mglB//crl//argT//yneM//araJ//ycjY//hydN//
OxyR	artP//bhsA//allC//uspD//atoD//araE//ariR//adiA//uxaB//narH//oppD//pgaC//hyfD//rutG//adhE//purA//glpA//fpr//recX//yccJ//znuC//fimE//mpl//atoB//flgL//yafP//oppA//nrdH//lyxK//citD//dcuA//baeS//codB//argP//
PaaX	csgE//ibaG//ydcU//galS//inaA//trpC//ibaG//acnB//cdaR//cysK//lsrC//ydfX//ynfK//ugpB//
PdeL	hokD//
PdhR	crr//rpmA//yafO//manY//garR//nrdB//psiF//rhaT//mpl//creB//fbaB//higB//chbF//mazE//treR//rclA//araG//ynjI//ydhX//dhaR//paaY//chbC//zinT//melA//mdh//lsrG//flgK//sucB//accA//mtlD//ydcV//narG//gltK//cysW//pgaC//frdD//mgrR//rstA//gadA//tdcA//nuoA//
PepA	nrdF//crl//yiaO//
PgrR	flgM//cyoB//aceK//yiaJ//ogt//flgC//lsrR//argF//
PhoB	nikC//ybhL//agaV//gatY//cysM//csiD//tnaA//ydfD//tadA//prpE//nfo//arsB//phnI//pstS//ynfK//relE//asnB//ydhY//ybhR//ribA//nrdB//tdcF//dinF//ybhG//flgI//fruB//mdh//deoD//rpsU//flgJ//yhbS//rbfA//cpxQ//mhpF//omrA//mglC//purD//wzc//ycjF//dhaR//entC//uidC//nimR//chbB//tehA//glpD//hypA//wzzE//zwf//aroH//mhpD//cpxQ//csgF//rhaR//lpxD//srlR//pgi//purL//uxuB//ydhT//
PhoP	cspE//glcB//mtr//hybA//pspF//fadA//gltK//gspL//agaB//higA//yhiM//gltK//fdnH//glpQ//ddpX//fliR//entS//hyfJ//paaB//ydcU//nanT//hns//hybF//ybdZ//pfkA//sodB//flgF//fucU//yecR//prpC//hyaF//yciG//oppF//nimR//fliM//glnK//yeaD//flhD//dhaL//cdaR//mdtB//hycA//iscR//hydN//putA//yagK//rffT//caiB//cysK//rffG//betT//glpQ//fliI//fliN//dmsC//dcuD//
PrpR	citC//sucC//yeiB//pfkA//phnG//
PspF	nirD//yfdX//nemA//argP//uof//fhuC//leuL//
PurR	lldR//agaW//cra//cusA//yhjC//ftsK//cpxA//glxR//recA//cadB//fixX//fadL//ydcT//yiaO//acnA//sra//argC//norR//csiD//ydfW//argP//fdnI//leuB//lsrR//murG//hycH//fabD//ynjI//yfiR//rclC//evgS//
PutA	rdoA//glpK//
PuuR	yciF//lysA//glpQ//prpB//hybC//hslJ//cusR//
QseB	melB//fbaB//metR//higB//
RbsR	sdhD//tolC//nfsB//yafP//pheS//argC//insD//uxuR//cecR//
RcdA	cpxA//entE//caiA//infC//ccmH//sucD//cyoB//paaJ//bdm//
RclR	glcF//nuoG//pepD//
RcnR	mqsR//erpA//tktB//
RcsAB	nadA//hycA//osmC//rpiR//gapA//yqaE//ppdA//trpL//leuA//agaB//poxB//yjhB//murI//garD//nuoC//yjbG//
RcsB	adhE//puuC//ycjY//fecE//rcnR//dinJ//tnaC//hybB//yeaH//fepG//atoA//caiB//rbsD//yafP//rpmA//phoR//yqjA//allA//hyfA//sodA//nikB//ompC//nrfD//citE//mqsA//
RcsB-BglJ	luxS//sucB//paaG//gyrA//fhuB//cysK//rutD//mglA//glnG//metA//melA//fabZ//araE//hycA//ompN//ssb//
RelB	paaY//rybA//artI//
RelB-RelE	gltD//ddpX//bglG//
RhaR	fucP//hmp//
RhaS	csgB//glmS//sodB//fliR//focA//dhaR//
Rob	phnG//aceA//ydhT//phnI//soxR//fepG//mntH//borD//uxaC//flgH//glpX//rnlA//mpaA//galS//cspE//fixC//paaJ//glpA//entA//phnC//hslJ//cvpA//csgF//dsdC//sra//yhdY//
RstA	mhpD//ygiB//ycgR//mraZ//ybiT//fliR//yiaJ//dhaL//hyaB//ubiC//
RtcR	glpF//nohA//
RutR	ynfH//lsrF//mcbA//fecE//arsB//amtB//rutC//yiaL//fabB//yafQ//puuC//gadA//rseA//patD//purK//bglB//ascF//
SdiA	motB//cyoA//ydcT//exbD//manY//
SgrR	hyaC//ddpX//tomB//gatB//bioC//sulA//ykgO//yfdE//hyaB//
SlyA	molR_1//
SoxR	gatY//cysA//poxB//
SoxS	edd//ftsK//gltL//kdpA//ilvC//gspM//tnaA//dinF//cytR//degP//uvrA//agaC//gltK//fepD//wzyE//rpoD//pstS//wrbA//katE//mraZ//uidA//nfuA//ndh//evgA//norW//relE//uvrB//ybhR//nagB//cpxP//alkB//ssuC//codA//uidC//rffG//rtcB//hyfA//rimP//mhpB//metH//
StpA	malP//hybG//yjhB//glcB//bioF//codA//sra//
SutR	emrA//araD//hybC//fliP//yfdX//
TdcA	glmS//argT//entF//slt//nrfE//gabP//ruvB//
TdcR	hemH//dhaR//znuB//cpxP//rcnB//ycgR//gltB//
TorR	csgG//ydbD//cpxQ//fucR//rimP//gspE//ydhX//ada//dsdX//narJ//insD//argE//
TreR	guaA//wecC//
TrpR	rseC//malM//yhdZ//purL//trpD//gspE//nrdF//inaA//galK//purD//ptsI//glmU//
TyrR	focA//flhD//gloA//puuP//yjeV//uxaC//dapB//allD//hyfC//hisQ//acnA//ykgO//
UhpA	oppF//
UidR	ygeA//insK//atoD//yciG//
UlaR	glpK//murQ//nrdB//rpmI//metQ//ptrA//psiF//
UvrY	csgB//malI//focA//dmsA//lrp//
UxuR	fbaA//ydfE//allA//dhaL//fliP//safA//pncB//hemH//gyrA//
XapR	polA//dsbC//
XylR	ssuB//hypD//eda//rsmH//cysK//paaH//bglB//
YdeO	malS//modC//nikB//hisJ//cas2//rutB//ydfD//araF//yaiW//mhpB//gadC//ttdA//torC//pyrD//agaV//nhaA//fliR//entH//fhuA//norR//torR//
YedW	yfdX//aspC//rbsK//pqiB//casA//malK//murR//aroH//ugpA//rutR//zraP//ycjY//
YefM	pgi//deoD//
YefM-YoeB	gltJ//yjbE//
YehT	cytR//
YeiL	rsmH//
YiaJ	hcaB//tehA//bioC//gatA//tyrR//fhuA//cydA//glgC//ccmA//fruA//
YjjQ	malT//oppA//csgF//rclB//osmB//ygbA//fecE//uvrB//fliK//creD//
YpdB	argO//
YqhC	phoA//rpoD//
YqjI	gntT//paaY//
ZntR	ugpC//
ZraR	cheW//ynfE//iscU//
Zur	yfbR//yibQ//malT//araH//stpA//stpA//
