#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	araB//ddpB//
GalR	aspC//eda//tauA//nanS//glgA//leuO//hlyE//chbB//dpiB//fucO//
GalS	allD//mtlD//alkA//znuA//nrfF//flgH//yqhG//dctA//araH//rbsC//
GatR	mprA//acnB//malE//uxuA//xylF//gcvT//
GcvA	casA//argC//pdeL//rprA//ygdB//
GlcC	gltI//casA//glgP//nikD//metA//yqjI//appY//
GlpR	gadX//rpmI//ydeM//flgM//gadX//agaD//nirB//yedX//yiaL//
GlrR	aroG//efeU_2//ddpF//nadB//bglG//
GntR	nuoG//lsrG//fliS//trpL//fabA//flgK//dtpA//nuoK//yciE//cspI//cvpA//efeU_1//
GutM	cueO//mhpT//rnlA//tam//srlA//uof//kbp//
GutR	yeaH//gcvH//yeaD//napG//malQ//agaR//gudX//
HU	waaZ//napD//gcvA//ydfX//rffG//sra//wecC//xapB//cspI//
HcaR	yeiB//iscS//aceA//yfaE//gatY//fucP//
HdfR	fepA//sgrR//pgaB//fliN//fhuC//
HigA	tolC//yqhG//
HigB-HigA	ybiT//nimT//
HipAB	phnC//alaS//yidL//ydjM//caiD//
HipB	entC//deoD//gadY//ecpA//bamE//yecT//
HyfR	flu//wzyE//tehB//flgD//hydN//polB//hycD//entA//dhaR//phnI//phnG//leuD//
HypT	hemL//glgP//kdpB//feoB//uvrB//gadY//chiP//cusC//fhuB//nrfC//nrfG//malZ//rclC//
IclR	crp//uidB//rseB//rimP//
IdnR	mazG//pflB//chbR//argH//ydeI//mazF//alaC//
IlvY	murR//adhE//
IscR	ybhG//glpF//tdcF//ynfE//ydeI//phr//sufA//nimR//sfsB//purF//gcvA//hybG//casA//dps//rseC//ddpB//rffT//yjbG//recN//ftsK//rcnA//norV//gadB//icd//nfsA//ftsI//prpB//norR//ompF//ybiT//mngR//recC//
KdgR	lgoR//xylR//
KdpE	rutE//rplU//aroF//lhgO//
LacI	ydiV//rpmA//prpC//
LeuO	idnD//mntS//oppC//uxaA//glpQ//yjiY//deoD//cysJ//rutG//umpH//acrB//yqjI//nlpA//rnlA//fepB//yoeB//ydfN//purL//sgrS//pheT//
LexA	lpxD//talA//kbaY//ugpC//ybhL//nhaA//accB//pyrD//ykiA//ulaE//sufA//argP//gspD//ydeM//dnaA//kbaY//yfdV//xylF//pagP//bioD//agaB//pgi//cysI//dmsC//pdeR//yibQ//uidA//fecC//tyrB//yjjZ//uvrA//fhlA//trpL//csgF//modA//mhpD//narK//galS//yhbT//tpiA//ycjY//yjhB//rutC//gadW//cysI//stpA//hyfD//cbl//mazG//dinG//amtB//sufS//paaE//artP//flgA//mscM//lsrR//glcD//moaE//
LldR	ldtC//aspA//sufE//
LrhA	fliI//nohA//tomB//cyaR//
LsrR	nrdG//rpmI//hcaB//hcaF//aroL//paaK//yhdX//ftsW//mhpF//
LysR	yjbH//ycdZ//
MalI	caiF//ftsW//cirA//
MalT	gor//rpoE//ygbK//atoA//bglF//iraM//slp//mipA//nhaA//hcp//
MarA	rarA//yaiW//mtr//rpoE//gspM//bglJ//rutC//aslB//ryhB//yecT//glpK//cysN//dcuB//mqsA//yccT//yccJ//glpK//ygeH//lpxA//pitB//ykiA//glgA//cusA//gntT//phnH//arsB//rcnA//leuA//astE//argP//glyA//phnH//glxR//evgS//ydhX//pgpC//dsrA//add//
MarR	iscR//phnM//ulaE//
MatA	metK//nuoB//gyrA//cueO//ddpC//trpB//idnR//metI//
MazE	yfaE//ydhV//kbaZ//
MazE-MazF	flgC//csgE//uvrC//
McbR	gltL//nanK//ftsL//cheA//
MelR	ompT//allS//hyfI//
MetJ	edd//ssuD//ycjF//ygiA//yjeV//dsdX//uvrB//nrfG//sfsB//nanC//rhaT//rybA//erpA//gnd//lacZ//
MetR	evgS//yiiS//focB//potH//alsB//
MhpR	rutE//edd//cspE//mntP//trpD//ddpD//
Mlc	alsB//adhE//ddlB//gudX//fdhF//rbsK//argG//gspJ//poxB//glgA//
MlrA	tolC//yhiD//iraM//sgbE//malQ//tauA//efeU_1//araG//sufB//glcE//
MngR	yegR//rhaD//ycgZ//
MntR	zraR//decR//allE//fecR//yhdZ//
ModE	glcG//metI//uspD//ydfE//rplT//prs//rclA//fnr//fixX//manX//flgG//erpA//leuL//fadE//rutC//ddpC//cusB//narG//crl//rpoD//hybA//nagC//gspK//yhbS//treB//oxyR//sdhC//paaK//gudP//xapB//agaS//appY//leuB//csrC//ugpQ//ydhU//hyfA//purF//yfdX//potF//ydcU//yegH//yciG//dicB//casB//higA//
MprA	pspD//yagK//sdhA//fixA//infB//cpxA//
MqsA	kbp//fdnG//metR//acrD//ryhB//gabP//osmB//bdcA//
MraZ	gnd//pdeL//guaA//galM//tynA//nanC//purB//tyrR//ssuC//ydfD//fliR//nadB//argG//pepD//rpiR//dicB//hyfI//
MtlR	flgE//dnaN//sbmC//
MurR	mhpA//paaI//srlD//
Nac	rutD//ompC//fliI//gspL//lsrK//tauD//bamE//garR//ilvY//purH//argD//gor//metH//flgM//tdcE//paaC//efeU_2//glpB//rutD//aroP//gspK//
NadR	moaA//dicB//aceA//metB//
NagC	pfkA//agaD//ompF//glyA//ariR//fur//mdh//garL//hycA//rbsD//fucP//pdeL//bglJ//bglG//lon//gatC//thiP//sodB//ptrA//deoC//yeaD//gadC//ybfN//murC//mscM//ribA//nrdI//kdpA//omrB//hycB//galS//frdA//metE//rdoA//casD//melR//bglJ//
NanR	lysC//gudD//xylB//flgM//pstB//alkA//garR//hipA//ygbA//mngB//araB//
NarL	tdcF//higA//rbfA//aslB//ihfA//fhuA//casC//uspD//glyA//envC//allD//purB//torD//sgbU//uvrB//nuoA//hydN//pdhR//glxR//betT//hydN//fabB//infB//fliK//sodA//hdeD//glnH//tyrA//glmS//yjjQ//cusR//crp//ascB//fadE//idnO//yeaD//rtcA//mipA//dcuS//uidR//hyaD//lysA//fhuC//tehB//bglG//amn//hisM//treC//yhbS//fixA//ccmD//ybhS//nuoA//artP//hisJ//patD//paaI//pqiB//isrC//cpxQ//dicC//gcl//lacZ//ilvC//yoaC//pgk//rpoE//osmC//hcaF//ppsA//hdeA//fucU//hypA//rbfA//murG//ccmH//ldtD//puuP//alaC//torC//nuoJ//ppc//prpD//sufE//grcA//fadH//galP//leuB//purH//ynfH//iscS//napA//tyrP//tauA//amn//fabZ//cho//hcaF//ftnB//casD//fucA//rseA//bioD//citF//phoR//ugpB//edd//dsbA//infB//flgG//dinJ//entD//fecA//pspF//xylG//frdB//allS//hokE//exbD//xapB//cspD//mzrA//cheW//
NarP	fixX//murF//zraR//symE//iraP//mazG//gudX//ddpB//rutB//ilvY//cysA//acrZ//tnaC//fadJ//ulaF//rffC//gatZ//norV//araC//nuoM//ugpQ//cpxQ//pagP//norV//mqsR//phnE_2//ulaB//paaX//ycjF//paaF//fruA//norW//phnI//tsr//phnE_1//nikD//guaB//fepE//yeaD//fnr//ftnB//dinF//yecR//gcvH//metJ//rimP//cysU//fdnH//cynX//ldtD//
NemR	bioB//osmB//kbaY//
NhaR	alsB//glcC//hyfG//hycD//allC//hycD//purD//
NikR	gspF//yiaL//gabD//ydhY//nadB//yeiL//
NimR	asr//ompF//
NorR	glxK//argD//pepA//
NrdR	flgK//yjbH//fliJ//hemH//gutM//nikE//asnB//chbR//argC//
NsrR	phnK//pepD//bamE//purM//ldtD//aceE//codB//lldD//hns//codA//hslJ//nfuA//chbF//gatY//nrdD//wza//dsdX//patA//gyrA//aceK//agaD//uspD//nuoE//pdeR//pnuC//prs//alaC//yecT//tnaB//mpl//dapB//cysN//uvrC//pqiA//frc//rutC//feoC//hemL//bglB//nanC//agaA//lpxC//tsr//yccJ//cysE//fiu//mazF//ppdA//argB//gntT//agaB//csgG//ugpB//phnM//tomB//zntA//mgtL//xylB//prpE//glmY//yegZ//moaE//allC//fixB//mntS//waaH//allD//deoB//dacC//gspK//argO//hycH//eno//leuL//ynfE//accB//cpxA//ugpA//ariR//paaG//leuC//fimB//pspG//
NtrC	malZ//gpmM//metE//dapB//fucR//ygiC//ruvA//znuC//yhdW//acrR//metR//paaC//yrbL//agaW//slyB//narJ//glcD//yqjI//araG//patD//rcnR//mpaA//pgpC//ulaD//uxuR//dctA//yfdV//nuoB//purA//ddlB//ribA//relE//ptsI//rprA//dmsA//fliP//pspF//rsmH//nuoL//sufE//ymgC//sdhD//prs//inaA//tauD//napH//allS//agaR//agaI//
OmpR	tdcB//frdC//nrdE//recD//fau//mtlA//napH//pstC//nrdH//ftsI//yafP//yjbG//rstA//gadF//leuD//yeaG//accA//potH//mqsA//alsC//rtcB//
OxyR	mhpB//chbA//puuR//yhbE//molR_1//bdm//cusB//dcuR//dnaN//tauC//dhaR//fabI//mnmG//tnaB//gspJ//yjjZ//cvpA//glnG//ybaS//cusB//dgkA//purK//gutQ//higB//rarA//prpD//uxaC//nagB//glpA//sucD//sbcC//ygbK//sroA//stpA//
PaaX	feoB//lrhA//gfcA//hydN//fecA//cysM//dapD//bamE//grxA//citC//gudD//cysM//purK//aceB//
PdeL	dhaK//
PdhR	torC//ppdC//csgF//gatY//trpA//mhpA//dhaL//glnD//napB//emrA//rutA//cadC//malY//casC//guaA//yfaE//ttdB//yhiD//icd//cydC//phnI//rclC//astD//nupC//ybbW//nanK//cysH//hyfJ//pnp//mgtL//galR//fimE//pstC//mhpB//nikE//xylH//argA//sodA//dgcZ//mhpC//phr//
PepA	narG//galP//htpG//
PgrR	rutF//adiC//nuoN//hycE//aceA//umuD//glgA//grxD//
PhoB	mraY//atoA//pspD//exbB//narI//metY//dcuB//ybfE//fdnG//ulaA//ftsK//ddpX//srlD//pdeR//hyaB//dkgB//gntT//yjhB//ccmE//yibQ//hyfR//fliS//sufC//puuD//glpT//ybhL//appX//rbfA//cydD//bioF//carA//xylG//ptsI//pheS//ulaD//gspG//mlc//mhpT//ppdA//betT//spy//malG//murG//gutQ//hcaF//ydbK//ulaF//flhE//glmU//umuC//pgk//yfdE//soxR//rutE//gatD//murC//rhaD//ycgR//rseC//lsrR//
PhoP	ulaB//ugpE//wza//folE//hybF//aceK//glpA//csrB//uspE//purN//ybaT//ybiT//cynR//dsbG//cho//nagE//wcaB//degP//hyaD//nikC//fdnI//rutA//ygeA//fhuF//katG//dnaG//ugpB//yeiL//fadI//malY//kbaZ//narG//rybA//nrfF//hemL//idnO//cysN//ynfF//gadY//ssb//fabI//fliC//cyoD//ybjG//ybfE//caiD//nirB//ydhT//pheT//metL//ccmF//agaR//hokD//ydfW//degP//nusA//
PrpR	ptrA//nemA//fliL//cysM//phoE//
PspF	glpB//araD//phnC//astA//acnB//ddpA//hha//
PurR	mpl//ygaC//citD//ecpR//pheM//kbaZ//argI//btuB//yfaE//mhpA//hcaB//ybiT//sbmA//purA//purA//ampC//speA//nuoF//yeaR//gabT//pnp//fepD//hyaB//rbsB//rplU//gpmM//cydA//pncB//hyfR//ssuB//patA//
PutA	gspD//nemR//
PuuR	frdB//gabD//psiF//tehB//mqsR//glnP//borD//
QseB	mhpF//rutC//tdcG//uidR//
RbsR	ppdB//frc//nfo//bioF//chbF//argR//yjjQ//ydeO//ttdR//
RcdA	atoD//rtcB//paaZ//fadB//bamE//aroP//argA//ydhY//dsbA//
RclR	pyrD//ribA//xylG//
RcnR	bioD//metJ//casE//
RcsAB	ulaB//glcC//borD//puuE//uvrY//xylG//argB//malE//nrfC//flgN//oppA//malG//focB//uspA//caiB//hypC//
RcsB	bdcA//hisQ//mlc//ybaT//yciG//yaiA//crr//gltD//thrS//phoA//recF//ybdZ//zntA//metI//fliC//zwf//paaG//fadD//tynA//sgrT//chbF//hyfD//gspI//dhaR//lsrG//
RcsB-BglJ	yciE//ldtD//icd//cbl//rpsU//mraY//yhdZ//napG//glnP//fliZ//alsC//sufS//trxC//agaR//ebgA//yhdY//
RelB	gltB//fdnH//rutD//
RelB-RelE	ugpE//flgN//ybjN//
RhaR	cspD//yebG//
RhaS	rcnB//cyoB//rffH//ftsQ//ulaE//glgP//
Rob	ftsI//fadR//yiaJ//dsbC//phnK//ydcU//csgD//cbl//glgC//manX//bioA//pgm//fdnH//yiaJ//pck//gspO//acrZ//yhbT//ygbK//gabT//phnN//cdaR//nac//galT//nanC//atoE//
RstA	hcaF//dicC//ompF//grcA//ddlB//nagA//motA//hydN//fur//metK//
RtcR	ybhS//rimK//
RutR	entE//nusA//alaC//yebE//fadR//moeB//cyoB//ymjC//lexA//alsC//hipA//yjbH//rstA//omrB//yfdV//alsB//dapB//
SdiA	cspE//allE//fucR//flhC//lpxD//
SgrR	dinQ//idnR//ccmF//fimE//cvpA//bglB//flu//mgrR//insK//
SlyA	paaZ//
SoxR	fdnH//uxaA//ndh//
SoxS	osmC//cpxA//asnB//pspE//yccA//carB//hns//pgpC//gspF//rclB//appC//sroC//sufE//rimP//casD//rybB//ydeP//betB//kdpC//pncB//dsdC//gltI//yebE//nrfE//pdeH//ilvC//gcvA//yfbR//yciF//ruvA//hycC//nuoC//setA//sdhB//paaH//folA//bioF//gltD//alkA//betT//
StpA	sutR//fucR//napH//kdpB//ycjG//ydfH//cynS//
SutR	frdB//astD//ldtB//molR_1//pgi//
TdcA	ulaC//thiP//glnP//rnlB//znuC//asr//bglJ//
TdcR	yiaJ//ddpD//nrdH//baeS//ssuC//pncB//phnJ//
TorR	rbsA//moaA//kdpB//yaiA//argC//fliQ//feaR//mnmG//fhuC//lsrA//hha//hdeD//
TreR	accC//mioC//
TrpR	cusA//trpE//sfsB//add//metY//lldD//hisM//molR_1//rpoS//rnpB//adiA//mngA//
TyrR	flgC//nanS//fliQ//ugpE//ydfN//fucI//moaA//slt//gadF//cusB//artP//oppB//
UhpA	yaiW//
UidR	emrB//ycjY//pspB//paaE//
UlaR	hemL//rpiR//cra//metF//feoB//gspK//deoD//
UvrY	ldtB//ecpR//ccmF//yoaC//ampC//
UxuR	hycG//focA//zinT//tdcD//yhdY//thiP//cadB//nuoF//csgE//
XapR	galE//glnL//
XylR	arsC//ycgZ//talA//cyaR//fucI//hybF//ybhF//
YdeO	mtr//ydeI//fucO//caiF//gadW//fliF//aroH//recD//grcA//ycjF//ytfE//frdA//aceE//ydhW//nimR//gltD//rclA//pheT//ccmF//gspD//frc//
YedW	srlB//mglA//glcC//ugpA//yagK//mepH//ssuB//galT//add//ydiV//ihfA//ydhU//
YefM	yccA//malQ//
YefM-YoeB	nikE//gdhA//
YehT	yhjC//
YeiL	betB//
YiaJ	codB//guaA//pqiA//phoE//htpG//dapD//pitB//yeaH//artJ//yegH//
YjjQ	rclA//metL//leuA//agaD//ecpA//rpiB//bglG//paaZ//ynfE//yjhB//
YpdB	ydhU//
YqhC	rseC//oppC//
YqjI	glxR//hypF//
ZntR	creC//
ZraR	fabB//dkgB//uxuA//
Zur	bamE//agaR//wzc//paaZ//nikB//yqjI//
