#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	araD//flgI//
DcuR	cspI//casE//flgK//lexA//ygiZ//hycE//prpC//fixB//puuR//
DeoR	araE//fpr//dinG//aceA//ydhY//gspE//
DhaR	fdhF//hyfC//dtpA//fiu//
DicA	fadL//bglG//gcl//mdtB//fliH//casC//ygiA//nirD//
DinJ-YafQ	astA//cueO//fliD//
DnaA	mdtE//trpA//chiP//exbD//mdtA//cirA//grxA//yjbE//srlA//glcE//nfuA//lolA//
DpiA	ppsA//ccmE//glk//uvrC//yhjX//casD//yibQ//hyaF//mgtL//nlpA//lrhA//
DsdC	prpR//pgi//cspE//
EbgR	glnB//rffG//
EnvR	rclC//yjbH//
EnvY	thrS//idnO//
EvgA	lacY//zinT//osmB//phnO//malP//evgS//paaC//slyB//ecnB//melA//ptsG//hemH//yafO//xapB//nagE//metL//aspA//uidR//bglF//
ExuR	ydhX//rpiB//trpA//dmsB//htpG//lsrB//ecnB//hcaE//kbp//
FabR	yhhY//trpA//
FadR	ulaB//iscU//tpiA//nrdD//flhD//aspC//oppA//mntP//bamE//dinD//hemH//rprA//rbsC//aspA//nuoH//wzb//feoC//ykgO//yfdE//ppiA//nagB//dinQ//argH//
FeaR	talA//nrfF//
FhlA	murD//flgC//gcvH//fhuE//pagP//dgcC//murI//bioA//astD//srlE//flgC//isrC//yccA//codB//ampC//glgC//marR//fliM//alaC//yiaN//galM//mglB//accA//bamE//dapB//rutG//fumB//hyaD//dinI//yeaH//
FlhDC	paaA//ahpC//garL//skp//modB//glpF//araG//fepD//aceB//garD//yfiR//uspD//flhD//mgtL//iraM//fecB//leuB//glnL//chbA//uof//tynA//mltF//glxK//ampC//yeaD//araF//cpxA//pspC//mscM//argR//trpD//yhdX//pck//ydcT//acrZ//nirB//rcnA//atoD//hipB//galE//dgcZ//yjbH//yeaG//rdoA//prs//csiD//tyrB//rcnB//dcuB//ccmE//xylF//argH//patD//glgA//araG//appA//katG//sodB//cusF//fliS//metA//agaD//rarA//galP//hybD//fhuF//sufB//hybE//alaC//dtpA//pspF//yeaR//seqA//tam//ssuE//argE//phoB//fadD//ycjG//yjbG//mhpA//rutC//
FliZ	aroF//murC//purD//agaS//fabB//manX//mipA//dmsC//csrB//caiB//puuR//garR//fabI//dtpA//modB//hycE//purF//fliC//recB//bglG//znuC//
FucR	bioF//dsdC//yciE//chbA//potH//pgm//fadD//
Fur	ahpC//fixA//treC//skp//hisM//ybbY//dgcC//pncB//hcaC//cheA//accC//fliL//metR//gspI//acnB//paaA//ycdZ//fabD//zraR//yiiS//ybhL//yhdW//luxS//narJ//yafP//mntH//hdeA//garK//tdcB//mglC//fdnH//gapA//higB//sulA//glpT//mgrB//lsrG//citD//feoA//glpD//tdcG//sucC//yibQ//tauB//bglJ//tauA//tnaC//appB//ppiD//ydjM//ydeO//csiD//metL//hyfR//cysJ//dcuR//ftsQ//sdhD//gatB//artI//cynX//yegH//exbB//yiaN//isrC//nadA//fadL//narJ//atoE//fliE//oppB//nhaA//argR//hslJ//glpF//fhuA//epd//ygiA//hyaB//ccmA//trpD//yfdV//yncE//murR//purK//argH//dps//ftsK//gspK//pdeH//artP//sgrT//ubiC//uidA//ydeN//lon//artQ//lpxA//erpA//hybG//fucU//mhpE//nrdA//argO//nrfB//fliS//hyaB//ascF//rstB//oxyS//mazE//gspK//hflD//fruK//fliS//sroC//fliF//yebG//narI//sucB//gutM//gabD//pdeR//rpsO//yeaG//pepA//dicC//fliN//phnO//accD//
GadE	mhpF//nagE//yfbR//cyoC//puuB//lolA//fliC//ygeA//gatC//metF//yciX//rcnA//yqjI//nanC//yncE//paaG//glcG//mltF//yfdX//dsbA//trpB//truB//gspC//hycI//narG//phoU//mgtL//oppD//dmsD//
GadE-RcsB	yhcH//kbaZ//fucR//cecR//yafQ//ddpC//malT//infB//norW//
GadW	ycgZ//ydeI//rffG//malQ//dgkA//caiC//yccJ//yjeV//ycjX//gudX//paaI//gspM//rseC//fes//ariR//
GadX	hcaB//sufD//ydhV//dhaK//leuC//ptrA//tsr//prpR//leuA//sgrS//tdcD//znuB//gspG//hokD//glxR//casD//micF//purB//puuA//ydcU//tbpA//lgoR//ddpC//omrA//rdoA//ykgO//mdtF//mhpA//recC//
GalR	decR//fdnG//hdeB//tdcG//srlR//rhaD//lsrG//yjjZ//modC//nfo//
GalS	hipA//bacA//nagA//treB//iscA//cecR//metC//glnH//fecA//ybhL//
GatR	udp//srlE//ykgO//mntP//uvrB//aslB//
GcvA	agaC//wcaB//garR//frdB//exuR//
GlcC	mepH//ftsA//nrfB//fixA//dinG//glgP//pdeH//
GlpR	ydfH//glnL//alsB//murF//gntU//nlpA//glmU//ldtC//yfiR//
GlrR	xylR//nfsB//ycgZ//bdm//ydfD//
GntR	yeiL//ybhF//paaZ//nrdE//sucD//lpxC//gadA//fruA//lsrR//mazE//rbsK//garR//
GutM	fliO//ynfH//ddpA//dgcC//pepA//malI//glnK//
GutR	bioB//srlA//sodB//nirC//asnC//ykgO//mdh//
HU	ydhV//malZ//fecB//isrC//agaA//sbmA//higB//mpl//cynX//
HcaR	yccA//nuoA//uidA//phnH//purM//nrdA//
HdfR	rbsK//uxaA//amtB//fliF//gadF//
HigA	nrfG//hcaB//
HigB-HigA	norV//mhpE//
HipAB	phnN//gspG//tdcE//yhjA//decR//
HipB	pqiA//mhpD//dcuS//bdm//yhdZ//phnE_2//
HyfR	dtpA//cadC//entH//flhE//hisQ//araH//dsbC//rbsB//dcuB//decR//malE//gltF//
HypT	dmsD//yccT//ycjY//nikB//cydC//artJ//hypF//nuoJ//lolA//gltD//sodA//nuoC//fucA//
IclR	narX//sodA//dsbC//speB//
IdnR	flhC//hyfF//yjhB//oppA//hyfA//dnaN//sfsB//
IlvY	yaiA//ydhU//
IscR	ftnA//hyfF//wzzE//thiP//mcbA//lpxA//galM//yccJ//ftnB//fecB//lacY//fliH//symE//metC//fruB//acrR//dpiB//rpmI//gcvH//rutR//yciG//bolA//yiaL//ygbK//gspH//fbaA//cspD//flgN//hycF//mcbA//ssb//guaA//
KdgR	ynfF//cirA//
KdpE	glcF//fadJ//baeR//bglG//
LacI	hyfE//ompN//yafN//
LeuO	ymgA//sroD//oxc//tsr//metY//nuoB//yiaL//ydeI//gatD//nuoJ//dmsB//mglB//gyrA//murQ//sufD//casC//ssrS//betB//stpA//nirB//
LexA	glcC//cysU//cysJ//fhuB//znuB//rutD//lacA//galR//znuB//osmC//zwf//tktB//cydC//fucI//erpA//trpD//ftnA//glpF//yhdY//poxB//yibQ//wza//dapD//fhuD//uxuA//moaA//nuoF//metF//allS//alsB//paaE//btuB//mntS//cvpA//napA//lamB//rnlB//uxuA//tdcA//rbsK//thiP//bdcA//ygdB//pykF//sgbE//fadD//yiiS//mtr//cyoC//sroD//yfdX//argO//oppA//nmpC//ugpQ//psiE//torD//evgS//nikA//
LldR	puuR//gspE//hyaC//
LrhA	aceF//cspI//cydB//rutA//
LsrR	envC//tynA//hybO//ydeN//paaC//rimK//efeU_1//safA//rhaD//
LysR	hipA//rnlA//
MalI	metC//citE//accA//
MalT	ftsK//yccJ//ycjG//pdeL//zwf//ubiA//htpG//allC//tdcD//malT//
MarA	yegZ//pgaD//lldR//allS//fliL//iscU//hokD//rbsK//rbsD//acrR//phnE_1//ydhW//purC//yecT//ynfH//nfuA//ilvC//rclC//cdd//hypB//caiT//yjhB//galT//napF//yeaD//mzrA//recD//ydcS//cusS//moaE//yfiR//hipA//pncB//isrC//ptrA//fliS//yidQ//ddlB//
MarR	lldR//dkgA//wzb//
MatA	hipB//ssb//emrY//cysE//yjbF//norV//nikA//ulaD//
MazE	fbaB//napD//nuoM//
MazE-MazF	paaD//yeaG//torC//
McbR	murG//purR//ftsK//dhaM//
MelR	slp//folE//ampC//
MetJ	cadB//yagK//lysA//agaW//bglF//paaD//cho//carB//pgk//aspA//mdtE//fhuD//xylH//moaB//dhaK//
MetR	ulaA//feaB//hycE//cspE//ulaA//
MhpR	lsrK//lysC//fliK//gcl//ascF//zraS//
Mlc	ydeO//flgJ//rbsC//araF//flgD//ycjG//pspA//yfiB//gspH//phnC//
MlrA	araJ//micF//osmB//fhuA//wecC//argI//galK//yeaG//mtlD//dsdX//
MngR	sfsB//mazE//ldtB//
MntR	cpxQ//casC//fixX//fadM//argA//
ModE	aceF//nadA//dkgA//mdtD//ldtC//ycdZ//cirA//nrfC//asnA//csgE//yegZ//aroL//lacY//agaV//dapD//nuoA//narG//ybhS//ygdB//glpT//glmS//sgbE//ftsA//yjbE//nrfB//casE//mdtA//lsrR//nrdE//flgA//torR//yjjZ//treC//astA//pgi//nemA//nikB//pspC//manX//yeaH//flhD//caiD//gspC//tdcF//fhuF//gadC//
MprA	lysR//gspM//efeU_2//pykF//sufS//dhaR//
MqsA	frdB//acnB//nikR//yjjQ//cspE//hycC//pspA//ugpC//
MraZ	emrB//ompF//mdtA//srlA//nikR//ychF//yhbT//fabB//psiF//nrfA//entB//nuoB//sufE//htpG//fimE//cspE//murF//
MtlR	araF//asr//modB//
MurR	wzxE//rcnA//yjjQ//
Nac	dmsD//fepD//yaiA//degP//flgN//glcB//idnD//ftsA//acrD//yhjC//ybhF//hlyE//yhdW//deoB//kdpB//trxC//cpxA//trpB//gudX//argG//glcC//
NadR	tdcA//melR//creA//lpxC//
NagC	wrbA//nupC//pstS//allS//hybD//lysR//galP//baeS//yibQ//kdpF//gspL//yqjI//rpsO//yfdE//fiu//phnN//nhaR//fruA//rclB//crr//flgE//moaE//uvrA//glgA//yjiY//paaJ//rbsR//dsrA//rplT//yegR//ydfE//paaX//casD//nrdD//dhaK//ydfD//moeA//
NanR	dhaK//ynfG//fliL//ibaG//gdhA//nirD//dapB//tcyP//ruvB//aldA//uvrB//
NarL	rybB//mhpB//frdB//tauC//yjbG//oppB//hycC//cyoE//ybhF//murQ//psd//glnB//tdcB//lon//mdtE//norW//trpL//yciX//mdtB//insD//fhuE//glyA//sufC//ftsZ//fumC//sutR//bamE//fucP//dcuB//pepD//iscU//csiD//nrdD//oppD//yhdW//phnJ//znuB//hyfR//ttdR//lysO//metK//ynbA//araF//metE//yjbH//nrdB//cadC//nrfC//gadE//nmpC//yeaD//tdcD//nimR//fabA//sucB//gadA//puuA//narI//rutE//hyfR//hipA//ydeM//gatA//truB//rseA//ftnA//dtpA//napH//mntP//nhaR//gcvB//entC//rnlB//yafN//betB//dhaM//xylA//uidC//ydhX//pstC//agaV//fliN//glcB//nanS//glgP//nimT//yjbH//torD//ydfD//waaY//sroC//gutM//gatZ//puuA//tauD//flgM//rybA//torA//malM//omrB//wzyE//rplT//ynbA//ccmF//cynX//caiC//gcvB//ihfA//ebgC//fes//qseC//relE//malG//phoB//rpmA//rybA//cysJ//pqiB//kdpB//gspD//yoaC//rutA//glgB//
NarP	atoE//narH//argA//phnO//dapD//ybhG//argB//cyoE//glcF//gadC//tdcF//entE//rpsU//yeaE//metH//cadB//bluF//srlE//prpE//murI//ftnA//higA//kdpC//pnp//ccmB//cysD//tcyJ//citD//yafP//chbA//glpF//mglA//ycjX//molR_1//paaZ//dsdA//aceA//fabZ//thiQ//hyaC//gntU//hmp//gdhA//rffT//mgrR//ttdR//ybaT//gltB//ampC//gatY//
NemR	phnD//symE//waaH//
NhaR	ydcS//cusA//hycI//leuC//rseA//glmU//alaS//
NikR	pgpC//srlD//argO//yfdX//gatA//gabT//
NimR	mngR//sdhB//
NorR	aroG//hyfH//cysM//
NrdR	ftsI//pgaB//ftsI//prpD//dinG//pyrC//uvrD//ygiC//feoA//
NsrR	hdeD//ydcU//pspB//fixA//astE//yfbR//ccmG//fixC//nrfA//manX//gadE//rimK//uidA//hycA//micF//iraP//nuoA//rpoD//tauC//phoH//ydfH//tsx//hydN//kdpC//infB//bioA//tdcE//phnL//aroG//higA//melR//gabT//fadE//argA//idnK//mgtL//fepE//yfdX//yqaE//nrdA//nusA//nanT//fruB//hycH//napF//asnB//agaA//luxS//pgaC//rstB//dhaL//aceA//araE//phnG//dicC//lsrC//oppC//hemL//pepA//pnp//csgD//purE//dsbG//caiC//fadH//malE//allA//fliH//rclA//accA//flgH//glnB//ydfE//gntP//csgG//leuB//nuoK//pgaC//argG//ycjY//gltJ//focB//astC//
NtrC	ynfK//glmU//ampC//mazE//paaC//ydjM//zraP//ecpR//murF//galP//rutF//glcF//glpB//pykF//tdcG//wcaA//lldP//cho//cusR//nirC//treC//dmsB//mngR//yhcH//argF//nrdI//acrB//fixA//lldD//argF//yiaJ//nlpA//hdeB//gcl//nmpC//ycjY//rclB//sufC//dsbA//gatC//nrfE//murG//sgrT//dgkA//ompF//ydeI//caiE//glyA//cadA//
OmpR	napD//nrdA//fbaB//ddpB//ydfN//cadB//murG//moaD//uhpT//rpoD//fliO//glnG//ssuD//napB//bamE//ptsI//fumB//fucO//relE//phnP//gpmM//
OxyR	metC//ubiC//flgE//ccmD//potF//pyrC//lyxK//xapB//tsgA//sdhC//ynfK//nuoE//rutE//flgE//nuoN//yibQ//phoH//ftsI//phoA//citG//hcaF//murP//mazG//yhjA//artM//lysO//hcaC//gatD//phoB//putP//fliC//hyfC//kbp//cyoD//
PaaX	gadX//rbsD//lpxA//flgL//trpA//manZ//cas1//ybhL//emrY//cydD//ccmG//tdcG//micF//agaI//
PdeL	creD//
PdhR	pheS//chbC//gatD//gcvH//hcaF//hipB//cysW//citG//katE//manZ//cspI//rhaD//fadA//fliS//nagC//fadH//arsR//ttdA//slp//baeR//yciX//glgC//nadB//fliK//caiF//yhdX//cyoA//fabB//pstB//lpxC//hybD//glnH//gltB//rimK//gspG//pykF//dhaL//fepB//dcuS//dinD//hcaC//
PepA	ybjN//ygiB//aidB//
PgrR	gcvB//artM//copA//hlyE//idnK//dacC//yciG//entC//
PhoB	aceK//yidQ//nanT//hcaF//ttdR//yhjC//fur//hybA//tdcG//fucP//gadC//ompC//metJ//ung//mprA//fliD//yafN//yiaN//yafN//ppiD//hemH//argD//aspA//cadC//baeS//sdhB//fliZ//arsC//sodA//hemL//yiaJ//nfsA//uspE//artP//ulaB//dtpA//rcnB//flgA//mhpE//lyxK//fliT//rob//aspA//tbpA//feoA//glnP//waaY//gudD//dicB//ynbC//ynfG//agaI//dps//fabZ//alkB//edd//cpxQ//ccmE//creB//hybB//
PhoP	paaF//puuC//zntA//rpoD//hycA//csgC//csgF//moeB//ulaG//puuD//phnI//hipB//rhaR//iscU//napG//uxuB//rclC//stpA//fhuE//pspC//prs//mgrB//ybhS//metJ//fliA//hybG//ppdC//ynfH//mpaA//lysR//mtlD//tauB//moeB//uspE//oppC//putP//hdeA//asr//pgaB//nfo//icd//tpiA//rtcA//creA//uspD//pdhR//sodB//trpL//grxD//nuoB//casC//zwf//relB//glnB//sufS//trpA//
PrpR	nuoA//rutC//malS//ugpQ//ahpF//
PspF	yhdX//pgk//cynR//uxuB//ulaE//hycD//gabT//
PurR	ydjM//ynbA//relE//puuB//cyoD//wzb//acrZ//rcnR//dpiA//sgrT//hycD//lexA//allE//ptsH//araA//thiP//yiiS//folE//relA//aceA//yciE//leuD//rbsR//wzb//frdB//napB//dpiA//poxB//gltL//ycdZ//speB//
PutA	sgbU//cysA//
PuuR	ssb//pspB//btuB//hyaD//tktB//ulaF//mlrA//
QseB	alaS//kbaY//gadF//yagK//
RbsR	yibQ//mltF//pgi//deoC//pyrC//mtlD//nfsB//lysO//cpxQ//
RcdA	glpK//yqaE//ubiA//rseB//purF//glgX//srlA//yhhY//ydbD//
RclR	flhD//araE//ldtC//
RcnR	wzb//mntS//ftsK//
RcsAB	ykgM//idnO//ccmE//glnA//hipB//thrS//zraS//znuB//fepE//glcF//betT//fabD//dicC//ydfX//dmsD//fecA//
RcsB	mntH//fau//norV//cadA//ydeI//casD//potI//dnaA//ompF//fliT//yeaH//aroP//cynS//yhbE//nuoG//psiE//fhuA//fadD//cydC//yeaR//puuP//mglA//fliZ//garP//ymgC//
RcsB-BglJ	cynS//gltL//ssb//glk//citX//tdcF//rstB//phoH//aroM//galK//rbfA//sgbU//grcA//pagP//narG//dcuA//
RelB	xapA//moaA//appA//
RelB-RelE	melA//yfiB//pspE//
RhaR	csgE//hyfC//
RhaS	mraY//tsr//glgX//yciE//cra//higB//
Rob	garR//pstA//rob//yiaJ//ybaS//tehB//rimP//caiF//soxS//qseC//yoaG//marB//idnO//slyB//cpxP//argF//degP//dicC//rpsU//ibaG//ftnB//ogt//metR//ygeA//gudX//rseC//
RstA	cusC//moeB//ymjC//chbR//gabD//asr//lldR//aspA//rffT//yjbF//
RtcR	nuoA//fliD//
RutR	allC//yiaK//csgB//fabG//trpE//dgcN//garD//mtlD//galR//gspO//wcaB//gspM//alsC//cyoA//ssuC//yjiY//dgcC//
SdiA	narL//ftsW//asr//mtlD//dhaL//
SgrR	dkgA//hyi//gspC//ompC//casE//nupG//nirD//lexA//glcE//
SlyA	patD//
SoxR	ulaF//cadB//purC//
SoxS	cysA//betT//csrC//casA//melR//safA//znuC//prpR//sucD//relA//nuoB//uspA//thiP//yqhD//grxA//xylR//pstA//fliT//ulaF//allA//narI//hemH//nadB//cpxP//ydeM//glnL//glnH//icd//ynjI//baeS//dinQ//lsrR//mraY//uxuB//hyfD//yefM//ascB//phnG//cbl//ygdB//
StpA	ihfA//bhsA//htpG//fliM//rbsB//sdhB//sulA//
SutR	ynbD//hcaR//phnJ//sufB//fucU//
TdcA	nuoM//rstB//cadB//feoC//lacA//ycjX//ybaS//
TdcR	norV//hflD//cspD//ftsL//fdnI//pgaD//phnL//
TorR	ftsW//accB//caiF//nadB//fucU//allS//dacC//mepH//glcD//mlrA//phnE_2//uspA//
TreR	relE//cheW//
TrpR	kdpF//napH//infC//cysH//iscA//mngB//gntU//ulaC//qseC//rutG//crl//pstB//
TyrR	nac//trpE//dinI//rpoD//waaZ//artJ//aldA//argB//argE//mtlR//hycH//pgpC//
UhpA	uhpT//
UidR	fabG//ccmE//alsE//nuoF//
UlaR	prpE//malI//marR//pykF//alaS//lyxK//cspE//
UvrY	ascF//ydcS//guaA//rbfA//appB//
UxuR	ydjM//cysW//citX//nrfG//yecT//lrp//pqiB//gltF//dcuA//
XapR	yjbE//mraZ//
XylR	treC//metB//fadD//fliR//nanE//entC//ruvB//
YdeO	bdm//mdtD//cheW//hslJ//gadB//slp//artJ//rffC//caiD//symE//ibaG//cusR//uof//marR//tnaB//lsrG//fliA//cusS//leuA//paaF//efeU_1//
YedW	ydiU//ihfA//pstC//fecB//entB//nikR//dmsD//tbpA//dinI//bolA//nuoB//arsB//
YefM	nanM//evgS//
YefM-YoeB	puuB//aidB//
YehT	puuC//
YeiL	araJ//
YiaJ	yqhD//fdnH//metN//sodB//baeS//prpB//pyrC//fau//rpsO//metB//
YjjQ	pspF//manX//ygiZ//gspJ//torA//cspE//nuoH//grxA//phnJ//fixB//
YpdB	flgE//
YqhC	murE//nagE//
YqjI	patD//yegZ//
ZntR	ssuD//
ZraR	epd//intQ//hybG//
Zur	recN//bhsA//pfkA//mgtA//ygiA//flgM//
