#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	nrdD//fliR//
FlhDC	ydbD//dsbC//trpC//pspA//ydfE//ftsI//ung//sodA//sodB//mdtD//cadA//nanS//cysD//ygbA//nagE//yhdW//gpmM//yciG//efeU_1//fhuC//moaA//gatY//motA//rseA//ymjC//nlpA//dapD//argD//ydcS//glnL//gabP//yjhB//hisQ//hyfE//feoC//araE//astC//ybbW//lldP//gatC//fruB//gltD//iscR//ycjX//csgE//nrdD//fbaA//crr//cheA//recB//metC//xylF//ydhV//glcF//napG//sfsB//lamB//lsrA//ldtC//potI//araB//nrdI//ygiA//argB//yncE//casB//garD//rbsD//lexA//cusB//dps//atoE//agaS//htpG//yccJ//emrB//puuR//araE//ftsL//nikD//ompT//speB//
FliZ	wza//trpE//zraP//lgoR//mglB//galP//cydC//obgE//kbaY//pck//hyfB//purE//fliD//recD//spy//betI//gltJ//gspE//pdhR//uvrC//murI//
FucR	carA//feoA//xylH//ydeM//garL//atoA//rclB//
Fur	higB//gatY//iscA//cydA//flgG//zntA//yeaR//tomB//flhD//ptsH//wzyE//ykiA//mnmG//ynfK//ycdZ//argB//csrB//dapD//fecD//hemH//gudP//ccmH//torR//aidB//nrfC//higB//nagA//fliP//fumB//gor//acrZ//ugpC//guaB//fruK//ompW//bluF//tisB//purD//glnG//guaA//rstA//bioF//uspA//mdtB//yrbL//galM//lrhA//cysM//dpiB//molR_1//casD//allS//gpmA//rdoA//ryhB//casA//napH//mdtB//malE//metI//dgkA//creA//leuL//phnO//malF//rpmA//entE//mgrB//tbpA//yqhG//leuL//fadR//leuA//malI//bglG//sgbU//iraP//yoaC//ibaG//gcvB//fruB//sutR//srlB//yccT//nhaR//xylB//yafO//mqsA//potF//rtcA//fiu//pflB//btuB//frdD//garP//yjjQ//sodA//gltI//gudP//glcD//lacY//puuC//moaE//nikE//yafQ//fabH//sucA//dcuS//mdtF//fecI//fliG//fixC//fecE//hslJ//ftsI//emrK//yfdE//glnL//ebgA//argI//yrbL//lacY//gntT//dgcN//cydC//hybO//fadA//hyfE//rclB//citX//
GadE	araE//mprA//waaH//degP//rclB//fadH//lacA//deoA//hokE//garK//srlE//glxK//galP//phoE//talA//mhpA//malP//nupG//ycjX//lpxA//lysR//mltF//fadI//ydeO//pgaA//yafP//agaS//sgrR//fucK//
GadE-RcsB	paaF//hypE//ydfE//sbcC//hcaR//ldtB//hcaR//aceA//hisM//
GadW	torA//dcuA//garD//aceF//paaE//mltF//yiaN//gadA//rtcA//znuA//fabZ//torR//thiQ//seqA//uxuA//
GadX	rcnA//codA//tehA//narH//zinT//argP//hyfB//btuB//cusC//ydcV//xylR//bdcA//fixA//ubiX//malI//metJ//ybhG//accC//mhpF//gspC//ldtB//ydfD//hlyE//glpC//focA//torA//puuC//dinF//pitB//
GalR	phnI//gatA//tauC//cusA//paaY//lpd//moeB//argH//mipA//gspG//
GalS	cheA//feoB//trpR//recD//gadB//hyfJ//pheT//ygiB//bglF//fecD//
GatR	fucU//napB//nrdE//gcl//nrdG//atoA//
GcvA	gspO//dcuD//paaD//pncB//mdtB//
GlcC	dgcC//lsrB//rutE//uvrY//nuoC//nanT//metC//
GlpR	narI//fepC//paaY//nrfG//ydeO//pheS//yoaG//cynX//phnK//
GlrR	ldtC//lrhA//moeA//hycC//bolA//
GntR	hycI//rpmI//purM//glpX//baeS//ccmC//tadA//recD//creA//tolC//yfiR//rbsA//
GutM	purA//yciX//hycC//putA//tdcG//phoE//ompW//
GutR	fliP//fepE//exuT//ugpA//ftnB//phr//rbsC//
HU	mglB//dtpA//nirC//ascB//nrfA//sgbU//sdhA//paaA//mhpD//
HcaR	efeU_1//dinI//moeA//srlD//caiT//rstB//
HdfR	ebgA//fecI//bioC//cyoB//stpA//
HigA	aspA//glpQ//
HigB-HigA	glgB//yiaO//
HipAB	ftnB//torD//feoC//oppD//hipB//
HipB	chbA//dgcZ//cas2//glcB//seqA//cysP//
HyfR	hyaA//ascF//flgG//ruvA//gltF//phnL//metH//treR//mdtB//murR//ykgO//fepD//
HypT	bglJ//tdcF//nuoB//garR//metE//putA//ymgA//ybhF//cyoC//cpxR//flhC//recX//nuoG//
IclR	argE//malX//gcl//astA//
IdnR	glgB//alkA//cynR//hdeB//hypD//recX//hybC//
IlvY	mipA//hdeD//
IscR	caiD//deoC//ydiU//rob//oxyS//nimR//hyfR//glnQ//norR//putP//aceB//cysE//yafP//ulaC//aceK//torA//yciE//lpd//cydB//alsB//flgB//entD//malQ//pitB//hyi//citC//agaR//exuT//pgk//cusC//gcvB//rffH//
KdgR	moeA//osmB//
KdpE	moaD//tauD//nagC//fimE//
LacI	narH//cyoA//zraP//
LeuO	ydjM//zraP//melA//hycC//murC//fiu//ppdA//cydA//caiF//ubiC//cas1//flgG//obgE//ccmD//alsE//csrB//cpxP//hyfJ//uidB//mngA//
LexA	recC//hyaB//hyfF//csrB//eda//yfbR//srlE//betI//rplT//folE//modB//ppiA//mazF//ahpF//dctA//cadA//paaG//hybE//fixC//gdhA//motB//pdeH//tdcG//dinG//phoR//ulaD//flgC//mcbA//ccmG//yegZ//crp//waaY//hypB//fliF//gltL//fliO//paaX//fdhF//ompT//gabP//puuP//bdm//yeaD//rpoE//aceF//hyaE//hcaD//pspG//hypE//gspH//dsrA//alaC//acnA//hyfJ//ssuD//glgX//glpA//ccmA//ynbC//
LldR	ubiC//galE//eda//
LrhA	leuD//wzxE//ung//tyrB//
LsrR	appB//hypB//psiE//trpD//ybhG//moaB//tyrB//norV//dkgA//
LysR	accA//ygbK//
MalI	uvrA//rdoA//edd//
MalT	fadB//cysM//allD//ybhS//mtlR//rseB//ariR//ycdZ//dinB//efeU_2//
MarA	infC//pck//mdh//soxR//znuB//pck//waaY//oxyS//torR//yfdV//frdB//ddpF//sufE//xylH//cpxP//ydhX//tdcE//metL//entF//safA//fhuC//fhuA//sdhA//glgX//ybjN//acnB//tnaB//dctA//gatC//rffM//cspD//ftsK//waaH//ryhB//fliJ//cysM//hemH//creB//
MarR	recA//rtcB//fepD//
MatA	dsrA//pspD//casA//uidB//fimB//murD//hycE//fhuB//
MazE	ynfF//torR//ulaA//
MazE-MazF	fepE//rutA//uxaC//
McbR	ddpX//ubiX//phnH//rseA//
MelR	csgF//tonB//cas2//
MetJ	qseC//wecE//dinG//astE//fruB//yeaE//murD//tdcF//degP//bglJ//aroL//setA//argF//sucB//mdtC//
MetR	ascB//fdnH//bioD//rtcB//kdpF//
MhpR	evgA//gadC//dcuB//fes//artI//yhdZ//
Mlc	ttdR//gltF//yhcH//yoaG//nrdB//gntT//ygiZ//entS//glcE//mtr//
MlrA	ccmH//nagA//metY//rtcB//yidQ//cydD//yiaL//hypA//umpH//higA//
MngR	fiu//sufA//hisP//
MntR	uidC//umuD//gspE//glyA//nuoH//
ModE	gdhA//dsbG//cas1//mdtD//malK//dicB//appB//appX//lsrD//alsA//yidL//artM//uxaB//yeaD//ppdB//cysP//gdhA//tehA//hyfB//allA//cysM//trpR//astB//norR//rhaT//xylA//rybB//fhuA//hycH//araA//trxC//cydD//eda//luxS//udp//pflB//narX//cysC//prpD//fadH//narG//chbB//cpxR//gltJ//yncE//decR//
MprA	cvpA//rfe//fliL//rpoS//alsA//fucP//
MqsA	hisM//tadA//glpT//bglB//chbR//kdpF//lacY//ugpQ//
MraZ	phoB//yiiS//norW//sbcD//fiu//narG//argC//uvrA//prpC//pheS//aldA//wzxE//wzxE//ubiC//mgrR//fliK//kdpF//
MtlR	atoD//agaC//sbmC//
MurR	nrdI//ynbB//phnO//
Nac	dhaK//gatD//fhuF//pstA//entB//phoE//fucP//intQ//ecnB//nhaA//alsE//flgL//yccA//pqiB//pheS//gadB//gpmM//agaB//fepC//osmC//frdC//
NadR	flgM//gatY//pdeR//fecC//
NagC	fimB//fliA//ycdZ//ddpB//zwf//uxaA//yagK//fumC//tauD//creB//mlrA//pqiB//hyfC//murC//ykiA//nimR//dmsB//rhaT//flhC//garK//ascB//rbsR//sucB//ecpR//fimB//malX//copA//creD//gatY//copA//dnaA//gltK//glgC//araD//fliA//fabD//chbA//
NanR	casE//bglG//moeB//kbaZ//fabZ//aldA//emrY//gudP//nuoM//glcF//potI//
NarL	oppD//osmY//pspD//trpD//mhpA//folE//gspK//rhaS//yhjC//trpD//rhaB//pflB//yaiA//galM//glmY//iscS//cpxP//yecR//ptsG//appX//mhpD//glnD//fepB//yfdX//rcnB//aceF//gabP//sufC//znuA//fliA//relA//rprA//fdnI//lysC//nuoM//yqjI//nikE//mprA//rclB//murD//rutF//uxuB//fliI//sutR//hslJ//lexA//malZ//cynS//tynA//nuoA//ydeN//lsrB//flgN//citD//fliS//flgK//prpC//uvrB//appX//prpD//ydeO//rpoD//flhD//gadE//dgcC//purM//lsrA//folA//fdnH//rnlB//osmC//gatY//casD//mngR//glcD//glmY//puuA//ssrS//sbmA//fucI//aceF//patD//ymgC//xylH//dinD//nanK//dmsA//napG//nikR//sgrR//yhjA//phnF//eda//ychF//nrfG//sdhD//allD//csgG//ulaD//nhaA//fdnI//lsrC//hisP//gatC//gadC//yhiD//emrK//argT//ptrA//citE//malQ//norW//ecnB//purB//manY//yccT//psd//hypD//patD//fepG//galK//paaY//agaR//
NarP	umuD//codA//torC//accB//fliO//flgD//ftsQ//rffT//idnK//ulaE//caiC//mprA//idnR//tehA//dapB//uxaB//phnI//ssuE//artQ//casD//yqjI//ndh//hcaE//ddpC//moeB//fdhF//astA//yaiW//lsrR//rhaD//yciX//pyrC//accA//recC//fliC//iraP//cysU//nrfF//rutA//galR//ybdN//skp//gadA//cra//dcuD//ybfE//ssuB//moaD//hokE//nanS//
NemR	araD//wecB//phoP//
NhaR	creD//ptsG//mraY//cysM//rutE//mngA//allD//
NikR	casD//purN//sufE//ribA//tnaB//ddpA//
NimR	metL//aceB//
NorR	waaZ//cirA//cynX//
NrdR	gspI//cynT//phr//allC//ydeP//yhdX//nfuA//ulaA//dgkA//
NsrR	yeaD//malX//casA//hycG//fecC//phoE//gspK//hflD//emrA//aceA//rutC//gpmM//rhaA//emrY//ydbK//flu//nfsB//treR//mazG//dsdC//treR//argC//mdh//iraM//thiQ//hycB//napC//garL//paaX//rhaB//glmU//mlrA//ydhY//cydD//fixB//ydfE//uxuA//ybjG//fucR//tpiA//phoU//ygaC//codA//crp//yciF//gadX//yidQ//yhdZ//potF//metL//nupG//creD//ymjC//appX//dmsC//uspA//hisJ//tbpA//fdhF//ogt//purF//phnJ//aceB//cusS//cusR//fes//csgD//rpoE//rcnR//glcD//citD//ykgM//ynbB//creA//glnD//ccmH//decR//hycA//pgi//ynbB//ccmB//paaI//dhaM//
NtrC	rutG//ydfE//iscS//gor//phnO//cyaR//alkB//glxR//waaZ//pyrD//codB//glnP//yeiL//fadL//crl//alsE//yeiL//tcyP//metK//ynbC//gyrA//guaB//aroL//napB//yfaE//tauA//fliT//malF//puuB//fdnG//lsrA//uvrC//gfcA//hyaE//dmsB//modA//tadA//gatC//uidR//dhaM//manZ//metN//ryhB//tdcD//aldA//flgC//ulaC//focB//rutC//
OmpR	manZ//fnr//cpxP//eda//rutF//znuC//sbmA//iscA//artI//mgrR//psiF//slyB//fabZ//atoA//argO//hyfE//metE//murG//arsC//rffT//flgG//
OxyR	sucA//acrB//puuP//safA//tfaQ//hcp//gltI//pdeR//sufA//gpmM//allB//flgN//hcp//ahpC//malQ//yecT//ppiD//hcaB//aslB//fumB//bioD//hyfF//ulaE//fadI//mpaA//rhaR//gltL//aceB//yaiA//yhhY//idnK//hdeA//lsrF//galE//
PaaX	yciF//glnP//chbB//ynbC//murD//paaH//fiu//narG//ynfE//rcnR//fliE//nagB//ugpQ//lrhA//
PdeL	bglG//
PdhR	gltK//cusR//uxuA//pspC//yidQ//trpA//gapA//hdeD//casD//yhbE//caiE//ptrA//zntA//paaJ//chiP//paaZ//norV//psiF//yecR//nuoL//wzyE//treR//napD//cysM//metA//caiA//gdhA//agaS//glpT//sufD//potI//slyB//paaK//fixA//safA//flhB//rstA//fhuD//creA//yfaE//oxyR//
PepA	cadA//asnC//mdh//
PgrR	safA//hypF//nagA//argR//ydeM//wzzE//seqA//ybbW//
PhoB	hflD//mtlR//ycgR//hyfA//argO//lpd//torD//rybA//lldP//glgC//lsrC//sdhC//yhbT//guaB//glpK//fecC//mtlA//grxA//yiaN//melR//acrA//lpd//gudP//pepA//dinF//moaA//hcaD//hyfG//ulaD//sbmA//yqaE//speA//recN//gudX//phoE//ydeM//ldtC//wecC//nagC//yeaE//aspA//bioA//paaY//cysC//iscU//osmC//puuE//xapB//idnR//phnM//narJ//betI//xylF//hcaE//nrfF//yhiM//dinG//ftsQ//creA//rclB//
PhoP	pgk//tdcB//narK//hemH//deoC//fliJ//yiaN//malX//dmsC//mglA//htpG//ymjC//moaA//phnK//ppdB//polB//paaD//bamE//pspF//nuoA//fepD//tbpA//tsr//melA//rcnB//cysM//lgoR//potI//polA//ebgC//poxB//gatY//ydfE//gatB//ppsA//mlrA//melA//nagC//uvrA//pepA//omrB//fdnI//nohA//folA//tdcC//ydeP//ftsW//hdeB//metH//bamE//flgC//hypF//mngA//mhpA//betT//ynfH//
PrpR	fruA//gntK//poxB//rseB//mdh//
PspF	pspB//oppC//ldtB//rbsA//argO//gudX//atoA//
PurR	ydhY//galM//mazG//infB//torC//glcC//mltF//tauA//add//yegH//fnr//ompW//icd//glnD//araF//hcaE//yjbE//crr//rstA//chbC//wecE//nagC//lsrK//aroM//ldtB//fiu//mgtL//glgC//thrS//yhdW//appC//
PutA	fpr//argC//
PuuR	fepA//thiP//aceF//appC//ubiX//rpoH//trpE//
QseB	prpD//idnR//nrfC//fliP//
RbsR	aceB//hipB//gntX//cas1//araC//bdm//pspF//yjbH//sodA//
RcdA	ymjD//melA//norW//ulaD//yafQ//flgF//yefM//napF//nadA//
RclR	gadY//nfsB//aceK//
RcnR	pgm//bhsA//phnM//
RcsAB	ompN//alaC//dgcN//ttdT//ycjX//mtr//yhhY//lsrF//focA//agaI//yhdX//gudD//betI//uvrY//aceA//dnaA//
RcsB	trpR//dinB//obgE//betA//caiE//trpD//ybhG//flgC//cysD//treR//cvpA//yjbE//purB//hypD//phnE_2//dinD//nupC//narJ//ptsG//phoE//rutF//glcG//pspD//yccA//cusR//
RcsB-BglJ	flgI//nrfD//mazG//dcuB//ebgC//gpmA//narH//rimK//glnQ//ibaG//flhB//hybE//ulaG//betB//leuD//fadJ//
RelB	pqiA//yiaO//fadE//
RelB-RelE	fhuF//yebE//yhjA//
RhaR	hcaR//lpd//
RhaS	tdcF//flgN//cpxA//borD//yjeV//tsr//
Rob	trpE//dinJ//frdB//rimK//paaC//metJ//yebG//gadE//rffM//nikC//ynfH//thiP//talA//phnK//gntP//gadF//ccmH//aceA//bolA//omrB//murC//znuA//xylF//iscS//kbaZ//uidC//
RstA	ppsA//rstA//yccA//creD//accD//phnH//tolC//dpiA//icd//oxyS//
RtcR	yhdZ//omrA//
RutR	ddpB//hmp//nanT//mraZ//glnD//htpG//hcaE//fhlA//hybG//flgJ//yccJ//flhE//dinJ//grxD//nuoK//ugpB//hybA//
SdiA	gadC//gcvP//ybaS//prpE//alaC//
SgrR	grcA//ybbY//phnJ//ybjN//kdpA//tsgA//mtlA//gnd//dgkA//
SlyA	aroM//
SoxR	ilvY//aldA//pykF//
SoxS	nanK//rarA//ulaA//ykgO//allS//flgM//yidL//zraP//iscR//appA//cusA//gltI//ndh//ygbA//decR//ybiT//cysM//entB//oxyR//mhpE//yjbH//fliN//ftnA//oxyS//recD//hcr//fabD//flgF//astD//yhjC//mzrA//ygeA//dmsC//eda//pepA//asnC//flgC//fliM//feaR//nfo//
StpA	gltJ//ydfE//phoQ//ygiA//ynbD//aspA//dicB//
SutR	purR//fbaA//alkB//evgA//gltK//
TdcA	csgF//ydhT//mgrR//gatB//pepA//rpiR//flgJ//
TdcR	flgC//ybhF//alsA//yiaO//pnuC//cecR//cpxQ//
TorR	rhaB//pspC//gltK//trpL//nrfG//nuoK//cpxQ//katG//ynbD//dps//ybaT//dtpA//
TreR	cysC//lysR//
TrpR	infB//glmS//hybE//fbaA//pflB//ydhY//flgC//yciF//hemH//phoR//adhE//murI//
TyrR	moaB//fadH//fadR//norR//potF//tdcG//sufE//hdeD//rimP//lpxC//sbcC//hycG//
UhpA	dpiA//
UidR	pheM//aroP//ompF//phoU//
UlaR	argC//cyoD//ybbW//ugpE//putP//ppdB//glpB//
UvrY	metY//bglB//glgX//ccmE//thiQ//
UxuR	sucA//nrfC//cynR//narG//yafQ//dinQ//zntA//glgP//ompN//
XapR	psd//creD//
XylR	murI//ssuE//asnC//bacA//slyB//metJ//metR//
YdeO	icd//dinF//araJ//fucA//eda//bglF//tbpA//appX//torA//yiaJ//trpE//setA//araB//norV//glpA//uvrC//fepA//lyxK//pgpC//degP//araF//
YedW	acnB//fdnG//phnJ//ppc//garD//iscU//ada//dcuD//rpmA//ppc//phr//infB//
YefM	flhB//srlA//
YefM-YoeB	waaY//astE//
YehT	appB//
YeiL	pspA//
YiaJ	narJ//modA//lacY//malE//exuT//torC//yhjA//polA//glcE//gcl//
YjjQ	flgE//dapB//lgoR//ugpE//fliT//fadH//phnK//puuC//ascF//baeS//
YpdB	glpX//
YqhC	rutD//mdtB//
YqjI	rsmH//gltD//
ZntR	znuA//
ZraR	metL//mdtE//creB//
Zur	tynA//sbmC//pgi//mdtE//lldR//torD//
