#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fepD//borD//
PgrR	nrdB//rpiR//dinB//crp//uxaB//yfdE//betT//dhaM//
PhoB	cysC//yaiA//seqA//metK//narJ//ykiA//cynT//idnK//cspI//uvrY//fbaA//aceA//pgaA//srlD//flhD//glmU//napC//nanM//yhbT//agaR//recF//wrbA//narL//adiA//cueO//baeR//phnJ//agaD//glpQ//uidR//mgrR//omrB//osmC//trpR//uxuA//ftsA//sucB//slt//pdeH//molR_1//nupG//gadC//polB//fepD//mgtL//gatA//ada//mdtD//tauC//gntT//ybjG//crp//ubiX//tcyJ//argI//tehA//rseC//ubiA//dctR//hypC//
PhoP	uxaB//rutA//hyfA//purE//cspI//potI//ryhB//murD//gltJ//hdeB//leuC//hycB//metR//rutD//glpQ//emrA//phnE_1//trpR//accA//nfuA//hyfF//symE//sdhB//sufD//gutM//rseA//oxyR//purC//molR_1//nrfE//lsrR//rob//nikA//wrbA//hemL//pepA//tdcC//acnA//ybaT//flgH//moaD//fldB//tonB//rdoA//artP//nrdD//fhuB//phoE//rob//ddlB//csgA//argC//hisM//aceB//thiP//fepC//
PrpR	uspD//hdeB//mraY//cysM//oxc//
PspF	dsrA//ulaA//xylB//yciF//chbB//ada//fecB//
PurR	yhdZ//moeA//yjbG//lysR//caiE//dsbC//ttdT//glmY//nrdF//moaC//mgtA//malM//paaB//lolA//accC//frdD//zwf//nrfC//lrp//feoA//pncB//flgI//garK//cysW//fabI//mepH//ybfE//acrD//glpQ//frdD//fliZ//
PutA	cpxA//ddpF//
PuuR	mdtA//poxB//uidA//lgoR//lacA//rffT//edd//
QseB	csrB//cspE//ssuE//grxD//
RbsR	chbB//phoB//uidB//galE//wcaB//citF//cysD//isrC//lpxA//
RcdA	dinG//gudP//pspG//hycG//fliZ//rtcA//ynfF//cusC//aidB//
RclR	ddpX//hisP//yhdZ//
RcnR	yiaN//ppsA//dgcZ//
RcsAB	nrdG//dicB//glxK//gcvP//dps//tauD//ttdR//lexA//cusF//trpL//fliE//wzb//tnaC//argA//tadA//gabP//
RcsB	crr//galP//garK//psiF//ycjG//yciG//paaF//pspB//mzrA//galT//caiB//glpK//murE//uvrC//galT//ahpC//rcsA//flgG//malQ//mioC//infC//ynbC//hyaF//fbaB//ogt//
RcsB-BglJ	sufD//thiQ//nrdF//flhD//ugpB//flgE//lpxD//tehB//artM//mdh//alsB//fhuC//mhpA//garD//feoB//malP//
RelB	yjjZ//ymiA//yhjC//
RelB-RelE	rcnR//znuC//glnK//
RhaR	bluF//cysA//
RhaS	entH//nhaR//ftsL//yeaG//recC//appA//
Rob	bglJ//yjjZ//caiE//paaE//sufE//murI//fimB//rprA//ydfX//paaH//alaC//folE//trpL//pspF//sufS//nhaA//seqA//yecT//nanK//gdhA//stpA//yfiR//aroH//ygdB//soxR//ynbB//
RstA	flu//rseC//ybhG//recB//hyaF//paaK//ndh//nikB//dinI//feaB//
RtcR	eno//dkgA//
RutR	rhaT//phnC//ynbD//norV//mpaA//ompF//hyfE//fabH//omrA//galK//purA//ruvA//narX//dnaA//codA//pnuC//purM//
SdiA	ycjX//alsA//mlrA//feoC//yfbR//
SgrR	ssb//rseA//araC//fhuC//sucD//mhpD//phnE_2//yeiB//tnaA//
SlyA	fepA//
SoxR	argF//gspE//araE//
SoxS	rtcA//dapD//glnQ//oxyR//codA//dkgA//prpE//yccA//ybjC//pepD//gnd//gatZ//purD//nrdH//mhpA//recA//tdcC//zraP//flgN//argR//gcvP//yefM//glnD//ydeI//dinG//mntH//gabT//pstA//asnA//hyaF//sulA//glpD//nfo//phnI//sbcC//cysB//mqsR//mlc//ydbK//cadB//
StpA	mgrB//mglA//alsA//leuD//narK//cysI//flgB//
SutR	csgB//rimP//sroC//lolA//gadY//
TdcA	araG//glyA//fepA//gltL//mhpF//tyrP//ynfE//
TdcR	dkgB//gadE//tyrP//evgA//murD//uidR//pdeR//
TorR	nuoC//phnN//cadB//murF//icd//ahpC//codB//gntU//gntP//btuB//mlrA//carA//
TreR	polA//astC//
TrpR	phoR//purB//flgE//puuR//tolC//glcG//gcvT//csgB//wzxE//fadI//tcyP//ftsZ//
TyrR	lsrF//ybfN//metH//nimT//metY//nirD//tisB//sufE//glpK//tynA//purE//napB//
UhpA	ydiV//
UidR	rybA//cyaR//ynfF//cdaR//
UlaR	nfsA//tyrB//melR//lpxC//recC//ymgA//erpA//
UvrY	artJ//lpxC//ybbY//ttdR//hcaF//
UxuR	fliS//zraS//eda//frdA//atoD//entB//fbaA//wecE//cyaR//
XapR	bdcA//araE//
XylR	cynR//arsB//yhbS//ftsA//glnH//mlc//sutR//
YdeO	ygeH//argF//treB//fimE//infB//tehA//yjhB//gatB//fes//mioC//gspL//rffG//hybB//tdcA//sdhA//sdhA//uxuR//yjiY//fucU//ybdZ//fadJ//
YedW	rybB//napH//fabI//mcbA//fldA//arsB//argH//rhaS//soxR//frdB//modB//lldD//
YefM	tbpA//asr//
YefM-YoeB	yecR//lrhA//
YehT	ptsH//
YeiL	ydhW//
YiaJ	mhpF//mtr//mlrA//ung//rimK//gatB//ymgA//ppdB//purB//rtcB//
YjjQ	lon//yqjH//truB//glnH//glpT//cysM//yjhC//cadC//flgF//nrfG//
YpdB	pspC//
YqhC	prpC//fdnI//
YqjI	rhaR//fliC//
ZntR	zwf//
ZraR	hybD//glxK//ugpQ//
Zur	ssuA//fldB//gntT//lsrK//wzyE//acnA//
