#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	deoA//nikA//
Fur	wcaB//gntX//ygbA//ygbK//yeaH//cyoB//pgaA//frdB//nfuA//allC//ygiB//yeaH//trpL//glpA//purB//dinG//hycF//hypD//ecnB//exuR//phnC//metJ//efeU_2//dpiA//uof//rpiB//puuA//metL//mraY//yhjC//malP//gutQ//yciF//bamE//hypA//nfo//glnB//yrbL//mngR//wecE//fur//wzb//fecD//fimE//gadB//appB//bhsA//ydfH//ydiV//recA//ybbY//infC//mltF//nanT//hycF//mdtE//tdcG//araJ//tktB//asnC//yeiB//nuoH//nuoL//ftsL//sroC//rstB//nohA//ydeO//lysO//yjhC//glcC//nupG//agaA//mngA//purN//csgB//gabD//ttdR//phnF//uxaB//ynfF//melA//lsrK//tdcG//phnP//uspD//gabP//exuR//dsdA//tdcG//mngA//murF//nemA//feoB//yeaE//fliE//moeB//sbmA//eda//tam//glnQ//dkgA//hyaB//skp//ydfD//acnA//creC//zraS//argC//intQ//sgrR//gspJ//accA//ppiD//gabD//ulaF//lysA//ompN//feaB//relE//lldD//rtcB//fliP//ydcU//rpsO//ydeM//nrfB//paaE//sgrR//leuA//
GadE	aroL//fpr//seqA//cysP//cysM//gltK//leuD//feoA//pykF//caiF//hybF//ydeO//skp//galP//yjbG//ybfN//cra//eno//ydfN//mntH//pepD//gabD//narJ//exuR//yiiS//astD//fur//kdpF//treC//
GadE-RcsB	argG//yefM//rutF//ulaF//pspE//yhhY//flhB//ygbK//ycdZ//
GadW	dcuR//agaW//fliA//gspO//ykgO//phnE_2//gadE//fliR//dacC//mglC//rcnR//nikA//accC//nrfE//cusC//
GadX	fes//nanM//metJ//fucR//phnD//lpxA//ynfK//idnR//pgaA//ybdN//ugpC//yedX//waaH//citC//dinJ//emrK//dhaL//puuB//hdeA//putP//fucK//ychF//yoaG//uvrC//rutE//dapB//kdpB//ygiB//dhaR//
GalR	ddlB//nimT//rpmA//murQ//fadH//gfcA//lhgO//hybE//puuD//fixB//
GalS	citF//caiE//galM//flgK//ydfH//phoB//pgk//ddpX//idnR//nikR//
GatR	prs//arsC//gatA//ada//gntX//dhaM//
GcvA	pgi//ulaB//murE//gabD//motB//
GlcC	mprA//appC//adiC//nanA//codB//malG//aceK//
GlpR	ycgR//purE//arsC//nrdF//lpd//pheM//nrfE//psd//exuT//
GlrR	cspD//sgbH//nuoL//cydD//yjhC//
GntR	glnQ//znuA//malE//fiu//araF//purB//fruB//ybhL//intQ//fliA//dmsA//nanC//
GutM	yneM//ykiA//nrfD//glnD//pgpC//ynfH//purN//
GutR	tcyP//ynbD//ddpA//phnI//argG//ydhW//yfiR//
HU	fpr//yciG//ftsL//cysD//arsB//fruA//cadC//bamE//mraY//
HcaR	ihfA//fadL//dapD//tyrA//malY//bluF//
HdfR	ppdA//marA//fliT//tyrR//sroC//
HigA	xylA//sutR//
HigB-HigA	fdnG//mgtL//
HipAB	nikA//yhbT//hyfA//sucD//aslB//
HipB	ftsA//tehB//dacC//mdtD//alsC//hybB//
HyfR	phnJ//lpxC//glpB//ydfE//gltD//chbC//agaI//paaG//pstA//tcyJ//appB//pheS//
HypT	appC//hyfC//glnL//nhaR//tyrP//gadY//creC//seqA//gudD//entB//waaZ//caiT//mntP//
IclR	napH//fhuA//csgB//alkB//
IdnR	melB//wecB//gspG//trpC//arsR//mlc//nemA//
IlvY	htpG//phnM//
IscR	narI//hcp//hisJ//hybO//yegR//sucC//narK//purF//yfdV//cysC//umpH//cas2//glpA//creB//appA//trpB//napF//accD//sucD//dapD//hflD//ftsL//nrdH//yecT//ykgO//purA//uvrY//ccmD//ymgA//casD//tehA//psd//
KdgR	prs//nuoI//
KdpE	rpoD//flgH//ptsI//nupC//
LacI	astA//decR//glnQ//
LeuO	ulaE//ymjC//ydbD//prpC//phnL//wzxE//asnB//ynfG//dmsB//fliQ//ydfH//gspG//nuoG//ybhL//sulA//nadB//yfaE//ppc//dgcC//mdtE//
LexA	paaA//tdcE//ynbC//atoA//ymgA//moaB//cpxA//fliM//dinF//ariR//araH//uspA//metE//yqaE//trpD//rhaT//agaS//cysJ//hipA//psd//uvrY//ampC//hisP//nrdH//narG//ynjI//flgN//rstB//yeaD//gltD//nfsB//recC//nrdF//citD//phnI//kdpF//fliO//leuO//yhhY//lldR//frdA//nrfA//accD//nuoM//ftsQ//dgcC//ybfN//fepC//rpoD//yccA//acrZ//motB//ecnB//fecC//phoU//ruvB//nrdE//ugpC//edd//
LldR	rybB//gyrA//emrA//
LrhA	osmY//degP//metH//cyoA//
LsrR	malI//ycjX//prpB//mtr//ddlB//ydfW//yfdX//tdcG//ydcV//
LysR	acrB//thiQ//
MalI	rffC//fliP//puuD//
MalT	prpD//galK//norW//napF//betA//araH//ykgO//phoP//mtlD//ynbB//
MarA	relE//rclA//hdeD//ddpF//pagP//yafN//uspA//mqsR//appC//paaC//ldtC//wzb//cysB//srlA//yidQ//idnD//mhpC//nhaR//wzyE//pspF//ahpC//gpmM//hycH//paaJ//hyfB//hcaR//nrdF//atoA//paaA//osmC//chbB//idnO//sulA//gnd//hyaF//yhdW//ydfN//hcaC//
MarR	lamB//yfdX//yedX//
MatA	cusR//pqiA//casC//mnmG//sulA//ynfG//tadA//emrB//
MazE	xylH//deoB//metB//
MazE-MazF	yfdX//flgK//yeaR//
McbR	ihfA//ruvB//fixA//ada//
MelR	ybjC//pstB//pgaD//
MetJ	ugpQ//cyoA//sodA//ydhX//acrB//rhaR//hdeA//murG//ccmD//tdcG//ydfD//dcuD//hcaC//fhuB//focA//
MetR	phoH//yjiY//exuR//ydfW//yciW//
MhpR	hypA//fliA//cysW//ssuD//dinJ//ftsQ//
Mlc	dnaA//rstA//dinI//fadI//trpE//rtcA//argD//cydB//sufE//potG//
MlrA	pyrC//cynT//ydcU//nac//cadA//cydB//inaA//garD//lldP//nhaA//
MngR	trpA//sodB//yiiS//
MntR	pdeR//mazF//hisP//feaR//hyfG//
ModE	flgD//mdtE//idnD//malY//acrR//garR//murE//wrbA//caiF//ygiC//tsr//narG//thiQ//potI//wza//napD//gabP//flgG//nuoC//deoB//recC//lacA//pfkA//setA//tsx//chbF//rimP//nfsB//entB//crl//dapD//ecnB//galK//ompT//paaD//cdaR//asnB//katE//efeU_1//nfo//pstC//gadB//yjjZ//rhaD//argB//rcnA//
MprA	nrfC//cspD//nikE//pykF//fepB//puuC//
MqsA	rutF//hflD//gabP//creC//pspE//astD//recB//dhaK//
MraZ	fepB//slt//xylH//yrbL//caiA//yhjC//ybhG//hslJ//sroD//nagB//tynA//mqsR//feaR//lldR//modA//bglF//agaI//
MtlR	uidC//pspC//ynbA//
MurR	mgrR//pqiB//phnG//
Nac	bioB//gspO//phnN//motA//epd//hokD//rutD//phnE_2//hyaE//mzrA//ykiA//modC//nimT//argC//tauD//csrC//purM//narH//narK//lsrA//aroF//
NadR	ygbA//mntP//ynfG//fepC//
NagC	mglA//yjhB//efeU_1//pspB//yafQ//galS//potH//patD//aceK//zraP//hyfC//ygiC//pyrD//phoR//fadA//sbmC//glgX//nikB//citG//umuD//purR//yafP//hycB//cusC//hslJ//oppC//cysP//ilvC//nuoB//tcyJ//gnd//lsrD//acnA//idnD//wrbA//napB//ulaF//
NanR	srlA//hisJ//yhjC//pgk//hycH//ppiD//oppA//ftnB//yhjC//atoA//cra//
NarL	tdcE//rbsD//cydD//ynjI//sdhD//citC//fur//entA//gadE//katE//metR//csgF//bglG//tolC//dgkA//ddpB//dacC//nagB//nhaR//casD//asr//fldA//ycgZ//aroP//ftsI//mioC//sufE//ulaD//rnlB//fadA//fecA//fliL//ssuC//flhE//ydiV//seqA//ttdA//nemR//fabH//dinI//hycH//cecR//prpR//atoE//yhcH//gadX//melB//galR//tdcF//murD//araC//nrdH//ycjG//katG//gatY//cheA//cysA//fhuC//yhjA//bioC//tdcB//hyaC//polB//ymgA//ulaE//oxc//rhaR//glnA//ydjM//cspI//phnO//hcaC//pepA//ppiA//ydbK//thrS//rpoD//cpxA//yecR//fliS//aidB//glgB//paaH//fdnI//amtB//putP//rplT//creA//waaH//nupC//ybjN//yegH//purF//ugpB//ydfW//csgB//phnI//mqsA//evgA//yeaD//hydN//metA//xylF//tpiA//speA//ahpC//slyB//csrC//rbsB//phnO//fhuE//narH//arsC//sufC//ddpF//ybhF//cheA//mazF//ybhG//motA//phnE_1//yqhD//gntT//
NarP	yebG//flhE//metR//micF//murQ//moaB//envC//moeA//ccmB//glnG//nohA//glnA//nimT//bglG//yhcH//grcA//ada//ptrA//exbB//pstC//cyaR//ahpC//nuoK//aspA//dinG//yciW//hemL//feoB//astE//mdtF//cdd//fecD//glpQ//ulaD//hyaF//glk//murI//truB//ychF//paaC//zinT//gadX//mngR//csgD//glnD//malF//napB//ftsL//leuL//ddpB//
NemR	lpxD//argT//sbmC//
NhaR	ydeI//fixA//ybdZ//caiT//wza//hycF//manZ//
NikR	iscA//dinB//uspD//ddpF//gabP//gadW//
NimR	nanS//argA//
NorR	hyfG//yiaO//ompC//
NrdR	atoE//uidC//leuA//lldP//phnL//garK//slp//gcvH//glcD//
NsrR	tehB//araD//fecE//tdcG//mpaA//ubiC//nrfD//malG//artQ//norW//hcaD//speB//dsbG//bolA//betA//rfe//glnP//nuoJ//rpiR//waaH//ttdT//argR//nrdD//hyfI//rhaD//yhbS//yeaE//poxB//fixX//hypA//lpxC//fepC//ydbK//nimT//cysE//hybF//wrbA//osmY//ygaC//pgi//flgI//ycjF//idnR//recB//trpE//entH//dhaM//tbpA//oxyS//yhdW//fumB//putP//tonB//marR//mraZ//flgL//ptsH//ahpC//lhgO//yhdX//metK//aidB//ydbD//ampC//cas1//glyA//pheS//pgaC//recF//gabP//ftsL//napB//hcaE//ftsQ//dinI//pspG//yiaO//caiC//ecpA//artI//malX//dsdC//agaA//
NtrC	ygaC//waaZ//baeR//metF//putA//speA//argR//oppB//sdhC//rpmA//dmsB//borD//rybA//ybdN//puuB//nemA//fliE//uxaC//malM//fumC//hokD//gltL//ydjM//arsB//waaZ//flhA//flgI//chbR//yefM//uspA//aslB//ygaC//mdh//pflB//ebgA//fepC//kbaZ//cysJ//sroC//acnB//metK//hyaC//bioB//argG//oppA//yciW//ybaS//hdeD//yafQ//
OmpR	ulaC//puuD//tomB//mgrB//pflB//phnI//hyfB//norV//yciF//artJ//phnD//iraM//iraM//fhuD//agaB//exbD//argH//grxA//dhaM//mdtC//glpD//
OxyR	metI//gspK//caiB//deoD//focB//feoC//nuoA//ccmD//wzb//cysU//cynR//hyfJ//malZ//codB//hycB//yfdX//nohA//gspK//gltL//ynjI//pheM//hlyE//thrS//betT//allE//fadR//chbA//yhcH//purK//nikR//phnH//yaiW//pagP//yhbT//
PaaX	fbaA//flgH//cusS//pgaD//slt//aceE//lgoR//rprA//betA//mtlR//ybdZ//xylB//yqhD//cysG//
PdeL	glnK//
PdhR	astC//deoC//rcsA//yciW//uxuB//nikC//zntA//dmsB//eno//dcuD//glxR//glnP//pspC//aceE//dacC//ydeP//argG//phr//hyfG//ybdN//gapA//cysM//ydhX//yibQ//narJ//pyrD//wrbA//paaC//appA//lgoR//zinT//lysA//ycjX//mgrR//pck//prpB//yidQ//bhsA//mhpE//puuB//kbp//
PepA	hycI//melA//alkB//
PgrR	glnA//accC//fadR//feoB//flhA//pheS//tsgA//ugpA//
PhoB	evgA//ppdC//yeaD//argC//ebgC//fhlA//lon//lacA//sgbU//pnp//nagE//fucO//nupG//fecC//yecR//entE//fhuE//sucC//yhbE//ldtB//dinI//nrfD//ybjN//galS//yhiD//yciG//tyrP//tnaC//znuA//fabA//argD//purC//ahpF//umpH//yhdX//ecnB//ecpA//rpsU//glnH//napD//csrC//dsdX//lamB//yjbE//sgrR//iscS//mtr//rpiB//fliP//allC//dapD//erpA//leuD//rdoA//zinT//ynfG//cydC//chbR//mltF//nikD//
PhoP	fucI//leuD//cho//qseC//flgH//hyfE//katE//gntT//mtlR//leuB//flgM//cyoC//patA//ada//nikE//moaD//lsrA//ruvB//ihfA//dhaR//flgF//malK//yiaL//wzxE//nrdA//tyrB//ftsW//napF//cusS//potF//yebE//narH//lpxD//symE//hdeB//cysI//yhdW//puuE//patD//pepD//glnB//pgaA//ftnB//mhpC//mdtD//hslJ//allA//dapB//katE//ompC//tpiA//ppc//ulaG//nlpA//alsC//ybhR//
PrpR	metY//leuA//alkA//sbmC//metN//
PspF	emrY//glmY//mtlR//yoeB//gcvP//micF//murG//
PurR	csgD//oxc//nrdA//yhhY//fabH//nohA//nemA//bioB//ung//hisM//motB//yhhY//bioB//pgaB//mngR//agaS//fnr//lldP//wzc//bdm//uspE//lsrB//allD//rplT//fepB//torC//garL//ydeP//fruA//tsx//purF//
PutA	lacY//astC//
PuuR	purF//ccmG//ppdA//ssuD//uxaB//dsdC//fliI//
QseB	patD//rpmA//flgD//btuB//
RbsR	katE//leuL//flgA//cyoD//trpR//mgrB//cyoB//narL//rffM//
RcdA	wzxE//cynR//rbsB//garD//fecC//ydfD//mlc//mdtE//degP//
RclR	yfbR//eda//mioC//
RcnR	feoA//tehB//atoE//
RcsAB	ftnA//fliM//wzzE//lacA//codA//trpL//cysG//fruA//rbsR//folE//codA//ttdA//allE//uidC//fau//astE//
RcsB	moaD//feaB//prpC//nuoB//argC//galP//aroL//gcvP//hyfJ//yiaJ//yciG//putA//deoC//cheA//nikB//murP//pflB//xylR//codA//lsrA//ssrS//qseC//cbl//gudX//rpmI//
RcsB-BglJ	ompN//ptrA//aroP//fliN//narX//fur//ygbA//fadI//fliF//hokD//sra//ycgZ//csrB//lysP//yafN//flhA//
RelB	tolC//modB//ulaF//
RelB-RelE	rutF//zraR//glnP//
RhaR	moaB//znuB//
RhaS	caiF//paaD//uvrA//mtlD//cydB//ygbK//
Rob	nuoE//cyoE//modA//tehA//csgG//pdeH//leuA//ugpA//efeU_2//ccmG//fldB//micF//fliG//malI//moaC//ychF//tfaQ//uspA//artJ//phoA//purK//nagA//cydB//xapB//aslB//rimP//
RstA	znuC//epd//allS//csiD//wzc//dcuD//fabA//uxuA//sodA//citE//
RtcR	idnR//dmsA//
RutR	ygiA//fliA//mraY//gltD//hyaB//hisJ//prpC//yncE//fliZ//katE//glpB//lsrF//hslJ//moeB//dhaL//tdcA//ilvC//
SdiA	metI//hyfH//csiD//osmB//fucU//
SgrR	sdhA//betA//bglG//slyB//hcr//phnK//hycF//cysG//glnD//
SlyA	ldtB//
SoxR	creB//lldD//uxaB//
SoxS	artQ//grxD//nuoA//omrB//ybhG//puuR//borD//zraS//mscM//metK//rpmI//ompF//iraP//cpxR//malP//yfdX//inaA//accA//ygiA//lsrG//fepA//baeR//xylB//nupC//yhdX//ymjC//hcaF//bioF//crp//fabG//entF//yjhB//mhpT//prpD//mgtA//dmsA//fnr//citC//wzc//csiD//
StpA	moeA//phnJ//potF//pspE//glpT//pspE//araF//
SutR	pdeL//yebG//oxyR//pnuC//puuE//
TdcA	prs//edd//gadF//emrK//truB//ydhW//allC//
TdcR	ynbC//wcaB//dkgA//accD//rdoA//fdnH//exuT//
TorR	ynfH//astA//idnT//ftsA//ytfE//tdcD//entA//relB//ccmH//yoaG//fepA//agaS//
TreR	accC//gcvH//
TrpR	yafN//pdhR//puuC//alsB//sbcD//bglF//csrB//prs//argA//fabD//relB//ydiV//
TyrR	sroD//csrC//ssuE//fhuA//aceA//trpC//deoB//hdeD//guaB//hybB//gabT//flgD//
UhpA	ymjD//
UidR	ydhY//pqiB//ykgO//phnJ//
UlaR	manX//aceF//bluF//grxA//phnG//acrZ//citG//
UvrY	aroG//paaZ//recC//cysB//fimE//
UxuR	sroA//cyoB//yhcH//dsbC//relE//dkgA//icd//wecB//hokD//
XapR	glpC//dapD//
XylR	mngA//nemR//gcl//hybB//cadB//atoD//gadE//
YdeO	yjhC//csrC//fabZ//fabH//ppiA//rutR//baeR//cysN//lsrA//eno//mdtB//mdtC//astE//yciF//ycjX//ygeA//srlB//cydA//yidQ//appC//sufS//
YedW	crp//pspA//fhuA//patD//omrB//ydcS//betA//dinQ//lysR//prs//ycjG//pyrD//
YefM	fliZ//galR//
YefM-YoeB	dsdA//fadL//
YehT	yiaJ//
YeiL	dsdX//
YiaJ	aroP//exuR//kdpF//flgJ//aroF//cynX//ogt//glnD//fliL//lpd//
YjjQ	ygiZ//tyrB//yhcH//cusS//trpE//arsC//moaC//rprA//nrdE//recC//
YpdB	galS//
YqhC	mazG//yccJ//
YqjI	nanA//flhE//
ZntR	ugpA//
ZraR	hypE//wecB//astD//
Zur	murD//cysC//fnr//argI//glnA//ynbC//
