#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	bglB//tauD//
Fur	sodB//agaA//prpD//garK//xylB//entE//dinD//trxC//cadC//rhaR//hcaR//dapB//nemA//hyaF//phnH//fhlA//yneM//pgaD//dinI//lysA//potI//accD//yfiR//mraZ//nikE//fliS//cpxR//garD//malE//umuD//ndh//agaD//ssb//narX//sucB//ydeN//ybbW//fliJ//nrdA//fabH//ddlB//xylF//yegH//paaF//hflD//sdhA//ynbB//hycG//dmsD//glnK//fixA//dctA//fecB//phnO//gspO//rhaS//ybbY//ada//argI//tdcB//gadF//lysP//aroF//bdm//efeU_2//tsx//mtr//nikC//paaG//gadA//entF//paaA//glpQ//molR_1//csrC//rffT//csgD//dsrA//csrC//torA//oppF//astC//yhdX//fumC//rnlA//tdcA//motB//hcaE//fumC//ccmA//mhpT//rutR//sulA//aceE//wza//rnpB//araH//codB//fbaA//alsC//rbsD//yncE//frdD//ychF//znuB//malS//amn//tbpA//creA//rnlA//nadA//psiF//rpiB//modA//nuoG//csiD//dhaM//gadE//ecnB//dapB//dsrA//pspF//hycB//csgC//pqiB//yhdX//lpxD//uvrD//infB//csgA//
GadE	aroG//gabD//ascB//nirB//ulaC//pdeH//yoeB//agaW//hyfJ//ydcV//frdC//nrdB//prpE//metI//fhuA//ycjY//emrY//hyaB//pgaD//ddpC//puuC//flgE//carB//feaR//cynS//bamE//tpiA//hemH//manX//
GadE-RcsB	paaA//ddpC//yhbE//iclR//slyB//dmsD//ihfA//dkgA//dgcZ//
GadW	dpiA//ykiA//yhiD//waaZ//ompT//cvpA//dsdC//rbsR//araF//codA//sucD//nanK//sufC//yecT//hcaD//
GadX	pqiB//xylF//ybhR//ulaE//frdD//nuoB//arsR//wzb//appY//fepE//aroG//ycjY//tcyP//yeiL//hypD//dnaN//cysM//ftsQ//alaS//ydfD//rutB//lacZ//gatD//ccmG//moaC//phoP//cadA//gadC//yeaH//
GalR	rimK//ccmD//gspH//phoR//yebG//sdhB//bhsA//hslJ//malI//gdhA//
GalS	melB//edd//hybO//envC//efeU_1//envC//citG//srlR//trxC//ydcS//
GatR	argO//fhuA//tynA//hisM//ynjI//fhuA//
GcvA	tdcE//yoaG//puuC//motB//uxuA//
GlcC	wzb//phnD//hcr//puuB//ccmH//casA//rhaT//
GlpR	hycE//rybA//trpA//ppiA//mtlA//ydfE//rutD//cysN//aceK//
GlrR	fhuE//yhbT//lysA//pepA//yidQ//
GntR	cyaR//dsdX//flgE//moaB//tauB//yecT//purL//ydhW//moaA//pyrD//ydfH//znuC//
GutM	gltF//murD//idnD//argO//malM//creB//manX//
GutR	narX//wza//tdcD//murD//ftnB//narX//arsC//
HU	allS//hybG//ydhX//hflD//nrfE//tnaC//rhaA//hybO//yhbT//
HcaR	ymgA//rbsA//lsrA//ompC//baeS//manZ//
HdfR	treB//uvrD//gcl//sufC//gnd//
HigA	gatC//rffC//
HigB-HigA	ruvA//ugpE//
HipAB	mazF//wza//stpA//leuB//ompF//
HipB	glxK//mprA//fliO//molR_1//exuR//mngB//
HyfR	bluF//yedX//norW//pspF//cvpA//dapD//rbsK//glcD//astD//fimB//aroG//purH//
HypT	glcD//tauD//sucB//cyaR//glgA//yegZ//nuoA//rffM//ebgC//mntH//appY//rclC//prpD//
IclR	cyoB//cpxR//appX//ycjF//
IdnR	yccA//ddpX//yedX//focA//pepA//ccmC//nrfF//
IlvY	erpA//pfkA//
IscR	htpG//ydhY//ynfE//nanS//pstS//waaH//ftsA//pdeR//glgX//ydeP//torA//ybfN//gatZ//hyfF//zinT//lpxD//gatY//amn//sufA//csiD//kbaZ//dmsC//emrB//csgE//recN//mdtE//obgE//yjbG//yhdZ//agaC//ftsI//hyi//
KdgR	ttdB//purL//
KdpE	agaD//kdpA//ruvB//kdpB//
LacI	nac//yncE//glcF//
LeuO	alsA//flhB//mltF//yciX//pgk//dsrA//iscA//hcp//cadA//kdpA//chbC//phnK//entH//nuoF//ptsH//sbcC//yfbR//hlyE//yhjA//asnC//
LexA	argF//kdpF//edd//wzzE//ydcT//murF//bglB//dicC//citX//rcnA//oppD//dkgB//sroD//ydhX//rplT//hyfR//adiA//dcuR//ldtD//ompW//hycF//agaI//nrdB//sbmA//potI//mngB//nuoG//nhaA//mtlD//fecC//alsA//fixB//ompW//rpoH//torR//ldtB//astD//appC//lhgO//cydA//argR//caiC//ugpC//ydfH//cecR//dmsA//nirD//potF//ynbD//gntU//lpxC//agaI//hcr//fruK//seqA//chbG//pyrC//pgk//gadB//
LldR	mgrR//copA//araJ//
LrhA	focA//ulaB//ugpA//dinJ//
LsrR	puuC//dhaL//cadA//dgcN//tynA//ppdB//cyoD//sbcD//nohA//
LysR	cynX//znuB//
MalI	polA//ebgC//nfo//
MalT	pheS//creC//dtpA//tyrR//ugpA//puuR//dpiA//ymjD//rffH//arsC//
MarA	pyrC//lldP//fadL//araH//nlpA//glmY//sufE//phnH//hybF//gltL//nuoI//ygiB//mltF//manZ//csgE//ompN//ygbK//ybbW//tpiA//pgaC//hyfF//nupC//malS//grcA//feoC//deoB//gatB//dgcC//rstB//ydcU//ycgR//nrfC//seqA//melR//ydcU//add//dapB//fldB//
MarR	ybhL//nohA//araB//
MatA	acrZ//flgC//purF//nfo//napH//yibQ//emrY//ygdB//
MazE	sodA//pitB//ykgO//
MazE-MazF	mraY//uidA//nuoB//
McbR	hypC//fliF//ydhT//nfo//
MelR	hycH//glpB//pgi//
MetJ	nanE//dhaR//mhpC//ompW//dinF//rbsD//tnaB//fruB//relE//ccmA//tomB//pheT//xylG//cydB//yncE//
MetR	cysE//flgD//casA//lysR//lolA//
MhpR	osmY//paaZ//dmsA//fimB//ydiU//caiD//
Mlc	citE//aceB//phnJ//paaA//rpoE//aceK//glmS//alsB//nirC//flgM//
MlrA	rbfA//paaI//modB//hokE//mntS//purL//purA//fliG//argP//nanS//
MngR	mazG//mgrB//rhaA//
MntR	norR//phnM//melR//yciG//gspK//
ModE	yfaE//murC//cysH//glnL//motA//ftsA//polA//znuC//crl//fliF//fabA//rbsC//cydC//trpA//yecR//caiC//yhbE//cadA//htpG//relE//cdaR//dnaG//murE//acrZ//bdcA//amn//bamE//yegZ//ecnB//rpmI//nohA//fbaA//yjjZ//chbB//lysO//flhE//ftsA//manY//ptsH//araC//csrB//paaG//gspK//mgtA//mzrA//tdcE//
MprA	putP//uhpT//cyaR//manX//fau//casE//
MqsA	murI//ydeI//allE//glnG//xapA//hyfA//yoaC//cyoA//
MraZ	paaF//metB//feaB//fimB//ydhU//recN//yqhD//yhiM//cysI//hdeB//decR//cysK//yiaL//ftsA//gloA//mtr//nrfA//
MtlR	gspE//argD//gspL//
MurR	pgi//gadE//ydfN//
Nac	tdcE//cydA//talA//putA//rimP//dgcZ//fliA//purB//ribA//rffT//sgbH//cho//rseC//asnB//glpX//gutQ//mdtA//mdtB//dhaM//guaA//fliG//
NadR	xylG//gadX//recX//pagP//
NagC	uxaB//fadR//yciE//hokE//ybjN//glpA//rffG//ykgM//pspD//oxyR//cynX//glnA//glnQ//yfiB//ynfE//xapA//ytfE//araJ//murE//gpmA//rclA//tktB//rdoA//yneM//gcvH//yrbL//safA//dinJ//appA//dnaN//cysD//mqsA//artI//csrB//pgi//psiE//galM//
NanR	csgG//cynS//murQ//csgG//dcuD//tsx//marR//yjiY//appY//rhaR//pspD//
NarL	wcaA//gpmA//narL//torA//ydeM//lsrR//tnaC//potH//dgkA//ulaA//cusB//yfdE//fabH//crp//glmY//sdhD//dmsB//mngA//lldP//caiA//kbaY//treB//dinQ//casA//metE//araE//sbmC//fliP//phnE_2//argD//safA//uxaA//iscU//dhaM//ydfH//cysC//glcB//moaE//ybhL//ydhY//gadC//xapA//fliE//lacY//flu//flgC//argB//malQ//fadM//ddpA//pgaD//lsrA//mdtF//mqsR//fepC//yfdV//uvrY//yciW//cydD//ascF//cra//cyoB//bdcA//tcyP//hipA//bioC//kdpF//trpD//hdeD//bioF//hypD//hycE//fliM//aspC//alsB//pstS//metN//fecC//argE//oppD//acrB//argC//mazG//hycF//allB//polB//nanT//purD//rprA//grcA//aspA//fliI//rutA//citC//malT//cysC//narK//nrdG//nanK//gatC//nrdF//pspG//yaiA//metC//manX//pgk//ddpD//nrdI//csrC//sulA//acrB//glpA//katE//dgcN//gspH//flgA//paaY//nrdB//ygiB//paaJ//astA//yfdE//tbpA//
NarP	gspI//hycC//tadA//nrdF//napF//sdhC//ulaF//inaA//paaJ//wza//fecA//tdcA//ogt//atoA//norR//yoeB//purC//hybE//rhaA//nhaR//fabI//ybhG//ynfH//cyoB//zraS//araG//fucR//lgoR//nhaA//cysD//purA//ccmE//zraS//lacY//malK//relE//asnB//caiF//nuoF//ymiA//ybfN//gadY//tdcC//modA//ftsK//acrZ//napC//fecD//appX//araF//
NemR	emrB//ilvY//ssuD//
NhaR	ppdB//flgL//mdh//ynfG//hlyE//glpC//ynfF//
NikR	paaC//pdeH//patA//betT//agaA//folE//
NimR	iraM//tyrP//
NorR	mioC//qseC//appA//
NrdR	paaJ//yiaL//deoA//metC//gcvT//trpD//codB//gadW//glpF//
NsrR	rutB//cspD//efeU_2//hyfR//fadM//sucB//glcF//glpC//fhuF//entD//ybiT//bdcA//borD//cbl//modC//fepA//phoU//uidB//iscA//cadC//amn//mdtE//argD//puuB//dnaN//mcbA//dhaL//luxS//moaC//prpR//murG//argT//ahpF//nikE//yhbT//prpE//wzyE//pyrC//alsC//nuoE//malK//ynfG//dmsB//rseA//nimR//yhbS//moaA//malF//citF//glmU//dapB//tam//alsA//oppB//ymjD//puuC//torD//hlyE//yiaN//hcaD//hyaF//nupG//alsC//mhpD//gltL//flgC//tdcB//mtlD//mpaA//glpK//prs//lysP//epd//motA//aspC//fruB//gadF//crp//osmC//appC//murR//relB//fecE//
NtrC	ccmH//flgB//nrfG//yhcH//pspF//modC//yneM//cheA//hmp//nfo//metY//idnD//phnH//yegR//kdpA//sroA//argG//modC//alaC//phnG//metL//agaC//metY//uxaA//nrfG//malS//ycjF//appX//cas1//rhaT//trpD//ebgC//galR//obgE//artP//murD//fucR//ygiB//pheS//cvpA//ydfN//dsdA//tehA//molR_1//uxuB//pqiB//ttdA//hcaF//citC//
OmpR	pdeL//nuoE//truB//ydhT//appB//srlE//ssb//casC//ppdB//glmY//melB//galM//fhuA//paaC//csgE//degP//ulaG//zinT//lysC//dps//ssuE//
OxyR	crl//pgaA//glnP//ssuB//cdd//fliF//ddpD//gspI//fecC//alsA//nanS//araD//rutB//slyB//safA//oxyS//tauC//sroA//mazF//speA//yafN//treC//yoaG//gatC//torD//pitB//phnJ//tsr//ydiV//ttdR//yafO//recN//rclB//acrZ//
PaaX	betT//phnE_1//gltD//zraP//uxaC//phnN//mtlR//ygiB//ugpA//ybhL//baeR//ycjY//nfo//yecT//
PdeL	cra//
PdhR	astD//purA//hcaR//aceA//lysC//modA//pheT//aldA//ydcT//ygbK//astD//dinF//infC//gcl//gltJ//ogt//gatZ//aspA//ulaB//cho//uspE//yeiB//metQ//poxB//mzrA//ydjM//dhaR//phnL//cvpA//hlyE//deoA//cysH//chbR//tnaC//ssuA//waaH//yciG//ompW//bamE//ybhG//folE//
PepA	speA//oxyR//fldA//
PgrR	tdcE//nuoN//gcvB//cbl//rarA//manY//ftsZ//nirC//
PhoB	aroL//yeiL//uspE//trpL//yhiD//yeaH//molR_1//gudP//rdoA//cysI//rutD//putA//srlR//ttdB//dnaG//dmsC//ccmH//nagC//fldA//sutR//polB//nac//flgH//hyaA//malF//aspC//ddpC//yjeV//zntA//kdpF//pgk//asnB//hyaA//phnL//uof//iclR//yjeV//yhdX//ompN//btuB//ydfX//btuB//dicB//yoeB//fliZ//aslB//gspI//yqhG//rpoD//nrdE//fhuC//citG//rbsD//fbaB//emrY//hipA//gltK//ruvB//fecC//accC//
PhoP	ydeN//mioC//phnP//fepB//oppB//frdA//paaB//hyfA//kdpC//cdaR//uxaB//truB//evgA//hybC//ynbB//recA//rseB//mltF//ssuC//gspL//recX//metB//rnlA//osmY//aslB//ydfN//zraR//dhaM//rbsC//yeaR//dinI//yhcH//ihfA//nuoE//fdnH//napB//focB//glpA//galK//obgE//fur//phnK//fliZ//aceA//dmsB//dapD//fhuE//dsrA//uvrC//fixA//kdpA//metQ//sgrT//flgB//lysR//fabD//
PrpR	metE//fecR//wcaA//dgcZ//modC//
PspF	fhuA//gudD//aspC//leuC//recA//gspE//galT//
PurR	hyfF//dcuA//rpoH//deoB//yjjZ//creA//aspC//agaW//fhuE//tdcD//purM//creD//ybhS//dcuD//treC//phnH//glgX//nfsA//glnK//rbsD//speB//dicB//glnP//uidA//artP//garD//accD//ubiX//araD//aceA//ccmD//
PutA	ecpA//zraS//
PuuR	rffT//yciG//norR//flgB//dnaN//cdaR//uspE//
QseB	mdtF//yciG//aspA//csgG//
RbsR	norV//recB//frdD//gudP//yeaG//pstA//ftsW//yhjC//bacA//
RcdA	psiF//cysG//citD//mtlR//glcC//ugpB//pepA//dmsD//yncE//
RclR	wecC//yccT//phoE//
RcnR	higA//frdC//mazE//
RcsAB	gatZ//gatY//ugpC//yncE//dsdC//entA//mdtE//bglG//gspE//agaI//creB//ibaG//iscA//malF//gatZ//ulaC//
RcsB	umpH//sufS//pgaC//agaA//lacY//sucB//waaZ//lsrR//bioF//yciE//yneM//chbF//moeB//moaD//lacY//glgC//casC//yaiA//csiD//ndh//focA//nrdB//insK//ydbK//mhpT//
RcsB-BglJ	araA//osmB//hflD//casC//rimK//narL//mhpF//ccmC//flgB//ddpF//feoC//fadD//ycjG//hyfC//citE//polB//
RelB	rutR//lacY//dps//
RelB-RelE	argT//gadY//murQ//
RhaR	betT//tdcF//
RhaS	agaV//rclB//lysA//pspD//ynbB//csgD//
Rob	hyfF//sbmA//yrbL//fliQ//ruvB//idnD//atoE//tehB//pyrC//oxyS//phoR//garD//emrB//crp//allE//grxD//ygdB//trpC//exuT//ybfE//yidQ//luxS//fdnG//leuO//metY//melA//
RstA	glnQ//pdeH//mtlR//xylF//yrbL//nrdE//dhaM//garK//lsrA//baeS//
RtcR	pstS//ccmA//
RutR	hcr//ymjD//flgJ//csrB//sbmC//fabB//betT//yefM//glnP//nfsA//lrp//aceA//thiQ//fliF//alkB//ompN//codB//
SdiA	hemH//ybaT//higA//bdcA//znuA//
SgrR	ddpF//fliJ//chbC//cspE//soxR//evgA//cysA//fliZ//ptrA//
SlyA	rpoS//
SoxR	csgA//fnr//wzzE//
SoxS	hmp//gspL//fadD//entH//tyrB//hisJ//tsgA//gatD//lysC//nrdI//araB//yefM//pdhR//sgrR//metR//flgN//lsrC//ahpF//araA//rffG//nanT//hycE//pnp//citF//ydfD//uhpT//yciE//fucA//fecE//nuoI//obgE//hybG//katG//sulA//aceE//glgC//ydfW//dinB//flgL//recX//
StpA	nuoM//aldA//acrB//hypD//yhiD//dcuA//guaA//
SutR	malM//higA//trpR//mgtL//dmsC//
TdcA	fabG//aroL//moaD//glgB//oppC//dsrA//artQ//
TdcR	yfaE//mqsA//hyfI//tdcG//yqjH//ascB//wza//
TorR	tadA//cvpA//cadA//iraP//rutE//evgA//glnD//pnp//mhpE//yefM//ynbC//kdpF//
TreR	fliJ//sucB//
TrpR	allS//cydB//hybB//sucC//ssuA//flgL//fliI//flhA//citE//pspF//ddlB//ydeI//
TyrR	mpl//oppB//ddpF//cusR//trpB//cra//artI//metC//phnO//ydjM//yjbG//idnK//
UhpA	agaD//
UidR	argD//zraS//citC//ftsK//
UlaR	metQ//caiT//yciF//ybfE//paaA//artJ//cysN//
UvrY	idnT//obgE//entH//nuoJ//ccmF//
UxuR	accB//cheW//fabD//metK//cysM//gadA//mqsA//arsR//thrS//
XapR	lysP//aspC//
XylR	glxR//pgaD//dinB//glcD//rutC//malQ//rbsA//
YdeO	dacC//dinJ//rutA//ftsZ//kdpF//thrS//lsrB//umuD//ilvC//lysP//erpA//ulaF//mngR//pgaD//gadW//tdcC//rplU//pyrC//fecI//rbsD//wecB//
YedW	dmsD//sroA//frdA//fhuC//araD//tauD//nimT//phoA//nupC//treB//glgP//yedX//
YefM	garP//xylA//
YefM-YoeB	yjbE//emrY//
YehT	hlyE//
YeiL	malQ//
YiaJ	pheS//hyfD//rimK//fliD//lysA//asr//qseC//moaD//tyrB//arsB//
YjjQ	gspD//modB//garD//yecT//flgJ//gudD//paaI//aroP//tnaA//pspE//
YpdB	flhB//
YqhC	cynT//dgkA//
YqjI	ycjG//cadA//
ZntR	sgrS//
ZraR	caiD//yjjZ//rseB//
Zur	ubiA//araD//hycC//aroG//melA//recF//
