#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	creD//hdeB//
CpxR	alsC//waaH//yqjH//cysG//hokD//lpxC//gabD//fpr//iscS//hyfB//gadC//nrfF//bioA//fliP//flgN//murI//manY//fdnI//tsgA//gltI//pstS//icd//motB//rutG//ftsA//lsrK//ybaS//hdeA//ccmF//hypF//mdtA//glnB//nusA//gspO//yjbG//modB//nrdB//adhE//ydcS//entD//galE//aceK//treB//tdcE//zntA//lacA//agaB//gltI//yfaE//argO//ydeM//emrY//agaS//nrfA//cysP//sufC//focB//fliT//sbmC//xapB//glpF//fadA//mgrR//modB//pck//gspC//malQ//dsbG//yjbE//ugpA//
Cra	galE//leuD//norR//dgcC//katE//cydC//fepB//glpC//nadA//fldB//ddpX//yeiB//ydfX//torD//focB//sufB//yfdX//citD//mazE//hypF//flgM//nac//yciW//lsrK//ydbK//hycA//ygbK//tnaB//fixA//ryhB//iscS//ycgR//ybaT//araE//fumC//metL//dkgB//yhbS//inaA//ssb//cspE//tbpA//pspD//srlD//glyA//nrfC//treB//pheT//yhiD//lysR//yaiA//fhuA//lhgO//srlR//metI//metK//murR//wzyE//cheW//appA//sucB//glpB//paaJ//ebgC//prpC//bglB//glpA//zraP//wcaA//gabT//mhpB//appA//hypC//modB//mazE//rbsR//trpC//flgG//yeaD//
CreB	lexA//argT//wrbA//hycD//hycG//
CsgD	purC//evgA//yidQ//hokD//ftsL//nanA//ybbY//cyaR//tdcC//lpxA//gudP//atoA//ydfE//hybA//hyfD//prpE//infC//dmsA//flhB//hokE//ftsK//gspJ//sulA//emrK//poxB//rplT//rprA//mdtA//
CsiR	skp//bioD//csgE//mtr//tadA//
CspA	spy//cecR//
CueR	hyi//flgM//allS//ybbY//galE//seqA//hybB//
CusR	fruK//nrfC//murG//yiaJ//srlE//gcvH//argO//deoA//mhpE//mdtF//hyfA//asr//
CynR	eda//tnaB//yhiD//rcnR//
CysB	fliG//glcC//ulaF//frc//uxuR//nemA//cirA//znuA//aroG//hybA//trpC//galM//rpoD//gadY//atoA//hyaC//mazF//fabI//slyB//fadJ//higB//tsx//cspE//flgE//napC//hybE//nrfA//phoA//rybA//epd//metN//alkB//
CytR	mdtA//setA//pgaC//hybG//dsbA//rcnB//fecC//dapB//leuC//gcvH//hyaA//pgaC//nrfF//
Dan	oppF//gntP//patA//motA//
DcuR	ynbC//tolC//dhaK//agaB//aroL//trpL//ynfG//nrfC//exbB//
DeoR	pgpC//rprA//envC//ccmF//csgE//gntT//
DhaR	tyrB//recA//tfaQ//malZ//
DicA	acnB//fabD//cpxR//fepG//gspC//flgD//ybdZ//motB//
DinJ-YafQ	baeR//tisB//narG//
DnaA	hyaD//mglB//sgrT//mdtE//cysD//ymiA//araH//icd//sroD//rutD//tehA//narL//
DpiA	mazF//oxyS//omrB//lysR//leuD//cysD//glpD//ulaA//nrfD//ygiC//bioB//
DsdC	trpB//tsgA//casD//
EbgR	purF//sra//
EnvR	codA//mhpA//
EnvY	paaE//serA//
EvgA	yegR//ydjM//hipA//cysC//ynbA//napG//ldtC//ycdZ//mgtA//wzc//chbA//uvrA//hyaA//mipA//rybA//pdeR//fixB//iraP//agaV//
ExuR	creB//frdD//fumC//xylF//bglB//lpxD//wcaA//fimE//nuoN//
FabR	cadB//cheW//
FadR	pstC//atoE//csgA//ugpB//agaI//casB//hyaC//wecE//rpoD//hyaF//nemA//hycC//dtpA//osmY//yiaJ//yaiA//ydhY//ynfK//yjbG//mgrB//cysE//phoR//tnaB//
FeaR	folA//glcC//
FhlA	hypF//emrB//umpH//hybF//emrK//glxR//bglF//tauA//trpB//ychF//recF//sucA//allB//cpxA//umpH//moaE//moaE//purC//trxC//uxuR//glpT//hypF//fabG//feoB//tisB//fliI//argG//deoB//ugpQ//dmsC//
FlhDC	lhgO//fepD//ygbK//fliQ//prpD//aroP//allB//cueO//alaS//alsE//nrdD//flgG//metL//fumB//oxyR//mhpA//ddpC//grcA//bioC//glnL//murE//dhaM//phoP//mtr//focB//ynbD//pgi//tomB//feaR//katE//gcvP//carB//creB//araB//ulaA//phnC//sdhB//dinQ//nrfG//ulaF//leuB//agaR//fadD//ccmC//manY//paaZ//casB//murF//yiaN//araH//pspA//molR_1//yneM//ndh//sodA//tam//rseA//hemL//purD//wecE//fecI//ykgM//iscR//gudP//ycjY//glnK//hybD//uidA//phnE_1//napG//glnQ//ppc//mqsA//garP//sulA//fliT//emrB//ibaG//csrC//betI//napH//cyoC//
FliZ	cydA//ynfG//phoH//phnH//fepC//entH//sgrT//ddpX//folA//aidB//hyfD//yhjA//ptsI//gcl//nimT//sbmC//dkgB//appA//ptsG//pgk//purM//
FucR	dcuA//norV//bdcA//efeU_2//metY//ulaE//exuT//
Fur	purF//tonB//uvrY//flgK//yeiL//cysM//fbaB//glmS//napC//mqsA//dmsC//ydhU//accC//ygaC//soxS//paaA//ecpA//ugpB//tauB//phr//recF//ddpF//ydhX//ftsZ//fliG//argP//ygeH//bolA//tdcB//recA//ilvY//relA//tdcF//ybbY//mpaA//hyfE//acnA//metY//cheA//rutF//ynfE//rbsB//pgi//flgL//nuoM//yoeB//yjbE//mntS//nuoA//fucR//nupC//trpE//lyxK//cas2//symE//tadA//asnB//gspD//fecD//sgbH//prpB//dgcZ//ydhW//ydcV//rpmI//csgE//nuoA//yoaG//mdtA//cho//creD//yiaL//ybjG//prpB//btuB//qseB//lysO//moaA//rutR//nuoK//aceB//lyxK//napD//treC//iraP//nuoH//spy//fau//ccmG//exbD//exuR//rbsB//fadD//sbmC//ycjX//lysO//nupC//zraR//murD//cysN//cusB//kbaY//ydcT//mpaA//gutM//paaG//cysK//higB//ycgZ//chbF//rnlB//dinI//degP//uvrY//hybD//ppiA//ndh//purA//rbfA//ccmC//hyfG//rbsR//fadH//mlrA//ybhL//ptsH//symE//fabZ//garK//ldtB//
GadE	ssuC//pgaB//ydbK//dpiA//folE//rprA//ynfE//galP//rcnR//ssuA//flgG//allA//cysH//ppdB//phnO//creA//narL//gspC//yefM//safA//dsdC//galR//rpoD//cysA//glxR//glcD//fliR//tdcD//frdD//
GadE-RcsB	pspA//yhbS//dsdC//aceF//rsmH//yhbT//fecA//creC//deoB//
GadW	yccT//fliS//lsrD//nrdH//ydhW//mtlR//gspE//araE//nrfB//chiP//poxB//wzc//yjhC//znuC//agaD//
GadX	artM//rpiB//lacY//cbl//exuR//malF//tomB//putA//hybD//nuoG//wzc//yhjX//gntP//purK//araB//atoE//nemA//sroA//uvrD//rutA//bioB//glcG//ilvY//ebgA//cysP//hmp//citF//phoB//iscR//
GalR	gadW//fliO//folA//nupG//hha//metR//sgbU//lsrC//ydeP//feaR//
GalS	deoD//prpD//fadR//nadA//ycjX//bacA//borD//nimT//hdeB//rutR//
GatR	dsdA//phoU//sdhC//ttdA//yciX//pykF//
GcvA	nadA//pncB//pspE//intQ//xapA//
GlcC	agaV//phoU//entH//trpC//gltJ//hisM//mtr//
GlpR	fumC//cytR//phnM//seqA//ydeM//glcC//gloA//umuD//prpR//
GlrR	dnaG//gadW//uxuR//cas1//casB//
GntR	rstB//xylR//moaE//rclB//pstC//yiaL//purH//sfsB//mqsA//hyfH//fliD//aroM//
GutM	yccA//ykiA//fliT//yfaE//gpmM//prpE//caiB//
GutR	amtB//mntH//hyfC//torA//yeaR//phnE_2//artI//
HU	hns//dmsD//srlA//nanS//cyoE//phnF//paaH//gspK//moaD//
HcaR	deoC//nuoE//araH//cvpA//tehB//cusC//
HdfR	ydhT//entE//fadI//flgN//fumB//
HigA	fhlA//carA//
HigB-HigA	bglB//gcvB//
HipAB	aroG//yciX//hyfC//lpxA//creC//
HipB	phoU//ybjN//codA//guaB//dapD//entC//
HyfR	yiaO//glpK//prpR//cpxQ//emrB//rutB//aceA//erpA//ygiB//sgrR//leuB//yhjC//
HypT	fadM//mtr//garP//hybA//pstC//flgH//hypF//sroA//yiaM//casE//tehA//cecR//gltI//
IclR	truB//rpiB//gltJ//ybfE//
IdnR	ybhR//nrfB//cpxR//tcyP//paaB//lysA//recF//
IlvY	tam//ccmE//
IscR	mglC//tam//fepD//sucB//ybbY//tauD//uspD//yhdX//glgP//relB//nrfA//csrC//nikE//yeaG//creC//ppc//agaD//ddpD//phnM//trpL//nanT//puuP//araA//cynR//aspC//agaC//nhaR//uxaB//argE//marA//manZ//ptsG//
KdgR	sufA//kbp//
KdpE	yoaG//mglC//cysI//sucD//
LacI	wecB//glcA//ydhV//
LeuO	hyfH//nuoJ//alkB//hdeD//lhgO//yedX//moeB//feoA//ibaG//cyaR//recN//rffG//caiT//nemR//rob//ybhF//flhC//ihfA//mhpA//hmp//
LexA	mntS//pheS//ydiV//fruK//yafQ//mraY//nanE//yqhG//bglF//uxuR//gabD//qseC//grxA//metY//uhpT//gyrA//dinD//ybdN//fadE//spy//tynA//infC//alkB//gabT//phnJ//eda//malZ//hcaB//ttdB//wzzE//gabD//sgbU//lsrD//cheA//lsrG//kdpA//pnuC//phnO//paaB//hycF//moaD//ychF//recB//gspF//mcbA//mazF//uxuB//adiC//ddpD//phnF//rutG//tdcA//yhbS//ybiT//ahpF//ssuE//hypC//mpaA//gltJ//
LldR	fliF//csiD//mhpE//
LrhA	phnI//recC//hemL//galP//
LsrR	rbsR//yafO//appX//psiE//chbA//gltJ//narL//gcl//ppsA//
LysR	dcuS//ssuE//
MalI	rutR//ybaT//accA//
MalT	gspG//flgB//yecR//glnA//metI//mhpA//fucU//ulaE//wecE//aroH//
MarA	gspJ//osmB//dsdA//emrB//asnB//agaI//flgD//betI//sgrS//ddpD//rplT//nagA//trpR//phnJ//ahpC//ybjC//tdcE//cyoB//hypE//bacA//mntP//cpxA//srlE//ariR//ybjN//tdcG//yeaH//fadL//sgrR//ynbA//agaI//ykgM//ubiC//ybbW//cpxQ//ygbA//yeiL//phnM//
MarR	sgrR//yhcH//srlB//
MatA	galR//leuO//nanE//envC//aceE//malT//dhaL//ybhF//
MazE	dinI//ybfN//hcaE//
MazE-MazF	lpxD//cydD//srlD//
McbR	pitB//tsx//ynfH//rstA//
MelR	accC//puuE//metA//
MetJ	atoB//ygdB//hokE//carB//hybD//hycG//folA//pitB//fadA//pepA//flgJ//paaI//tdcC//cadC//sdhA//
MetR	fimB//htpG//moaC//amn//rpmI//
MhpR	hisP//mntH//cheA//ccmG//hdeD//pspG//
Mlc	purE//gcvA//nhaA//ampC//fdhF//gltD//cho//nadA//pstA//yhcH//
MlrA	dinB//sufS//yciF//lpxC//nadA//yccA//bioD//ybhR//dsbA//flhC//
MngR	udp//zraR//znuC//
MntR	mdtE//ymjD//cysU//phoA//ymiA//
ModE	agaS//hcaC//casA//hokE//mscM//lacY//ykiA//malG//nrdB//gspO//rpmA//yecT//tyrR//gutM//phnC//tomB//yciE//glcB//gadF//acrR//icd//phoH//gltJ//pspA//tfaQ//ycjF//lysC//feaR//flgJ//ldtC//oppB//glpT//sdhA//yafN//nirB//talA//purD//yebE//ynfK//puuA//chbC//osmY//rcnR//acrA//ddpF//accC//
MprA	yjbH//prpR//ttdA//gcvB//rutE//ugpA//
MqsA	waaY//asr//purF//flhD//dsrA//ycgZ//potG//aslB//
MraZ	malE//marR//mhpC//recX//marB//umuD//rutC//sdhA//entA//xylH//tsx//pdhR//osmB//caiB//amn//ihfA//rimP//
MtlR	fliO//yafQ//nuoM//
MurR	exbB//rutC//ynfE//
Nac	fucK//frdD//cusC//flgB//xapA//oppB//gspD//tolC//cusR//fhuD//puuR//yciX//ubiC//ynbA//sroA//rffT//sfsB//fhuC//yoeB//gntX//ygiA//
NadR	argF//paaX//pspG//katE//
NagC	ftsL//iraM//narL//ppiA//gspM//pyrC//modA//aroF//wcaB//nimT//idnT//deoA//cyoD//phoU//luxS//pgaB//phnJ//sucC//nupC//fliL//rbsB//fadM//fliR//ecpA//narL//xapA//wecC//ybfN//glpT//malK//gnd//acrB//fes//galE//purM//narL//pgpC//
NanR	baeR//thiQ//sgrT//rcnR//nhaR//znuC//yjjZ//ptsG//pspF//araE//fabA//
NarL	ymgC//yhdW//yhbE//modB//exuR//cspI//nanA//icd//rclA//yafQ//ariR//mhpF//pykF//sgbU//ydeP//yiaN//ddpF//dapB//recN//fhuC//isrC//gltF//recB//nirD//ppdB//pspE//ynjI//argE//fldA//fadI//lamB//xylG//yoaC//asnB//galT//galE//sdhC//glnD//talA//malZ//ydhT//pheS//carB//leuO//tdcA//ccmB//araB//trpB//yqjH//gadW//fliG//rffC//flgN//moaD//fliE//lamB//nusA//gltJ//nrfF//phoP//fabD//oppD//lysO//pfkA//nikR//frdA//amn//tnaA//phnP//paaB//umpH//lysC//nhaR//nrfG//pstS//sbmA//ydfX//entC//tdcD//moaE//yjbE//nanC//lpxD//prpD//lldP//flgG//puuR//fepG//cydB//leuC//dhaR//ycgR//prs//dicC//gadE//lsrF//hyfH//dgcN//fdnG//rutD//yiaJ//gltJ//ydhT//yciW//glpB//fabZ//cpxP//mgrB//phnK//yeaG//malM//gspK//ascB//molR_1//phoA//zntA//prpD//puuR//gspD//hyfA//bioD//alaC//tyrR//
NarP	umuD//fadD//phnI//puuB//guaA//alkB//bglF//xylH//nanK//glxK//fecB//btuB//ygeH//accC//alsB//ydfH//argP//glpB//rprA//pheS//ddpF//napC//recF//nirD//gatA//aslB//pyrC//yhdZ//mioC//fecB//glk//waaH//bglG//ssuC//pqiB//tnaA//cspD//murP//nrdE//trpL//nrdE//mipA//nrdA//flu//yfdX//copA//puuD//ttdT//paaI//exbD//
NemR	hdeB//pheM//sufE//
NhaR	ydfW//deoA//carA//mtlA//pqiB//yhbE//ybhS//
NikR	nrfD//cytR//argP//rybA//rffC//sutR//
NimR	melB//motB//
NorR	wza//gudD//kdpA//
NrdR	glpQ//degP//csgE//bglG//ascF//nemA//ydfH//ygeA//dmsB//
NsrR	rbsA//ybaS//trpB//dinQ//pepD//fucA//infB//tbpA//yrbL//astC//casD//hycA//ydcS//gltL//fliL//ddpX//slyB//pyrC//yeaE//nanM//phnF//tyrP//sdhC//htpG//gntT//hcr//garD//idnO//fhuE//ldtC//yciF//cueO//glpT//thiQ//rstB//lysP//cdd//agaC//phr//argP//dhaL//crr//tyrB//tdcC//ynfG//yciG//gntX//ydhY//prpE//fadR//znuC//dcuB//betA//oxyR//entB//waaY//yfbR//fadI//hcp//glxR//ssrS//nhaA//cpxP//mraY//csrB//nrdH//ykgO//gudP//yiaO//gadA//pgaC//psd//exbB//baeS//cecR//ccmC//phnC//nusA//phnM//marA//nemR//fhuE//fliT//
NtrC	emrK//nuoH//tyrA//yjjZ//sufB//fabG//ccmC//fabI//dkgA//rnlB//aroG//yhbE//zntA//marA//oppF//rybA//ydiU//sodB//carA//gadF//grcA//hybD//hypD//rhaB//cysE//dcuD//lysC//betT//aceB//fliE//fepE//ydhW//hcaB//glnL//phnL//hycC//ugpB//citF//napD//dhaL//flgK//fepB//glmY//malT//rutD//sdhB//fldB//osmY//nrfD//
OmpR	dnaN//ampC//hyi//tdcA//hisJ//purM//prpC//lysR//trpR//hyaA//wzyE//argH//yfdX//ygiA//dsdA//fadI//sbcD//yoaG//gspF//ddpB//ulaE//
OxyR	casB//aspC//phnC//gntU//prpD//malS//ydhY//rhaS//phoA//deoC//lrp//yiiS//ecpR//fes//yhiD//alsC//dinJ//fadI//glmU//modA//recA//ygeA//kbaY//ygiC//artM//hdeA//ttdB//sbcC//bioF//cyoD//fecB//appA//allA//glgC//
PaaX	mhpD//purK//ynjI//cadA//lsrR//csgE//yafP//gdhA//yhjC//phoH//adiA//dsrA//aroG//ybhR//
PdeL	thiP//
PdhR	gabT//paaG//rbsK//cra//rpiB//agaB//purR//ulaC//hybA//fliM//flgJ//hyfB//metC//moaD//dinD//fecB//ompC//aroL//tauD//nuoF//fepG//trpE//lyxK//ilvY//hcaD//rpsO//rbfA//fliR//mdtF//fruA//gapA//mdtF//iscA//ulaA//kbp//uxuR//ydeP//fadH//fdhF//yfiR//mtlD//
PepA	rpiR//adhE//dinG//
PgrR	glpC//pgpC//fpr//melB//glpX//fbaB//phoH//cysK//
PhoB	galT//tcyJ//ulaF//yneM//lsrK//leuC//phr//nuoK//ibaG//murR//casD//murC//ydfH//yebG//gltL//yaiA//nirB//ogt//allE//moaB//fucA//phoE//hcaB//ydcT//pheS//pck//dsdA//entS//aspC//xylG//glpX//acrR//ulaB//gatC//torA//rcnR//serA//phnC//yjeV//phnJ//omrA//ydjM//purH//fepE//waaH//gadF//mqsA//paaX//paaB//cyoE//fruK//gcvP//caiT//fes//dgcN//dhaR//ykgM//xapA//fliC//cyoB//
PhoP	pgaC//yefM//trpB//ybaS//glgC//dtpA//hcaB//glnD//narG//metI//purR//wecC//hisJ//uvrD//dhaM//cysI//betI//fucO//cyoE//yafO//glpT//cysH//fadJ//rutF//psiF//lolA//purM//flgL//lacZ//hisQ//chbF//glmS//rbsA//ybhL//hdeA//argA//pepD//focB//ndh//galP//betB//manX//ppc//envC//fliH//isrC//gatB//sdhC//cvpA//ymiA//garP//fecE//alsC//modB//bolA//tnaC//
PrpR	rybB//dnaN//wzxE//fliJ//ulaG//
PspF	araE//gutQ//argO//agaS//atoB//argH//ydfE//
PurR	hybG//erpA//kdpA//gltL//insK//hycG//chbA//yoaG//aldA//glpX//guaB//gadB//gltD//mazE//glgX//nanM//srlA//alkA//hyfI//lexA//uidA//lgoR//flgK//gudD//ddpC//puuB//polA//mtlD//dkgA//hemL//casA//
PutA	hyfF//gspL//
PuuR	cyoC//tdcG//dinI//yhdW//frdA//patA//fdnI//
QseB	lsrA//yqaE//metN//cho//
RbsR	inaA//trpE//gabT//gcvT//argB//mgtA//betI//gspC//prpE//
RcdA	nikA//dgkA//ynfE//purD//motA//hybE//mcbA//prpB//trpB//
RclR	gcvA//nrdA//cydB//
RcnR	wcaB//ybdN//atoB//
RcsAB	nohA//ppc//rutD//nikE//fdhF//lysR//cdd//pflB//tomB//mhpD//ssuE//idnR//ydeO//evgS//rffC//znuC//
RcsB	paaZ//wrbA//tcyJ//garL//gudD//emrA//ymgC//hipA//luxS//frc//dnaA//melA//yafQ//nrfG//araF//sroC//hycB//yeaD//casE//dctA//acrR//deoC//malI//aceB//cytR//
RcsB-BglJ	gudP//pdeL//leuD//tfaQ//cysJ//relB//feaB//cdd//yhjX//tsgA//ydcV//phnN//glnQ//cysP//appB//nanM//
RelB	folE//prpE//feoC//
RelB-RelE	agaR//fabB//pgaA//
RhaR	ybhR//acrZ//
RhaS	yfbR//yeaD//dmsB//hipB//dnaA//mdtC//
Rob	csgD//sufA//dcuS//fumC//aroH//ybfN//fliO//cyoA//mhpT//nemR//fecE//hisP//narL//appC//rseC//norW//purD//gabT//dapB//slt//yhjC//crp//galM//fepD//fhuD//phnP//
RstA	ttdB//argO//nrdA//mdtF//agaA//mgrR//paaF//hycI//bglG//tadA//
RtcR	ycjY//edd//
RutR	oppD//rutG//glpA//fepA//ccmF//ydcU//asnC//ybiT//fur//fpr//murG//manY//argO//flgD//dmsD//srlD//rutE//
SdiA	gspJ//nagC//flgC//fixX//fabI//
SgrR	ryhB//dacC//pspD//rpoS//rstA//pdeR//lhgO//lamB//phnL//
SlyA	cysJ//
SoxR	lsrK//paaC//yqaE//
SoxS	tnaB//tsr//oppD//hokE//appA//citE//appA//argT//hisJ//ccmE//malP//phnD//casA//appC//rnpB//yeaR//ptsI//guaB//polA//creB//ybbW//bioC//glpD//nrdB//dnaA//appA//agaR//ugpE//wcaB//ygdB//aceF//argO//ydeP//ompF//ulaC//metC//infC//fiu//glnD//napH//
StpA	grxA//efeU_2//efeU_1//aroH//asnC//pgk//yeiB//
SutR	uvrA//bioC//rcnB//aceK//argG//
TdcA	araD//nfsA//ygiZ//creA//nhaA//lrhA//fliR//
TdcR	dinB//modC//torA//flhD//phnN//ynbD//bdm//
TorR	add//araA//katG//pgaA//nuoF//cydD//ybhG//yjbF//hybF//dapB//fliK//nirB//
TreR	fliQ//gcvA//
TrpR	ftsA//rpsO//oxc//rutF//garL//rpoH//paaC//tyrP//wecE//pgi//fadB//yeiB//
TyrR	csrB//yjiY//degP//creA//tomB//pgaD//yjbG//melA//gabT//hycB//yciX//hyaD//
UhpA	entS//
UidR	metC//glcF//ccmG//iscS//
UlaR	polA//qseB//ftsZ//hyaB//flhD//cusF//rffG//
UvrY	rtcA//rcsA//dpiA//nirB//bdm//
UxuR	paaJ//baeR//molR_1//rybB//zraR//hcaB//yeiL//hyfD//thiQ//
XapR	uxuA//glpD//
XylR	astC//flgL//znuC//rbsR//artP//ydfD//metB//
YdeO	yiaJ//cysG//cynS//yccJ//cysE//dmsB//sodA//ydiV//umpH//acrD//ompN//agaD//osmB//hybE//caiE//speB//gadC//deoC//glpB//caiB//nagA//
YedW	prpC//lacZ//cysG//fau//ugpB//aspC//aroP//flhD//mngR//lolA//fabA//fucU//
YefM	fliN//exbB//
YefM-YoeB	casE//hokD//
YehT	lpxD//
YeiL	ppiA//
YiaJ	rnlB//phnI//nikD//lysP//bdcA//rhaT//glnP//nrfA//dtpA//iraM//
YjjQ	purF//slp//napC//oppA//mhpC//garK//yneM//uspE//paaY//ydfE//
YpdB	hokD//
YqhC	nuoH//mraY//
YqjI	ydfE//efeU_2//
ZntR	kdpA//
ZraR	ydeP//prpB//tnaA//
Zur	nagA//phnE_2//dsdX//yoaG//fpr//mepH//
