#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sdhA//fadJ//
NsrR	torC//folE//phnM//poxB//ubiC//iscR//citC//cysK//ccmD//artI//dkgB//leuL//sufE//znuB//fliE//recB//arsB//fadM//fadH//sulA//entE//paaG//fucO//moeB//metJ//phnE_1//cysU//fliE//fadM//ynbC//purB//cyoE//bluF//fldB//hycF//cynS//phoA//agaB//phnL//efeU_1//lsrG//csrC//idnO//gltB//dtpA//allS//fliD//rpmI//zinT//yhcH//ymiA//flgB//glxK//caiF//agaB//tolC//yciG//nemR//tyrP//fiu//btuB//galR//creD//isrC//ccmD//sgbU//araA//rplT//ydfE//iclR//fepG//metQ//yeaE//hyfG//fldB//fimE//fldA//flgF//ydeP//galT//ybiT//aroM//lgoR//
NtrC	cueO//dtpA//yccT//tynA//tsgA//mscM//dhaR//pqiB//hisP//ydfX//fhuD//yfdE//omrB//murR//fepC//fliL//lsrC//iclR//pepA//ynbA//yqjI//moaB//phnF//tolC//marR//astE//caiT//glgX//evgS//ybjC//cytR//crr//glk//yiaN//mngB//fecD//ompF//higA//ppiD//dmsC//pdeL//gadW//mngA//fhlA//lacZ//flgM//trpA//glcG//ebgC//
OmpR	ymjC//allB//murC//soxS//napF//astA//cynR//artJ//fecC//lsrK//edd//bioC//umpH//araC//fhlA//ahpC//nadB//oxc//ppdC//dicB//uxuR//
OxyR	leuC//phoB//asnC//glpF//flgD//argE//skp//glnH//cra//gatC//gadB//yhdZ//nuoE//hyaE//idnD//ygbK//fes//hycC//gatY//pheM//allD//lpxC//ymiA//ytfE//ddpC//astA//tadA//mdtA//gadY//casB//phnL//argR//tolC//galT//
PaaX	alkB//leuL//gltD//pgaB//ompC//malK//ybhR//yfdE//ybhF//chbR//mdtD//narI//appC//dps//
PdeL	hycH//
PdhR	marA//metC//moaD//mhpA//uidA//cynX//csgG//lacY//norV//btuB//ugpA//bglF//dps//hisM//hyaE//csgG//ssuC//thiQ//iraP//tnaC//yibQ//ppiD//frdB//gadC//hycA//uxaB//hipA//kbaY//cysU//flgI//ugpQ//pgaB//yeiL//paaZ//relB//trpA//mgtA//rutF//ldtD//rpoE//rffG//
PepA	ygbA//hslJ//adiC//
PgrR	csgC//dgkA//umuD//glnP//tfaQ//casA//gpmM//nikE//
PhoB	tdcB//sgrT//hyaA//uidC//gltD//qseC//bioB//dgcZ//aceE//glgP//fhuA//napD//dkgA//murR//torR//uidR//garK//rstA//mglB//mglA//rutE//efeU_1//hflD//nanC//znuB//fbaB//fabZ//nuoB//sbmC//fliG//acnB//yjiY//ybhF//hdeB//yqaE//uidR//insK//hlyE//trpC//pstA//nuoI//feaR//hdeA//csgC//yoaC//iscU//bdcA//artQ//soxR//glnG//purM//ynfE//hisJ//gltL//thrS//pheS//relE//hcr//cpxQ//dmsA//
PhoP	accC//gabT//rprA//ptsG//cynS//phnE_1//cspE//ppdC//cdd//ynjI//rplT//pspB//fixB//dinI//arsR//bioF//ompC//nuoK//relB//gudP//phnN//ycjF//sfsB//gltB//cysW//hyfJ//malP//moaB//yccA//dcuR//astB//sufD//isrC//chbA//guaB//deoC//artQ//yoaG//tyrA//cysP//rybA//feoB//pspB//ydeP//ulaF//sufE//fecD//rpiB//ssuE//nirB//rhaS//exuT//glnH//sucB//cynS//kbaZ//
PrpR	safA//symE//ompW//wzc//fiu//
PspF	phoB//acnA//bhsA//ydiU//glpC//gnd//mtlR//
PurR	lsrG//rbsC//ybfE//malP//fepG//aspC//ugpB//tpiA//nadB//yhjA//gatZ//gntK//exbB//narJ//amn//hlyE//sbmC//dinD//recB//ydcT//fucP//purH//treB//ugpB//ftsI//arsR//purL//tsr//intQ//yciE//ykgO//
PutA	yiaM//arsB//
PuuR	rnlA//yaiA//hdeA//ydfD//ybjC//sucB//epd//
QseB	cysP//yhjX//sgrS//hybA//
RbsR	fadA//flgK//tehB//dsdC//tcyP//fliC//glnD//exbB//mgrB//
RcdA	ydjM//rplU//ada//ebgA//mdtE//yeaG//fbaB//glcF//dgcN//
RclR	zraS//gcvA//aceF//
RcnR	cdaR//lyxK//ydeI//
RcsAB	ttdT//alsC//cynX//dcuS//ptsI//narG//glpF//tcyJ//nfsB//norW//hyaF//zinT//nikA//stpA//malP//mgrB//
RcsB	grxA//ydhU//yqjH//nanA//ydhY//hcaC//omrB//ymgA//phoH//argO//yhdW//envC//casD//ygiB//cysP//araG//glpA//dgcZ//rhaD//yeiB//spy//allE//ada//hypC//pgm//
RcsB-BglJ	yhdY//paaG//ydfN//hycC//torD//hycB//nupC//rdoA//ymjC//flgC//gltF//lsrF//purR//malI//fumB//cysD//
RelB	aroG//uxaA//paaH//
RelB-RelE	tdcF//creA//dmsC//
RhaR	galR//dsrA//
RhaS	hyfA//mntH//hyfB//ddpC//ymjD//phoE//
Rob	alsC//pitB//mazF//cusC//phoU//ccmG//tauC//ugpA//puuR//dsbA//ydiU//tyrR//hyfE//cdaR//efeU_2//aroL//cirA//nadB//gntP//znuB//rnlA//xylB//puuB//hyfR//fadE//cirA//
RstA	ppc//oppB//nirB//hha//sbmA//lysA//yfiB//ppdA//nikB//purN//
RtcR	phnO//fecE//
RutR	pheM//purC//moaB//gspO//znuC//osmY//wrbA//gspG//pflB//hlyE//wza//tdcC//sfsB//potH//yafN//galS//casB//
SdiA	dsbC//sufE//ccmA//nikE//casD//
SgrR	cpxQ//codB//pstS//hydN//infB//ibaG//napD//araA//glmU//
SlyA	rnlB//
SoxR	uvrY//polB//fepA//
SoxS	mngB//ydhT//eno//gatZ//ompF//rnlA//bdcA//prpC//paaZ//caiA//srlB//astC//pspF//pdhR//sulA//chiP//ychF//fliT//betT//fabG//exbD//ccmG//zinT//ymjC//aceA//fecB//flgH//ssuB//modA//lpxC//rseC//mdtE//ybbW//setA//asnA//ssuC//ppdA//yjbF//ddlB//guaB//
StpA	yhdY//flgJ//yfiR//pgk//fucP//znuC//efeU_2//
SutR	nac//kdpC//flgB//cpxA//cyoB//
TdcA	nrfC//ynbC//rnlB//ndh//rnpB//pstB//sufA//
TdcR	aroM//ssuA//codA//rybB//dhaK//wcaA//nrdH//
TorR	lsrK//uof//chbR//ykgO//slp//cysU//tdcE//pck//moaB//moeB//fhuD//ybaT//
TreR	gpmA//phoR//
TrpR	metB//ymgC//uspE//gadW//accA//ynfH//paaI//prpC//cysK//glk//isrC//malX//
TyrR	aspA//pstA//mntH//yncE//csgA//malT//uxuR//acrA//mdtF//iscU//leuB//motA//
UhpA	galR//
UidR	agaV//uxaB//phnJ//citF//
UlaR	gadF//garD//gyrA//tisB//exuR//gadC//dps//
UvrY	fliK//sdhC//yedX//yhbT//fabA//
UxuR	citC//yccJ//rhaR//lyxK//mdtA//allS//murQ//manX//casE//
XapR	atoB//recB//
XylR	glxR//aceA//degP//ydeI//dps//cydB//nrdB//
YdeO	phnO//rcnB//hslJ//micF//tdcD//murG//gatA//ilvC//ddpX//exbB//yegR//ydeN//alsC//hyaE//dctA//deoD//slt//xapA//ybdN//iscA//puuE//
YedW	citD//ycjG//caiD//yhbE//trpB//fhuE//slp//uidR//sodA//ftsI//ssuD//nagB//
YefM	zraP//nrfB//
YefM-YoeB	lldP//rcnA//
YehT	caiF//
YeiL	ascF//
YiaJ	rcnB//aceE//deoD//gnd//lacA//deoD//ftsZ//argB//emrA//purE//
YjjQ	ulaC//sucA//sdhB//katE//yeaH//fliK//lexA//mngR//wzxE//galP//
YpdB	hdeA//
YqhC	glnB//csgA//
YqjI	waaY//aslB//
ZntR	hisM//
ZraR	malE//tsx//molR_1//
Zur	aroM//hybB//ybaT//cysE//nrdH//hipB//
