#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ssrS//ydeI//
LexA	nohA//pgaC//nrdA//yecT//fliA//ymjC//baeR//phnO//glgB//crp//tdcA//purE//tauC//flhC//uspE//flgM//ompN//gatY//fdnG//lhgO//fimB//ymjD//aslB//ynfH//yeaE//fixB//ecnB//yebG//dicC//artJ//tolC//fecE//gcvB//gspE//yecT//ppdC//artQ//hcaC//bacA//phoB//ddpF//gapA//cysD//mqsR//ybhL//alsE//inaA//bhsA//grcA//cusA//nrfF//sufB//pyrC//pncB//caiT//gltB//ydhW//nikB//erpA//
LldR	fucU//hcp//acnA//
LrhA	feaR//malG//oppA//cirA//
LsrR	yibQ//glpF//fabD//fliH//argP//nikR//ariR//pspE//sgrR//
LysR	purA//araA//
MalI	chbC//hybG//yciE//
MalT	lsrG//tyrB//fimE//trpE//rbsA//caiB//csgD//feoB//rutE//napA//
MarA	nagB//ompF//ymjD//nuoB//gadC//glgB//ycdZ//yhiM//iscR//ptsH//tdcC//ccmE//allC//cpxQ//yiaK//tcyP//agaD//fliG//ttdA//prpC//mhpE//sgbU//ymgC//lyxK//mazE//gcvH//fhuD//safA//torA//hypE//cysP//paaG//edd//gadB//gloA//phoH//casA//exuT//
MarR	eno//ddpC//yaiW//
MatA	fliQ//yfdV//sbcC//cvpA//phoU//fliZ//flhA//galT//
MazE	ldtB//iscA//agaW//
MazE-MazF	argD//fimB//yjhB//
McbR	fadH//norW//yhiD//crr//
MelR	ccmG//phnO//mngR//
MetJ	flgN//polA//feaR//rpoS//sroA//purH//aroF//wecC//yiaK//uhpT//phoH//fixX//feoC//chbF//agaR//
MetR	galT//yhjX//yfiR//creD//rutE//
MhpR	ybaS//narL//metN//ytfE//pnuC//ulaB//
Mlc	nmpC//slp//ydhU//cas2//gatA//hyfB//moaB//csiD//csgD//rnpB//
MlrA	hybE//yqhD//nusA//yciG//puuP//lexA//glnK//puuR//flgM//uspD//
MngR	seqA//nanM//gabD//
MntR	ygiA//gpmM//deoC//flgC//alsA//
ModE	ubiX//glgB//nadB//ascF//cynS//nuoL//argH//torA//dhaL//aroF//dpiB//nuoA//flgM//ydiU//lysO//nupG//ydfH//yciW//hycA//yoaC//udp//hipB//phoA//nfo//yiiS//glyA//sodB//pgaD//ampC//murE//rseA//caiF//yegZ//napC//lsrK//bdcA//ilvY//yjjQ//adiC//fliJ//arsC//ascB//fes//artP//wzxE//hyfR//
MprA	recN//ppc//napD//glxR//bluF//exuR//
MqsA	kdpA//nimR//yjbF//metI//ftsL//mazG//lacY//tfaQ//
MraZ	mngR//flgH//fimB//spy//pstB//exuT//astA//polB//asnA//ssuA//rpoE//hcaF//psiE//leuB//malG//borD//mtlD//
MtlR	pgm//dhaM//purH//
MurR	metA//dinB//gloA//
Nac	nac//glyA//ykgO//dcuB//araA//bdm//purD//modA//rbsB//efeU_2//marA//recA//dsbA//nlpA//gcvT//tyrA//polB//gabT//trpB//tsgA//gudP//
NadR	dmsD//gatZ//idnT//ycjF//
NagC	ebgC//cirA//hisJ//gcvA//allS//insK//ssuD//recF//hflD//ydcU//ulaG//dacC//prs//cynR//cas1//dinB//pqiB//fadR//pstS//ebgA//dsbC//omrB//rffG//mglB//pflB//trxC//pgaA//mhpF//gadB//nuoC//efeU_2//rffM//fumC//tdcG//fhuD//ydhU//argA//
NanR	umuC//hybB//ftsK//murC//paaH//phnE_1//allA//hypA//gnd//exbD//cydB//
NarL	galT//lacZ//frdB//mcbA//gudD//gntP//chbR//creC//metI//acrZ//yibQ//dacC//narJ//idnD//yiiS//mhpB//xylF//purC//yccT//feoC//yegR//glgB//cysB//cysU//araJ//gntT//umuD//chbB//paaD//ibaG//phoA//ygiC//hyfF//pgaA//tyrP//entE//lacZ//bglG//ldtC//dinD//recN//psd//umuC//fliZ//ptsG//amn//yfdE//citF//rybB//yjjZ//sbmA//ssuA//aceA//adiA//murG//agaB//ftsA//bioD//glgB//lpd//fadA//allE//cyoA//sgrS//marB//metE//tyrR//wzyE//gcvH//ybjN//umuD//asr//rcnB//motA//metK//infB//garK//hokD//flu//fdnI//sutR//paaH//oxc//metC//caiF//hipA//ccmE//nfsB//patD//lsrC//fadR//cytR//lsrR//insK//trpR//uspE//agaW//argH//fliG//nuoI//rbfA//rutD//ybaT//araB//nuoE//nuoI//creC//mdtB//glnD//hypA//fucI//purK//tsx//yhdZ//yebE//oppA//sgrS//gspG//rclA//fhuE//ascB//ppc//omrB//
NarP	nrfD//paaD//yiaK//lldR//dsbG//yhjX//xylR//rutR//gadE//leuD//araJ//rimP//dsdX//lpxD//casC//napD//sufB//yegH//ftsA//nagC//glcB//sdhD//ascF//nanC//dsbG//thrS//yccT//ydfW//torD//recN//ariR//prpE//hycI//yhdW//spy//malS//wrbA//nupG//paaF//mqsR//alaC//bioA//nrfG//paaF//zinT//phr//aroP//ulaC//chbR//ybfN//
NemR	mprA//feaR//ynfF//
NhaR	yhiM//ftsK//rtcB//tdcB//rutF//cdaR//gntX//
NikR	nac//malG//dicB//flgK//potI//yjeV//
NimR	yhcH//rhaA//
NorR	nemR//yeaG//nupC//
NrdR	idnT//glpA//chbA//cytR//gcvT//nikE//entB//fadB//fabD//
NsrR	kbp//bioC//ppdA//rutF//ptsH//hybB//aroH//dpiB//rpoS//rseC//dnaA//nikB//fhuC//gabT//gudX//kdpC//zntA//ydhT//epd//amtB//ydiV//hycG//purH//hyfJ//lacY//glcA//rpoH//ynbA//fadI//chbG//zwf//pgaB//patA//ruvA//narK//garP//pncB//ugpA//yeaD//paaJ//mlrA//yjeV//rpsU//mtr//yiaJ//manZ//yjhC//mazF//tcyJ//soxR//lpd//tnaC//ugpB//lsrR//gudD//paaB//yqjI//nrfC//chbC//yhdW//ecpR//dnaG//moaC//ompN//fucU//caiT//gfcA//gadA//entD//nikR//mlc//phnK//mhpC//exbD//murR//lysO//moeB//phnI//glnA//yhbT//ssuE//uspD//phnF//
NtrC	yfdE//rimP//mscM//dsbC//nikE//ugpA//lgoR//galE//moeB//uxaA//hcaD//treR//idnO//baeS//hyaF//ycjY//cysG//hyfG//ycjG//srlR//ptrA//flgE//bglB//dcuS//mqsA//hycG//uidC//citE//glpB//cra//deoB//fliI//ugpE//fucK//glgA//argO//iscU//malX//wzzE//hyfH//hyfE//tolC//pdeR//nmpC//fruK//fixB//ybjC//srlE//folE//
OmpR	uhpT//yafO//lpxA//cadC//dinB//dctR//marB//lpxC//insK//gltI//hisQ//katG//sucA//ihfA//skp//prpE//nuoH//ybjC//iscR//ptsI//rybA//
OxyR	nrfC//dicC//aroL//yrbL//alkA//yegH//ddpB//ptrA//yqjA//evgA//murC//csgC//yjbG//mhpA//fbaA//tsr//fruB//ydcV//paaG//yqjA//atoD//ddpA//flu//rfe//phnP//artJ//argO//gatZ//nohA//ydhV//nrdB//wrbA//flgN//ftsK//
PaaX	ycdZ//yfdX//acrZ//rtcB//allS//trxC//potF//ftsW//puuD//rhaA//acrD//modB//fliF//leuL//
PdeL	nuoA//
PdhR	garR//iscS//emrB//yccT//pepA//garR//acrR//tyrP//pfkA//ompF//araD//oppB//recX//yciX//yeaG//mntP//xapA//yhbT//yqjI//yagK//metL//argI//pgaB//slt//phnE_2//moaB//pepD//bioF//gntU//hyfB//osmY//hcp//ftnB//rsmH//fliJ//uspA//dcuA//ftsA//ftsW//ygiZ//aroG//
PepA	tktB//thiQ//prpB//
PgrR	torA//rhaA//alaS//lexA//rffT//hybE//metI//agaS//
PhoB	casE//fliM//alaS//dpiB//hyfI//metK//hha//icd//ycjX//ymgA//pitB//yjjQ//aroL//grxD//nusA//bglB//chiP//hmp//lacY//hypB//eda//nrdE//poxB//pepA//nrdF//iscA//ldtB//rutA//sroC//cysE//ymiA//appA//tadA//dinI//zntA//ybhG//gabP//dinJ//ydbD//gudD//paaC//ddpD//yrbL//lrhA//argI//allB//flgM//ymgA//yjbE//dsbG//hokD//alaC//yhbE//ompT//phoQ//fpr//sufB//mtr//moeB//hybD//
PhoP	mgtA//ulaD//nuoN//nupG//narG//rtcA//ribA//omrA//lldR//caiC//ygiB//feoA//glcG//fabG//sroA//ftsZ//fecR//pdeH//dsdC//sdhA//glxK//dinD//nimT//cpxR//gltJ//nuoK//rutC//lacA//sufD//ymiA//ygiC//araJ//ptsH//mngB//flgI//umpH//yoeB//mgtA//appC//caiT//sgrT//yedX//pspE//ynfG//allD//fabB//accD//dapB//fixX//casD//napD//amn//ugpC//phnD//phnP//adhE//
PrpR	kbp//wcaB//gabT//yfiB//cysC//
PspF	recF//fiu//lrhA//sdhA//iscS//ydfD//yhbS//
PurR	fucU//psd//flgA//nuoA//torA//isrC//nikC//napB//nhaR//cydA//fhuF//nfsA//srlB//yjiY//insK//ynfK//mhpT//putP//cydA//artP//potF//metJ//ycjX//ygiB//gspC//fadD//fliN//chbF//rbsB//glgX//wecE//
PutA	zraR//fecD//
PuuR	phnL//serA//ftnA//phnG//chbF//yciX//spy//
QseB	bglJ//relA//fucU//murP//
RbsR	csgF//glnL//hokD//cas2//nrfB//metF//mtlR//cadB//baeS//
RcdA	sutR//ugpB//leuL//rtcA//ynjI//puuP//intQ//uspE//mtr//
RclR	pspC//dinI//mntP//
RcnR	nrfC//fixC//mgrR//
RcsAB	yjhC//chiP//purD//xylG//rutF//glcB//gltI//pgaD//pstA//gfcA//betI//nuoE//murG//yafQ//sgrT//aceE//
RcsB	ebgC//hycG//osmB//metF//entF//manX//allD//nemR//rclC//sufS//dgcC//ptrA//chbR//flgN//cusS//ulaD//lpd//sucD//leuO//recB//rtcB//glpB//leuA//pgaB//yqjA//
RcsB-BglJ	wza//cdaR//citD//flgI//ddpB//nrdG//metH//aceB//citD//phnG//murE//ruvB//feoA//cysC//artQ//amtB//
RelB	ydhY//melB//ybbY//
RelB-RelE	argF//glmU//mnmG//
RhaR	fliE//rutD//
RhaS	cbl//ung//nuoI//yqhD//ymgA//qseC//
Rob	ybjN//sodB//fadJ//higB//metB//tehA//aroF//ybdZ//treR//dgcZ//fliS//rutA//gcvH//agaB//fumB//moeA//nlpA//pspC//ecpR//intQ//araE//ycjX//ddlB//gltD//metK//ibaG//
RstA	hyaE//emrA//yiaJ//dctA//paaH//flgB//gatD//citD//hemH//gutQ//
RtcR	lsrR//wcaA//
RutR	tadA//moeB//agaR//hycD//cysI//hybF//dsdC//gdhA//gcvB//higA//ymgA//alsB//ddpB//mepH//adhE//gspH//tdcA//
SdiA	glcC//gltI//sgbH//araF//lysP//
SgrR	ppdB//ydcT//oppD//hyfA//mpaA//sra//ybfN//ccmC//hypC//
SlyA	dcuS//
SoxR	nagC//cpxP//gltK//
SoxS	fliR//ascF//lsrR//tnaB//gcl//ydfN//fliK//yiaJ//nirB//ftsQ//ygiA//nuoM//cyoC//yagK//hipB//mioC//paaZ//sucB//garD//umuD//mnmG//ydcT//accA//hyaC//dhaK//cysK//fliQ//metL//alkA//baeS//gdhA//treC//yccJ//mtlR//caiT//eno//infC//ybaS//norR//malP//
StpA	obgE//ccmH//purK//rprA//accB//gspD//umpH//
SutR	ftnA//nfsB//glnG//nirC//fadH//
TdcA	bioC//citX//murD//waaZ//soxR//appY//wza//
TdcR	yagK//hyaC//pgaC//glgC//fabH//glcF//prpC//
TorR	mtlD//uidR//paaZ//ykiA//fdnI//yhhY//waaH//yqjA//flgM//rpiR//hyfD//cbl//
TreR	hybG//ynfK//
TrpR	acrZ//metJ//artI//lldP//flu//moaB//murD//rutC//ydhW//nrdB//agaB//yhbS//
TyrR	gspK//moaE//glgA//pfkA//tam//malZ//csgB//fucA//uvrC//nanM//zntA//glnD//
UhpA	yqhG//
UidR	ydcT//patA//flgB//purR//
UlaR	ydbD//lysO//alkA//leuC//ygiZ//ppdA//ydbD//
UvrY	tehB//pdeL//gabP//rbsC//aceE//
UxuR	nuoE//ruvB//atoD//gabD//glnH//lysO//sdhC//cra//paaH//
XapR	copA//zinT//
XylR	fliM//pgm//csgC//ssuC//ppc//fliO//nuoF//
YdeO	cusC//yfdV//ptsI//fliJ//metH//ssuE//ppiA//hlyE//nhaA//ssb//pstB//hyaB//mhpT//lolA//entF//xapA//lgoR//sgbH//galK//ssuB//alaS//
YedW	mtlD//adiA//nuoI//sucA//tdcF//rimK//rcnB//yoaG//ftnB//nadB//mpaA//ppdC//
YefM	nohA//wecC//
YefM-YoeB	mhpT//rffH//
YehT	waaH//
YeiL	glgX//
YiaJ	argC//gabT//dsbA//mhpB//sgrR//ybhS//hyaE//dnaN//csgG//bdm//
YjjQ	cspD//ynbB//appB//hyfI//ydfN//manZ//wzzE//ynfF//cpxQ//fbaA//
YpdB	uidR//
YqhC	ynbD//araE//
YqjI	cynX//argO//
ZntR	ftnA//
ZraR	dsdX//iscU//rpmA//
Zur	sdhA//hycH//sdhB//leuA//nmpC//wecE//
