#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sgrS//soxS//
EvgA	citD//phnI//dinF//yiaM//glcB//purF//csgB//yccA//malI//mcbA//metH//hyaA//garP//mscM//artJ//nanC//araE//rarA//prpE//
ExuR	malQ//hyi//ugpQ//sucC//lysA//fpr//alsC//asr//nuoA//
FabR	ascB//pspD//
FadR	glnK//chbC//purF//alsB//cyoB//lgoR//yhjA//purL//recD//casB//cusS//lldP//xapA//fliZ//ptsG//rsmH//flgM//aceK//gspJ//thrS//malF//uidR//gcvT//
FeaR	borD//xylR//
FhlA	slyB//cspE//yjhB//polB//ymiA//tnaC//yhjA//rhaS//malP//caiB//hyaC//rpsU//rstB//entF//yidQ//glcB//epd//ttdA//citD//nuoC//ppc//fadL//fepC//rffM//nuoB//nfsB//nuoK//creC//sulA//mdtA//
FlhDC	yhhY//lpd//metC//tktB//crp//dicC//insK//pepD//pstA//rutD//fabG//rob//glgX//fabB//ruvB//ftsQ//gatC//ompN//dnaN//ygdB//fldA//phnF//rybB//ybdZ//sfsB//fepG//wecB//cynR//ccmE//fliE//gntP//nuoF//argO//tehB//patD//cdd//gltI//phnD//phnC//dgcN//hcaF//artJ//dsdX//yiaM//copA//malY//glnH//aspA//napH//deoD//rcnA//amtB//pspA//mhpF//uvrB//yfdV//araA//srlR//rutB//ahpF//fruK//ulaB//treC//mglC//gltJ//rffC//gltD//lexA//purR//hipB//fecC//fabZ//ptrA//kbaY//pstC//puuB//asnA//putA//fadH//glpT//evgS//marB//
FliZ	argC//efeU_1//hipB//ybbW//lhgO//artP//fiu//ihfA//sodA//nanE//folA//xapA//ydbK//flgK//erpA//entB//murC//ariR//fepA//glnD//paaG//
FucR	flgL//ribA//rpmI//dnaN//ddpB//rpoH//pykF//
Fur	purE//aceA//pspC//nuoA//yjjQ//ydbD//narI//mazF//ydjM//bglB//argG//mcbA//aroP//rpoE//fhuF//nuoC//purL//csgF//fliL//nrdG//cheW//dmsB//umpH//yeiL//nrfB//torD//murE//potF//pgk//alaC//fucK//focB//trpD//betA//cusB//rpmA//gcvH//lsrB//rstB//thrS//yebE//nagA//iscU//nikE//yhcH//sufC//nupC//csgA//citG//srlB//hyaE//infC//pstA//potG//crp//potF//gntX//exbB//nuoN//yqjA//atoD//marA//gcvB//mraY//citC//xylA//cdaR//bioB//alsA//rpiR//xylB//caiE//rimP//fecB//rbfA//fabH//lsrD//fldB//fhuD//hypE//sufD//gspJ//ygeA//ybhF//flgK//yhdX//bdcA//ybjC//nrdG//flgK//sgbE//creA//betA//dcuA//ampC//pgi//pnuC//nuoF//phnD//hyaD//adhE//hcaR//bdm//ybaS//pitB//yidQ//lon//ydhW//metJ//katE//entA//yhbT//argG//nrdH//rpmA//malY//cpxQ//nusA//xylG//ygbA//rcnB//phoA//fixB//ampC//flhD//gspO//zwf//bioA//acnB//nrdE//
GadE	pdeL//dkgB//ugpE//acnB//sbmA//nupC//znuC//glyA//nuoJ//ilvY//ddpC//phnI//fliH//paaX//tyrR//mhpB//ybhF//paaX//soxS//zwf//sroA//ynbC//acnA//yjjQ//ssb//mglB//ycjF//nuoH//nadA//
GadE-RcsB	caiT//mdh//mhpF//allB//bioC//nuoK//dmsA//mhpT//lsrC//
GadW	purF//aroG//yciF//dicC//ompW//cysW//mpaA//yccJ//fadB//fecC//lldP//gltJ//hcaF//fliC//tonB//
GadX	ahpC//cysP//idnR//crr//nfuA//uxuR//crp//argA//cheW//ygaC//flgJ//yhiM//galE//appX//atoD//sgrT//ftsA//ydeI//entF//bglJ//cydB//gadY//agaD//idnO//mntH//entC//dpiA//ttdA//umuD//
GalR	ymjD//treB//luxS//manY//hisM//fdnG//napC//fadJ//uxuA//hlyE//
GalS	puuA//pyrC//sdhA//dgcC//ydhT//melR//wecE//ybaS//phnI//casB//
GatR	gpmM//ldtC//aroM//cadC//csgE//nanC//
GcvA	sufC//ynbC//malZ//wzb//ygeA//
GlcC	oppB//htpG//mcbA//nanS//dinD//efeU_2//nadA//
GlpR	entS//ihfA//glnB//rutB//lolA//rpoD//flgD//fadD//cydB//
GlrR	lsrD//mcbA//lpxD//waaH//cas1//
GntR	hokD//hcp//ykgM//putP//purR//uvrY//ebgC//citC//pspG//hdeA//leuO//bglG//
GutM	mzrA//idnO//norW//aceK//flu//yefM//accC//
GutR	fhlA//prpE//nrfG//tynA//rstB//puuC//focA//
HU	purN//cspE//ptsG//rpsU//pheS//entH//ygeH//moaE//mhpB//
HcaR	polA//wzzE//patD//ybhS//recN//ybdN//
HdfR	ttdR//pdeR//asnC//hyfH//efeU_1//
HigA	hybF//exbD//
HigB-HigA	ymjD//grcA//
HipAB	ycjX//appX//mscM//ugpE//argC//
HipB	gatY//truB//hyaF//gntU//entH//aceA//
HyfR	pyrC//rhaT//ydeN//eno//psd//sbmC//mzrA//narL//cynR//cysP//cysE//flhE//
HypT	lldR//ydeO//fbaB//gspJ//chbF//srlB//xylG//yqjH//phoH//prs//dpiA//yibQ//ulaB//
IclR	ftnA//rutB//fixB//ccmF//
IdnR	rpoS//napC//hyfF//accA//ftsI//flgN//cirA//
IlvY	atoD//cirA//
IscR	dmsC//oppF//dapD//argO//xylB//malM//agaR//purR//lsrG//ydbD//fbaA//cvpA//araD//fabB//baeS//agaW//cynR//pykF//lrp//fadL//modA//nanA//glnA//atoB//nadB//fadA//sufB//glk//asr//agaV//paaD//napB//
KdgR	srlA//tcyP//
KdpE	araA//hemL//hyfR//paaH//
LacI	glnL//ydbK//uspA//
LeuO	malS//manX//aspA//hyfG//purB//metC//accB//hisM//rsmH//ftsK//yhjA//gatY//modA//lsrC//argI//rbsA//mscM//omrB//lpxA//hcaF//
LexA	yqhD//dapB//dtpA//wrbA//tdcC//focA//astC//nadB//trpR//yccA//ygbA//hmp//hcr//wrbA//ecnB//acrB//ygeA//torC//mngB//casB//fliJ//moaA//lpxC//garL//pdeR//gyrA//narI//nirB//gfcA//murF//emrB//ahpC//dnaN//ftsA//hdeD//sroC//bolA//glpK//hipA//rutA//fucA//ybhG//fucP//yebE//trpR//polA//rbsD//ariR//lhgO//lysR//nrfA//mhpD//ptsH//ybjC//ydbD//lldR//cdaR//ygbA//hcaE//
LldR	ftsK//gspC//paaF//
LrhA	rffG//astD//murC//ilvC//
LsrR	fliJ//ybhG//katG//purL//fur//yjiY//galR//recD//hcaB//
LysR	nagB//sucB//
MalI	caiE//ribA//entS//
MalT	ybhG//rutB//torD//hdeD//gcvT//hisQ//chbR//envC//fhuE//fadH//
MarA	hcaE//idnR//nhaR//ssrS//metF//fbaA//focA//ppdB//gspO//bglB//agaI//aroM//lsrK//nanA//csgA//accC//ugpE//udp//ascF//gspG//flgI//argA//cytR//gspO//nrdH//ygaC//yecT//bglG//srlB//cysH//ariR//moaD//ftnA//leuD//bglF//pfkA//ompF//gyrA//
MarR	tfaQ//ybfE//phoA//
MatA	gltI//ssuB//purR//lacZ//ebgA//alsA//metF//gspG//
MazE	zinT//mnmG//mdtE//
MazE-MazF	mscM//sucC//mraZ//
McbR	hokE//ugpA//csgB//oppA//
MelR	arsC//artI//metR//
MetJ	paaD//focA//potI//sbcD//fixA//hcaE//hypA//fruB//bglG//safA//artP//eno//fabA//seqA//ydhY//
MetR	aceK//uvrC//zinT//tyrR//nhaR//
MhpR	asnC//nrfA//ydfX//motB//cydC//agaW//
Mlc	rclB//relE//cdaR//focB//insK//ybhR//argR//nanE//ydfN//nuoB//
MlrA	gatD//insD//bolA//manX//sgrR//nrfC//pyrC//lpxA//cspI//fldB//
MngR	fliS//uidA//prpE//
MntR	rstA//asnA//grxD//tomB//mraZ//
ModE	mtr//purF//cysP//cpxQ//ybhF//murG//yiiS//aceE//qseB//kdpC//rpsO//atoB//potG//rutB//phoP//fecE//flhE//caiT//lysO//cynR//cecR//soxR//ybdZ//phoR//slyB//phnF//ydhT//pgk//yhiD//hcaC//argE//flgC//trpE//napC//ulaB//metH//ydfH//tynA//pncB//rnlA//ompF//fliT//fliS//hyaE//napC//phoE//
MprA	wzzE//lysR//fliL//nuoN//sufS//osmY//
MqsA	gutQ//rcnR//ascB//evgS//pncB//nrdH//adiC//argC//
MraZ	ompW//sucD//argG//thiQ//agaW//allD//leuL//hyaC//sodA//sroA//gatY//hybD//relA//fucP//nfo//trpD//kbaZ//
MtlR	lysO//tyrA//lldD//
MurR	artQ//gudX//fes//
Nac	cusS//ibaG//sufA//inaA//napF//ftnA//fucA//prpE//pflB//gadY//nohA//exbD//fabH//accB//flgJ//dnaN//ssuD//cysJ//yoaG//sgrS//znuB//
NadR	ariR//micF//moaC//hisP//
NagC	ybjG//hyfH//mdh//cysA//nfsA//araJ//cspD//waaH//dinD//glxK//allE//phoE//pstS//lldR//asr//acrD//recN//nagA//argG//tsx//dctR//asnA//dinG//hyfA//ptrA//osmC//rpsO//fecC//ygiC//rffM//glyA//feoA//pqiA//mzrA//emrY//argT//ssuB//
NanR	glpX//rpmI//mntS//degP//setA//rprA//paaE//ydfW//nrfA//rpoS//rtcB//
NarL	ascF//folA//gabT//ascF//cynT//glcE//dcuB//phnH//uidR//pqiB//yhdW//fepD//lldP//caiA//nohA//melB//uxaB//dapD//metK//dctA//rarA//citD//argH//bacA//flgJ//glpF//nadB//rbsB//sufA//ung//gntK//fhuD//hisM//fau//dsdA//patD//tyrP//dnaG//fliP//fliD//aceE//agaC//tehA//lysA//araG//hemL//rcnR//rcnB//dnaA//ygiZ//malS//hyfR//glnD//yibQ//nrfE//ruvA//recF//phoR//flgN//chbF//mdtC//gyrA//nlpA//ccmB//narL//nagA//leuL//ynbD//fadR//araH//dnaA//glpQ//serA//phoP//marR//cysE//ybbW//gloA//pstS//copA//glxK//ssuE//phnD//gcvA//appA//copA//gadB//tdcF//aroF//allE//araB//gloA//ubiA//omrB//idnR//fadD//deoC//rnpB//hemH//nagB//ssuC//malI//rseB//appC//malY//xapA//sbcD//ibaG//hyaA//atoD//sgbE//dhaK//agaW//lacA//bacA//kdpF//xylB//lon//speB//mntP//caiE//ycgZ//melB//
NarP	ydbK//araA//phnC//ydeI//phoU//garK//fliC//cysM//ttdA//xapB//mipA//sucC//purB//nanA//galE//fliR//rdoA//rpoH//fliM//ubiC//mngB//rffH//trxC//tpiA//ykgM//pstC//idnT//hha//mngR//ydbD//cas2//flgF//mzrA//wzxE//pspC//mnmG//ftsL//wzzE//aspC//fdnH//dmsC//metY//dinG//ygdB//fecD//yjeV//gspC//ddpF//ybfE//melA//
NemR	yqjH//oppF//metK//
NhaR	dinI//fabG//allD//oppC//yneM//paaY//bioA//
NikR	murC//lyxK//seqA//ppiD//lon//hypF//
NimR	aceK//yrbL//
NorR	ftsW//ydeM//nemR//
NrdR	fucO//metC//narI//rbsR//pepD//ddpF//fixA//gspC//recN//
NsrR	yafP//hcaB//purR//cdd//nfsA//hcaR//gspM//yfdV//prs//hflD//csgE//lsrB//artI//fliA//narJ//glnP//sdhD//csgG//bamE//metC//uidR//efeU_2//hcaB//hybG//yagK//mngA//mhpB//iscU//sbmA//ada//dinI//psiF//nuoB//puuR//nikR//phnD//ycdZ//asnA//rclA//icd//mazE//nrdF//thiQ//fliG//narG//dmsB//yaiW//thiQ//dmsC//hyfB//tolC//hyfA//arsB//betB//wcaA//murP//csgD//pqiB//asr//prpB//fadI//purD//argA//ppiA//gspI//nimR//pstA//nmpC//recC//relE//gspO//fliP//gudD//ascF//wecB//mtr//rcsA//metF//accA//erpA//sgbH//gudP//chbG//
NtrC	gatC//paaD//rhaT//gcvT//ppdB//rcsA//glcA//soxS//symE//znuA//lldD//sgrS//nanC//dctR//argF//ftnB//entS//fucP//ssuB//mhpF//mhpD//fliG//ybiT//paaG//hokD//ybfE//arsR//uvrA//galP//cysG//isrC//glcA//atoA//insK//rhaD//rbsC//tfaQ//atoD//yidQ//rseC//phoB//yhbT//galK//flu//rybA//norR//casB//gor//yjiY//
OmpR	glpA//rhaD//carB//aroL//srlE//hybG//malZ//sdhB//dsdC//yhdW//phoP//yoaG//dinG//dhaK//hlyE//cra//fliK//ftsW//sgbE//yhbS//argT//
OxyR	bluF//mgrB//mlrA//nrfE//napD//yeaG//ybbY//fadD//wecC//thrS//paaZ//sroD//uxuB//safA//ptrA//potF//pnp//gdhA//ssuB//yeaD//speB//oppB//fnr//hypB//ccmH//wzyE//leuB//cysG//yebE//ribA//creD//yccJ//phnH//hisJ//
PaaX	rsmH//tdcD//hlyE//kdpA//zraP//murD//pnp//cynT//gudD//ycjY//ddpB//gpmA//fadJ//malX//
PdeL	fliH//
PdhR	mcbA//lacA//add//patA//puuC//envC//ulaE//hflD//rutC//yqhG//appY//yhbT//ydhY//gfcA//hokE//ftsA//purA//hyaA//cas1//fimE//sbmC//cusB//trpD//ydcV//aroF//flu//fixX//glpK//focA//gntP//hybE//flhB//pepA//sufD//tktB//cusS//yefM//soxS//uvrD//qseB//fruK//
PepA	rimP//yagK//dicC//
PgrR	dgkA//fepG//mnmG//sgbE//frdD//fhuC//ddpB//hyfJ//
PhoB	sroD//frdA//mglC//sucC//yhdX//yneM//potI//hyfR//rseA//leuC//ulaF//gntT//phoP//allB//prs//pspA//ldtD//rbsA//talA//glpK//srlA//dapB//rbsB//dgcC//yqjA//pspA//yciF//marB//purB//mprA//paaJ//fliG//kbaY//hha//appX//uvrB//mtr//tauA//hdeD//ybbY//glxK//rbsC//rplT//nusA//glnQ//ugpC//mtlA//borD//hisQ//galP//ynjI//flgF//oxc//aceA//phoE//mhpA//fepE//alkB//napG//yedX//
PhoP	chbG//xylB//fecB//flgM//codB//murG//hemL//artQ//pncB//rutE//recD//gpmM//glmU//dsbA//ppiD//ogt//artP//murD//malP//kdpF//dinG//cysH//dsbA//rybA//efeU_1//astE//iscU//ccmA//gapA//ssb//ulaA//gadB//cecR//rbsD//cheW//fecB//pyrD//aroL//tadA//relA//ydjM//gspD//yfiB//alsE//phnK//glpX//ftsL//flgN//ynbA//accC//ygiA//wcaA//yhjA//yiaJ//iscU//yeiL//
PrpR	nupG//eno//znuB//pagP//relE//
PspF	prpC//thrS//pgi//nanK//kbp//glnG//waaY//
PurR	gspJ//rutF//aroH//nuoF//fliH//appB//hyaA//sdhB//gadX//cdaR//fliN//pck//fadH//ygiB//murR//poxB//fruA//chbA//potG//glpA//grxA//purD//casE//yjjQ//hipB//gntX//wcaB//fliJ//feoB//aceE//cynS//
PutA	yeiL//ascB//
PuuR	fliO//thrS//fliG//hyfF//guaB//cpxR//ugpA//
QseB	ybbW//aroH//rffG//glpD//
RbsR	phoH//argF//ybjG//artM//lysA//polB//tcyJ//yegR//napB//
RcdA	tolC//ptsH//fhuE//malY//pstS//marA//hmp//atoD//yhbT//
RclR	uidA//cirA//sra//
RcnR	rffM//rutC//serA//
RcsAB	hyfI//hybA//acnB//metY//glpF//emrY//rarA//waaZ//fixC//leuA//dinD//ddlB//pgm//purK//dgcZ//lpxA//
RcsB	paaZ//frdA//uidR//lysA//cysB//hyfC//nemA//putA//fepD//iscU//hypF//caiF//mdtC//wzc//relB//mazE//hypF//slyB//cysM//gapA//rutE//tcyJ//mdtE//nfo//cysA//
RcsB-BglJ	phoE//uhpT//entB//ydhT//cysC//ddpA//flgE//glpC//frc//mngB//mdh//yhdY//betA//ygbK//sdhC//yebG//
RelB	paaK//cspE//putA//
RelB-RelE	hycH//pspB//cysI//
RhaR	murE//citD//
RhaS	ygiC//tbpA//gspF//paaX//argD//hyfE//
Rob	moeB//glmY//dhaK//gadY//metF//murG//fucI//metA//yjhB//narH//nrdA//ybiT//gadC//fucU//qseB//gpmA//ygiA//phoU//fbaB//metJ//recA//hyaD//ybaS//gudD//aroG//nagC//
RstA	yiaL//cysB//ygeH//phoQ//glnP//yrbL//dgkA//umuD//gudD//gyrA//
RtcR	acrD//cysU//
RutR	flgG//emrA//appX//dhaR//pgm//rhaT//ada//rybA//seqA//aldA//dsbA//aceK//mhpB//yebE//mglC//yciG//murI//
SdiA	hycG//guaA//yebE//hybE//dhaM//
SgrR	ccmE//nrfF//torC//rutG//mngA//gatY//ybbY//flhA//galS//
SlyA	lpd//
SoxR	prpC//asnB//cysN//
SoxS	uvrB//yciG//rhaR//leuA//gatD//sodB//hypE//ycgZ//nuoN//nfsB//znuA//srlR//phnN//osmY//seqA//ybfE//codA//phoE//ccmG//ttdT//ydeM//csrB//sufE//citD//sdhB//lysA//yecT//ppdA//ebgA//narK//alkA//gpmA//hcp//uxaB//glnA//metR//hisM//dinG//paaF//glmS//
StpA	fadI//fucI//treB//tehA//pheM//pqiB//mglA//
SutR	fucU//yafN//fliH//prpR//oppD//
TdcA	phnJ//serA//pgpC//glgC//entS//cho//caiB//
TdcR	cysW//ssuA//malK//aidB//creA//yafQ//rdoA//
TorR	gntP//inaA//moaE//grxD//srlA//flgN//rarA//bioA//sodB//flgK//mhpE//ydfE//
TreR	yefM//mgrR//
TrpR	dsbA//fruB//trpD//srlB//ycdZ//purE//hisM//mgrR//feoA//purE//rseB//hybG//
TyrR	napF//gatZ//cpxR//yhdW//phnG//alsE//safA//mioC//yhdY//melB//yqaE//pspC//
UhpA	yhjA//
UidR	lrhA//metI//cpxP//nirC//
UlaR	yeaG//yidQ//araG//lon//mhpB//phoH//mdtD//
UvrY	ompN//rtcA//potH//cadA//malG//
UxuR	nirB//pagP//nrdF//nirB//cysC//napF//leuO//sgbU//cspI//
XapR	yhdW//aroH//
XylR	uvrB//cydD//argH//artP//mgtL//nirD//aroH//
YdeO	osmY//grcA//emrY//yeaE//lpxD//pspF//mazF//uxuR//ccmE//nfuA//yciW//metH//mdh//udp//fixA//ndh//hdeA//yneM//potG//mazE//nirB//
YedW	gor//lpxC//fabI//fucU//nrfE//rffG//mhpE//caiD//dsbC//pitB//ptrA//sufA//
YefM	nuoI//ecpR//
YefM-YoeB	cho//dicC//
YehT	puuR//
YeiL	frdB//
YiaJ	ybjN//mdtE//aceA//ftnA//hyfC//fepC//tauB//thiP//dinD//ssuB//
YjjQ	asnC//ycjX//ydcT//phnM//wcaB//gabT//csgA//yjbG//yccJ//yeiB//
YpdB	yebE//
YqhC	wzc//leuL//
YqjI	yiaM//guaA//
ZntR	alsA//
ZraR	aceE//tehB//fabI//
Zur	fau//gcvP//kdpB//fepA//malI//mgrB//
