#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	oxc//glpT//
CysB	yjbG//yeaD//modC//purK//nadA//inaA//dinI//rpmI//sucB//tcyJ//metY//ycjX//cheA//polA//grcA//ddpX//malM//fhuA//glcD//ftsA//glnB//rcsA//murR//metQ//phoB//safA//rbfA//casC//malF//prpB//garP//aroP//
CytR	deoB//phnE_1//fhuB//mhpC//ubiC//araA//appA//putP//purF//artM//ydhY//cynS//ydfN//
Dan	nuoJ//glgA//gatD//metK//
DcuR	dmsB//rbsC//icd//wzc//treC//adiC//nimT//dnaN//chbC//
DeoR	ybhL//exuR//cydB//astE//hisQ//phoR//
DhaR	nemR//yeaD//ygbA//hybE//
DicA	murG//flgD//yiaN//srlD//rbsA//ydfE//borD//uvrC//
DinJ-YafQ	uof//cpxA//sodB//
DnaA	nrfC//ybhG//gatD//ptsH//cynX//pstS//relE//araD//pgi//puuR//metH//csgE//
DpiA	ymiA//fabB//fucK//mdtC//slyB//gpmA//ppiA//ssuB//gyrA//fliQ//garR//
DsdC	kbp//ydhU//znuB//
EbgR	epd//entF//
EnvR	glmS//cyoC//
EnvY	phnM//sulA//
EvgA	fliF//fucK//tauB//sroD//zinT//cysB//skp//insK//argT//rob//yibQ//symE//yjbG//pepD//pdeH//astB//dinD//zraR//fadA//
ExuR	araC//phoR//aidB//gadB//cra//hcaR//omrA//marR//adhE//
FabR	bioB//hyfG//
FadR	csgD//purH//hycH//allS//molR_1//fepD//pspF//cheA//araA//ygdB//srlA//xapA//gcvA//yqaE//cynX//nrfE//rffG//yidL//mhpA//oppF//rnpB//rimK//exuT//
FeaR	ulaE//htpG//
FhlA	cydA//phnE_2//recA//yagK//dhaK//speA//dacC//mntS//yhbT//hybC//glnQ//chiP//cysJ//cysH//nuoM//trpB//guaB//xylB//caiB//ulaG//lpxA//xylH//yqjA//hyfH//ftsK//iraM//cysU//recA//polB//ynfE//
FlhDC	baeS//sdhD//ynfF//metJ//osmB//caiF//kdpC//gspJ//copA//lrp//marR//hycC//ryhB//gyrA//nirB//ppiD//glpD//osmC//mazF//srlE//accC//ulaE//torA//yoaC//malT//nlpA//wza//fliD//fliR//gapA//ptrA//hcp//prs//purB//hyi//flgN//fliQ//purC//gspL//flhC//fadI//pgpC//fliQ//dpiB//rutD//mntS//alaC//aroL//nikD//ssuD//fadB//znuB//fadH//yccA//alsE//yiaJ//lgoR//ssrS//folA//gapA//nadB//yqjI//pgk//efeU_2//agaD//hyfA//rpsU//sbmC//znuC//iscR//torD//glyA//creC//pncB//rfe//nupG//ydhU//flgM//aspC//trpE//yeaE//nuoM//
FliZ	aroL//fepC//gloA//cbl//cynX//paaY//hdeD//dinF//phnM//pgaC//idnO//uidB//amn//fepB//focB//ftsW//fadJ//alaC//tdcB//wcaA//tfaQ//
FucR	pspE//inaA//feoC//pdeR//potI//ihfA//agaD//
Fur	ychF//puuP//tcyP//mhpF//rutA//hydN//ompW//phnP//csgA//rplU//malP//gatZ//ftsW//malT//psiF//gcvT//dsrA//ugpA//casB//accA//phoB//katE//yiaM//mglA//frc//gatZ//kdpA//hdeA//ccmA//srlE//dgcC//rseA//deoA//gspO//nikB//aceA//nagC//csrB//luxS//rseC//casD//fhuA//rutD//ihfA//lrhA//dtpA//lolA//rutR//hcaE//torC//nuoA//iraP//rpsU//hcaR//yiaO//aroM//glpC//ruvB//nuoN//dmsA//sbmC//ydhW//dsbA//cynR//glk//glcE//hcaC//galK//gltD//relB//yegZ//ulaB//exbD//safA//ppsA//pstA//slp//hflD//ymgA//glcD//ydhT//yiaJ//casA//ychF//leuL//relB//lsrG//purH//zraP//mpl//nuoH//glnA//pyrC//yiaN//deoD//glcC//pgaB//fhuA//yciX//pyrD//yjbE//cysW//ruvA//phnN//ydhY//pspC//kbaY//hcaC//hypD//amtB//purH//hisP//aidB//cdaR//ecnB//slp//hcaC//glpT//ssuD//gcvP//ybhR//flgA//yciG//araA//metE//sbmA//decR//nupC//hemH//yhdZ//
GadE	feoB//sgrR//bglJ//cydD//adiC//ugpB//ybfN//torC//rpiB//yjbE//mgrR//phoH//ddpB//napA//fixC//ddpD//hyfC//mhpC//phnI//ulaB//csgD//mlc//ptsG//puuD//mdtA//lsrF//rbsK//murR//metN//
GadE-RcsB	trpB//artM//yoeB//uxaA//srlR//wzb//malE//dgkA//nrfE//
GadW	argC//speB//yiaJ//bioD//lysR//pgpC//amtB//glnL//artP//puuA//wzyE//gltK//fumB//recB//malX//
GadX	lyxK//tdcB//hybD//envC//ruvA//flgJ//dhaM//tyrR//metE//yidL//gudP//uidA//accD//pheT//puuD//rtcB//hybG//ybjN//tcyJ//sdhD//hycH//rffH//purC//fumC//ydcT//ulaG//mcbA//malI//xylH//
GalR	artM//astE//cyoA//hyfG//appX//aceB//bacA//cusB//ftsK//fldB//
GalS	glmS//hybE//astD//araA//creD//psiE//aceA//yccA//yegR//talA//
GatR	sroA//aroF//araJ//pepD//lpd//lpxC//
GcvA	cyoC//moaB//tdcE//fliT//nuoI//
GlcC	tdcB//hyfI//malT//idnK//pgi//pheM//thrS//
GlpR	ccmC//mdh//ttdR//slp//ung//uidR//murC//slp//xylG//
GlrR	gntK//mprA//dicB//ygdB//tdcD//
GntR	ycgZ//paaF//phnI//nuoC//phoB//yebG//arsC//ddpD//flhB//allD//gspF//nuoG//
GutM	nhaA//mhpF//srlR//agaD//argB//uxaC//fabZ//
GutR	fliK//malG//ttdR//infB//galT//fliL//cydD//
HU	ybhG//pnuC//purH//glpT//cynT//umuD//phnJ//acrZ//flgF//
HcaR	dnaN//cydB//agaI//oxyR//nlpA//metB//
HdfR	bioA//folA//hycF//ompW//mdtE//
HigA	bdm//hybE//
HigB-HigA	potI//skp//
HipAB	osmY//efeU_2//pgm//ydhV//nanT//
HipB	rbsB//nhaR//nfsB//hflD//osmY//icd//
HyfR	nrfF//rseC//aceE//rpoH//hypD//pgaD//ftsW//bamE//purB//gspH//fruA//fliF//
HypT	aldA//frdD//ebgC//glcA//prpB//idnK//mtlD//zraR//recD//fecC//flgK//flu//mdh//
IclR	psiE//ada//fliH//mngR//
IdnR	ybhF//aceA//hybE//ydeM//nirD//obgE//dapD//
IlvY	csiD//mipA//
IscR	pgpC//yidL//ttdR//purN//gspJ//gspC//nrfB//yhjX//ulaC//nhaR//hybE//rstB//tyrP//cheW//cyoB//ddpD//sucA//nimT//pheT//rutF//nuoK//flgK//gspE//mipA//rhaB//rimK//napF//cydD//mhpA//yeaE//iscU//putA//
KdgR	lsrD//wzb//
KdpE	cynR//yegH//tdcF//gspK//
LacI	rbsB//prpC//asnA//
LeuO	fhuE//fadE//rffT//pheS//ldtB//mgrB//metL//moaD//obgE//deoD//ftsA//puuB//gspI//sdhD//rutD//pspF//mpaA//yoaG//fucP//safA//
LexA	pgaA//pstS//ihfA//kbaZ//nikR//tcyP//nrfE//rseC//gcvB//dps//gspC//malP//exbB//trpB//glnG//phnM//bacA//aroL//rcnR//yecR//phnK//sodA//glpF//ompF//paaG//skp//sulA//aidB//uspA//bioB//speA//glmS//tauD//uxaC//psiF//gabD//metH//ydcS//evgS//ycjX//norR//treC//purE//decR//cytR//ydfX//kdpC//torD//nanS//yjbH//hyfE//narI//wza//cysH//yafQ//mtlR//fepE//uspA//pdeL//
LldR	yciG//fliP//csgB//
LrhA	atoB//tauB//codB//ydeO//
LsrR	cysA//chiP//phnM//modB//qseC//marB//ftsI//garR//higB//
LysR	fixA//leuO//
MalI	sgrT//zntA//feoB//
MalT	envC//rpoE//ftsL//lon//srlR//cysE//ebgA//malT//sdhA//tdcF//
MarA	sra//gltK//ttdB//ybbY//gpmM//artJ//ybdN//yciF//lsrR//flgH//hcaC//psiE//oxyS//fliQ//rffG//rffT//pstS//yjeV//dkgB//glcE//flgB//acrZ//astE//murE//araF//fadD//nrfA//nagE//rstA//evgS//glnH//yegH//fecA//lgoR//xylB//evgA//napC//dsbG//
MarR	yeaH//gltB//fliE//
MatA	yiaO//uxuA//gatB//bluF//sucD//fruK//pgaD//lpxC//
MazE	nagC//phnG//ppiD//
MazE-MazF	chbC//yeaE//lolA//
McbR	yhdX//purF//glpX//pyrC//
MelR	rob//mglB//rybA//
MetJ	hybE//grxD//tdcF//hokE//glnG//fliT//murR//recA//dpiA//phoB//ompT//pdhR//fimB//yoaG//betT//
MetR	rpoE//gatB//gspI//phnP//sufB//
MhpR	bolA//sfsB//aslB//glpA//hyfD//glpD//
Mlc	recA//fadA//asnC//gspL//rcnA//fliN//sucB//entA//icd//sgrR//
MlrA	galK//ccmA//yjbG//cyoE//narH//rhaD//glgC//argP//nemR//paaG//
MngR	citE//kbaY//oxc//
MntR	cysH//chbC//spy//araF//acnB//
ModE	fhuC//btuB//hflD//infC//argF//bioA//gyrA//nusA//uxuB//chbC//gadE//talA//nagC//citX//metA//mazF//zraP//mipA//arsC//relA//exbB//ftsK//fdhF//yeaG//dhaM//grxD//cpxP//mntH//pheM//rplU//tdcG//kdpC//glmY//fadJ//hdeB//ybdZ//tisB//tpiA//nuoH//wrbA//cysU//iraP//sutR//cyoD//treC//sufS//
MprA	araF//cadC//ibaG//yjhB//hipB//metC//
MqsA	fucR//ddpA//flhC//dctA//tauA//creC//caiC//purR//
MraZ	recA//ydhW//motB//phnE_2//glcF//katG//ptsH//malY//iraP//gntP//arsR//narK//metQ//fecC//glcB//malX//leuC//
MtlR	ygiC//cheW//gltL//
MurR	phnE_2//ygeA//hipB//
Nac	csgE//fecD//lysC//yfdE//znuB//fixA//ftsK//gutQ//fixA//uvrB//fepB//moaA//gntT//insD//purR//gltL//wcaA//uvrD//argT//ychF//modA//
NadR	fliK//tauB//mhpE//mazG//
NagC	srlR//lsrC//garK//safA//ppdA//lrp//yciW//ybhG//pspG//ddpF//oxyR//idnT//uvrC//allE//acnB//sdhA//malK//qseB//tcyJ//deoC//hdeB//symE//cspE//cspE//yneM//fadD//ulaF//talA//pagP//yfiR//yfdV//mgtL//phnN//ycjF//fecD//glyA//atoA//
NanR	rob//leuA//exbB//modA//bhsA//gltF//hisQ//rbsA//gltF//purD//dicB//
NarL	ftsA//lolA//ybaT//dicC//wzyE//argD//hcaE//arsR//iscU//fepD//nikB//fliZ//nuoB//rybA//nmpC//treC//gspH//fadL//gltB//agaA//puuD//exuR//wecC//trpE//cysK//leuA//ruvB//codB//psd//cyoA//yecT//nac//nlpA//mglB//fepE//ttdA//tyrB//creC//glcB//focB//yfbR//argI//metL//gpmA//rffT//znuB//fadD//aceK//bhsA//glgA//sulA//yfiB//aceF//rpoE//cysC//fhuF//gnd//ddpB//sufA//melB//crl//ulaF//ykgO//codB//bacA//mepH//hybA//napA//fruK//gfcA//mhpT//cynR//chbF//hns//yeaE//hyfA//fixX//gltI//pgaD//grxA//oppA//setA//gspL//mdtE//ddpD//sgrR//hypE//ybfN//napH//cysM//uidC//mgtA//mgtA//envC//cpxA//mhpE//ampC//dicC//sucA//csgF//serA//znuB//fliQ//ddpC//phoA//ynfE//cysD//tolC//lsrD//sroD//nrdD//yhhY//hdeA//mdtC//nuoH//bdcA//narJ//ydbK//leuD//frdB//rpoS//ydjM//rseA//
NarP	betI//artP//dhaM//fruK//mioC//zwf//gspD//prpE//sra//pqiA//treR//potI//oxyR//dhaL//pgaD//aroL//manY//alkB//purE//grcA//tyrR//nirB//ahpF//bacA//mqsR//mcbA//nuoA//hypE//idnT//potF//ftsZ//uvrD//mntS//hyfG//rhaR//csgF//cadC//leuA//prpC//ynfG//moaE//hybO//ydhT//aceE//alkA//atoE//yiaJ//ugpC//osmC//feoB//
NemR	hycH//intQ//lysR//
NhaR	iraP//acrB//mscM//fadR//ynbC//yegR//pyrD//
NikR	dinI//phnF//mpl//ynbB//ydhW//fhuB//
NimR	ynbA//nrdB//
NorR	norR//hcaR//znuC//
NrdR	atoE//rpsO//aceF//entH//hybO//adiA//astE//ybjN//moaA//
NsrR	flgK//tehA//casE//yiaN//ybhF//fabD//aroP//relE//tam//rpmA//yafP//purL//phnN//soxS//mscM//rpiB//lacA//ydhW//rtcA//gatC//ung//fepC//prs//carA//fes//pheT//hyfH//tonB//fepC//trxC//ymjD//agaC//cueO//ydbD//envC//uxaB//fepD//aidB//phoB//mdtA//ompN//argP//paaE//gltJ//fliM//pspC//fhuF//fecI//seqA//yoeB//cusF//glnK//fumC//pheS//tsgA//dmsD//flgC//metK//fixX//srlB//nfuA//ybhG//araG//ompN//astC//uvrY//fecA//agaA//gntX//poxB//fur//artI//gadY//phnI//dsdA//rutD//fadJ//fau//thiQ//rnlA//ygiA//ynfG//rcsA//
NtrC	omrB//fixA//fucO//alsC//nuoK//iscR//nrfF//nfo//micF//emrK//rybB//gudP//fiu//bglF//mraY//agaI//sufC//paaI//nupC//ddpB//cpxP//lsrB//eda//iscR//mscM//deoB//mazE//caiB//gdhA//fecD//leuB//dgcZ//yfdE//zinT//dhaK//nagE//mhpE//moaE//yccA//gspF//hydN//glcA//ydcU//ccmA//gadA//glgB//cadA//torD//hlyE//
OmpR	glpA//yjjZ//cadB//moaE//gabP//nfsB//fnr//yccJ//bglB//katE//mipA//lhgO//rpoE//rbsC//ycjX//sufB//hha//gspF//ppsA//pepA//gatD//
OxyR	osmB//edd//higA//uxuA//yiaL//katE//ybhS//alkA//narI//tomB//deoA//nuoL//gnd//glnL//accA//ydhX//argO//paaK//pspE//osmY//ruvB//fumB//waaY//fau//nanC//uidB//cbl//gntP//alsC//phnJ//lolA//argT//galT//mhpE//
PaaX	sgbH//poxB//qseC//ccmF//garK//ydbD//lpxA//asr//fucA//ynfF//dinI//mraZ//decR//yegZ//
PdeL	cspI//
PdhR	ydhV//ydjM//cysC//norR//rtcA//nupC//gltD//glgX//lacY//ryhB//hcr//nrdF//bioB//rhaB//ddpB//crl//glgB//hybE//dgkA//flu//betA//trpE//hybE//oxc//nimT//cbl//betA//ynfF//manY//yiaN//cas1//mgrR//hyfB//ydfE//pheT//allS//gspO//tam//napB//mdtA//relB//
PepA	ccmD//tehA//fecB//
PgrR	phnK//cpxQ//lsrC//acrD//nirC//mdtB//hokE//fucI//
PhoB	sdhA//fes//nuoG//adiC//fliE//tyrB//malF//mqsA//gltK//uidB//codB//hypC//fadH//trpR//pspF//ruvA//gnd//hycA//fucU//dmsD//glpT//cyoB//leuL//sutR//ygeA//fecD//fliO//lon//sfsB//adiC//gntX//guaB//dinB//carA//deoD//idnR//galM//crp//patD//yccA//gltL//fldA//fecA//gfcA//cas2//wcaA//araA//dhaM//malK//hisP//entS//emrB//purF//cysA//ascF//hypD//tdcD//sufB//cpxP//malX//
PhoP	murQ//agaV//hyfE//yecR//citD//phnE_1//hokE//yeiL//pheT//atoE//oxyS//waaH//iraP//cirA//allD//norR//fucU//fumC//rhaT//sgbU//yciF//metI//asr//melA//ssuB//ynbB//trpL//glgP//gspE//ompT//dinI//srlB//sgbH//amn//ahpC//patA//sgbE//ydbK//ybaT//allC//glnG//dkgA//paaY//ariR//rclC//rhaT//yqjH//fabB//emrA//ymgA//betA//nikC//yhdZ//modC//dhaR//zraS//
PrpR	ybiT//paaZ//lpd//nfsB//mglB//
PspF	ssb//hcaC//rtcB//purR//fliQ//fepA//ompT//
PurR	feoA//nuoI//hcp//cspD//lsrD//uxaA//entH//purF//hipA//citD//tehA//feaB//ccmA//fes//gspK//murD//entC//gcvA//glcA//hybC//motA//flgL//srlE//gcvT//gadA//fliN//degP//ybfE//ulaE//gspM//puuC//
PutA	recN//lpxC//
PuuR	murC//sbcD//ynbA//fepB//hcaR//yibQ//dmsC//
QseB	yaiA//fau//phnK//fucP//
RbsR	ssuD//ecpA//entB//gadY//glnH//ampC//feoB//ilvY//moaB//
RcdA	gspI//rybB//gltF//ytfE//mprA//lldP//fpr//entE//cysH//
RclR	nuoI//insD//dctR//
RcnR	feoC//nhaA//glgA//
RcsAB	napB//uvrB//recN//gntK//gspK//dmsA//gspM//cpxR//kbp//cysK//malF//fecA//ugpE//infC//patA//uidR//
RcsB	gatD//alsC//malZ//narX//rnlA//fhuC//nuoG//cytR//ynbB//mzrA//ebgC//nuoM//leuB//mhpC//ulaG//acrR//ygiB//osmY//prpB//melR//narJ//accB//ssuC//lsrF//artJ//
RcsB-BglJ	lexA//idnO//metJ//cynR//oxc//appC//gloA//ccmG//deoD//mglA//phnP//fhuD//infB//paaB//sgbH//ybdN//
RelB	csgG//hycG//ttdA//
RelB-RelE	ftsZ//argE//aroF//
RhaR	umuC//csgA//
RhaS	exuT//ttdB//fumC//sbcD//yoeB//argG//
Rob	ycjX//pdhR//ydhT//phnM//uxuA//narK//ydcS//argB//sufB//xylB//pspE//ydeP//napG//intQ//fepC//leuB//aroG//fepB//pdeH//rseC//gspJ//hybC//nusA//nupG//modA//ybiT//
RstA	acrZ//htpG//lpd//citC//ygbA//glcA//caiT//acrD//glmS//phoP//
RtcR	betI//modB//
RutR	fhuF//glpF//adiA//csgC//ydcT//slyB//xylG//ahpF//nusA//glpK//emrY//fldA//fabB//gltD//flgJ//gspJ//argP//
SdiA	fliC//cyoB//paaK//lldD//rprA//
SgrR	uof//tauD//artI//ugpQ//prpR//lhgO//gspF//deoB//ygiC//
SlyA	rbsC//
SoxR	glxR//deoC//yaiW//
SoxS	cyoE//pgaC//alkA//kbp//srlA//bglB//hmp//mtlR//ddpX//cheA//fecE//fhuA//accB//rimP//yidQ//dcuR//frdB//nirC//wzzE//mngA//yaiW//sulA//sdhD//nhaR//dctA//cheW//hyaE//ygeH//yhdX//tynA//ykgM//rpmI//erpA//ymgA//cysI//atoB//bolA//uspA//oppD//hypB//
StpA	melR//flgA//skp//ftnB//trpL//alaC//yccT//
SutR	cusA//hyfD//argC//tfaQ//soxR//
TdcA	dinB//dcuS//dmsB//chbA//treR//paaG//pspD//
TdcR	deoD//nusA//xapA//mtlA//hdeB//cyoD//lacA//
TorR	acrZ//chbC//mdtC//ampC//gspD//glxK//uvrA//gutQ//sgbU//marA//flhB//cas2//
TreR	cusF//evgA//
TrpR	flgJ//rpsO//agaW//evgS//glnH//hflD//ybjC//talA//ascF//yqjH//murF//yhhY//
TyrR	mazE//mglC//nuoE//gltL//nuoB//puuR//ycgR//marB//adhE//argB//wzzE//hyfR//
UhpA	zraR//
UidR	lsrD//paaF//ilvC//slt//
UlaR	yafN//ccmE//ybiT//yeaD//mhpA//zwf//metI//
UvrY	iraM//phnJ//pepD//serA//ydfW//
UxuR	feoC//galM//fecE//cecR//higB//narX//uvrY//pspC//entH//
XapR	ssb//yefM//
XylR	mdtF//metB//fepG//cusC//flhD//dsdX//yjjZ//
YdeO	fumB//narL//yoaC//cas1//flgJ//fdnH//csiD//malZ//ybjG//cysU//agaW//aspC//psiE//tdcG//gspD//feaR//dinB//hypB//caiE//lpxA//mscM//
YedW	yhdW//yedX//deoC//mdtD//alaS//argF//pepA//ygbA//tehA//mscM//yjbG//dhaM//
YefM	udp//lrp//
YefM-YoeB	fecC//hybB//
YehT	lldR//
YeiL	fbaA//
YiaJ	recF//tynA//purC//uxuA//cysK//fliJ//bglB//ydbD//fliG//hisM//
YjjQ	nrdE//ydbD//cspD//purH//malX//galR//frdB//fruK//uxuA//ydfW//
YpdB	ptsH//
YqhC	sufC//cysK//
YqjI	nanA//rhaA//
ZntR	nagC//
ZraR	ppsA//dhaK//truB//
Zur	mgrR//lhgO//hisQ//dnaN//treC//tsgA//
