#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	phoQ//pspF//
FhlA	rpiB//ynfE//recC//spy//ada//mhpA//adhE//yegZ//tdcC//malY//lsrF//sucB//argD//oppB//dnaN//ilvC//lsrC//exbB//ydcS//leuD//nhaR//putP//sbmC//mlrA//sufD//nuoJ//polA//fadL//hypC//soxR//
FlhDC	yoaG//yqaE//atoB//cydC//glgB//gspF//nikE//ycjF//oppA//nadB//ydfD//napG//betT//prpR//yafP//nrdA//narG//potI//cadC//degP//hycB//flhD//iclR//fimB//mglA//ynfK//murI//lldD//gapA//napC//ygiB//ptsH//fadA//tyrA//narL//murR//ymgC//cdd//cpxR//aroF//ycjF//waaZ//malK//yjbF//yeaD//rbsK//lexA//hdeD//katE//fepD//rnlA//glgX//btuB//ppiD//leuC//appX//paaE//galS//ppdC//higB//ynbC//purR//aceA//ybhF//phnP//ytfE//yidL//sdhD//torR//rfe//mglC//katE//rhaR//allC//agaR//dsdA//nanA//phnP//fliQ//phnE_2//gadY//yecR//
FliZ	ybfN//ulaG//glpK//setA//nirB//ulaC//flhE//cusF//lysO//narX//melR//bamE//mcbA//nuoF//metR//sdhC//eda//ydiV//narL//pgaA//hycF//
FucR	tcyP//torD//rimK//metJ//srlR//flgM//ydeM//
Fur	cysM//lrhA//rtcA//ykiA//glnG//relA//ybfE//ung//lon//yjbG//mqsR//trxC//psiF//agaI//argI//tsr//fdnG//icd//fucR//cusS//pnuC//mdtC//agaB//napB//aspA//nadA//aroH//lrp//hybD//tisB//phnE_2//uidB//ssuE//chbA//feoC//ynfF//recX//rffC//trpC//trxC//metQ//dkgA//fhuB//symE//trpE//rtcA//qseC//arsR//nupG//glcA//cpxQ//pncB//cydC//yhjC//hycG//thiP//lolA//tomB//ugpC//yqhG//hyaE//mdtF//rybA//metE//prpR//accC//wzyE//cheW//nfsB//hypA//gadE//argI//yneM//purL//rclB//ssuC//rutR//katG//ybaT//dcuR//galP//cbl//creB//malF//metN//relB//yeiB//gapA//nuoC//srlR//yhjX//mioC//metR//cysU//yfdX//pepD//pheM//phnK//sroA//yecR//lgoR//recB//nrdB//yciW//nikB//yiaN//pheT//iscU//fliZ//adiC//paaG//tdcF//malI//rbsB//stpA//malX//higA//relB//fliH//citE//cysG//ybiT//fruA//ssb//gudP//rcnA//fruK//yciE//pgaB//ybdN//
GadE	nuoB//uhpT//allC//sucB//ygdB//dps//fes//ydeN//yafO//modB//fliG//sufD//nagA//hdeA//fucP//uvrC//ydfW//recN//creD//sgrT//carB//glmU//yedX//emrB//argP//garK//mntS//dinD//ybiT//
GadE-RcsB	ppdA//gltL//wcaA//lyxK//yecT//fabZ//yqaE//motA//phnO//
GadW	fabA//relB//insK//fimB//lsrA//yjbF//metE//chbB//phnF//glgB//prs//lamB//casA//gutM//ybfN//
GadX	seqA//flhE//nanA//mpaA//flhE//rclB//yegZ//folA//ldtC//malX//potF//metH//flgE//nuoB//flgA//dinJ//ydbK//rstB//phnM//patA//pdeH//lsrC//caiC//fhuA//sbmC//bioC//rnpB//sdhA//araC//
GalR	asnB//phnE_1//glcA//hemH//fau//idnO//entC//yciG//nemA//leuD//
GalS	nanM//xylF//osmY//uxuR//agaI//agaC//udp//paaY//feoB//dhaM//
GatR	fadH//ynbA//hcr//purD//cyoA//tyrB//
GcvA	nlpA//mpl//umuC//ccmC//ydhW//
GlcC	flgL//feoC//glcC//fadE//bglG//creC//btuB//
GlpR	yeaD//rtcA//rimP//gltL//yhdW//mntS//rclC//guaB//glpA//
GlrR	gspL//trpD//nanS//uvrD//metR//
GntR	malT//napB//cpxQ//ydfH//fecI//exbB//gadE//ssuE//cydD//caiA//puuA//yccJ//
GutM	sgrS//nhaR//sufS//lolA//mdtF//yagK//glpK//
GutR	tdcA//ftsZ//fadL//fabZ//umuD//bluF//fliT//
HU	iscR//fabB//mtlR//allS//yeaG//bamE//emrB//ycgR//rbsA//
HcaR	fucK//ompF//degP//glpF//malG//recA//
HdfR	gadB//tnaC//guaB//citX//phnP//
HigA	recN//manY//
HigB-HigA	ssuA//glgC//
HipAB	cbl//glgB//ydcS//hcaC//ykgO//
HipB	yecT//baeS//ompC//gltK//nrdE//cpxP//
HyfR	recN//ydeI//gcvA//glcG//glgB//gspF//glpA//trpR//focB//phnO//uxaA//paaG//
HypT	dinD//nirC//fau//aspA//phnC//oxyS//ribA//ftsA//ecpR//copA//leuO//ygiA//glgC//
IclR	ldtC//pagP//recN//ydfH//
IdnR	gcvA//cadA//carA//prpE//yhdX//hns//hyaD//
IlvY	ydeO//lsrG//
IscR	bglF//ybdZ//hcr//yebE//symE//mazG//fepB//fixA//yciE//patA//dsdA//zraR//sodA//astB//cvpA//ydbK//leuL//uspD//yhdZ//fucP//chbC//pheS//ftsA//paaH//hokE//cheA//ygiZ//ppsA//dinF//hflD//ycjG//iclR//
KdgR	deoC//bluF//
KdpE	trpE//ygdB//mgrB//ycjY//
LacI	rffM//cysG//asnA//
LeuO	ycdZ//rtcA//rutF//hcaF//fucP//tcyJ//aldA//rbsK//yagK//yhbE//appX//ldtC//mhpT//tdcG//csgD//ynbA//fadJ//bglB//ccmB//ymgA//
LexA	oppC//gcvP//nhaA//creB//wzc//ldtB//bglF//ppc//ynfG//envC//ynfG//emrB//appC//omrA//lldP//cyoE//mcbA//eda//srlA//lysO//fadM//araB//waaY//argT//yoeB//nuoE//trpA//trpL//fbaB//katE//nagC//casC//citF//appA//thrS//yjbG//fdhF//pgaD//metC//cadB//hyaE//rbsD//yafP//ssb//nagA//yhdZ//fnr//uspA//accD//fepC//alaS//treC//fumC//lsrG//erpA//torC//micF//hyaD//feoA//
LldR	bioD//flgG//cydC//
LrhA	yefM//glnL//hcaC//hokE//
LsrR	cbl//gntP//kdpC//phoE//aroF//tnaC//nrdB//copA//hdeD//
LysR	fixC//glnQ//
MalI	yeiB//tdcB//fliG//
MalT	hcaC//dpiB//yhcH//fnr//deoD//oppD//tbpA//fldB//yeaR//ccmE//
MarA	yibQ//ftnA//mpl//dhaK//fadM//baeR//znuB//yiaJ//fepB//tsr//cpxQ//treR//srlA//flhB//zraS//ycjX//glpD//phnK//sgrT//tehB//gcvB//gudP//zntA//grxA//gspK//nrdE//oxyR//uxuR//ssuE//nrdD//puuD//fabB//cynR//polA//leuD//nuoF//pck//isrC//
MarR	uxuR//mgrR//ddpX//
MatA	astB//ydcT//puuC//amtB//fabH//tauA//dmsA//hyaA//
MazE	serA//gspI//thrS//
MazE-MazF	hcaD//bhsA//hycG//
McbR	ompW//xylG//tauD//nuoN//
MelR	mpl//leuB//agaR//
MetJ	lysO//torA//aspA//ada//sufD//ubiX//purH//narL//casB//hyfH//dkgB//ygeA//umuD//casA//higA//
MetR	yjbG//gntP//mazE//entF//gntX//
MhpR	htpG//ada//ppdB//purA//fes//casA//
Mlc	fucI//yebG//osmC//rutC//ssuE//phnH//gadB//ymgA//srlR//lldR//
MlrA	aceF//relE//phoH//xylA//nanE//nuoC//recC//cspE//nanS//asr//
MngR	caiB//rybA//folA//
MntR	icd//nuoN//tehB//fruB//sbcD//
ModE	ybbY//yafN//ccmA//nuoH//zraR//mzrA//fadL//fadI//feaB//mraZ//cusB//gyrA//ecpR//tomB//artI//ftsZ//ruvB//glnG//gadC//ldtB//idnK//aroP//pfkA//glnK//betT//gspJ//tdcC//hflD//atoB//ygiC//sbmA//hyaC//grcA//phnP//gudX//soxS//araA//gspO//argE//gcvT//ydcS//umuC//citG//ftnA//nagE//slp//
MprA	dctA//leuC//alkA//casA//fepD//allD//
MqsA	malX//aceK//cynS//feoB//malZ//pgk//casC//galM//
MraZ	ccmA//casB//sdhC//pqiB//purF//uspE//tauB//yjbH//dnaN//ecpR//tdcD//yibQ//decR//qseB//sra//motA//mazF//
MtlR	fepB//cusF//bioC//
MurR	cpxR//sucA//astA//
Nac	chbB//purC//ybhG//psiF//araJ//recX//cpxR//rfe//pepA//xylR//flgC//cspE//murF//ybdN//hyaD//gadC//gadE//ddpX//mqsA//tauD//tdcG//
NadR	gspO//recX//rpoH//modA//
NagC	gadY//hyfR//potI//tauC//uidR//yneM//fixX//bioF//flgF//ydfX//ycjF//fhlA//rbsR//soxS//crp//gspE//fhuA//uidR//gadY//cdd//lysP//cusS//purA//yeaG//ygiC//entF//ymjC//phnI//cysP//cheA//fecR//caiD//nimT//acrA//acrB//appC//sdhC//
NanR	garK//phnH//dpiA//lolA//epd//argF//glpB//hypF//glnG//alsC//astC//
NarL	rbsB//ydfH//murD//rbsC//sufD//arsB//rseA//araE//iscS//pnuC//puuB//glxR//tolC//yhdW//ydeO//casE//ydeO//rnlA//fabH//dgcC//ahpF//cpxA//flgC//fbaB//nanS//ompF//dmsB//citF//ddpB//garD//narH//gatD//sroD//rclB//hybC//phnP//uspA//glxR//tisB//rcsA//ccmD//nrfC//pnp//wcaB//uhpT//ymgC//ydfH//nac//fliE//yqhD//nrdI//metR//mhpF//cyoE//cusA//sucD//mzrA//gcvH//sbmA//cirA//fadR//hypD//ruvA//mhpT//nikD//ihfA//deoA//rpsU//mglB//arsR//rcnR//fabA//gntT//sufB//yeaG//tktB//dsbA//phnO//purM//argH//asr//yciF//paaF//mcbA//ssuD//glxR//arsB//metB//sgbU//yoaC//rffM//lpd//uvrD//emrB//dctA//slt//murG//rplU//acrZ//nrdA//dcuR//melA//ydfH//napB//ftnA//insD//nikA//nuoN//rcsA//gntT//yafN//hflD//dhaR//cpxR//hycF//hdeD//yjbH//cheA//sbcD//mdtB//ecpA//dnaG//ygaC//
NarP	rob//pdeH//tfaQ//prpE//metF//trpD//yagK//ynfH//nrfC//pgaB//pgpC//ampC//cheW//cdd//pgpC//ccmG//tcyJ//treR//dpiB//artI//mzrA//tpiA//sufB//cysI//mzrA//tynA//rutC//appA//dmsB//qseC//cvpA//aroM//hyfG//dmsA//pdeR//fucR//purE//phnH//soxS//gatD//exbB//hcp//putA//dnaA//iscA//pspF//focB//napB//folA//narI//
NemR	putA//dmsB//fepG//
NhaR	cheW//ogt//nadB//dsbA//gatC//flgH//cadA//
NikR	lysO//iscU//infB//ydjM//mgtA//arsC//
NimR	mdtE//cyaR//
NorR	uspA//flhA//rffG//
NrdR	iraP//gloA//nrfA//ccmC//ulaB//ygbA//cpxP//polA//tisB//
NsrR	csgD//aspA//fliC//entS//ccmD//yjhC//recC//tehB//micF//mdtB//gatY//pitB//aroF//yhdX//cysK//tdcE//nimR//ruvA//hycA//xylG//asr//garK//iscS//fabB//ymgA//cysD//putP//yhbT//recF//artP//hycA//phoP//lacY//purL//ygeH//pheM//nanM//ttdB//napD//ftsZ//fepB//metB//paaG//araH//fabG//dcuA//sbmC//ccmF//omrA//cysE//yagK//exuR//paaF//creC//bioC//dinJ//iraM//tyrA//yaiW//rhaR//emrA//lsrR//fdnG//ruvB//patD//pqiA//tcyJ//marB//ccmB//rutF//mtlD//ykgM//nlpA//pnp//nanE//metF//ascB//fliT//rhaT//gadW//ddpD//fur//aidB//
NtrC	flgL//yibQ//ydeP//flhE//hycD//nusA//gspO//acrB//insK//ygeA//ydbD//exuR//argF//nuoI//glnQ//ydfX//aceE//ybbW//yidQ//wzxE//lacA//speA//mtr//yjhC//wza//cynS//mgrB//dkgA//chbC//deoD//codB//nrfE//dsbG//casC//malQ//yhiD//narJ//pgm//ydfD//cysN//rffC//narI//pspB//flgM//tisB//mgrR//znuB//nupG//prpE//
OmpR	nikD//dinD//baeS//fadB//nuoG//gutQ//garK//argD//sfsB//cysD//yeaE//glpB//glxR//hypA//ybfN//wcaB//yqjH//yhhY//recC//dinD//ldtC//
OxyR	gatY//fnr//dinQ//kbaZ//trxC//purF//nrdA//rnpB//fadA//mscM//puuB//nuoF//waaZ//murG//phnP//yfaE//flgK//ydhX//cra//phoE//wzxE//flgD//glgX//fepE//uidC//prpR//pflB//mntH//flgG//yhjC//gabP//yhiD//narH//fadH//
PaaX	rhaR//guaA//sgrS//lsrK//narK//yaiW//acrD//hokD//ydeN//recA//ydeP//csgC//znuC//kbp//
PdeL	yoeB//
PdhR	gabT//ybaT//add//ptsG//hyfE//puuE//araE//mipA//narJ//wzb//flgA//dsbG//mpl//ppsA//paaH//hybE//nupG//ybbY//gabP//alsC//ubiX//rutC//murQ//ybhG//ftsZ//tdcD//tomB//prs//ihfA//hybE//purF//ydfH//paaB//malY//nuoE//omrB//hyfI//narL//sgbH//glmU//yiaJ//
PepA	citG//nupG//iscA//
PgrR	hyaC//alsC//umpH//appC//purK//phnE_1//sodB//hyaC//
PhoB	argP//betB//flgG//uidA//fbaA//gspL//nrdE//ompF//pdeH//yjiY//napG//cysC//yhjC//ydhT//higB//lsrA//pspA//tbpA//tdcA//gpmM//purM//flgK//fruB//metK//leuD//pspE//trpB//casE//yrbL//araD//tyrR//nfo//fumC//ddpA//yegR//gatA//cysM//asnB//thrS//ugpC//allB//cynX//appB//aslB//yjhB//znuB//yecR//ompC//wrbA//phoB//rpoH//rbsB//fdnG//glpB//cysK//malT//creD//uspD//glnG//hlyE//
PhoP	fixX//treR//nemA//hslJ//cho//leuC//ftsW//phoQ//isrC//hdeD//ynbB//fhuC//ldtD//sufD//malG//cysM//gfcA//fliQ//focA//ompF//gspO//moeA//murF//fliR//ydiU//csgB//pqiB//hyaA//yaiA//ung//gadC//feoB//paaY//sufE//alsA//fdnI//araG//ydcU//bolA//deoC//nuoF//dctA//uxuR//fdhF//frdB//malK//fliG//higB//efeU_2//csiD//phnD//yhjA//pdhR//yebG//ydiU//carB//
PrpR	treB//melB//yaiW//nmpC//garK//
PspF	ydhT//ulaG//ybdZ//ykgM//adiC//ybbY//trxC//
PurR	chbC//phoU//ynfK//hycE//chbG//focB//atoA//relE//ftsW//glnP//gatZ//accD//fadJ//asnB//yegZ//gltJ//nuoF//aroP//purH//dpiB//soxR//rhaS//nfo//metK//rcsA//napC//lldD//xylB//relA//molR_1//araF//
PutA	nrfG//feaB//
PuuR	rcnA//appA//oppF//sgrR//xylH//phoE//tfaQ//
QseB	ssuD//sucC//malP//fdhF//
RbsR	deoC//uvrD//trpR//kdpF//glnP//ttdR//mntS//fucU//amn//
RcdA	ebgC//aceK//dmsD//ldtB//rcnA//hcaB//glpD//tdcE//alkB//
RclR	waaY//chbR//fliO//
RcnR	hybG//iscR//ftnA//
RcsAB	ulaB//ompW//ydjM//galR//yhiM//napF//metY//nuoM//tehA//cspI//cdd//gspH//gntT//ydfE//nrfB//sucD//
RcsB	cra//fliR//yiaK//tyrA//aldA//srlD//purB//mpl//ariR//rdoA//hyfF//rffC//flgB//yegR//ssb//yiiS//nanC//fnr//ssuE//sucD//ddpB//ulaG//fabA//yqhG//nohA//
RcsB-BglJ	cysM//cysG//dhaR//flhC//yrbL//nrfD//dhaM//metQ//purH//pagP//glnA//glnH//treB//ynfG//paaD//ftsQ//
RelB	oppC//yhdW//hcaR//
RelB-RelE	ydcV//zntA//caiA//
RhaR	fdnI//artI//
RhaS	phnK//astC//metB//wecC//waaY//ydhX//
Rob	betB//tolC//glgC//cra//ydcU//argF//recF//pgaC//rclC//tsx//bioC//cas2//phnC//nanA//nanA//pgpC//tyrP//fadH//rffH//tadA//fliZ//gatB//hycG//sdhA//uidA//ydeM//
RstA	deoA//yfdV//leuB//pheT//pspG//mglB//metB//mdtC//flgN//rutB//
RtcR	ugpE//melR//
RutR	slt//lpd//mtlR//grxD//csgD//fecA//fabB//safA//rutC//gspJ//hycC//luxS//lldP//pgi//murF//glmS//trpC//
SdiA	ssuE//glpQ//mpaA//hyaB//ybjC//
SgrR	tpiA//argD//trxC//wzxE//aspC//paaK//ydiU//nanM//yjhB//
SlyA	glcG//
SoxR	ybhR//ompT//ompW//
SoxS	mglB//bioF//metK//wzc//umuD//nimT//recC//recB//hyfC//cspI//ydbK//ssb//yjjZ//ulaC//ydcT//casD//fliI//casB//rffT//fepA//hybO//pflB//ydeI//yhcH//srlD//tcyP//iscR//glnG//lpxC//fliZ//kdpB//pstS//gspO//gadB//betA//truB//phoP//cecR//hisM//mraZ//
StpA	cpxP//nrfE//leuL//ogt//leuC//flgH//pgk//
SutR	aspA//bamE//nimR//atoA//purN//
TdcA	hcaD//lpxA//cvpA//ulaF//fruB//nuoI//xylH//
TdcR	nuoI//ubiX//yhdX//metY//nrdI//ddpC//dctR//
TorR	iscU//caiB//gspE//yafQ//yjhB//fhuB//cysP//nrdB//yagK//hisP//dicB//talA//
TreR	ybhF//nikB//
TrpR	cpxA//gspJ//fhuC//hycH//fruB//phoQ//bioD//pgaC//nrfD//acrZ//flgD//paaA//
TyrR	yafQ//entH//yqjA//lpd//mngB//nirD//rdoA//rseB//mtlD//nmpC//mntH//zinT//
UhpA	adiA//
UidR	hycI//dinI//cpxP//alkB//
UlaR	ygiC//citG//trxC//gltJ//fecE//puuA//ung//
UvrY	gloA//phoQ//ssrS//treB//ompN//
UxuR	gntP//rclA//agaW//aspA//intQ//zraR//accC//prpE//hyfG//
XapR	ftsI//ssrS//
XylR	lpxD//hycF//talA//wecC//gltK//gcvB//melB//
YdeO	feoA//paaC//nrdI//zinT//wzzE//gspK//glpD//emrA//ptsG//hycF//rbfA//hycG//entS//tyrP//iraM//yjbF//mdtE//fliM//rffC//rimP//ygdB//
YedW	argT//ttdA//relA//ibaG//nanE//lhgO//cecR//yhdX//ulaD//uidB//pdhR//pheT//
YefM	thrS//nuoJ//
YefM-YoeB	cysI//adiA//
YehT	gadA//
YeiL	decR//
YiaJ	slp//hcaE//flgD//folA//yeaH//treB//lysC//hyfC//tolC//cyoC//
YjjQ	fucK//nagB//ybaS//purA//ftsA//nrfE//higA//purC//intQ//tyrP//
YpdB	higB//
YqhC	mhpF//asnA//
YqjI	tauB//efeU_2//
ZntR	bglF//
ZraR	gcvP//katG//hyaE//
Zur	glpB//baeS//dpiA//glpT//argE//rdoA//
