#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yqjI//marA//
LexA	fliT//melA//yagK//alaS//ompC//ddlB//ptsG//wzxE//csrB//mdh//kdpB//rhaA//chbA//ihfA//yeaR//glpX//galK//flgJ//deoA//gcl//nrdG//xapB//argG//yedX//dkgA//ydhW//tyrB//leuC//ugpB//fabZ//gspD//dsbG//nuoH//hypA//uvrA//eno//paaD//dinG//treR//dicC//norR//tonB//gspG//gcvA//iclR//ybdZ//skp//poxB//lysP//fliF//wzb//ppiA//cysJ//rnlB//lysO//artM//dinJ//creC//fldB//
LldR	ydcS//rdoA//umuD//
LrhA	hyfC//phnC//eda//citD//
LsrR	glpF//pgaD//modB//hlyE//mdtD//pagP//tolC//cysA//tnaC//
LysR	pyrD//uspE//
MalI	nanM//ppiD//norV//
MalT	pdeH//ycgZ//ompC//creC//fnr//glgA//ycjG//ycdZ//fliG//pfkA//
MarA	pepD//hypA//creD//fepB//uof//fliA//uxaB//dnaA//ydjM//dinI//crl//argI//efeU_2//metY//cydA//lysR//yidL//ycdZ//mlc//ogt//gadA//aroL//rffG//lpxD//uvrB//trpR//mntH//oppD//phoR//codB//pgaC//ydfD//uspA//ariR//xylG//ygiB//yegZ//fucK//
MarR	frdB//lsrR//lysA//
MatA	pheS//ahpC//ytfE//leuD//dkgB//yciG//flgA//nupC//
MazE	ilvY//emrK//caiE//
MazE-MazF	glnG//entC//tdcD//
McbR	uhpT//fecA//ynfE//yjhB//
MelR	ydeI//accD//inaA//
MetJ	fixC//rpsO//phnN//nrdG//tauD//iscA//pykF//mhpD//artI//ydcV//ydeI//phnO//treB//fecC//hypD//
MetR	ydiU//thiQ//phoQ//asr//cysC//
MhpR	sbmC//rcsA//mhpD//rutC//argO//glnG//
Mlc	appY//trpA//nagE//ynbC//pck//molR_1//gadX//speA//fepG//nikA//
MlrA	ftsL//malK//dcuS//eda//ilvC//fliF//yeaD//pykF//fucU//frdA//
MngR	katG//udp//lpd//
MntR	gatA//uhpT//appX//metR//argI//
ModE	mscM//rcnB//wzxE//entB//moaB//nimR//dgcC//caiE//kbaZ//patD//mglA//hybD//mqsA//carA//cyaR//recC//setA//trpA//hyfH//pspC//argF//aceF//appX//infB//cysA//fbaB//ydcT//uidR//fbaB//fbaA//ydfE//yfbR//fruK//citX//metC//glmY//csgG//relE//yfdX//osmY//hypD//yrbL//fabB//dsdC//cdd//glnP//
MprA	dgcN//yedX//glxR//sufA//paaC//manY//
MqsA	garK//galT//ptsG//moeB//cyoB//dhaL//flgA//metB//
MraZ	ynjI//nanC//agaA//lsrD//trpB//cpxP//acrB//znuA//yafQ//dsdA//ompW//flgD//safA//bioC//lacZ//fabH//fliL//
MtlR	yoaG//fliA//alaC//
MurR	hyfE//hyfR//wecE//
Nac	deoC//gadA//rplU//ykiA//rbsB//gatA//fepB//setA//dps//cusA//amtB//astD//rarA//atoB//fadD//melR//ygbK//phnI//mdtE//glpT//flgK//
NadR	pepA//oxyR//cynS//malF//
NagC	grxA//cheW//rcsA//potG//recD//gspF//nrdB//fucI//slyB//wcaB//rhaB//mngB//xylG//hycE//frdD//manY//phnD//flgF//rnpB//leuC//ymgC//ybjC//lsrD//pitB//cysI//puuC//citG//tisB//fbaA//ddpC//metI//rcnA//garP//nanA//rffG//nanS//pdeL//
NanR	ydiV//glgA//glnL//lldR//relE//lamB//metB//oppD//btuB//ccmF//asnC//
NarL	malK//glnQ//fliM//nuoL//rbsA//dapD//icd//cynR//lldP//glnL//ptsI//rpiR//rclA//pdeL//phnM//treC//phnJ//cueO//relB//yegZ//cdaR//sroD//murD//aroM//cyaR//argP//rbsD//nuoB//alsE//aroH//atoE//sucD//ruvB//alaS//yiaJ//sulA//htpG//moaC//araC//tyrR//zraR//hycF//purR//patA//srlA//flgD//ppdB//sroA//prpC//galS//gadY//ppiD//pspA//ydjM//glnL//phnJ//sdhD//folE//ybdZ//metB//aspA//metI//mdh//mdtD//yafO//fbaA//tsgA//iscU//lsrD//cysK//gcvP//malT//sroA//gspE//hokE//aroM//nagE//hycE//napF//galM//ycjF//yfiB//fpr//entB//flgI//mqsR//astB//yagK//ybhR//yhjX//chiP//sroA//araC//fliF//focA//entA//cysJ//acrZ//lysR//lpxD//grcA//tsgA//katE//potI//uvrC//metI//agaI//csgE//ccmD//purD//mhpF//ygiB//entF//gspJ//rybB//patA//galK//paaI//hisM//phoQ//ulaA//yhbS//nikB//
NarP	nikR//ecpR//speB//fixX//hslJ//hcaB//yhjX//nrdH//glpA//ycdZ//lyxK//fliJ//ompF//metC//yiaJ//cysW//mtr//putA//flu//focB//gadX//mcbA//ftsL//fhuB//xylF//cheW//ulaD//phr//decR//agaW//glnD//fixX//hyfB//cadA//poxB//rplU//yneM//araB//fhuD//gatB//sodB//nfuA//cspD//ompW//lsrG//srlD//ygiC//glcD//nuoA//gatA//
NemR	agaC//cusF//yjeV//
NhaR	nagB//glgP//mcbA//lrhA//allC//glnL//dinD//
NikR	hycC//phoR//melA//recF//mraY//cheW//
NimR	yqjI//gcvP//
NorR	ecpR//sgbH//add//
NrdR	appA//fliP//lacA//trpC//cheW//glcB//acrA//astC//dsbC//
NsrR	artQ//arsC//rsmH//gyrA//uspA//rutC//osmB//nikB//yqaE//ycgZ//gcvA//hypA//cynS//metK//aceE//purL//manZ//yhbE//glnD//pgaA//ycjF//ydhU//thiQ//ogt//cysM//ppiA//ybiT//ugpB//mioC//paaC//fadB//poxB//asnC//yqhD//melA//yhbT//rcnA//rpiR//wcaB//soxS//relA//gspI//bglJ//tisB//yfdV//entE//mntP//betA//cspE//lsrG//lpxC//hyfI//edd//aslB//acrD//kdpF//cyoE//nuoK//hycA//glcF//zinT//nikC//artQ//rnpB//appC//glnB//gatY//murC//dsbC//appA//cheA//wza//kdpC//uhpT//gltF//glcC//nrdH//uhpT//osmB//ybhG//puuA//murP//hypA//
NtrC	fliJ//metR//tdcC//seqA//nagC//ptsG//adiC//hcaD//fliZ//dinI//allS//yccA//gltL//chbA//dgcZ//ynbC//yqhD//marB//recX//dps//prpE//caiT//emrY//hisM//rseB//cyoE//yneM//rarA//dnaG//rpoD//yciE//pstC//hybC//ybbW//rbsA//dctR//cysK//ptrA//rutB//ssrS//yjbH//trpL//lacZ//fadA//uidR//wzb//csgB//alaS//nrfD//
OmpR	obgE//entF//pflB//rutC//cpxQ//flgI//sdhA//phnL//zntA//ssuA//hypE//araH//tyrP//kbaZ//yafQ//glpC//csiD//codA//garD//hybE//ulaA//
OxyR	treB//ybhG//rarA//glgA//atoE//nuoJ//nupC//adhE//cysH//codA//ydcS//csiD//nupC//dinQ//mazG//malQ//obgE//hycI//tcyP//ulaB//ccmC//ydfH//dkgA//glyA//dsdC//recB//cyoA//gcl//purC//rdoA//nuoM//higA//phoA//crp//
PaaX	recN//ynfE//gcvH//mdh//argG//csgG//iscS//accD//ugpB//cyoB//dctR//tdcD//hybA//oppD//
PdeL	mgtA//
PdhR	metF//rob//bioF//yhiD//cydB//tolC//fepD//lamB//dtpA//deoC//nrfC//agaD//psiE//glgA//rpiB//feaR//rutA//gudD//betA//dmsA//yjhC//yjjQ//ttdB//mazE//rcsA//cvpA//srlR//omrA//gspD//rpsU//recN//yibQ//nanA//yhbS//phoU//nikA//yedX//asnC//nuoG//wzyE//gadE//
PepA	glyA//lldR//fadJ//
PgrR	ygiB//fadR//nrdB//nrfD//metB//hyaF//frdD//cysW//
PhoB	chiP//creB//glnH//ftsA//mraZ//puuC//ymgA//ugpA//inaA//rnlB//ydeN//potF//hcaC//pqiB//aceK//murR//fadI//phnL//glgP//murR//gcvP//safA//araJ//rpoS//dhaR//mdh//pstC//hemL//hyfA//pstC//lysR//gltL//nohA//cusC//ybhS//fnr//cyoA//creB//betI//glcC//fliP//insK//gnd//argE//napC//nrfD//bioC//ybhG//ychF//poxB//metC//paaE//acrD//phoA//fadH//entE//sgbE//phoP//creA//murC//
PhoP	ygaC//hyfB//truB//metB//acrD//bolA//fucP//aidB//melB//yhdX//hyfR//fepD//aceK//cusA//malG//mhpE//ssuB//ymiA//uhpT//yidL//oppF//ydiU//edd//artJ//flgJ//fdnH//isrC//hybO//dnaN//phoP//aspC//moeA//omrA//metR//bdcA//hdeD//hycG//rhaT//cyaR//sgrT//trpL//csgF//moaC//puuR//adiA//sgrT//yegZ//gltJ//gcvH//omrA//manZ//hyfR//phr//phnL//torA//znuA//
PrpR	dicC//cdaR//hybC//yefM//glnL//
PspF	eda//ytfE//bglG//rffH//marR//nrfE//metH//
PurR	fadL//glnG//dsrA//cdd//cysK//oppB//ugpE//hcr//fixX//ynbC//argH//aceA//purL//fdhF//pykF//bluF//ycjX//hipA//idnR//mngA//chbC//rbsC//fecB//ydiU//umuD//gltL//hycD//wecE//ompW//lsrA//lldP//
PutA	ttdR//frdC//
PuuR	flgK//mntH//malT//gudP//cyoA//gcl//fbaA//
QseB	kbaZ//sucB//lsrK//glnG//
RbsR	sfsB//phoR//nanT//rclA//asr//potI//mdtF//allS//sufS//
RcdA	yhdX//umuC//alaS//lysA//metA//glmS//rutE//sgrT//mazF//
RclR	cysW//pstB//sroA//
RcnR	mntH//dcuR//ruvA//
RcsAB	dicC//yccT//phnH//ybhF//emrA//gpmM//tdcE//ddpC//ygiC//sodB//nrfF//znuA//hyfA//ycgR//aroM//insD//
RcsB	decR//zwf//polB//rhaR//ynbA//rclB//agaS//bioC//omrA//flgF//lsrG//agaC//phr//gltF//glcG//leuL//glpQ//ulaE//uvrY//ecpA//yegR//mngA//hmp//rutF//pgk//
RcsB-BglJ	uspE//yoaG//zntA//pck//gadA//dinI//dctR//recA//insK//lsrF//ybbW//mnmG//mazF//citE//rffC//ulaF//
RelB	higB//mzrA//yeaD//
RelB-RelE	fliZ//araG//mglC//
RhaR	ubiA//hyfB//
RhaS	polA//emrA//ydbD//tdcG//fepA//tonB//
Rob	emrY//ccmG//ynjI//prpD//lpxC//gatC//sgbU//murD//lsrR//mltF//ybbW//fldB//metK//ybaS//argE//metK//mgtL//nuoM//glcE//nadA//hyfB//rhaA//yiaN//nuoB//pgaD//cysG//
RstA	ruvB//lsrF//potF//tynA//uvrY//aldA//cadC//uidA//ykiA//ulaG//
RtcR	gspK//nikB//
RutR	yebG//yegZ//dnaG//fecD//cyoB//flgC//metL//glnD//cydD//bioC//hmp//glpX//fliI//infB//ebgA//trpC//fdnH//
SdiA	fhlA//ppiD//ydfW//ldtD//tolC//
SgrR	ynbA//malX//fliP//grxD//ygiZ//metR//glmY//lrp//slp//
SlyA	prs//
SoxR	mhpE//ldtD//lsrK//
SoxS	asr//molR_1//pdhR//xylH//hha//arsB//cysU//fecD//oppF//fhlA//rbsA//metB//appC//agaI//murC//ydfN//hycE//yciE//tnaB//flhD//borD//gltL//rutA//yoaG//betI//argE//rffG//phnF//wecC//acrA//ygaC//cysM//mdtA//rbsC//feaB//fucK//potG//fepC//paaG//ulaB//
StpA	gltJ//argI//fucO//mdtB//metL//sucB//pstC//
SutR	kbaY//fabG//mhpC//mscM//nagC//
TdcA	malK//agaC//evgA//alkB//cynR//metL//chbC//
TdcR	yaiW//yibQ//atoD//ulaE//gfcA//emrA//manX//
TorR	ydfX//moeB//nimR//exuR//caiA//cyoA//accA//napD//uvrB//cadB//fliC//hyaF//
TreR	ymiA//chbB//
TrpR	torR//araJ//atoA//isrC//fliT//dgcC//fadM//lon//araD//rpoH//ibaG//ompF//
TyrR	pspB//ftsK//trpR//nuoJ//uidA//yfiB//metF//fliQ//sfsB//poxB//hipA//pgk//
UhpA	prpD//
UidR	dgcC//lrp//yjbG//ompC//
UlaR	mntP//garL//cydB//lsrF//iscR//lgoR//srlD//
UvrY	fruA//rtcB//ruvB//sdhD//pstA//
UxuR	puuP//recC//yfdE//deoB//sgbU//uidB//ybiT//rpoH//infC//
XapR	metL//recB//
XylR	rutB//galE//ycgR//lsrB//fucK//yiiS//ariR//
YdeO	rhaR//cysE//dinB//rpsO//znuB//metR//yhbT//mpaA//gspL//hyfB//icd//cyoB//cadA//phoH//hycG//uvrB//agaC//caiC//fucU//sdhA//ccmD//
YedW	pstS//csgD//artP//aroP//bglF//entA//ynfK//fecD//fliF//tpiA//cas1//cydC//
YefM	patA//yqhG//
YefM-YoeB	ydfW//ybdZ//
YehT	rpmA//
YeiL	ssuE//
YiaJ	ddpX//aroH//putP//sfsB//nuoN//fliD//mngB//osmC//phnM//idnD//
YjjQ	agaC//cas1//sodA//yoaC//yncE//ycdZ//lacZ//feaB//cysK//hyfH//
YpdB	gadX//
YqhC	ada//pgm//
YqjI	carB//hybF//
ZntR	ecnB//
ZraR	ddpX//frdA//pdeL//
Zur	lsrF//alsB//flgM//yaiA//nuoE//cadA//
