#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	glpT//sucD//
Cra	rhaS//argB//ftsQ//carB//fliR//glpD//fruK//hypE//yneM//cysE//ydjM//tfaQ//cbl//potF//yhbS//spy//allA//hypD//nhaA//hcaF//aspA//uvrC//pspE//alsB//ssuC//yfiB//fixX//fliL//rutG//glpA//argO//rpmI//ptsH//yiaK//motB//cho//ftsI//yfaE//sufE//yccA//pspE//ybdZ//wzzE//garR//hcaB//mnmG//argG//srlB//potI//rutC//rclA//ampC//oxyS//metY//cysD//nrfD//rpiR//patD//ulaD//appB//ydfN//dhaR//galP//hmp//yjjQ//rplT//flgB//mpaA//malE//ulaC//yhiD//metL//adiC//entA//rimP//dicC//rpiB//fpr//ynbD//
CreB	uvrY//ribA//rcsA//purC//yidQ//
CsgD	recA//yjjQ//fixB//entA//rhaR//ldtB//uspD//rnlB//hyaA//deoB//gdhA//tsgA//insK//puuA//garK//rstB//puuR//waaY//epd//zraS//waaY//fdhF//aslB//lsrC//bdm//yciE//nanE//tktB//
CsiR	yqaE//paaG//hyaA//pspG//yjbG//
CspA	nmpC//prpD//
CueR	leuB//citF//hisQ//dmsD//frc//gatB//gspM//
CusR	asnC//moaB//deoC//cydC//dctA//yccJ//fliP//alaS//yoaC//fdnI//yhcH//rclB//
CynR	copA//rpoS//gntU//betT//
CysB	patD//glpX//fur//hcaE//sdhC//serA//argE//dinQ//slyB//fliQ//pnuC//bdcA//malK//sroC//metR//agaV//yrbL//gspI//yedX//relE//paaD//paaH//tyrB//pdeR//glnL//yoaG//purE//skp//agaC//psiF//pdhR//ldtC//
CytR	fliZ//zwf//hcaR//fabZ//betT//norR//acrB//bglG//rffG//fabD//infB//amtB//ecnB//
Dan	ppiA//yafP//csgE//molR_1//
DcuR	cusR//hyfB//yfdE//phnP//higB//fruB//gspK//csgD//hydN//
DeoR	fabB//rpmA//cysH//norV//pgi//gadY//
DhaR	cdd//uxaA//lpd//omrA//
DicA	dacC//btuB//lsrK//casE//luxS//ygbK//cyoE//citC//
DinJ-YafQ	pstS//flhC//slp//
DnaA	ptrA//nuoC//appX//gspO//icd//entB//tauC//uidC//gabD//hydN//pgk//fucA//
DpiA	narH//fnr//bacA//ppdB//melB//flgJ//fpr//fliG//mglB//tpiA//argF//
DsdC	feaR//ogt//malI//
EbgR	xylA//pstB//
EnvR	luxS//wza//
EnvY	hcr//cysJ//
EvgA	ydhU//casC//yjjQ//sucB//ydeM//frc//rcnB//cysW//nrdH//obgE//aroG//modA//ydhX//ygiB//nuoI//umuD//acrR//yecT//cspD//
ExuR	marA//fixX//iscR//aldA//kdpF//frdD//torD//thiQ//hyfH//
FabR	ttdR//aidB//
FadR	araA//srlB//phoQ//hyaD//fliI//caiE//marA//fruB//mngR//rpmI//ydcT//citF//hcaD//leuL//flgJ//gspH//rcnB//pykF//sroA//moeB//alaS//dsbC//lysP//
FeaR	citF//ydiV//
FhlA	nhaR//murI//sgbU//pspB//hlyE//flhD//nuoI//phoA//pncB//gnd//safA//casD//znuA//tyrR//hybB//rcnB//csrC//phnJ//yfaE//gspO//ynjI//arsB//tdcE//fdhF//rffT//hyfE//nfsA//malI//cbl//fruK//
FlhDC	napC//kdpC//malP//allE//fimE//yneM//cpxP//cusS//ptsG//decR//recD//phnE_1//dkgB//purC//cyaR//crp//tyrP//hflD//yecT//psiF//ecnB//glcG//fadH//oppB//tolC//rbfA//polB//cspI//fepE//hipA//adhE//dcuD//molR_1//hcp//hybE//emrA//torC//yncE//phnH//accC//ydeN//cheA//lrp//rprA//metL//rseC//ddpX//cydA//fhuD//symE//csgF//agaC//moaE//sucA//nac//glxK//rclB//rpsO//gspF//fepB//yccJ//appA//nikD//yafP//yqjI//tynA//fixB//tomB//mhpF//glgA//ybjG//dapB//aroP//ybhS//glpK//fadB//malZ//pqiA//dinJ//fucU//hybC//bioB//
FliZ	rclA//ubiA//hyfC//exbB//phnC//dcuB//safA//speA//icd//guaB//cusS//citG//nikA//accB//hdeB//poxB//caiE//ydbD//gor//sulA//deoB//
FucR	metB//gadX//mdtD//murC//wrbA//cysE//ilvY//
Fur	dmsA//phoB//rybB//yjbG//pgaD//sbcD//nrdH//appA//pdeL//alaC//gltB//ynfE//feaB//flgC//nhaA//ulaF//cysB//flgM//purF//yiaJ//ampC//purB//narG//gudP//rseC//mdtD//gutQ//leuO//murE//srlR//rclC//gudD//metC//sgbE//nupC//napG//wzb//srlA//srlE//yccJ//phr//ycjY//acrR//murF//csgA//glpA//araD//bglJ//gltK//cadB//pepA//gpmM//ydeO//nrdI//nac//dmsA//nikA//ymiA//nrfF//bglF//argO//nupC//pheT//uspE//yeiL//fliZ//icd//allC//acrZ//yeiL//pdeR//nuoL//tauA//pgi//cysB//recN//betB//ssuD//cysI//tdcA//lsrK//phoB//katE//cysD//borD//pitB//glnG//fucA//slyB//prpB//pspB//ulaD//argG//fdnH//gspH//ybaS//aslB//fliH//fruK//molR_1//thrS//exbD//nupG//ribA//nrfF//gcvH//ccmE//fadB//lamB//mhpE//nimR//yafO//trpE//yccA//mtlD//ldtC//yoaG//argP//sgrT//pspF//phnM//mglB//kbaZ//nanT//pheM//dnaG//oppB//phnK//yfbR//rhaR//
GadE	adiC//asr//ulaA//tcyP//dgcC//molR_1//nfo//grxD//phoQ//ymiA//nagE//dcuB//hyfI//caiE//ulaA//acrB//ilvY//ydeP//cysJ//fecA//rseB//ruvB//speB//btuB//rhaT//yiaN//insD//pspB//ybhR//
GadE-RcsB	sgbE//lysP//citF//cyoA//flgA//relA//ydcS//fadJ//yneM//
GadW	btuB//wrbA//fixB//araG//tam//entH//cysD//sufE//znuC//gntX//argO//ygeA//hisQ//argH//nupC//
GadX	fliZ//nagE//sbmA//wza//lsrC//envC//speA//entF//udp//bdcA//ccmA//flgG//aceA//dcuR//purL//araH//fliM//moaD//leuO//hns//yqaE//ribA//mhpA//gltB//modA//yedX//yciG//yrbL//ppdB//
GalR	narL//ibaG//uidC//entB//cynR//moaD//ulaF//fldB//nmpC//rtcB//
GalS	gspD//treR//srlR//sdhC//sroD//caiC//nikB//cusC//cusR//dkgA//
GatR	metC//bacA//yeiB//ynjI//nuoM//ymgC//
GcvA	ygiB//gpmM//fecE//ddpB//yccA//
GlcC	osmB//metL//melA//rseC//mglC//rseC//higB//
GlpR	arsC//ftsQ//gltJ//hyfD//ftsK//aceE//crp//flhD//sroC//
GlrR	alsC//phnI//malG//yoaG//serA//
GntR	paaH//ydfD//appX//ttdA//pspF//cysH//purC//yegZ//hycC//rpiR//pstC//emrB//
GutM	bamE//sufC//entD//seqA//mhpE//glmY//dinJ//
GutR	cusA//cynT//nfo//nimT//zwf//yciE//acrD//
HU	alkB//hypF//uspD//moaA//yeaH//yiaK//tpiA//mdtD//gspM//
HcaR	aidB//hdeA//baeS//gcl//fucO//ygbA//
HdfR	pdeH//purM//purB//ulaE//hyaB//
HigA	lpxA//ymjC//
HigB-HigA	gspM//agaD//
HipAB	mipA//ppc//yegR//fhlA//csrC//
HipB	atoE//napA//ttdR//rimK//glmU//gspI//
HyfR	aldA//cspI//hycG//nupG//pagP//dsrA//mioC//hybO//astA//hypD//dinG//fabA//
HypT	iraP//ogt//chbF//nrdB//wzc//uspD//aroM//lldR//umpH//yidL//rstA//entC//argF//
IclR	ompN//nusA//guaB//dmsB//
IdnR	caiC//gcvB//dhaR//araJ//wecC//yhdW//purL//
IlvY	phoR//pncB//
IscR	yqaE//fimB//wcaB//ndh//sdhD//csgE//dkgB//psiF//argC//yoaG//gltF//ulaF//uvrA//glpD//phr//glxK//yccA//yncE//ttdA//argF//fecB//nrfC//intQ//gudP//caiD//pgm//moaC//mngR//phnH//idnR//ftsQ//nrfC//
KdgR	nagC//murE//
KdpE	caiD//sgrT//fliO//recB//
LacI	hybG//yoaC//hyi//
LeuO	ulaD//torC//dinB//evgS//malF//puuD//ttdT//feoC//flgK//guaA//mdtB//yafO//acrA//iscS//gspH//melB//adiA//ydcS//yciF//yccJ//
LexA	ccmG//fruA//gadB//lysO//hslJ//glpT//ogt//gadB//murG//cysK//ccmB//emrK//casC//rstA//omrA//dsbG//ybfN//agaA//gyrA//pstC//mazG//rnlA//gltJ//accB//hyfC//tyrP//nuoN//ugpQ//argG//potF//murE//yjhC//fdnI//pgaC//flhD//phnI//phoA//purM//hycE//rutC//fruK//rhaB//rbsB//gnd//deoC//yhiM//nusA//yciE//arsR//crr//crp//ydiV//ulaC//mntP//dinG//grxD//pgaD//slyB//nemA//
LldR	ptsH//glk//cysM//
LrhA	zwf//asnB//nuoH//pspC//
LsrR	kdpC//leuB//ydfH//deoB//hycF//iscU//yjjZ//metH//nanE//
LysR	ftsL//oxyR//
MalI	gntX//malZ//fadR//
MalT	nemA//hypC//cytR//astD//malX//flhC//ugpB//sodA//sufS//ymgC//
MarA	nmpC//adiA//paaB//tauA//allC//fadI//puuA//wecC//alsB//bioC//garP//ykgO//galM//lpd//asnC//malZ//chbC//gspI//cpxQ//rfe//nemR//nuoF//ompF//fucA//ttdA//puuE//glgP//cusR//tdcC//dcuS//cyoD//mhpA//codA//fixC//hcaB//recB//nrdH//ybhG//
MarR	cysG//fldB//xapB//
MatA	appX//nrdI//pheM//dicC//pstC//ugpB//paaD//ftsI//
MazE	ddpX//fadA//cpxA//
MazE-MazF	glnH//glnB//fiu//
McbR	phoE//gntX//feaB//ftsK//
MelR	ptsI//rpiB//ydcT//
MetJ	fliC//uvrA//ydcU//nhaA//lysP//ygaC//gatC//appB//ecnB//flgF//nrfA//idnR//sufA//ccmC//garP//
MetR	nanT//lhgO//argB//rsmH//melA//
MhpR	entS//argA//motA//dinD//paaY//artM//
Mlc	rpsO//ftsA//pgaB//mraZ//rsmH//accC//paaZ//yccJ//fruA//sufA//
MlrA	xylF//hokE//nanS//katG//yeaE//ppc//chbA//nanK//glmU//csgA//
MngR	dsdX//glpF//argP//
MntR	osmY//tynA//thiQ//glk//astD//
ModE	ydeN//ftsK//ydbD//purM//nrfF//waaH//flgM//trpD//lacY//puuD//ynfE//nirD//pspD//puuC//phnE_2//csgD//pheT//mprA//pitB//ygeH//ygbA//hyfR//sodA//aroP//yhjA//codB//yefM//cusA//bdm//isrC//fadM//aspC//dinD//ppsA//feoB//dmsB//marA//ybjC//ynfK//norR//mdtD//marA//hisJ//caiE//cydC//nemR//
MprA	csgB//yjhC//yebG//inaA//sdhC//yiaO//
MqsA	potH//dpiA//rclC//ydbD//rutC//citE//emrA//asnC//
MraZ	torD//ybaS//rimP//malE//flgH//yncE//phnG//nrfA//metY//wzc//zraS//pflB//uxuR//nanE//recC//crr//yqhD//
MtlR	slt//aidB//gltK//
MurR	fepE//araF//lyxK//
Nac	ybhG//allE//frdB//recD//nrdH//sufE//kdpC//fecA//ruvA//aroL//araD//phoB//rutC//yiaO//pnuC//insK//cusA//hlyE//yfiR//pgaA//oxyR//
NadR	yfdX//gadA//malZ//csgF//
NagC	ptsH//artJ//phnF//agaI//galM//frdD//fabB//flgI//malT//yfbR//gapA//zinT//molR_1//astE//murI//nrfG//pyrC//yhbS//sbmA//idnK//ybhG//glgC//nrdB//iraM//yegZ//nfuA//acrD//nanM//glcG//lrp//dinI//alkA//gspD//torR//uxaA//murF//aceA//
NanR	mdtB//mqsR//ydbD//yhiM//micF//fecI//ygaC//napD//argA//ftsK//rob//
NarL	leuC//prpD//rpoH//yjhC//fabZ//tam//kdpF//tauA//lhgO//gdhA//rdoA//prpE//ldtC//qseB//phnL//deoD//ampC//sroC//ymiA//recX//flgG//betT//phnF//tauB//rimP//tynA//entB//lacY//hycD//ydhV//ymjC//nagB//cynR//erpA//ddpC//ecpA//csgD//acrA//pncB//cadB//cas1//sufS//cpxR//mazF//creB//dcuB//ccmC//recA//phnM//malK//pheM//speB//mdh//dcuA//phnJ//mhpA//gcvP//yecT//yfdX//lexA//fdhF//nrdA//gcl//pspG//adiC//hybE//tyrR//fbaA//nanC//cysG//uvrC//copA//ung//argD//argG//leuO//yciF//tnaC//ygbA//carB//purD//rcsA//rpiR//nemA//purL//ygiB//ptrA//chbG//rpoE//ygeA//sgbH//csgD//puuP//ccmB//flhA//moeA//araC//cynX//atoA//yhdY//hybA//gor//ugpA//purB//fecD//yoaG//rffH//emrB//fes//dmsD//galR//modA//hdeA//flgN//manZ//hflD//yciG//cueO//betI//sdhA//patA//nupC//inaA//
NarP	flgM//dsbC//ssuB//tdcG//fliQ//cysN//ugpB//nemA//fliR//glpT//narG//ydhT//fbaB//metN//zraS//bglB//nmpC//ddpC//ssuD//puuD//fhuE//sucB//srlE//paaB//lexA//yjbG//rffM//mhpC//mglA//dinB//fecD//ftsA//ptsH//frdD//acnA//purB//malQ//ndh//malP//rutF//galE//gcl//ccmD//aceK//nrfD//creD//trpB//cirA//glcE//napH//
NemR	hycE//fepG//uvrD//
NhaR	recX//phnE_2//cynT//ynfK//dinD//talA//gntP//
NikR	glxR//cusS//wrbA//cysE//recC//cpxP//
NimR	gspO//mzrA//
NorR	hycC//atoE//mdtB//
NrdR	rybB//norR//sucC//pdeH//emrY//ssuE//citX//agaC//hisM//
NsrR	ssuD//tdcF//fadH//ybhL//ygiC//yecT//ccmF//mdtC//fucU//flgC//uspE//hslJ//idnO//yrbL//sgbH//rbsK//ynjI//gnd//glpA//pspG//lsrC//cysE//nlpA//ttdT//exbD//fucK//xylA//wzzE//galE//asnC//ynbD//ddpA//hycA//uxuA//yhdW//gcvA//sodA//modB//nanM//puuC//tehA//nikR//hha//exbD//hyfJ//nuoK//nirC//cysW//pykF//phoB//ompT//sutR//tehB//dsbG//casA//glk//yhjC//flgC//accC//ynfK//tehB//ihfA//pagP//gspM//agaD//adhE//astA//hyfB//recC//infB//sucB//uxaA//yegH//fliM//gcvP//metY//aldA//hyfF//garR//glyA//mglC//yeaE//rbsK//
NtrC	aroP//metJ//yfiR//cysK//nrdE//torA//ryhB//ulaG//nadA//glpX//leuA//nohA//ppdB//tsr//flhD//narX//ompC//tolC//trpR//mdtB//soxS//ugpQ//tktB//hydN//yhhY//uvrD//hyfE//uvrA//napC//rbfA//paaG//dinF//sucA//yccT//tsgA//rpiB//astB//narG//ompF//nikE//norR//napB//purR//patD//murD//insK//ulaC//gspO//gntT//
OmpR	cpxP//agaA//fadD//gspG//nrdE//intQ//mhpB//eno//hycH//yaiA//phoE//rplT//leuL//fadR//deoB//ycjF//flgN//nuoG//puuD//nikD//phnM//
OxyR	fimE//ybbW//gspE//ynjI//sra//cynR//dmsA//nirB//acrR//ybhL//trpR//dsrA//ymjD//chiP//hslJ//yfaE//tyrA//csiD//ccmF//ttdA//hcp//uxaB//mhpD//lacY//feoB//hyaD//argO//narL//ycgR//ryhB//rarA//gntT//nhaA//narH//
PaaX	osmC//serA//ydfE//prs//murD//malM//speB//sgrS//ynbA//flgG//alaC//nac//ynbD//gspK//
PdeL	psiE//
PdhR	yjbE//betB//phr//yefM//bioF//ecpA//fliZ//mqsA//fabI//cyoE//casC//ldtC//fixB//eno//ygiB//cyoE//purE//paaZ//dhaL//psd//codA//dacC//ykgM//ecnB//lacY//ycgZ//ynfE//paaI//flgI//pflB//uvrA//tehA//nrdD//lyxK//mntP//bglB//recC//rarA//tsr//nimT//udp//
PepA	cyoD//fbaB//mhpA//
PgrR	norW//hcaE//paaH//pflB//oppA//malX//galP//ariR//
PhoB	tynA//hycA//fliK//malX//grxD//metC//mdh//hyaF//norR//phnN//tyrR//uspE//torC//manY//hokD//rffH//srlB//casC//ftnB//napG//yafP//ykiA//katG//skp//fdnG//uxaB//flgB//manZ//dcuA//gatA//astC//cbl//paaZ//lsrC//hycE//galK//ppsA//lacA//flgL//tyrA//glgB//tdcF//yciW//phnC//ycgR//ppiD//cusB//nuoL//hmp//nagA//bioC//gatY//purN//xylH//fabG//mtlD//ybiT//paaY//uxuA//nanC//
PhoP	xylB//ppdB//ascB//nohA//cysN//fhuC//pstS//trpA//glnP//ykiA//chbA//pgpC//yhiM//ldtC//fucO//aroH//carA//insD//gltF//lldP//serA//bglG//chbR//sbmA//gatC//csgF//ppdA//metQ//nrfA//lacA//glnB//nuoI//pgaB//nrdA//gspJ//lacA//cydB//nrfF//creD//csgB//dnaG//sgbE//uxuA//ptsG//nanK//folE//hyfA//nrdD//yiaN//dinQ//hokE//zraS//lldP//flgG//uxaC//trpA//
PrpR	nanS//safA//yiiS//ulaF//rnlB//
PspF	betB//torD//gltK//ydbD//dinD//metC//ndh//
PurR	fadD//tsx//wzxE//ung//dmsA//fliD//lysO//moaC//cbl//narX//yfbR//hflD//ybhL//nikD//feaR//mpl//hyfE//hycB//mdtD//pstS//nimT//hybB//csiD//sgrS//ftnA//nagE//ldtC//gor//yqjH//nanC//hisP//
PutA	creA//hyaD//
PuuR	melB//dtpA//pspG//gltL//yoeB//pqiB//caiC//
QseB	ssrS//tadA//dhaK//nrdG//
RbsR	fepD//yjbE//aldA//astC//bioA//erpA//glpK//argF//ddpX//
RcdA	bamE//infC//ldtB//atoD//argP//purL//putA//metN//grcA//
RclR	fliL//sroD//ompN//
RcnR	torR//lrp//dinD//
RcsAB	melB//sbmC//ydhV//focB//cusA//hyfF//araF//ddpD//alkB//hns//ldtB//cadC//ybiT//yjhB//araB//yeaR//
RcsB	uxaC//omrB//cyoB//cheW//soxS//yidQ//yfbR//mhpF//idnD//yjeV//ecpA//glcF//phnM//mhpA//gpmA//manZ//gadB//psiE//aroF//prpB//yeaG//prpC//recA//fruA//pnuC//
RcsB-BglJ	sufE//rpoD//metI//kdpA//ftnB//gatD//paaC//arsC//hyfJ//ascF//feaR//ycgZ//recC//nimT//ydeP//pitB//
RelB	tcyJ//eda//uxuR//
RelB-RelE	alkB//asr//yedX//
RhaR	ftsI//hypB//
RhaS	gadF//asr//ydcU//entB//mpl//araC//
Rob	treC//ccmG//ompN//hyaF//nagC//wzb//sgbH//glnK//recA//nuoG//rpoD//ilvC//ydfD//fixA//napA//prpE//argG//creA//ydcS//guaB//prs//fecA//ppsA//phnD//fecE//tcyP//
RstA	mqsA//dcuA//gadC//dtpA//gpmM//hcaR//yhbT//dcuA//mhpC//rcnR//
RtcR	casB//uhpT//
RutR	mipA//oxc//nuoM//sucB//ribA//nanS//cytR//melA//ykgM//yciE//flgF//phoH//purM//atoE//uhpT//tyrB//ygiB//
SdiA	napC//yjeV//hybE//garP//metK//
SgrR	metH//paaE//csgB//ydeN//torA//yjhC//ampC//mtlA//fucA//
SlyA	ygiZ//
SoxR	araC//rutR//yciF//
SoxS	glxK//hybO//acrB//ompN//oxc//ugpE//metC//cynT//ilvC//flgG//glcE//ruvB//nmpC//puuR//feaB//rimP//cyoE//gadB//ndh//glgB//ddlB//tdcE//flgC//oxyS//rybA//recN//rplT//hycH//trpB//oppC//phnK//mgtL//galP//uspD//mprA//bolA//hyfE//mnmG//marA//pstB//
StpA	rcsA//cynS//modC//malP//paaB//hyfC//degP//
SutR	cirA//ccmA//argE//gcvB//fumB//
TdcA	hslJ//lysC//rcnA//ydfH//yefM//agaA//ryhB//
TdcR	ygbK//glgA//ybaS//ssuD//idnK//ybfN//trxC//
TorR	hyfD//yneM//fepB//ruvB//purE//ybdN//cadC//ychF//hyfD//caiA//nusA//ydfN//
TreR	araE//polA//
TrpR	tonB//ubiC//purC//sra//feaB//ydbK//fepB//efeU_1//hyfB//gpmA//frdB//xapB//
TyrR	kdpF//fumC//adiC//recB//bioF//gadA//rcnB//mntS//sfsB//tdcG//melB//argI//
UhpA	atoE//
UidR	chbR//zinT//glk//astD//
UlaR	flgC//rarA//ybjG//fadR//ugpB//sroA//fabH//
UvrY	yaiA//nrdI//hcp//cueO//glpF//
UxuR	rpoS//yfdX//ygiC//aspA//thiQ//ydeM//pspC//lsrB//murE//
XapR	chbB//hcaC//
XylR	yoaC//uspE//ybbY//ugpB//prpR//flgJ//glpB//
YdeO	codA//alsE//mtlD//zwf//fhlA//argG//tyrB//malI//gloA//murE//rffH//pstC//rffT//tdcG//flgK//potF//pepA//entE//metN//lexA//rbsD//
YedW	ulaA//rffT//isrC//ssuD//gudD//mntS//fhuF//citG//phnG//hydN//stpA//aspA//
YefM	trpA//hycI//
YefM-YoeB	narG//oppC//
YehT	yiiS//
YeiL	iraM//
YiaJ	sgbU//rffC//tyrR//narJ//caiE//yrbL//nusA//dhaK//manZ//ddlB//
YjjQ	slp//fepE//mdtF//hyaF//rutC//galR//umuC//murQ//murR//nanS//
YpdB	cyoA//
YqhC	psd//nuoH//
YqjI	grcA//lysA//
ZntR	isrC//
ZraR	flgI//dhaR//dgcC//
Zur	rseB//murD//allB//gltL//metB//phnH//
