#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tehA//aroL//
ExuR	aroM//glgX//cirA//fadE//fruB//rclA//cadB//yhbE//nirD//
FabR	ldtD//ybhR//
FadR	nac//tdcB//cadC//fixC//dpiB//gutM//uxaB//phnI//gltB//araH//lolA//marR//pdeR//sufA//argR//cysK//tpiA//mhpE//rbfA//ebgC//nirB//ptsH//kdpF//
FeaR	fhuB//malQ//
FhlA	hokE//yqjI//fecD//efeU_1//flhB//trpD//ynbA//gatY//ydhT//nupC//aroP//amn//xylA//rffG//entH//ydhT//lsrC//dinF//fecI//rstB//patA//mioC//citG//gatB//csrB//ydbK//gapA//appB//cysI//ycdZ//
FlhDC	moeA//fabA//tomB//paaG//baeR//potG//hypE//idnK//nagB//lysA//rpoS//nusA//lysO//allC//yaiW//sufA//ssuC//efeU_1//ebgA//ybhL//hybO//phoB//yhbS//ttdB//glcB//mglB//cusF//sgrT//yjbH//entD//recD//prpC//ahpF//pepA//kbp//hypF//hdeA//alkB//phnJ//dsbC//fucU//alkB//cynT//aceE//flgM//mdtB//cyoC//araJ//treC//hyfE//rpmI//malQ//caiA//tonB//cpxA//dsdA//caiD//intQ//dinJ//fliQ//thiP//fucI//metH//fimB//speA//uxaB//cas1//nohA//mcbA//potH//trpR//ydfE//fliK//bioD//citC//cysA//rbsK//gntT//metR//rplT//dmsC//ulaA//
FliZ	leuC//yiaL//ulaA//mioC//galM//relE//deoB//nagC//yqaE//ulaG//trpE//tdcB//zraS//srlD//entB//nusA//feaB//spy//csgA//glnB//nac//
FucR	fpr//hisQ//insD//hokE//caiT//cho//fhuE//
Fur	moaC//frdA//citX//mazF//qseB//pspC//gudD//napH//cyoC//murC//tauA//yccT//hyfJ//zntA//caiC//rnlA//malT//ulaB//hypB//tauC//fpr//frdB//ompC//ebgA//marB//rhaB//flgI//ybhF//cbl//rutA//wecE//araF//ydcU//metL//rarA//bglB//nrdG//yiaM//xylH//dpiB//uvrA//fliA//fixC//rutE//deoA//feaR//nanM//btuB//ccmA//moaC//lsrD//rutC//cyoA//dtpA//rprA//mhpF//sbcD//fliL//glnB//fecB//phnH//phnG//lpd//fixC//pgk//ulaA//rffC//nrdF//trpR//flu//cysG//fepB//hybB//oxc//recF//garL//fepB//flgB//napC//erpA//cytR//acrR//metJ//nanK//wcaA//mhpB//soxR//ydbK//ycjY//dnaN//emrB//acrR//iraM//frdD//yjbF//cyaR//moeB//arsC//tdcB//hyaD//pnp//rybB//yciE//cysM//rimK//yeiL//ruvB//entD//narJ//ssuB//fliA//erpA//malY//rybA//infC//cadC//ssuA//yhiM//hslJ//sodA//hybF//glpT//rhaD//yciW//soxR//sufB//ptsG//eda//ydiV//ybiT//
GadE	nimT//degP//nikD//purR//codA//uidC//nhaA//fepG//tdcE//pdhR//skp//agaI//fhuF//glmY//gatC//yfaE//fucU//aceK//leuO//yjjQ//pgk//yiaN//nrdH//mazF//hyaB//erpA//pspE//yfdV//ccmA//
GadE-RcsB	uidB//treB//prpD//emrK//alsB//cusS//adiC//fliA//fixC//
GadW	intQ//tauA//metE//paaI//dgcN//argO//yfdE//trpE//metA//guaA//ynfF//astD//araD//ymgC//pheM//
GadX	iclR//hdeB//cynS//gspD//crr//appB//fliS//ccmF//pheS//yebG//speA//ppdA//chiP//gspF//ddpB//ygiA//pstC//cvpA//mtlR//ptsH//lrhA//arsB//rutE//hyfJ//sucB//amtB//fhuE//yhdX//rpoE//
GalR	uof//glcC//hcaC//ubiC//borD//ybjN//chbF//umuC//fliL//waaZ//
GalS	ptsG//rbsR//cirA//ftsA//lacZ//nimR//nuoI//mlc//puuP//flgG//
GatR	alsE//nrdG//nemA//hslJ//metL//crl//
GcvA	melB//gatC//carB//nrfE//mraY//
GlcC	sodA//rcnR//malM//dinB//artP//relA//glk//
GlpR	ymjC//uof//astB//phr//yfdX//ssuB//flgG//rplU//ydfX//
GlrR	mdtB//fecD//yebE//agaW//ulaB//
GntR	yhjX//manY//glgB//paaA//fhuA//emrB//fliL//phnC//ynbB//ilvY//lsrF//rpoH//
GutM	ccmD//yciG//flgK//malZ//recC//cadA//ybjC//
GutR	yjbF//rffG//uvrC//wcaA//aspC//hybA//lacZ//
HU	purF//mhpA//xylG//tsx//bioF//uidB//pheM//galE//cas1//
HcaR	fecB//rffM//gadA//putA//cusF//paaH//
HdfR	ykgM//cyaR//inaA//uidC//yqaE//
HigA	araD//murG//
HigB-HigA	argR//fur//
HipAB	asnC//yqjI//mhpC//pflB//rob//
HipB	paaH//glpB//narI//bdcA//zinT//galS//
HyfR	tdcG//alsE//rybB//argI//hokD//napF//pdeL//gatA//relB//patA//fabH//dsbC//
HypT	rffH//umuC//appA//murF//deoA//rclA//fumB//mglC//caiB//hdeA//hyaC//paaY//casC//
IclR	phnP//xylF//artJ//gpmM//
IdnR	murI//nuoE//cyoA//uvrD//rpoH//fliQ//mscM//
IlvY	wecB//gspG//
IscR	moeA//ccmE//yeiL//pqiB//yiaJ//ecpR//gntP//dsbA//dinB//fepC//lacY//fadJ//puuD//yfbR//purF//amn//tcyJ//mglC//ydhX//hyfE//gyrA//hyfH//ccmF//ycgR//ydhW//ompW//ulaB//flgE//srlB//alsA//dinG//phnF//
KdgR	hha//phnN//
KdpE	mlrA//pgk//paaE//ulaB//
LacI	fhuC//murI//adhE//
LeuO	bacA//ddpA//asnB//malI//fbaB//fadH//cspE//ygaC//gyrA//rsmH//cysA//wzyE//cadA//nadB//glpQ//lpxA//ompW//nusA//gapA//tonB//
LexA	motB//murR//yiaN//artI//paaE//bhsA//dsdC//tam//potH//hycF//gatY//gatD//gntU//ybhL//ydcT//idnK//cyoA//yjhC//fabG//dcuD//fumC//fhuC//purB//gntT//skp//metK//ldtD//hemH//dgcZ//cynT//micF//dsbG//acnB//wecC//ndh//ycjX//ung//mraZ//fecA//glgA//uof//wecB//mntP//agaR//thiP//leuD//accD//flgJ//ddpX//acnB//hns//mazF//iscU//wzyE//mdtC//fliQ//fliI//cho//ybaS//
LldR	ydcV//yciG//ybjN//
LrhA	dmsB//zraR//hydN//sbcD//
LsrR	garD//sucC//yfiR//nlpA//fliF//argD//prs//rcnR//garP//
LysR	acrB//mdh//
MalI	pitB//norW//nanS//
MalT	mntS//appB//ppc//lsrR//fliO//paaF//puuE//relA//glcA//osmC//
MarA	metI//rcnB//ssb//ybhL//murC//nrdB//pgk//mntP//sodB//ycgR//pspB//relE//yhcH//mlrA//relB//ycjF//caiD//lysR//accD//mazG//caiD//xylR//ssb//ybjC//ftsQ//uof//hisJ//astB//gadE//artQ//nemR//srlR//fliZ//sdhC//sufB//mhpC//ykiA//yagK//
MarR	yoaG//gadW//argB//
MatA	xylB//glpD//dhaL//btuB//nusA//yegZ//gpmM//cecR//
MazE	frc//ulaD//gspD//
MazE-MazF	astB//phnO//hypE//
McbR	ybfE//sufD//garK//evgA//
MelR	glnL//nirB//tdcD//
MetJ	phoQ//betT//pgaB//ycgZ//narI//lexA//nuoG//murC//ssuB//metA//prpR//gadW//dctR//lsrF//slyB//
MetR	fhlA//marA//yqjH//ecpA//glgB//
MhpR	dmsC//gabD//ssb//agaB//ybdN//fnr//
Mlc	paaH//napB//fecA//cysM//dsbG//gntP//zwf//malQ//asnC//fimB//
MlrA	sgrS//recC//nuoE//rutC//ybjN//casB//yfdE//glnG//sroC//safA//
MngR	purB//agaD//ccmF//
MntR	malE//ydhT//ygbK//nrfG//exuR//
ModE	trpL//ynbC//znuC//nuoH//ymjC//agaV//csgA//speB//nohA//ccmE//ssuD//astC//ygeA//glgA//ykgM//ybhR//gltI//dkgB//fliH//dctR//ydhX//yjbH//astC//phoP//yciE//ssuD//uhpT//yciW//sra//ycdZ//prpC//ycdZ//glpQ//waaY//yaiA//acrD//uxaC//rhaS//tcyJ//casC//uvrY//trpE//gltD//nlpA//fliI//tdcC//
MprA	ydeO//aceB//citC//citF//guaA//hha//
MqsA	lrhA//yecT//nrdH//xylG//betB//araC//rffG//cusS//
MraZ	gutM//ykgM//rhaA//fepB//ydeP//fhuD//kdpA//glpC//dhaM//feoC//citG//patA//norV//pfkA//ariR//yafO//srlR//
MtlR	flhD//allB//entS//
MurR	pnuC//yjiY//dcuA//
Nac	oppC//acnB//ppiD//betB//cysC//leuD//nanT//putP//copA//rclB//ttdB//lhgO//hdeD//yqhG//mraZ//glpA//nmpC//lacZ//lysP//flgI//astE//
NadR	yegH//ppiA//hypC//rhaA//
NagC	norR//mngR//yedX//casD//uspD//flhD//cysI//yjhB//malS//srlR//hdeD//puuE//eda//acrB//agaB//yhbS//phnM//agaW//kbp//nikE//metC//gabT//nrfC//ompT//murQ//aceF//allS//araG//nmpC//trpB//rseC//pgaB//nupG//dhaR//fixB//phnP//trpA//
NanR	evgS//fliZ//cysE//yegZ//creA//motB//rseC//artI//wzzE//ulaG//rpoS//
NarL	cydC//tnaC//hyaF//mazF//mdtB//glgA//patD//ldtD//wecC//cyoC//copA//rffM//idnT//metA//cspD//hisM//pepA//dsbG//ulaD//tyrA//rtcB//hflD//mazG//thrS//tauA//hycE//ydfD//casD//puuR//fabH//nlpA//dcuD//arsR//alkA//flhB//ydfH//emrY//tehA//pspB//dicB//yhjA//cydB//glpB//marB//copA//ruvB//ccmA//yafP//fiu//wcaA//yciE//glnB//fldA//ebgA//ugpQ//hybG//puuC//creB//mhpD//rclC//ycdZ//tdcA//uvrC//yjhB//uxuB//psiF//csgD//yedX//sucB//mscM//uvrC//hycD//aspC//dhaK//ynjI//leuC//feoC//ddpA//bluF//aceE//cysW//pdhR//cysG//gadY//dsdA//sufE//rseB//csgB//phnK//tsgA//kdpF//araJ//ddlB//mntS//hycH//yqhD//rpsU//ftnA//xylH//ulaC//recA//hycE//fucO//mraY//hslJ//lsrC//fdhF//glgB//hycI//yeaH//srlR//zinT//iraP//btuB//carB//sulA//wza//fixA//fecC//icd//ptrA//qseC//acrB//
NarP	relA//nuoA//epd//trpL//skp//mpaA//yeaR//yegZ//acrR//yegH//mgtL//aceE//moaA//ruvB//ydhV//rffH//yefM//grxA//fadI//murI//fadR//acnA//dacC//ygiZ//manZ//hycF//rplT//tynA//nfsB//hcaR//astB//narJ//glnD//ykgO//purM//deoC//yecT//creD//astC//aceA//trpL//sufC//rprA//argE//fepA//carA//dkgB//ppiD//feaR//dacC//
NemR	ugpC//nrdA//glpD//
NhaR	rpsU//ydfD//phnM//yhbS//rpsU//bglF//phnH//
NikR	yoeB//entH//crl//flu//dgcC//nrdD//
NimR	oppA//ydfH//
NorR	argO//rbsC//araD//
NrdR	yeaH//dicC//arsC//nrdH//rdoA//ynjI//katG//alkB//lsrK//
NsrR	ssuD//osmB//recB//prpE//fadA//ecnB//gntX//rffC//rclA//purE//rhaB//casA//fadE//pflB//bioF//prpB//rbsR//fliJ//yccT//purE//cusR//aceK//putP//rffM//chbF//aceB//casE//agaW//umuC//gadA//acrB//uvrA//fliS//hyaC//ydeI//yaiA//rclB//rpoS//nusA//cusC//ccmE//glnK//fliF//pitB//phnG//mngA//cysP//gabT//osmB//hycB//gcvA//flgM//gcvA//metR//gabD//ebgC//srlB//phoR//cydC//ynbD//tomB//paaA//slt//nikA//malZ//dacC//dsdA//cysJ//flgL//rstB//fadL//rpoS//flgN//narG//fliC//yhjX//recA//rffG//uidA//nikB//norW//appX//sufD//
NtrC	cynR//tdcF//lldD//rob//mscM//xylB//glnB//bdcA//argT//slt//narI//moaE//flgA//lysO//nikE//nanA//acrA//dhaM//uidB//aroG//yibQ//osmC//nuoG//lsrK//pstS//yjjQ//pykF//acnB//metE//crp//ulaC//sufA//cysW//norV//purF//lsrF//mhpB//cdaR//ycjF//yeiB//asnB//rdoA//fadH//ygaC//yiaJ//metI//ahpC//yedX//hybG//
OmpR	argD//fliI//lpxC//pspE//dcuR//mglA//narJ//aceK//zinT//manX//lsrD//citE//fliS//nuoH//pgm//yciX//hycE//hisP//nmpC//bhsA//fumB//
OxyR	gspL//prs//cirA//flgN//fucR//tdcA//hycH//appY//napG//fliP//fepD//hcaF//nikC//deoA//ynbD//glnQ//rffM//recC//paaE//yjjQ//cusA//phoA//nrdB//iraM//marB//hypA//pheS//glcD//ydfE//hokE//pstB//uhpT//fucR//ugpQ//
PaaX	lysA//mqsR//patA//puuC//sulA//nlpA//yjhC//ilvY//ygaC//flgA//rnpB//sbcD//rybA//ecpA//
PdeL	potI//
PdhR	yagK//ftsK//emrY//gntP//kdpA//rpmA//ydcT//dicC//exbD//paaE//rcnB//glmY//metH//rpoD//katE//dsdA//rutC//gatC//murD//moaE//gatA//yjjQ//rhaD//mcbA//ygeH//hcaF//rutC//gutQ//dsrA//gntT//nrfG//recA//bglG//seqA//gnd//ycjF//ydeO//yibQ//ccmA//alsE//rfe//
PepA	yiiS//melR//gutQ//
PgrR	htpG//efeU_1//gltB//bluF//ykiA//znuB//bamE//dtpA//
PhoB	phnD//mazE//exbD//sbcC//ibaG//rprA//ydeN//hemL//metQ//setA//gspJ//bolA//wzyE//prpC//ryhB//gspD//kdpA//lpxC//nhaA//mraY//cysD//murF//glnP//marB//rpoE//narX//fadB//nrdD//malK//pstS//rnlB//chbR//paaJ//truB//rnpB//moeB//yfdX//yafO//relB//speA//micF//ompN//hyfA//hypF//glcD//cydB//lysR//dicC//agaC//nrdG//ydfW//agaD//fepA//ycjF//fliH//hcr//yneM//nfsB//metK//aceA//
PhoP	frc//mprA//gcvH//lysA//srlR//mdtB//malI//phnD//nohA//dcuS//crl//mqsA//metI//gltF//murD//codB//nuoE//casE//dnaA//gntT//fliL//lldR//nuoG//gspE//dcuA//citG//ykgO//pepD//nanS//ycdZ//melA//ssuC//yiaO//rhaB//hdeD//tehB//yidQ//zwf//patA//wzb//betI//nagC//dps//yhcH//hycB//hmp//mzrA//norW//evgA//rimK//ybdN//nikD//hisM//yciF//acrD//nrfG//
PrpR	lpd//ecpR//narG//wcaA//rseC//
PspF	gntX//lsrB//dcuD//pitB//obgE//gpmA//prpE//
PurR	mraZ//hipA//wcaA//osmY//cysH//sdhB//rbsR//hyfR//fpr//paaI//glcB//pepA//argC//ccmG//yfdV//phnP//malI//ygiA//sroA//nimT//ubiX//hcaD//yiaJ//mhpE//flgI//napF//bacA//yjiY//purA//creC//putP//
PutA	cueO//mpaA//
PuuR	ftsA//ydjM//dmsC//ydcU//gutM//oxc//gatY//
QseB	manY//acrD//hyfR//uxuB//
RbsR	ccmH//accC//emrB//appC//ydfN//dsrA//emrB//sroA//appC//
RcdA	cydD//hyaD//glnH//grcA//nuoE//uspE//emrB//csgF//yjiY//
RclR	mhpT//kbaY//leuA//
RcnR	mgtL//pnuC//hyfB//
RcsAB	nuoE//hisP//flgG//dgcZ//frdD//nanS//tauB//csgA//flhD//fliD//gcvH//flgK//rcnA//ycgZ//yiaN//nikC//
RcsB	nemA//folE//acrZ//baeR//relA//sufD//pyrD//rpiB//ung//idnT//yeaR//ariR//ung//gpmM//ccmE//rdoA//acrR//yiiS//hydN//pgi//pepA//gadY//citF//poxB//putP//
RcsB-BglJ	hyaA//moeA//fliR//recC//ompF//hcaF//hdeB//srlD//hcaC//higB//hisQ//soxR//rbsK//recN//gloA//gudP//
RelB	fldA//yebG//oppF//
RelB-RelE	pagP//yiaN//dinI//
RhaR	hyaC//dcuB//
RhaS	astD//rutF//rsmH//hcaD//rimK//moaE//
Rob	murP//cyoB//fixX//nikA//argO//nrfB//leuC//flgJ//mioC//metC//ybhL//astA//nuoH//oppD//rpsO//rhaD//ycjG//uxaC//glpX//yiaJ//cysA//nemA//ynbA//fliL//lsrG//tynA//
RstA	ydfX//gspJ//fimE//carB//motB//sbmA//glmS//mhpC//gor//xylR//
RtcR	yciW//bioC//
RutR	oppC//rstA//tyrR//citG//yeiB//sroD//fepG//fes//ccmB//fucO//fumC//malM//uvrD//cusS//qseC//yciW//flgI//
SdiA	ychF//nrdB//fucK//codB//glcE//
SgrR	oxc//ydjM//pyrC//ribA//aldA//glmY//pgk//ydhX//betI//
SlyA	iscU//
SoxR	metB//ecpA//dmsC//
SoxS	gudP//yjhC//exbD//ybdN//flgM//yncE//hcaE//ygiC//narI//hemL//yciW//agaV//rhaS//bhsA//ssuD//ulaF//hybO//yefM//epd//relE//agaS//hypA//micF//mqsR//ydfE//pqiB//qseC//paaJ//focA//glcD//fabZ//dgcN//alkA//moeA//ydhV//dicC//wzc//cas2//galS//recX//
StpA	mdtE//yjiY//hcp//yhjA//psiE//idnK//astD//
SutR	cysJ//malX//glpX//alkB//dcuS//
TdcA	mtlD//dnaN//purK//hdeB//ygbA//ada//ruvA//
TdcR	rutF//lpxD//ydfW//nikR//mglC//yiaL//astE//
TorR	yqaE//malY//iclR//murQ//phoB//yjiY//dacC//yafO//potG//emrA//lrhA//bacA//
TreR	ftsA//iclR//
TrpR	rob//xapB//murF//ascB//tam//ygeA//srlD//ydcT//lldP//ddlB//aroH//ydiV//
TyrR	rhaB//fliC//sdhC//mngB//yhdZ//mqsA//nupG//sodB//mipA//agaB//sgbU//fadJ//
UhpA	yfiB//
UidR	murP//ynfG//nimT//ycjF//
UlaR	ddpC//fadI//accB//ydbD//agaR//wzb//cas1//
UvrY	gabD//bluF//pspA//dinD//ruvA//
UxuR	paaI//rutG//rcsA//cra//ibaG//nagE//acrB//glcG//rffG//
XapR	cdd//bdcA//
XylR	srlR//norR//prpB//mscM//ryhB//ampC//bdm//
YdeO	mscM//csrC//cvpA//mglC//purE//rybB//emrA//yafN//ssuD//narJ//tynA//ruvB//gltB//nikA//bluF//ymiA//rstB//argH//cyaR//rclC//rffH//
YedW	citD//ydfE//rcnR//gspG//ydhY//rob//ccmD//erpA//aceF//yegH//nanS//glpD//
YefM	dcuB//recN//
YefM-YoeB	glyA//ssuB//
YehT	glgC//
YeiL	glgA//
YiaJ	nupG//infB//codA//uxuB//rclB//phnG//gadW//metB//yjbF//ymgC//
YjjQ	crr//gadF//potH//truB//hyfA//htpG//dsdX//mtr//atoA//purC//
YpdB	bglJ//
YqhC	nrdB//aldA//
YqjI	nhaA//alaS//
ZntR	fliZ//
ZraR	yafP//ndh//ycjG//
Zur	tam//ybjG//dnaN//ybiT//hyfF//norV//
