#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ulaB//nagE//
Nac	rutR//fhuF//paaB//casB//exuR//nanM//sufB//mdtA//fliZ//fadB//creA//pheS//hyfI//phnD//yidL//pykF//exbB//fdnG//mntS//torA//gcvT//
NadR	betI//fadM//add//glnP//
NagC	rbfA//hyaA//yegZ//nanE//decR//dsdA//mngA//aidB//nhaA//wzzE//ubiC//gadW//napF//rcsA//yncE//slyB//rpsU//flhE//sgrS//fhuB//mntP//ykgO//tdcA//paaH//fau//galE//fepC//dinI//hypE//manX//envC//putP//thiQ//yjhC//purM//yciE//fucA//
NanR	gspE//yqjI//iraP//lysC//cusS//gntP//cbl//arsB//rffM//garK//nrfC//
NarL	yidQ//trpL//rclA//fiu//napG//slyB//ynfH//gspJ//araB//tcyJ//fadA//aroF//gspK//glxR//tam//ryhB//nfo//accB//safA//creC//ccmF//rutG//fhuD//dgcZ//yccJ//fdnH//gadF//uidA//agaV//malT//yoaG//ddlB//hycG//grxD//zwf//ccmD//aceK//uvrB//csgD//yafQ//casE//tehB//lldD//cysJ//dsbA//ppiA//casE//hdeD//rcnA//micF//xylB//ynbD//cecR//rtcB//yfiR//frdA//lysP//obgE//ssuD//mhpC//glcD//nuoI//cheA//modB//osmY//rseC//yhjC//lon//ynfG//mglB//ymgC//cyoC//fdnH//glnH//dhaK//idnT//gadE//rpoE//malG//yqaE//rutR//rutE//tolC//pspA//lpd//folE//lacZ//nrdI//fixB//ygaC//nadB//phnP//yqhG//nikC//rybB//ppc//fliG//ulaE//paaA//mtr//ybhL//nirB//ascF//omrB//wzxE//phoH//pdeH//citC//dcuA//crl//puuC//yhjX//tauA//nlpA//cadB//moaA//tfaQ//gpmM//agaI//hyfF//chbF//paaY//cho//
NarP	citF//dgcC//amn//tomB//slp//cynR//leuD//fliK//lolA//fhuA//fliR//entC//wzyE//hyfA//purB//nfsB//hybO//oxyR//ldtC//oxyS//sufD//yccT//slyB//cydA//ubiA//ttdR//yeiL//ecpR//ldtB//leuL//ulaA//fumB//ugpQ//fruK//ampC//hisM//hyfE//araA//infB//nagA//modC//yeaD//ascB//ahpC//cyoE//ydeP//galR//tadA//lpxA//yeiB//
NemR	gltL//rhaB//ydfH//
NhaR	gor//ftsA//yhdW//fadB//cadA//safA//yafQ//
NikR	araJ//malE//acrA//carB//rclA//dsbC//
NimR	hyfG//gpmA//
NorR	lrp//rob//nuoK//
NrdR	csgA//leuC//rcnB//asnC//murP//sufA//rpiB//galS//mdtC//
NsrR	hybO//fumB//ykiA//torC//narX//fucK//inaA//ssuC//hycH//casA//ulaB//ymiA//exuT//uxuR//malE//rhaA//ribA//ccmF//cynS//nanS//dkgB//puuD//entS//wza//ilvY//malS//araF//hycH//iclR//ahpF//yrbL//ydiV//nrfC//sucD//dapD//bluF//hydN//luxS//nrdH//puuR//argC//hypA//mtlR//feoA//hycG//rplU//aslB//sroC//asr//yncE//araF//nrdA//rpoD//glpT//metY//rpsU//araC//cecR//pgk//rbsD//fhuB//paaD//motA//bglJ//bamE//araG//ssuE//nirD//chbG//gltK//uspE//garK//ynfE//yciE//potG//yiaN//nimT//tsx//araJ//ulaF//idnO//phnL//higA//
NtrC	fabA//malF//fdnI//nirB//argA//ugpE//nanM//citX//alaC//cydC//glnA//ydcV//gltI//phnP//dctA//glcA//icd//dapB//mgtL//gudX//mhpD//ppdA//kdpF//hybG//fdnH//mhpC//fliO//sroD//ynfE//lrp//hypD//evgS//idnK//fhlA//dinD//mnmG//astC//rbsK//fepA//glnP//rhaB//moeB//mngB//dctR//relE//acrR//fliQ//rpsU//yhhY//
OmpR	fliH//cspI//bluF//ogt//ldtD//yfiR//yjbH//grxA//purA//pgaD//oxyS//slyB//bluF//gloA//aldA//trpL//metF//yeiB//gcvA//wcaB//ompT//
OxyR	yjhB//emrK//gabD//eno//ttdA//hybF//yeaH//citX//yciF//ulaB//csiD//glyA//purR//nimT//astD//fepB//tdcD//nikC//lacA//paaF//uspD//bamE//pspC//dkgA//caiE//sgrS//fabZ//hycA//emrB//psiF//metR//dmsC//efeU_1//hns//
PaaX	nemA//ycjX//flgJ//araH//fliP//exbB//hisM//pfkA//hcaB//hybD//omrB//mntH//galT//flhB//
PdeL	ugpB//
PdhR	mhpF//znuB//motA//galM//nac//paaF//gltI//aspC//cyoD//rutE//sroA//narK//ycdZ//ptrA//lacA//yjbE//lldP//dpiA//nrfG//fucP//sucC//narH//yiaO//fucO//purK//rpoH//nfsB//ascF//melR//qseC//araG//flgD//mazE//pspA//mngR//sdhB//yhiD//yiaM//sroA//ulaD//pepA//
PepA	nagE//flgK//uidA//
PgrR	ruvB//rclB//ynfK//cysI//idnO//hdeB//yhdZ//recA//
PhoB	nikR//gspJ//grxD//yhdY//gabD//mqsR//hcr//gcvT//ynbD//lolA//leuC//rhaD//emrB//tdcA//betB//nrdD//malQ//yfiB//csgA//katE//fhlA//phoE//zinT//yiiS//uof//wrbA//mtlA//fimB//flgH//nemA//rbsB//ddpA//casB//trpB//fabA//fliE//yjjZ//nrdI//gltD//malF//tnaC//kdpF//ppdA//yhdY//flgB//glmS//ptrA//potG//mglA//fucO//mnmG//gspE//hybF//creA//rhaA//mhpC//gspH//treC//tdcB//glgA//
PhoP	sufE//gltB//hcaE//speA//murI//glpT//galT//narG//ldtC//gspH//paaA//mazF//gloA//fabG//glpC//folE//cadB//intQ//yidQ//glnH//metB//tadA//ycjY//xylB//pepD//glpB//treR//xylF//yhiD//yaiA//nikE//omrB//pheT//uidB//agaR//nadA//ptsI//mhpT//agaI//tnaA//ryhB//phnO//recX//dsrA//dsdX//znuA//ykgO//nuoN//flhB//ung//rhaR//mepH//tsgA//mioC//hcaE//cydD//
PrpR	metE//ibaG//asr//moeA//recN//
PspF	mtlA//argC//bhsA//ydjM//purH//rprA//umuC//
PurR	rpiR//xylF//napG//yqaE//mglB//srlE//araD//yccA//hyfE//mdtF//allS//manX//sufA//srlD//astB//ppdB//ydcS//ibaG//nikB//hyaB//phnG//iraM//nuoA//cpxR//araE//sdhC//trpL//ibaG//omrA//narH//znuA//
PutA	appC//fur//
PuuR	yegR//ycjX//nemR//argA//lsrD//hyaC//citD//
QseB	nikE//ybjN//hcaB//yeiB//
RbsR	nanK//pgaB//relB//bluF//ugpE//glxR//yjbE//hyaC//ascF//
RcdA	hslJ//caiB//yiaM//fadH//ygiC//gadC//argF//ftsW//fdnI//
RclR	tomB//aceE//gudX//
RcnR	rtcB//bolA//phnP//
RcsAB	rcnA//csgB//lsrG//omrB//ccmG//evgA//ygeA//ydeM//guaB//narI//tehA//paaZ//argI//fhuB//hypC//murQ//
RcsB	bioF//oxyS//yaiW//mglA//flgE//focA//pspD//mltF//ascF//focB//acnA//mazF//pflB//bglF//nadA//dnaA//rcnA//fecR//agaV//recC//glpQ//metL//yneM//casB//phnL//
RcsB-BglJ	idnO//hyfC//nirC//guaA//lpxA//ruvB//fimE//ecpA//nuoF//nirD//yegZ//ugpQ//sucA//caiF//hycD//idnO//
RelB	ydhT//paaE//sufE//
RelB-RelE	ybbY//cadC//sbcD//
RhaR	glpX//casC//
RhaS	rclC//mgrB//aslB//cysD//glpF//trpB//
Rob	mdtC//mgrB//rplT//rffT//slt//hcp//accB//moaC//dkgB//chbB//glgP//rprA//nrfA//paaA//accA//rob//potG//grcA//focB//hybG//fliE//ssb//phnD//lsrD//nuoN//argF//
RstA	ilvY//focA//astD//napF//erpA//appA//fbaB//artQ//nrdH//ibaG//
RtcR	amtB//yhcH//
RutR	dinD//emrA//accC//hha//emrK//hyfB//melA//yhbE//casD//fpr//hyfI//murG//gcvB//ddpX//hycC//sroD//bdcA//
SdiA	citF//hyfI//yfdX//casE//nmpC//
SgrR	hemL//fliC//htpG//rybB//hcaD//hipA//ydfH//ssuA//ecpA//
SlyA	glmY//
SoxR	mcbA//csgC//iscA//
SoxS	fadJ//araA//lpxC//glnL//nrdI//uvrY//mlrA//ttdT//gcl//flgK//nhaA//creC//pspG//citE//purC//nemA//dnaG//yiaM//mngA//caiF//alkB//aroP//rpsO//phoP//argT//paaG//tynA//murI//ydjM//ynfF//sucA//yjbF//alkA//flgJ//udp//araJ//gspC//yhdZ//hcaD//flgA//
StpA	hybB//manZ//ydiU//cusB//fabD//tsx//rpsU//
SutR	yecR//nikA//gatB//yccJ//yhiD//
TdcA	allC//trpD//hycG//ccmE//sufC//lsrF//rnlA//
TdcR	hydN//mdh//bolA//fucR//pdeH//iraM//garR//
TorR	yeaR//ydhU//tyrB//flgH//pykF//wzyE//tdcB//znuA//entD//efeU_1//mntP//uidC//
TreR	moaB//hcaC//
TrpR	yhdX//rffH//yibQ//rcsA//polA//srlB//kbaZ//uvrD//gntU//hybG//pykF//dmsA//
TyrR	nagA//frdC//hokE//bdm//ydfH//fliF//bioB//gatA//sgrS//hycF//fes//zraS//
UhpA	ygiZ//
UidR	ydcS//argA//cirA//narL//
UlaR	rimP//metC//yfdE//uspD//yoeB//mlc//artI//
UvrY	qseC//hemH//rpsO//yecR//dmsC//
UxuR	gspL//fucK//hybG//sbcD//dsrA//paaG//nanE//hcaE//nanS//
XapR	hyfR//ydhV//
XylR	glcG//lacA//lsrR//galS//gntT//rob//dacC//
YdeO	nadA//flhA//fadA//araF//ecpR//ptsI//nanM//nrfD//ybaT//gudP//mdtA//gatC//nirC//gspG//xylA//fnr//rutF//nuoC//hlyE//dicC//alsA//
YedW	aspC//ycjX//ygeH//mglA//yiaJ//nagA//argO//nrdE//manZ//gadW//murQ//gspL//
YefM	nanK//yhjX//
YefM-YoeB	rob//pncB//
YehT	bioC//
YeiL	ydfD//
YiaJ	murR//htpG//seqA//cynT//tcyP//atoD//yecT//yjbG//phoP//lexA//
YjjQ	fadR//casE//fixA//gntX//sufS//gntX//glgB//sra//nrdD//cadA//
YpdB	hypA//
YqhC	trpR//nrfC//
YqjI	rutG//hypA//
ZntR	ynfF//
ZraR	glgX//flgE//argP//
Zur	yafP//torR//phoP//arsR//hyfF//yegR//
