#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	symE//yecR//
CsgD	nuoE//lsrB//uidC//hcr//fucU//nuoG//entF//nanT//lsrF//kdpB//intQ//fucA//puuB//ybfE//tonB//metA//sufE//agaS//mtlA//mntH//mglB//cysE//ugpC//rbsB//aroP//ynfK//soxS//dcuD//
CsiR	argA//yfiB//metJ//yhdY//agaA//
CspA	ftsK//recX//
CueR	fadE//gatB//asnC//ebgA//cysN//yhdY//agaA//
CusR	yqjI//ccmB//ruvB//znuC//gapA//ilvC//sufA//psiF//mglB//uvrY//dsbC//gcvP//
CynR	astB//moeB//dicB//metN//
CysB	ptrA//ygbA//rhaS//phnN//lysA//emrK//hyfE//ydfN//ulaB//argH//nadB//flgN//ppdC//prs//mhpA//hybO//ilvC//bglB//rpsO//ompF//sfsB//nikB//acrB//flhB//truB//ecnB//evgS//argG//mazE//yccT//mdtE//pflB//
CytR	yjbG//citC//ftsI//cspE//mglA//hisM//araJ//slyB//hisJ//rseC//rprA//fldA//fur//
Dan	yhiD//glpF//efeU_2//rbsD//
DcuR	agaD//fruK//borD//nanM//modB//recB//ssuA//yccT//malS//
DeoR	rpoE//cdd//bioC//ldtD//bamE//znuA//
DhaR	nfuA//melB//prpC//bdcA//
DicA	agaC//rpmI//fliN//ldtD//caiT//hisJ//omrA//purD//
DinJ-YafQ	gadA//mgrB//fucA//
DnaA	prs//ydeP//exuT//ydfD//argE//stpA//uspE//gapA//yeaR//putA//yqaE//aroL//
DpiA	rbsR//sdhA//cdaR//fixC//hcaC//ptsH//nikB//yeaH//ybaS//agaD//srlA//
DsdC	agaV//carB//malZ//
EbgR	hokD//appB//
EnvR	ytfE//tauA//
EnvY	yiaK//alsA//
EvgA	nanS//caiF//dhaR//amtB//ydfH//ymiA//pnp//dcuD//ydbK//mraY//lrp//ftsL//betB//artM//ydeI//pagP//trpR//yfiB//tcyP//
ExuR	nrfD//cyoD//flgD//iscA//fes//ygdB//entB//gutQ//tisB//
FabR	hisP//tynA//
FadR	tynA//puuB//cspI//rnlB//rpoH//guaB//fliL//gntX//gor//paaA//kbaZ//acrR//purA//sbmA//yeaR//aidB//guaB//narL//galK//bioC//hyi//ydeN//torC//
FeaR	fliA//rimP//
FhlA	appY//frdC//lysC//ompC//rutB//fliC//lolA//cueO//flhC//lrp//ftsA//murI//pflB//hyaF//mhpE//pgk//dinQ//oppD//hyaF//prpR//fau//hdeD//oppD//ccmC//ybjN//ydcV//ompN//sroC//hybG//ttdT//
FlhDC	rbsR//alsE//potI//dsbA//znuB//acnB//nrfB//lacA//hipB//fepD//accD//ttdR//amn//feaR//znuA//sodA//sfsB//melR//uxaA//ykgM//nadA//wzzE//mgrB//fdhF//dgcZ//asnB//gudP//gatY//purM//kdpF//ynfF//fabG//cysB//molR_1//ttdR//mltF//dinQ//araE//pepA//grcA//eda//btuB//nirB//hha//cusC//iclR//frc//pheS//ulaE//tolC//nrfG//moaD//hcaC//glpX//dgcZ//mqsA//murE//bglJ//metB//flgE//nikB//mgtL//rutG//pstC//nuoH//lpxA//fbaA//nuoE//garR//kbaY//rplT//metR//ftnB//fldB//yidQ//nuoB//ddpX//malQ//astB//lysA//glcG//frdA//
FliZ	ptsG//hypE//ykiA//mglC//narJ//tauC//lysR//acrB//putP//gcl//tdcD//yqjH//trpC//rfe//citF//aceB//argP//rbsC//hyaC//tonB//focA//
FucR	phoH//ascF//ygeA//fliG//feaB//dacC//malF//
Fur	rtcA//cysP//hycF//ddpA//pgk//hflD//tomB//pgaC//tisB//cydA//ptsG//mhpD//phnE_2//serA//fecB//glpF//trpE//bioF//rnlA//flgB//hyfI//evgA//rplT//yiaM//hycD//tdcF//dcuA//mqsA//rprA//paaF//yegZ//ldtB//add//dsdC//dsbG//kbaY//glpK//fecD//pgaA//ydiU//pqiB//fucO//mdtD//uspD//trpB//pqiB//stpA//sufE//fecC//fecD//ynbB//appA//prpC//aspC//creB//puuR//rstB//puuR//glxR//dnaG//nikA//fliA//sodB//fhuE//zraP//bhsA//yfiB//yeiL//gspF//phnH//hyfG//tisB//sgrR//alsE//hipA//flhE//ttdA//lolA//narI//fliL//rseC//casB//csiD//dcuR//hyfJ//tam//tdcA//relB//hybE//ribA//dinJ//nfsA//melR//argG//sgrR//ydeN//dcuB//oppB//motA//rtcB//evgS//pck//ydhY//yhjX//uidC//dinQ//glxK//rpoS//ykgO//kbaY//thiP//fixC//kbp//mdtE//seqA//sra//ynfK//fliI//aceB//phnI//mglB//yneM//obgE//ydeM//torD//malZ//hyfF//aceA//hybE//sufD//
GadE	paaJ//nuoE//yiaK//thrS//hypB//paaJ//atoD//sucD//sufB//fliL//yccJ//metE//dnaA//ycjX//prpB//malP//purD//yafP//polB//rseA//casE//caiD//nhaA//treR//efeU_2//cra//lpxD//pgk//ccmD//
GadE-RcsB	sgrS//dsbC//hyaE//yeaG//chbB//yhdX//yecT//appC//fucI//
GadW	gdhA//psiE//ahpC//moeB//pheT//wecB//yjbH//fruA//motB//leuA//polA//fepD//hyfB//ulaA//rimK//
GadX	ybjC//malS//nikB//gutQ//yhbE//sucB//fliR//nrdH//trpE//grcA//dmsA//pgaA//moeB//ccmD//fpr//aldA//purN//tcyP//dcuD//puuB//uxaB//mqsR//ugpC//mhpF//nrfB//mhpF//mdtD//mqsR//torD//
GalR	ydiV//mtlD//yhdZ//nfo//yiaJ//higA//trpR//yeaR//tisB//mdtC//
GalS	rffH//borD//dhaL//glnD//paaD//nupC//ydcV//thiQ//bluF//ykgM//
GatR	glk//higB//zraR//uvrY//ssb//lldP//
GcvA	yhdW//wzb//nemA//flgH//cusB//
GlcC	tdcF//hyfI//nikB//pdeR//iclR//gnd//yiaK//
GlpR	hycC//fliA//mhpT//creA//sgrT//sdhC//ppiD//citC//sodA//
GlrR	udp//glpT//ecnB//gadE//ykgO//
GntR	yafO//napF//lhgO//ygeA//ydfX//argF//tcyJ//ascB//idnT//recN//xylH//pyrC//
GutM	creD//ycjY//crr//aslB//insD//araE//cytR//
GutR	flgF//dnaG//ftsK//dtpA//fliE//dgkA//gltJ//
HU	appX//pck//rtcA//entH//ilvY//mdtD//hflD//metK//glgB//
HcaR	metF//emrA//rffG//cydD//prpB//uof//
HdfR	purD//erpA//cas1//fruB//aceB//
HigA	ydcV//cspE//
HigB-HigA	trpC//fecE//
HipAB	hemL//nikR//sgbE//alsE//speB//
HipB	carB//nirB//purK//bioD//dcuS//dgcC//
HyfR	cysN//dsbA//prpC//mtlR//hns//puuB//entH//bglG//tauB//oppD//glpF//ubiC//
HypT	bglB//gltD//gltD//flgG//uvrA//hipB//gspF//fadJ//rutD//pstB//rffC//dgcC//cynR//
IclR	cyoA//baeR//cyoD//astC//
IdnR	treR//rnlA//ugpB//ppdB//rpiB//edd//fucK//
IlvY	tyrR//rffM//
IscR	phnD//nhaA//nuoK//prpE//sgrT//pspF//glnD//waaZ//cirA//rybA//osmC//nuoB//trpD//lldR//fadH//gor//murG//aroF//ddpA//melA//znuB//agaR//tomB//omrA//galT//dsdA//prpR//yfiR//mprA//fabI//gfcA//oxyR//
KdgR	rpoH//nanC//
KdpE	nuoJ//tam//sbmA//phnM//
LacI	ppdB//rcsA//gdhA//
LeuO	yhdY//tdcE//exbD//ccmH//tbpA//murG//ydcT//phoP//modA//kdpA//fucK//artQ//tbpA//nac//fldB//caiC//hyfB//yhbT//fabG//cynT//
LexA	yjbH//tyrR//aceB//yqhD//fixC//dkgA//rob//nirC//bdm//gntT//cirA//fliD//tnaB//ruvB//epd//fucI//decR//cynS//wzxE//dsdX//accA//rpsU//lysC//nlpA//glxK//yiiS//recA//yeiL//hyfF//betI//metQ//mgtA//tauC//metE//rffM//dmsD//tauA//hemH//fabH//flhC//tbpA//araF//dpiA//ynjI//rnlA//galP//yjbF//gudD//sgrR//flu//lolA//yidL//glnA//rbsD//metL//ptsI//tolC//fecD//yidL//
LldR	ymjC//codA//nimT//
LrhA	molR_1//marA//treB//yhjC//
LsrR	flgL//mgrR//ydcV//yeaE//xylG//mgtA//flgE//rbsC//evgS//
LysR	pspB//rutB//
MalI	malP//cysW//dhaM//
MalT	glmS//nupG//dps//uxuB//nrdG//nrfA//intQ//galK//gor//nusA//
MarA	chbA//hyaC//tdcG//acrR//yqjI//caiT//prpD//rpsO//pspD//rbsA//ybbY//alsE//dsbC//lsrB//lsrC//emrA//rhaS//baeR//argP//gyrA//creA//nupC//ycjX//phnM//nanK//potF//glcF//hypA//ddpC//hyaC//ugpA//purK//phnK//nikR//melR//nuoA//glpQ//dhaM//
MarR	yeaH//mdtD//murP//
MatA	ndh//acrD//dicC//ybhF//paaH//dinD//cirA//recD//
MazE	lpxD//ftsA//nemA//
MazE-MazF	yefM//creB//rhaA//
McbR	guaA//motB//rutA//wecE//
MelR	tauC//ycjY//entH//
MetJ	amn//metN//argA//lolA//acnA//nmpC//appY//nimT//srlR//cvpA//yeaR//srlE//carA//mtlA//arsR//
MetR	puuE//fepD//dcuR//hisP//glcC//
MhpR	ulaE//yiaO//betT//glnK//uxaB//fliG//
Mlc	puuP//ssb//pspC//uidB//tdcG//cadC//mraY//hlyE//pdeR//paaB//
MlrA	tauC//hybF//umuD//fadM//wzyE//dmsB//aldA//dsrA//fucK//gutM//
MngR	chbF//ccmG//betA//
MntR	yeaR//fliJ//fecB//phoH//hcaC//
ModE	uvrC//flhC//fliN//ugpC//recF//yiaJ//rpoS//cynT//hyfH//ybhL//pflB//rnlA//hypA//gspC//cysG//uspA//cynR//galS//hns//wzc//araB//nrfB//rcnB//arsB//recA//rhaS//ugpE//yfaE//tdcE//ryhB//ymiA//cdaR//cysE//fliD//aroL//ruvB//tcyP//srlR//sgbU//cynR//entB//potG//pgaD//yhdZ//zntA//yqjH//
MprA	fepE//lacA//iclR//fepD//wcaB//marA//
MqsA	csgC//pqiA//fliH//nuoB//eda//umpH//lysP//nirD//
MraZ	putP//gabP//lysP//flhC//ompF//yebE//purE//pqiA//purE//entC//malG//zraP//ftnB//pspA//uxaA//yrbL//ydfW//
MtlR	ptsI//fliR//metC//
MurR	mdtA//yciF//cpxP//
Nac	ulaG//crr//ppc//araE//cdd//rbfA//fabZ//ydeI//dcuR//katG//napG//potH//fucU//fimE//modC//rfe//flgH//dmsA//tsr//znuA//flgG//
NadR	fiu//ptsI//sgrT//acrZ//
NagC	yebE//fadJ//yjhB//lrp//narL//rbsK//glmY//murE//napF//rutD//agaV//manY//tdcG//fabA//galM//cyoD//melA//fecD//nfo//lpxA//fur//deoB//flgI//omrA//nanS//hslJ//rstB//yaiW//cpxP//frdD//ahpF//dgcZ//lysO//motB//udp//nikB//ydhV//
NanR	yafQ//fepA//ariR//sfsB//nuoK//tdcA//fucP//uidC//fepB//intQ//malI//
NarL	flgM//hypA//araB//ydjM//fliZ//ykgM//hyaC//crr//citG//ugpB//yccJ//speA//fixA//yjhB//safA//yiaN//pgk//ynbB//rnlB//nhaR//fecI//purE//purB//hlyE//borD//gspL//hybG//paaH//gspJ//mpl//ykiA//grxD//sgbU//paaI//evgS//tsgA//qseC//flgK//mtlR//rpsU//melB//udp//paaX//glcG//mzrA//znuB//leuL//lacA//lacZ//hdeB//entE//pnuC//omrB//flhB//xylB//nagB//csrB//guaA//dapB//idnK//dhaR//relB//sufB//qseC//chbB//appB//narH//ygbK//mhpE//rbsB//ydfH//znuC//hdeD//gudD//hyfD//fucO//sgrT//ttdA//osmB//fur//cusB//aceE//ccmG//pspA//pitB//fldB//dinG//glcD//nadB//tomB//dinJ//ompT//yjeV//creB//setA//gpmA//gadE//ydbK//ddlB//ulaF//fliS//glcE//gcvB//thiP//yhdX//amtB//exbB//cysK//ldtC//rcnR//paaF//argC//manZ//ftnA//csrB//gcvH//nhaA//paaA//wcaB//mscM//fabD//ybhR//argE//
NarP	yaiA//glpD//ppdB//gspK//aidB//mdtC//ybbY//asnA//puuC//fliN//trpE//dcuS//dsdA//yccT//glnG//sucB//tam//artI//dinD//nhaR//umpH//betA//grxD//uvrA//yoaG//ugpQ//focA//spy//araG//cyoA//ydjM//dhaK//sgrT//phnH//sdhD//artI//bacA//lysR//zwf//hyfD//dpiA//yciF//edd//cysI//hyfH//yoaG//oxyR//nanA//glyA//flgF//
NemR	rybA//ycjG//modA//
NhaR	allC//fliS//dsbC//ung//relB//accD//fadE//
NikR	phoQ//entC//sbmA//tomB//ugpE//xylG//
NimR	lsrC//cvpA//
NorR	uxuA//galR//ybhS//
NrdR	trpE//infC//ppdA//yhdZ//ydhW//astC//phr//glyA//lldD//
NsrR	fliQ//lpxD//yhdX//inaA//bglF//puuR//emrY//rbsK//cysJ//dmsB//znuC//ugpE//fepC//emrY//nrfD//mhpA//nrdF//setA//bioC//ugpE//csgC//fadB//psd//cecR//gor//ulaD//sbmC//folE//moaA//nikD//lsrR//dacC//malQ//fliD//bluF//putA//ybhG//yqjI//yiaJ//oppA//nfsB//wzc//znuB//sgbU//pheS//ynbB//dcuS//xylG//iraM//btuB//aroF//ymgA//yqjI//glmY//nuoJ//ptsH//melB//fliK//betT//glcG//marB//cysJ//ebgC//mhpA//yqhD//fepA//rtcB//ydcT//chbB//oxc//recD//gadB//mzrA//rutA//umuD//feoA//crr//dcuS//cusB//rarA//skp//dicB//wrbA//
NtrC	hisP//oxc//fhuD//nrdH//aroH//yjbF//rimK//cheA//gspL//amtB//ftsI//ybdZ//yafN//flgL//mgtA//nuoH//phoA//hisQ//fucO//adiA//ftsQ//pfkA//mhpB//gpmA//lrhA//galR//mhpD//seqA//paaY//ynjI//appY//hmp//ydeO//appA//mngB//rseC//relE//leuA//kbp//araF//fliQ//atoE//nhaR//puuP//prpC//ariR//nrdI//yoaG//yeiB//
OmpR	phoR//cusC//hyfH//yfdE//spy//gcl//paaX//cheW//yhjA//infC//fecC//pnuC//ybhG//puuD//hycD//rutF//rpsO//aldA//entB//dnaA//hisP//
OxyR	iscU//murG//flhD//fumC//motA//tdcF//nrfB//gspJ//torC//pflB//gntX//pspD//accD//fnr//phnH//sutR//rpoD//oxyS//hybG//dhaM//pstA//trpD//galP//treR//paaJ//sgrR//kdpA//fliR//hns//gntU//rpsU//ftsA//borD//ccmF//
PaaX	ulaE//osmC//gnd//rbsD//fadR//tolC//exbD//ydhT//murQ//omrA//hdeD//hdeB//ubiA//wrbA//
PdeL	xapA//
PdhR	sdhA//ydcU//gltF//paaD//iscS//cheA//alkB//rbsR//qseB//yccJ//frdD//ptrA//ulaB//ppdB//dhaK//yhbT//yoaC//mqsA//ynbC//sodB//yneM//stpA//alsC//hyfE//ydhT//isrC//acrA//lpd//mdtE//caiT//nuoH//cysU//xylR//exuT//malS//ygiC//tonB//csgG//cusB//mdtF//ymgA//
PepA	ftnA//agaA//bolA//
PgrR	pnuC//uidB//gadA//ybfE//gntP//fhuE//rstB//bhsA//
PhoB	glnG//leuD//cysE//creB//puuA//marB//tnaB//eda//appX//ulaD//lsrD//ugpB//yafO//gabP//pspE//mlrA//rbsK//aspA//fepD//yfiR//tdcC//yhiM//glcA//tehA//ulaG//pyrD//ynfF//potH//flhE//alsC//dcuD//thiP//sufE//cvpA//puuR//dmsB//yaiW//gdhA//ynbD//prpB//umpH//fliN//cydB//ptsH//dnaG//ydbD//katG//fliG//flgD//cheW//araJ//sdhB//ydfX//zinT//sdhC//pnp//ulaG//ydcV//paaE//napG//
PhoP	btuB//mlc//ompW//puuE//fadJ//sufS//rseA//dhaM//yjjZ//oppC//fabI//gltI//rhaD//potF//ybhL//ompW//ddpB//nuoL//hokE//casA//hdeD//adiC//ebgA//crr//ygaC//guaB//hcaC//rclB//obgE//aceB//ynjI//iscU//hycB//paaD//fimB//napF//aceK//ydfN//hcaR//rpoD//melA//nfo//puuR//yefM//wzc//nirD//sbmA//crp//tauB//purM//fecD//cydB//hyaC//glpQ//luxS//ybaT//
PrpR	nikB//yjhC//ttdT//waaZ//phoQ//
PspF	fecR//accD//nikB//fadR//aceA//cusB//ydeM//
PurR	flhC//tomB//soxS//ygaC//lpd//cyaR//mprA//nuoL//hyfR//nfo//mhpD//guaA//gabD//acnA//paaG//nrdF//argE//yfdX//napA//glpA//nmpC//moaE//lpxC//araE//gltJ//garK//moaD//thiP//hycE//pstC//grxD//
PutA	dicB//nadA//
PuuR	bglF//entE//csrC//paaK//ygiC//feaR//narJ//
QseB	ycgR//erpA//nrfE//lacA//
RbsR	gadE//uxuR//asnB//srlA//tdcB//deoC//tyrR//gudD//pck//
RcdA	ruvA//nuoG//hcr//idnT//envC//lacZ//fur//xylB//ssuB//
RclR	lsrF//sbcC//potG//
RcnR	dacC//mngA//glgX//
RcsAB	fepD//malT//aldA//artP//eno//ssuA//citC//dnaN//cusR//rutA//fldB//astD//ydbD//nuoK//cra//aceA//
RcsB	artM//rstA//tnaB//metR//dsdC//leuD//phnJ//fepC//rdoA//tdcC//alsC//napH//nusA//nhaA//rybB//gspG//psiF//pstB//hcaB//xylR//nuoC//caiA//pheT//glnB//flgL//
RcsB-BglJ	fadR//csgF//dpiB//gspG//cusC//phoQ//ynjI//ulaE//sdhD//flgJ//hybB//csrC//ppdA//ulaG//purD//pdeR//
RelB	idnO//accC//deoB//
RelB-RelE	puuP//ygeA//metN//
RhaR	pqiA//paaG//
RhaS	marA//torD//fhuA//pgm//galM//rstB//
Rob	bdcA//ulaC//phnN//gspJ//fhuD//fepA//ariR//dmsB//zraR//ssuA//hyi//melB//ybfE//ftsK//qseC//dapB//cusR//ybhG//ahpF//obgE//yjbF//hdeA//gatD//yeaR//hycD//pspE//
RstA	yjjZ//argF//nrfA//hcaB//psiE//insK//nrfE//zinT//feoA//idnR//
RtcR	glmY//ccmB//
RutR	glnD//ssuB//caiA//prpD//ccmE//rutC//yoeB//pyrC//fadE//trpB//fhlA//dapB//gntP//napF//glgC//uvrD//mtr//
SdiA	nirD//yiaN//dpiB//gadY//pykF//
SgrR	ulaC//hisQ//trpC//fiu//treC//rtcB//murQ//folE//rstB//
SlyA	uspA//
SoxR	mdtA//truB//lrhA//
SoxS	glnP//oppD//feaB//pflB//rybA//ynbC//glgC//argG//cecR//metB//yciE//gltL//purR//hybF//yegR//fliQ//mdtE//yjiY//fadA//moaA//artM//hcaF//putP//nuoJ//cdaR//trpL//fdhF//gadX//yciF//idnK//yhdY//tdcB//crr//gdhA//gpmM//nohA//poxB//yjhB//creC//metN//
StpA	fliG//fepB//nfsB//lamB//yhiM//metC//yhbE//
SutR	csgF//hyaD//guaA//aspA//gudD//
TdcA	gadB//gspE//nikD//sulA//yoeB//yqhD//tnaB//
TdcR	argA//gcvP//nuoN//idnD//hcaB//fnr//garP//
TorR	relA//uxaA//cyoE//ogt//patD//metJ//aroG//dcuD//malQ//kbaY//yjbE//ynfF//
TreR	nirC//idnT//
TrpR	sroC//aceK//entA//appX//ymgC//melB//rbsB//speA//hyfR//pdeL//glcD//nrfD//
TyrR	mgtL//exuT//ogt//hybA//caiD//ppc//hcaR//paaF//osmC//hcaB//phnO//nfuA//
UhpA	iraM//
UidR	pgm//oppB//fabH//umpH//
UlaR	ecpR//htpG//glcF//yibQ//metR//malT//glnL//
UvrY	ompC//infB//ygeA//ttdA//iscU//
UxuR	glcF//phoU//fhuE//csrC//yhiD//amtB//bioB//rpsU//rutG//
XapR	purL//uxaB//
XylR	metH//creD//cysM//araJ//garK//gltK//adiC//
YdeO	yiaM//alsB//manZ//uxaB//speB//nuoJ//hyaD//gatA//ydhU//yneM//decR//wcaB//gspC//phoH//sufD//alsA//yjhB//fecI//astD//rpmA//fruA//
YedW	artM//caiB//gudD//paaB//flgN//rcsA//fliT//ynbC//ygbA//ydbD//pqiB//sfsB//
YefM	gspD//recC//
YefM-YoeB	baeR//ddpC//
YehT	pspB//
YeiL	nanE//
YiaJ	cysC//ynfK//lsrK//metL//nusA//malX//fliD//lacA//polB//ftnB//
YjjQ	citE//hycA//ada//soxS//uvrB//cvpA//leuL//ynfE//cyoC//ynbD//
YpdB	nuoM//
YqhC	fucO//metY//
YqjI	hycF//hipA//
ZntR	yncE//
ZraR	artM//pgk//ydhX//
Zur	nrdE//hisP//mcbA//paaA//ssuE//galP//
