#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tauA//nrfF//
CaiF	ftsW//prs//tadA//lpd//mqsR//mtr//udp//lamB//idnO//nupG//
Cbl	tpiA//mgtL//caiF//galP//oppD//bacA//gspM//bioD//gspG//
CdaR	waaZ//nagB//fruA//ugpC//murF//ptsH//dapB//ymjD//yhdZ//crr//
CecR	yoaG//purH//ccmE//murC//ubiC//
ChbR	tpiA//cadC//manY//araE//fruA//ugpQ//
ComR	araD//
CpxR	uspD//ptsG//ygbK//ydfD//dhaL//araC//yafO//rimP//casC//ptsH//sbcC//mdtE//sutR//uxaA//qseB//aceB//cusC//glcB//puuR//galS//cysH//rybB//ygiC//ftnA//pstB//phoB//mgrB//fimB//puuP//sucC//narH//yiaN//nuoM//manZ//mntS//glpA//rpoE//ugpB//mepH//garK//ynbA//hyfF//lsrG//hypA//murF//metC//flgK//narK//feoA//trxC//caiF//atoE//galR//cusF//osmY//ydiV//fepE//rprA//phnP//zntA//dpiB//glnK//aceE//bacA//dinD//qseC//phr//amtB//dhaL//prpD//
Cra	ydeM//ybhS//gutQ//nrfD//entE//feaB//feoC//folA//fadJ//leuD//glnP//kdpF//dinD//fhuD//wza//puuE//mdtB//zntA//flhA//pgaC//hyfD//lsrK//entD//zntA//galK//grxA//gspO//gcvB//mhpC//sroD//bluF//frdA//pspA//potI//fliI//leuD//idnT//ynfG//marR//ybaT//xylR//murR//trpD//hybG//serA//rbsA//ulaD//znuC//cheA//araA//aidB//ppsA//pspB//entD//glnB//fixA//hycC//sufB//osmB//crr//glnD//serA//ddpF//casA//cusF//purA//accD//ecnB//cysD//fecE//purK//gadF//ynbC//trpR//hydN//nhaA//malX//rpmI//tyrB//
CreB	galS//hyfI//yqjH//pqiA//sdhD//
CsgD	uidB//cysG//ygiB//murC//trpD//uvrY//xapB//ppdA//fepC//pnp//hyfR//glcA//fabG//ptsG//yiaJ//hyfF//dcuB//chbG//pspF//ulaB//entS//ssb//yiaM//nadB//mgtL//uspE//cydA//ygbA//
CsiR	mpl//fliC//casE//asnC//pfkA//
CspA	potI//feoB//
CueR	gcvP//pstA//sulA//oxc//dpiA//fecC//aceB//
CusR	ariR//fucA//lacY//mpaA//rarA//fucP//wzxE//nuoJ//yhbT//gadX//uxaA//lsrD//
CynR	ptrA//yafO//yeaD//paaI//
CysB	ccmH//cysH//ompT//xylF//srlR//dinF//cusC//cusS//melB//malS//yjbE//dinB//tyrA//glcG//uidC//agaB//mlrA//dsdX//yfaE//yaiA//csgB//rseB//yiiS//sgbH//rsmH//lrp//narL//ssuB//accA//fliE//fecB//hns//
CytR	treR//ddpC//metI//nuoJ//ygbK//atoE//purC//lsrB//melB//sgrT//cysI//ydfD//hdeA//
Dan	pstB//ftsZ//hybF//exuT//
DcuR	argH//treR//chbR//adhE//mgtL//hybO//nupC//yjbE//pstC//
DeoR	rseA//hyfC//polB//ydfN//grxD//ybfN//
DhaR	cyoA//bolA//ppsA//mglA//
DicA	mscM//lon//ptrA//ydhU//rseB//citG//tcyP//cusS//
DinJ-YafQ	hdeA//exuR//gudP//
DnaA	entA//hisP//pykF//betI//tyrA//iscS//nfsB//sroD//hlyE//kdpF//symE//sbcC//
DpiA	dsdC//yegZ//hyaE//mpl//hipA//aspA//slp//uhpT//araC//gltJ//pstS//
DsdC	yeaR//accC//hslJ//
EbgR	ahpF//sucA//
EnvR	lsrB//fadA//
EnvY	mltF//nirB//
EvgA	puuR//ssuB//lrhA//rimP//cdd//flgJ//nanM//fimE//rffG//glnH//glnD//marA//uxuA//narL//ygaC//ccmC//rbsK//bglF//dinG//
ExuR	yiaO//ygdB//ymjC//tdcG//ccmB//mngR//dsbG//ydbD//tdcA//
FabR	lsrD//cpxR//
FadR	garP//speB//feoB//sgrR//phnE_1//cadA//fadB//glnA//paaK//potI//osmC//fecA//mazE//dgcC//yfdE//dcuB//tadA//ldtD//mtlR//fecI//ftnB//ftsZ//napF//
FeaR	mnmG//ahpC//
FhlA	csgA//ddpX//deoA//nfsA//cdaR//nfsA//entC//purA//chbC//dapB//purA//ydcV//nagB//lsrR//fucP//caiD//ydfX//astD//lysR//yeaR//iscR//yfdE//nuoA//aroP//fau//dctR//metQ//srlE//glpC//yegH//
FlhDC	gadC//dcuR//cynR//fliM//rffH//tnaB//rimP//dinI//sdhB//ydhY//hycI//cynR//pspC//mhpT//xylB//ascB//deoD//ulaC//ybjC//ydeM//gltK//accB//tauB//yfdE//aroM//rhaT//lsrD//sulA//bioB//ftsL//ppdB//cysP//waaH//dmsA//lacY//gutQ//ftsI//sgbE//yeaH//fbaA//kdpC//dcuD//yjhC//cysB//cynS//gudD//paaY//flhA//mdtA//pgi//ascF//yoeB//iraP//dinI//astC//gadE//ampC//fhuA//gcvA//pdhR//sfsB//oppF//ynfG//ulaG//potH//glcB//oppA//yccA//purH//slyB//recF//ugpA//ydcU//bacA//mgtL//hisJ//wzyE//sgrR//gcvT//glnL//hmp//sfsB//
FliZ	malS//nuoM//ydiU//ulaF//sucA//gltK//mdtA//ycjY//hyfR//rpiR//ccmB//hslJ//aceK//metI//ppiA//uspA//hyfJ//mhpB//argH//betA//pgi//
FucR	betI//murQ//ydcS//trpB//paaI//hcp//nrfF//
Fur	narK//hyfC//narK//nimT//yfiR//rclC//uspE//sdhA//atoD//ycjX//nanC//yccA//sbmC//ompW//yfbR//yciE//hcaD//gatC//rpoE//rutF//katE//melR//wecB//higB//fhuA//bioB//accA//yebG//rutA//ubiC//paaJ//fabD//nrdD//sbmC//znuA//mtlD//pgpC//mngR//purB//nrfE//mdtF//gltL//phnN//rcnA//acnA//rbfA//cdaR//agaC//glgC//agaW//agaV//omrA//cysN//nrdI//rpoD//yecR//fdnH//nikA//bolA//dpiB//glmU//yhdZ//nrfA//ogt//wrbA//araB//ygbA//degP//tauD//nemA//gntT//add//yegZ//acrB//mprA//trxC//cysJ//mdtD//rutE//hybO//oxyS//zwf//hemL//metY//pdeL//nanT//gcl//rplT//iclR//lysC//yfbR//dcuR//yiaO//ydeO//aidB//oppA//poxB//ung//manX//flgF//gspG//xylB//ydiU//nagA//glnP//ibaG//udp//tcyP//fes//dacC//aceF//ygeA//entS//cysH//cecR//malK//ebgA//cydB//tnaA//mipA//yhdX//dmsA//mdtD//ymgC//lamB//nrdF//yfdV//fliT//tsr//acnB//
GadE	xylB//tauC//murC//pflB//fnr//yefM//mntS//artP//nrfD//fabH//pdeR//phnP//galM//moeA//chiP//rimK//alaC//kdpB//torR//betT//argB//puuE//fiu//glcG//rpsO//idnO//xylH//ynbB//bglB//
GadE-RcsB	ttdR//hipB//gltL//cysW//aroH//nrdH//uspD//treB//aceE//
GadW	uof//fepD//hcaF//yccT//tsr//ubiC//ykiA//gntP//purM//atoE//fliL//aroL//argR//yncE//ecpA//
GadX	phnP//hflD//citX//csgE//malQ//mngA//gspL//ydhY//fliA//fau//mhpB//pykF//oxyS//aceB//acrD//purR//ycjG//bamE//pheM//ybfE//pdeL//cvpA//tauC//yafO//mgtL//cysW//fucK//aslB//ykiA//
GalR	uidC//poxB//glk//caiT//ynfK//cysA//yibQ//citC//flhD//murP//
GalS	zntA//htpG//ttdR//rcnB//ybiT//feaB//dmsC//spy//creB//betA//
GatR	ldtD//mraY//alsA//lysR//mdh//yhdZ//
GcvA	tnaC//mpaA//ynfK//cadB//infC//
GlcC	yiiS//acrB//melA//cysI//safA//tdcF//ymjC//
GlpR	uxuR//lysP//caiD//ccmD//tktB//mioC//phnK//mazG//nimT//
GlrR	umuC//degP//rhaD//flgM//gdhA//
GntR	paaZ//alkA//fhuD//hyfH//mdtF//yiiS//accD//nhaA//ydeN//fecA//ycgZ//flu//
GutM	dhaL//oppB//ydeP//rbsC//hyfD//glcC//mdtF//
GutR	fabB//ascB//adiC//yoaG//yeaH//rutD//melR//
HU	narK//cdd//tdcF//yegR//uspE//yfdV//hyfD//flgI//insD//
HcaR	yiaN//nrdH//dkgA//ilvC//lpxC//bioC//
HdfR	fucO//fiu//rnlB//kbp//ftsI//
HigA	nuoM//aceK//
HigB-HigA	glnP//flgC//
HipAB	ybjG//htpG//hemH//fepB//codA//
HipB	napH//argD//ppiA//gcvB//sucA//hisJ//
HyfR	ykgM//ydbK//fecD//sufS//moaB//rnlA//fepG//leuD//bhsA//narI//mhpF//gatD//
HypT	ygeH//rbsB//glpK//btuB//metB//rpoH//mscM//asnA//gltI//ascF//rtcA//lacA//puuR//
IclR	ybaT//nrdI//wcaB//gltB//
IdnR	crp//gadF//cusA//deoD//fliP//yoaG//dctA//
IlvY	rstB//flgD//
IscR	lsrD//gabP//cpxQ//nrfC//pdeH//cytR//cvpA//yqaE//motA//lpxC//relB//sbmA//fabH//fepB//hmp//nfo//mazE//nuoJ//tpiA//moeB//mtlR//gltD//mdtC//gpmM//cho//astD//yebG//ddpF//phoE//agaW//manZ//fdnG//
KdgR	fadJ//ytfE//
KdpE	dkgB//acrD//cusB//sufA//
LacI	yneM//acrA//agaS//
LeuO	rbsA//hypA//kdpA//murC//yiaM//glpQ//gdhA//thrS//rhaB//nagE//recB//agaC//dacC//hycC//lsrC//nuoJ//citE//zraR//creC//malX//
LexA	yciF//sufA//bamE//hyfD//murP//pspF//nanE//treB//rpsO//phnD//appA//trpB//ytfE//pagP//lsrR//guaB//icd//ccmD//dicB//rnlA//gadA//paaB//recX//fadB//fecD//casA//nikB//aroP//rclB//casD//rpoH//ydfN//fbaB//chbC//lacZ//ddpC//envC//sdhC//araF//ppdA//hipA//betA//fabD//ttdA//rpoE//ilvY//metQ//gspF//treC//paaK//rplT//marA//mglA//garP//arsB//glgB//mdtD//dsrA//yjeV//
LldR	crp//hybF//cusF//
LrhA	phnF//paaF//gudD//citE//
LsrR	hydN//mtr//yefM//focB//phoP//glcB//ccmB//wcaA//fucO//
LysR	glnD//hybD//
MalI	ykgM//agaA//ybaS//
MalT	gadA//recB//mazG//flgG//galS//citF//cytR//nusA//wza//fucK//
MarA	ebgA//fecI//flgJ//sroD//fliI//nagB//nimR//narG//cusS//gntT//motB//umuC//rpsO//argG//wrbA//psiE//citF//ynbC//bluF//ampC//uhpT//mtlA//gatA//garP//patD//sgrT//astA//hflD//fruK//dctR//pgk//fucU//thiP//glxK//hslJ//agaW//cdaR//bglG//
MarR	dgcZ//potF//dtpA//
MatA	ycgZ//feaB//cusR//glcE//gspH//narH//fliI//mngA//
MazE	ulaE//murC//aroP//
MazE-MazF	qseC//lpxD//lysP//
McbR	nanS//tehA//fhuA//nuoJ//
MelR	yjhB//tyrA//gltJ//
MetJ	ygeH//stpA//glcD//rpmI//mglB//ygeH//hyfE//nikC//yagK//appC//mzrA//yefM//melR//bioF//gntU//
MetR	hisM//allB//hokE//nrfD//ydhU//
MhpR	nrfB//infB//stpA//pdhR//rhaA//paaF//
Mlc	chiP//manY//moaD//yrbL//infC//pflB//hycD//rpoE//gutQ//phnJ//
MlrA	flhC//ybjC//fecE//ompF//hypA//cpxR//patD//casA//agaW//dsbG//
MngR	phnE_2//fliZ//flgA//
MntR	aceE//melA//kdpC//ftsW//moeA//
ModE	ptsI//ubiA//pyrD//dnaG//dhaL//purE//dgcZ//dkgB//gutQ//rhaT//wzb//ubiC//entH//fliH//ynfK//rcnB//lamB//sbcD//hypA//ddpB//fliH//ccmD//flhE//fdnG//sufD//arsC//mdtD//hyfA//uspE//recX//ecpA//ynbD//slt//ftsZ//emrY//phoA//ycjX//zraR//ompF//allS//dkgB//agaA//iscA//nohA//rutE//ftsK//
MprA	rnpB//artJ//allD//bioF//torC//fliI//
MqsA	ymgA//soxS//fhuC//atoE//hokD//fadE//entH//micF//
MraZ	glpX//yfiB//waaY//kdpA//dcuS//ftsA//fruA//argF//garR//gadX//tsgA//rseA//tdcA//acnA//fur//aspA//fucU//
MtlR	modB//sgrT//ygeA//
MurR	aceE//umuD//hycF//
Nac	cysG//kbp//ygeA//ppdB//fucA//cspD//cydA//yqhD//hyaC//dsdX//fucK//icd//ymjC//fliT//rutE//mcbA//glgA//xylF//yciG//hyfG//cysE//
NadR	xapB//xylR//ariR//nuoL//
NagC	trpL//emrA//fecC//betB//ygdB//rhaB//ygaC//metR//fes//zinT//ung//sroA//sroD//ydcV//fhuE//gadF//allB//ompT//glyA//puuP//pnp//ydbD//recC//pgaD//rpmI//nusA//rpoH//tolC//yfiR//tsr//ftsK//cynX//psiF//mtr//ygbA//ydfW//malT//
NanR	hcaE//adhE//umpH//slp//ybfN//dsdA//pfkA//ftsK//yjjQ//ppdC//recB//
NarL	napA//xylH//nfuA//prpB//ppdA//creD//rimP//dinI//cysG//phnG//citX//sroD//tnaC//gabP//hcaD//entA//frdC//phoA//speA//ptsG//thiP//csgE//infC//hycH//yidQ//tsx//cysB//nagC//lldD//pstA//melB//artQ//nikD//kbaZ//flgN//glnB//cueO//tcyP//xylR//gatY//ccmF//feoC//tpiA//yagK//lsrD//purM//dsdX//cysA//gntP//ppdB//yciE//accD//dhaR//ymiA//paaZ//dicB//ycgR//rstA//uvrA//sfsB//hisP//prpB//ydbD//bamE//galM//iscU//emrY//sufD//ftsK//crr//yhhY//wzxE//hokE//pyrD//tbpA//uxuA//glnH//caiC//gspI//pdhR//sroC//chiP//uvrY//rybB//ynfH//puuP//entD//cadA//galP//marA//murP//psiF//flgE//recF//nrdD//dpiB//sucB//katG//pheT//yjjQ//metC//nanM//asnA//gspO//hcaD//malM//fliE//appB//csgB//citX//wzc//tam//hflD//ygiA//cyoC//dinF//glcC//yeaG//glgX//patD//moaC//malE//yaiW//
NarP	rclA//cysK//trpR//ihfA//yeaG//glcA//gadF//cdd//uidB//uvrB//mdtB//alkB//ybjC//mhpF//nirD//ybiT//ccmG//fepA//fdnI//dmsC//flhA//fhuC//rseC//dkgA//nagA//yafN//fixC//pstS//manZ//sgbH//eno//lldR//tcyP//hyfC//fruB//lldP//appX//xylR//ygiC//hcaD//pitB//alaC//ygbA//carB//sdhB//cysP//mpl//tfaQ//yqjH//galM//
NemR	cysN//argP//gadC//
NhaR	ynfF//paaE//baeS//higB//ydhV//pdeL//yqjI//
NikR	higB//citC//alsC//yeaD//phnG//pspC//
NimR	ybjC//moeB//
NorR	cytR//nfuA//ddlB//
NrdR	yjhC//flgC//norV//glnL//mpl//yeaE//symE//glpX//hdeB//
NsrR	speA//malZ//rarA//fepA//mntS//gspC//rpiR//yhbT//rimP//ydeM//motB//gabP//tdcF//nhaA//dicC//acrD//purB//glmY//flgK//cvpA//glgX//flgH//glnB//xylF//nrdE//cysU//gpmA//creA//tolC//leuD//fabA//hyfC//pyrD//lacA//pgaB//uvrD//dsdC//paaB//yjjZ//ychF//rbsD//mpaA//xylH//murE//bioC//dgcZ//yhcH//mdtF//focA//manY//mdtC//fes//fhuE//hcaC//mltF//ascB//hyfJ//nrfG//rutF//hlyE//mazG//kdpB//sdhD//edd//relA//hyi//borD//yeaG//ynfE//deoD//pspD//marA//yjhC//rbsB//sgrR//srlA//glk//srlB//metL//cadC//norV//sfsB//wcaB//
NtrC	ydfH//glpX//glnG//paaI//pnuC//allE//cyoE//glcB//atoE//gcvA//ydhU//nuoG//cyoA//obgE//ldtD//purN//cysD//hipA//ompT//gltJ//cadA//purN//micF//moaC//aroF//fixC//creC//intQ//asr//sufA//ychF//pqiB//ybhL//ccmG//hlyE//nagB//yfdX//metJ//ynfK//lon//uidR//mhpT//carA//yhcH//cusR//yafO//ybfN//yciX//iclR//
OmpR	ibaG//ybhL//cbl//rseA//ydeN//astE//ppiA//rbsA//zraR//glcE//napD//allS//leuL//yeaG//citG//nohA//ccmG//ymjC//bhsA//wza//rbsB//
OxyR	argF//lysP//ssuC//leuO//argA//exuT//ymgA//rybA//srlR//ymjD//flgC//nrdA//trpL//tdcF//fliL//hypA//talA//argP//lsrB//guaB//ppsA//recD//fecI//recD//lyxK//yidL//idnO//ddpB//lldD//ldtC//pspB//ompN//artJ//ybfN//
PaaX	manZ//malZ//malF//glnA//murQ//tyrB//dmsA//xapB//poxB//ddpX//nrfB//cysW//xylF//gudP//
PdeL	htpG//
PdhR	ompT//folA//fruB//ycjX//xylG//marB//rsmH//rtcB//rcnR//phnM//phnM//dinB//tam//mlc//fadA//hslJ//phoQ//glgX//decR//yhjX//hyaB//nemR//fepC//ompC//sufS//focB//adiA//fabH//hycH//torD//sufS//flgI//torR//cysG//gntP//nfo//melA//mraZ//glcE//obgE//ilvC//
PepA	nfo//ygbK//hybB//
PgrR	sulA//fixX//cyoD//argE//entE//obgE//ybaT//murG//
PhoB	mqsA//cspI//polB//flgN//ddpB//uxaA//metQ//argI//safA//glnP//glnL//fadL//ulaC//fecE//srlR//wecB//iraM//zwf//malT//argE//ydeP//sgbH//wecC//cueO//gabP//recD//cynT//prpB//lon//envC//cyoC//phnE_1//polA//dmsB//tsr//tdcF//cysJ//lpxC//gnd//psiE//tpiA//allA//csgG//torR//aroH//phnG//pdeL//paaI//tcyJ//dcuD//katE//fliI//astE//dctA//ydhX//hyi//glgP//kdpA//yeaH//tsgA//
PhoP	tauA//norR//lon//ftnA//yegZ//nimT//fucU//glcC//murD//ihfA//hslJ//bioB//uspE//cusB//rpmA//dhaL//flgH//allA//yfaE//fecA//bglB//galT//glcG//glcF//ccmC//moeB//glpT//argP//aroL//hypD//ugpA//rutC//dapD//leuC//bluF//fliF//cyoC//murE//flgB//fbaA//allE//ynfF//araG//sgbU//ydeN//fes//yfaE//fliG//grxA//glcD//rbsC//gudP//betB//yeaH//rcnR//baeR//
PrpR	flgH//citD//ppdB//yoaC//argH//
PspF	nrdD//ompF//xylR//idnR//malK//fruA//glyA//
PurR	tauA//puuB//yafP//lysA//ymgA//speA//ygdB//nimT//rutG//gcl//dgcC//aroF//yhbS//ugpC//soxS//ulaE//yegR//alkA//argF//glpF//metH//prpR//lon//garD//galT//leuL//fabD//lpd//ppdA//argO//mtlR//
PutA	fepB//ykgM//
PuuR	feoA//ccmB//hybD//nac//serA//pgpC//fhuF//
QseB	fucP//trpL//acrR//yjbG//
RbsR	yeiL//rseC//fepC//iscU//pspF//yjbH//tsr//znuA//tdcE//
RcdA	cysA//yqjH//lysP//araA//appY//purE//phoP//acrZ//ydcS//
RclR	nrfB//lsrR//focB//
RcnR	aslB//ymjD//hybD//
RcsAB	artM//hcaF//oppA//lpxD//creA//nrfB//appB//rutF//glnL//ycjY//paaZ//yibQ//mtlD//ttdT//mazE//seqA//
RcsB	lysR//gatZ//ybbW//creC//cyaR//rbsC//ubiX//aroM//fhuF//yqaE//rprA//lon//kdpA//arsB//gntX//ydcV//lysO//paaC//araG//ubiA//arsC//cho//yjbG//talA//cysH//
RcsB-BglJ	omrA//ubiA//cadA//paaA//omrB//ssuB//dsbA//glnB//nadA//fliC//tadA//mtr//dsbG//alsB//allC//hypE//
RelB	mntP//modB//ibaG//
RelB-RelE	ttdB//potH//garR//
RhaR	phnO//nrdG//
RhaS	phoR//motA//speA//agaI//creB//treC//
Rob	alsA//garK//metR//pstB//yjbH//yrbL//norW//flgC//flhD//rcsA//mntP//metQ//xapB//ibaG//waaY//hybF//fecD//hipB//mglA//hypD//ybbW//dsbC//flgC//yidQ//intQ//rpmA//
RstA	yhjX//wcaA//modC//cadA//bioC//dinF//chbB//flgK//mntH//hdeB//
RtcR	atoD//csgC//
RutR	sgbU//araH//folA//frc//csgG//dcuD//csrC//rhaT//gspE//manY//cspD//amtB//mdtC//betI//cecR//icd//fdnG//
SdiA	pgi//feoC//iscS//rseC//mazE//
SgrR	pdhR//glnB//fliZ//paaJ//nemR//sodB//adiC//pdeH//ynjI//
SlyA	galM//
SoxR	fliZ//rutF//garR//
SoxS	sucB//recD//dgcZ//iscA//sulA//yfdX//umpH//carB//potH//trpD//iraP//cpxP//idnK//moaD//dsdC//allA//phnE_2//astC//kdpB//wcaB//fliL//ppc//metC//flhD//deoA//csgD//pspF//nagA//tktB//yneM//fruB//glcC//mhpC//gpmM//tktB//fliR//ftnA//argG//metQ//alsA//
StpA	torR//gntX//sufS//nac//aslB//rpoD//decR//
SutR	fbaA//ydeO//ykgO//ddpF//cas1//
TdcA	tnaB//agaV//fepD//argD//mngR//fucR//cydD//
TdcR	yhdY//pgaC//ydeN//rcnB//cytR//gcvH//rhaS//
TorR	motA//ynbD//appX//katG//uvrB//casB//glnD//yegH//rybA//sroD//ydiV//yjhC//
TreR	argD//caiE//
TrpR	hycD//galM//nuoI//hypB//araE//tnaC//fadR//creB//fadD//astC//nuoE//yjhC//
TyrR	ttdR//torC//fepD//xapA//agaC//cusR//fldB//lyxK//astD//spy//yccA//rclB//
UhpA	hisJ//
UidR	katG//cecR//gltJ//lacY//
UlaR	hokE//ydeM//udp//cusC//slp//marB//fruA//
UvrY	cysH//lsrA//purB//astE//agaI//
UxuR	ldtB//malS//hyfR//betT//rnlA//astB//dgcN//glk//pgk//
XapR	fliE//garK//
XylR	ssuB//psd//borD//fliM//dmsB//mepH//pdeR//
YdeO	mprA//gloA//galM//accD//trpA//csgA//lpd//fiu//ydeP//fecC//trpC//evgS//rnlB//pfkA//infC//dsbC//thiP//dsbG//eno//molR_1//cysN//
YedW	glyA//argD//tdcG//mqsA//chbA//uvrY//hypE//malE//mprA//pgaD//wcaB//hyfH//
YefM	gltI//exbB//
YefM-YoeB	yjiY//tehB//
YehT	katE//
YeiL	baeR//
YiaJ	pitB//appB//entC//gspH//fadR//oppB//slyB//hybD//waaY//entB//
YjjQ	sbmA//hisQ//nrdE//dmsC//rimP//gudP//ecnB//agaV//hyfA//csgD//
YpdB	fabB//
YqhC	mntS//murE//
YqjI	trpE//tam//
ZntR	hyfB//
ZraR	glmY//dsbC//hyfR//
Zur	rutD//fadJ//yiiS//nrfB//nrfF//ydfE//
