#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hcp//sroC//
Cra	hmp//moaA//fbaA//feaB//sufA//flhE//flgG//yeaE//ydhU//araH//nmpC//udp//speA//dkgB//evgA//chbC//degP//gatY//fldB//idnO//nuoL//argB//cas2//ilvY//yoaG//nrdF//dcuB//nikC//accA//nikB//cysB//nrdD//nrdD//znuA//recC//rdoA//dps//sroC//icd//deoC//dcuD//allC//gspD//hisP//fliJ//nhaR//agaV//cysP//flgB//ddpX//motB//yiaK//argG//gltB//fliL//infB//ydbD//pgi//rhaB//yagK//gntP//sdhA//mraZ//alsA//rffM//agaD//codA//lsrK//wzc//fadJ//hemL//cysE//fepE//hcaD//rutG//sroC//decR//tisB//gntK//
CreB	wza//uxaA//bioD//malM//stpA//
CsgD	cusB//fecE//glnG//gutM//fimE//creD//recF//fadJ//gspJ//ruvB//pgm//nuoL//phnK//fecR//gspF//galR//waaZ//bdcA//fliS//rcnA//gspI//cysH//hyaC//sufD//araB//tyrA//hmp//tynA//
CsiR	fucK//hcaD//dhaR//caiB//ydcV//
CspA	intQ//fabG//
CueR	aspA//zraS//yccT//bamE//phnE_2//fldB//yefM//
CusR	lldP//gatD//carB//hycI//fucA//ibaG//cynR//fabH//gyrA//cydB//crr//degP//
CynR	pgk//fhuA//narG//pstC//
CysB	nanS//rsmH//ubiC//cydD//aceB//yhiD//rsmH//yncE//cadB//marA//cusS//pflB//pgk//pstS//lsrF//rseB//ccmD//argO//malS//yebG//iscU//hha//ppdC//rprA//uvrY//agaD//nuoI//ecpA//nrfF//psiE//purD//sgrT//
CytR	fruB//mglB//argD//hypA//phoH//yjjQ//paaA//kdpB//pstC//fruK//cydC//dsdC//fucA//
Dan	yebG//mdtA//hybC//alaC//
DcuR	fimE//phnM//caiC//lldP//ykiA//ybbW//glpX//acrB//tdcE//
DeoR	ppdC//emrB//gutM//fldA//betI//bdm//
DhaR	glnP//yfbR//nhaR//allE//
DicA	acnB//arsB//yebE//mazE//lacY//malK//tonB//dapB//
DinJ-YafQ	sdhC//metN//hcaE//
DnaA	cadC//trpA//argT//omrA//phnE_1//paaH//nrdI//ydfD//astA//uvrA//ydeO//fabG//
DpiA	galM//dapD//mhpT//nupG//nuoJ//sutR//xapB//mtlR//glnK//rnpB//acrZ//
DsdC	agaV//fliE//citX//
EbgR	ymgC//hycH//
EnvR	dsbA//nhaR//
EnvY	csgG//omrA//
EvgA	codA//yrbL//yfbR//flgB//fucO//ssb//pyrD//ung//purF//hcp//pgaB//stpA//metA//argO//galK//frdA//exuR//hycI//ssuB//
ExuR	ssuE//paaX//ybaS//fliM//feaR//leuO//puuR//prpD//lldR//
FabR	yhjC//tauB//
FadR	murP//yciG//nanM//aidB//uvrA//bioA//nrfB//btuB//mscM//glnP//yjhC//csgE//ftsI//gspO//ptsG//uvrD//bglG//ymiA//fixC//fdhF//narG//lysO//ddlB//
FeaR	soxR//pstA//
FhlA	yhdW//flhB//mlrA//pnp//metJ//galP//mpl//gspM//glpT//fabB//melB//flgM//murE//rbfA//fimE//entE//frdD//asnA//cspI//qseB//ybhR//nadA//puuP//alsE//glmS//mntP//xylB//uspA//uvrD//ygbA//
FlhDC	casB//nuoB//nuoN//lrhA//sdhC//rutA//fecI//ygiA//phnL//mglC//nrdE//acrB//rfe//putP//yaiA//murP//ada//ynfH//nanT//uvrB//bioA//thiP//sucA//xylR//creA//tyrP//fixX//ccmC//glnP//aceF//appB//rffT//fepC//gltF//casB//yjjZ//hybG//glgB//yeiL//omrB//argP//flgA//nanK//ydeO//rpiR//glpB//pstC//ugpA//ppdA//frdA//yjbG//astA//hflD//malP//cra//ygeA//rutR//ydfX//rpiR//ynbA//modC//purL//ttdT//qseB//ynjI//hycG//moaB//uxuB//dctA//lpxD//araC//casB//citF//gabT//fliM//ppc//glcG//yciG//aroL//tdcG//rhaD//yjbE//
FliZ	gltI//tauB//casE//cspI//argG//thiP//dinJ//argB//yaiW//relA//fhuA//glxK//ryhB//hyfJ//ttdA//nikR//metF//csrB//manX//yiaK//fadL//
FucR	araJ//astC//marR//fucA//csrB//folE//ugpC//
Fur	citD//yafP//cynR//glxK//chbC//ydhX//gltB//gadX//napD//gadE//gatB//ddpX//fadB//argT//ynfG//sdhB//malS//dacC//fucR//sdhD//yhdZ//nrdB//nanC//iraP//ogt//cas2//potI//glgP//cadB//sgrS//ybdZ//metF//mprA//fpr//araG//cydC//pyrD//uspD//phnF//dkgA//fliC//lacZ//puuE//uxuR//ydcT//paaZ//kdpC//borD//mngA//glnQ//chbC//symE//oppC//entD//dctA//fruK//mcbA//mdtC//sdhB//ribA//ybaT//rprA//exuR//rybB//fadJ//dps//nimT//ndh//napH//nagE//kdpA//aldA//acrD//rpiB//phnF//fhuF//phnK//lsrA//infB//alaS//yeaR//recN//edd//polB//gatA//dsdX//fixC//rstB//yjbH//pgaB//fecE//csrC//rpoE//citF//puuE//casC//gspC//appB//rutC//gltL//nadA//entD//hybA//cysP//mtlA//dnaA//nagC//waaY//lamB//fhuE//purL//ydjM//dnaA//casB//xylA//kdpF//cysU//inaA//nrdB//uspA//ybjC//murQ//fepE//fepA//nrdF//gspJ//yhiD//yfiR//leuL//sbcD//
GadE	nemR//ybaS//pheT//acnA//paaC//rstB//molR_1//moaE//ynbC//metI//thrS//nrfG//fliT//tdcF//cysB//dsbC//gabP//cspI//ptsH//yfaE//gadF//poxB//chbB//accB//rclA//prs//uspA//rbsR//flgB//
GadE-RcsB	accD//rcnR//crl//glnD//ygeH//purD//yjhC//pgm//hisJ//
GadW	agaI//adiC//metA//moaB//ccmG//uxuB//aroP//artM//xylG//fabH//fliM//agaA//gutQ//higB//argG//
GadX	hdeB//tauA//ssuE//yafP//ydcV//hdeD//mdtA//nirC//argA//aceA//pdeR//dpiB//artJ//lrp//mdtB//pspB//narK//pstA//fepG//flgK//flu//rimP//nuoB//ydhW//fabA//wzzE//phoU//ulaD//wecE//
GalR	soxS//yjbH//rimP//pstS//thiQ//pgi//rbsB//emrB//yhdW//phnF//
GalS	phnP//hyi//gspI//modB//yrbL//cspE//nfsB//dmsC//glpX//nuoG//
GatR	ompN//ymgA//fnr//yhjA//rclB//narH//
GcvA	waaH//tnaB//ydfW//pspD//trpA//
GlcC	frdD//ddpB//erpA//arsC//umuD//hybO//ddpF//
GlpR	ftsL//xylB//araD//nrdF//setA//emrY//ymgC//ftsK//patA//
GlrR	citX//bdcA//atoE//pgaD//hisM//
GntR	nrdB//ssb//nrdI//fixC//fliQ//narK//pdeR//hns//rpoH//sufC//citG//pitB//
GutM	hisM//seqA//emrY//wrbA//ycdZ//paaI//yedX//
GutR	narJ//nagB//argI//iscS//napF//oxc//amn//
HU	cbl//lsrF//uspA//fdnG//dsdX//murI//ubiA//yjjQ//cynT//
HcaR	rdoA//ydeO//purC//atoA//purF//ydeP//
HdfR	amn//nlpA//yiaO//yhiD//hyfR//
HigA	icd//treR//
HigB-HigA	pitB//rpsU//
HipAB	murD//oxyR//rplU//pheS//cspE//
HipB	glpC//dmsC//glxK//rcnB//gutM//fdnG//
HyfR	gadC//iscU//ulaB//yjbF//artJ//dhaK//ydiV//dinJ//sodA//kdpF//hyfI//csgF//
HypT	ulaB//cusR//dkgA//entF//pncB//rutC//codB//gutQ//flgL//araC//uidB//folA//rnlB//
IclR	glpA//phnE_2//fruK//bglG//
IdnR	qseC//ulaA//fau//nohA//ulaE//pgpC//ynfF//
IlvY	sucC//sbmA//
IscR	nadA//dicC//yiaO//rdoA//dicC//cspE//agaC//rpiB//ynbB//aroF//rutE//bioC//glgB//srlD//dsrA//metI//ynfF//yqjH//pitB//gloA//osmC//cbl//tcyP//hisQ//puuA//trpD//rybB//ompN//lldP//fadM//ydhV//purA//
KdgR	nemR//nac//
KdpE	cvpA//fadM//rutE//lsrK//
LacI	skp//dnaG//rbfA//
LeuO	emrB//fecB//uvrA//prpC//adhE//pgm//rutG//pgpC//ecnB//aslB//flgK//cynS//mioC//rcnR//caiT//gspD//yhdX//galR//ddpX//ubiA//
LexA	malF//ybdN//melR//astC//polB//mglC//phnI//sgbE//flgE//recD//flgJ//fecA//fixA//trpE//purB//ppiA//emrY//exbB//lexA//znuB//purF//nirD//aldA//nhaR//sbmA//lldR//hybB//rseA//srlB//torA//slp//malF//ulaD//marR//argC//araB//nrdI//skp//phoU//araG//amtB//katE//envC//hyfH//flgJ//agaI//dicC//hcaB//wecC//tfaQ//iraM//rsmH//yafN//agaC//yqaE//ftsZ//rnpB//xylF//relE//
LldR	araA//entC//mgrR//
LrhA	ompF//mngB//tam//yafO//
LsrR	ftsA//glnP//ybfN//yedX//fecR//ptsH//napC//ulaD//glpF//
LysR	dnaN//nac//
MalI	nanT//kbaZ//hycA//
MalT	envC//iraM//aroF//murE//mngA//treC//yeiB//pyrD//ydfN//glcD//
MarA	paaA//yeaE//dmsC//torD//csgB//phnO//dsrA//yciW//ydfD//marR//purH//hisQ//sufB//cpxQ//ndh//yiaM//artP//cydA//chiP//gltL//hcaE//dctA//aceB//pspD//nirC//fabG//uidA//fliK//gatZ//ulaC//flhA//cyoC//yoaG//galT//tauD//fliR//asr//dhaL//
MarR	thrS//sucD//yaiA//
MatA	gadW//gudX//lyxK//glcA//fliN//ssrS//flgB//ytfE//
MazE	yoeB//ynbA//pck//
MazE-MazF	hcaB//malS//grcA//
McbR	gapA//glnK//cynR//ymgC//
MelR	cheA//fabH//nfo//
MetJ	ahpF//phnC//pdeH//mazE//ftsK//guaA//hybB//glnG//ybhG//gspL//hyfR//hyaC//marA//motA//srlB//
MetR	dapB//gspL//malI//casD//aldA//
MhpR	trpC//mzrA//ybfN//eda//fecA//rpmI//
Mlc	cytR//patA//seqA//garD//ompN//nrfC//citX//rpoE//sroD//insK//
MlrA	yjbH//garR//ruvB//rstB//napH//nuoN//ybhG//moeB//safA//treC//
MngR	argT//ihfA//nupG//
MntR	ybhL//tynA//ibaG//artP//seqA//
ModE	uof//mdtC//ccmB//appX//malZ//deoA//citF//leuL//aldA//ssb//lysC//qseB//paaZ//narI//ybbW//hybD//gcvH//astD//artP//psiF//htpG//marB//fbaB//pgaD//yoeB//flgB//deoB//ogt//frdD//ygeH//idnK//aroH//accD//rplU//malY//argE//ttdT//ybjN//fabZ//yiaL//treR//dsbG//nikE//purL//ycjY//sbcC//
MprA	ppc//alsE//paaB//paaJ//ygbA//bolA//
MqsA	rseA//gor//tnaC//atoB//moeB//fhuC//argH//modA//
MraZ	emrY//mltF//purM//dinD//argR//lon//yhjC//nanA//ynbC//rbsK//agaI//hycI//leuL//polB//phnI//gadB//rutD//
MtlR	tadA//phnD//flhB//
MurR	acrA//metQ//lsrG//
Nac	yafP//ydcU//citE//wzzE//gltD//gapA//psd//melB//mglC//malE//pdeR//hemL//yjhC//mtlA//cynR//pgk//obgE//aceB//ulaA//cysA//frdA//
NadR	mltF//ydcU//cpxQ//nemA//
NagC	leuO//rhaD//yeiB//xylG//hdeD//allB//mazG//folA//yecT//dcuA//flgC//idnT//rcnR//chbG//yidL//cheA//deoA//ybaT//relE//prpC//zraS//malK//citX//gapA//adhE//asnB//fepA//araB//mdtA//omrA//murQ//trpC//gatZ//oppD//ulaC//agaS//phnN//
NanR	fadL//fecC//acnB//dicC//rpoS//exuT//fucP//nanT//rpmA//ydhY//yhiD//
NarL	sodA//hybG//yefM//molR_1//dinJ//ilvC//moaA//ynbB//rutE//hybC//prpB//metK//insD//rnpB//pstC//malI//ydfX//bioF//fliR//asnA//cas2//ycjY//agaI//isrC//guaA//yjeV//ydfN//lsrA//dapB//lsrD//gadE//mpl//nrfE//xylR//cynX//gadB//truB//nmpC//pyrD//appC//nac//ygdB//uxuA//tam//gadE//moaE//melA//fliR//bhsA//yoaG//ptsG//nanA//tnaA//ycgR//fecR//nupC//deoD//casE//yccA//setA//ddpA//lsrG//cysM//waaH//pck//hypF//asnB//tyrP//glk//fliZ//nuoL//deoB//yiaN//xylH//hyfI//dinB//aceF//paaE//cadB//kdpF//sufE//tbpA//potF//fabA//hcaC//ampC//kbaY//uxaA//mraY//malT//chbR//bglF//fliS//omrA//napA//luxS//hybB//ompC//entH//argB//napH//nanE//lyxK//yhjA//ybbY//pgk//citD//fecI//hyaD//dsdA//napC//murP//narH//tdcD//pyrD//cynX//fiu//rbsR//tcyJ//hcaD//puuE//aceB//gadC//
NarP	yagK//oppB//srlR//atoB//yjbG//sgrS//yegR//gntU//nuoN//narL//nanA//sufS//pgk//rpoD//sucA//galE//cpxR//manY//moaA//hypE//yiaJ//dinF//alsC//nadB//fdnH//gcvT//hypD//ttdT//pgaA//csrC//psiF//cusF//cysB//rob//chbA//lacA//mdh//dapB//ydiU//yqjA//feaB//mcbA//motB//nrfB//rpiR//bolA//hybE//micF//ugpE//wzyE//
NemR	napA//aspA//fliP//
NhaR	cysP//aroP//ydhT//araF//yeaH//ubiX//sdhD//
NikR	ccmE//mgtA//tauC//rutA//mqsR//cysM//
NimR	rffT//yeiB//
NorR	nrfA//paaA//hyfH//
NrdR	rcnR//oxyR//aidB//nimR//pqiA//murQ//nmpC//sutR//osmY//
NsrR	accB//hybD//relE//ydcV//sdhD//astE//kbaY//mepH//stpA//iscA//accA//nikA//codA//melB//feoA//hflD//sutR//baeS//alaC//fucA//pgk//yjhB//cpxQ//ariR//yoeB//pspG//cydC//csgF//fiu//nanS//dsbC//znuB//nac//nagE//glgA//caiT//cynT//ecnB//chbG//lpxC//cysH//flgC//nuoA//glmU//ydcU//psd//gadA//bioF//hokD//norR//glxK//bhsA//tauD//yiaL//hcaB//exbB//yeaR//hipA//sfsB//glpK//ycjX//rpoE//phnM//araA//appX//lpd//cspE//cpxA//sucD//pykF//mdtE//mgrR//hybO//ynfG//metE//yeaG//yfiR//agaI//ogt//recD//fiu//asnB//mdtF//
NtrC	torR//glnB//caiF//bluF//osmY//srlE//envC//agaA//nuoG//tcyJ//truB//degP//citX//mazG//fhuD//rclC//yeaD//gatC//mgrB//rcnB//nrdA//modC//paaZ//caiC//gatC//appB//edd//marA//nuoE//ynbC//slyB//ydbD//cpxR//patD//ompT//tomB//citC//ynbB//ynfE//gatA//phoR//murE//omrA//nuoI//paaY//gatB//hycF//nuoE//atoB//
OmpR	entD//gcvT//ptsI//sroA//znuA//nupC//purA//yciG//fldB//lacA//bluF//yegH//purH//cysB//nikA//casD//aldA//gadC//cadA//mntH//phnF//
OxyR	cytR//idnD//crr//nadA//acnA//murI//lsrD//citG//dctA//potF//dsdC//hipA//ompN//gltK//nadA//ycjX//katG//ruvB//yhcH//hmp//rutE//bhsA//rhaS//fucU//ibaG//ptsH//rdoA//yfiB//glnK//mglA//ycgR//csgD//yfdE//efeU_1//
PaaX	napF//cusB//bhsA//allS//ynfG//napG//carB//uidR//ryhB//nhaR//yhdX//cysE//ubiC//fucR//
PdeL	ddpA//
PdhR	rutF//fhuA//hcaF//ruvB//ugpB//puuP//gutM//manY//speA//flhC//cysB//paaA//araG//fadR//hyfD//nohA//dctA//hycH//caiE//mazF//nemA//dmsC//dpiB//folA//gatB//fhuC//fabH//rybB//rffT//gltI//mglC//inaA//nikB//purL//ecpA//entE//nagE//dhaK//mntP//rybB//accB//
PepA	phnM//argB//torA//
PgrR	nuoH//aceB//yeaE//marR//ldtC//accD//sucB//gadE//
PhoB	ccmH//norR//acnA//yiaO//grxA//fepA//dinQ//rplT//manZ//cydC//idnK//fldA//tsgA//paaF//rutB//leuD//dinQ//insK//wzzE//pheS//yeaG//cysU//iraP//fepA//yaiW//chbG//galE//glpD//ycgZ//sufE//potH//malG//nagA//paaB//rseC//agaV//feoC//slt//motB//nrdE//ppiA//glpT//phnK//acrD//mqsR//malX//citD//sdhC//dpiB//glnQ//bioA//metK//fliZ//ulaE//yeaR//ppiA//rpsO//yqhD//sroD//dps//
PhoP	napA//cydD//accB//prs//rutG//malZ//cysH//truB//lpxC//dsdX//tdcD//pstC//rbsD//ydhW//fadA//cyoD//tadA//yeaE//cusA//sulA//marA//creB//argT//glnG//cvpA//rpiR//tbpA//dmsB//ulaB//yoeB//fhlA//pstS//pspF//frdA//flgN//mhpB//tdcG//allA//cysG//fhuB//argI//zraS//argI//modB//napA//lsrB//dsrA//sra//ftsQ//paaE//gadF//tauD//csrB//rpoH//ulaG//puuD//
PrpR	rybA//ygbA//metN//fliL//fecD//
PspF	yrbL//fucI//argC//galK//glnD//tynA//glgC//
PurR	relB//fixB//purK//flgK//murQ//phoP//creC//fliF//phnL//allD//iraM//galS//yebG//lamB//gadY//gspG//eno//ryhB//rhaR//ycgZ//rutR//ftnB//relB//fucO//ycjG//uxaB//osmY//fabH//inaA//fucK//agaA//
PutA	betT//rseA//
PuuR	mqsA//osmB//iscR//ptrA//uvrD//bioC//cdaR//
QseB	mltF//rclA//araC//paaI//
RbsR	gfcA//frc//tdcC//napF//fliA//degP//emrB//casD//aldA//
RcdA	modA//nuoL//ccmG//feaB//yfiR//lpxC//nrdD//purH//fau//
RclR	gspH//glcG//murR//
RcnR	cspE//ydeO//fliD//
RcsAB	znuC//uidC//fdnG//xapA//rfe//yrbL//gnd//lsrR//argR//yfbR//yhcH//ydiV//phoP//pspA//cspE//flgI//
RcsB	nrdD//pspC//rbsB//ttdA//yjbH//uspD//rutB//yedX//nikE//rprA//flgI//nemR//galP//fhuE//recA//atoB//rfe//glpA//hycI//ftsZ//tam//spy//glyA//gspO//hydN//
RcsB-BglJ	cysE//murD//mhpC//mdtB//lhgO//flhB//argE//aceA//norW//nagE//accB//rutE//mazG//pgpC//rbsC//manY//
RelB	pgaA//araG//cyoD//
RelB-RelE	nmpC//dicC//csgE//
RhaR	araC//nuoL//
RhaS	ybjC//gatZ//fliZ//dgkA//bamE//feaR//
Rob	hydN//alsB//torA//adiC//gcvB//araJ//efeU_1//paaI//ydcU//hyaE//acrD//speB//wrbA//fldA//psd//baeR//nuoE//bamE//ygbK//yjhC//hyaE//napH//ygeA//emrY//paaA//argB//
RstA	yjbG//ykgM//astA//gspL//yiaJ//pqiA//paaA//wcaB//phnP//pepD//
RtcR	agaI//ompT//
RutR	idnD//tdcC//ccmD//tbpA//fbaA//allE//betT//rhaS//tisB//gspO//sucC//lldP//mazE//ryhB//psiF//hokD//ykgO//
SdiA	yibQ//ompT//aceK//polB//hycC//
SgrR	gor//glcD//iraM//ymgC//fiu//pnuC//leuL//nuoE//malY//
SlyA	potI//
SoxR	melB//argB//lacZ//
SoxS	ilvY//hipB//gspC//glnQ//nrfF//citG//fadI//nanT//ccmE//purR//fabH//fixX//gspK//hyaF//tauC//rutD//sutR//torC//argO//ftnA//ppiD//bdcA//nemR//dapD//yncE//erpA//rdoA//lacY//fabG//ptsG//ddlB//cysM//yfiB//iscS//rnlB//mscM//fepE//ybhR//aroG//flgB//
StpA	ynfK//paaK//phr//cirA//araD//fdnI//yiaL//
SutR	paaH//luxS//uxaA//glcE//nuoM//
TdcA	ssuA//fliL//rcnR//glcG//gatZ//ulaG//talA//
TdcR	lldD//napD//ynfE//yhdY//lysR//fliP//fadM//
TorR	ykgM//paaA//gltF//dinB//nuoH//mgtA//yeaE//leuC//cadB//hypE//cspI//sufS//
TreR	alsE//flhD//
TrpR	cyoE//fhuD//feaB//sbmA//nrfG//potH//yegR//mzrA//fadR//cadB//yciF//paaI//
TyrR	puuR//casC//ydiV//sufA//flgE//nanC//hyfH//allD//znuC//yciE//yeiB//tcyJ//
UhpA	flhE//
UidR	malF//pspC//marA//argC//
UlaR	yjjZ//cusS//idnD//gspO//moaD//ybfN//gspM//
UvrY	tdcA//glnH//nanM//rbsD//flgH//
UxuR	polA//ugpB//insD//sbcD//cysJ//poxB//moaB//sucB//ubiC//
XapR	casB//yqhD//
XylR	glgC//codA//hcaB//ygiB//phoE//ynbC//yqjI//
YdeO	ynbA//nikD//glxK//astD//nupG//glpQ//nohA//ftsK//cysH//rstA//znuB//gadE//asnC//nanE//flgL//yeaH//gntU//exbB//ygdB//seqA//mzrA//
YedW	gadW//yeiB//bdcA//paaI//hisQ//manZ//glnQ//waaZ//spy//mcbA//ssuE//cheW//
YefM	speB//phnP//
YefM-YoeB	rffC//ybaT//
YehT	citD//
YeiL	yqhD//
YiaJ	bglF//ybhF//mdtF//hypE//mhpT//iclR//pnp//sroA//yciX//dgcZ//
YjjQ	ygiZ//lysR//metH//cysG//gntU//fhuE//alsC//ydfD//nikE//mlc//
YpdB	manY//
YqhC	argT//dinD//
YqjI	lpxA//gltL//
ZntR	mcbA//
ZraR	glmY//rcsA//ydeM//
Zur	dhaR//hybD//manY//ulaC//cysD//uvrB//
