#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	oppA//phoB//
CdaR	nrdB//gadX//uidA//hyfR//chbG//hyfE//gntT//tdcG//dicB//nirC//
CecR	gatB//fadH//gltJ//trxC//iscU//
ChbR	xapA//phnL//flu//paaF//chiP//nuoG//
ComR	efeU_1//
CpxR	nrfC//fliI//nrfB//oxyR//fadB//zraR//hycH//casB//pdeH//zraS//zraR//malT//asnB//pstS//ynbA//deoB//recN//glnQ//ygbK//hyaD//ccmE//chiP//leuL//mhpC//yhdY//tauC//tyrR//purF//ydcV//ddpX//ecnB//fepG//sufD//nanM//mhpA//wzzE//fabB//hyaC//dsdX//yhjA//glgB//cynR//tisB//phnM//yqjA//araC//flu//gspG//puuP//ulaB//pheS//cysE//uxaB//waaH//mnmG//ydcS//csiD//mnmG//flgI//cusB//hslJ//nemA//idnO//acrB//rnlB//sroA//yhdX//asr//chbC//gspJ//
Cra	sgrT//nfsA//thiP//purD//fliQ//ebgA//fruB//modB//ldtC//murQ//phoE//csrB//carB//idnO//yccT//ddpB//bolA//nrdH//creB//yeaG//bglG//fixC//amn//pck//codA//appY//yjbE//allS//paaD//garK//adiA//mqsR//malS//pspD//ydhT//pyrC//tfaQ//accD//paaF//gatC//tauC//cysI//yqjI//iclR//setA//entD//metJ//argA//malI//murP//mglC//glcF//ptrA//pitB//hycH//rhaB//dhaL//phoB//flhC//manY//murD//creA//cysH//mntP//rstB//waaZ//fimE//yiaN//gudD//tauA//rprA//ada//symE//nadA//yiiS//idnK//aceF//sodB//fucI//
CreB	gspO//ycgR//pnuC//hisQ//murD//
CsgD	modB//phoQ//pspG//nikC//nhaA//rclC//glxK//mtr//nrfE//gadB//fliP//idnT//yaiW//dcuS//nikB//artM//agaS//gcvH//lldP//nikA//yiaM//uidC//umuC//epd//dacC//udp//cusF//yebG//
CsiR	murF//tsx//cysC//rutA//mdtD//
CspA	ccmB//ydeM//
CueR	rprA//kdpA//kdpC//dcuR//xapB//csgE//ccmB//
CusR	trpR//nohA//lhgO//caiE//glcB//phnD//betB//sucB//flhE//umpH//spy//cynS//
CynR	malY//modC//slp//ybbY//
CysB	nuoC//fabD//alaC//rpiB//sucB//argF//purB//mipA//glxK//nagE//cysJ//murF//yeaD//aspA//arsR//gcvA//pepD//dhaK//nupG//chbB//metF//codA//araB//atoE//fliF//fadM//ygbA//rpiB//iscU//dhaK//cbl//uxuB//
CytR	ccmE//treR//ddpA//yeaG//gpmM//chbR//tyrA//ddlB//ogt//dgcN//fadA//nrfF//cdaR//
Dan	hha//pspD//rbfA//dinJ//
DcuR	atoE//cyoD//ydeI//allE//nrdF//sulA//yebE//glmS//dhaL//
DeoR	alsB//astD//ykgM//atoE//ppsA//tyrR//
DhaR	mraZ//fliC//pflB//agaB//
DicA	glpA//crp//ndh//ttdT//sbcD//borD//hyfB//aceA//
DinJ-YafQ	dgcC//galS//yccJ//
DnaA	ptrA//purA//alkA//hyi//motB//speA//napH//fliE//paaD//rbsR//aceE//cydA//
DpiA	ulaD//mhpD//fabA//paaZ//nrdG//pfkA//glgC//rsmH//pspF//yhdZ//glnQ//
DsdC	uvrA//mntP//gcvP//
EbgR	gabT//sbcC//
EnvR	rclC//ymjD//
EnvY	citC//gspJ//
EvgA	pgaA//entE//ndh//yoeB//soxS//murQ//artM//hisJ//pstA//hisQ//artM//gltJ//tynA//uvrY//ecnB//yebE//ugpC//norR//malF//
ExuR	agaB//wrbA//csgD//rclB//ftsZ//frdA//qseB//ftsL//idnK//
FabR	gapA//atoD//
FadR	glpT//uvrC//tsgA//uxuA//nrdB//xylF//ahpF//yeaR//ascB//garK//nimT//nikA//fabZ//dgcZ//glnQ//flgG//paaI//gcvA//dgcC//relB//hyfB//metH//gadY//
FeaR	pspE//aceB//
FhlA	modB//dcuB//ssuD//ydbD//gcvP//dgcC//hcaF//cusS//cusA//dctR//nadB//purN//lysA//fimB//napH//metA//fau//flgM//feoC//murE//lsrG//rpoH//araJ//zraP//uidR//chbF//moeA//wecB//gadY//rffC//
FlhDC	hemL//ccmG//osmC//fliK//hycE//yiaO//sroD//rclC//dsdX//osmY//lexA//gntX//hyfI//stpA//phnD//ftsW//narK//ynbC//slp//decR//nanM//pdhR//acrD//caiA//hypB//agaW//ydcT//cysG//idnO//safA//yqhD//yqjH//malY//nrdF//ecpA//torC//fiu//gutQ//ybhF//metY//aceA//sufS//sucA//crl//galT//uxuR//manZ//glpF//glnG//alsA//pstC//argF//acrR//napC//yhbE//fecI//hyfF//ynfF//dicC//narJ//narI//insD//ttdR//argI//potI//dapB//ymiA//cecR//fecA//arsB//caiB//zraR//csrB//tfaQ//kbp//casA//hdeB//hns//ulaE//citD//potF//agaR//
FliZ	agaS//pflB//rhaT//uxaB//glnK//aceK//iraM//uhpT//alkB//treR//evgA//hybG//ldtC//malY//isrC//grcA//cysG//glmS//umpH//gcl//leuC//
FucR	ppdB//yhbT//ryhB//chbG//cysW//entF//tyrP//
Fur	kbaY//garP//csgF//gntP//yjbG//mgrB//hyfF//uof//citE//napB//molR_1//ynfG//purD//creC//rimK//katG//oppA//feoB//speB//yiaO//phoU//dinJ//moaA//astA//asnB//hmp//purK//lyxK//rnlB//agaB//lysC//znuC//mcbA//yhiM//mhpB//glcD//dnaG//nanC//fliS//ybdZ//wecB//gabP//sufC//purB//iclR//tfaQ//mltF//mntS//ompC//fucI//luxS//cysD//moaE//ydfW//fliC//fadH//zinT//lacA//cadA//ygbK//glpC//sucC//nusA//sodA//rsmH//yjbF//dmsC//fucU//citC//napG//fecE//entF//frdD//ycdZ//metA//murF//tam//hyaC//ftsZ//malQ//fliK//flhC//lldP//yeaD//nuoL//mtr//wcaA//rseA//ydhV//yhdZ//erpA//hslJ//fixX//glgB//entH//hcr//ycjG//cusF//mglB//crr//mazG//fldA//rutF//hipA//nanT//ftsQ//glnK//setA//hybO//purC//fhuD//argI//aslB//yeaR//argR//amn//aspC//glgA//ascF//tnaC//csgB//oppF//oppA//phnG//ompF//wcaB//ppiD//ybbW//betB//znuA//
GadE	tnaA//fliL//phnJ//cynR//tyrA//ugpQ//ygiA//ydjM//yfiR//mgtA//cdd//nupC//htpG//cyoA//rseB//feoB//flgM//hypA//mltF//napF//puuD//zntA//ykiA//fliH//caiT//hmp//iraP//rpoD//ariR//
GadE-RcsB	carB//yjbF//rnlA//pheM//cynT//norV//dkgB//hycG//gabP//
GadW	pgi//crp//cas2//infB//chbC//phnM//mnmG//flgD//srlD//sgrR//uidA//nrfB//hemH//rcnA//rffM//
GadX	cysE//torA//cadA//tcyP//betB//xylG//puuR//potF//ruvA//dinG//folA//arsB//relB//nuoM//wzyE//phnI//srlB//hisP//pspG//sbcC//ydiU//ynfG//gspE//nrfD//uidR//ada//nuoJ//ytfE//dcuA//
GalR	tktB//rcsA//sbmA//gadY//metQ//zwf//adiA//malQ//dmsC//thiP//
GalS	nuoH//pdeR//focB//pnp//cecR//ttdB//nanE//fliE//osmB//sbcD//
GatR	gltB//dnaG//dinD//glnA//ppiD//ppsA//
GcvA	pspE//phnL//hipB//tyrR//betI//
GlcC	yiaO//cusC//cysP//chbF//adhE//nagC//flhE//
GlpR	rsmH//gspL//idnO//phnG//zraS//lsrA//katE//allS//bamE//
GlrR	cas1//cysU//puuP//rnpB//ftsL//
GntR	nanA//norV//narL//zwf//ytfE//nuoN//ebgC//fepG//paaB//nrfC//cadB//rbsC//
GutM	astE//allC//phnE_2//puuB//gcvH//fes//galM//
GutR	pitB//glnB//umuC//accA//dcuR//ybhG//mhpB//
HU	iscA//fhuF//cspI//slp//motB//napC//pyrD//araJ//gspD//
HcaR	napH//rutB//xapB//atoD//pagP//hycA//
HdfR	sufD//ynbC//fepB//metC//omrA//
HigA	ddpX//yjhC//
HigB-HigA	feoB//sgbH//
HipAB	agaC//ymjC//yiiS//flhD//paaI//
HipB	malF//htpG//efeU_2//hcr//rbsB//nrfE//
HyfR	flgK//betA//purB//cysW//ddpC//chbR//acrB//ruvA//gcvT//fucP//uidA//pstS//
HypT	leuB//tpiA//ruvA//yiaK//nuoM//csrC//decR//yqjA//ftnB//hybD//glgA//citD//infC//
IclR	purB//hmp//glpB//lacZ//
IdnR	manY//yhdX//ccmC//ybdN//hypD//ompW//nikD//
IlvY	rplU//glpQ//
IscR	fadL//ydcV//pnuC//cadC//erpA//ldtB//agaB//yhcH//pheT//tonB//rtcA//hyfB//infC//ydcT//nadA//rpoS//yjhC//tolC//pepA//fabH//crp//entE//narH//uhpT//gcvH//glpB//phoQ//atoD//modA//nac//feaB//hyfE//
KdgR	hycC//nanM//
KdpE	rpoE//appC//cho//tdcF//
LacI	betA//rdoA//allS//
LeuO	fecD//glmU//ugpA//murF//manZ//cyoB//appX//recN//lhgO//atoB//napF//hyfJ//potF//sutR//waaZ//flgB//nikB//dgkA//agaR//nfo//
LexA	mngR//uxuB//glpD//ompC//flgB//symE//ychF//phnI//ulaC//hyfB//yhdY//gcl//fhuE//uxaB//yjiY//srlD//phnJ//mepH//yjbE//nagC//yhbE//gspC//mioC//cusR//ycjY//tadA//fhuC//ycjF//csgD//hypB//ebgC//nanK//phoA//ldtD//hipA//dicB//fliR//hycC//yafO//yqjI//hypE//hypA//cheA//ydeM//rbsR//rclB//hyaB//rhaB//nrdB//paaJ//tsx//lexA//pnuC//iscR//yoaG//fliN//gcvB//yiaJ//mepH//
LldR	cyoE//pqiA//pyrD//
LrhA	insK//ttdA//ybjN//uof//
LsrR	nrdE//nikD//hha//cyoD//cirA//ttdR//ppiA//tauC//nrdF//
LysR	dinD//mscM//
MalI	cysA//recN//rpoS//
MalT	chiP//glnG//wzc//malK//flgN//uvrB//tadA//rtcB//nrdG//katG//
MarA	sroA//garR//ykiA//casC//sgrT//pstS//recX//nemR//dctR//trpA//cyoE//chbG//ompW//hmp//uxuR//astD//yeiL//ung//hybD//nadB//uvrC//ddpX//hcr//creB//rpsU//rsmH//htpG//aidB//ydfN//fadM//bioF//ubiX//pdeH//pdeL//trpB//fadL//mdtE//fhuE//
MarR	fixA//ydeO//dmsB//
MatA	ccmD//yafP//entF//yjjZ//aslB//zwf//cyoB//dinD//
MazE	ydfH//mhpD//araG//
MazE-MazF	ytfE//malT//nikE//
McbR	ulaB//ydcV//ftsZ//malM//
MelR	ldtC//ymjC//flgA//
MetJ	cysW//dinF//sucD//ybaS//murF//hyfF//rffC//srlR//ycgR//bglF//metR//ydeM//ynfK//ulaC//ybhG//
MetR	hyaE//puuE//sucC//paaA//mltF//
MhpR	fucP//sfsB//cysD//yibQ//yhcH//znuA//
Mlc	hcaC//rprA//waaZ//nuoN//hokD//modA//dgcC//ydfW//cspD//cueO//
MlrA	tomB//uspE//cysD//rbsC//dinI//ompT//hyfR//rhaD//tdcD//atoD//
MngR	gnd//phnD//murG//
MntR	ldtC//truB//cdd//napC//ynfG//
ModE	mzrA//tehB//yeiB//phnD//dnaN//yafQ//higA//speB//dctR//thiQ//inaA//yegH//mdtD//zinT//mtlA//adiA//rhaT//recC//ygbA//frdC//truB//ulaB//chbG//mdtF//metI//rpoH//tyrB//recB//mgrB//fpr//ompF//recD//osmY//creD//lpxD//yafN//casE//cusF//csrB//hypC//torA//efeU_1//dgcC//citG//yjjQ//lsrG//
MprA	uidA//motB//metL//trpA//tbpA//xylA//
MqsA	cysM//dinG//rbsC//melR//pyrC//cpxQ//uxuA//ykgO//
MraZ	ftnA//tdcD//paaD//nanT//csgD//katE//yiaK//insK//dkgA//gspC//dmsB//hlyE//glyA//ccmH//tauD//folA//fdnH//
MtlR	hcaC//ydjM//bglF//
MurR	prpR//betI//aceF//
Nac	puuD//slt//rutA//sbcC//glcE//yeaE//murD//uspE//manY//lysC//nirB//waaH//uspE//purN//dgcN//glpK//yeiL//flgG//moaA//hyaA//hycH//
NadR	gspG//rnlA//dsbC//glpK//
NagC	agaR//yneM//hmp//ssrS//ygaC//srlD//casA//dps//alaS//tnaC//motA//ydfH//glpK//argO//ygiA//creD//wcaA//lsrD//nagC//metF//ydhY//gdhA//nohA//mhpE//yeaH//malS//marB//sgbU//rbsC//sdhA//ugpQ//waaZ//ssuA//fucA//rprA//epd//fecI//
NanR	slt//yfdV//hyi//astA//wzzE//malP//ynbA//lrp//uvrA//ygdB//tsr//
NarL	wzxE//serA//tyrR//glcC//ssuB//mpaA//cytR//mntP//paaX//xylF//lpd//znuA//gltD//flgE//marB//prpB//deoD//kdpC//tauA//wzxE//xylR//frdC//pykF//leuA//fliJ//hycC//cadC//paaC//dmsD//ribA//phnK//dsbG//metC//glcB//iscA//phoR//focA//lon//nrdI//purF//chbR//trpC//gudP//fliT//purM//mazE//ygbA//fabA//ndh//cynT//dmsC//ddlB//rbsK//acrA//fliM//ygiC//iscS//csgG//bglF//feoA//sodA//lpxC//arsB//accC//srlD//evgA//caiT//mhpB//aroF//rseA//hycF//ddpB//fixA//manX//umpH//nanC//atoD//caiF//aslB//artP//narG//fumB//higA//ymgA//hycI//tomB//napF//flgF//fliC//grxA//rffT//uidC//pdeL//fadB//asnB//gadW//sgrR//nrfE//yhjA//cueO//yegH//uvrY//norR//yhhY//casA//nuoF//uvrY//fepD//uspD//tauA//agaV//dnaG//sdhA//cusA//phoU//casD//mglB//ycdZ//alsE//flgA//ulaG//degP//glnP//
NarP	dsdA//katG//gntU//flgG//artM//cydB//fau//betB//argD//ibaG//bioF//ebgA//fumB//caiC//wecC//ppiD//tcyJ//malM//chbG//uxaC//lysC//fepD//ymgA//ybdN//codB//phnH//oppD//ybjG//acnA//fliL//rutR//trpC//nusA//rybB//fes//hflD//napB//grxD//mntP//modC//betI//sdhA//hypB//ydjM//fepG//nrfA//rstA//aroP//ybbW//gabT//
NemR	yeaE//malT//sroD//
NhaR	tomB//omrB//add//rclC//gspH//purF//cheW//
NikR	mnmG//entH//ttdR//paaG//glpT//nikE//
NimR	tyrP//ygdB//
NorR	yfdE//cynT//fliL//
NrdR	recC//rybB//ssb//flgB//infC//rffG//znuA//nagC//treC//
NsrR	thrS//creB//nfo//oppC//rdoA//nrdD//gnd//araG//cheW//mpl//gntP//ahpF//frc//gadX//rpiB//higB//fabG//tomB//ydhT//phnM//ybhS//pheS//thiP//ada//citG//glmS//leuL//glmS//pheT//melB//melR//gspK//higB//fldB//yafQ//idnK//lolA//fadA//dcuR//bamE//oppB//mqsA//dgcZ//yhbS//fepB//acrB//ydbK//pheM//yjiY//galM//ybfN//pfkA//ybaT//yebG//garP//hdeA//ydfE//appB//gutQ//ibaG//dsbG//rutG//entD//pnuC//fruK//motA//crl//ddpX//ycjG//ruvB//ygiA//flgK//cydC//rpoD//rffH//sgbH//casE//sgrS//sbcD//micF//osmB//ydeN//gcvB//
NtrC	leuC//ccmC//nfo//mpaA//recF//fhuC//hyfF//lpxD//dhaK//pyrC//uhpT//recF//ppiD//rbsK//nmpC//ydeM//hyfR//glgX//hycC//artM//ydeM//fecI//trpE//ccmG//ubiC//garL//gabP//tsgA//yecT//lldD//fliJ//argE//gadA//alsC//iscR//tisB//mhpE//rutC//tauA//hydN//ftsZ//hyaE//nuoK//glcA//pyrD//ruvB//ygbA//xapA//tdcD//
OmpR	cynX//gatA//argP//pheM//caiB//malY//lamB//trpL//yncE//cusF//gntK//decR//tam//trpE//paaE//hypC//sbmA//ydeO//emrA//cynX//astC//
OxyR	rutG//torC//ymgC//rutD//fecE//yoeB//yhjC//araA//moeA//galP//bioA//malP//phoB//truB//pgpC//baeS//fhuE//sgbU//ygbK//ybiT//trpD//potI//pgi//ybhL//mlc//umuD//infB//hcaB//araB//ompN//yjbF//sgrT//fecR//focA//
PaaX	hyi//lpxC//ascB//pspF//dnaN//uxaC//tsx//rpiB//lamB//napF//yqjH//tktB//nirB//yqhG//
PdeL	gspM//
PdhR	glnL//ydbD//ulaB//flhA//caiE//yhdW//araH//csgF//waaY//acrA//nrfG//gyrA//ydcU//metQ//ybhG//soxS//ycgZ//slt//rutA//torA//hipB//fliM//hdeA//araH//mhpE//fecA//fliD//rfe//dkgA//codB//yciE//yeaD//waaH//relE//gspH//hypB//allC//ygaC//pnuC//fepD//pepA//
PepA	tnaA//astC//gltB//
PgrR	rutE//araJ//focA//pspE//decR//murR//mntH//carB//
PhoB	astB//aslB//nuoM//gcvT//flgE//ulaG//csgG//moeB//nirC//yfdX//yqjI//lsrK//tehB//ybjG//cas1//nuoE//uvrA//arsR//nlpA//ssuA//hybE//hdeD//intQ//gapA//metF//dcuB//pspG//symE//napH//dmsA//norV//metR//feoA//hisP//ybaT//wecC//ykgO//focB//chbG//focB//pspA//higA//fliS//ygiA//recC//ftsI//rpiB//nimR//ilvY//ccmH//ldtB//yeaR//araD//kbp//yaiW//ygaC//sgrT//ynbD//zinT//aidB//
PhoP	pdeR//tyrB//fepC//yqjH//pgaD//asnA//fliL//narI//fhuB//rutA//hycF//yrbL//hybB//mhpT//allC//ybhG//ydbD//ulaC//agaS//wecE//hyfH//znuB//phnJ//xylF//glpA//ugpQ//ftsQ//mltF//flgN//fadL//nanM//infC//rutB//amtB//mdtB//efeU_2//sbmC//hycI//atoB//dgcN//garL//pepD//ydiV//glnK//frdD//ydhT//ydhV//dcuR//nuoE//fiu//cheA//uidA//pspA//tauC//rutD//nfo//
PrpR	chbC//inaA//adiA//trxC//pstA//
PspF	nrfE//hcaB//napB//araG//cydA//yeaE//uidC//
PurR	fiu//uidR//hyfJ//alkB//sbcC//fnr//yccJ//gadX//betI//pstS//grcA//csgE//hycA//glpT//tsgA//glnH//hyfJ//flhA//araA//yeaE//rpoH//aspC//bamE//dinQ//pepD//nupG//rutR//zwf//ynfG//lpxD//trpA//
PutA	soxS//hybB//
PuuR	mdtB//gspJ//rutC//ydhW//glpX//sdhA//yjbG//
QseB	gltJ//lysC//nac//rpmA//
RbsR	gyrA//creC//gutM//sbcC//lamB//yiiS//yafO//paaE//cyoB//
RcdA	evgS//ynjI//pyrD//ilvC//ribA//pstC//dcuA//caiA//yjiY//
RclR	dpiB//cra//sufA//
RcnR	hypE//lsrC//pspE//
RcsAB	napA//cheW//phnE_2//gcvT//nuoC//gspC//malP//xylH//chbF//moaA//fhuE//srlD//aceB//cspE//ydcS//phr//
RcsB	ydbK//narX//flhC//cysI//yoaG//mazG//skp//fiu//yrbL//fepB//ybfE//gatZ//copA//sucD//cyaR//uhpT//uxaB//gdhA//malI//rhaT//recF//hyi//ariR//crr//yjhC//
RcsB-BglJ	ttdR//ybdN//kbp//accD//tfaQ//dcuA//tauD//araA//hyfC//nfo//hisM//allA//mdtE//cysN//acrA//sra//
RelB	fecC//sufA//nrdG//
RelB-RelE	argE//glpT//ygiC//
RhaR	ccmC//fabI//
RhaS	pheM//phnG//narK//gatA//entD//ppiA//
Rob	ribA//fhuF//fabH//tcyP//uidA//mdtA//yjhC//hybD//agaB//btuB//glcD//fdnI//flgJ//accD//yhjA//ppsA//dhaM//fdhF//glnQ//pspC//moaD//yfdX//cynT//pgpC//mcbA//idnD//
RstA	dcuD//nrfE//ibaG//insK//uvrY//ygiC//mraZ//fucP//fliO//hycB//
RtcR	chbB//grcA//
RutR	decR//yidQ//norR//hybD//hflD//csgG//purB//purC//cysI//moaA//ygbA//pspG//caiF//tolC//infB//gltB//napH//
SdiA	cysJ//ybjG//casB//gnd//citF//
SgrR	phnP//iscA//ppdA//ymjD//mngA//ybdZ//mtlA//flgA//melB//
SlyA	fabA//
SoxR	ydeP//csgC//dmsC//
SoxS	csrC//nagC//argO//nirB//kdpB//glk//ibaG//nrdF//rutD//ccmG//yccT//metA//aroL//yafO//fliF//creD//bioD//gltJ//asr//soxR//csgE//tdcB//phoB//pgaB//rcsA//entF//ydeM//nlpA//ung//hcaR//glcB//sfsB//allE//lsrK//rhaR//ybfE//gntK//glgC//leuO//ydeM//
StpA	bacA//gadY//fabG//iscU//glnH//tehB//patD//
SutR	ycgR//paaB//rplT//bacA//hycA//
TdcA	yciX//galM//mhpT//accB//fliC//metB//allA//
TdcR	flgD//pgaC//safA//rob//tdcF//envC//ymjC//
TorR	csgE//ssrS//murG//yciE//cdd//yhdX//cho//cdaR//bioD//emrY//alsC//yfiR//
TreR	ada//rpoE//
TrpR	ompF//kdpB//pspG//purH//uxuB//purB//caiE//paaY//glmU//hyaF//fadB//nmpC//
TyrR	tdcF//alkB//dcuR//skp//glyA//yidQ//aroF//dcuS//puuE//frdD//nrfB//sdhC//
UhpA	fliR//
UidR	allE//yccJ//omrA//tonB//
UlaR	agaI//chbB//dsbA//nhaR//pheM//galM//hypA//
UvrY	hyfD//cusA//xylH//ynfH//ydhY//
UxuR	fimE//tyrB//leuL//oxyS//yjjQ//argF//prpE//entF//cyoE//
XapR	cspI//grxA//
XylR	hflD//yrbL//uxuB//gudP//phoH//dkgA//lldR//
YdeO	tdcF//hflD//ykiA//caiD//paaX//glpB//pstC//phnC//malP//casE//putP//ppdC//murQ//znuC//lysA//casA//cysW//puuB//appX//nikB//ulaF//
YedW	hyfF//hycH//gltB//bioF//ibaG//moeB//mdh//ulaF//fur//ttdT//umpH//dctR//
YefM	argD//slt//
YefM-YoeB	mgrR//tehA//
YehT	ccmH//
YeiL	yqhD//
YiaJ	mgrR//dhaK//alaS//acrZ//thrS//ydiV//recB//gspG//umuC//betB//
YjjQ	sfsB//moaA//qseC//gcvB//nirD//cydB//polB//rutR//trpC//idnK//
YpdB	gspK//
YqhC	hycE//gltD//
YqjI	nfsA//tnaC//
ZntR	crr//
ZraR	sbmA//pgi//mipA//
Zur	adhE//ygiC//yiaN//hcaD//yhcH//xylB//
