#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	lysC//cysC//
NrdR	rplU//hybA//puuR//yoaC//malK//malZ//yiaN//gabT//pspE//
NsrR	metN//malX//galE//mlc//mpl//nohA//relE//purF//hyaC//csrB//ecpA//recD//glmY//hypD//mtr//ftsW//udp//uof//eno//nrdI//yneM//nuoI//yjiY//uidC//mgtA//mdtF//trpR//phoR//tdcF//gltL//rybB//nuoG//rhaD//acrD//nanM//yhiM//argE//fruK//cysB//trxC//gspI//yebG//sgrR//prpB//yjbH//ddpC//psiF//lldP//bioF//pgpC//phnP//recX//yneM//dacC//lysC//pdeL//fabH//relB//galE//rffM//trpC//ddpA//modB//glnQ//ydfX//astC//rcnB//serA//yfaE//ptsI//fliT//cysI//ppdB//tsr//rpoE//alaS//dnaG//melR//csrB//hipA//cynS//gltK//dacC//
NtrC	gspE//asr//srlD//eda//oppB//ariR//ddpX//tsx//glpK//tolC//nfuA//ogt//ssuE//nanE//ybfE//rutR//ppc//treB//nuoM//paaF//norW//dctR//fpr//atoA//mltF//fecD//soxR//cas2//idnK//zraS//fadB//fhuF//sufS//argH//leuC//aceB//betT//sdhB//lolA//gspL//ynbA//eno//allD//thrS//rpmA//decR//glcF//agaS//araE//
OmpR	malX//yeiL//nupC//ybhL//rarA//nuoK//flgF//acrR//cysD//soxS//uxuR//fliL//katG//fdnG//ybfE//glcC//gcvA//sgrS//modB//fur//murD//
OxyR	patA//tauB//srlR//ftsQ//baeR//yccA//cirA//flgE//cysB//glmS//fruA//sdhA//aceA//pncB//fixA//astC//ung//yebE//carA//aceE//murF//ompT//leuB//yaiW//agaB//nanE//polA//yhhY//sufB//dcuD//mazF//dinJ//wzb//lsrK//
PaaX	yhdW//uidC//gatZ//argT//tauB//trpE//nuoM//puuD//wrbA//oxyS//trpL//chiP//yidL//nrdE//
PdeL	ydcS//
PdhR	ymgC//ycgR//rseA//hyfG//purR//glpT//nlpA//tam//malI//ynfG//ybdN//astE//paaI//yccT//asnA//bglB//gapA//fldA//oxyS//galT//yjiY//recD//chbC//ppdC//betB//recF//ydcV//glxK//ldtD//hypC//rpoD//higA//ryhB//hisQ//potI//cspI//qseC//iscS//dgcZ//dctR//dnaN//
PepA	dhaK//uvrD//poxB//
PgrR	carA//polA//edd//nrdB//pflB//trpD//cadC//garL//
PhoB	hha//gatB//ugpQ//dtpA//ybhS//aroP//cysW//argH//glk//tdcB//tsr//phoP//mzrA//flgN//moaB//hyfE//cysW//yccA//fecB//nimT//ompF//waaZ//idnR//dsbC//rffG//lpd//arsR//ugpE//fadI//cysW//mioC//metI//nrdI//araB//ttdT//wrbA//rffH//kdpF//uxaC//araE//mpaA//ycjG//deoB//metC//cueO//glnP//malQ//mqsR//yhdX//yjhC//phnE_1//cbl//nikE//purC//cysM//rplU//potG//wecB//fliD//trpE//
PhoP	nrdD//ygdB//gdhA//nikE//moaD//nikA//rcnB//argE//glnH//dcuA//glnK//osmB//ybiT//ydfX//gadE//yefM//yhbE//trpB//ompW//gspM//cheW//ydiU//iraP//aceF//gadB//kdpA//cadC//mhpA//gadE//flgH//puuC//mhpB//ampC//hcaC//glpD//phnL//pdeR//dkgB//idnO//fliQ//sufB//fliM//ssuE//fpr//tsr//gudX//ygdB//insK//tauA//rpoS//ftsA//malI//ydjM//flhB//csgE//napG//
PrpR	ulaD//gpmA//trpD//hokD//ybaS//
PspF	yhjA//nimT//fau//mpl//mnmG//astE//phoA//
PurR	metL//murD//dinD//paaI//pgaB//casD//hyfJ//alsA//nirC//leuC//lsrR//tdcF//gatD//fucK//yciW//mlrA//yiiS//nanC//atoE//metQ//gyrA//galE//galP//yjeV//puuB//icd//flgJ//yfdX//kbaZ//pdhR//accD//
PutA	glnQ//hybD//
PuuR	rtcA//uxuA//fldB//ulaE//flgC//hycB//gltJ//
QseB	intQ//rclB//betI//gcl//
RbsR	lgoR//yqhD//spy//hdeD//puuD//tam//ybfN//fliT//glpX//
RcdA	alsB//ybjG//puuE//aroM//glcD//hypE//trpA//dapD//dmsA//
RclR	nmpC//flgA//sroA//
RcnR	yciF//murQ//hycD//
RcsAB	astB//yciE//alkA//glxK//ycjY//aidB//purR//purR//asr//glcG//yfaE//rffC//phnJ//mdtB//pepD//nfsB//
RcsB	prpR//mtlD//glcG//torR//malX//manX//dcuR//lldR//sutR//csgA//tauD//rcnA//iscS//ybdN//hybG//sbmA//ydfE//allE//fldA//paaJ//tyrP//ariR//dcuR//gltL//recF//
RcsB-BglJ	nfuA//higA//uxuB//ftnA//cysW//lrhA//rpoD//ugpA//fecD//cheA//glnP//tdcE//omrB//rcsA//phnE_1//casB//
RelB	asnA//pspA//pncB//
RelB-RelE	dcuD//lamB//artJ//
RhaR	hdeB//nrdD//
RhaS	creD//seqA//fau//rclB//yhjC//cusB//
Rob	ydhW//bglJ//lsrC//nrfD//cecR//metN//yfaE//trpD//asnA//yeaR//hokE//yeaR//ecnB//artP//csgC//ymgC//cadC//leuB//xylF//nuoK//fhuD//ttdA//mngB//trxC//ccmH//sdhC//
RstA	rutC//ccmC//glgP//frc//glcF//rbsR//yiaM//higA//mhpF//nagC//
RtcR	polA//lon//
RutR	ytfE//cadB//paaG//setA//pheT//chbR//tbpA//gudP//yjhB//cusA//hypB//dgcC//yjeV//gatZ//ygbK//agaB//xylG//
SdiA	zinT//glpA//dhaR//cysW//gatY//
SgrR	leuB//mntH//uspE//ldtD//caiC//ydeO//ompW//nemA//ydbD//
SlyA	norW//
SoxR	molR_1//sucB//mntS//
SoxS	emrB//cecR//obgE//cecR//bioF//relB//mtlD//cyoC//ftsL//cra//paaD//tsx//gltB//nikD//chiP//gnd//ynjI//tam//pitB//codA//ybfE//yafN//uvrY//oxyR//rbsR//fecD//ecpR//fecA//stpA//rpiB//nimR//cra//glgX//ddpF//yccJ//recA//ibaG//ynbD//gspO//ugpE//
StpA	torD//phoA//serA//recN//napD//yfbR//cysW//
SutR	hycB//paaH//phnI//cysG//gpmM//
TdcA	gapA//phnE_2//mltF//dhaR//hypF//ftnA//glcA//
TdcR	iraM//rhaB//nrdB//yiaJ//garL//hha//fabZ//
TorR	ecpA//rutC//nuoI//murP//glcA//hyfH//ftsI//cadA//lysP//baeS//malS//phnE_1//
TreR	gpmM//lsrA//
TrpR	hlyE//ssuB//frdB//hcr//oppD//pstS//osmB//hyfI//glnH//norV//prpC//ttdT//
TyrR	entA//entF//cyoB//fecA//htpG//ybaS//yfiR//yjbH//pitB//ymjD//glpB//yciW//
UhpA	nanA//
UidR	recB//rpsO//yhiM//lpxA//
UlaR	cspD//fliF//ycgZ//rprA//bioF//hyfJ//gcl//
UvrY	fepA//araF//mhpT//mpl//fepB//
UxuR	paaF//kdpB//nanT//ftsZ//motA//oxyR//gutQ//glyA//gltJ//
XapR	yiaJ//garP//
XylR	sgrS//cho//putP//murC//sroC//iscS//wza//
YdeO	phoB//arsR//cadB//ycjG//sucD//fadJ//cdd//waaH//sutR//ygiA//murF//yecR//tadA//ppdC//malG//norR//yfdE//oxyS//ygaC//leuD//tdcC//
YedW	glyA//rprA//ykiA//waaH//ahpF//dsbA//hyaF//appY//hybF//ccmA//araJ//wcaB//
YefM	lsrG//glpK//
YefM-YoeB	acrB//dkgA//
YehT	fldB//
YeiL	yjbF//
YiaJ	decR//mgrR//hipB//galR//nmpC//pstC//wecB//hybD//ssrS//yeaD//
YjjQ	mhpC//yfdX//phnJ//rpsO//ymgA//tyrA//argI//nrdH//xapB//fliM//
YpdB	glxR//
YqhC	yfiR//puuD//
YqjI	hcaF//paaY//
ZntR	cyaR//
ZraR	araA//ttdT//ydeN//
Zur	folE//ruvB//nrfC//nirB//ybfE//gatZ//
