#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	mpaA//torC//
CpxR	poxB//rbsB//nagA//dgcN//inaA//yjbF//pdeH//recC//dhaK//hyfH//creA//exuT//degP//nuoK//ompT//nuoE//bioB//cueO//yagK//mipA//mpl//mtr//astE//nuoI//wrbA//stpA//fucU//glpD//talA//ynbB//mepH//feoA//nac//dsbC//infB//lacZ//appY//hyfC//narG//astD//narK//grxA//tauB//dsdX//purM//skp//tauB//ruvA//ybjC//gatZ//ybhG//nrfC//umpH//fau//ogt//ecnB//alkA//ydfD//glnP//dgcN//purN//fnr//rseB//torC//putP//motA//yhiM//wzyE//ycjX//trpR//
Cra	ompC//glnH//flgN//astC//yedX//rnlB//insK//dnaG//agaB//glxR//fimE//efeU_2//agaD//edd//mgtL//tauD//gadX//lrp//phnL//hycE//glpQ//sufA//xylH//yccJ//bhsA//fecE//puuE//amn//paaH//mcbA//gspJ//narG//citC//lysO//araJ//ccmH//yqjA//phnL//gadB//glcE//ptsI//flhD//dcuD//artQ//glnB//truB//oppC//nanA//isrC//cysA//yjbH//ascB//insK//purE//ssuE//lrp//mpaA//hyfB//ydjM//ybiT//narK//fumB//nanM//spy//purF//metA//ykiA//sodB//rpoS//sucA//nuoL//yiaM//agaD//gfcA//ssrS//lyxK//mraZ//dinI//chbB//
CreB	skp//ycgZ//cheW//norW//dhaL//
CsgD	fau//cyoB//gspL//phnC//bglB//ilvY//narH//aslB//gspM//cynX//rseA//araD//appA//hcaE//fliA//argT//iscA//mazF//ygeH//nadA//leuO//glpD//puuR//ariR//soxR//garL//znuC//nikR//
CsiR	sdhD//paaD//melA//rbsK//trpA//
CspA	yhbS//wza//
CueR	csrB//ascB//araD//malP//grcA//seqA//flhD//
CusR	ppdC//ygiC//rpoD//pepD//purA//caiC//dkgB//tauB//dsrA//yhdZ//metK//aceK//
CynR	ydfN//glnG//mtlA//hyfD//
CysB	phnE_1//sufB//pyrC//yqaE//fur//xapA//yqjA//paaX//nohA//glcE//ybjN//sgbE//ydfE//ydfD//lsrD//nirC//aroL//sdhC//rpoD//mhpE//uspA//ssb//oppC//aroH//edd//nuoN//fhuD//ybhL//yafN//sufE//murC//nrdA//
CytR	phnL//lon//fepG//galK//hyaE//malG//tsx//paaC//dctA//hdeB//rpoS//nadB//fadR//
Dan	yoaG//araC//dinI//manZ//
DcuR	yoaG//umuC//accA//glyA//lpxD//katG//gadB//rpmA//fadA//
DeoR	flgJ//mhpT//torC//nikE//glmS//nrfF//
DhaR	yhdX//sucA//cadB//sgrR//
DicA	ebgA//ftsK//malY//murP//nanM//hyfH//cadC//torR//
DinJ-YafQ	cusC//hyfH//exuR//
DnaA	katG//ycdZ//tktB//uvrA//atoB//aroF//pheM//gntX//cysD//acnA//lysA//fhlA//
DpiA	nhaA//puuC//nuoJ//araC//qseB//mntS//nuoB//wza//hybC//fadA//cdd//
DsdC	aspC//potH//purA//
EbgR	rutE//fucP//
EnvR	ygaC//umuD//
EnvY	sbmC//entE//
EvgA	puuD//dapD//waaY//accA//feaR//guaA//hycC//caiD//leuC//ymjC//gyrA//tadA//cyoE//nrdD//cdd//fliS//cysC//dnaA//ulaB//
ExuR	pqiA//hybD//pspE//paaI//casE//aspA//rtcA//nikB//ykgO//
FabR	lysP//ruvB//
FadR	entA//hisJ//yiiS//prs//soxR//mngR//fepB//yfiB//iscS//srlE//metF//napH//alsC//glnB//rpiR//feaB//purB//edd//argF//nrdH//recB//yiaK//micF//
FeaR	acrR//purN//
FhlA	cdaR//idnK//hcr//dpiB//asnB//deoC//ycgR//yhiM//fliA//talA//dpiA//ybfE//carB//hdeA//pepA//glmS//caiB//rseC//rcsA//cusF//lrhA//feoC//rbsD//mprA//mhpA//gspC//dhaM//dcuD//ppdA//nfsB//
FlhDC	dhaR//tsr//rimK//fumB//zntA//nagC//yjeV//hybA//tolC//pyrD//ygeA//tam//flgJ//rbfA//gltL//tonB//kdpC//agaC//metK//tdcD//gntU//aspA//moeA//hybE//yeiB//soxS//umpH//hyfI//alkB//phnE_1//zwf//putA//prpR//nuoL//murF//moaC//ugpB//rutR//paaC//znuA//yqhD//araE//yeaG//focB//fecC//pqiB//gspG//rprA//ahpF//accB//xylB//gadW//focA//phnF//ynfK//yebG//ydhY//ybjN//ycgZ//norV//mglB//kdpB//csgE//cysU//fabI//pgaD//dmsB//pyrC//sgrS//lsrA//fruA//feoA//yqjH//marB//hflD//gspL//csiD//oppA//ynfK//mdtC//ftsW//agaB//
FliZ	fhuB//yjbG//hslJ//glgB//pqiB//pheM//flu//malK//mqsA//cadA//cueO//hyaB//oxyS//yfiB//yfdX//dgcN//gcvB//phnL//baeR//ftsZ//rimK//
FucR	ymgC//cysP//yegZ//lysA//grxA//narL//mtr//
Fur	paaX//phoH//nhaA//tfaQ//flgJ//murR//sbmA//soxS//aspA//glgP//nrfD//ttdT//fruK//trpR//cynT//ygiC//alaC//ompN//lysC//ddpF//exbB//rpmI//cysW//nanM//gudX//cas1//cbl//napF//fliT//nrfA//ydhU//ybbW//yneM//phnC//purK//garL//fabH//leuB//ydbK//focA//paaE//rpsU//yrbL//codA//mtlR//rcnA//fepE//ygeA//mntP//rutC//yhdZ//ydeP//zinT//ttdB//entC//symE//flgE//omrB//fnr//wzyE//nanS//ydhW//cbl//ygiZ//hycB//cyoA//fldB//wcaB//cyoB//sucA//lgoR//glnP//glcG//yegR//paaF//ulaG//hipB//gatD//gabD//yebE//dsdC//ftsK//tfaQ//puuP//fliE//ldtD//dnaN//fabI//glpA//xylR//argH//sutR//entC//omrA//phoH//caiF//yoaC//alaS//appC//adiA//idnD//oxc//yefM//focA//hcp//chbC//hycH//ydcS//phnG//ulaF//allE//sucC//entE//nikR//ycdZ//hokE//fecE//alkA//pqiB//ydcT//emrY//ptsH//cadB//agaW//gadA//sucD//rbsA//argH//lsrB//fes//
GadE	lsrD//pstA//zraP//gspG//cyoC//hycD//nikD//mcbA//tdcA//yjhB//melR//srlE//tomB//gdhA//purE//lpxC//ecnB//nanE//fucA//gntX//ydhV//yeaD//ydbD//dcuA//aroM//iclR//cpxP//aidB//csgD//
GadE-RcsB	leuL//obgE//aspC//argF//murP//hybG//mepH//ccmB//copA//
GadW	yhbT//gntX//dcuD//mdtC//sgrS//yciX//allE//iscS//rpsU//citC//srlB//allB//hisQ//crp//qseC//
GadX	hyfA//ebgA//fldB//nikA//ccmG//hybD//csgA//metY//fucR//fadB//accA//dgcZ//kbaY//allS//idnK//lsrC//yhjA//nrfA//hyfI//yncE//hyfE//creD//rutB//glpC//paaJ//cbl//nrdI//tyrP//fucA//
GalR	fliL//cyoB//cysD//patA//ynbD//yhiD//astA//araE//lsrB//garD//
GalS	nikR//phnD//crl//ydiV//ssuB//znuA//wcaA//rnpB//hdeA//sgbE//
GatR	yecR//dpiA//gutQ//deoB//ruvB//insK//
GcvA	argO//murR//fucO//ugpB//galT//
GlcC	oxyR//cirA//nfsA//betT//yjjZ//mngB//nikR//
GlpR	kdpB//ydhT//napF//araJ//paaB//phnN//yjbF//trpL//lamB//
GlrR	gntU//sutR//yoeB//treC//fruK//
GntR	ygbK//murD//bioC//iraM//infC//borD//artM//rutG//argP//cueO//cyoD//gabD//
GutM	lldR//nanS//cysA//uvrY//hypB//mraZ//pgpC//
GutR	bolA//lldD//dcuD//oppA//gabD//folA//fhuA//
HU	phnE_1//mhpT//ulaE//nirC//ynfK//nuoB//fiu//gcvB//yhcH//
HcaR	casE//cvpA//dgcC//yncE//sbcD//srlA//
HdfR	fepB//ymiA//glmS//cytR//csgB//
HigA	aspA//phoU//
HigB-HigA	emrB//skp//
HipAB	gfcA//bolA//yecR//rcnA//yjeV//
HipB	baeR//spy//mhpF//hycF//wcaB//ybhS//
HyfR	dcuA//casB//agaA//gspM//dgcZ//glcF//fecR//paaI//murR//citC//fliD//recB//
HypT	phnO//nirD//moaC//entE//symE//cusR//psiE//nmpC//narG//wcaA//yebG//agaI//stpA//
IclR	tdcF//gspJ//flhD//yebG//
IdnR	flgF//sufS//waaZ//pgm//cysA//hyfR//deoD//
IlvY	ptsI//lrp//
IscR	yafN//dicB//sfsB//yeaR//ybaS//yaiW//lon//xapA//murP//yjbH//polA//katG//mlc//edd//fecR//glgB//isrC//ftsI//hipA//gatA//ulaE//frdB//tdcD//fliH//yncE//ddpC//fadA//atoE//caiC//metF//exbB//lldP//
KdgR	accB//nadB//
KdpE	metE//ftsI//galR//ynfE//
LacI	atoD//mhpD//cysB//
LeuO	yciX//zntA//wcaA//citG//umuC//acrB//rpoE//ulaG//fhuA//yfbR//cytR//ccmE//fucR//grcA//trpR//nac//murI//glxK//zraP//chiP//
LexA	appB//nirB//dcuD//argE//hyfI//glpC//fliK//fes//dkgB//borD//aroF//fumB//ppdC//serA//sufB//pstB//yciW//luxS//polA//kdpB//nuoH//bioF//zntA//ryhB//norR//cusB//yfdE//paaB//ptsG//rcnB//yafP//fadD//hycC//rcnA//truB//pdeL//gltL//treR//sucC//yiaL//hyfG//dkgB//pspE//ynjI//ppdA//csgE//cusC//tadA//frdA//argB//trpL//phoU//glxR//argO//mtlA//fabG//ydeP//tauD//bdm//
LldR	phnP//yfdV//thiQ//
LrhA	ymjD//cysI//oppC//dmsC//
LsrR	metL//ruvA//sgrR//soxS//prpE//dapD//allB//gcvH//ruvB//
LysR	fadH//cpxQ//
MalI	srlA//bdm//amtB//
MalT	lgoR//fabB//hemH//aspA//ykgM//hypB//glgC//glpB//nuoG//yciW//
MarA	sufE//ydfX//tpiA//hipA//nanT//ppdC//yiaL//citC//gcl//pgi//gabP//exbD//efeU_2//artP//cysJ//tnaB//hyi//gutM//fadH//cysD//uvrY//bdm//speB//amn//rbsA//ydeO//ydbD//purC//malG//adhE//galR//gatB//galE//appB//fhuE//slt//narL//ynbA//
MarR	entB//tbpA//glpA//
MatA	gutM//dgcZ//hlyE//mntH//fau//arsC//nusA//yegH//
MazE	entB//nimT//rsmH//
MazE-MazF	thrS//thiP//ddlB//
McbR	mscM//mngA//yhbT//xylB//
MelR	idnT//mnmG//polB//
MetJ	cysM//polA//mtlA//gcvH//moaE//gapA//prpB//flgB//ulaA//nrfC//speB//exbD//prpC//lacA//rpsU//
MetR	cydA//ttdA//uxaC//yeiB//hyfI//
MhpR	uvrC//torC//sufD//ydbK//yqjI//phnI//
Mlc	amn//yfdX//nupC//csgD//hdeA//zraP//higB//glnL//gspO//xylF//
MlrA	gadE//hycC//nrdI//mepH//dicC//nanA//trpE//ymjC//iscR//metQ//
MngR	fecD//phnM//phnO//
MntR	uvrA//nuoL//modC//nagC//idnT//
ModE	tolC//ebgC//allS//yoaC//dapD//tdcG//yqjH//ompF//thiQ//bdm//rutA//ymjD//nuoA//allE//bioD//gspJ//nuoC//fhlA//fepG//pspF//kbaZ//gpmA//gntP//argE//yeaG//hycB//pheT//entS//galS//gatY//ssrS//rpmA//yeiL//xylR//caiA//emrY//cysJ//rbsR//chbR//fumC//ydhX//ppdC//ybhR//glcD//nuoI//artJ//
MprA	mlc//pstS//nohA//cspE//phnE_2//argD//
MqsA	tdcA//araJ//yegH//bluF//mdtB//znuC//lrhA//csgF//
MraZ	araA//ybfN//entS//cecR//appA//mhpF//tnaA//tcyP//wrbA//entA//nanK//purE//cysJ//tdcA//uxaB//emrB//aroG//
MtlR	yegR//ssuA//gutM//
MurR	araH//hflD//nikC//
Nac	phnG//cpxA//fhuF//phnJ//nlpA//fhuB//ycjG//soxS//nupG//osmY//guaA//galT//bolA//fliT//accB//glpT//glcE//entA//mglA//pqiA//nuoF//
NadR	nuoB//paaI//uidR//hycH//
NagC	bdcA//icd//nusA//mlrA//recN//pyrD//fliP//yjeV//grcA//fixC//nac//caiD//dacC//obgE//cirA//cynR//rtcB//leuL//ssuD//qseC//hyfE//ddpA//purC//cynT//cueO//melA//entE//tehA//moaD//cynX//nfsA//wcaA//rstA//yeaE//ycgZ//ppdC//tyrR//
NanR	gltK//dicC//bdcA//ebgC//fabB//hycG//crp//gatC//dgcC//uspA//ybhF//
NarL	wcaA//puuA//flgC//gltK//csgF//fucP//ygaC//mhpF//caiC//phnG//entB//rclC//mntP//mzrA//fbaB//gspG//purK//paaE//ydeN//lrp//hns//hypA//malX//ugpB//ygbK//fhuA//glpK//creC//cpxA//truB//bioB//codA//flgC//ulaE//cydC//chbC//murI//feoC//malT//yccA//deoC//ydhU//mglB//phnL//glxR//dgcN//dsbG//rplU//yhjC//infC//pstA//yqaE//lsrK//mhpA//ribA//ulaF//purR//tauD//dcuD//lpxD//yidL//yiaM//phnO//gatB//flgM//ydhV//idnD//yhjA//hipA//accB//gntP//oppD//mngB//caiC//waaY//lamB//astA//hdeA//phnE_2//efeU_2//hycE//nrdG//aroF//gltB//ybiT//agaR//accC//glxR//mgtA//caiD//copA//fliP//napC//oppA//modC//nuoJ//lysA//rclB//puuD//znuC//flgB//efeU_1//fadB//yncE//yiaJ//slp//argC//phnO//rfe//rseA//pitB//nfo//lsrA//ilvC//allB//chbB//yafN//fnr//cyoD//cspD//ynfG//pstA//malQ//
NarP	malG//hemH//yafN//gnd//pnp//sbmC//ydbK//paaD//phnJ//ybfE//lsrK//gntK//glpF//atoE//fliE//pspG//glpD//araB//pheS//dnaN//tyrB//ygbA//nrdA//gpmA//moaD//dsrA//ubiA//ssb//dsbG//tsr//pspB//kdpC//frdB//srlD//pspE//adiA//caiB//wecE//ynbA//glpB//cyoC//sgbH//gyrA//dnaN//ynfE//yegZ//phoQ//yfdE//ycgR//cbl//
NemR	gatB//ldtD//gspE//
NhaR	yegR//norW//nuoE//wza//metF//nusA//ydfH//
NikR	hdeB//nupG//pheS//metK//cusR//fhlA//
NimR	cusA//osmB//
NorR	gspM//dsbG//ydcV//
NrdR	yciX//rpoH//accD//nuoH//intQ//flgJ//uxaA//gudX//agaD//
NsrR	xylB//yeaH//nadA//recX//argG//zraR//ahpC//nfo//purK//rpiR//appY//sufB//rclC//lsrC//feoC//yjhC//rpoH//nirB//lysP//fadD//napB//ykiA//allA//nikR//lacY//aldA//fes//lolA//recA//argG//rbsA//tcyP//srlR//ada//cynT//pgaB//purF//ynbD//edd//hybG//rcsA//ydcV//ppdB//flgM//fau//accA//focB//caiA//hdeB//creB//bioC//higB//tdcF//torD//leuL//rcsA//glpK//ybiT//ydhW//relA//sufE//exbD//pgm//tnaA//hipA//yjeV//hcaR//glnB//xapB//aceA//uidC//tsx//gadB//tam//putA//napD//rybA//csgE//yegZ//ydfD//casE//ftsW//bglB//
NtrC	yrbL//higA//dnaN//recA//creC//uspA//bglG//hypA//recA//artI//folE//csrC//dcuD//setA//mglA//cysG//cysE//hybC//ydcV//uxuB//mhpF//potG//lsrD//cyoA//dacC//paaK//xylH//pagP//tonB//fliE//zraR//yjjZ//hycD//ccmH//sbmC//yiaO//ttdA//glpX//recC//hypA//leuD//pspE//hybB//ebgA//dicC//hypB//dsbG//malQ//cyoA//
OmpR	leuA//gspG//pyrD//leuO//gspJ//pspD//ulaD//fabH//malI//hha//slp//pgaC//dmsD//rcsA//ftsI//ydfX//alaS//tyrP//garK//oppA//fadH//
OxyR	dnaA//cysN//ybjG//yafO//nanE//yneM//pdeR//ydhY//phnL//treB//araG//torA//csgC//marB//aslB//agaD//rutC//pdeH//gspG//rpsU//hyaF//ssuD//znuC//casA//accC//mngB//manY//ynfK//uspE//moaB//moaA//hyaD//treB//emrA//
PaaX	gnd//glpC//appA//zinT//fadE//malK//casE//gadW//udp//fliT//hyaB//slyB//garD//ynfH//
PdeL	phnI//
PdhR	pykF//dinD//hyfF//dapB//fadE//pspF//gfcA//yfdX//dcuS//yccJ//fliD//dinB//yfdV//moeA//glgC//alsC//hcr//ftsW//hcaF//trpA//hypE//caiT//rseC//chiP//gntU//mglB//uidC//hypB//ebgA//yjbH//oppA//uxuB//waaY//fldA//ybaS//rybB//xylH//dgcN//ybiT//artP//yfiB//
PepA	nanT//lpd//hybA//
PgrR	dnaG//glmY//yhdW//ynfK//tdcD//decR//udp//wzyE//
PhoB	entF//hybE//lysA//xylF//sbcD//yhjX//fabH//nrdE//rpiB//pdeR//agaS//treB//gatA//melR//ybhR//srlB//codB//flhA//hycE//nrfE//lsrB//cysG//ycdZ//idnD//eno//paaX//nanC//narJ//caiF//appB//yebG//cusS//ilvY//iraP//uxaC//tauB//ydfD//ygeH//alkA//nuoC//ddlB//dhaM//dhaL//dtpA//agaR//iscS//glnQ//ruvB//amn//poxB//aceE//nrfD//srlR//yhhY//serA//glnP//ftsQ//seqA//dhaR//paaA//
PhoP	oppD//hyfH//yaiW//yoeB//cpxQ//cspI//nuoE//mntH//soxR//lsrC//waaY//fliC//mtr//puuP//yhjC//creC//mraZ//ydeO//ftsW//uvrB//ppiA//lpxA//ydcU//umuD//yqhD//accB//yeaD//ygdB//fecC//nagA//metK//carA//araB//soxR//lexA//yhbE//glnL//aroL//mtlA//hyaF//eno//bluF//glcC//alsB//betA//prpE//ybhG//metL//kbaZ//cysP//tam//torR//entC//cysH//kdpA//gor//
PrpR	recC//nimR//feaR//yeaD//efeU_1//
PspF	ybbW//hyaF//tyrB//thiQ//pheM//uvrD//modA//
PurR	tdcC//pspB//nrfF//rpsO//ssuC//cysN//gspM//purK//narL//bglG//nirB//ccmB//yegR//pspG//atoE//fdnH//hlyE//ascB//trpA//hyaA//yhbT//tnaB//kbp//leuA//cho//lacA//mglC//prs//hipB//fhuB//lpxC//
PutA	ddlB//hybC//
PuuR	nrfC//cheA//cydB//ppiD//napF//yccA//ihfA//
QseB	flgA//rclA//dcuR//ydeN//
RbsR	moeA//araD//pck//appY//phnG//cydC//tdcC//yebG//hyfB//
RcdA	argB//osmY//nuoB//uhpT//hycG//nusA//cysH//casB//dsdA//
RclR	artQ//yoaG//pspE//
RcnR	gutM//fliE//oppA//
RcsAB	relA//sgrT//nirC//ldtC//hypE//tyrB//tcyJ//dmsC//eno//tsr//ulaA//hlyE//yhbE//cra//cyoC//glpF//
RcsB	rbsB//fixA//xylA//gspD//nanT//sufD//xylA//trpE//narI//recB//nrfD//emrB//feoB//paaD//alkB//waaH//rbsR//lrhA//mngA//edd//yjjQ//rpsO//metL//hypA//aroM//
RcsB-BglJ	rimK//flu//dmsC//yefM//aceA//exbD//eda//higB//hypC//fhuE//exuR//ogt//yegZ//uxaC//pheM//galE//
RelB	btuB//omrA//dcuR//
RelB-RelE	ynfF//ruvA//slt//
RhaR	glpD//yecT//
RhaS	hyfA//nrfD//bglB//yhbS//fruA//hypA//
Rob	fucR//dgcZ//sucC//alsB//hcaB//gabD//rdoA//modC//sufC//bioD//oppF//evgS//uvrD//pheM//nanT//malT//sucD//phoR//adiA//mtlD//marR//motA//malF//icd//cyaR//entD//
RstA	yefM//galM//fimE//slyB//flgM//skp//gntX//aspC//recC//ygeH//
RtcR	mtlR//waaZ//
RutR	moaA//fadB//uhpT//rpoD//psiF//hyfJ//ydeM//cheW//cusA//arsC//araD//cspE//flhE//ahpF//hisQ//ymgA//carB//
SdiA	fhuD//ompF//yfaE//csgG//cho//
SgrR	ychF//mpl//hypE//cysC//exuR//mnmG//hisP//feoA//znuA//
SlyA	garL//
SoxR	cynT//hyfG//marB//
SoxS	cheW//phnK//yhbT//murQ//ygbA//waaY//fucK//tyrB//fdhF//uvrB//uhpT//sdhD//pdeH//narG//ung//rbsK//dps//betA//ycdZ//fecI//argA//rstB//gadW//feaB//yqhG//yjiY//glxK//mhpB//sufE//tauD//ybhL//safA//yciW//fadL//dsdA//paaI//fepA//fliH//mqsR//bglG//
StpA	setA//sbcC//gor//pagP//gatZ//cyaR//hypD//
SutR	ygbA//pdhR//phoA//mhpD//pdhR//
TdcA	ynfK//argP//hycF//hybA//katE//pdeH//yfdX//
TdcR	ahpF//gutM//oxyR//hycC//leuO//araA//yibQ//
TorR	ydhW//tadA//yhiM//cas2//cyoC//metH//araH//cynR//tyrP//garL//nadA//yjeV//
TreR	garD//yegZ//
TrpR	phoH//napF//sbmA//csgG//cspD//glpK//nemR//adiA//codA//yhbT//crl//ugpC//
TyrR	purM//yciW//tdcA//pgk//dcuB//sulA//rbsD//baeS//fucA//dkgB//ygaC//rnpB//
UhpA	yciX//
UidR	araD//sufC//hypC//cysJ//
UlaR	nrfA//tyrR//flhE//ydfN//aroP//btuB//fliC//
UvrY	uxuA//ung//zraS//aceK//fliC//
UxuR	mgrB//cysP//guaB//oppC//emrK//nuoH//hypE//garK//nfuA//
XapR	araC//yjhC//
XylR	nagC//sgbH//ydfW//tdcF//murD//nmpC//cydD//
YdeO	pck//ynfG//agaC//metL//flgA//crr//rutF//artM//wecC//gcvA//nrdF//pstC//yfaE//gcvH//ugpA//phr//csgF//rplU//bioD//phnD//hybA//
YedW	nrdA//ecpR//fhlA//motB//deoB//hcaF//rpmA//mtlR//rutG//zraR//rpoH//aceF//
YefM	garL//glpA//
YefM-YoeB	dhaK//tolC//
YehT	phnG//
YeiL	folE//
YiaJ	pgi//rcnR//zntA//hyaF//fadM//ydhV//fliA//uvrC//ydhU//ydeO//
YjjQ	lrp//ydcU//nemR//fabI//entH//rutA//ygbK//mhpB//slyB//xylR//
YpdB	hcaB//
YqhC	speA//asnA//
YqjI	trpC//zwf//
ZntR	nadA//
ZraR	sra//grxA//ynbB//
Zur	agaD//gadF//ugpB//dkgB//idnK//ygaC//
