#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	qseB//znuC//
CaiF	fadI//trpE//trpL//patA//citX//znuB//glnD//deoA//cydC//mdtE//
Cbl	iraP//rstB//ymgC//garP//cydA//uidA//grxD//potI//artP//
CdaR	hokD//modB//acrR//dnaG//sdhB//dcuS//marA//nrdH//fecC//tbpA//
CecR	leuL//nuoJ//modB//ygeA//pnp//
ChbR	nanE//purB//uxaC//pspG//torR//dkgA//
ComR	rpoE//
CpxR	ssuD//puuE//fabH//cpxP//fldB//pgk//glgX//ybbY//ssuC//patD//lamB//paaF//pepA//ydiV//yneM//pstC//fabI//ftnB//yccT//ydcS//dacC//artP//fliL//lon//ddpA//fadJ//cysG//ygdB//tauA//fucR//xapB//bdm//tyrB//napB//fadL//yeiL//fecC//purA//manY//cas2//ppsA//dpiB//xapB//ydhY//isrC//sufB//yhbS//gpmA//nfo//wecB//htpG//waaY//ldtD//ycjF//fliQ//argP//thrS//ruvB//nusA//ykgO//ada//nrfE//astA//cynT//uxaA//yeaH//phnH//narI//sgrS//rpmI//
Cra	mzrA//hipA//galR//fes//phr//hybD//yjbF//dinD//ycjG//rclA//ydeM//rffC//hyfI//dicC//rpsO//ddpC//ycgR//dcuR//mdtD//pspA//yiaK//csgE//srlB//alaC//nanK//kdpB//mtlD//hyfF//uvrB//ulaB//manY//pspG//phnJ//glnD//pspB//fliQ//potH//tisB//hycI//aroH//crr//srlA//ydhU//nfsB//xylG//ynfE//dinF//lldP//feaR//ilvC//ccmF//ccmE//cusR//argH//yegH//mazE//pgm//fadL//nanM//atoB//zraP//fumB//leuL//pdeH//alsA//sodA//pspG//uspD//acrD//cyoA//paaG//tnaA//alsE//paaZ//rimP//fadJ//leuB//dnaG//purA//
CreB	tbpA//ycjX//grxD//ycgR//uvrY//
CsgD	eno//glcG//purB//glnL//aroM//cyoC//oppF//trpD//emrK//gudD//polB//tpiA//flgF//nrdG//nanM//garD//iscS//ppsA//fliL//fadD//ydfD//gntK//ydeN//tehA//hycB//galM//carB//phoP//
CsiR	treB//hycH//sdhB//ydhU//envC//
CspA	fnr//napB//
CueR	phnG//fucR//agaV//gabD//fdnG//crl//garK//
CusR	pykF//atoD//rbsA//prpR//bglF//ydhY//ygiZ//wrbA//dinG//ygbA//rutC//flgG//
CynR	murI//hybC//ruvA//pncB//
CysB	dcuR//iscU//malT//atoD//oxyR//efeU_2//yciX//frdD//oxc//ybiT//dgcZ//gadX//flhC//ibaG//ycdZ//napD//malM//garP//ulaE//malZ//ybhS//ecpA//pagP//alsB//alsA//appB//truB//yciF//gspD//glcD//ygaC//nupC//
CytR	xylA//creB//citC//rybA//zinT//cusR//fecA//acrB//cspI//psiF//fes//cysM//glnD//
Dan	ycjX//csiD//flhD//fbaA//
DcuR	gcvP//atoA//aroM//nikD//asr//puuA//frdB//allC//cpxP//
DeoR	rutD//yebE//ymjD//lolA//treC//bioB//
DhaR	hypA//uxuB//wza//pdeL//
DicA	ybbY//mngB//rhaT//gadB//rnlB//mpaA//mqsA//garD//
DinJ-YafQ	phnN//frdD//yhdX//
DnaA	sbmA//sufS//icd//pdeR//nuoB//hyi//glpA//nrfG//atoA//adhE//lsrF//pspF//
DpiA	allA//glcD//dsbC//dinF//bluF//pgaD//allA//sgrT//fadR//aroM//paaX//
DsdC	dgkA//glnG//uxuB//
EbgR	cynT//udp//
EnvR	cusC//fur//
EnvY	kdpF//cysW//
EvgA	dgcZ//exbB//yjbF//feoB//glgP//ompW//nirC//fbaA//malM//glcF//cytR//yoeB//fecD//rpmI//waaZ//rpmA//yegH//moaD//fabG//
ExuR	pheT//yjbE//pepA//edd//torD//tauD//cadC//alsA//ugpA//
FabR	gspL//lysC//
FadR	uxaB//tynA//relB//ccmD//gapA//nuoH//icd//cadB//fecB//deoB//sucD//dpiB//hycF//hypF//rclC//malG//hcaD//mprA//mdtF//lsrA//melB//garD//nuoE//
FeaR	hyaC//argP//
FhlA	dgkA//omrB//ftnB//rstB//patD//ssuC//phnO//guaA//mazF//glnL//tcyJ//fadD//mdtC//yibQ//fliK//ybhF//fadJ//mpaA//hyaF//sfsB//entC//bioD//dsbC//uspA//hypC//iraP//nuoK//yafQ//mioC//dkgA//
FlhDC	hyaC//appX//flhE//glnP//motA//pgaB//betB//fliR//napD//rcsA//cho//agaA//yjeV//hdeB//fabD//crp//umuC//tisB//sufS//yiaK//kdpB//dcuD//entS//gudP//appY//appX//artQ//rimP//ulaA//metL//bglB//pgaD//fimB//nikA//citE//yqjA//sgrT//ybjC//rarA//ftsK//flgI//epd//purR//hyfG//fadD//pepD//tisB//acnA//aceK//slt//gpmM//trpC//nfsA//rstB//cspE//dhaM//xylF//puuC//idnO//ptrA//appA//mgtA//hypF//rdoA//yeiL//agaB//yegH//mpaA//ribA//ydeN//hybE//sroD//nmpC//glnH//uxuR//evgA//thrS//gntP//ynfK//kbaZ//hycI//intQ//
FliZ	glpF//ptsG//hypD//dgkA//ycgZ//fliC//ddpB//hycH//phoA//mtlD//cas1//ddpF//zntA//nanE//glpT//yiaK//fliM//carA//gspL//udp//purR//
FucR	narG//nikC//dsrA//cysA//phnK//fes//nrdF//
Fur	accD//entS//fadM//ydhY//yqaE//ynfK//yiaO//rutR//recD//mipA//symE//lacZ//asnA//cheA//prpD//fixB//metR//acnB//fldA//rtcB//gspH//exuR//dapD//cheW//glpD//slp//agaI//yrbL//folE//acnB//ftsK//ynfH//ppdA//ada//entB//fliC//yqjA//hyfB//caiD//grcA//cysW//caiT//cysM//inaA//yneM//tsr//marR//napG//yecT//nupG//modB//yneM//ompT//fliJ//ldtD//ddpX//cysG//cynT//ydiV//hcaB//yhbE//hypC//appC//napC//zinT//dcuA//mioC//entF//gspC//ubiX//mprA//chbA//cynT//chbA//cusR//lsrA//lpxA//gadF//tnaB//nfuA//nhaA//astC//artI//ybdZ//thiP//hypF//nimR//csrB//appB//fhuD//ygbA//yecT//ybfE//uspE//evgA//isrC//gntX//phnH//ygaC//nikR//lysA//tehA//paaJ//yciG//ydfX//dgcZ//ynbD//fepG//bacA//ppc//frdC//astA//tdcD//yiaN//lolA//zraS//sulA//murC//malP//aspC//acrR//argP//ybhF//metI//ycjX//infC//aroL//sroD//modA//fliM//
GadE	yqhD//ahpC//tonB//ybaT//ppiD//sfsB//ompN//lsrC//ybhF//cyoC//cusA//lpxD//phoU//sroD//caiF//nrdE//uof//yneM//rpoD//paaD//oppC//gadB//hemL//tyrR//agaW//amtB//yebE//yfiR//hyfR//
GadE-RcsB	puuD//hybF//poxB//rutB//uspE//araH//phoQ//dsdA//aroL//
GadW	cysA//fhuD//tnaC//glnP//nagA//sgrS//pspG//casD//hycE//araC//leuC//wzc//ydeN//ydcT//cydB//
GadX	dmsD//nusA//cysW//hyaD//wrbA//metL//gcvT//ydcU//deoA//acrB//srlR//rnpB//atoE//metE//sufB//cysD//yciW//dapD//nanC//mqsA//trpA//dinF//accB//glnB//glcD//yoaC//dnaA//gntT//flgB//
GalR	glnL//glpC//rpiB//yjbE//bamE//ebgA//ygeH//agaB//narL//rpsO//
GalS	ascB//gudD//nagC//ydbD//napF//sutR//sulA//yjiY//hipA//ulaD//
GatR	mgtA//pgaC//hyfI//mhpC//ydeM//yfdX//
GcvA	fliI//fadR//chbR//tomB//purR//
GlcC	fliQ//oppF//csgG//rhaA//caiA//metC//glpX//
GlpR	yebG//yqhD//allS//wzyE//yeiL//agaR//cynT//casB//ymjC//
GlrR	flu//citC//sbmA//astB//yhdY//
GntR	pdeH//paaZ//flhD//seqA//gudP//fdnI//modA//nirC//sgbH//mglC//sgrT//yaiW//
GutM	ydiV//fhuA//fdhF//yaiW//bglB//hlyE//murR//
GutR	molR_1//yeiL//sdhB//ybjC//mazE//yciG//fabG//
HU	yfdE//glnG//rhaS//mglC//ulaF//cysJ//srlR//yccA//allB//
HcaR	nagA//rclA//nuoH//osmY//ygiB//atoD//
HdfR	hybO//umuD//ycgZ//yaiA//yhdW//
HigA	manZ//ybhF//
HigB-HigA	yeaH//uidB//
HipAB	zraR//hha//ydjM//kdpC//ydhV//
HipB	glnK//deoA//psd//uxaC//yfbR//fepA//
HyfR	gspK//sgbU//metB//gapA//ugpA//rpmI//tauB//ybhS//artM//znuB//agaA//glmU//
HypT	gadX//zwf//nrdD//rutD//rpiR//chbC//gabP//purD//phnN//cpxA//fucR//gspI//ykiA//
IclR	phnN//xylG//cysI//agaD//
IdnR	intQ//lysA//rsmH//ygaC//glnP//nlpA//xylR//
IlvY	fucA//nanM//
IscR	metY//gutM//tdcD//fhlA//hypA//cra//xylR//acrA//mpl//ssuA//dinJ//acrA//sgrR//alkB//sufS//slt//dcuA//ompN//glcE//recC//gspH//cdaR//aspA//phoE//sdhB//phoA//wecB//aceA//rpsU//artJ//prpR//alaS//
KdgR	glnB//rimP//
KdpE	nrfF//lpxD//cyoD//yfaE//
LacI	appA//ssrS//entD//
LeuO	gatD//pdeH//pgk//tsr//gspL//yebE//hcaE//ssuA//ybjN//sufA//flu//hybC//bolA//nfuA//puuP//gspF//pheM//mepH//bioC//uspD//
LexA	hycB//glcD//argR//zntA//mgtA//flgD//fadJ//paaJ//fliR//entB//mglC//ygeH//artM//argF//ybdN//cadA//patD//phnE_2//adiC//trxC//hcaB//cysA//hemL//nuoH//fes//soxS//accC//mcbA//xylB//flgF//cysJ//malQ//nanE//phoH//araJ//gcvP//idnT//rhaR//mgtL//phnF//araG//trpD//sgrR//efeU_1//eno//gcvB//ddpC//dsbA//dmsC//prpC//borD//pepA//galP//flgK//znuB//cpxR//phnP//ppdC//gspK//
LldR	araF//yhdZ//pqiA//
LrhA	melR//glgC//sufB//uxuB//
LsrR	tyrB//csgC//gntT//lysA//cysG//melB//hha//lhgO//glnA//
LysR	garP//tam//
MalI	ftsZ//gcvH//nmpC//
MalT	cyoB//nimR//codA//dicB//agaI//hemL//gudX//cspE//sbmC//hyaE//
MarA	ptsG//hyaC//rpsO//ybjG//nuoE//galR//nuoA//fliG//umpH//galP//dgkA//pspE//pnuC//crp//hdeA//dcuB//mazE//cytR//ynfG//yjhB//ebgC//mazE//grcA//gltJ//nikD//rarA//aceK//phnL//slp//yegR//glcE//phnC//fruB//omrA//uxaC//betB//lpxC//paaA//
MarR	purH//rcnR//rffC//
MatA	dapD//nemA//wcaA//yneM//focA//ytfE//csrC//deoA//
MazE	atoE//nanM//rarA//
MazE-MazF	yoaC//nuoL//ftsL//
McbR	gpmM//aceE//oppD//recA//
MelR	ydfX//rpmI//glk//
MetJ	galE//yoeB//potF//yidQ//ygiZ//dinF//cyoA//yqjI//acrA//pnp//wza//adhE//yiaK//sroA//hycD//
MetR	eno//betI//cusR//sbmC//glgC//
MhpR	melA//galT//yiaO//sufC//purN//aceF//
Mlc	oppB//ddpB//ryhB//murF//wzc//tdcC//purA//ftsZ//hybC//accB//
MlrA	mlc//nhaA//thiQ//nupC//moaA//gpmA//flgL//cirA//zwf//hybG//
MngR	gspC//flgH//araB//
MntR	gcvA//paaJ//phr//hybA//ssuE//
ModE	dsdC//yqhD//fhuC//rnlB//ynfH//wzc//dcuS//yeaH//malQ//fecB//ybjN//fecR//fliG//glnK//lrhA//fixX//uidR//mipA//waaY//galM//hybB//moaD//ssuD//hypF//flhC//dtpA//ydhX//caiT//dhaR//ccmF//mpaA//yegR//fdnH//fliF//ppdC//gdhA//lldD//ebgC//gspJ//mgtA//cydA//yhiM//sufD//hybG//aceB//cueO//
MprA	leuL//pepD//yhdZ//baeS//argO//dps//
MqsA	bdcA//malY//glmY//rprA//csgD//ybiT//guaA//isrC//
MraZ	hyfD//nikB//fucO//agaI//bglB//ptsG//ynbC//ycjF//purF//lldR//fiu//glnP//hcaB//yebG//yoaG//pspE//torA//
MtlR	yafN//fixX//yiaK//
MurR	feoA//dinF//ddpD//
Nac	mhpF//ycgR//serA//sroD//gcl//agaB//fixX//rdoA//tynA//psd//flgB//fruB//fdnH//slt//gor//gltB//hybB//galM//tpiA//uvrA//glgB//
NadR	yhhY//rbsK//agaD//phnG//
NagC	fadB//fepC//rstA//ryhB//gadB//thrS//nirD//glpQ//argB//gspI//agaC//dhaM//ybjN//nrfG//idnO//pheS//dpiA//xapA//codA//ygiA//modB//deoC//kdpC//gltF//rbsB//ymiA//sufA//lsrF//trpD//pqiA//ccmG//nuoM//norW//gspH//uxuR//yccA//phoH//
NanR	iraP//nanT//phnE_1//crr//mtlD//nimT//dpiA//sgbE//tauC//chbR//ybbY//
NarL	ycjX//mglB//ddpD//htpG//tehB//yedX//bamE//lsrK//ibaG//phnM//sbcD//cysA//hdeB//artJ//fbaB//nuoF//appY//paaG//thiQ//nusA//yiiS//ycjY//cadC//hyaE//nrfF//nuoC//cysD//glgX//fadA//yjbH//glmY//nrfA//ymjD//fimE//feoA//malE//alsA//yciX//sufA//adhE//ykgO//cyoC//dnaA//mazE//ttdA//acrB//yhdY//ydfE//asr//metF//ydeP//gatB//gpmA//ddpB//galK//dctA//ydeI//sufB//glnQ//pyrC//hycF//sroA//rclB//dpiB//tcyP//uidC//intQ//hyfC//allD//putP//sdhA//bioA//nimR//ahpC//agaC//napB//mepH//norV//ybdN//yhdZ//hyfE//cvpA//fhuA//tyrR//ynbD//dkgB//yoaG//malZ//asnA//hybF//dcuS//pqiB//tbpA//pdeL//prs//ldtC//astE//fimB//malS//pgpC//glcD//sdhC//paaH//hyaD//ttdA//fabA//cueO//yaiA//ygbA//yaiW//exbD//wecB//iscA//sucC//ulaF//rffH//atoB//rutC//tomB//glnB//gudP//mdtC//alsE//
NarP	fecR//nuoE//hypE//cynT//garD//glcD//glcG//frdD//fpr//srlR//gcvA//puuA//dmsD//bglJ//argH//cspE//lacY//wecE//hycC//accC//argA//metB//rhaA//rfe//yhdZ//fliO//ccmH//phr//idnT//puuE//ftsZ//rffH//dgkA//yegR//mazF//dmsC//ccmE//appY//ymgC//ydeO//gadW//hns//sgrT//flgH//creB//alsA//cysG//fhlA//ychF//ppdC//
NemR	ydfW//hybF//sufD//
NhaR	yhcH//dinJ//uvrA//lysP//gatA//mtlD//infC//
NikR	relE//rffG//metR//cvpA//tnaC//modB//
NimR	nlpA//ycgZ//
NorR	fdhF//pspF//yebG//
NrdR	tbpA//glmY//fhuD//glmU//yegR//purA//hcaF//fucA//flgH//
NsrR	nfo//tcyP//araG//ppc//ssuD//dinQ//nrdH//ugpA//rpsO//bdm//yciF//ecnB//rbsA//nemR//allA//glgC//fimB//cysH//uxaA//sufS//phoR//rclA//araE//cyoC//recA//cydB//recA//sdhA//dicB//rffT//ynbA//puuD//ymgA//trpD//gadB//rhaB//astC//fbaA//hyfR//nhaR//cadC//potG//yaiA//torR//phoP//intQ//uxaA//cynT//rpiB//oxyR//pdhR//ttdR//dcuR//dinI//dps//idnT//ppiA//yidL//pnuC//alkA//rcnB//prpB//yhjC//galR//hypA//nagC//dinD//exbB//nmpC//recN//argA//gudX//tdcB//dicB//accC//envC//ryhB//dnaA//efeU_1//sroC//uxaA//glyA//phoB//
NtrC	marA//phnJ//ybdZ//cydD//ddpC//dcuA//hdeD//molR_1//mdtE//appY//marR//paaX//cas2//treC//paaY//iscA//uvrA//ygiZ//argD//rseB//mraZ//cysI//yiaN//yhdY//ugpA//dnaG//ymjD//tcyJ//metL//nuoH//rbsB//dinB//trpB//ssrS//rtcB//flgG//lexA//fixC//yhjA//fabZ//argI//hyfD//ebgC//fecC//bdcA//molR_1//dcuB//cysG//yiaN//
OmpR	malM//yhiM//napB//fliH//ybbW//fadH//waaH//appC//yoeB//galM//zwf//rpoD//aceA//ruvA//metN//rtcA//purF//fucU//purE//yhdW//tsx//
OxyR	ynbA//yhjA//tyrR//fabZ//yiaN//moaC//yhiM//hycH//dmsB//phr//insK//paaZ//fhuF//hyfD//argT//mltF//hslJ//yaiW//yiaK//hflD//focB//hns//sbmC//accB//mgtA//metQ//moaB//paaF//yrbL//mgrB//flgB//uvrC//ulaB//fumC//
PaaX	hypD//cho//nuoA//fixA//nuoB//nrfB//rhaR//ulaB//tnaA//artP//yoaG//feoC//aslB//pspD//
PdeL	ftnA//
PdhR	dctA//hyfD//fepG//ybhL//rnpB//ccmH//ldtD//ecnB//melA//glcD//cspI//glnL//araH//ycjX//hisM//bioC//ugpC//phoA//aroP//yhbT//hypD//fliM//wrbA//ybdN//ibaG//napC//murC//hyaA//metQ//alsE//dsdA//mioC//fdnH//higB//puuP//alsB//trxC//uidB//yqaE//nikC//lpxD//
PepA	ahpC//artP//dpiA//
PgrR	potH//rstB//torC//yegH//dhaK//puuR//dhaM//xylG//
PhoB	fepE//yfiR//ihfA//lhgO//tdcB//glxR//ybhG//yjbG//ftsK//yqjA//uidC//acrR//pnp//nohA//yeaD//focA//mntS//hyfJ//rbsB//mdtC//yebG//ycgZ//sufC//gspO//ydeP//alkB//yqjA//aceB//gadX//dinJ//iscR//hcp//nfsA//gltD//nadB//gcvP//paaK//ribA//glgA//chbR//metC//fumC//prpB//patA//ygiC//dhaK//garR//atoA//glnL//nimR//iscS//atoB//glcA//umuD//srlB//hipA//flhA//sdhB//tauD//malM//
PhoP	ftsQ//efeU_1//zraS//yjbE//galT//codB//yefM//phnK//glcF//leuB//fliK//yjbE//hybC//pgpC//malE//allS//umpH//yhiD//gudD//puuA//nfsB//betT//ybjN//evgS//ttdT//nikR//oppB//yjiY//dctR//yncE//lyxK//psd//mhpA//nuoM//ddpC//fepE//norW//rclC//ftsL//ebgC//argA//wzxE//astE//ynbA//umuD//nanE//torR//ydbD//ybaS//paaB//speB//dpiA//atoA//aceF//fnr//gatA//
PrpR	glpC//dacC//htpG//gspE//yhbT//
PspF	argD//fepG//entF//dapB//ascF//rsmH//fabH//
PurR	dsdC//malF//phnJ//glgB//mtlA//narJ//glmS//adiC//hmp//ydjM//ycjY//dsrA//cdd//talA//rpoH//flgH//sdhC//cysH//entE//rtcB//flgN//ddpX//motB//metE//glpF//slp//spy//sra//ldtC//nemA//rbsC//
PutA	caiD//araF//
PuuR	cysE//casE//ydfD//dmsA//csrB//hypC//hycH//
QseB	cusF//uxaC//dps//agaD//
RbsR	malP//phoQ//dinD//hyfJ//glcB//ptsH//csgG//phnN//fliD//
RcdA	fes//fumB//ecpR//carB//dsbG//sdhA//xapA//rsmH//dkgA//
RclR	uidA//bglJ//argI//
RcnR	fruB//fadB//entH//
RcsAB	idnK//adiC//dgcN//argF//potF//leuD//murP//gltB//exuT//sbcD//carB//galE//hypD//puuR//napA//narK//
RcsB	cysC//oppA//dacC//uxuR//prs//ulaD//ulaA//trpR//araF//garR//yhiD//nrdH//sfsB//cueO//paaA//gspC//pheM//pitB//lsrB//argF//mqsA//gspL//prpB//modA//hybA//
RcsB-BglJ	gfcA//rimK//oppB//phr//rcnR//malG//rutF//cynX//cueO//lrhA//ybaT//gatB//mazF//hdeD//csiD//polB//
RelB	glnP//fixA//yhdW//
RelB-RelE	ppdB//paaZ//bglB//
RhaR	malG//purB//
RhaS	amn//ynfF//chbA//yhjX//pgi//eda//
Rob	acrA//crr//cdd//yqjA//ulaE//oppC//deoD//sufE//cheW//slp//fhlA//hycG//ydfX//pstB//dsdX//ynfG//pqiA//nupG//yhdX//fepC//thiP//fdhF//galM//yeaH//fecR//recA//
RstA	fnr//ybbY//sroC//nanC//rffT//pheM//acrB//lysC//mpl//molR_1//
RtcR	frdD//yafQ//
RutR	ydeI//sbmA//cysC//gadC//poxB//rtcA//yjjZ//ppdB//bglG//hyfE//fabG//ccmF//allB//udp//nanK//gspF//ccmB//
SdiA	napA//glgB//uvrC//aslB//yjiY//
SgrR	rffH//copA//creA//hyfR//skp//agaR//glcC//malM//puuC//
SlyA	cheW//
SoxR	rplT//yciE//gntK//
SoxS	nanK//ddpC//psiF//allS//dnaA//adhE//mdtC//deoC//puuP//mazG//hybG//rclB//fliK//yidL//flgF//oppA//torD//glxR//cynR//ybaS//aceE//alkA//metL//nemA//hycH//cra//yeiL//phoH//napG//murG//agaA//narX//rutF//bioD//nagA//fliZ//paaK//inaA//uhpT//fldB//
StpA	cynR//rob//fecE//garD//bacA//phnE_2//yafQ//
SutR	flgG//hybD//eda//hcaR//thiQ//
TdcA	emrY//dsbG//ydhV//pqiA//guaA//tomB//prpR//
TdcR	wecC//tsx//sra//ybbW//tnaC//waaH//betA//
TorR	pncB//tdcD//tadA//nemR//ompC//garP//pykF//mhpF//sulA//garL//rpoH//yhdZ//
TreR	ydcT//iscU//
TrpR	rffC//pepD//hycA//fhuC//purA//pqiA//fliI//mhpE//mdtB//gntK//glcB//rtcA//
TyrR	dcuA//gatD//dnaG//srlR//gabD//metI//fumC//sufA//fadM//tyrA//nirC//gfcA//
UhpA	guaA//
UidR	yqaE//znuC//chbG//dsbC//
UlaR	araA//hcaC//appC//tynA//ilvC//sdhC//nanA//
UvrY	recD//uof//xapA//yhjX//gabP//
UxuR	nrfB//tdcD//lexA//ybdZ//glpT//recA//ulaG//srlE//metN//
XapR	osmC//entH//
XylR	ndh//ycjX//phnL//ycgZ//csgD//decR//fnr//
YdeO	malS//hslJ//ycjG//dkgB//nanE//caiT//yciW//gcvP//gcvT//mzrA//ulaA//entE//mglB//carB//nimT//lpd//arsB//yciE//yccT//ydcS//potF//
YedW	ddpF//efeU_2//gspM//gadA//gcvP//manX//frc//aceA//pqiA//aroF//gcl//accD//
YefM	bioD//cusC//
YefM-YoeB	rffC//xylG//
YehT	tdcE//
YeiL	malZ//
YiaJ	nimR//pyrC//rutR//yecR//cadC//nlpA//rcnR//yhbS//trpB//znuB//
YjjQ	leuC//kdpA//pnuC//yjhB//hyfB//rutB//evgA//waaH//malK//nrdH//
YpdB	fhuC//
YqhC	oppC//norR//
YqjI	glgB//zntA//
ZntR	ydfH//
ZraR	ybbY//fdnG//acrA//
Zur	rseB//purR//gltJ//baeS//ascF//dapD//
