#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ptrA//ddpC//
Fur	glxR//ydfN//aroM//nuoH//hyfH//nhaA//glmS//accA//wzxE//fhuF//lsrF//ryhB//tauB//ygaC//rdoA//nrfE//folA//ulaC//aroH//gatA//glcC//ynbD//sfsB//fhlA//aidB//pspA//yjiY//allC//yciW//mglB//entC//treC//cbl//gspG//paaG//fixA//glpK//cspE//nanE//gspO//leuL//ulaD//rutE//cydD//wzc//molR_1//cdaR//gcvB//pstC//agaW//casD//lpxA//ydeN//exuT//pnuC//hmp//cusR//pepD//yhiD//gatA//waaZ//aroH//mhpF//hcaB//oxyS//kbaY//fadD//ssuB//tnaC//uxaA//glpF//zinT//omrA//wcaB//fepE//dacC//malG//ribA//hslJ//hdeB//soxR//yegZ//torC//ccmC//lrhA//paaJ//yhbS//wcaB//wecC//hslJ//nrdD//hflD//nrdF//envC//chbR//appC//ugpC//ttdB//yhbE//ygiA//gadE//dsdC//ydeO//modA//aroF//ydcV//yjeV//gadX//dcuD//umuC//astB//lpxD//yegR//infC//epd//bglB//mglB//rplU//mdtB//fadL//paaJ//ibaG//kbaZ//ccmD//ttdB//uspE//rffG//cysC//murI//pgaD//
GadE	argE//dcuR//yiaN//cysE//napD//atoB//yqjI//flgI//hcr//ppc//fabZ//ihfA//ybjG//mlc//fhuF//pqiB//yaiA//ilvY//casB//gntU//luxS//fadB//xylF//sufA//lacY//malI//copA//carA//yeaD//
GadE-RcsB	gadA//flhB//feaB//glmY//atoB//argG//casC//yebE//oxc//
GadW	higA//ftsQ//mntS//entC//lhgO//araA//nuoL//ttdT//iscA//recA//fabA//rffM//fabG//fliD//glmU//
GadX	cysB//ldtC//agaW//aspC//chbA//nimR//cydC//fliR//sufB//tauC//epd//hybF//mhpB//setA//yrbL//yccA//yhhY//gatB//bolA//cydB//fadA//hisQ//cueO//appX//pspE//ftnA//ecnB//cysP//hdeA//
GalR	btuB//trpL//lacZ//uidB//cydB//aceB//glcG//cvpA//araF//ftsK//
GalS	norR//marB//hcaD//grxA//dgcN//argI//ydeO//mntS//murQ//hcaD//
GatR	rnlB//sroD//purB//murI//yqaE//hha//
GcvA	htpG//yciX//cpxP//putA//asnB//
GlcC	purF//purB//hycG//ibaG//soxR//dgcN//gltI//
GlpR	ydeM//cvpA//cueO//chbB//lsrD//wecE//napA//tdcF//hisQ//
GlrR	nadA//bioF//cdaR//epd//wzzE//
GntR	acrZ//dpiA//cadA//fliZ//yidL//bioC//dkgB//pgm//nuoA//fliD//zraR//tsx//
GutM	slp//sroA//rnpB//puuA//fdhF//insK//trxC//
GutR	ydhU//ndh//flgE//dmsB//phnJ//sgrS//phoE//
HU	argI//yjbF//cydA//yciF//murI//pstS//ccmF//xapA//sdhD//
HcaR	ydfD//mpaA//nrfF//artP//flhB//hcr//
HdfR	puuC//entE//nuoH//phnP//micF//
HigA	rclA//yeaR//
HigB-HigA	ccmB//cspI//
HipAB	ybbY//xapA//fliS//glgB//hcp//
HipB	ybbW//ybdN//yneM//dctR//moaD//higA//
HyfR	nuoA//wrbA//phnE_2//cusB//fepG//folA//ydfE//dacC//nuoC//pgm//fabG//fadE//
HypT	wzxE//ynbC//fbaA//mazE//fucI//nrdE//lysP//ybjC//mtr//yfiR//ddpD//aceB//mhpT//
IclR	yaiA//aroL//xapA//ygiB//
IdnR	frc//wzc//tyrB//melR//hybC//uspD//aroL//
IlvY	galS//napB//
IscR	allS//murI//araH//focA//eda//bolA//fecR//purL//metB//ubiA//omrB//pgaD//argB//dsbG//glnH//ynbD//gudX//baeS//betA//dgcN//gatC//slt//alsC//gcvB//rimK//fucA//ariR//yqjI//ppdB//cusA//yjbF//efeU_1//
KdgR	hcaF//ykiA//
KdpE	glxR//yiaJ//mgtL//ydfE//
LacI	agaI//cydD//garL//
LeuO	paaK//emrA//cecR//gntP//sufC//tnaA//narK//yeaH//iraM//paaG//yhjX//uidC//agaD//yfdE//nanK//betT//ppsA//bioA//znuC//puuP//
LexA	tfaQ//fliC//iraP//manY//zraS//cysI//ugpQ//carA//umpH//pspC//ibaG//casE//ynjI//adhE//rutA//fabB//ssuD//tyrB//hcaD//yqjH//feoC//moaD//nagC//slp//galK//pepD//hlyE//fecR//lpd//ydeM//yhbE//glnD//lacA//agaD//glnD//yneM//ompF//yeaG//citG//thrS//ykiA//fecB//ttdA//wrbA//hcaB//dctR//cusR//ddpC//sufE//ygeA//cusA//yidL//phnM//yebE//ybhR//isrC//cydA//glgP//cydB//
LldR	casC//xylR//cydC//
LrhA	csgF//glpA//ulaB//tsr//
LsrR	cho//nuoC//iraM//ygiZ//lpxD//fabH//cyoA//cusS//gadE//
LysR	mraZ//gntU//
MalI	gspG//ulaF//mhpA//
MalT	ynbB//safA//nanM//hyfR//gltK//glpK//ssrS//csgG//aroF//codA//
MarA	leuA//fruK//yebE//entF//accB//bdm//accD//ompC//rfe//yhcH//argP//ppdC//galT//hdeA//ybhG//fliM//flgI//murE//nuoI//yafN//nimT//trpE//glcE//yjbE//paaH//sufC//agaA//fabA//emrA//glpX//ymjC//ybjC//carA//leuD//artQ//fadI//gadE//ompT//
MarR	fabH//yecR//ygiC//
MatA	flgI//lsrK//htpG//pncB//idnR//dsdX//nupC//cydA//
MazE	yjhB//frc//rffG//
MazE-MazF	micF//feaB//araJ//
McbR	yaiW//mprA//znuA//dgcZ//
MelR	paaC//sodB//yhcH//
MetJ	recA//fixC//tyrA//gadY//nuoJ//cysN//dinQ//wrbA//frdC//dhaK//dinJ//sufE//mqsA//qseB//rplU//
MetR	hdeA//pstC//nac//hlyE//mepH//
MhpR	narI//rffM//rbsD//glxK//amtB//purL//
Mlc	ppiD//ulaC//rbsD//flgC//cusA//psiF//pdhR//rutB//uof//fecR//
MlrA	rcnB//thiQ//rarA//csgG//alkB//fliP//glcC//yibQ//dgcN//glnQ//
MngR	rhaR//pheM//mscM//
MntR	lysC//mtlR//yagK//appC//recA//
ModE	gdhA//yoeB//flgI//fimE//rcnA//hycI//evgA//cysJ//ydfD//mdtC//hycA//ynbC//malG//srlD//pck//rffC//dpiA//gspC//glgA//lrp//udp//rhaR//tolC//gntT//modB//psiE//ftsZ//nikD//lolA//fhuD//rnlA//purE//yoaC//ybhL//ttdT//xylR//ynbB//nuoC//nirD//yneM//rpiR//glcF//murE//dmsB//omrA//dtpA//
MprA	hypC//sucA//mcbA//gspG//moeA//tsx//
MqsA	oppF//yidQ//mepH//katG//cysC//aroM//chbB//icd//
MraZ	lon//ssuD//uof//araC//gatC//pgaA//psiE//cyoE//ptsH//aroF//murD//adiA//ydhW//mtr//frdD//yhjX//yafP//
MtlR	fixC//caiB//ccmC//
MurR	fliR//fadA//fucU//
Nac	mqsR//murD//purC//caiA//yiaK//galE//bioC//caiD//flgL//nhaA//codA//sgbU//fabI//sgbE//mglC//idnT//ymgA//fliJ//argC//paaI//znuB//
NadR	tyrP//idnD//hlyE//creC//
NagC	purA//seqA//ppdA//yjhC//trpC//artQ//yibQ//murI//tcyP//dicC//mntP//gdhA//tdcB//dkgA//flgA//ccmE//fliE//fliI//lacA//bhsA//nanA//cysC//yciG//flgG//ydeI//trpC//nirB//aroM//phoR//ddpA//cheA//skp//torR//yeiL//ydeN//hcaD//ydiV//
NanR	recN//sdhA//fes//nikA//yhhY//ftsZ//ybhR//mntS//astD//folE//glgA//
NarL	eda//cysW//xapA//yebG//ulaC//slyB//fruB//nuoM//cho//ugpB//dsbA//fiu//lgoR//pstA//lldP//betI//aslB//rhaA//rffG//mtlR//tdcD//acrA//pdeR//cvpA//yhjX//mntP//uxaA//araC//nadB//malS//nikR//htpG//artI//cyoD//ttdT//ccmC//flgH//fliC//uidR//wzyE//ruvB//asnA//agaS//isrC//mtlR//deoC//prpR//leuL//spy//garR//ytfE//cynR//rutR//nfo//pspA//acrZ//glpA//galT//nanM//asnA//hycC//acnA//focA//gspG//manY//caiD//ppiD//focB//higA//mzrA//cusR//ptrA//nfuA//idnO//pheS//metL//gspL//nanK//pheM//agaR//dctA//srlA//zinT//murR//ldtC//phnI//guaB//flgC//hyaD//ppdA//grxA//dinF//yhbE//sdhB//fadB//lsrK//relB//gatY//torD//caiF//yrbL//rpiB//pstS//ydeI//rffC//umuD//dsrA//mglA//araJ//nuoK//nanT//pspD//puuR//ompF//hybF//yjbG//atoE//pspB//cynT//yqjI//phoE//ompC//yhbT//
NarP	rffH//glpB//fimE//garP//allS//ssuB//degP//fepB//emrB//citX//torC//lamB//gpmA//mpaA//speB//bacA//purC//ampC//xylF//nuoK//gatC//purC//cydD//ykgO//betT//ygiZ//agaS//ccmA//fecA//malQ//acnB//ynbC//cpxP//glnP//ccmC//recB//metH//rcnR//napF//yafP//gspM//exbB//gcvH//micF//fixA//ygeA//dnaN//fixB//cydC//nmpC//
NemR	gadE//agaC//chbB//
NhaR	nmpC//oxyS//argP//ydeM//dsrA//phoP//rclA//
NikR	nhaA//ycgR//truB//gspO//uxaB//argO//
NimR	kdpB//murC//
NorR	yciE//inaA//atoA//
NrdR	rstA//cpxP//guaB//copA//gntX//araC//yafN//lgoR//hybE//
NsrR	rtcA//glpC//puuA//casB//asr//fbaB//purM//nemA//citC//gcvP//yecT//paaC//hybE//gspM//pck//malZ//yfiB//rffM//nuoF//phnE_1//ilvC//cueO//sgrR//pspF//artP//napH//relB//aroG//cyoA//pstC//rob//hcaF//hybA//flgE//ompW//putA//nikD//sroA//yiaJ//hcaD//rseB//arsR//mdtF//sfsB//yiaL//mnmG//mazF//fdnI//xylA//flhC//nemA//kdpF//aroP//ascB//zraS//gnd//phoA//phoR//hyaC//dhaR//dsbG//ada//fecC//ygaC//wecC//nrfG//ydfD//prpD//ruvB//yhdX//kdpB//intQ//hcaB//marA//gspI//ompW//yccT//rutE//ygbA//moeA//symE//treC//fadJ//
NtrC	rpsU//ilvC//dinB//decR//sufB//trpD//rbsA//rybB//mtlA//cydB//narL//ung//rutF//gltD//tpiA//metQ//wecB//ssuA//nanC//hyaB//creD//gatB//fdhF//emrY//ftsQ//ydfW//ccmE//phnI//araG//fadR//cusB//yhhY//yegH//higB//yiaL//icd//hyfE//phnK//mglC//cadC//marB//mazE//rob//mhpA//caiE//creC//rpoS//agaV//hisM//
OmpR	yhjA//molR_1//aroF//agaW//glxR//exuR//treB//cysU//speB//bamE//osmC//psiF//cspD//alaC//flhA//mgtA//metY//ppdA//mdtD//ccmB//flgF//
OxyR	allD//ddpB//fucK//flhE//napC//gntK//appB//iscS//pheT//wzb//yjjQ//evgS//agaC//hslJ//lrhA//yciW//uidR//uxaA//astB//fliC//grcA//malQ//relA//nemR//rhaA//pspB//yhhY//purH//yciF//csgD//ddpA//zraR//yhiM//feoC//
PaaX	symE//ynfF//fliI//marR//fucK//ydfW//tfaQ//modA//nuoG//ygbA//yrbL//tehB//cynT//nuoI//
PdeL	fecC//
PdhR	uhpT//fliL//spy//paaK//cysD//tnaA//rutA//araF//metN//creA//fliJ//rpsU//flgC//hypB//cbl//kbaZ//potG//fabA//chbA//ada//mhpF//dpiB//cpxQ//ldtC//nikB//glgA//folE//fadE//decR//rhaD//ulaC//aroM//ulaF//ihfA//wzxE//ulaA//artM//nrdF//bdm//fepC//xylF//
PepA	murI//yhcH//yoaG//
PgrR	cynT//lysA//argT//ugpQ//agaD//garR//pstC//umuD//
PhoB	garL//nuoB//potG//trpR//gltB//flhE//ygeA//gspC//ccmF//lhgO//rhaR//prpD//prpR//omrB//fepG//glpC//lsrG//ftnA//lldR//rutB//fau//ycdZ//wecC//bacA//araE//ftsW//sgbE//rhaD//cynX//torD//mdtA//nikA//ulaA//ptrA//nuoH//yibQ//ydhU//pncB//moaD//creB//fimB//fucI//gpmA//paaZ//cysI//alsB//oppC//cspI//yjbH//pck//erpA//truB//prs//melR//yneM//ynfE//tdcF//ssrS//gatA//bhsA//
PhoP	allB//sfsB//osmB//moaB//pspB//yfdE//mdtB//spy//metJ//glmU//ydiU//gspC//gudX//norW//prpB//astC//hflD//cra//treR//csgE//rcsA//tbpA//chiP//dkgA//ybbY//rpiR//nrdE//ydjM//ydfX//emrY//pspC//hypE//yhbT//rclC//yagK//glnA//citE//rutF//tauD//casE//gspC//gspO//allS//grcA//fecE//ybdN//fepC//csrC//ydcU//argI//murQ//ydfH//gltK//eda//ytfE//yjbG//
PrpR	cpxQ//rbsA//murC//ykgO//nagA//
PspF	trpA//rhaT//cheW//ftsA//trpC//xylR//argB//
PurR	phnM//fimB//exuT//chbG//murQ//pepA//hslJ//moaB//yfiB//frc//pflB//agaC//gatZ//ygbA//yefM//pnp//hybE//srlB//nrfC//infB//dnaG//phnE_1//gspJ//nanK//narK//lsrA//glcG//yeaD//yeaH//casC//fadI//
PutA	katG//hisP//
PuuR	mdtC//idnR//rhaD//leuC//kdpC//narX//acrR//
QseB	ydcV//acnA//wzb//zraR//
RbsR	metF//fepC//fimB//chbF//paaG//asnA//fepG//gcvA//mngA//
RcdA	ilvC//casE//flgC//grxD//phoU//ybhF//appC//yncE//phnE_2//
RclR	idnD//gdhA//focB//
RcnR	ftsA//pspG//polA//
RcsAB	rpmA//ada//cynT//insD//yeiB//gspH//moaE//phoA//fliJ//fliZ//ecpR//eno//hybA//tnaC//sgrT//ihfA//
RcsB	phnL//pepA//rbsK//puuE//appY//rutD//glnP//yoeB//ycjY//pgaA//cas1//oxyS//hyaF//narJ//glcC//flgI//hdeB//mraZ//agaS//fadB//allA//glmU//iscS//gatC//glmU//
RcsB-BglJ	ppiD//ddpX//yeaR//micF//phoU//ydcV//ptsG//hyfD//pheS//mtlA//pspD//ydeI//ydfW//ttdB//nrdB//ppc//
RelB	nrfE//araA//citD//
RelB-RelE	aroG//gltL//dpiA//
RhaR	polB//trpD//
RhaS	yiaO//murR//fliN//dmsD//exuR//aroG//
Rob	sdhB//dmsC//gadF//emrY//yafQ//tauB//yhdW//entE//fldB//mpl//fhuD//bacA//marB//citF//rfe//ftnB//nikR//glpQ//fldB//ecpR//fliE//yibQ//flgE//mtlD//pqiA//feoC//
RstA	manZ//ulaE//gadW//fes//lpxC//ybjN//nanK//flhD//dgcZ//ccmA//
RtcR	murR//ppsA//
RutR	ybfN//rimP//cysD//codA//tnaA//paaD//emrA//ebgA//tyrR//ygiB//agaI//argT//yaiA//fliC//iscR//rpiB//katG//
SdiA	cyoC//fucO//emrA//udp//higB//
SgrR	fabI//fliM//gutQ//uxuR//isrC//mnmG//rimK//puuB//yhdX//
SlyA	feoB//
SoxR	wzxE//tynA//fadM//
SoxS	idnK//murG//tdcE//glgB//yafP//thrS//ydiU//mhpB//ymjD//gspK//feoB//pheM//appC//nuoF//feaB//pykF//yciF//galS//yeaH//aceK//mgtA//malS//flgC//yoaG//agaB//hns//trpE//dhaR//purA//deoD//ddpX//murF//casC//cysD//bioD//fliF//yefM//folA//norV//tam//
StpA	moeA//oppD//ybjC//agaR//citD//dcuS//dcuD//
SutR	allD//hyfJ//glpC//mhpF//glgX//
TdcA	xylG//gadX//dctA//argP//nuoM//ybfN//asnB//
TdcR	rutG//rpiR//entB//gudX//ubiX//tehA//fumB//
TorR	hcaR//rtcA//csgG//gntK//mntH//folE//rhaB//cusF//tdcD//nrdF//asnC//rutF//
TreR	yeaD//yhcH//
TrpR	lldD//torC//dinI//fecI//yebG//xylF//ssuA//hdeB//alkB//glpC//prs//araE//
TyrR	nupC//cusR//uvrB//argA//nemA//cysW//leuC//ftsK//rbsA//hybO//phnE_2//fldB//
UhpA	yeiB//
UidR	alsA//luxS//entE//rhaD//
UlaR	bglF//pgk//fecI//ykgM//ygiZ//fpr//deoD//
UvrY	artI//sgbH//malG//speB//tomB//
UxuR	ydeI//metQ//wrbA//mnmG//narK//yoaC//argB//rpiR//dapB//
XapR	aroH//idnD//
XylR	soxR//sfsB//psd//gabP//cbl//sucD//ynbD//
YdeO	dsrA//cytR//nac//rcnR//ccmB//tisB//fliR//frdB//phoQ//lpxA//rutF//yjiY//manX//psd//carB//leuC//nrdB//folE//ruvA//ychF//nuoI//
YedW	metL//gudX//alsE//hcaD//hdeA//nrdA//fucI//lldP//gutQ//yjjQ//caiD//phnE_2//
YefM	yhcH//rcnR//
YefM-YoeB	trpD//hyaB//
YehT	flgA//
YeiL	ydfN//
YiaJ	norW//flgF//soxS//mdtA//phnM//arsB//sbcD//fepA//gatZ//ynfH//
YjjQ	ulaB//fecC//iraP//rhaS//dgcN//sgbH//pdeR//glyA//hemL//pdhR//
YpdB	leuA//
YqhC	mltF//rhaT//
YqjI	galS//recF//
ZntR	dkgB//
ZraR	yegR//rfe//fepG//
Zur	pdeH//puuA//ompN//edd//csgE//narL//
