#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	pheM//melB//
ExuR	hokE//nuoI//fumB//xapB//xylR//glpT//yoaG//napG//galE//
FabR	cynS//srlA//
FadR	dkgB//fucI//mglB//ccmG//rbsK//napA//mpaA//aroP//carA//galS//nrfD//yiaN//pyrD//ymjD//emrB//ydfD//fabG//entD//rimP//ynbD//chbG//nmpC//sufS//
FeaR	nuoF//bglJ//
FhlA	casD//lrhA//ykgO//aceF//tisB//rpsO//ddpA//frc//moaE//ydcS//yneM//sufB//ycjY//lysC//entS//agaR//emrK//oppD//folA//gatD//malG//cynX//hdeD//gcvH//allD//tyrP//hycA//asnA//fucK//sodA//
FlhDC	carA//hcaC//oppA//nemR//nrfD//galP//phnM//ahpF//mtr//ugpQ//bdcA//uxuR//uidR//araE//gspL//ssuB//astA//yjiY//gadC//fecE//caiB//deoD//nanT//deoB//rclC//motB//phnI//phnP//deoA//bioA//cysH//ygeH//wcaA//phnO//yiiS//ydcT//purN//ydeN//uvrC//dhaK//uvrD//hycF//hyaA//ldtB//xylG//yhbE//grcA//tsgA//mazG//yjiY//prpB//prs//fhlA//ygiC//fixC//uvrD//fepE//hycG//poxB//pspB//glcA//ydfD//uvrB//leuO//gadW//lpxD//rhaA//ppiA//trpC//trpD//yhiD//iscA//dmsB//bioD//yegZ//casC//yaiW//yedX//tyrP//emrB//hha//fbaB//
FliZ	argE//tynA//speB//fimE//ygeH//casD//fucI//ndh//argP//fdnG//agaW//stpA//metB//leuB//ptsH//gadF//ptrA//sufA//fecA//emrY//yhjC//
FucR	yjeV//feaB//lsrB//ugpC//hycE//udp//ygiC//
Fur	htpG//slyB//cydD//flhC//cysJ//insD//paaE//ddlB//nanT//yfdV//yeaH//sucB//yecT//rffT//pnp//nagB//nrdE//hycI//cyoB//ulaB//mzrA//fliG//murQ//glnH//fruB//betT//rhaR//yhhY//sulA//yfdV//zwf//hyfA//rpoS//flgH//feoC//yeiL//marA//nrdD//dkgB//cytR//nimR//hyaA//bglJ//qseB//iscA//yjjQ//rpoE//gloA//phnO//sbmA//ydhW//csrC//ppc//glxR//napH//yhbS//ampC//ybjG//glpX//lgoR//ydeN//yhiD//asnB//insD//ssuE//bioA//nrdB//gatY//fdnH//iraM//dinD//ldtB//grxD//arsB//ddpX//mnmG//fruB//nrdI//pnuC//lgoR//intQ//xylB//yhiM//pgm//yhbS//hybC//flgE//mgrR//pheS//cpxP//mglB//artM//mntH//cusA//uspD//trxC//relB//gabP//hypC//kdpB//mipA//gntT//wcaA//pgaA//tdcE//torD//mntP//lrp//cecR//tadA//srlB//nuoK//dgkA//ldtC//lpd//ynfH//rfe//omrB//argC//ydeI//fixA//recA//lacA//pgi//xylR//nusA//dps//rplU//sdhD//dinI//
GadE	grxA//zntA//add//feaR//molR_1//sdhC//phoA//nhaR//artI//purN//gcl//rbsR//yaiA//gadF//phoE//yhdY//araD//murP//wecE//ygeA//ybdN//ymgC//cyoA//ssuA//betI//pspB//asnA//narX//ynbA//
GadE-RcsB	feaR//ddpD//pstB//lysP//glcD//yqaE//ompC//hypC//rtcB//
GadW	csiD//rplT//mngB//cho//polA//hisJ//fabG//phnE_2//zraR//glmU//lamB//fabH//pspF//cysW//ruvB//
GadX	prpC//ruvB//nrfA//rpsU//atoD//entA//oxyR//ftsZ//dctR//rimK//fepB//flgI//rplU//casD//napD//rplU//marA//dgcZ//dmsD//ybhL//cirA//rpmI//cynS//nrdI//argT//trxC//aidB//nuoF//csgD//
GalR	pdhR//hypD//dapB//rstA//ydeP//phnH//bglG//sodA//zraS//ecnB//
GalS	guaA//ygeA//ybhS//omrA//gatB//gcvT//hybD//cheA//tbpA//murQ//
GatR	napA//sodA//tauD//psiE//glpT//pstA//
GcvA	exuR//yebE//gadY//tdcE//paaE//
GlcC	glpT//metR//fdhF//flgK//ddpA//inaA//fliQ//
GlpR	frdA//aroH//hyfG//fixB//glmS//uxaC//glxK//rybA//ompW//
GlrR	wecE//nemA//rseC//yidL//cynS//
GntR	ecpR//garP//tynA//rnlA//gadY//paaZ//astC//ubiA//ydhX//rsmH//xylF//ubiA//
GutM	poxB//fabI//rutG//modA//gadB//iscR//pitB//
GutR	rarA//ftsL//flgJ//acnA//galK//tyrB//yaiW//
HU	agaR//nagA//pspC//chbA//araF//pnp//emrB//ugpB//narL//
HcaR	ccmE//yjjZ//cspE//uxaB//ryhB//hybB//
HdfR	rstB//mgtA//ygeA//gspL//phoU//
HigA	gabT//ryhB//
HigB-HigA	deoA//relA//
HipAB	evgS//phnG//fldA//ymgC//uhpT//
HipB	ycjF//pgm//yjbE//ccmB//ada//mraY//
HyfR	cadA//recD//bglF//ybaS//ygbA//araG//ssb//ecnB//sroA//fepD//kbaY//mpaA//
HypT	ydfX//yiaJ//norW//sfsB//yfiR//rcnA//rclB//fixB//tolC//gadA//fliP//pfkA//dpiA//
IclR	yhdY//tehA//cueO//entA//
IdnR	mlrA//ssuD//fadE//iraP//borD//dinG//lldP//
IlvY	aceB//napC//
IscR	yhbS//ldtD//yjjQ//nrdI//zraS//rpoE//xylG//citD//ycgZ//gspL//nuoH//hydN//yiaK//putP//gntK//argR//phnI//glnD//allB//ydhX//treR//gutM//phr//ydeP//cydB//gntT//wcaA//nanA//paaA//puuP//nfuA//gabD//
KdgR	melA//napH//
KdpE	fpr//purF//ung//ptsG//
LacI	citF//potI//setA//
LeuO	hyaF//nadA//cadC//sfsB//purA//yegR//agaR//tcyP//gudX//eno//stpA//nuoF//fumC//tam//ybaT//fadE//kbaY//acnA//mzrA//rclC//
LexA	srlA//mqsR//sbmA//ygiC//mgtA//malM//ynfF//fau//tyrP//recB//fadB//yecR//glpQ//betB//ulaB//glpF//dmsA//ycdZ//zinT//csgB//dcuR//pgaA//serA//melB//murI//citC//frdB//yaiW//lsrB//amtB//fadA//agaW//osmC//sbcD//purC//paaD//appB//hlyE//emrY//metL//rutE//tadA//ulaD//glcD//sroD//trpC//acrZ//fumB//fliJ//mhpT//uidR//napD//xylR//nanA//artJ//bglJ//rpsO//cyoE//gudD//
LldR	nrfG//betI//kdpC//
LrhA	nirD//nemR//fliC//allC//
LsrR	cysG//cecR//yiiS//cysP//sufD//appY//gcvA//puuR//pdeH//
LysR	cysC//uidR//
MalI	gabT//guaB//sgbU//
MalT	dkgA//yhjA//yfiB//hyfG//nagB//nuoI//yeaD//hypE//phnF//tam//
MarA	nusA//argF//pdhR//sbmC//tyrR//cdaR//nrfF//higA//tonB//ebgA//ybhS//mhpB//mazG//rutD//tonB//add//fadE//speB//dkgA//cydD//nuoC//glnP//ybaT//ftsL//fadB//allS//aroM//ssuD//gadY//tisB//rpoD//yhjA//yfaE//gltF//flgH//pgaA//purA//allC//
MarR	cspI//mdtA//rplU//
MatA	omrA//gnd//asr//cytR//ugpB//putP//purE//rstA//
MazE	mhpF//bioA//ddpA//
MazE-MazF	hisP//sufD//cas2//
McbR	fixX//dicC//nrfB//fepB//
MelR	fpr//yeaR//aroP//
MetJ	ppiA//phnI//htpG//waaY//idnD//araD//flgG//aroM//ada//uvrA//glmY//oxc//argH//aspA//folA//
MetR	yiaM//creA//yqjA//fepA//nlpA//
MhpR	artM//gadC//hyfC//decR//nrdI//wecB//
Mlc	ppiD//ycdZ//lsrD//yaiW//lysP//iraP//rybA//malX//glgB//appA//
MlrA	pagP//ddlB//icd//yfiR//phnD//glmU//iscU//lysP//gltD//galK//
MngR	tauC//cspE//nikR//
MntR	prpD//tcyP//fadA//dacC//glpD//
ModE	murG//uidA//fdnI//gltK//metA//fucP//mhpA//argD//bluF//hcaF//hdeD//nrdE//frdA//yhjC//feoB//ihfA//argF//wecE//carB//ydfD//yfdE//prpE//ygiC//csgB//nlpA//ykgM//fldB//yciF//add//cadC//ddpX//casC//leuA//slp//ydhY//phnM//alkB//hycB//gabT//iscU//ftsA//tnaC//ssuD//dmsA//inaA//rcnR//
MprA	cydB//glpD//hybG//paaC//appB//cysN//
MqsA	hypA//ompT//prpE//artM//araB//tdcF//agaA//entB//
MraZ	mdtB//guaB//hdeB//mdtB//uvrC//lsrC//wcaB//ybhF//soxS//uidA//appC//lpxD//gcvH//emrB//flgJ//malE//fecC//
MtlR	araG//ydeP//aroF//
MurR	emrK//bglG//yafN//
Nac	pnp//aspA//motA//csgF//tehB//fdnH//flgM//fixA//pdeL//hipB//cheW//hypF//cydA//ydeI//atoE//yfdE//dsdA//nrfE//znuA//serA//araE//
NadR	efeU_2//argT//fepG//ftsQ//
NagC	ttdB//cas2//puuA//nrfF//mlrA//purA//arsR//oppD//ruvA//dacC//talA//obgE//betA//nupC//malP//fur//kbp//exuT//efeU_2//ychF//casD//glmS//tsr//nrdI//lamB//prpC//fliH//oppA//cyoC//casE//ulaA//uspD//epd//ynfG//fliQ//phnN//lpxD//
NanR	waaH//malG//pstC//puuD//fecA//narH//wzc//pspB//phoA//dsbA//ahpF//
NarL	cusF//gatZ//ybiT//leuD//fabB//napD//dhaL//yhbE//gltL//hcaR//hycC//pfkA//argE//yjbF//obgE//allE//fliN//micF//dcuA//ldtC//mntP//agaW//pfkA//ydeI//bluF//moaE//rprA//mdtF//mhpT//hyfI//hypD//yidQ//sutR//ihfA//metK//paaJ//purR//xylB//polB//dhaL//cydB//sgbH//yibQ//ugpC//nrfF//qseC//tsgA//asnA//rprA//skp//modB//speB//nrfB//sulA//mhpE//flgE//citC//tolC//araC//glcC//narL//hybF//tdcD//ppdB//ddpA//galM//yjbF//cbl//mnmG//fliJ//entD//evgS//hcaD//ykgM//rplT//nimT//ccmE//flgH//tsx//puuR//mepH//rseC//uidC//asr//nrfG//puuA//yjjZ//cyoE//cysK//glpB//fecD//glcD//purM//ymgA//nuoA//pstS//rutB//hipB//ydhW//mioC//ynbD//dnaA//flhA//kdpC//allC//seqA//betT//hydN//lsrR//ycgR//betT//hslJ//hybA//mhpA//umuD//yfiR//nikB//fliN//mltF//metF//ybhL//cdaR//uxaB//
NarP	fliR//alsE//rhaS//rbsD//hycF//argF//gudD//dps//ompN//nuoJ//sra//ycjX//oppF//fecA//pgm//malS//fliG//ddlB//mnmG//cynR//ptsG//fabZ//focB//ampC//yagK//aroL//nemA//bdcA//paaD//gadY//nagE//truB//ccmF//nrdD//flgF//nanC//glyA//ppsA//tdcF//phnF//gutM//pqiB//omrA//rpoH//rplT//fabZ//rnlA//trpB//moaC//gspC//
NemR	yhiD//ppiA//xylH//
NhaR	araC//copA//leuD//chiP//ccmA//bioA//copA//
NikR	mraZ//gyrA//emrY//rutG//araB//puuB//
NimR	lpxD//dnaA//
NorR	ydcT//betB//dctA//
NrdR	rcnB//xylB//dcuD//uidR//yiaM//fliA//hyaC//tonB//hisP//
NsrR	paaY//pgm//zraS//zwf//sroD//cynR//dpiB//glnK//asnB//uspD//gatZ//fimB//tnaA//ompW//fucA//fepB//dpiA//focB//mqsA//agaD//icd//hslJ//hyfH//nuoF//mntH//phoA//yeaH//yfdX//tauB//yciF//cpxR//hyfI//wcaA//gcvB//sdhA//csgG//mqsA//torR//allD//appA//puuP//hflD//ygbA//gntT//cysI//yhbS//fruB//citE//paaJ//argE//yjjQ//trpD//tynA//potI//narI//nrfC//yfdV//purN//recF//ptsI//mzrA//nrfC//bacA//yoaG//yqjI//yiaO//sroA//pncB//rnlA//cyoB//flgB//sdhC//marR//dhaR//gabT//metC//rffC//kbaZ//aroH//gabT//yjhB//qseB//nanM//
NtrC	fucA//citX//exbD//nimR//alsB//prpD//alkB//yiaK//ssuB//ariR//nikA//cas1//nrdB//evgA//fabH//fabI//puuC//hycB//malG//wcaA//astB//omrB//sbmC//trxC//yeaD//sufD//hyfE//phnG//hmp//gspE//recD//araF//trpD//bglB//paaK//dsdX//pepD//icd//hdeA//gcl//fliS//garL//galS//tsgA//caiC//idnO//yafQ//katG//udp//
OmpR	osmB//caiA//ebgC//ydfD//sdhA//tehA//gltB//leuL//sgbE//galR//nagC//gltK//pykF//sdhD//hyi//cadB//nrfF//mdtF//yciE//fes//rbsK//
OxyR	dsrA//ybjG//rob//ascF//creA//feoB//hyaD//allA//cysM//gatZ//oxyS//ybhF//ygeH//frc//ribA//hcaF//trxC//trpE//ftsK//nirD//yfdV//tsr//nagE//fucA//osmY//mdh//atoD//agaR//mdtF//glgA//nrfB//hyaB//rcsA//metR//
PaaX	cysW//fumB//prs//nanT//fepE//gltD//yeaG//rcnR//yhjX//yjeV//uxuR//glnK//lysP//rbfA//
PdeL	feoC//
PdhR	potG//murQ//oppC//dgkA//aldA//ybiT//yiaM//crr//sucB//dapB//ryhB//ddpF//lrhA//yccA//aroP//znuB//hemL//argF//fabH//slp//phnO//manZ//fepD//alkA//xylF//fliI//patD//ftsW//alsE//mqsR//hyfR//ttdR//exuT//sucC//araJ//metJ//yciE//dsdC//galT//mglA//sdhD//
PepA	mpl//phnD//citG//
PgrR	evgS//mazE//sdhD//nuoM//yhcH//ssuD//malP//yjiY//
PhoB	aceF//pgaC//fliH//udp//flgC//gadC//alaC//nohA//ybdZ//ppdC//ygiZ//rhaR//napB//ynfG//metI//nemA//fliA//argE//caiB//hokE//purB//mngR//pck//cusF//mntP//cusC//narI//hypA//treB//ascF//ssuC//glnD//wzc//hyaA//puuC//nohA//torC//narH//recF//manZ//ppiD//yafN//glpK//yjiY//cyoD//gspO//skp//caiF//motB//dcuD//hypE//ruvB//fimB//htpG//ybhS//yeaG//tauA//nrdA//fixB//cusR//
PhoP	torA//ppdA//cas1//arsB//cheW//cusS//glnA//lhgO//gyrA//hcaF//pstS//ynfK//moeA//yebE//fliP//higA//nuoK//nuoL//puuR//ppc//malG//fucP//pgaD//gadX//ydiU//mntH//oppD//uvrD//ynbC//dctA//gspI//melB//yqhD//moaA//fepG//iscA//ydeO//fdnH//sufC//katG//nmpC//ydfX//fecI//nirC//gcvP//zraR//argT//gltL//acnB//katE//sufB//yedX//asnA//ynfG//recD//entD//
PrpR	puuD//ppdC//bglF//yneM//dctR//
PspF	phoQ//mgrB//fhuC//kbp//uvrA//oppD//hcp//
PurR	srlB//uxaC//ruvA//metQ//fhuB//tyrA//cbl//hyaF//mazF//ydfD//rstA//gntU//caiA//pagP//allD//cusB//yefM//ygiC//srlE//argD//ppiA//gcl//allA//nadB//ybbY//gabD//yjbG//yiaO//rseB//cheW//waaY//
PutA	ryhB//rhaS//
PuuR	tam//nirC//pdhR//fes//tauB//ybfN//uidC//
QseB	garK//narX//trpL//gcvP//
RbsR	rprA//aceE//isrC//agaV//dsbC//fixX//paaX//pgaB//hemH//
RcdA	cusR//flgE//soxR//bdm//purB//ptrA//casE//yhhY//baeS//
RclR	flgD//artI//gutQ//
RcnR	idnK//gcvA//ydeN//
RcsAB	tcyJ//rstA//pyrC//lsrC//yjjQ//ybhG//puuR//argC//rffH//lsrC//ppc//mglA//rpoD//paaK//glpC//mtlD//
RcsB	treB//hyaD//mglC//paaA//fucP//kdpC//trpC//agaS//dsbA//fliR//pqiA//ynbD//purL//iscS//sdhD//nrdE//iscR//napF//recA//caiA//gatC//yafO//cspI//metJ//puuA//
RcsB-BglJ	ycdZ//ydhV//ybfN//rpiR//paaF//nrfE//nrfC//sufE//casC//oppD//cynR//paaI//yhiM//purR//lysO//paaK//
RelB	nuoJ//hybC//citE//
RelB-RelE	glpK//ppdB//cysD//
RhaR	oxyR//pyrC//
RhaS	ttdT//rcnR//wcaB//frdB//ynbB//fdhF//
Rob	dicC//nrfA//ycjF//fabI//ydhX//fliI//ydcS//paaD//soxS//sgbE//spy//ung//sroA//hyi//fecB//bolA//puuA//nagC//gabP//yqhG//kdpA//gspJ//lon//ybaT//ygdB//cynX//
RstA	hycG//aroH//cydC//mhpE//cynX//gltJ//wzb//mcbA//yjjZ//emrY//
RtcR	trpR//glxK//
RutR	alaC//ynfE//paaD//hcaF//mtlD//yafQ//nmpC//tauD//fliG//nuoJ//wecC//ychF//cra//csgD//sufB//narH//ptrA//
SdiA	ugpA//symE//umuC//lpxC//flhC//
SgrR	oppC//dcuA//lsrB//flhC//codB//cydA//nemA//serA//ybhR//
SlyA	hns//
SoxR	malT//prs//garL//
SoxS	bioD//moeB//glnH//omrA//gspE//lpd//betT//hycD//ssuE//ydeO//yhjC//amtB//potF//yaiW//thiQ//fhlA//rnlA//yhdW//metF//hybF//hcr//ompW//nagA//adhE//mtlR//ddpX//gloA//gcl//nhaA//yeiB//fes//emrA//tolC//araB//ptsH//atoB//cueO//rseC//napH//aceF//
StpA	ssuD//flgI//glcD//flgJ//sroC//yhiM//mdtC//
SutR	ykgO//idnR//yegH//mlrA//hcaC//
TdcA	yagK//phnE_2//add//paaY//ybhS//glnA//mscM//
TdcR	cra//yeaE//fucU//udp//uspD//puuB//entE//
TorR	rarA//cynT//yiaN//gutQ//fabB//phr//glnA//trpR//mlc//nanT//dcuA//narG//
TreR	csgD//glnK//
TrpR	fepA//flgF//fadL//garR//fecD//hcaC//ddpB//eno//yaiW//casB//ydiV//lon//
TyrR	guaA//rpiR//murI//nanE//galR//lpxD//narX//alkB//flgM//pspC//nagA//fliT//
UhpA	lolA//
UidR	seqA//glpD//yjbE//hybF//
UlaR	csgA//mhpB//lysR//uspE//ftsI//yhbS//yrbL//
UvrY	pstB//ssuC//torC//nrfA//sbmA//
UxuR	mdtB//ahpF//ynjI//paaK//srlR//chbC//poxB//metL//trpR//
XapR	purM//paaY//
XylR	rcsA//metC//phnO//slyB//fecE//malZ//baeR//
YdeO	nrfE//idnO//tauA//pck//mazF//ssb//yncE//rutD//nikA//flhB//trxC//molR_1//ppiD//acrA//fadL//sgbU//dcuR//ccmE//casE//wrbA//srlE//
YedW	fiu//glnG//micF//gor//ppdC//leuO//yciE//xapB//fruA//cysE//gltD//uxaC//
YefM	uxaC//yiaN//
YefM-YoeB	yegZ//flhC//
YehT	metE//
YeiL	cysK//
YiaJ	cpxP//napF//hyaB//bglF//prpC//gutM//cadC//purC//dps//phnE_2//
YjjQ	xapB//rhaA//entC//mglC//nirC//tyrR//ccmC//mntP//potF//waaZ//
YpdB	galT//
YqhC	phoU//asr//
YqjI	trpC//cysA//
ZntR	flgB//
ZraR	hyfA//norV//ybbW//
Zur	appX//artI//astB//malQ//fucR//znuA//
