#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	phoH//uvrD//
CreB	lamB//ulaF//caiB//ynfH//nhaR//
CsgD	sodA//truB//rtcB//symE//ybhS//nimT//fadA//thrS//nimR//gatZ//hycA//gyrA//lolA//bioF//xylG//betI//leuB//argD//murQ//sulA//tdcG//ptsG//mdtA//chbR//mazG//hybO//yeaD//hypF//
CsiR	ydcV//citE//leuO//sbmA//hemL//
CspA	hybA//dsdA//
CueR	uxaB//wcaA//ccmH//mlrA//fes//flgE//pgaB//
CusR	cytR//xylR//entH//recC//phr//nhaR//ydhV//decR//csgD//astA//dtpA//dhaK//
CynR	fliE//recX//ptsI//cydA//
CysB	chiP//pflB//yjbH//gadE//agaS//agaA//lysC//nrdD//waaZ//patD//cadA//sgrT//glcG//allE//ppc//yeaR//pgaC//sdhB//aidB//ydhY//hokE//hypB//guaA//hypB//norR//ldtD//malM//hycC//cpxR//dcuD//pdhR//paaX//
CytR	bioA//glcE//astB//mepH//galR//dicB//pheS//purH//malF//idnT//tauD//fruA//glk//
Dan	aceK//zntA//nrfB//tyrP//
DcuR	cpxR//recF//efeU_1//ygaC//gatY//gapA//araG//glcF//mdtB//
DeoR	tauC//dhaL//dhaR//slp//bglG//yrbL//
DhaR	sodA//potG//uidC//mgrB//
DicA	gadY//yhjC//bdcA//cynR//yiaK//yafP//grxA//araC//
DinJ-YafQ	inaA//carB//ygaC//
DnaA	fucO//ygbK//ribA//pgaC//hybB//lysP//ccmG//tnaA//cspI//rffG//argG//sufD//
DpiA	purA//fdnI//yegZ//mipA//borD//agaR//paaA//cusB//cvpA//hyaB//umuC//
DsdC	sgbU//paaK//fliC//
EbgR	tpiA//ybdZ//
EnvR	phoH//nuoH//
EnvY	adhE//deoB//
EvgA	polA//tynA//purB//gltD//phnL//ftsA//dsrA//hyfC//bluF//xapA//ompN//lon//ddpC//metI//narX//sucB//yhjA//fur//wrbA//
ExuR	rffH//ygdB//rnpB//rutD//phnN//purD//fabA//ogt//csgB//
FabR	appB//mprA//
FadR	prpB//gadA//cheW//yqjA//fliS//accA//lsrG//yciG//casC//tsr//glmY//lrp//gadA//agaA//yibQ//sufC//yiiS//cysI//flgL//rnlB//uxuA//pstC//fabH//
FeaR	feoA//fixA//
FhlA	fdnH//marR//hcaF//manY//mioC//tnaA//hdeA//yciG//cheW//galT//ulaE//crp//moaE//rpiB//artM//rstB//ssrS//ccmD//yrbL//fadL//gspE//flgG//borD//ulaA//rclA//cra//manY//rutF//ybhF//yfaE//
FlhDC	cysJ//uxuB//ilvY//gadY//gatY//gatC//yjbE//marB//rpmI//ccmB//lysC//cusC//metF//paaI//truB//hybA//tbpA//idnR//gspF//hemH//nirC//wecB//tomB//potF//csrB//nanE//rpoH//ygiC//adiC//putA//gspI//pnuC//galP//ybhG//ftnB//yfiB//carA//fliL//cyoE//ogt//leuD//cbl//rffC//fruK//inaA//flgD//rob//trpD//dsbC//rutD//hydN//xapB//gspI//artJ//dpiB//yciG//torR//prpC//mpl//nfsA//hlyE//mqsR//recN//asr//yhdZ//betT//mdtB//acrD//aroF//casD//yhjX//araD//tomB//sucB//paaX//rhaR//thiQ//hmp//cusB//psiE//exuR//speA//
FliZ	rclC//asnB//ascF//paaY//iraM//napF//entS//moaA//yafQ//gcvP//malE//dgkA//fhuD//casE//yecR//trpA//phoU//dkgA//rcnB//yfaE//paaB//
FucR	astC//ddpA//yoaC//pgpC//yecR//aspC//yeiL//
Fur	safA//srlA//nikR//nikD//glcF//uvrD//uidA//yoeB//murD//aspC//fepE//ppsA//alkA//sufS//ydeO//mglA//gntP//argC//hha//fnr//torR//ybfN//inaA//ydhT//atoB//gltK//fliZ//ebgC//sbcD//ptsG//oppB//yhbT//creB//pdeR//tauC//fliA//uvrD//fliM//gcvP//tyrA//argR//rcsA//insD//rhaS//rfe//dkgA//cyoB//mioC//ecpA//hisQ//ygeA//insK//exuR//srlD//cadC//tsx//atoE//rbsC//ddpA//argE//hyfG//ydiU//hyfJ//hcaC//wcaA//nrdH//sbmC//flgC//yiaO//ybfE//glcG//ydeI//pgaB//cpxQ//bioB//nagB//nuoC//dnaN//nanA//ybhS//atoE//lldD//putP//rybB//yhbS//aroP//trpA//entE//csgC//asnC//yhdY//cspE//araH//caiE//potF//ugpB//rnlA//mhpE//fliD//dgkA//leuB//hflD//crr//flhE//lysC//uxuR//bglJ//agaI//cdd//hybA//frdB//nuoE//cdaR//tsx//flgG//ddpA//mgtA//mdh//glgB//lldD//waaY//dinD//idnD//purM//mpl//pgk//ppdA//argP//phoB//xapB//
GadE	yiaN//ybbY//nrfD//higA//patA//phnI//betT//ssuE//rffT//yccT//idnT//ahpF//hisJ//dps//adiA//ybaT//glgA//sbcD//accD//symE//ftsL//fliA//cbl//ydhX//phoU//marR//gloA//casE//ynfE//
GadE-RcsB	hyi//mioC//ydiV//pgaC//gatC//metA//hyaE//frdA//acnA//
GadW	agaI//moaE//malP//purF//gspK//rffC//yeaR//glnH//mprA//cysU//nuoM//fabB//mdtD//nrdH//gntP//
GadX	trpB//rutD//ybbW//nrfE//hybF//csgB//sufA//fumC//exbB//idnK//alkB//glmU//rcnB//pepD//exuR//pstB//lldP//mdtC//fadJ//lacA//gatY//yfdV//sufC//fruA//nmpC//yedX//fepG//hybD//fliZ//
GalR	fimB//gltF//ybhF//kdpF//hdeB//nikD//rpmA//copA//cpxR//cecR//
GalS	rcnA//pgaB//oxyR//malS//omrA//sdhD//feoB//agaS//rhaR//bolA//
GatR	ydiU//emrA//ybjC//fliC//hycB//murD//
GcvA	yiaK//pyrD//cusR//asr//sulA//
GlcC	fepB//dhaM//dsdC//tam//bolA//entH//hyaD//
GlpR	narJ//fbaA//dpiA//yqhG//creD//yfbR//epd//glmY//acrA//
GlrR	dicC//rbsA//hybF//sgbE//hycA//
GntR	ugpB//mioC//hycF//dgkA//chbA//hlyE//gltB//gspO//hybE//yafN//exuT//gspH//
GutM	flu//ymgC//speB//rpmA//ldtB//alsC//kbp//
GutR	pspE//fabH//nanC//ahpC//gcvP//astA//glcF//
HU	nimT//metB//cpxA//nirD//csgB//fliC//dsbA//ilvC//tnaC//
HcaR	sfsB//ddpF//gcvT//rhaT//cpxP//mntS//
HdfR	fdnI//pncB//yciW//fadJ//sbcC//
HigA	nuoM//hcaB//
HigB-HigA	ldtC//garP//
HipAB	cspI//rhaB//feaB//hdeB//insD//
HipB	trpE//fliQ//fliF//ynbC//sufD//cysU//
HyfR	uvrB//ecnB//katG//moaC//ccmF//modC//cysI//fumB//rhaA//fdnH//aroG//ynjI//
HypT	aroL//trxC//araG//galR//ubiA//puuB//fliQ//hyaB//lsrA//ubiX//uidC//atoD//yedX//
IclR	nuoL//napD//paaJ//yncE//
IdnR	hycE//gatY//puuE//caiA//cydA//astC//ygdB//
IlvY	yhbS//ybjC//
IscR	fucA//xylH//nmpC//carA//sodB//ulaF//hyaD//fepC//phnG//umuC//poxB//obgE//rseB//frc//mhpE//narG//galM//uspE//moeB//yagK//hybB//lolA//putA//xylH//dapB//fadB//fliR//pyrD//hycC//bolA//phoQ//setA//
KdgR	ydeM//pgaD//
KdpE	fruB//pstA//epd//ulaC//
LacI	ydeP//nuoJ//hokE//
LeuO	bglJ//narG//sbcD//gfcA//tauD//ebgC//paaJ//glcG//dnaN//ugpQ//focA//intQ//mntH//gspG//ampC//tyrB//mqsR//borD//glnH//phnC//
LexA	aroM//soxR//cyaR//gspF//ydiU//gatC//tdcD//mazE//accA//cysU//hcaD//mioC//tauA//mdtB//pgk//tonB//yafQ//fucK//ynbD//ymiA//sufE//mdtA//rstB//paaE//ymiA//modC//hipA//prpC//tdcD//trxC//ydhX//ftnB//degP//ttdT//glgC//fnr//phoQ//nimR//citF//gspF//phnP//psiE//yhbE//ebgC//hypC//cydD//kdpF//wcaB//ybjN//acrA//cpxQ//hypE//manZ//casE//hflD//lgoR//phnJ//bglG//alsA//
LldR	pnp//flgG//entD//
LrhA	fruA//feoB//nanA//seqA//
LsrR	focA//flhA//cadC//waaY//rimP//entF//gudP//ebgC//ynfF//
LysR	fnr//ydhX//
MalI	ycjG//ybhL//yjbH//
MalT	tdcG//moeA//iscS//phnF//bdm//leuO//ydfX//astE//alkA//tdcC//
MarA	ppiD//murQ//fepG//xylH//gltD//malT//purN//fur//ddpB//bhsA//polA//hemL//lrp//insD//aceB//potI//dhaR//hyfA//caiC//yeaR//fixA//codA//feoB//amn//glcB//narG//frdC//acrD//stpA//uxuR//guaA//tnaB//efeU_2//uxaC//gcvH//flgB//acnB//yidL//
MarR	flhC//fliP//fruK//
MatA	puuD//qseC//hdeA//hha//trpL//rpoD//oppA//lsrK//
MazE	yqjH//prpB//yecR//
MazE-MazF	iscR//sufD//malK//
McbR	gltI//kdpF//phnO//xylF//
MelR	leuB//yedX//fecB//
MetJ	nuoI//dgkA//purD//nfuA//ssuA//gspI//tcyP//cynR//flgJ//nemR//torD//glgP//narJ//ydcS//purA//
MetR	nuoC//yccT//pdeL//ykiA//cusF//
MhpR	caiT//thiP//purA//yjeV//ygbA//intQ//
Mlc	paaB//rstB//tam//fucK//cysB//dinJ//ada//napD//rbsD//yiaO//
MlrA	nuoC//trpL//rhaA//yfiR//srlB//ubiC//moaA//hycD//hypA//trpC//
MngR	metQ//rfe//ymjC//
MntR	ccmD//yidQ//ascB//argB//betI//
ModE	truB//ccmB//ssuC//rstB//sgbE//ydcT//rclA//hycG//gspO//tsx//ccmF//paaD//hisJ//ychF//puuE//chbR//lsrB//flgH//agaB//tauD//hyaD//rpsU//ydeN//cra//chbR//tauB//cadA//rseC//fur//hcp//phnD//hyfA//rclC//pflB//tdcE//hycC//galM//cbl//cysP//nirB//treB//paaX//artP//mzrA//pepD//galS//
MprA	wcaB//gudP//mdtD//exuT//sulA//frdD//
MqsA	glnP//accA//dinQ//aroF//argG//murE//ppc//insD//
MraZ	xapB//yedX//yeaE//yebE//yhbT//pitB//ybaT//ynfH//nrdF//paaB//gudX//murC//grcA//cysW//katG//bamE//nirB//
MtlR	tyrR//gcvT//ymjD//
MurR	metA//glcD//sbcC//
Nac	qseC//metE//fau//glpQ//qseB//cysP//yfdX//idnT//fabI//bglB//phnC//glnL//hslJ//glmY//cbl//murG//ompT//argG//aroM//trxC//gadA//
NadR	wzb//narH//hypF//yjiY//
NagC	yafQ//hslJ//srlA//feoB//phnM//envC//mngA//codB//speA//nrdD//gntT//ddpX//nimR//bglG//copA//ykgO//prpR//napH//oxyS//hcaF//puuA//frdA//ynbA//wzyE//norW//entF//polB//rarA//yiaL//glpD//fhuC//yecT//cdaR//ssuC//ddpA//ybfE//trpC//
NanR	prpB//sbcC//ppiD//wrbA//mtr//fliG//phoB//agaI//bioD//pdeL//yneM//
NarL	phoB//dmsD//nrdA//gcvT//prs//accB//gdhA//recB//dmsC//mgrR//yciF//nanC//uidC//manX//ftsL//fliI//iscS//glxR//prpC//narH//astA//betI//gadB//fadM//pspE//rhaD//mazG//nuoK//yhbT//rpiB//icd//glgX//paaK//lldP//fixC//caiB//yrbL//lrhA//nuoK//purC//paaK//rseC//sodA//ybbW//phoB//caiB//cysB//nikD//hyfG//pgi//araB//ulaF//xapB//gabT//trpC//atoA//ydcV//glgB//ung//nusA//ibaG//gcvA//hycE//yrbL//uvrB//phnG//osmB//rffM//ftsI//yjbE//fadD//cyoD//baeR//srlA//hypB//gatY//pgaA//idnT//ttdB//ddlB//citD//yciG//folE//srlD//gatA//fadL//rbsA//frdD//fadI//melR//wcaB//adiA//fliI//yhiD//agaV//dsbC//citX//flgI//yebE//nfsA//fhuF//modB//iraP//evgA//ydfN//hybG//csrB//galR//rseC//ampC//asr//mnmG//ccmF//napD//yhiD//treR//nagE//leuL//ppiD//purF//stpA//ycjX//hisJ//
NarP	potI//nuoB//exbD//poxB//uvrY//mzrA//trpC//potH//glpC//phnI//rffG//pgk//astD//creB//cirA//ydhV//yeiL//sroA//nrfF//dinI//cysP//yeaE//norR//tdcE//rutR//garD//rbsK//paaZ//hdeB//glnK//dmsB//pgaA//higA//crp//gspK//hycD//marB//umpH//ndh//appC//sdhA//rarA//tauA//yeaG//yeaD//bhsA//malS//entS//chbA//srlB//
NemR	dsbA//dmsB//yegR//
NhaR	napD//napF//mdtB//crr//entE//ddpA//hycB//
NikR	pck//fabI//rbsC//malK//cytR//galS//
NimR	purC//uspA//
NorR	yebE//yjjQ//metN//
NrdR	yhjA//ahpF//ftsW//acrD//mglB//nuoN//argH//ycjY//zraS//
NsrR	ycjG//puuE//glnL//pspD//stpA//ribA//rarA//dmsA//gapA//flgD//flu//dsbC//mnmG//glmY//uvrY//fecA//feaR//aceB//malI//rfe//dmsB//tfaQ//gspF//ynbC//mdh//cdaR//pspA//paaK//ynfF//ptsG//mpl//manY//mngB//ymjC//ydcV//pheT//gltF//fliM//flgF//rffC//cusS//ariR//insK//hdeD//alsC//umpH//rimK//mhpB//spy//katE//rffG//polA//mipA//cysU//hycE//sdhA//cysU//pck//lgoR//agaS//hybD//rutB//citF//appB//exbD//rffH//uxuA//mntH//yafO//prpR//murR//csrB//gutM//ybdN//aroF//pstA//flgE//phnO//osmY//glnB//dmsC//appC//zntA//
NtrC	gpmM//ruvA//bacA//dgcZ//hcaF//agaR//sufA//tyrR//mglB//hycG//prpR//mntS//flu//fnr//uvrD//ulaE//citG//nrdH//gspG//bglJ//dsbC//metA//glxK//nrdE//ebgC//glpX//ftnA//fepA//rpmA//gutM//ydiU//nuoL//hybA//srlE//recC//mgrB//ompN//modC//fhlA//gcvT//casD//fliQ//alsE//bluF//guaA//allC//puuD//glk//gspK//
OmpR	hycI//fhuB//pdeL//rffC//entS//potI//nikR//rdoA//ydiU//sucD//phnM//yfdV//glmU//galP//sufE//rbsK//moaB//bacA//araH//cysK//yccJ//
OxyR	ytfE//cynX//hybG//motA//marB//hisP//metI//paaC//fimE//yjjQ//tdcA//gnd//argG//hybE//creD//yhjX//accD//hybB//tsx//ppdC//srlA//yhdZ//garL//aroH//rnpB//ydcV//bdcA//fadL//cysA//glnG//gspH//gnd//rtcA//feoC//
PaaX	mcbA//rbsA//lsrK//hypA//ynfE//nirB//prpR//pgm//obgE//tdcF//mraY//fliI//kbp//mraZ//
PdeL	aroL//
PdhR	argR//ybiT//ykgM//nupG//fliJ//nuoH//ompN//intQ//ddpC//adiC//yecT//cra//gudP//cyoE//chbF//marB//uidB//folA//ychF//nemR//lpxD//fepA//nuoB//flgH//flhA//ydhT//deoD//narI//pgi//pspF//nhaA//prs//hcr//cdd//nanS//flu//nmpC//fliH//nac//csrC//fhlA//
PepA	sbcC//araD//rcnA//
PgrR	gltK//nupC//psiF//moaC//gntU//rtcA//srlR//nrfF//
PhoB	metC//mqsA//znuB//ebgC//csiD//emrB//rffM//htpG//ynfG//mipA//tonB//ugpB//alsE//mscM//ttdA//flgF//yoaG//gspO//ldtC//ybbY//tyrB//fliZ//pgm//ydcT//fpr//lpxC//recD//lrp//napD//gadE//ycjF//dkgB//malK//fucI//bdm//norR//mcbA//rffH//yagK//iscU//gabT//lsrD//folE//lon//nhaA//cysH//dgcN//purR//gspH//nanA//pstA//hypA//rbsB//dtpA//csgF//frdD//rhaR//hisP//yebG//fhuD//
PhoP	hokD//agaB//hycD//fecI//lsrB//cusC//ynbC//yhdZ//napH//fixB//csgB//sdhC//uvrB//nrfD//nanA//mazF//cas2//cadA//argA//znuA//emrK//pgaD//yfaE//paaJ//ynbC//hycA//phnD//napG//paaI//cheW//guaB//marR//hyfG//slp//ydhU//frdC//feoA//mglB//rhaD//ydhT//araD//yhdZ//mazG//ddpC//gntU//murG//lsrG//tomB//yafP//agaA//cusA//hokE//paaB//gspM//rnlB//gadW//
PrpR	cas2//rhaR//gabP//tauC//nuoM//
PspF	hcr//caiC//wzc//cheW//phoU//hemL//gspJ//
PurR	fhlA//pheS//ynfG//hyaA//rimK//glpC//flgB//metN//sucC//nanS//csgD//uidR//fliP//mlrA//ilvC//puuR//ubiX//napH//hcp//flgM//yhjC//manX//fbaA//phnE_1//higA//hyfG//caiF//emrB//ptsI//cdaR//ubiA//
PutA	hyaC//arsC//
PuuR	ptsH//ycjF//ygeA//dkgB//ppdA//wecE//ddpF//
QseB	rhaS//fadA//higA//lsrK//
RbsR	mhpE//ykgM//sucC//srlD//glcA//ybjG//wzzE//malT//metK//
RcdA	idnK//caiA//yefM//rutG//pyrC//acrA//patD//cvpA//chbF//
RclR	marA//mhpC//grcA//
RcnR	leuO//degP//rnlB//
RcsAB	tdcD//guaA//araG//fnr//flgE//nanK//fucI//cpxA//appY//nhaA//ydeP//oppF//dsrA//appB//feoB//yjhC//
RcsB	rffM//ptsG//ybfE//ftsW//iscS//wcaA//symE//rnlA//ynfK//flhA//dinD//artJ//lacY//leuC//alsE//oppD//pgaC//arsR//adiC//ldtB//sbcD//glpK//uspA//cpxA//cadB//
RcsB-BglJ	rbsD//mtr//agaW//casE//xylH//yfiR//pepA//fecD//uspA//tolC//dcuS//nuoM//kdpB//sra//uidR//cheW//
RelB	phoE//yagK//gor//
RelB-RelE	ycjG//cysB//casD//
RhaR	trpC//ompW//
RhaS	flgD//napB//ygdB//wzxE//tauC//gatY//
Rob	higB//glyA//lpxC//csgF//pflB//dhaL//tdcC//polA//pepD//sucD//cysW//puuB//phoP//nanT//xapB//lolA//melR//fhuC//rdoA//dcuB//iraM//gfcA//folE//arsC//uidC//bluF//
RstA	hyfE//decR//uvrB//garR//lacZ//frdB//nuoH//dgcN//potF//ydhY//
RtcR	grxA//cho//
RutR	fbaB//puuD//yedX//treC//pstC//gspJ//psiF//sroD//rnlB//xylA//tolC//ydfH//yccJ//nuoN//yafQ//leuO//carB//
SdiA	norW//wcaA//cueO//ycjY//hflD//
SgrR	dinF//ilvC//fixX//garL//pspG//ulaC//chbG//metL//rprA//
SlyA	thrS//
SoxR	gfcA//acrZ//ydfH//
SoxS	fldA//ccmD//ftsK//yciX//aroL//nrfE//ssb//dhaR//ppdB//arsR//ydcV//tcyP//nmpC//dcuD//yafQ//paaJ//soxR//alaC//yegH//fixX//ssrS//ynbD//glpA//recF//hyfG//yfiB//argG//htpG//dsbC//glcG//trpC//modC//nanS//ydeN//fucK//exbB//yhjC//gatD//thiQ//frdC//
StpA	cheA//modA//phoB//allC//gltL//gltJ//bioF//
SutR	fumB//csiD//paaX//malK//fliH//
TdcA	hslJ//fliE//nrdB//allA//yhdX//glcA//ydfX//
TdcR	yciE//rutG//napB//sufA//dinF//bglG//yecT//
TorR	ppdB//ybbY//ycjG//feoC//cirA//phoB//malT//dsbG//hyfD//iclR//nanS//cydB//
TreR	glpF//fliQ//
TrpR	obgE//yhjX//ahpF//napF//pheT//sufS//sufC//ldtC//rtcA//kdpF//hyfE//cusC//
TyrR	waaH//fucK//bdcA//pstS//galR//phnE_1//hcp//oppA//sdhC//rprA//mtr//glcB//
UhpA	lpxC//
UidR	oxyS//mgrB//cdd//melR//
UlaR	purR//nanK//feaR//nikA//araF//fepD//gnd//
UvrY	symE//yhjA//ykgM//yiaO//ybjC//
UxuR	pspF//gatB//fepD//sutR//nirB//atoB//uidB//rplU//nuoL//
XapR	talA//phoQ//
XylR	flu//norW//hmp//nuoK//mazG//zraR//atoD//
YdeO	ompC//hyaA//mhpC//manY//moaD//gltB//tbpA//grxA//wecB//ddpX//waaZ//yfiB//gadE//dsbA//pnp//hypA//aceB//nadB//gyrA//fliD//sbmC//
YedW	prpR//ompC//purE//zntA//slt//polA//gspK//thiQ//mtr//pheS//recA//pepD//
YefM	rsmH//yqjH//
YefM-YoeB	dhaR//csgG//
YehT	cdaR//
YeiL	nupG//
YiaJ	pepA//inaA//fadR//yefM//mazF//pspE//artJ//molR_1//phnE_2//fimE//
YjjQ	ybbY//kdpF//pdhR//murI//gcl//recB//tonB//ydhV//pgaA//uvrD//
YpdB	aceA//
YqhC	purL//uxuB//
YqjI	gatC//ygiC//
ZntR	xylB//
ZraR	torA//ydfE//ftsZ//
Zur	gutQ//ubiA//fliQ//zntA//mngB//fhlA//
