#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	oppA//hypE//
FlhDC	agaC//ada//aspC//mlc//ycjY//feoC//acrD//metY//gspK//paaJ//nagE//appB//sodB//treB//crp//fucA//fliD//csiD//dnaN//rutB//metQ//ydfD//yegZ//gspK//nrdB//yeaR//modB//fhuC//ppc//yhbT//ascB//yafP//sfsB//arsC//lsrR//metA//allE//rstB//putA//cyoD//xylH//soxS//rtcA//sdhD//hycE//lsrR//fabH//garL//nrfA//csgG//rffC//zraR//umpH//sdhC//ychF//wrbA//waaH//allS//potG//umuD//relA//gadB//baeS//kdpA//murI//nrdA//yiiS//hycH//entC//mipA//ulaE//ddpC//nuoF//fldB//fliG//gadE//napC//exuR//accA//glgA//qseB//carB//
FliZ	fliL//mnmG//ompC//ydhU//fucP//csgC//guaB//ssuA//gpmM//tyrA//yafP//flgB//infC//speB//caiE//cusS//yafP//phnO//flgE//glnB//bioC//
FucR	flgH//hslJ//pdhR//iscS//bglF//fruK//nrfA//
Fur	purB//nrfB//lon//yafO//tyrA//nikE//yegR//csrC//nanT//nohA//hyfR//ppsA//isrC//aslB//lldD//yjeV//ydcU//flgG//hyfA//lldD//nimT//fliA//purH//ahpF//umpH//yiaN//gatA//luxS//cysB//soxR//cpxQ//rutA//mhpB//focB//metB//torD//narI//leuA//glpF//treB//prpB//gatA//yciW//bioD//dhaM//cydD//rbsK//ndh//entD//ribA//glcA//iscS//pheT//rutG//ftsI//tonB//mdtD//rpiR//aspC//tdcC//rarA//fabZ//bdcA//ubiX//gspJ//sgbE//torR//grxA//rybA//ecpR//exuR//uvrY//paaX//ccmG//glgB//phnE_1//zwf//frdC//dgcN//aroG//purE//nirC//fepA//dctR//rffG//yqhD//hycB//yiaN//ssuB//ygiA//oppB//nuoJ//uvrD//ydiU//garK//yqjH//pepD//cirA//fhuF//gspG//fliH//argF//rarA//hcp//safA//tomB//srlD//cynR//nrdH//lexA//appA//fliJ//uspD//patA//yqhG//yfbR//puuD//murC//argC//qseB//hyfH//gapA//yjhC//purF//recF//agaI//lsrD//cusR//hycG//rseB//
GadE	puuA//kbaY//mprA//fecC//hypA//purC//prpD//pstA//manZ//mscM//iscU//dsbC//emrY//recC//yecT//yfiR//cydB//moeA//yhbS//yfbR//ftsW//yfdX//cysK//rhaR//ydcS//ynbC//oppF//mcbA//paaJ//
GadE-RcsB	fhuF//alsA//oxc//entS//fadM//fixX//fbaA//pnuC//tehA//
GadW	wcaA//ssuB//ynfE//uof//phnC//fliC//fucP//tbpA//ybdN//argG//kdpA//aroL//paaB//srlR//yiaK//
GadX	efeU_1//norR//ybhS//feoC//cyoD//lpxA//poxB//dhaK//patD//galS//xapB//narK//yfaE//paaJ//csrB//arsB//entS//modC//malX//crl//nrfB//bdcA//waaY//sdhD//malY//rpmA//rhaD//copA//pgaD//
GalR	znuA//hyfD//aroM//glnQ//purH//xylB//yhbT//patD//nrdH//ppdB//
GalS	tauD//trxC//lysR//citE//cspE//araC//zraS//dtpA//leuA//yciW//
GatR	agaC//napD//lldP//crp//betT//rutC//
GcvA	galE//cspE//iraP//murF//ydeO//
GlcC	yoeB//lrp//flgM//yfdE//ttdR//ppdA//artQ//
GlpR	tynA//hyfH//alsC//ydhY//nac//hyfD//sbcD//hokE//cydB//
GlrR	argC//sufD//intQ//hcaD//fadR//
GntR	rcnB//crl//xylH//csrB//iscS//rplT//nfsB//sdhB//glnP//cra//cpxQ//dctA//
GutM	chbB//nimT//fabB//yebE//argF//fau//gadX//
GutR	mgrR//torR//yfiR//sbmC//purE//cysC//yebG//
HU	mpl//flgC//melA//murQ//ccmC//mtlR//puuA//nhaR//ubiX//
HcaR	acrZ//hdeD//pflB//mntP//adhE//artJ//
HdfR	trpE//melA//leuB//nfuA//waaZ//
HigA	nohA//rutG//
HigB-HigA	sbmC//entB//
HipAB	asnB//sgrS//fabZ//lsrB//metL//
HipB	hmp//nrfG//mntS//yjeV//argR//ygdB//
HyfR	asnA//qseB//nagC//yhiM//dicC//flgF//yjeV//dcuR//pspB//nfo//marB//ybfN//
HypT	rnpB//fdnI//nirD//yeiL//rplT//casD//ynfG//gadC//wzzE//cysW//allS//fhuC//hcaR//
IclR	lyxK//rpoH//malX//ddpD//
IdnR	mraZ//nirC//prpD//ruvB//chbF//gatY//entS//
IlvY	znuA//qseC//
IscR	wza//nanT//rpmI//dctA//hyfG//glpF//mraZ//frdA//nuoC//pspB//fepB//psiE//acrD//mgtA//crr//caiT//exbB//cydB//creC//hisQ//iraM//sgbE//gadB//gadY//fiu//fadR//znuB//fadM//allB//yebE//allA//dacC//
KdgR	dgcN//fabB//
KdpE	ssrS//ung//phnH//nagB//
LacI	nanK//lacZ//fucR//
LeuO	tyrA//slt//rpoH//csgB//aspC//ebgA//fadJ//ascF//gapA//glpK//fliF//accA//malY//rstA//mglC//codB//modB//garR//ymiA//dmsD//
LexA	yhdX//fabA//xylH//gntT//eda//tyrB//umuC//yqjI//bolA//hcr//fabI//evgS//glpB//csrB//folA//truB//argD//dcuS//nfo//allB//narL//uidB//nikR//ttdA//argR//ybbY//ompF//mioC//ubiX//uidC//phoB//fimB//chbR//gatZ//ebgA//fliR//rdoA//ygeH//pspC//cirA//yebG//flgA//gadW//dcuS//tsgA//exbD//rcnA//ndh//metL//gspM//rfe//cusS//acrZ//rarA//yfdV//iscR//ung//fliC//ynbB//
LldR	fiu//glnA//puuR//
LrhA	murQ//emrK//bdm//nuoI//
LsrR	ubiA//recX//dctR//rimP//nuoE//ppdA//yfiB//fadE//gpmM//
LysR	flgC//glgC//
MalI	ssb//hybE//ppiD//
MalT	mglA//metK//tynA//znuB//gcvP//fliC//hcaE//prpE//glpK//gltB//
MarA	yeaG//uxuA//flhE//oppA//yoaC//cysD//cynT//hyaB//focA//cyoA//ynfF//yeaH//pepD//fecC//agaS//iscR//efeU_2//nuoA//flhC//malE//rffT//fbaB//nrdI//citX//ecnB//hyfG//creB//rcnB//ycdZ//rpoD//fumB//fadM//thiP//yoaC//pstS//nuoF//creA//lldP//
MarR	glnA//glcA//xylB//
MatA	ccmG//ycjX//hycG//glnG//gadF//emrB//nuoJ//gudP//
MazE	chbC//ogt//ccmC//
MazE-MazF	yjjZ//decR//pheS//
McbR	ycjY//xylG//dhaR//patA//
MelR	casA//uxuB//chbB//
MetJ	gloA//acrA//cheW//phnE_2//tcyP//appY//lacY//ccmB//ybdZ//pdeR//edd//flgG//srlA//sufS//trpL//
MetR	dhaK//crl//ebgC//cysP//ycgR//
MhpR	fliA//ynfG//dhaL//ydeP//yjbE//allA//
Mlc	glnK//gspM//hyfI//ftsL//yhiD//umuD//serA//citF//yfaE//hybG//
MlrA	hyaD//ftsW//nuoE//dinB//hycH//hisJ//yhjX//ygbA//cysA//wcaA//
MngR	uxuA//mscM//manY//
MntR	mhpF//iscA//rffH//speB//betA//
ModE	tauB//yqjI//narI//sfsB//uxuR//pstS//alkB//hybB//srlE//araJ//pstB//bdcA//glxR//tyrA//frdD//norV//mprA//astC//cirA//crr//metQ//yhdW//pgaB//argF//nfo//csgG//adiA//thiP//seqA//safA//rbsB//flgG//mntH//murD//glnK//napH//leuB//ydhX//xylG//cadC//cyoE//ppsA//yebG//moeA//bamE//metQ//
MprA	acrB//sodA//efeU_2//phnL//yegR//argR//
MqsA	srlA//idnK//paaZ//feaR//dsbG//yoeB//phoQ//codB//
MraZ	rtcB//fliI//nrfB//murR//omrB//yhdX//ppiD//envC//cdaR//cueO//rbfA//hyfB//osmY//ydcV//yjhB//micF//trpA//
MtlR	ftnA//yhhY//rutG//
MurR	dctR//cyoA//glpT//
Nac	cyoE//rclA//decR//sucB//spy//fecE//rnlB//ruvB//ybhL//accB//intQ//dinG//rseB//rybB//wzyE//sodA//lacZ//yafN//phnO//csgB//pstA//
NadR	ycjX//araE//yhjA//marR//
NagC	moaC//hisJ//dhaM//psiE//cydB//insD//ulaB//rpiB//ppdB//prpC//paaH//ydfH//moeA//ecpA//csgC//gadE//fnr//soxR//uspA//umuC//yhjA//flhD//flhC//appA//ppc//araF//malG//marR//feoC//agaV//potI//leuD//fruA//galS//ddpX//fdnH//stpA//
NanR	fliQ//paaG//lhgO//glpT//dinF//dinB//flgG//nuoI//dhaL//ascB//paaF//
NarL	glk//bamE//hycC//torR//astD//ulaF//yidL//cysB//yccA//nrfA//rprA//ampC//dacC//ycgR//cdd//garD//narG//flhA//betT//lacZ//pspB//edd//phnC//lsrK//treR//melR//narJ//rpsO//fliD//acrZ//ulaF//ymiA//ihfA//yoaC//glmS//cecR//cysC//ulaD//araF//puuP//fucO//hcaB//fepB//yegZ//emrY//cusB//tisB//ttdA//fliZ//hisP//oppB//dinF//phoB//yfdV//uidC//ulaG//paaK//cheA//agaS//setA//cadB//sgrT//phnL//cusS//phnD//ybhF//hcaE//lysO//rpmA//wzxE//atoA//phnE_2//nfo//gspH//iscA//csgB//napB//ymjC//oppB//torD//betI//mglC//hyaC//lysO//glxK//nupG//asr//cysA//putP//citE//tyrA//srlD//yecT//caiD//fadH//hybD//gadB//ydiU//phnH//pspC//fimB//mntP//acrR//glxK//araF//motA//leuL//tisB//uxaC//galS//fbaB//trpB//sucC//argD//pspG//yfiB//ydhW//speA//yecT//argH//lamB//rbsD//yciE//
NarP	yjhB//atoB//gspI//trpB//cyoA//ygiC//lsrC//tdcE//hdeD//ydhT//tcyP//purF//mhpA//hybA//yqaE//mscM//gudD//aldA//patA//rtcB//kbaY//garP//lpxC//iscA//mhpC//dtpA//entE//csgF//malI//cysJ//gspK//ascF//guaB//ascB//cdaR//trpR//ppiD//ugpC//aroP//agaD//artQ//cpxA//mntP//moeB//ynjI//yjbE//nohA//pgpC//talA//ygeA//
NemR	glnB//infC//yaiA//
NhaR	fadD//trpL//fhuF//yjhC//cspI//creC//ugpB//
NikR	ecnB//tdcF//napD//rutR//ppdA//napH//
NimR	fdnH//tktB//
NorR	pstA//cysA//hycB//
NrdR	mdtC//bamE//ttdT//uvrD//marR//mgrR//epd//gntU//nanA//
NsrR	nrdF//gltL//rtcB//yhbS//alkA//metQ//lysR//kdpA//argH//pspB//rfe//ilvY//artP//mcbA//fadR//pspG//gadF//atoB//kbp//sufC//gabP//cyoA//motA//csiD//frdB//tauD//lacY//rcsA//uxaC//setA//pheS//metB//rutC//prpB//tsgA//flhE//glgP//glgX//uof//malK//phoU//uvrY//argC//inaA//ecpR//ykgM//aidB//flgN//fliL//yhjA//rpmI//mpaA//dcuA//phnG//mraY//hemH//recD//cynT//ydeO//ybjC//flgE//fabZ//carB//argG//fucK//flgG//borD//phnC//bglB//ulaG//treC//puuB//argI//argT//sroA//norV//recA//rplT//ddpD//cueO//hyfE//hyaB//htpG//
NtrC	mgrB//tcyJ//gadA//ymjC//puuP//rutC//dsdX//pgaB//tpiA//potF//nimR//sdhC//cysE//wzb//yncE//fumC//dsbG//ydhT//adiC//ecnB//ydfD//rbfA//ttdA//hokE//ycjF//rpsU//ynfK//hyfC//ppsA//csgC//flhE//fur//pstC//fliJ//hslJ//rnpB//aspA//gltL//hydN//pheM//asnB//ynfG//metL//fixC//hokD//pnuC//feaB//pspE//nmpC//
OmpR	nfsB//cheW//grxD//dsrA//uvrA//rffM//malI//flgL//nhaR//metJ//ddpD//rtcB//nanS//ybjN//chiP//fliO//ampC//cpxP//tcyP//ynfE//ubiX//
OxyR	oxc//ydhT//rbfA//phnG//lpd//ydcT//ung//bamE//accC//leuC//yagK//nemA//entE//nrfG//dhaK//hybG//ubiC//fliO//dhaR//metF//cysM//dps//oxyR//icd//astC//yeiL//flgM//aroG//amtB//cyoE//napB//appY//yiiS//bdm//
PaaX	fucU//hslJ//narH//yagK//glpK//narX//creB//sodB//csgE//zraP//tnaA//treR//cysJ//rtcA//
PdeL	hyaA//
PdhR	emrB//citC//pqiB//yidQ//paaX//ygbK//agaC//cydD//cysH//fur//ugpB//lon//dsrA//zwf//ccmG//prpD//ydeP//uvrD//srlD//dsdX//rhaB//trpA//yeiB//fabA//omrB//trxC//cdd//wzxE//gadA//hyi//glcA//allA//srlA//sgbH//galK//umuC//gatZ//ttdB//tdcF//pfkA//nadA//
PepA	leuB//rutG//murE//
PgrR	grxA//nuoK//csiD//citD//yiaK//sucA//uidC//recA//
PhoB	lysA//nagA//fabG//fecR//yfaE//agaD//pspA//melR//casA//cusC//glk//dinG//nrfD//hokD//uxuB//dsrA//hyfG//gfcA//agaI//kbp//glpA//accA//idnK//tisB//hyfF//ykgO//obgE//yedX//moaE//lamB//ydiV//fadI//arsR//evgA//torR//hcaD//mraY//leuC//ftsL//ddpB//yciE//slt//pitB//yebG//acrD//mdtD//nemA//citE//treB//lon//caiC//fucK//amtB//phoQ//lamB//mgtA//sdhB//betB//fdnH//slp//
PhoP	leuC//paaG//ldtD//tadA//mdtF//glpQ//higA//entD//fldB//sbmC//cpxA//lgoR//dsdX//murF//cynS//rffM//ycgZ//rhaT//flgL//aceB//artP//ybjN//mntS//lsrR//mscM//emrK//ybhL//yecR//agaB//aceB//ydfE//katE//exuT//fabG//ydcT//cadA//adhE//pitB//lldD//phnE_2//sbcD//uxaC//mhpC//ygbA//argH//yjbF//ydfD//ydbD//mngA//hyi//lsrD//yhdX//cysU//flu//melB//srlD//
PrpR	acrB//ydhU//fhuB//hemH//dkgB//
PspF	aspC//cysK//dpiB//dicB//ymjD//umpH//glmY//
PurR	fliL//dmsD//metF//ruvA//lysP//soxS//fepG//hns//ccmB//uvrY//metB//soxS//nikA//ssuA//guaB//folE//allB//phnM//dinG//dhaK//phnE_2//dgcN//fiu//phnO//melB//glmY//tauC//uxuB//gcvB//htpG//paaX//
PutA	chbA//araF//
PuuR	mtr//fliT//oxyR//cadA//treR//puuD//nuoH//
QseB	hyaC//atoD//flgK//glpA//
RbsR	nuoM//wecB//fixA//bglJ//gntK//phnP//dctR//melB//rffM//
RcdA	agaD//nuoB//nikR//hcaR//trpB//paaZ//gatB//argA//galS//
RclR	mdtC//cheW//casB//
RcnR	recA//gdhA//iscU//
RcsAB	lacZ//fucK//efeU_2//allA//ppiA//agaB//ydcU//paaZ//slt//arsC//wzb//fecR//tehA//yidL//gpmM//yciW//
RcsB	stpA//aceK//dsdC//carA//gloA//glmS//tyrR//pgaB//znuA//yaiA//cusR//araH//moaE//pstC//dhaR//fecI//qseB//ribA//aceF//betT//atoA//wza//tsr//ulaG//oppD//
RcsB-BglJ	hycF//glnL//ebgA//rpsU//pncB//cyaR//moeA//cpxP//glgC//zraR//baeR//rpoS//phoQ//yegR//fliG//nrfD//
RelB	sbmA//yhjX//flu//
RelB-RelE	gadE//nrdF//pgaD//
RhaR	gcvH//pspC//
RhaS	fadA//rplT//leuA//metC//mtlD//prpE//
Rob	csrC//tnaC//fpr//hyfH//argR//pck//tnaC//soxR//trpA//yiaO//pspB//adiA//nuoE//xylG//dgkA//nrdA//casC//katG//epd//trpE//uvrD//dtpA//tehB//rhaT//wecC//fruA//
RstA	nuoF//nimR//patD//nanA//phnH//prs//purB//dmsB//paaX//murI//
RtcR	ygiA//srlA//
RutR	metK//hybC//xapA//fadM//dmsC//dpiB//ebgC//chbB//narJ//tam//idnO//hyfJ//phnM//dgcN//potF//fiu//rffC//
SdiA	pspG//ydhW//nrfG//tdcA//exbB//
SgrR	treC//thiP//nikA//fliR//setA//appY//murF//ybfE//rob//
SlyA	dtpA//
SoxR	agaR//yfdV//hokD//
SoxS	hybC//murP//melR//seqA//gadY//carA//alsE//ssuE//hcaB//astC//malE//relB//napH//folA//grcA//manX//yefM//flgL//moaB//ygeA//hycG//dkgA//fecR//guaA//ybjN//hyi//glmS//puuC//torD//ruvB//pdhR//alaC//hydN//ccmH//lysA//paaY//gspO//yhdY//ugpE//relB//
StpA	fadI//fadR//ccmF//gspM//metK//tyrR//phnH//
SutR	psd//cyoC//lsrC//acrR//dcuR//
TdcA	glnA//symE//ftnB//melA//gfcA//fadB//fhuC//
TdcR	malS//cadC//adhE//yciX//recF//qseC//csgB//
TorR	htpG//gspE//fadE//mdtF//phnD//nrfA//bglB//cysE//gnd//citD//lsrG//ydfH//
TreR	mhpC//glyA//
TrpR	fepG//deoD//pgaD//nirD//prpE//gpmM//rffC//hycE//fliH//aceB//guaB//oxyS//
TyrR	moaA//entB//araH//rbfA//fecE//torD//ybhL//ychF//frdC//atoE//dnaN//sbcD//
UhpA	sufD//
UidR	feoC//speA//pgaC//ccmD//
UlaR	aroM//rplU//xylH//napH//hcaE//gutM//uxuR//
UvrY	ulaC//rbsA//fucP//nagE//paaY//
UxuR	csiD//glcE//ugpQ//edd//ccmH//dsbC//araF//yafN//csgA//
XapR	appY//hycH//
XylR	yiaL//ycjY//ccmC//malM//torC//gspO//hycD//
YdeO	chbC//cysK//glnP//lamB//cysK//argE//fliI//yeaR//garD//fadH//hisQ//znuC//xylA//oppB//mlrA//ccmE//fliQ//pdhR//fepE//araB//aslB//
YedW	moaD//argD//fldA//rbsA//feoC//pstS//appY//yoeB//alkA//waaY//yhdZ//cynR//
YefM	malX//ybbY//
YefM-YoeB	flgH//entB//
YehT	fliK//
YeiL	pgm//
YiaJ	murG//ygeH//fliD//ppdB//araD//ftnB//glxK//obgE//fliE//flgI//
YjjQ	napC//lyxK//potI//efeU_2//ttdT//leuL//ydiV//cspI//lgoR//metQ//
YpdB	tyrR//
YqhC	puuA//phnO//
YqjI	ppdA//dmsA//
ZntR	csgB//
ZraR	lacZ//yjjZ//fimB//
Zur	ydhV//metF//relB//guaB//paaB//ssb//
