#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	folE//rbsK//
CdaR	yjbG//rtcA//glnB//mgtL//pstB//prpC//artP//hycD//yegR//katG//
CecR	agaW//sfsB//malZ//potI//ymgC//
ChbR	cas1//setA//yagK//asnA//emrA//fliZ//
ComR	phnE_2//
CpxR	qseB//sufA//marA//yjhC//relE//paaY//tauD//accC//gltD//entE//rbsA//agaC//yagK//wza//hycF//dapD//fes//pgaD//sroC//dinG//cadC//mqsA//alaS//moaC//tnaC//edd//zwf//ykiA//waaH//ryhB//araC//rfe//glnK//nhaR//cbl//dgcZ//csgG//glnG//pdeH//aspA//gspF//ftnA//wza//fabG//mhpA//mazG//ycjF//paaA//eda//gspG//feaR//yhiD//umuC//lon//hyaB//dcuB//tdcC//idnT//yedX//xapB//fliR//folA//ynbA//kdpC//gutQ//rplU//serA//yfbR//cheW//arsR//
Cra	paaI//mqsR//dicB//rffT//malK//mazG//yciG//murE//chbR//hypD//lsrC//mqsA//ybjG//oxc//feoB//aspC//ebgC//dtpA//rcsA//flu//lsrC//pyrD//lon//rcnA//appC//phoQ//mazE//dtpA//deoC//cydC//symE//ribA//seqA//garR//dcuD//casB//wzyE//dsdA//lldD//mtlD//tyrB//flhC//alsA//ybhL//ompF//aroL//glcF//wrbA//lgoR//oppC//dapB//leuC//ybhF//yecT//ndh//dsbC//cspE//rhaR//cyoE//glnD//wcaA//modB//tsx//tehB//recC//dapD//psiE//gutQ//gadX//fadR//ecpR//fepA//rffT//mqsA//ddpX//glnK//glpQ//dicC//hyaD//
CreB	seqA//fliQ//hycD//leuD//gspI//
CsgD	hypF//mdtF//lldR//rhaA//fecI//rbsK//gspF//sufD//flgJ//hcaR//rffM//ynbC//ygiC//phoU//ybjN//yrbL//rutA//glgC//fumC//garP//paaE//citX//rbsD//oppA//glk//nrdF//thrS//zraS//
CsiR	fabZ//gltJ//yhdY//sutR//yeaD//
CspA	pdeH//moaA//
CueR	mngB//hcaR//ung//leuL//uidB//napG//nrdA//
CusR	yqjH//tsx//cdd//fadR//nrfC//rimP//cpxQ//fecE//yneM//rutR//yqjI//narG//
CynR	qseC//ygiA//lamB//psiE//
CysB	ung//caiE//iraP//ycgZ//acnB//araJ//moeA//ybjN//garP//alsA//crr//malQ//ycjX//napC//ftsI//mraY//nanE//mtlD//xylA//lysA//astA//fdnI//ynjI//murC//hisJ//ydfW//flu//fliS//add//ygeH//pdeL//mhpT//
CytR	araH//malY//iscA//sbmA//folA//rhaD//fadA//metI//gadC//gspI//relE//ung//fdhF//
Dan	pstS//sdhA//fes//flgC//
DcuR	yhbE//murP//lexA//ydbD//bioA//kdpC//fucK//fabD//cydC//
DeoR	adhE//caiD//araC//mraY//accD//yiaJ//
DhaR	uxaC//glpB//nrfG//znuC//
DicA	nimT//bioA//fbaA//pgaB//tnaA//rbsB//wrbA//fruK//
DinJ-YafQ	glpB//hyaF//yeaD//
DnaA	rob//adiC//atoE//lpxA//ddpB//cheW//gcvH//pflB//glpK//flgN//caiA//malZ//
DpiA	fliO//chiP//poxB//moeB//csgA//fnr//slp//flhE//seqA//erpA//cpxA//
DsdC	mhpA//paaK//modC//
EbgR	fadJ//pheS//
EnvR	cvpA//ecpR//
EnvY	uxaC//gltJ//
EvgA	ymiA//fepG//purL//puuD//lldR//chbF//uspE//pgi//ompF//flgK//ccmG//hyi//allA//gadF//srlA//ydeO//ugpQ//ampC//sfsB//
ExuR	fdhF//phnF//ydhY//fur//hyaA//ddpX//fldA//fliF//feaR//
FabR	torD//cysU//
FadR	hyfR//gspG//xylB//asr//metR//iscR//yiaJ//yedX//lsrK//trpA//cydB//fliA//nagE//atoE//hokD//ompW//fliP//ccmH//hycG//agaA//nhaR//wzxE//emrK//
FeaR	fimB//rhaS//
FhlA	moaC//ldtC//glyA//mglB//ftsL//yhiD//aslB//dcuS//ecnB//glxR//nuoL//dicB//cpxR//glpC//dacC//flgC//yfbR//ydbK//mqsA//aspA//entS//higA//purK//ppdC//yaiW//csrC//pgi//ymiA//ribA//sodB//
FlhDC	rutD//serA//nuoM//nrfD//dgcZ//gspJ//lsrB//yccA//glcD//atoA//pfkA//flgC//gspF//polB//wecE//hyfR//dsdA//crl//tnaA//nhaA//paaB//fimB//nikC//hycI//dhaL//nrdH//fadM//betA//sdhC//tdcB//hycC//phnL//metB//uxuB//dinQ//trpR//citC//mngA//napA//nanS//sbcD//hycH//iclR//atoD//emrK//melA//ryhB//fadJ//alsA//mglC//glnD//fabB//mntP//nikC//rpiR//yiiS//osmB//adhE//ycjX//caiD//purF//ccmG//lsrF//hisM//glcC//yebG//rutC//cueO//cho//hypE//csgA//tadA//yjbF//puuB//leuL//yeaH//glnB//dpiB//gntK//csgF//yfdV//lsrC//
FliZ	gadX//motA//metJ//pqiA//yoeB//ndh//folA//rutG//hokE//pepA//serA//carA//idnK//flgK//slyB//thiQ//glmY//hslJ//umpH//pgaA//nfuA//
FucR	glxR//tam//araB//speA//ecpA//cas1//trxC//
Fur	cspD//trpE//fhuB//rbsB//ttdR//cysI//xapB//agaV//kdpA//feaR//acrZ//cdaR//lsrR//nusA//araG//codA//purL//malG//srlE//malG//htpG//purE//araH//cusC//focA//ygiZ//nrfG//ydfD//galK//cydB//nuoE//lysO//rseC//caiB//adiA//yiaM//ddpD//ybbW//artI//murE//pfkA//paaE//erpA//rdoA//dhaK//frc//aroM//mnmG//yciE//oppB//fadM//ribA//araJ//pgi//hypE//creC//mtlA//tpiA//garL//rpmI//mioC//treC//dmsD//soxR//gltJ//nikR//rplU//ftnB//gor//gspJ//umuD//poxB//phoR//dpiB//tyrR//cirA//malM//hokD//lsrK//hycC//mqsA//hdeD//chbF//marR//bioF//galE//moaD//potH//wrbA//ynbB//gcvT//dsrA//garP//nrdE//gltL//lsrG//yecR//xapB//fucA//katG//yfaE//fhuA//hisJ//dmsD//rutC//ftnB//lacY//aspC//yfdX//potF//agaS//efeU_2//aslB//bdcA//prpE//nirB//agaB//uidA//iscS//hyaA//ompN//csgG//ybdN//yhdZ//rybB//fixC//nikC//alkB//yiaJ//alaS//
GadE	araF//citG//mtr//mtlR//ycdZ//ygbK//galR//dkgA//phnM//purM//nagA//waaZ//zinT//glpX//fadD//yrbL//ssb//uvrD//yjbH//efeU_1//fabA//paaK//ybbW//ulaF//yhdX//feoB//fliD//citX//hycI//
GadE-RcsB	ytfE//ymgC//ygaC//dhaM//ldtD//nupC//feaR//fdnH//aceF//
GadW	ptsG//sucB//dmsB//patD//wzzE//erpA//yfiB//mtlR//focA//hypA//nfuA//yiaM//metY//tyrA//rffM//
GadX	wzxE//dhaL//glxK//hns//trpE//ynfF//seqA//phnE_1//potG//moaB//glcE//hybA//ddpD//icd//katG//nrdF//flgL//hcaF//pspB//gyrA//ydcS//rpmA//erpA//asnC//sgrS//alsC//nhaA//ldtB//murI//
GalR	pheM//cra//araA//dinB//dnaN//nanE//flgG//phoE//purK//yjbE//
GalS	yneM//nrfA//araH//idnD//aidB//edd//sufE//codA//pheT//nuoB//
GatR	rbsC//ydeI//pgaA//nrfC//flgM//rbsB//
GcvA	gor//ygaC//patA//torA//folA//
GlcC	sufA//dhaL//fabA//dacC//puuE//ygbA//dkgA//
GlpR	hycD//allB//gspF//tam//lexA//fliG//srlR//hybE//betI//
GlrR	csgA//pheS//oppF//fucA//allD//
GntR	flhB//purM//flgG//wcaA//appA//tauA//fdnI//mepH//dgkA//motA//tdcD//gltI//
GutM	cydD//ecnB//flgB//metI//argD//luxS//nimR//
GutR	waaY//gntU//fucK//dps//lpxD//metQ//ung//
HU	cheW//fixX//mepH//entB//hyaA//tolC//mltF//yjjQ//tdcF//
HcaR	uxaC//ssuA//gutM//yoaG//uxaA//potF//
HdfR	ydhU//kdpC//setA//dkgB//alaS//
HigA	kdpF//yegR//
HigB-HigA	ycjX//mhpC//
HipAB	mpaA//yiaO//gnd//ygiB//mdtF//
HipB	phnH//araJ//glnA//umpH//rffH//cysW//
HyfR	aceE//gabD//napD//fepD//gutQ//trpD//dhaK//dmsA//pspG//chbF//glnD//ybhS//
HypT	flgD//btuB//yefM//osmB//relA//mltF//hyfA//uidA//hcaC//sdhA//casC//ruvA//dpiA//
IclR	mngA//hybD//glnL//fhuF//
IdnR	metF//ddlB//purF//trpC//yjbG//ydfN//metC//
IlvY	moaB//alkB//
IscR	ppdC//aceE//flgM//argD//nrfA//higB//treC//mgtL//fruK//focB//fhuA//glnA//lgoR//sufC//tdcA//gltJ//ybaT//rcnA//arsC//flhE//ompC//narX//trpC//fliD//mngA//pheM//gatB//cyaR//hisM//potG//grxD//hycF//
KdgR	cynS//metH//
KdpE	sgrR//grcA//tdcC//ydhU//
LacI	folE//fliG//sgbH//
LeuO	flu//fadE//prs//ynbB//rfe//hybE//ptrA//rpsU//ynfH//hisQ//iscA//yhjC//truB//paaX//sucC//pstS//fau//wecE//adiA//rhaS//
LexA	citF//bdm//ssb//uvrY//galS//relA//exbD//puuD//bluF//glmU//fnr//dgkA//rpsO//yfdX//treC//wzc//tehB//nikR//oppC//sutR//garL//rarA//mlc//pheT//gspF//glnB//hns//cheA//gspI//arsR//pnp//dpiB//pdeR//fecC//ydfE//dpiB//rhaA//gatC//dhaK//rybA//sgrS//yiaJ//flgK//flgH//gcl//cysD//oppA//fucR//ccmC//malF//flgB//motB//phoQ//torD//modA//gnd//aroH//puuR//cspE//
LldR	ynfE//recF//flu//
LrhA	dinB//pgaB//csgF//yccA//
LsrR	fdnG//napC//gltJ//fadR//hyfG//yhbT//nohA//malX//napH//
LysR	frdD//cusC//
MalI	gadE//rybB//fecD//
MalT	znuC//ymgC//uxuB//tauB//allD//hipB//hcaD//gadX//glcB//cusB//
MarA	fadH//lrp//sdhB//rob//gyrA//nrdA//ompN//mhpD//garD//cyoD//iscS//fecA//gapA//argE//ycjX//hyfR//allA//ttdT//pgaA//yaiW//fliQ//ompW//cynX//phnJ//yjjQ//napH//yefM//mazG//aidB//phoP//hslJ//sdhC//ptsG//rclB//entC//paaJ//gntU//evgS//
MarR	epd//rcnR//oppC//
MatA	rhaR//xylH//fixA//nikB//flgM//argP//luxS//ydeM//
MazE	fucK//lysR//ompC//
MazE-MazF	fadH//bioA//rbsR//
McbR	icd//ynfK//aidB//aspA//
MelR	rpoD//gyrA//nuoK//
MetJ	caiB//yidL//udp//ydfH//ybaS//melA//hydN//napB//uvrY//hypE//ccmA//sbmC//mgtA//lpxC//tadA//
MetR	gadW//hycC//moaA//dcuS//frc//
MhpR	ssrS//adiA//ugpQ//rffM//fixC//stpA//
Mlc	nfsB//prpB//argB//pncB//mtlR//frc//ddpD//ynbD//ttdB//nirD//
MlrA	higA//rybA//ppiD//rprA//prpE//emrA//fucI//rcnR//waaH//efeU_1//
MngR	agaW//pgaC//sbcD//
MntR	metY//fnr//phnJ//ydjM//cspD//
ModE	rffH//argG//rimP//patA//sucB//astC//hdeD//fucU//fadR//aceK//nrfB//phoA//hyfR//frdD//fhuE//argR//rpoD//ygiC//ymjD//speA//fimB//uvrD//glgA//dctA//fliI//wzc//fabH//fecR//uspD//cydC//kdpC//ddlB//csgE//malK//yeiB//tsx//polB//arsB//csiD//ftsA//btuB//relB//znuC//dkgA//acrB//ycjG//
MprA	uvrC//adiC//ryhB//ydhT//uvrC//wcaA//
MqsA	stpA//yjeV//speB//xylR//ilvY//hybF//hokD//phoE//
MraZ	ddlB//hyfB//paaC//mhpC//cyaR//nikR//csgF//yjhB//allS//csgC//araF//ydcV//hybA//atoD//aspC//leuO//metK//
MtlR	efeU_1//malT//entH//
MurR	bglG//malG//glpX//
Nac	murG//betA//ymjD//ybbY//astD//fliR//cysE//rpoD//dkgB//yidQ//fliO//prpD//tsr//uidA//nrdB//ascF//chbF//dinB//lsrF//cyoE//mgrB//
NadR	hypA//ebgC//ruvB//cysJ//
NagC	betI//gspI//wrbA//fepE//gadC//dkgA//ccmA//hslJ//allB//thrS//hcaE//ugpB//nadA//ychF//hycE//rnlA//aroG//exbD//yciW//nanM//ygaC//lacZ//acrZ//hybF//asr//tdcE//lrhA//nrdB//poxB//skp//rpoH//ugpB//phnC//ssrS//flgC//iclR//ugpQ//
NanR	glmS//fepC//rybB//mntS//phoR//cysC//cysA//galK//fhuD//gadB//rnpB//
NarL	narH//appA//ulaE//ydhU//xylR//yiaL//mtlA//tyrR//bolA//flgK//allB//rstA//hyaD//rdoA//cysN//norR//nupG//agaV//metH//idnO//moaA//garP//dmsA//nanT//psiE//purB//uspD//yeaH//sucD//allA//gpmA//malP//yeaD//lpd//lysR//argO//phnI//rffC//gltD//yoaG//fliM//glnA//caiE//yciG//rpsO//gltD//gcvP//recF//alaS//carB//yciG//argG//mtlA//dkgB//hybE//chiP//mzrA//yciE//metJ//puuP//dinB//hyfJ//rutE//crp//kbp//ssuA//ydcV//phoA//flhE//hyfB//phnP//cusR//lacY//fiu//purK//ptsI//entC//agaB//gcvH//infB//rbsC//recA//pfkA//gpmM//ydcS//gabD//pstA//nrdH//sfsB//dinB//focA//arsB//acrR//fruK//kbaY//sgrS//sodA//ydiU//wrbA//ydfW//hokD//xapB//ilvY//glnD//hycB//intQ//pgk//glpX//yiaK//lpxA//katG//ecpR//yhjX//sucD//ccmE//yefM//rpoH//ulaE//cheW//citE//hns//decR//ccmC//
NarP	sgbE//acrA//ascF//ymjC//ybbW//ddpA//narG//sgbU//infC//tehA//polB//ymjD//puuP//accB//acnA//pdeH//moaC//wecC//aldA//umuC//waaY//bacA//sutR//ydfH//yhhY//citG//bamE//glnK//slyB//nrdB//ynfK//hyaF//ldtD//yfdX//csrB//hyi//ilvC//nuoB//araJ//moeA//ilvC//sbmC//cytR//mdtA//yciW//gadX//nrdB//hcaB//psiE//fruK//
NemR	mngB//uof//infC//
NhaR	garL//hyfI//rhaA//sdhD//cusS//sgbH//malE//
NikR	prpB//paaF//psd//yhbS//glmU//aidB//
NimR	ynfK//ariR//
NorR	ymiA//yfaE//argD//
NrdR	fadB//fau//truB//yiaJ//yebE//rpmA//ftsW//cdaR//glpF//
NsrR	sgbU//chbG//ppiA//cdd//fhlA//cusF//fruB//paaE//copA//cysC//betT//dcuR//mlc//omrB//yibQ//fldA//dctR//potH//hcaC//folE//chbC//zraR//ybhF//flgA//zntA//ydhY//tsgA//nagE//yqaE//ydfE//acrZ//yiaK//arsC//ybhF//cysI//slyB//gfcA//mglB//rstA//mhpT//yjbE//ymiA//garR//lrhA//yebE//osmB//wzzE//fruK//nimR//tbpA//hypA//nikB//phnI//paaX//bamE//pspE//phnG//tpiA//bglG//cysM//pflB//tdcE//yfiB//hipA//phnJ//nupG//mntP//nfsA//yebG//ruvA//lacY//motB//rtcA//nhaA//metI//ydhY//fdhF//paaZ//yegH//carA//rpoS//rclA//ybhL//
NtrC	recB//mtlR//ybjC//metB//nanE//citF//murC//emrB//phoB//flhB//purM//yoaC//cysB//murQ//fdnG//gudP//argT//dapB//gloA//argI//infC//mltF//grxA//acnB//xapA//alkB//ykiA//entE//rutR//chbC//ddpC//rhaR//fliC//mhpC//uxaC//torR//glmU//feoA//mdtF//bioC//cas2//dsdA//chbB//nhaR//fucK//mntP//ccmD//bolA//gspI//
OmpR	sroD//dhaL//artJ//trpC//citD//yfaE//kdpA//ddpB//garK//lacA//sufD//srlA//srlD//ybjN//yciF//yeiB//xylF//pgpC//carB//hyfJ//argD//
OxyR	isrC//chbA//rarA//lexA//lysR//fliN//pdeR//torD//cadA//pnuC//rnlA//arsB//yegZ//nfsB//copA//yeiB//fepD//cpxP//fhuB//glnP//phnG//rpsU//paaJ//fliA//caiT//dpiA//rffM//lsrR//narJ//cytR//asnB//argO//uidA//metL//
PaaX	zraS//tdcB//metQ//phoU//thiQ//puuC//yjhB//rsmH//marR//sufE//glcE//fliD//glk//ruvA//
PdeL	lsrD//
PdhR	polB//ahpC//tpiA//lpxD//ilvC//talA//ppdB//fepC//cadB//pgaA//uspA//nagE//murI//cdaR//ccmH//gltI//caiF//lacZ//sdhC//uidC//putP//alkA//baeR//gspF//htpG//fliQ//glmY//purR//sulA//gatZ//poxB//lexA//metF//purE//tynA//alkA//psiE//garR//glmU//agaW//araE//
PepA	hyaA//ychF//umpH//
PgrR	sgrR//argT//ahpF//glmY//argO//dsbA//nikC//kbp//
PhoB	fadE//glgX//argR//phoE//casE//sdhD//ugpC//rseB//hisP//cecR//frdC//hybD//pgaA//lysA//tsx//rstB//yciX//ptsG//cusS//mngB//sbmC//hybO//cysP//ssuA//rclA//mntP//emrA//hypA//thiP//atoD//ccmB//pnp//yafQ//garL//glnH//ahpF//arsB//speB//glpX//speA//omrB//cheA//potG//lsrA//obgE//zraR//recB//dmsD//fbaB//ryhB//recF//mipA//dgkA//folE//cytR//yciW//ssuB//wzxE//rhaS//appY//
PhoP	ruvA//fnr//malI//wecE//aceA//nupG//relB//dctR//ftsI//moaC//asnA//hycD//lpd//hemH//fecC//ydeM//glpQ//hipB//ulaD//tauB//ydiU//potF//gspG//mazF//truB//flgL//moaD//cysJ//flgI//mqsA//nohA//aroM//phnJ//mtlA//nuoE//moaB//pspC//napD//malM//lolA//ynfK//alsC//rbsK//pstS//gadW//flhA//gatY//ulaF//moaE//gloA//rbsR//tdcE//gloA//yeaD//metR//uof//
PrpR	rimK//cirA//ynfH//hybG//glnH//
PspF	tdcD//malQ//garD//xylR//soxS//tpiA//fucA//
PurR	frdB//fabB//pspG//csgE//wzzE//fdnH//nanE//dhaM//napB//yegZ//omrB//appB//dicC//pqiA//argT//phoH//hcp//araB//yjjQ//rbsB//ydhU//uspA//gpmM//mraY//hokE//mtlD//allS//lacY//galK//xylB//gabP//
PutA	lacY//entF//
PuuR	rutC//yhjC//sgrR//mhpC//cynX//chbR//araG//
QseB	nrfB//gadF//nfsB//skp//
RbsR	kdpC//flgB//atoB//appX//tyrP//dcuR//mngB//hyaB//aroM//
RcdA	cysC//ebgA//mglA//moaC//dsbA//flgD//narL//ftsK//fucI//
RclR	dgcN//cyaR//uxaB//
RcnR	guaB//agaA//cysA//
RcsAB	puuR//uvrB//ydcT//ybbW//purN//kdpF//mgtA//acrZ//araA//glgA//dapD//cysI//ibaG//baeS//gntX//stpA//
RcsB	napH//pagP//frc//mngA//dicB//bioB//cheW//fbaB//ygbK//murD//gyrA//bhsA//rybB//frdB//yebG//ccmB//fadJ//mgrB//fabA//xylG//mglC//artJ//psiE//paaJ//cusF//
RcsB-BglJ	cysH//narK//fliH//paaI//cbl//fepD//wrbA//ymjC//pheT//glyA//ulaA//glpB//hycC//rcnB//poxB//ynfK//
RelB	narG//appX//gspM//
RelB-RelE	cusB//melB//epd//
RhaR	yqjH//csgC//
RhaS	glpQ//hipA//melB//ulaG//nemA//hha//
Rob	yjjZ//ybhF//gltL//napB//tyrR//yafO//paaI//fabG//glcA//napB//hybO//hmp//fliO//soxS//wza//citG//gutM//yidL//nrdD//gcvB//cvpA//rhaB//gltD//allA//yjhC//rhaR//
RstA	ubiA//napG//metE//aroP//rbsK//pfkA//edd//norW//pdeH//tdcG//
RtcR	malZ//pgpC//
RutR	cysK//citF//lacY//argD//allB//cspE//malK//yjjZ//alsA//prs//cadC//chbF//yebG//ompT//oppD//rbsB//purL//
SdiA	fruB//rnlB//pstS//paaE//fliS//
SgrR	lpxA//ddpC//metJ//gspH//lpxD//phnD//glcD//fucO//ynfE//
SlyA	fadH//
SoxR	zntA//pspC//nrdD//
SoxS	waaY//hipA//casA//idnK//glnQ//alkB//copA//aceA//tnaC//rffH//phnM//aceE//lacZ//fpr//fdnH//narK//argR//hemL//purN//metY//cysW//umuD//lacY//znuC//gcvH//cadA//mhpT//recN//entS//rplT//dcuR//pspG//gcvB//mtlD//frdC//oppB//nohA//purH//dcuB//rbfA//
StpA	gadY//idnT//gltJ//yhbS//hycD//pgk//lsrG//
SutR	fucR//sucD//rbsC//kdpB//galM//
TdcA	ybaS//soxR//glcC//hybE//fadI//aspC//mlc//
TdcR	galT//ldtB//rbsA//acrR//glcB//yeaE//ahpF//
TorR	fecR//uof//alaS//intQ//nagB//fliQ//higA//bhsA//trpL//metJ//flhD//srlD//
TreR	glnP//rutD//
TrpR	cynS//purB//aspC//gpmA//artJ//pdeL//gcvA//degP//grxA//agaR//setA//nagE//
TyrR	fliN//uof//lacA//znuA//yhiD//oppB//hemH//lysC//allB//nikA//manZ//uvrA//
UhpA	ttdB//
UidR	osmB//tauB//nanE//entE//
UlaR	rdoA//dmsB//tyrR//caiA//rhaD//ryhB//fliD//
UvrY	glpT//hyfI//rffG//yiaJ//znuB//
UxuR	fruK//cysC//yhjA//csgC//entA//lldR//srlR//efeU_2//pdeH//
XapR	gudX//yoaC//
XylR	nrdE//lrp//rfe//grcA//nfo//ruvA//gspK//
YdeO	oxc//paaZ//purL//fadM//sutR//glnA//higA//narX//artM//ecpA//omrB//thiQ//dsdA//rsmH//seqA//rybB//rnlA//glpQ//sfsB//fepA//ygaC//
YedW	narJ//flgB//betB//glcF//nanE//fecA//glpQ//treR//ssuC//zntA//cynS//ttdB//
YefM	cydC//aroH//
YefM-YoeB	yjjZ//yqhG//
YehT	agaR//
YeiL	allC//
YiaJ	osmY//recC//pstS//cdaR//fadM//csrB//rffT//casB//frc//pdhR//
YjjQ	galE//tcyP//melA//ugpQ//srlA//mntS//purN//dmsB//yjhC//putP//
YpdB	entE//
YqhC	fur//pgaA//
YqjI	mpl//fabA//
ZntR	argR//
ZraR	feaR//fliZ//yoaC//
Zur	evgA//fixA//stpA//chbB//rbsK//mazF//
