#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hemH//sdhC//
CdaR	narH//dctR//ydhU//tauB//glnG//exbD//lysR//frdC//artQ//rarA//
CecR	cdd//ybfE//mglB//araH//ulaE//
ChbR	gltF//rseB//yfdX//yafP//paaB//pgaB//
ComR	gadE//
CpxR	tdcD//mprA//hycG//dgcC//pspB//oppF//ybjN//rhaA//xylB//fepG//cysG//dinF//nanM//qseB//speA//gspH//ccmE//ccmA//guaB//yjhC//ugpC//glnQ//evgS//nanC//flgN//phoE//rbsC//fadI//ytfE//marR//yfdV//lacY//uxuB//aceA//potH//safA//pgpC//mqsA//mprA//sgrR//yhbE//ytfE//ygiC//ilvY//pykF//nikE//yhbE//speB//glnA//kdpB//nfsA//fabH//yhiD//ydeI//manX//bglB//yqhG//glpT//agaW//fucK//pstC//hypC//fixA//nemA//fdnI//agaS//ssb//ynbD//argR//hcaE//
Cra	flhC//dsdA//bamE//ydfN//hyaE//yegH//dcuS//nuoH//moaC//gspM//ilvY//dsdC//bioC//rpiR//ydiU//fucA//chbC//galP//metI//lsrG//creC//galT//acrR//ahpC//moaB//ccmF//nanE//phnH//casC//ftsZ//fliE//fliJ//lsrB//gltF//narH//lacA//gspM//csgE//ykiA//rffT//bhsA//hflD//uvrA//thrS//yeaE//mngB//galE//ydfW//serA//hdeA//nhaR//isrC//glnH//ydcV//ubiC//pgpC//dapD//ydhT//hcaB//yjbH//garL//zraR//focA//cysJ//gcvA//psiE//ugpB//nemR//glpX//glnK//uidR//yaiW//cynS//csgE//carB//dhaK//astD//paaF//dpiA//
CreB	glk//rtcB//aceF//yebG//tomB//
CsgD	yncE//araB//dsrA//araA//rfe//aspC//caiD//yfaE//yfaE//recB//moaA//cadB//phr//sucC//yegH//agaI//idnR//rutG//dinD//ybjN//metL//flgN//hyaF//soxR//mlc//cdaR//nrdD//mtlR//
CsiR	yegR//cecR//rffM//metC//lacY//
CspA	glcF//phnJ//
CueR	hcaC//fliQ//fadL//oppC//hcp//chbR//caiC//
CusR	nhaA//gdhA//cueO//norR//galM//appC//codA//fimB//rclA//rutB//rhaS//tcyJ//
CynR	asnC//ogt//gadB//dgcC//
CysB	rclB//gabP//xylH//znuC//glyA//tnaA//ebgA//xylG//ybjG//alsC//sbmA//hybD//murE//yciE//malK//ydiU//purL//yegZ//frdD//nrfE//murI//aroH//rplU//yjbF//chbA//flgC//rtcB//aldA//yedX//ttdB//sbcD//epd//
CytR	yecT//betB//sgrT//lsrF//fadB//katE//rutG//adhE//araA//ycjF//ulaG//ydeI//pepA//
Dan	dtpA//ychF//tdcB//hemH//
DcuR	oppC//csgB//amtB//ppsA//ybdN//tktB//csrB//tomB//ppsA//
DeoR	nagB//ygeA//treB//dctR//atoA//iclR//
DhaR	fliR//aroL//fadH//insD//
DicA	allA//dacC//flhC//ebgA//citC//nirB//rhaA//talA//
DinJ-YafQ	hydN//yiaK//rplT//
DnaA	phnF//hypC//mlrA//evgA//ulaD//citC//hyfA//ttdA//phnM//alsA//yagK//rnpB//
DpiA	cysI//bioF//ccmG//oppC//gcl//slt//rffM//fliO//tsgA//ppsA//yiiS//
DsdC	ttdR//bdcA//dpiB//
EbgR	focA//srlB//
EnvR	cusS//phnG//
EnvY	xylR//glmU//
EvgA	gadC//rpiB//yrbL//qseB//fdnI//phnH//gltF//yiaM//nupG//hyfB//prpB//tsr//treR//yafO//yccT//malE//tdcB//yhjA//emrY//
ExuR	hypD//ybhR//puuA//gspF//astB//ddpA//ydcT//norR//pspF//
FabR	dsbA//hycC//
FadR	potF//trpD//nfsA//phnC//phnL//cynS//rob//phnE_2//hydN//ygbA//rsmH//yjeV//yhcH//artQ//ygiC//ftnB//oxyS//pspF//uidB//casC//csgE//evgA//cspI//
FeaR	dcuS//copA//
FhlA	ppdC//ddpC//hcaF//pheS//hyfI//ccmB//csrC//chbG//casD//mpaA//yncE//uidB//sgrR//aceF//mnmG//waaZ//gspD//nagB//trxC//tnaA//hyfG//phnM//rffC//rnlB//napH//dtpA//yagK//yeiB//cynR//entC//
FlhDC	waaZ//cynT//ygiZ//narK//cysG//pgi//creC//gadB//yjhB//motA//fliA//sodA//yfdX//hyfD//flgM//treC//folE//feoB//cadC//cysN//bluF//dmsB//pspG//ycjX//dgcN//betT//ymjC//mngR//accC//fldB//kdpA//lsrG//idnK//putA//fadI//ybhL//csiD//yeiL//gspI//dsbC//yqjA//agaI//creC//hyfH//yciG//hyfB//hokD//yqhD//aceF//cyoA//gutQ//fimE//rplT//artM//rutD//puuE//dsdX//hycG//trpD//fucO//phnF//citD//paaC//ulaF//nrdI//murQ//cra//leuL//malE//rtcB//allS//aroG//yegH//alaC//recN//gatC//gltB//nrdE//citD//paaA//fliD//argD//
FliZ	motA//tauA//fabI//cyoB//putP//hcaB//trpA//idnK//ebgC//znuA//rob//rbsB//csgE//nanT//paaJ//ynbD//trpC//malX//cusB//fliK//fecB//
FucR	icd//glmS//iraM//ydfH//omrA//cyoB//hyfD//
Fur	kbaY//dcuB//garK//pgaB//yefM//fhuF//murP//hyaA//hyaD//srlB//casE//fecD//ebgC//hisM//flgG//ccmB//hyfB//pstB//yfaE//hyfD//hdeD//moaC//mdtB//paaF//fiu//yjhC//nagA//fepD//ppdB//speA//cyoD//cdaR//garR//flgH//glgP//ymjD//htpG//prs//oxyS//yhdZ//xylB//gcvA//nuoA//glpK//fadM//nikB//nuoI//phnN//hemL//yqhD//serA//feaB//entC//uidA//ugpC//kdpB//dacC//marA//glcB//pepA//rhaB//fbaB//phoH//thiQ//allD//lrhA//tehA//cueO//lldD//hflD//alsA//hyaF//efeU_1//sroC//yecT//cas2//cusB//sbmC//hcaC//dinD//astC//dps//fiu//gadC//arsR//hycF//crl//hyaA//ybhL//phnK//flgK//glcE//dnaN//dmsA//emrY//fhlA//fadB//flgA//sgbU//rcnR//hycF//argA//atoE//katG//sroC//dmsC//yoaC//nrfG//ccmD//gspG//gnd//nfuA//umuC//cysK//fliO//fbaA//rpiB//rhaA//artJ//ycgR//uvrY//hybA//agaS//ynfK//ybdN//add//yciF//gadE//uvrC//moeA//
GadE	argF//symE//cirA//fhuC//dicB//moaA//nrdF//uvrD//potF//aroL//phnM//lysP//hyaE//araG//hyfC//gatZ//prpB//rcsA//uspD//tdcA//cynT//rcsA//rimK//mdtB//purD//yjjZ//ynfG//ugpQ//hcaR//
GadE-RcsB	ptsI//ryhB//aspC//ygbK//mdtF//citC//trpR//allD//lsrC//
GadW	ppdC//yciG//kdpF//phnH//acnB//alkB//moaC//kdpB//argA//argB//ydiV//ccmB//cynX//icd//tadA//
GadX	dgcN//yqhD//cdd//aspA//glnA//murQ//ydhW//glnP//narH//hybO//gutQ//tyrA//nuoJ//gntU//ccmB//gspE//yneM//dkgB//melB//caiE//ddpX//citX//gor//dgcC//alaC//pstB//napD//infB//cusB//
GalR	yiaK//hyfH//entH//gudX//bioB//amn//gltF//uhpT//xylF//nhaA//
GalS	napA//tnaB//sgbE//nhaR//yhbT//artI//ytfE//zwf//csgD//nrdI//
GatR	sodB//rcnB//arsC//nuoA//ybhS//garD//
GcvA	sbcC//ydhU//lyxK//dcuB//malI//
GlcC	agaA//oppF//ulaG//gudP//bglB//amn//ytfE//
GlpR	ubiA//hipB//frdD//hisJ//recN//melB//trpL//hcaC//astB//
GlrR	mhpF//higB//flgB//eda//cysH//
GntR	flhD//flgI//gutM//phnD//pepD//purC//dgcN//ydhW//marR//rffH//trpE//phnE_2//
GutM	fliN//puuD//emrA//xylA//rsmH//ahpC//sroC//
GutR	wzyE//fhuC//fhuD//cadB//ftnA//cusC//iraM//
HU	inaA//rffC//pykF//ybbY//slt//zraR//srlA//yegR//gyrA//
HcaR	sgrR//tyrP//rbfA//malZ//fhuB//nrdH//
HdfR	phoE//kdpF//cysK//yegR//emrK//
HigA	cyoA//dps//
HigB-HigA	mgrB//gcvH//
HipAB	phnD//pstC//galE//flgM//ompC//
HipB	fepC//exuT//araB//yqjI//ytfE//cysM//
HyfR	glnG//marB//sodB//ribA//dpiA//tauC//malI//sroA//nanS//nadA//cyoA//treC//
HypT	fhuA//wza//slt//phoP//rhaS//nadA//lgoR//garL//alsA//gudP//narH//patA//puuA//
IclR	ygdB//ynfG//grxA//rhaA//
IdnR	ulaA//ykiA//fecR//marA//fhlA//yoeB//rutC//
IlvY	uxaB//lon//
IscR	srlB//micF//ogt//hyaC//hycH//pgaC//fau//malS//rseA//accA//gutQ//znuA//glnA//cynS//tauB//yeaG//lsrF//hyaB//mntH//pepA//nrdD//cdaR//csgG//eno//glnD//yqjA//yiaJ//hycD//chiP//rutC//caiB//trpE//
KdgR	micF//puuE//
KdpE	yeaD//xapB//gabD//hybF//
LacI	yegH//yciE//agaB//
LeuO	csgG//hycH//pgm//zraP//bioD//metN//appX//mhpF//pspB//rdoA//bamE//gspI//rbsR//yfdX//yeaR//uidR//pdeL//betT//mqsR//aceA//
LexA	poxB//qseC//ydeP//fucP//yidL//pdeR//betT//manZ//ynfK//bdcA//lpxD//cusB//gntX//yiaJ//aldA//mglC//hycF//ygaC//ompT//aceE//murP//emrB//glxK//ynfK//gspD//ddpB//idnO//nemA//ryhB//evgA//hybB//phnF//casD//phnK//treR//ddpF//uxuR//hipB//putP//ynfF//potG//hybF//ydeP//fruK//asnC//marR//dsbG//ttdB//gspE//mazE//fes//flhA//recC//gadF//uxaB//zraP//ndh//fecA//phnF//
LldR	nuoN//artJ//yqjA//
LrhA	yedX//fecR//purR//ykgM//
LsrR	modB//nikE//malY//yjiY//qseC//ydhY//purF//sufE//patA//
LysR	xylF//purL//
MalI	leuO//yccJ//cadC//
MalT	phnO//ppiA//glpQ//gspE//mdtB//yoaC//intQ//glgC//dsdX//pagP//
MarA	fixC//fucP//tauB//cpxP//yfaE//hyfJ//rob//hypD//slt//kdpF//atoE//yjjZ//emrK//katE//ppc//cysN//yqjA//aceA//csiD//yjhC//intQ//oppD//prs//cusC//safA//mdtA//fadL//betA//recA//hdeA//folA//nrdA//accD//purD//entB//slp//ugpB//appY//
MarR	bglG//hmp//dhaL//
MatA	gltK//inaA//astD//crr//rbsD//acnB//mngA//ydcT//
MazE	glpB//fepG//dsbA//
MazE-MazF	malF//cbl//ybfE//
McbR	nusA//rclB//feoB//gntT//
MelR	murR//allS//mltF//
MetJ	nuoH//nrfA//moaE//ampC//gabD//hybF//lhgO//puuC//fdnH//chbG//rutR//ddpA//yagK//argO//rffG//
MetR	prpR//gspG//fliZ//puuD//phoH//
MhpR	agaW//yqaE//dmsB//fecB//cysE//exuT//
Mlc	ccmA//glmU//seqA//ybhR//hycG//uidR//glxK//mdtC//gatC//ycjF//
MlrA	rbsA//gudX//ecpR//mpl//artQ//hcaR//hycG//gadB//adiA//cyoD//
MngR	feoB//oppF//putA//
MntR	caiC//betB//torD//ykiA//wzzE//
ModE	dkgA//paaF//nfo//rpsO//fadL//lldD//argD//alsA//bioB//aceE//sulA//guaA//ppc//yqjH//cynT//nikR//puuE//murE//galM//yiaJ//slp//ykgM//tadA//obgE//paaA//omrA//ycdZ//lamB//yoaG//gcvB//yafP//nemR//caiT//entH//nuoE//gntX//atoD//wzzE//yiaL//zntA//ftsK//gspF//hycC//ulaC//sgbE//tcyP//
MprA	crl//uxaB//gntP//hybC//moeA//napA//
MqsA	fepD//yecT//cadB//cho//sdhC//mipA//glnD//lsrB//
MraZ	higB//ilvC//paaX//srlB//rob//galK//argH//ybhG//hyaA//prpE//glcF//yfiR//kdpB//gatZ//fliD//yhiM//cpxA//
MtlR	tnaB//nupG//waaZ//
MurR	ybhL//guaA//psiF//
Nac	mpl//frdC//acrZ//glgX//yhjA//ahpC//ftnB//murQ//cysP//rybB//moeB//leuD//fdnG//mazF//idnT//galT//dpiB//tynA//gntT//argI//yiiS//
NadR	ribA//tauA//yeaR//metN//
NagC	csgE//rutB//cvpA//purH//agaA//lysR//qseC//cusC//cysU//aceB//mtlA//rpoD//flgF//hdeD//fecC//gloA//yfdX//gcvH//aslB//srlE//cpxA//paaI//udp//uvrC//rbsB//katG//srlD//nanC//pykF//focA//fadE//csgF//yhcH//fbaA//fliJ//moaE//ccmE//
NanR	purH//glnP//purM//adhE//fdhF//flhE//ccmB//paaH//grxA//rplT//ulaF//
NarL	ykgM//nfsB//yoeB//yciW//osmB//bioA//uvrY//agaD//pnp//appC//araA//prpC//sufS//nemA//pgi//hycG//hyfE//feoA//chbF//wecB//paaE//ccmC//argD//phnD//mhpC//dhaK//mngB//yiiS//chbR//gltD//cyoB//fabI//nrfF//tktB//ybaT//ybdN//rutR//pspC//frdA//potG//ebgC//pspE//pspF//phnE_2//tnaA//cspE//lgoR//aslB//glpK//cho//yfdE//allB//ydiV//alaS//trpL//dkgA//ftsW//fhuE//moaD//cvpA//ydeI//cusC//xylB//ftnB//insD//dsdA//purA//dcuD//ybhL//ugpQ//fliO//nanT//cspD//stpA//talA//ssuA//purK//yecR//umpH//glnA//srlD//dsbC//chbF//metH//ccmF//artQ//flgN//gltI//yqhG//flgA//lysC//nlpA//narH//mprA//gcvB//ulaD//rclB//ynfG//fixB//nagA//purD//alsB//tolC//yfaE//moaA//hyaF//ygiC//ftsI//nanA//ecnB//purE//rcnR//yhbE//ftsL//mraY//yfdV//csgC//moeA//bacA//mntS//lsrK//fliP//pgk//
NarP	ydhX//prs//agaB//uspE//pqiA//tauB//flgC//gatD//mlrA//ybdZ//dinI//nirD//fadL//tpiA//leuA//hemH//zntA//malM//micF//rbsK//ydeM//ampC//fliD//cho//glyA//mtlA//add//fliN//rpoE//pgk//lhgO//sra//psiE//cusF//cysU//dpiB//puuE//hybB//casC//pspC//rpmI//sutR//uidR//ddlB//entF//aroM//cadC//cusF//oxyR//ydeM//
NemR	paaI//hycD//glpT//
NhaR	pgaA//ddpF//nrfB//gcvB//napF//mhpT//manZ//
NikR	hycG//gspJ//nfuA//glpF//agaC//ygiC//
NimR	cynR//paaK//
NorR	baeR//pstB//pfkA//
NrdR	tnaC//cysW//puuB//paaE//entF//rseA//glpK//glnP//mdtF//
NsrR	oppA//yhdY//dcuA//yccT//fabD//lysR//thiQ//mhpF//argE//waaH//flhB//nrfE//baeR//pspF//torR//ppdC//iraM//acrB//gspF//mazG//nac//flhA//agaD//ilvY//cysW//casE//fliH//erpA//rdoA//betA//cra//degP//dmsB//yiaO//glnP//ompW//pgaD//aroF//phoP//aceK//sucA//rseC//csgG//nrfD//mdtF//paaA//yncE//hdeB//intQ//prpB//garL//rdoA//phoA//nemR//ccmB//dmsA//cysC//murI//feoC//purB//pagP//dsdC//hcr//ompN//ugpA//envC//dgcN//glgA//mdtB//pnp//rutD//fabI//yiaJ//flhA//malZ//rbsR//setA//alkA//malS//emrK//bioC//ebgC//oppA//
NtrC	erpA//yciX//pspG//pgk//napD//zraS//gspD//rcnB//flgL//metB//araD//asr//gor//rstB//umuD//gspD//dpiA//glgB//hybF//mhpB//nanC//agaC//cysI//yhjC//csrB//ftsW//idnK//metA//cra//dsdA//cusF//lrp//pheS//sodA//mepH//cheA//nohA//nuoM//pspB//frdA//nusA//uvrC//lrp//nuoJ//hybF//gudD//phnC//purM//marB//
OmpR	purE//cho//argF//mhpF//accC//ccmC//ryhB//uvrA//sufD//ykgM//dsbA//accD//ybhR//yqjI//ecpR//paaG//pnp//cysD//rpoS//glgC//yhdZ//
OxyR	glpX//lpxC//fadI//yedX//fadL//fadD//pykF//prpD//gltL//yhhY//dinJ//iscU//ftsK//mcbA//sodB//fldB//garK//glcB//seqA//frdB//caiF//argE//rutB//murG//intQ//tolC//speA//gspK//yhbS//pgm//phoB//cysG//phoE//glpC//
PaaX	xylF//dgkA//arsR//tyrB//glk//ygiB//hyfH//emrK//artP//codA//fliA//oxyR//narK//gntT//
PdeL	gltL//
PdhR	fabB//dsdX//rbsC//arsB//wzyE//treB//rutR//csgG//fdnG//accC//psd//glgX//oppC//gntX//alaC//allA//gadW//rcnR//ygiB//iscR//feoB//purH//cydA//recF//ftsW//artM//ydcV//alsC//prpR//ybhS//ndh//mcbA//pgk//motB//yeaR//ydcU//pspC//cspE//rpmA//uxaC//moaE//
PepA	malF//hemL//pgaD//
PgrR	ulaE//ydfN//cadB//ygiA//cpxP//ydfD//bioC//hyfH//
PhoB	cynR//galS//metA//bglF//wecC//patD//dsbA//rob//alsE//cpxA//hypC//nrdG//gntT//hyfH//ung//arsR//kdpB//sufE//rplU//slp//pspB//cysC//phoA//napF//flgL//aldA//nanT//aroH//yeaR//hflD//ydhT//higA//yfiR//gltI//fecR//acrZ//mhpD//mglA//yfaE//oppF//aroF//lamB//nhaA//aceF//flgJ//norR//zraS//exuT//ftsZ//oxyR//cusR//yhbE//pitB//ssuD//sroD//asnB//pgaD//nirB//uvrC//motA//
PhoP	phnE_2//marA//dcuB//csgF//baeS//ulaE//lyxK//ribA//osmB//lpxC//gatB//ydcS//lpxC//yccJ//ydhW//wrbA//dcuS//pheT//ydjM//nirB//agaA//aspA//sdhC//accD//rsmH//gpmA//gspF//nikC//cueO//rbsC//dpiB//gltL//aceA//agaI//nadA//ldtC//nuoH//ydfE//gltL//ddlB//gudP//nanE//pdeR//galM//narJ//cusA//fbaB//yciF//norW//rutB//gadY//fixX//ygbK//yafO//sroA//ygbA//
PrpR	cbl//rob//trpE//fecI//cysM//
PspF	citD//araE//bglB//lpd//lsrK//ribA//ariR//
PurR	nuoM//norV//znuB//entS//fldA//hyfI//ydfH//sgbH//pnuC//nanA//rplU//betA//uidR//feaB//pfkA//ydfN//nfuA//yhhY//stpA//gcvT//iraP//glgA//exuR//folE//nrdA//hemH//purH//hyfD//ddpB//sufS//torC//
PutA	seqA//ychF//
PuuR	flgL//metL//ariR//csrC//hisM//sgbU//phoB//
QseB	agaD//metH//rnlB//dtpA//
RbsR	ydfD//hcaD//rstB//araJ//yjbG//eda//ycgR//yfdV//purF//
RcdA	symE//rplT//adiA//ftsZ//araA//manZ//dapD//prpD//oxc//
RclR	agaR//frc//agaD//
RcnR	hycD//fadA//inaA//
RcsAB	argH//fruA//cecR//artQ//hybO//wzb//hybG//safA//seqA//fliD//dmsD//tbpA//trpC//gudX//ygbA//nrdG//
RcsB	melA//truB//cusS//agaB//fadM//trpA//nagE//gapA//hcp//rbsC//hyfJ//rpoH//mhpT//astD//glpC//yccJ//hdeA//zraS//degP//intQ//gatY//hemL//agaD//rbsC//dsbG//
RcsB-BglJ	codA//malK//lldR//bioF//melB//yjbE//umuC//cbl//metQ//pepD//iscU//asnA//mipA//gadE//moaB//glmY//
RelB	cysN//chiP//pspE//
RelB-RelE	sdhA//paaC//ugpA//
RhaR	cynR//hemL//
RhaS	fadJ//tdcA//glpK//hybE//narI//wzyE//
Rob	yeiB//ddpA//aspC//frdB//potF//cysU//ahpF//rseC//codB//paaI//mdh//sroD//sufB//agaC//astB//acrD//nuoA//baeR//chbG//ygiB//yaiA//yjbE//arsB//ddlB//fadM//recX//
RstA	garD//nuoF//araC//focA//creD//sulA//zinT//nagB//gntT//gltL//
RtcR	ftsW//garR//
RutR	lldD//ubiA//cynR//ybaS//hypE//adhE//cusS//hslJ//sufS//truB//ybjG//soxR//gcl//bacA//hcaD//cusA//hybA//
SdiA	astD//tsr//rffM//glnD//lyxK//
SgrR	sutR//hcaR//paaI//ilvY//purD//tcyJ//fimE//lpxA//citG//
SlyA	wza//
SoxR	dkgA//deoD//aceB//
SoxS	ccmA//tolC//citE//fruK//micF//malM//ydjM//gcvB//pgm//astC//mpl//ddpC//sufB//ddpC//paaE//hyfH//frdC//fliT//fumC//fadM//modC//waaY//ahpF//purR//molR_1//nrdA//gcvT//chbA//lacY//ppdC//pepA//waaZ//glpC//paaG//metL//ydfX//mhpB//gspK//prpC//rseC//
StpA	aceB//mglB//csgD//recX//patD//spy//gatB//
SutR	leuO//metL//yebE//lpxC//nupG//
TdcA	rcnR//puuA//yegH//dinJ//ymjD//mipA//pgaD//
TdcR	malY//hokD//garR//aspC//xapA//phnI//hyfB//
TorR	trpL//yiaL//ruvA//rpoH//argG//glxK//hyaC//paaH//flhB//setA//rbsC//cysP//
TreR	lsrK//sufA//
TrpR	ygeH//narH//phoR//astC//gabT//xapA//hycC//hisP//tauB//sucB//pgaB//gapA//
TyrR	yafP//soxR//waaY//btuB//rhaS//lsrK//phnK//yefM//ssuA//hycD//katG//glcA//
UhpA	fucP//
UidR	efeU_2//purB//ybhL//fliN//
UlaR	caiT//phnE_1//bglB//mgtL//gdhA//ymjC//grcA//
UvrY	fucO//gspO//ftsQ//rplT//fliR//
UxuR	paaY//acrZ//ddlB//pgk//dcuB//emrK//csgC//purH//fdnI//
XapR	ycjG//yhjC//
XylR	mtlD//thrS//efeU_1//sucB//phoP//fldB//cysW//
YdeO	ydhY//wcaA//rseB//nikC//ftsZ//yebG//hyaE//cydD//fldB//recF//gdhA//focB//mprA//dinQ//aroH//hha//ubiA//nlpA//cpxQ//dmsC//nrdI//
YedW	argA//ytfE//nmpC//ubiX//nuoE//melA//chbG//yciX//fadH//caiB//flgA//mpl//
YefM	iscR//cbl//
YefM-YoeB	ptsI//adiA//
YehT	yqhD//
YeiL	ygiA//
YiaJ	ulaD//yciE//dsbA//yafP//fes//yjjQ//frdC//htpG//mlrA//wzb//
YjjQ	znuA//gfcA//obgE//fecI//ydeI//yhhY//lpxD//marA//cysE//aroG//
YpdB	eno//
YqhC	glmU//alkA//
YqjI	phnJ//norR//
ZntR	agaD//
ZraR	gcvP//nupG//paaJ//
Zur	ilvY//mtlD//exuT//yidQ//appC//nfuA//
