#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	cdd//fixX//
Fur	gpmM//rutA//envC//ydcS//glnB//ycjF//murG//rffM//uspD//hcaR//ygiA//hycB//mlc//hyfD//glpQ//cynR//eno//carA//yedX//fiu//psiE//dsbC//rutB//lrp//nanM//oxyR//exbB//entB//bglG//cysB//asr//pheS//ygiA//ftnB//borD//fepA//sbmC//narJ//gadE//ccmC//glcF//glpA//metF//ccmA//narL//ydeN//hyfH//pncB//mdtB//dnaG//leuO//paaE//gadC//tpiA//cyoB//dapB//moeA//entF//ubiX//ssuB//bglB//prpE//trpR//galS//stpA//trpE//phnC//aroL//dinF//cusS//ybhR//yoaG//bioB//rbsD//ydeN//uxuB//tsx//trpA//dhaK//cpxA//atoB//paaD//modB//fliI//nikR//cyaR//glpA//asnA//molR_1//sgbE//garR//pspA//cysE//napA//entB//argT//rybA//yoaC//dgcC//dsbG//uidR//tcyP//cpxR//fucR//glk//tfaQ//yagK//aroG//norR//deoA//dsrA//nac//potF//ydfH//malT//yciE//prpD//nimR//acrB//cra//ldtB//uhpT//sufA//gspG//ryhB//gspO//ptsH//nemA//aceK//yhdX//
GadE	fepC//nusA//chbA//dcuR//fhuF//carB//ygiB//yiaL//cysJ//glgC//fliJ//ymjD//purF//recA//gutQ//mnmG//sufD//modB//flgH//fhuA//molR_1//rstB//sroD//csgA//pdeL//yhiM//gspD//hyfR//znuC//
GadE-RcsB	nadA//ugpB//appC//argG//frdD//soxS//gadW//phnO//hyfA//
GadW	ybhS//ptsH//ftnB//dinD//ybdN//dctA//wzc//aroL//trpL//yidQ//malE//yneM//gadF//phnJ//borD//
GadX	tehA//glpB//ybaT//paaC//idnD//nrfA//ybjN//gspO//pspF//modB//glcC//puuD//pspF//hycA//ydhY//accD//acnB//eda//sbcD//ddpC//cspE//gabD//bamE//yhdZ//rsmH//fhlA//nagC//ompC//leuD//
GalR	chbB//mhpB//yciG//caiT//gspI//iraM//purD//puuP//uidC//cheW//
GalS	argT//hyfE//hisM//ftsQ//ccmC//agaW//waaZ//agaC//prpB//gatZ//
GatR	feaR//nrdH//fliS//citE//ybdN//patD//
GcvA	dnaA//fucR//glcB//lrp//oppD//
GlcC	ydeO//fecE//appA//fliK//psiE//fruB//nrdD//
GlpR	rstB//ydcV//ykgM//nikD//gcl//paaB//yjhC//caiA//ugpA//
GlrR	rtcB//yegZ//ppdA//ccmA//rseB//
GntR	ccmB//tbpA//gatB//narK//recN//mpaA//sroC//ebgA//yjeV//glnD//xylA//nrfF//
GutM	galE//sucB//nuoC//oppC//dtpA//ilvC//xylR//
GutR	arsR//ybbY//gltL//uidA//csgB//leuO//cspE//
HU	lyxK//seqA//ttdR//accC//ulaG//flhE//agaD//mdtF//moaC//
HcaR	dinD//hypD//srlD//relA//hisP//tdcE//
HdfR	murF//recC//moaB//yibQ//hyfJ//
HigA	hemH//csgE//
HigB-HigA	decR//idnO//
HipAB	paaY//hybG//glgX//ccmA//yfaE//
HipB	sbcD//mhpT//nuoA//argD//fruA//rpsO//
HyfR	lrp//ynbB//tam//narH//ppiA//casC//yedX//dicC//atoE//gspF//chbC//cysJ//
HypT	carA//aldA//metL//nagC//rcnA//skp//acrR//cas1//osmY//araA//manY//nrdI//artM//
IclR	folE//ybdN//fes//ycdZ//
IdnR	glnA//zraP//rpmA//mscM//lacA//rffT//ddpF//
IlvY	rbsR//srlA//
IscR	tfaQ//nlpA//rutB//dinI//nfuA//ykgM//ptrA//yciW//fldB//bdm//uhpT//chbC//pstB//inaA//araB//csrC//hisM//rpoE//nhaA//nuoF//ykiA//bdm//gloA//fhuD//ynfK//caiD//dapB//ppdC//iscS//dpiB//yiaL//fliS//
KdgR	cysC//icd//
KdpE	fruB//slp//ynfE//sbcD//
LacI	ttdB//ugpB//tdcB//
LeuO	creD//ftsI//exuR//glgC//wzxE//cytR//srlR//pflB//wza//fepE//fadD//ttdB//ftsI//hcaF//nrdE//ydbD//srlB//sufD//ompT//artQ//
LexA	alsA//ppc//fdhF//puuP//entH//glpD//dinJ//argE//hycG//phoB//nadA//fixA//ccmH//metY//yciF//dnaN//mntP//pyrC//mntS//yebG//yhiM//gltL//oppB//gspO//oppB//ygbA//yoaG//mqsR//napC//ybjG//lpxC//fecC//paaY//waaH//acrZ//paaG//dpiB//gadW//talA//lrhA//paaJ//mdtD//tauA//trpB//lldD//lysP//yccA//ddpC//tsgA//mraZ//codB//puuA//lsrR//pepD//ppiD//sgrS//carA//ryhB//csrB//
LldR	ybbY//zinT//gltB//
LrhA	mraY//pncB//ascF//ubiX//
LsrR	idnR//cueO//gltF//flgK//rplT//ompF//nikB//adhE//cirA//
LysR	ydeN//rseC//
MalI	rnlB//bioA//wzxE//
MalT	galP//yhiM//glpC//polB//cysK//fepE//manX//yhjX//flgA//fhuD//
MarA	appA//lsrB//pstB//citF//mhpF//creD//glmS//flgJ//atoA//bioB//dnaA//rutD//pstS//soxR//phoR//hha//ytfE//aroF//sra//malP//norW//yhdW//cadB//purF//ybdN//nrdH//uxaA//tdcB//cysC//ydfW//uhpT//recB//iscS//norR//ccmA//murI//flhE//yrbL//
MarR	hyfF//araG//ubiA//
MatA	cyoA//fhuE//ybiT//tcyP//mraZ//ftsW//tauB//fepB//
MazE	ascB//kdpC//alsC//
MazE-MazF	cadA//napF//cadB//
McbR	casA//cvpA//uxuA//phnE_2//
MelR	gltK//phnC//leuC//
MetJ	dsbC//ydiU//fliH//yfiR//fecC//pspA//mpaA//caiD//garP//yebE//trpL//sra//fepD//sdhA//narK//
MetR	manX//icd//gspL//rpiB//pspF//
MhpR	fhuF//xapA//entC//fucK//rimP//wecB//
Mlc	ydcV//dicB//ddlB//mntS//ogt//chbC//insD//marA//yjjQ//kbp//
MlrA	moeA//mqsA//nuoF//hybO//cyoA//yeiL//fimE//deoC//idnD//aceK//
MngR	ompW//wcaB//glcA//
MntR	pnp//csgF//nrdA//rybA//fadL//
ModE	mntH//prs//aroM//ebgC//waaY//rutA//htpG//nuoE//ynfE//hypC//recA//rpiR//gapA//carB//relB//cecR//pgk//psiF//hha//sufA//fliH//glcC//fadM//cysU//cysW//alkA//nuoI//glpQ//creD//yjjZ//amtB//ybiT//rhaA//ynbD//dicB//hycA//gatA//cusF//wecB//rplT//rutF//glgB//rnpB//paaB//osmC//hdeA//
MprA	alsA//pgi//aroM//gspO//entS//idnR//
MqsA	purL//hyaD//yjbF//trpC//yjbG//recB//creB//allD//
MraZ	tcyJ//fdnH//napF//astE//skp//metF//hyaC//baeS//tdcA//hyfJ//ydcS//rbsK//lsrF//tdcE//nrfE//torC//ydeP//
MtlR	mgtL//phnM//pqiB//
MurR	cytR//hlyE//lsrG//
Nac	lldP//idnD//ftsI//cho//efeU_1//malT//fimB//pepD//motA//pgaA//aroG//oppC//uxuR//frdD//polB//rclC//sodA//cyaR//gspK//nanC//ttdA//
NadR	araG//ydhU//paaF//nrfF//
NagC	ykgM//pspD//ydeP//exbD//dinG//ompW//fdnG//tsx//xapB//spy//dsdA//dmsA//galS//aroL//gltB//flgH//ybbY//yegH//mgtL//dcuR//hyaE//fes//fecC//pdeR//nuoI//allE//borD//artM//oxyR//ygiC//fliF//argR//mazE//hokD//rbsR//ybbY//aceE//
NanR	hydN//fecI//chbC//feaR//cynT//rybA//aspA//malI//chiP//ruvB//manY//
NarL	dmsD//pitB//cynS//cadB//mdtF//gatB//thiP//xylB//cueO//hycG//mpl//ybhL//yhdY//flgE//ibaG//hcaE//patD//gspF//rcsA//rhaA//xylA//xapA//ulaC//aceB//yibQ//glnP//rstA//ruvB//napA//hcp//hyfC//prpC//uof//fixB//ruvA//pykF//melB//yhdW//astD//cusB//baeS//appY//asnC//ydhY//higA//pspA//erpA//emrK//tdcF//aslB//yhhY//gspE//cusA//flhD//alsE//cyoC//bglF//fecI//ftsK//prpB//ydbK//lysA//csgF//yafN//fdnH//fliH//malI//cadA//iraP//ftsQ//uof//lexA//glpB//ydeP//rbsA//fhuA//metI//nmpC//potG//soxR//hybB//glpX//dgkA//alsE//glpQ//paaE//caiE//allE//dinQ//paaZ//araH//tktB//yqhD//fliD//speB//mioC//glpD//tdcF//ccmH//atoA//accB//yjhB//lacA//gspO//yidL//argD//hybG//copA//sufA//fabZ//nmpC//rffH//glpB//paaE//hyaE//ydeO//rpoH//mgrR//crr//ydfE//garD//pykF//glpC//
NarP	fes//murD//rhaS//murF//gudD//ybfE//torD//hycD//glcA//ygdB//cysU//gltJ//fecI//bacA//evgA//yedX//yfdX//mioC//pqiB//bolA//argA//ssuA//cdaR//ung//ycjG//ftsZ//yeaE//mhpB//putP//tyrA//glxR//narK//yeaD//rseA//hyi//rnlB//hybD//ydfD//ibaG//yedX//astD//adhE//intQ//rcsA//argH//caiC//nuoN//artQ//efeU_1//ccmB//
NemR	yiaK//iraP//gudP//
NhaR	rseC//dps//cpxP//ynbD//hyfC//bhsA//baeR//
NikR	malP//artP//murE//gspD//accA//yiiS//
NimR	glmY//ulaD//
NorR	tfaQ//rprA//ptrA//
NrdR	purH//dhaM//mprA//lacY//pck//gcvT//pheT//feoC//acnA//
NsrR	dcuA//gutM//gltI//cysW//fes//hokD//cusF//flgA//fldA//osmY//nagC//tisB//casD//idnD//inaA//dcuD//caiA//mpaA//yiiS//uspD//narL//bioC//emrB//eda//hdeA//phoR//accA//nuoK//galT//copA//mdtE//paaI//potG//galT//phnC//borD//pgpC//lsrB//mdtD//cadC//fliJ//garL//gcvT//umpH//hycA//yjhC//flgL//sucA//tehA//nuoA//rcsA//hyaA//ssuD//rbsK//polB//glgP//casA//narH//ydbK//gnd//wzb//hyfB//creC//yecT//ymjD//metQ//ulaB//ccmG//gltD//argE//hyfF//glnG//hokD//xapA//paaY//yrbL//dhaK//relB//kdpA//gspM//nrdE//sgrT//nanS//
NtrC	leuD//gor//aceF//yebE//xylA//manY//ruvB//lrp//hybC//gadC//psd//sdhD//pck//ssb//gltB//mdtD//lolA//citG//frdB//luxS//uvrC//recB//flgN//yqjA//wcaA//glnG//yfdX//srlR//flgL//polB//pqiA//torR//ygiB//asnC//accC//murP//sra//lyxK//ygiB//phnP//mltF//hdeB//aroP//napF//ymgC//higA//mngR//dsrA//bioF//
OmpR	argI//purR//artI//puuB//yrbL//gadC//agaV//gnd//fruB//moeA//pgpC//mglC//qseC//sbcD//fumC//narL//tadA//prpR//metB//truB//mhpF//
OxyR	purH//ygaC//purM//glxK//ebgC//tynA//ppsA//fliC//puuE//dhaL//moeA//fhuC//lysP//modB//fhuA//idnR//hyi//csrC//rcnB//ppiA//nanC//ynfK//tolC//wrbA//rseA//sbmA//nikD//bioD//glgX//ubiC//entC//galR//nuoL//crl//
PaaX	motA//cbl//rutE//mtlD//entD//gspO//potG//cysM//yhiM//hycC//znuA//ddpX//hyaC//rplT//
PdeL	uxuB//
PdhR	purA//pheT//rhaT//creB//purR//infB//ubiA//znuB//phoR//cusC//deoC//yafQ//dicC//artQ//cpxR//ygiB//mhpA//cysN//flu//modC//bluF//cynR//gatZ//lgoR//gltK//fes//ybjC//yhhY//tnaC//ycjX//yeaH//mntP//cusF//flhB//csgA//motB//mdtB//rffC//cirA//nohA//fes//
PepA	yqjI//bglJ//ulaA//
PgrR	ybhL//arsB//spy//csgF//caiT//gspI//yafQ//bamE//
PhoB	melB//fnr//hydN//dinF//manY//ssuC//idnK//astA//rtcA//prpR//ydhT//nuoC//narG//fabG//ymgA//caiA//lsrD//yhdY//entS//hdeB//thiP//cysG//soxS//fliJ//dicB//norW//allD//puuC//nuoJ//nmpC//grxD//agaA//fhlA//csiD//polB//napH//pspB//hha//sufA//nusA//cysW//fur//pspE//fucA//tcyP//ymjD//alaC//yafQ//cysM//frdC//hybA//csgG//dicB//glcE//purR//cynX//cyoD//yoeB//glpQ//fecE//
PhoP	mngA//dnaA//cspD//motB//gntU//tbpA//lsrG//soxS//skp//seqA//ycgR//fliJ//nirB//patA//ybdZ//appY//flgN//copA//citD//udp//pgaD//ascF//ycgR//ycgZ//prpR//rffH//phr//sucB//ulaF//cydB//speB//zraR//gadF//metY//alaS//metJ//recA//hybO//agaR//oxyR//mdtF//fliN//gspE//zntA//btuB//ubiC//rob//pspA//iraM//nikC//wzc//pgm//wecB//yefM//cydA//rstA//
PrpR	rpiB//rfe//dctA//csiD//fabA//
PspF	feoA//nagC//araG//malM//dinQ//nikB//csgF//
PurR	araH//nrfE//ruvA//tfaQ//accC//lrp//ydcS//ydhY//gltK//eda//acrZ//appB//glcC//carA//ycjX//fabH//ttdR//hcaR//fabA//gatD//bglB//hdeA//ydeN//nrfE//mgrR//araA//tam//alaS//dpiA//alkA//nuoL//
PutA	rbsK//ybjC//
PuuR	dmsC//dinG//ybhS//araJ//setA//creC//phnG//
QseB	wzzE//ynbA//flgE//borD//
RbsR	dapB//pgaB//patD//bioC//zwf//idnO//phoB//ascB//lysC//
RcdA	tadA//ydhX//astA//kdpC//ulaA//cdd//gspH//csgB//aroM//
RclR	pykF//cusA//atoB//
RcnR	rsmH//mntS//yaiW//
RcsAB	nrdE//gcvH//fliM//malE//fadJ//artI//mntP//purH//katG//modB//glcC//evgS//csgG//rseC//hyaF//cspD//
RcsB	glgP//wza//ariR//bacA//gntU//metN//yciE//csiD//ogt//acnB//purC//luxS//gntT//grcA//mgrB//ppiD//gadA//argA//ugpQ//aceB//galR//fixX//hemH//agaB//prpB//
RcsB-BglJ	ppdA//dicB//ygbA//metN//appX//acrB//fhlA//ybbW//sucA//thiP//tnaA//ygdB//nanA//sgrR//puuR//speA//
RelB	bamE//ybjC//fliM//
RelB-RelE	srlR//rtcA//hipA//
RhaR	dctA//tehA//
RhaS	wzyE//betA//fldB//yfiR//infC//ydbK//
Rob	narK//oxc//emrA//yhhY//hemL//malQ//ugpQ//nuoF//cadA//ygbK//ugpB//glgP//hyfE//wzc//dinQ//znuC//fucA//argG//caiC//yafP//hycF//thrS//dctA//dinB//tauA//nuoJ//
RstA	ssrS//yafO//gpmM//galR//epd//hypE//bioA//lamB//rcnA//ecpA//
RtcR	insD//mdtD//
RutR	iclR//fliA//nrfB//dnaN//phoU//gadF//rimP//fabH//manX//gspO//nuoE//gdhA//pdeR//alkA//ynfG//yidL//mhpE//
SdiA	ydiV//nanT//napH//tcyJ//pnp//
SgrR	gnd//katG//hisJ//norW//leuL//iscA//rpoH//pncB//glpA//
SlyA	citE//
SoxR	ulaA//fucO//sodA//
SoxS	phnP//mhpT//fliT//gspC//ymjD//cspD//chbA//paaE//dmsB//yncE//ldtC//glxK//metK//nanS//dinQ//rcnA//ptrA//ftnB//flgI//fadE//citF//ssuD//caiC//nuoJ//omrA//fliQ//alsB//yegH//nrfA//ariR//bglB//dtpA//ptsI//phoQ//ycjY//aspA//ppc//yefM//purB//gadF//
StpA	aroF//csgF//pfkA//rcnA//sroA//omrA//malG//
SutR	gloA//fabA//fdhF//epd//wecB//
TdcA	mglC//marB//rbsC//yiiS//prpE//tdcD//rimP//
TdcR	gspL//tadA//ydfE//rseC//fbaA//fruB//yjbE//
TorR	recB//paaI//modB//bglF//yiaM//bolA//pstC//fruK//flgE//ampC//evgS//guaA//
TreR	slyB//araG//
TrpR	leuD//entC//creD//gspI//dicC//dkgA//citF//ydiU//yhjA//atoB//ryhB//ycgZ//
TyrR	rarA//hycB//frc//murG//gntT//tdcD//aroL//gltJ//cysU//ydhY//deoA//nrdI//
UhpA	gyrA//
UidR	lsrG//copA//ydcU//ndh//
UlaR	hcaR//mngR//srlE//ykgM//astB//ssrS//yeaD//
UvrY	glcD//uvrB//ycdZ//cydA//osmB//
UxuR	ebgA//yjbG//leuB//yefM//argE//yqjI//cynT//poxB//gatZ//
XapR	fliJ//intQ//
XylR	lsrK//mhpF//uidB//deoB//pstS//acnB//soxS//
YdeO	cynT//dapB//tdcD//moaB//rcnA//paaB//fliI//dmsD//hycD//qseB//murE//hyfF//dmsA//znuC//cyoB//yecR//frdA//fecI//entF//efeU_1//fliH//
YedW	csrC//pstB//nanC//feaR//galK//dnaG//sufA//aceF//fliF//cydC//nagC//sutR//
YefM	ydhY//ymgA//
YefM-YoeB	phnJ//flgD//
YehT	yneM//
YeiL	sufD//
YiaJ	mdh//allS//fdnG//mgrB//mtlD//caiC//melR//ykiA//ygiC//fadB//
YjjQ	cpxA//tyrP//ygaC//cspI//cas2//srlA//betB//alaS//bdm//cusS//
YpdB	sgrR//
YqhC	lsrR//aroF//
YqjI	hyfA//wzxE//
ZntR	rpoE//
ZraR	alsA//gatZ//rstA//
Zur	fabZ//ddpF//acnA//ttdB//kbaZ//rcnR//
