#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	htpG//torA//
CpxR	relB//dctA//narI//narK//iraP//hycC//narJ//entA//insD//pgaA//mhpF//hflD//alsA//rcnA//yhdY//dinB//glpD//cysG//fabH//purL//dgcC//purM//gpmM//gspE//ugpA//asnC//amtB//fixC//cusB//dcuD//lysA//ybhL//cyoC//emrB//zwf//mglC//yiiS//dmsB//paaB//ybhF//pgk//wcaA//mazE//lysC//tktB//ldtC//hycD//sucC//aldA//ycgR//mdtD//dicC//metQ//malX//lexA//appY//ascB//hypB//dps//ydeP//cusA//cdaR//purR//yhiD//tnaA//spy//yegZ//fadB//ftsZ//nikD//
Cra	glgP//astA//cadB//sucA//caiF//fhuA//purR//dhaR//glcD//lysA//ariR//glnD//lldP//malI//murR//yhdY//mraY//mioC//ompT//hflD//ydbD//mglA//metN//stpA//csgA//hyaF//nirD//napD//pdeL//cynX//rhaA//glnD//kbp//micF//wrbA//ybaT//fruB//gatA//hdeD//dnaN//hybA//cydD//mdtD//sroA//flgE//ydfH//ygbA//ahpC//tadA//cydD//glpB//zwf//yiaM//grxA//araD//flgM//lolA//sfsB//lexA//soxS//ftsL//lldD//phr//yiaK//fhlA//ulaC//cheA//fliK//nimR//slt//fecB//pspD//yhdX//rbsC//malQ//efeU_2//tolC//gdhA//uof//
CreB	nhaR//malG//nanT//galP//ydbD//
CsgD	ppiA//wcaA//pyrC//yedX//ppdC//fadM//guaA//mraZ//flgA//trpB//frdD//creC//glgP//nuoB//ycdZ//gnd//rob//flgH//feoB//yqjH//yagK//metN//yqhG//nrdG//puuA//yiiS//hypF//tynA//
CsiR	zraP//bioF//murC//yccJ//pqiB//
CspA	glgB//codA//
CueR	paaG//ddlB//trpE//cynT//grxA//citX//pstA//
CusR	prpR//alsB//metN//alkA//garP//chbG//dmsB//truB//nikE//cyaR//feoC//hisJ//
CynR	tsr//glcD//appB//fliN//
CysB	rutD//sucD//glpK//cusB//bglF//thrS//glcB//glxR//infB//iraM//cysE//fumB//malM//lhgO//ymgC//fimE//sufE//pqiA//ompF//nikR//agaR//entD//efeU_1//metE//nanS//sgbH//wcaB//ascB//glcE//hflD//ugpC//fhuD//
CytR	nuoN//mngR//leuB//icd//hdeA//nrfG//glmS//ssuD//nrfC//dsdC//polA//nohA//xapB//
Dan	gspM//pnp//pagP//betI//
DcuR	nrdA//cusF//napG//dinJ//zinT//gcvT//lysO//malX//ascB//
DeoR	nrdB//lsrK//cydA//ccmF//norV//amtB//
DhaR	gspI//epd//rcnB//yhjX//
DicA	tynA//pflB//ybhR//ymjC//ldtD//fecR//hyaB//ogt//
DinJ-YafQ	nuoI//citX//ydiV//
DnaA	glnP//hyi//fldB//yhdW//pitB//mntH//ldtC//ssuD//ydeM//fhuD//ybfN//atoB//
DpiA	pdeL//efeU_1//hybE//gcl//lpxA//soxS//araH//aidB//nikA//sgbH//mipA//
DsdC	yidQ//entC//lacA//
EbgR	pspD//wecC//
EnvR	fumC//nhaR//
EnvY	ulaB//feoA//
EvgA	dicC//yfdV//udp//xylB//aceF//sufC//atoA//fliQ//yqhG//paaZ//dhaK//srlR//yhjA//dmsA//fepC//uof//ubiC//fecR//glnP//
ExuR	motB//rob//gcvP//flgD//fabB//citX//nrdI//ydfH//dctR//
FabR	casB//fucU//
FadR	yiaK//agaW//higA//sbcD//eda//lacA//bglG//gabP//crp//yqhG//deoC//ybhS//ulaA//cytR//napA//cysI//ybhF//manY//zwf//codB//fliF//dinB//hyfJ//
FeaR	hipB//cueO//
FhlA	oppD//hdeB//rfe//gadC//hlyE//ybbY//mhpT//katG//pgaB//mgrB//phnC//add//hycC//hyaD//pheT//cysD//nhaR//allS//hmp//uvrD//citF//ydfD//tonB//mhpD//sdhC//rcnA//hyfA//pdeR//tolC//umuD//
FlhDC	yiaM//yqjH//yafO//napH//ybhF//tdcD//rclA//hyaC//efeU_1//cyoE//yafQ//bioA//malZ//uspA//ybdN//glnL//yoaC//cpxP//ygaC//casE//gspM//flgF//tyrP//fliH//puuE//crl//torD//ydeO//ascF//mzrA//sulA//ymjC//chbA//phnP//yciG//purF//pykF//ssuD//glnA//fdnI//gltK//nirD//ybaT//pheT//modA//ccmB//fliN//srlR//dsdX//galT//dgcZ//adiC//glcE//fucU//rstB//accC//umuD//metC//flhA//baeR//phnO//ynjI//malM//puuA//betI//uvrC//ycgR//slt//hybE//nuoG//nrdF//paaH//motA//phnE_1//frdC//glpT//cpxR//fadM//dsdX//rffG//ydbK//hcaD//
FliZ	fabI//ssb//yegZ//atoB//ydeI//exbD//paaD//ccmF//yagK//sdhC//ydhX//argH//mpaA//paaE//lhgO//fhuE//icd//agaD//uof//oppB//fixA//
FucR	agaC//fabG//hcaB//wzyE//wzxE//mqsA//atoE//
Fur	hybF//glgX//mraY//ssuA//mngA//gspL//hydN//uxaC//yneM//caiD//aceA//soxS//xylR//glmS//putA//melR//znuA//nusA//nagA//melR//fhuB//phnN//chbF//gltB//fumC//sodB//arsC//hycC//moeB//cysM//ynfE//gabT//ttdR//aidB//serA//fimB//gadX//fldA//baeS//norV//nuoA//fliC//tauC//mazG//csgB//decR//glgX//deoD//iclR//recC//soxS//yegH//prs//fiu//glcB//inaA//hyaC//cysH//fadA//uvrD//argA//cysG//mdh//betA//agaR//hyfI//hha//narL//csiD//nrdA//gspH//acnA//exuR//lsrF//acrB//dsbC//bglB//tcyP//rob//yneM//feoA//uidB//pheS//nuoG//gspE//znuA//hyfH//insK//dcuB//micF//cyoA//cysM//ulaC//dnaG//oxyR//yiaO//ssb//yqhD//aroF//dinJ//nagA//pykF//zraS//ascB//melB//aroH//dapD//bglJ//ynbB//fadE//fumC//tynA//ecpR//fliG//tdcD//trpC//araH//kdpC//ompN//argG//yegZ//citC//astD//fhuA//agaW//gltK//mioC//metK//sucD//araA//
GadE	garR//hycB//mnmG//yidL//carA//artI//betB//nuoL//yeaH//ldtC//hns//hypE//yiaM//yjiY//argA//agaD//srlE//pdhR//dsdC//tcyJ//fabD//yeaE//tomB//tdcF//gntU//emrA//rplT//entF//eda//
GadE-RcsB	srlB//arsC//pgaC//lsrC//rclC//garR//gor//araE//gdhA//
GadW	fabD//hycB//alaC//ttdR//ssuD//zraS//bglF//sgrS//rbsD//ftsL//phr//yfiR//oppD//ugpA//ccmA//
GadX	yhcH//phoQ//gadY//relB//hdeA//ompC//sucC//iscS//ydbD//puuR//yqjH//fau//fliM//cynR//purH//nimR//caiA//dcuA//dsdC//yciG//yfdV//decR//exbB//torD//ydcV//insK//ftsQ//nikB//acnA//
GalR	uidR//glpB//dapB//ftsW//deoD//puuB//gatC//umpH//gadY//bdcA//
GalS	metJ//luxS//spy//mtr//astD//tnaA//phoR//puuC//cdd//prs//
GatR	cpxR//pstB//ydfH//ydcS//sufC//ppdB//
GcvA	cbl//wcaA//rpiB//narX//hydN//
GlcC	fliO//mdh//dgcN//garL//ynfK//ydfE//hycG//
GlpR	gspI//yegR//oppC//qseB//glpB//cpxA//pstS//uhpT//nanT//
GlrR	recB//ynfG//phoE//iscS//rpoE//
GntR	yccJ//tcyJ//fabB//yfdV//purF//ccmF//cadB//hcr//uxuA//tam//yegZ//bglF//
GutM	hdeA//casB//dctA//bhsA//yeaH//torD//ssuE//
GutR	rbfA//bdcA//guaA//tdcD//nikD//hybD//puuA//
HU	mdh//nuoF//phnM//hypC//yhdW//pspE//yqjI//puuB//dcuA//
HcaR	exuT//ugpE//ybdN//ibaG//pncB//dnaA//
HdfR	rnlA//fliL//hypC//entE//malQ//
HigA	poxB//caiA//
HigB-HigA	ompC//ompT//
HipAB	rprA//nuoF//ulaB//nfuA//yibQ//
HipB	trpE//argF//yhdW//nimT//fliE//rcnA//
HyfR	ycgZ//metA//gutM//purM//yiaO//mraZ//ssuB//slp//eno//puuA//agaB//hyfB//
HypT	entA//mdtD//ydhY//ldtB//prpR//ftnB//ecpA//rimP//ebgC//srlA//sbmA//trpR//grcA//
IclR	fldB//feoC//metN//lsrK//
IdnR	gadA//flhB//nanM//nlpA//aroG//rcsA//glnB//
IlvY	dsbA//ldtD//
IscR	wzzE//marB//pstA//paaF//metJ//wzb//rclB//yiaL//sufE//fadE//prs//gor//psd//yiaK//uspD//uvrC//fruB//pgm//fbaA//mdtE//cueO//modB//rutD//paaX//ddpX//cysN//ulaD//aceK//lsrB//ptsI//uvrA//artJ//
KdgR	chbC//feaR//
KdpE	prs//mlrA//argB//phoB//
LacI	ccmC//asnA//gspI//
LeuO	dsdC//mpl//mhpD//isrC//fliH//hcaD//ycjX//astE//mhpE//moaA//nikC//marB//pepA//yfdV//astD//malI//torD//astB//hcaF//moeB//
LexA	hisJ//glpX//metF//dctA//rdoA//putA//kbp//glgC//glgA//gspJ//rffC//fixC//fadB//ynbA//malQ//cysC//cadC//ygiC//wzyE//evgA//uvrC//csrB//aspC//hisM//hypB//rpiB//ybbY//yhdY//tktB//lpxA//hypC//puuC//galT//ruvA//fepA//prpD//ydcT//yegZ//mhpF//nanK//nanM//ompC//ydhU//bamE//lysA//ydiV//cas2//cydB//srlR//gltJ//mioC//fliL//treB//agaV//malS//manX//uxuR//oppF//cra//
LldR	fliL//phnJ//nuoA//
LrhA	gntK//aroM//yhjA//lacY//
LsrR	yfdX//yqjI//aidB//ftnB//glcB//yqhD//purD//paaB//sdhC//
LysR	alsA//fliE//
MalI	osmB//rcsA//speA//
MalT	gatC//moaA//creB//cysN//gcvA//argA//recD//cysP//sfsB//rsmH//
MarA	hcaE//rsmH//aceA//xylH//hcaC//fadR//ada//paaK//nfsB//yhhY//potF//tisB//sra//bglF//rfe//mngR//setA//sufS//rnlB//ogt//cadC//nupG//ydfN//purR//intQ//glcD//ccmB//sutR//araG//lysR//ftsQ//flgJ//prpD//malY//hyfE//dinQ//bolA//ybjG//
MarR	moaB//ygiA//ybjN//
MatA	hyfA//cysC//glcE//ycjY//agaC//malI//pstS//putP//
MazE	copA//skp//tonB//
MazE-MazF	gspG//aroH//rutC//
McbR	mhpD//ydeM//ydhX//purM//
MelR	aspC//nhaA//caiF//
MetJ	ynbA//entB//pstS//luxS//yhjA//araE//soxS//tehB//araE//sdhB//cyoA//yafN//nrdH//deoA//gspC//
MetR	rnlB//fabZ//nemR//ihfA//kbaZ//
MhpR	nupC//ydhY//frdD//argB//yqhG//sdhA//
Mlc	gcvA//dkgB//cyaR//yeaE//argB//ddpF//edd//purL//ymjC//flgN//
MlrA	fixA//gadY//tam//qseB//yfaE//ydcT//tpiA//oppA//xylG//dtpA//
MngR	yeiL//rhaR//gatC//
MntR	ogt//asnB//agaC//mdtA//yhcH//
ModE	ygdB//osmC//acnA//fucI//ccmC//fixB//ampC//dps//pnuC//oppD//potG//phnO//rybB//ftsI//tynA//murP//mltF//hcaD//tam//rnpB//rplT//leuC//osmY//umuC//nac//pdhR//hyaC//yiaL//tyrA//yeaD//fepG//yhdY//argF//safA//prpC//ygiA//agaR//fdnH//tsx//hflD//napF//appA//cysK//gltB//lacZ//fecE//
MprA	napH//qseC//ddpF//mntP//glcF//ldtB//
MqsA	ppc//eno//rhaR//metK//hflD//iscR//puuA//rpsO//
MraZ	micF//polA//wzc//hflD//yecT//galP//wcaB//gcl//purR//csgD//nrdF//degP//mraZ//agaA//dps//hycG//ruvA//
MtlR	ptsH//flgD//yebG//
MurR	uidB//mioC//agaB//
Nac	pepA//ykiA//hcaB//grxA//fimB//micF//bioA//ychF//glpC//yaiW//dsbG//ymiA//dpiA//fadB//citD//nuoK//glnD//ycjG//rffT//adiA//alsC//
NadR	nupG//glcA//nuoB//caiA//
NagC	pgaC//cysE//hdeB//cyoB//moaD//cra//gabT//nanS//rhaB//ihfA//ydfW//glmU//nrfD//yafP//mqsA//murR//rutF//hypC//astA//gspC//rpmA//ymiA//slt//pck//tauD//rybA//feaB//hcaC//sroC//yhjX//nohA//rob//argC//evgS//dsbC//flu//yedX//
NanR	rpiR//hycF//mlc//nrdB//dpiA//evgA//gudX//acrD//exbD//iraP//oxc//
NarL	ulaG//uvrA//nirD//dps//betT//iscA//nuoB//recC//pgpC//nanT//ybhS//mngR//ulaE//cpxR//nfuA//cysU//dgcC//oxyR//paaI//cadC//glnD//metE//glcE//dhaM//nrdE//ddpC//fes//entH//bluF//dicB//fepC//dapB//dsdX//yiaJ//napB//dhaR//glcA//cysW//frdC//yidQ//emrK//cusF//glcA//ymgC//ydcT//yafQ//bluF//purA//yhbT//uidC//nrdH//fadM//artI//aroM//agaI//araG//frdC//nikA//nanS//cadA//degP//fliK//zinT//entA//talA//slyB//yqhD//gpmA//glk//mntS//glpF//pspF//cadB//hipB//chbF//tonB//rutE//hybA//nrdF//hyaD//flgG//rimK//zinT//rseA//ygdB//ddlB//rutD//xapA//lysR//rseB//fucR//accC//gspF//ddpF//nrfE//torD//ascF//rnpB//yfiR//dacC//agaR//yiaL//yiaK//motA//xylR//glpD//asnC//psd//bglG//dsdA//yhbE//lsrB//fliS//fliP//kbaY//cas2//rffC//ulaB//infB//gudP//nmpC//uxaB//recX//
NarP	pgk//pspE//fabZ//hdeA//iscA//nimR//idnR//ynbA//nuoB//lldR//fhuF//betB//leuC//hypE//pstS//yneM//rhaT//fecB//garL//molR_1//ccmA//ccmB//ydhW//aroF//tdcG//potI//dpiB//sufC//mtlD//ssuB//caiF//paaK//yfiB//paaC//uidR//dcuB//mtlA//yfiB//rffC//infC//hycE//xylG//galP//cynX//casB//qseC//gadF//hdeD//potH//metK//
NemR	qseC//codA//argC//
NhaR	hisP//gcvH//yefM//gntT//napG//pepA//hyfB//
NikR	purN//yciW//ytfE//bioC//yncE//cyoA//
NimR	exbB//uspA//
NorR	bioA//rpsU//cydC//
NrdR	purK//aceA//nrfB//rpoS//entH//gadW//dicB//rpmA//pstS//
NsrR	fimB//phoE//tomB//uvrA//flgD//citG//allS//csgC//csgF//dgcC//appC//leuA//focA//nagA//amtB//gudX//marR//tyrA//yhdX//lhgO//hybC//yeaE//pflB//psiE//hybF//yjhC//stpA//araA//ydcU//tbpA//hyfI//flhE//folE//paaJ//hycC//betB//garP//slp//phoP//dctA//lrhA//citG//ahpF//znuA//lhgO//ugpE//acrZ//srlA//hokD//hcaE//manY//nfsB//putP//hybB//malG//hcr//cyoC//fhuB//hemL//ynbB//rpmI//dcuB//cusR//creD//dinF//oppB//luxS//fepG//glnD//prpB//hcp//uidB//uvrD//nrfA//pck//fecI//hyaC//ybfN//hemL//yafN//dcuR//tyrB//glxR//
NtrC	cydB//rutE//nanA//rhaR//yciX//paaG//cspE//metR//putP//araG//aceE//btuB//gspK//ppdB//hyfJ//gudP//flgC//ygiZ//atoD//insK//efeU_2//fucI//nadB//glyA//ssuB//garP//csgA//creD//entD//cheW//argI//relB//rpoE//ydhU//accB//qseB//malQ//dcuS//gltI//cynT//dapB//dsbG//flgN//metC//murR//phnK//slp//acrR//phnP//
OmpR	gspM//mntH//gltJ//uhpT//trpB//rseA//treB//glpA//ruvB//murR//torD//mngR//phnJ//paaC//pgaB//yecR//dsdA//lacA//aroG//yhdZ//chbG//
OxyR	pspE//cydD//fepA//aspA//ftsL//hlyE//mipA//ssuC//bioF//caiE//ddpC//ygeA//argP//dmsD//dhaL//glpF//glpB//dhaR//tdcD//ygiC//aldA//ttdA//ftsL//talA//yjeV//baeS//gspM//nrdB//ssrS//wza//fepB//hflD//nanM//umpH//
PaaX	ompN//appY//fabI//zwf//patA//ykiA//purM//sgbU//acrA//fixA//potF//csgF//metA//betA//
PdeL	udp//
PdhR	nikC//tolC//lpxD//ybjN//wcaB//rhaT//manY//nuoH//sbcD//melB//fruB//nupC//nanS//tdcE//bdm//hlyE//rybA//fixA//sroA//purD//hydN//yaiA//fliH//gcvH//lldR//ssuD//dhaM//purB//hcp//tomB//glyA//caiD//cirA//gspE//hcp//lpxA//allD//dmsA//dsdA//ugpA//murR//
PepA	astD//mgrB//metN//
PgrR	ycjG//recD//allS//fpr//yhdX//guaA//agaC//edd//
PhoB	fhlA//chbF//tyrA//astD//malT//ybhS//sroC//yafP//cpxP//sgrT//allS//gltJ//tonB//dhaL//atoD//creB//ascB//hyfC//pstA//murR//sgbH//hycI//pagP//casB//hyfF//hcp//casA//ftsA//prpE//ssuB//setA//flgG//metK//pgm//uxaB//fadH//yhbE//citF//ydhU//uxaB//garR//carB//rbsA//rcnR//agaB//gspO//asnA//rbsA//fliO//dsbA//potG//puuE//glgB//yqhD//cusB//ycdZ//yafN//metA//fliC//lldD//
PhoP	setA//tauA//kbp//nrdA//nimT//ssuB//hydN//ftsW//gntK//nagB//yoeB//bglG//hyfC//insK//waaH//araF//entC//nmpC//glcF//pfkA//cho//mraZ//dgcZ//tdcB//norW//glxK//sdhB//idnO//moaB//ttdA//caiF//yfaE//mdtF//ulaE//crp//aroG//rcnA//lsrR//mhpC//ulaD//safA//speB//sroD//gltI//mpl//nrdI//yfdX//rnlB//nadA//ycjX//gcvP//rfe//rbsB//mngR//ulaC//glpA//
PrpR	iscA//rffT//gspD//ddlB//dicB//
PspF	nrfC//rbsB//gpmA//cra//osmB//fldA//nikD//
PurR	gltD//dinG//ydfN//pepD//ydhT//idnK//tdcG//pqiA//cadC//hyfB//recN//fliC//sroC//astD//fepA//ydfW//murE//dinB//flgJ//fhlA//uspA//hybE//artJ//potH//nfsB//cysW//pgk//nuoJ//cspE//sufC//caiT//
PutA	lolA//fhlA//
PuuR	ddpC//caiC//deoA//glcB//xylG//yhiM//fliN//
QseB	uof//uxuR//ppdB//ampC//
RbsR	mhpE//pspC//moaB//purN//cadC//mltF//pflB//alsB//sufB//
RcdA	glnK//cysG//agaR//icd//rstB//csgB//gspC//rpsU//rffM//
RclR	phnC//cirA//hlyE//
RcnR	ygdB//yedX//rarA//
RcsAB	paaE//mdtC//paaZ//entE//wcaA//potF//insK//nuoB//glnQ//inaA//dsdX//ndh//yegH//ycgR//aceA//aceA//
RcsB	rpoE//acnB//gcvT//tynA//nuoA//tpiA//flgC//betA//mglA//phoR//tsgA//znuB//fhuA//fepG//ariR//ptsG//yidL//motA//ycgZ//tauC//fucI//idnO//acrD//tnaA//wzc//
RcsB-BglJ	purR//purA//cysH//cas2//yoaC//sucC//tsr//glpC//ykgM//yiaJ//cdd//nadB//gntP//argG//alsA//tisB//
RelB	gspG//nupC//rplT//
RelB-RelE	chbF//yedX//feaB//
RhaR	ttdA//caiF//
RhaS	folE//chbA//gpmA//fliC//uxuA//xylA//
Rob	ldtB//uvrY//nuoB//napH//ycgR//gatA//tynA//fepE//srlR//sodB//nirD//ymgA//leuL//carA//nimT//yjhB//mgrR//pncB//moaA//speA//cueO//fliZ//garK//nrfC//idnK//dcuA//
RstA	moaC//tomB//mdtB//fliJ//rutA//patA//ynbD//rbfA//modB//glnB//
RtcR	paaF//yegZ//
RutR	oppF//yqjA//ccmD//tdcD//tfaQ//rpoS//sucA//cyoA//emrY//nuoF//yqhD//yoaG//dinI//agaB//fliD//fruB//glcG//
SdiA	cadB//ssrS//lsrA//yoaG//fur//
SgrR	paaD//iscS//yhcH//wzb//cadA//gspH//creD//pepA//tdcC//
SlyA	moeA//
SoxR	deoC//gutQ//araB//
SoxS	creC//purA//ygbK//rutA//ydcT//mglA//fes//envC//nhaR//ycjF//nmpC//relB//thiQ//dapD//murF//tdcF//yciE//sufD//hokD//uxuA//ydeP//rpoS//metQ//fucU//nadA//betI//araC//argP//lpxD//hyfG//phnO//hcaB//sodB//idnT//fecI//ybfE//yhjC//wrbA//metQ//yccT//
StpA	hypA//dapD//cspI//acrA//yfiB//fecD//ubiA//
SutR	trpC//pyrC//xylG//dsdC//ccmC//
TdcA	ddpF//nlpA//ppiD//gatY//ymjD//gspC//gcl//
TdcR	srlE//pheS//ynfK//yhdY//arsR//fixA//ycjX//
TorR	ompN//exuR//nuoB//pgaC//ftsA//artM//nikC//cecR//agaC//rtcB//exuR//glpK//
TreR	cyoD//ilvC//
TrpR	kdpF//nagC//marR//tnaA//rplT//nrdE//rffC//alaC//astA//entB//rutG//mdtE//
TyrR	gltJ//ygiZ//rffC//psiE//erpA//uvrA//yqaE//fau//nrdG//metY//metC//cusR//
UhpA	murP//
UidR	bioD//ilvC//cadB//katE//
UlaR	gspH//ulaF//serA//gntX//nfuA//pykF//yhbS//
UvrY	cheW//yafO//hybC//yccJ//lsrC//
UxuR	fliS//pflB//ybbW//rimK//hybF//hybF//fhuB//deoA//ykgM//
XapR	frc//fadI//
XylR	hycI//ybhL//ppc//recD//ydhV//rpoH//frdA//
YdeO	mlc//frdD//yfaE//emrA//ascB//rbsA//psiE//allS//polA//gabT//hokD//psiE//leuA//srlE//aceE//deoD//aldA//ftsZ//glyA//dsbA//metN//
YedW	dgkA//fixB//gcvH//mgtA//moeB//gatC//moeB//ymgC//yidQ//gltK//nuoB//rbfA//
YefM	lsrF//hcaC//
YefM-YoeB	fecD//cyoE//
YehT	appY//
YeiL	nuoI//
YiaJ	pheS//ulaA//yiaK//nuoG//puuA//paaJ//yiaO//ydiV//sucB//fliS//
YjjQ	wcaA//araB//sdhA//hybE//glcF//norW//uxuR//nrfA//argH//nrdI//
YpdB	hemH//
YqhC	crl//cadA//
YqjI	purL//puuA//
ZntR	csgD//
ZraR	mhpA//ybjC//puuP//
Zur	glpF//manZ//ydeM//hypC//yhbS//glpD//
