#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fecA//ymgC//
GadW	ccmA//citF//yaiA//icd//micF//mhpB//trpE//gspK//yiaO//tisB//ttdB//htpG//glnK//yneM//argD//
GadX	mglA//ompW//feaR//ydfX//mcbA//ygeA//nikD//rutA//galM//glk//recB//yiaK//rhaB//leuA//csrC//leuA//agaV//gatA//glnA//osmC//idnK//dinI//sufS//glcC//fliQ//ybhG//napD//waaH//nimT//
GalR	hisQ//nhaA//nirC//mhpB//mhpD//hycA//rprA//glpT//malP//manZ//
GalS	glmU//hyfD//gadC//yoaC//phr//znuC//ybdN//hypE//mgrB//appY//
GatR	phoU//rffC//ycgR//nrdI//nfsB//ldtB//
GcvA	ymgC//fdnG//emrA//ilvY//yciW//
GlcC	araB//phoR//mazE//nanS//omrB//kdpA//wcaB//
GlpR	fepA//zraS//nuoJ//fadE//hybD//dgcZ//fabG//uhpT//cho//
GlrR	cytR//ribA//garL//trpD//iscA//
GntR	gabP//poxB//fhuF//cheA//glnD//pspA//ydeM//nanM//ybjC//sdhA//ydfX//sgbE//
GutM	alaC//betI//phoA//pitB//ybbY//ynfF//tam//
GutR	ybjC//bglJ//nagE//metL//ccmG//glnA//alsE//
HU	yhdZ//gadC//purL//fadE//cadC//wcaB//dinD//ftsK//gcvB//
HcaR	rdoA//nuoF//rhaS//glgA//asr//hcp//
HdfR	rnpB//malK//citD//rpsO//zraS//
HigA	ulaC//entB//
HigB-HigA	xapB//sbcC//
HipAB	norR//melB//mngR//nrdH//garR//
HipB	rbsK//ompW//epd//ddpX//purH//uhpT//
HyfR	hisM//fiu//glnQ//chbA//betA//argE//fabB//cdaR//paaJ//dapB//gadX//carA//
HypT	trpR//ycjG//lacY//napB//yhhY//ssuE//hipB//fadB//mipA//fadJ//bdcA//allB//fadI//
IclR	alkB//rffC//ynbB//rnlB//
IdnR	rstA//ldtC//dinQ//ssuE//nac//napB//nikB//
IlvY	gspO//marB//
IscR	feoB//mlc//uspA//mgtA//idnK//ubiX//cysE//phnO//bluF//gatB//appX//malK//fabZ//frdD//frdB//ydfD//glnG//exuR//sucA//glk//obgE//yafO//ulaF//flgG//hokE//chiP//flgH//glpT//dgcZ//codB//gudD//malI//
KdgR	fruB//hybO//
KdpE	glcB//cheA//trpA//ybhS//
LacI	alsC//flgG//cueO//
LeuO	mscM//entA//citG//ycjY//allC//rnpB//agaB//idnR//lhgO//mgrB//cra//yegZ//nikB//pspF//uvrA//yfbR//nikR//fnr//norR//hyaE//
LexA	gatZ//nrdI//lsrR//yiaK//alsB//bdcA//cynS//dkgB//creA//dctR//gor//fucP//gltJ//nemR//betT//caiC//cas1//mgtA//sgrR//hyaC//yccT//garP//aroL//glnK//pepA//fdnG//yeiB//sufD//gspD//yjjZ//citD//hycC//melB//metL//feaR//udp//dhaK//mazG//yciF//csgF//yfdX//nfsB//crr//argF//icd//allA//gyrA//narI//cueO//ygbK//tonB//osmC//mipA//hycD//ycjY//yhiD//ftsA//rhaD//entF//
LldR	nhaR//ybbY//ecpR//
LrhA	lysC//arsB//pgaC//pstS//
LsrR	malX//rplU//nupC//agaS//glmS//hycE//nrdA//flgB//ddpC//
LysR	glcA//allC//
MalI	rpsU//hycH//paaZ//
MalT	garL//ugpA//bglJ//pspE//asr//cysA//yhdZ//fliI//malT//betI//
MarA	alkB//omrA//idnO//csgF//hypB//gspH//xylG//paaE//hybF//gyrA//gspK//yqjH//wzxE//xylA//cdaR//rclC//hisM//slyB//rclC//csgA//aslB//wza//ulaG//dpiA//fabH//uhpT//uxaB//yccA//dcuA//ybhG//fruA//nirC//ydjM//phnM//gspD//nupC//cysB//cysP//
MarR	rffG//xylA//ycgR//
MatA	entD//fhuE//gyrA//pgaC//oppF//argR//ppiA//mtr//
MazE	uxuA//obgE//argD//
MazE-MazF	dcuB//nrfD//yciW//
McbR	rybB//ynfH//ssrS//nuoB//
MelR	fecI//oppD//gspL//
MetJ	qseB//argR//ung//sroD//cyoA//ydeP//rffG//argD//csgF//mqsA//sbmC//ssuC//purN//rarA//ccmH//
MetR	intQ//nrdH//glnK//nuoC//fliM//
MhpR	glk//rybA//cynT//yfdE//dapB//entF//
Mlc	aslB//paaF//gspE//tnaC//tdcD//yiiS//tehA//argF//gloA//feaB//
MlrA	fabI//tktB//pyrC//malG//yjbE//pspG//betA//napB//flhB//higA//
MngR	ynbB//ygiA//ynfH//
MntR	uxuB//nikA//dkgB//cpxA//mngR//
ModE	allA//uxuB//yccT//nrdE//flhE//gcvA//agaA//cynS//melR//metA//carA//ydhY//sodB//phoH//fhuD//qseC//uspA//uxaB//galK//rbsA//alsC//gadX//pheS//gatC//malF//cydD//creD//glpX//hybC//eno//yhcH//bdm//mntS//puuP//hcaR//wecE//caiE//ybiT//flgJ//rffM//ulaE//oppC//gor//ddpF//aceA//paaH//
MprA	argP//glnA//ccmD//recB//ynfG//garR//
MqsA	ppiA//csgC//ulaD//glnA//uvrY//evgA//cyoB//crp//
MraZ	fecI//purL//nlpA//mtlA//rutD//cysJ//bhsA//mdtD//hflD//putA//uvrC//rpoD//yoeB//uxaA//purK//mepH//dcuR//
MtlR	recC//ydbD//rprA//
MurR	galR//nrfG//nrdF//
Nac	flgM//ydeM//glgB//fhuB//rclA//manZ//nohA//rpmI//obgE//glnD//cysP//ynfG//sbcD//csgF//galM//yfiB//lsrG//uvrC//torC//malK//ydeN//
NadR	glpB//umuC//cysW//phnD//
NagC	hemL//alsC//tsgA//yhjA//waaH//dmsD//nrfA//argF//mlrA//ygiZ//rnlB//napD//fliF//nikR//agaA//sbmA//artQ//tdcF//fldB//mngA//crl//osmY//fepD//glpF//btuB//cvpA//evgA//tsx//sbcC//fabH//betI//mcbA//purL//ydhX//metB//rseA//mtlD//
NanR	ppdA//gfcA//fliN//argI//hycG//fhlA//phoB//idnR//fabB//lhgO//cusF//
NarL	galM//ydcS//oppD//murQ//bglJ//gcvT//ybhL//srlE//uxaB//nanS//rseC//sbmA//astB//psd//nanE//hyfB//fabI//creB//fadR//agaC//sufC//manY//malY//xylB//rpsO//nirC//hslJ//pspD//yfaE//yafO//ynfK//fabA//ydhW//fruB//mnmG//ccmB//rstA//fliQ//mgtA//treR//gadB//ybaT//yjeV//csgD//chbC//aldA//puuE//uxuB//mtr//araB//cusC//sdhD//hcaD//glyA//rhaR//yidL//astA//uspE//rclC//mhpE//cysB//putA//decR//lsrD//yiaJ//agaB//gatD//paaH//borD//frdA//ascB//phr//ycgR//appC//nanE//aceB//accB//alkB//lysP//cpxQ//metC//nupC//prs//glk//fecC//rbsB//flgD//ecpA//ybaT//rybB//thiP//cysK//grxA//emrB//paaE//btuB//qseB//tauA//mipA//yciE//phnE_1//insD//treC//malZ//lgoR//aroG//csgC//glcB//uxuA//mcbA//wcaB//edd//ogt//ybdN//argI//ydjM//agaI//phnH//fliK//dcuS//aroL//infB//alkB//
NarP	exuR//nikC//wzxE//aroG//ssuA//yqhD//fucO//fliS//lrhA//evgA//polB//bdm//fepA//rnpB//dctR//nrfD//rpiB//nikC//paaK//mgtL//citG//sucD//dcuS//hha//purE//uidA//astE//rpsU//murD//argA//yeiL//bdcA//fadI//folA//fucA//srlB//zinT//ynfH//potF//lysC//dinQ//modA//nagE//phoB//guaA//ppc//ugpB//narH//phnN//rclA//
NemR	manY//creC//yedX//
NhaR	phoA//fliS//rimP//tehA//ttdR//osmY//yiaK//
NikR	yecT//pstA//nikD//gcvA//ulaA//pncB//
NimR	manY//nirC//
NorR	tauA//cheW//ptrA//
NrdR	ulaG//uxaC//paaG//emrK//oppD//fliI//atoD//ahpC//cyoE//
NsrR	malY//acrA//metB//nikE//fepD//gdhA//sgrS//nhaA//ybhS//trpD//ubiX//alsA//fliN//qseC//chbB//napG//cydC//relA//iclR//allC//dapB//micF//yedX//accC//ygiC//baeS//potG//artJ//cysK//tdcC//tsx//potG//frdC//fldB//gadC//nuoM//glnG//ykgM//fecR//cynX//metJ//udp//crl//malS//ftnB//epd//rseB//paaF//purL//rybA//gadF//betT//cusR//ftsZ//evgS//malM//carA//araF//fliI//accB//manX//idnK//hybE//wecE//chiP//fau//metA//ssb//purM//lsrC//yciE//speA//fadI//fes//ydhT//thrS//feoB//dcuA//fiu//idnT//lysO//xylB//alsC//
NtrC	garD//mdtE//ykgO//paaI//dsbG//inaA//gntX//waaZ//accD//betA//yqjI//flhB//zwf//soxS//alsE//cadA//pncB//fruB//udp//hyfH//sutR//yjiY//yhdY//nanK//nfsB//hcp//rbsC//yhjC//yaiA//rpsO//arsR//garK//csgC//ynjI//pgi//appB//garK//rpiB//dmsD//putA//gadY//acrB//flgC//nhaA//ccmG//yoeB//yqjH//puuR//ynfH//
OmpR	garR//sufA//cysB//dgcC//ppsA//lsrF//dnaA//alsA//wzyE//ydhX//fixX//tyrR//relA//mcbA//glpC//gatB//phnF//cysH//bglB//qseB//ybjG//
OxyR	wcaB//bhsA//sgbH//nanT//lysA//trpC//rimP//oppF//molR_1//fadL//intQ//tauD//mipA//ptsG//fbaB//infC//gadC//hycA//fabB//nuoN//aidB//sutR//add//puuB//bioB//ugpC//torD//csgB//purN//fliD//phoA//slyB//rstB//flgK//
PaaX	moeA//flgH//gadX//fecD//ydeO//nagA//aroH//paaJ//paaF//murR//oxyR//glgX//dinB//soxS//
PdeL	murF//
PdhR	cysD//fadD//yoaC//ssuD//rbsB//puuR//hipB//glcA//yeaE//alkB//nemA//pncB//cysE//emrA//soxS//paaZ//csgG//nrdG//dps//aroM//fadM//fliJ//nagA//yfiR//oxc//kdpB//rpoS//ymiA//dcuB//hyfF//hycI//norW//gspO//iscR//ada//lon//ycgZ//mhpF//uxaB//nrfD//fecD//
PepA	yeiB//hflD//puuR//
PgrR	relB//bioA//codA//ariR//alkA//sufE//recC//prpE//
PhoB	cydA//hokE//exuR//ung//rbfA//cecR//glmS//bioC//ykgO//ycgZ//icd//sbcD//iscS//gspC//talA//bglG//fadI//gcvB//cpxA//hyaF//hyfR//ldtB//pykF//mprA//pyrC//metH//yefM//nanS//gpmA//yhdX//rcnB//glmY//aldA//dpiB//tdcG//infC//metQ//hcaR//dsbG//rutD//glnP//pheS//potH//pgi//icd//flgJ//ybfE//pqiB//phoR//agaB//cynT//aroG//hisM//dhaR//iscR//metJ//gatB//mqsA//tdcG//tnaC//
PhoP	citX//ycjF//emrY//pqiA//glpA//napD//gspJ//ycjF//ynfF//ygeH//appC//fliS//feoB//entD//galR//mdh//folE//idnT//fliA//baeR//creC//rpiR//fabD//tsx//zraR//serA//gltK//dkgB//polB//tonB//pspF//metJ//yafP//ybaS//agaS//hyaC//allA//zntA//uidA//qseC//btuB//frdD//nirB//sbmC//deoB//glnH//gntK//gabD//ydcT//yedX//fecC//ykgM//malG//slp//ybjG//mhpT//
PrpR	malX//fucK//rutC//allA//fldB//
PspF	obgE//fixB//yrbL//uhpT//prpB//gatA//hybC//
PurR	sodB//uvrY//murE//codA//rstA//rutA//iclR//pgaD//accA//rpsO//fepB//grxA//hcaE//citD//nanK//nrdF//fliR//betT//eda//hisP//norW//argB//putP//nrdH//paaD//tdcF//pyrC//ydcU//nuoH//gabD//rbsC//
PutA	pflB//katG//
PuuR	acrZ//gatY//garL//polA//amn//ybhF//glnD//
QseB	fliN//rhaD//malM//tyrR//
RbsR	recD//hha//fliD//yneM//dmsC//ydfN//soxR//cyoC//cysJ//
RcdA	ugpA//mglB//ccmF//araA//lsrA//ccmE//nanM//hycH//ptrA//
RclR	cytR//dhaR//argC//
RcnR	paaJ//cusF//ymgC//
RcsAB	creD//uvrB//htpG//pgi//puuP//uidA//fliN//insD//crl//rdoA//baeS//astA//purC//mdh//dsbG//grxA//
RcsB	cusF//rutE//rffG//sucB//hybD//ccmE//ymjC//lysP//mpl//hisM//accB//fruK//rutA//hisQ//uidC//yeiL//glcC//ybaS//polA//yqhD//ppiD//tbpA//kbp//fliN//gatZ//
RcsB-BglJ	ymjD//uidC//alaC//nrfG//entA//fucI//yfdX//entB//flgG//aceF//ahpF//phnL//alaS//nikA//ycjX//narG//
RelB	appC//borD//dicB//
RelB-RelE	allS//napC//fbaB//
RhaR	hcr//mraZ//
RhaS	dcuS//ygbK//sutR//entB//pspA//atoE//
Rob	yeiB//mdtA//osmY//ung//ddpC//ulaE//fepA//pyrC//mhpA//ydbK//mgrR//rstA//murC//betT//pgaB//galS//flhB//cyoD//artM//asr//dsbG//mprA//nanE//hisJ//glnB//hcaE//
RstA	lsrA//osmB//fes//ahpF//nuoC//appA//nuoF//tcyJ//dgkA//glmY//
RtcR	phnM//tonB//
RutR	ulaE//dhaR//recX//tdcD//ynfF//nrdI//ybaS//gspI//csrC//hemH//cusS//araE//gadB//wzyE//bglG//fabI//ihfA//
SdiA	ynbC//malS//srlB//tpiA//flgE//
SgrR	fucI//dinG//cdd//aslB//fucP//purE//csgA//flgI//argH//
SlyA	astB//
SoxR	agaW//hycF//oppD//
SoxS	flhB//bdm//flgM//yhbE//ddlB//narK//malZ//paaY//lsrD//rybB//glnK//flgH//ftsZ//torD//allD//alsC//fadI//glmU//ilvY//yiaK//dhaM//gatY//hycF//fliS//ibaG//yciF//slp//atoE//pheT//fabH//hybO//ulaE//uidB//fliD//yqaE//artP//wecC//bioA//feaB//cynX//
StpA	prpR//cueO//flgA//aceF//hokE//fliS//pheM//
SutR	nimT//sroA//glpC//araH//uxaA//
TdcA	zwf//appB//yiaK//accD//tauD//artI//intQ//
TdcR	mioC//malI//sucA//yfaE//yhjX//mpaA//sdhC//
TorR	glnK//hyfD//lysC//glmS//gyrA//yciX//ynfE//metF//yciW//chbG//ybhR//rpsU//
TreR	yeaG//dcuS//
TrpR	hypB//chbR//gfcA//sra//napA//zinT//tehA//pgaD//fadJ//ydeM//casD//bamE//
TyrR	norV//srlD//ddpA//glk//xylR//dpiB//astC//cpxA//fau//ada//entD//betT//
UhpA	fabG//
UidR	dapB//fiu//flgG//nimR//
UlaR	hybC//yjbG//dkgA//acrZ//gfcA//gntP//csgB//
UvrY	garP//luxS//fliD//cvpA//ulaE//
UxuR	exuT//fdhF//ybdN//hdeB//frdA//yiaO//nanT//ydhV//araJ//
XapR	fliR//nikR//
XylR	arsB//nhaR//manZ//fabI//ygeA//fliP//artM//
YdeO	nuoI//glxR//rybB//cecR//tonB//ugpE//sucD//fhuC//symE//dicC//evgS//glcA//ybhS//malY//flgG//purK//modA//cra//dgcZ//mzrA//osmC//
YedW	relB//moaC//truB//sufS//ynbA//rpmA//sgbH//flgJ//malG//ugpE//argD//trpB//
YefM	ecpA//hcaB//
YefM-YoeB	fhuC//uxuA//
YehT	nusA//
YeiL	rffG//
YiaJ	gltF//modA//ftsI//pncB//ybhG//nemA//znuC//pdhR//pgaA//glnB//
YjjQ	fepA//fliF//fadH//tauA//rbsA//fliP//cynX//bolA//accB//atoD//
YpdB	artP//
YqhC	rbsD//qseC//
YqjI	dnaN//dmsC//
ZntR	adiA//
ZraR	yiaN//caiF//chbF//
Zur	sucD//rutG//ydeM//galP//recC//iraM//
