#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	adiA//paaA//
Fur	rffH//ycgR//asnB//higB//chbC//yjbE//nikB//glnA//fadE//mdh//pykF//hemL//cecR//pgpC//dkgA//metC//degP//paaG//yfdX//recF//hybE//yhiM//hcaF//umuC//yjjQ//uspA//ilvY//gudD//ydhV//purR//hlyE//mhpB//lsrA//dsbG//yedX//glpF//sufS//dctA//ybaT//safA//yhdZ//dmsB//ulaC//gatB//flu//glgA//moaE//gudX//hycD//cra//ydbD//yjhC//aslB//xylG//trpC//slt//ompN//nrfG//ydcU//codB//ybbW//cyoC//dctA//dsbC//sgrT//ydfW//uidB//lacY//wzzE//ygbA//modB//leuB//ssuE//cra//fliS//idnO//malS//ulaB//mpaA//leuO//envC//exuT//ygiZ//hyfF//lldP//nuoM//sra//fliH//ykgO//gcvP//dapD//yibQ//btuB//hyfC//uvrB//frdB//cysI//potI//relE//baeS//narG//malP//cysW//csgE//artI//yhbS//flhD//purA//yjbF//ymgA//iraP//ldtB//rnlA//wecE//gadY//ygiZ//phoB//fabZ//cdd//nrdA//nanA//citD//tonB//flgI//hyaE//rseB//hydN//mglA//nrfA//baeS//
GadE	gpmA//hybB//csgE//agaB//ybhS//ydfX//nfsA//sdhB//rpoS//mraZ//hyfD//glcF//sodA//narJ//htpG//paaH//murP//metE//mqsR//hcr//gltI//cysN//chbR//ssuA//glpK//higB//ydbK//adiC//dtpA//
GadE-RcsB	chiP//nfsA//speB//argP//zwf//araA//lolA//purF//malG//
GadW	nfuA//melB//ydhX//tdcE//pheS//cydD//tcyP//puuB//pgm//hycB//hypF//artM//fepC//ydbK//bglF//
GadX	pqiA//mqsA//nemR//fliH//gabT//waaH//rnlB//glcG//rfe//dinQ//sufE//gor//insD//yecR//fadJ//cysG//sufE//glnK//waaY//sucB//glyA//nagE//ugpA//leuO//ldtB//ugpQ//gutM//gabT//xapB//
GalR	mtlR//rutG//puuR//hycC//bglB//entF//phnI//malI//purR//sufS//
GalS	yfiR//idnD//cdaR//polA//lolA//ybiT//cheW//malM//fdhF//pgaA//
GatR	cyoE//phoA//dmsD//yciG//mltF//metA//
GcvA	mdh//rpoE//hypA//fepC//ugpA//
GlcC	sufS//tam//lysP//agaI//cbl//umuD//fabD//
GlpR	ynfH//frdC//puuB//feoB//lsrG//srlR//chbB//deoA//rpoE//
GlrR	gatA//gspI//dinI//focA//napD//
GntR	sroC//fucU//astE//fliH//uxaA//gadB//ubiA//kbp//casC//rhaA//hisQ//oxc//
GutM	yjhB//rclC//qseB//fadR//citX//entD//metL//
GutR	phoR//ssb//metL//accD//yqhG//pspF//inaA//
HU	asnA//fucR//gcvH//ydbK//yiaK//paaX//decR//purD//phoB//
HcaR	relB//ynjI//argB//ydiV//rhaD//higA//
HdfR	uhpT//aceA//dacC//ppc//ttdT//
HigA	ybfE//ftsL//
HigB-HigA	dsdX//nuoE//
HipAB	recA//fbaA//caiB//cysG//ldtC//
HipB	gadX//csrC//fadA//casD//lysR//leuC//
HyfR	obgE//ftnB//tdcF//trpL//mhpA//fhuD//srlB//ddpC//pstA//slt//cpxP//hybF//
HypT	yfiR//sbcC//allD//uidR//rybB//murF//malF//ydfD//flhB//crp//fldB//mngA//uvrC//
IclR	narG//erpA//lldD//glgB//
IdnR	rpiR//cysU//ybfN//rcnA//creC//zwf//norW//
IlvY	astC//tdcG//
IscR	cusS//yhdX//fruB//aspC//hipA//xylG//ynbA//nagA//rcnR//ruvB//ppsA//yoaC//nuoJ//lolA//cueO//mhpD//pgaD//ydhV//gatY//micF//sgbH//fepC//mglB//tauA//hypE//amtB//rutR//fhuB//phnO//fliT//potI//fabB//
KdgR	yjhC//dpiA//
KdpE	napA//recB//cysW//rseB//
LacI	mscM//fadR//sbmC//
LeuO	leuO//citE//bioA//dhaK//hyaA//ulaA//nirB//melB//fabG//rnlB//dnaG//acrD//nagB//yiaN//yncE//dsdX//aslB//galR//purB//nuoH//
LexA	gadW//pdeL//stpA//yhbE//phoE//hcaD//deoC//nhaR//iscR//asnA//ymgC//fliD//aslB//aroL//ydfN//cynS//hycD//yebG//ompN//csgG//gcl//yhdY//yegH//add//cysG//fabI//adiA//wecB//nanA//nuoI//ybhS//fepB//pspB//alsE//ybaT//hyaB//ybaT//gadY//insD//ugpE//rbsD//pyrC//acnA//ftsI//entH//moaE//fadM//omrB//fau//ynfG//glcG//tomB//tnaC//ybjC//zraS//aroP//entH//yiaO//omrA//
LldR	thiP//hycA//ilvY//
LrhA	ribA//atoE//entS//galP//
LsrR	glpF//psiF//uxaC//cusR//metL//cho//nuoK//feaB//phr//
LysR	rutF//dhaR//
MalI	hipB//araH//ybhG//
MalT	fepE//pspG//psiE//yafO//fadI//aroG//accA//cusC//nrfE//dpiB//
MarA	purM//pagP//ybhR//insK//nhaR//deoB//gadW//alaC//symE//nrdF//pdeL//torD//phr//agaR//rhaS//gntT//napG//trpD//ftsA//pgk//yeaG//speB//accC//hyfR//fepA//ydcT//treC//caiA//higB//ygiB//ybfE//deoB//hypC//gutM//dapB//phnI//ycjX//napC//
MarR	rutR//lpxA//sutR//
MatA	yjbG//ftnA//lamB//xylB//ydcT//mazE//betB//alsB//
MazE	soxR//pdeL//xylH//
MazE-MazF	ydhV//cyoD//allD//
McbR	ycjG//cpxQ//insD//ynbA//
MelR	lexA//ydfH//allB//
MetJ	moaD//fldA//cadC//ydfX//hydN//fhuB//rpsU//recC//ydhX//casB//chbA//murC//cydC//yfiB//ftsZ//
MetR	malG//acrZ//agaC//fimB//hisP//
MhpR	ubiC//sroA//dinF//carA//lsrB//rpmI//
Mlc	tolC//ruvA//soxR//flgJ//hisJ//napD//metB//yhcH//tsgA//bamE//
MlrA	ccmG//fldA//fixC//cheA//bglF//paaH//emrA//higB//sufA//ugpA//
MngR	ynfG//hcaF//dinG//
MntR	hipA//wzxE//lsrC//garK//treC//
ModE	yecR//psiE//xapA//argA//ssuD//cdaR//gcvH//malI//bioB//sufC//yebG//idnT//guaA//sgbU//ydfW//ppdB//ynbD//nanC//puuP//lacA//hyfI//melR//ybjC//recA//alsC//kbp//cysE//ynfF//asnA//fldB//dcuR//rob//deoB//ascB//narX//cysM//ybhS//rpmI//dsdA//norV//ygdB//insD//nikR//mepH//phnH//fabH//
MprA	ccmE//pspA//yeaR//paaG//csgB//phoH//
MqsA	grcA//dps//btuB//fecD//tonB//ftsQ//ymgA//cysM//
MraZ	ycgR//ydcU//fabG//gspD//gudD//uhpT//frc//hypB//gspJ//pdhR//oppA//tadA//yjjQ//mdtC//agaR//sdhA//motA//
MtlR	rpsO//uxuB//aldA//
MurR	tbpA//yjjQ//nuoE//
Nac	phnE_1//hisP//xapB//gadA//patA//lsrK//modB//rseB//aidB//mscM//nadA//marR//mglC//mipA//paaG//glyA//ygdB//dps//araA//ppiD//ftsL//
NadR	gyrA//torA//cusS//hokD//
NagC	ybhS//motA//dmsA//glcD//rcnR//pgaA//pstS//pnuC//tyrB//ychF//katG//gltK//asnA//puuA//flgK//deoB//pepA//fdhF//rhaD//dinQ//artJ//nuoA//cysU//dmsD//edd//cspI//ccmA//gadF//phnI//yhdY//tynA//gadE//sgbE//napA//ascB//dps//nrdI//
NanR	purN//aceB//ybjN//nrdA//relA//oppC//rclC//fadI//fliC//pspC//ygbA//
NarL	yqjA//eno//alkA//sdhD//lhgO//hycB//mtlA//fruA//metN//yjjZ//lysR//tauB//wecB//hyfC//leuL//dinG//gspI//nuoN//trpC//ssrS//ycgZ//frc//metR//ddpX//sdhB//ybdZ//ybhL//flgK//focB//mdtC//ahpF//sbmC//ybjG//uhpT//dnaG//yciF//mdtD//fucI//symE//srlR//aldA//glk//lpxC//argO//truB//serA//fixC//glcC//gadA//symE//aceK//pdeR//leuD//treR//ybbY//casC//allC//hdeA//artJ//argE//murR//trpD//xylA//flgF//puuE//metF//ydfE//katG//metH//nuoG//yjbE//yiaL//wzyE//dinF//ftnA//gudX//fau//fliN//lacA//caiF//tonB//ftsW//ydfW//chbB//sbmA//sufD//alsE//fucA//rybA//yiaL//ydcU//dkgA//yoaG//argD//mhpC//tynA//glcG//paaB//norR//nrfB//patA//rcnA//eno//hybB//isrC//ilvY//ddpX//fliI//agaV//hycI//flgL//dkgB//yccA//fnr//dkgB//rhaS//yqjI//nemA//glnQ//yfaE//phnG//cyoC//rseA//
NarP	emrA//hypD//galP//murC//uidA//aroP//potH//melB//nikC//infB//pgpC//lpd//rpiB//rffG//leuO//ung//glcA//ydiU//yiaL//trpA//gudX//glpB//nfo//lon//fliA//pgm//dmsB//gadB//leuD//ddpC//glpT//rnlA//dinG//tdcB//dicB//hypE//ccmD//alaC//speB//cynR//citD//cusS//cyoB//malE//oxyR//entD//ahpF//hypA//zraP//ydeN//
NemR	ascB//phnH//rcsA//
NhaR	sgbH//malT//metI//fecA//purB//phnC//sroC//
NikR	hyaC//wza//wzc//glnP//sbcD//lysR//
NimR	mdtD//mraY//
NorR	agaB//ymgA//pstC//
NrdR	gadA//galM//dacC//yjbG//kbaY//fucO//bglB//rhaS//leuO//
NsrR	yjbE//hha//argD//fliS//pdeL//yiaO//tauC//rffT//fepA//sucB//pgaB//wecE//rutF//ruvB//mtlR//rclC//qseC//emrY//aldA//nemR//csgB//flgF//purH//yqhG//xapA//potH//rseC//gspD//caiC//galR//recD//hycB//hemH//hyfD//xylH//ftsI//ccmD//yaiA//evgS//focB//mgrR//entB//yeiB//ytfE//dsrA//deoA//dps//gadF//osmC//hcaC//fabH//iraM//narL//yccA//glmS//ppdA//cyoE//higA//cynX//gntX//nrdG//leuO//sutR//leuD//hcaR//sroA//mltF//sgbH//ydcT//ycgZ//hokE//phoU//ybbY//pgaB//gutQ//phnG//yhdW//cysW//bglG//cynR//kdpA//wecC//nrdF//
NtrC	citD//tauB//galP//aroG//hybD//fabB//ecnB//gabD//metY//glcE//phnI//tnaA//caiB//gyrA//ybbW//grcA//lsrR//torD//flhC//ygiA//alsA//recD//yqhD//nuoB//alkB//add//nimR//flhC//nuoB//narG//pyrD//ydfH//zwf//uidA//idnT//nupG//hybA//yjiY//argC//tfaQ//ftsL//ynbD//tdcF//znuC//fixC//emrK//arsR//glpF//hemH//
OmpR	tfaQ//trpE//recN//wzyE//rprA//ydfD//fnr//rstB//grxA//alsC//mltF//fimB//tauD//dmsB//uxuA//purF//mdtF//mdh//degP//agaB//hlyE//
OxyR	narK//dhaK//yafP//nagB//stpA//ulaA//znuA//gutM//gpmA//paaI//idnK//caiF//grxA//cpxA//yaiA//lsrD//deoB//asnA//fliP//yhjA//rcnB//sbmC//evgA//gatZ//ppsA//lsrD//fimE//hha//gpmM//grxA//paaF//garL//symE//nhaR//
PaaX	dinJ//garR//infC//metJ//yafP//phnC//phnF//yhbE//ydiU//iraM//napF//yccJ//yafP//borD//
PdeL	glcG//
PdhR	metB//entS//fhuD//yciF//dgcZ//agaV//motA//yafP//argI//nanM//pspB//dsbG//uxaA//ugpA//murI//fliL//ygbA//ygeH//csgC//relE//bioA//hypA//allC//dsbG//ftnB//chbG//prpE//tauD//paaY//nuoB//gutQ//glnG//glyA//flgE//araJ//rbsC//potH//ssrS//pstB//astC//kbaZ//
PepA	mgrB//gdhA//borD//
PgrR	hypE//astA//rbsB//mnmG//aceF//nrfG//entC//ymgC//
PhoB	rpoD//dnaG//yqjI//cusC//thiP//yoeB//iscU//purF//gcvB//oppF//alaC//dkgA//rtcA//bhsA//insK//ycjF//gatC//mhpA//sroA//modA//agaW//ssuC//paaK//hyaF//spy//flgB//norV//lolA//cysC//xylR//lacA//dgcZ//gspI//hybF//soxR//truB//glpB//ydfW//yecT//hyaD//fadM//nrdB//ppdB//rutF//yecR//hycD//asnB//recF//kdpB//yidL//yiaN//sroD//cueO//fhuC//dnaN//mhpE//psiF//yncE//bluF//alkA//
PhoP	yjhC//hycI//hyaA//atoD//emrA//waaY//fliO//chbG//casA//tdcD//dcuS//lacZ//yiaM//fadI//cysJ//lolA//argR//gadX//rimP//oppB//grxA//exuT//umpH//hha//sroA//leuA//dpiA//glcG//erpA//seqA//waaY//sgrS//nmpC//recC//srlE//fepA//casC//citG//acnB//yjjZ//dkgA//nagE//rbsK//nrfB//sufE//lsrF//cueO//recB//fliT//ccmF//hypC//ibaG//ptsI//sgrS//recD//paaG//
PrpR	pstA//citC//rseB//pgaD//fhuA//
PspF	feoB//hokE//fnr//fadM//yjbE//omrB//mhpB//
PurR	nikC//cas1//rutG//sufE//nimR//ydcV//flgK//insD//ygdB//amtB//bglJ//lamB//dtpA//sodB//degP//recN//uidB//iraP//cas1//casA//potG//sodA//glgA//safA//bluF//dsdA//iscS//purB//yfiB//hycC//rpoH//
PutA	yedX//narI//
PuuR	cvpA//ydfW//polB//epd//narJ//yafQ//uxaB//
QseB	ygiA//rclC//pspC//mgtA//
RbsR	cra//patD//mltF//glmY//rpoD//ddpD//deoB//sucC//pstB//
RcdA	cysM//pgaD//lpd//fruB//uidA//nagE//gdhA//paaI//puuP//
RclR	malM//betA//pstC//
RcnR	cysN//hycI//nanC//
RcsAB	gutQ//dctA//fdnH//astC//cadA//hyfI//ada//phoQ//gapA//nhaR//hyfC//mngA//nusA//hisP//uvrY//murD//
RcsB	pspD//mngR//rclC//dhaL//phnL//mglB//araF//fixB//ebgA//katG//yoeB//appA//nfuA//lrhA//dsrA//nuoM//glnH//dgkA//napF//yncE//appB//dmsC//ssuA//uvrY//fimE//
RcsB-BglJ	rhaR//crp//glmY//napF//zraS//cadC//ompF//fdhF//oppA//ddpB//yfbR//cra//sucB//dctA//rcnA//ppdC//
RelB	hyfJ//metH//gabP//
RelB-RelE	cusS//speA//citF//
RhaR	malI//poxB//
RhaS	flgE//nagC//allB//fucP//sufA//asnB//
Rob	allS//argF//trpD//yafQ//acnB//lldR//grxA//mglA//uvrC//efeU_2//glnG//nirC//purH//fbaB//wzb//oxyR//manX//rybB//ybaS//micF//oxyS//pstA//fliH//yeaH//lrhA//lyxK//
RstA	casC//glnA//hha//phnP//yccA//csgC//rbsA//hybF//erpA//flu//
RtcR	hycI//hflD//
RutR	rybB//feoC//cysN//sdhA//nadA//ddpC//fau//znuC//tdcD//purN//stpA//arsC//hybB//pdhR//phnO//nanT//cas1//
SdiA	mlrA//leuA//sucC//gatZ//tauD//
SgrR	aldA//uidC//hyaF//cpxA//hha//lrhA//ybjC//flgN//ugpA//
SlyA	zraR//
SoxR	tsr//argD//flgC//
SoxS	fliQ//moaD//flgI//creD//araE//mhpA//frdC//cytR//pitB//ppc//emrA//dhaM//murP//wzc//malP//mglC//cueO//aldA//dinJ//mglB//napD//dacC//glpF//paaF//slp//malY//nemR//accB//pspF//insK//metN//appB//fliI//dhaK//pnp//rcsA//mgtL//paaD//evgA//ydhV//
StpA	fpr//gltF//crl//yfiB//dmsC//metA//emrY//
SutR	gspE//hybC//purH//nrdI//fliQ//
TdcA	flgJ//tsr//argT//pgaB//waaY//pheM//ftsA//
TdcR	fucO//codB//hyaC//mglB//yncE//putA//moeA//
TorR	mqsA//rbsD//ydhX//fabH//slp//leuA//slp//yrbL//dgcC//nrfD//ruvA//alsC//
TreR	phnH//ydcV//
TrpR	appX//rutC//recB//nrdE//exbB//phnN//rhaD//dsbA//phnG//ugpC//artM//flgC//
TyrR	ygiC//fecB//gspC//dsbG//rnlB//yiaJ//gltK//ssuA//alsE//araB//sgrS//ykgO//
UhpA	yccJ//
UidR	rybA//nirC//ftsI//nuoL//
UlaR	katG//fau//malY//safA//rclC//sucD//sodB//
UvrY	narL//insD//zraR//aceK//fumB//
UxuR	yhdW//hisM//tdcB//caiB//rutG//cusF//slt//metN//ndh//
XapR	ptsG//hyfC//
XylR	yjhC//ydcT//fliG//ptsH//yiaO//paaH//ftsI//
YdeO	malK//cheA//tauA//argH//phnE_2//ydbD//mtr//recA//wecE//ompN//yhdX//idnR//fadR//trpA//hyfI//ddpF//nuoF//citE//alsB//ppdC//flgF//
YedW	cpxP//crp//glnG//nanE//yfdE//gatZ//insD//glpK//gltL//nanK//argF//sdhD//
YefM	potG//dhaR//
YefM-YoeB	xylR//argG//
YehT	tehB//
YeiL	recN//
YiaJ	kbaY//relB//ybdN//fes//nrfD//rhaB//sgbU//cysW//fliZ//rnpB//
YjjQ	amn//symE//lsrR//sroA//zraS//sufB//mhpD//nac//cusR//metE//
YpdB	gadF//
YqhC	wecE//ymiA//
YqjI	gcvH//trpB//
ZntR	yafO//
ZraR	chbG//moaB//araE//
Zur	pepD//argG//epd//oxc//yaiW//kdpF//
