#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	rnlB//yegZ//
CaiF	cysD//kdpF//tnaB//rseB//yiaK//ldtD//dinF//rutE//yqjA//fimB//
Cbl	malG//mnmG//ndh//exbD//tbpA//zinT//ssuA//ydhU//moaC//
CdaR	ddpD//yjeV//napB//ydhX//dinJ//relE//phoH//gspM//argC//acrZ//
CecR	ydiU//rffM//phoP//dgkA//leuA//
ChbR	feoA//omrA//entC//dhaL//yhdX//zinT//
ComR	hokE//
CpxR	ompT//ssuD//phnK//phnD//dicB//araF//iscU//dgcZ//fucP//ldtC//pgaB//malG//yciX//gcvH//mhpT//gatY//cydD//dgcC//soxS//glk//recB//aroF//ygeA//rplT//sroC//copA//rffT//tsgA//feaR//yjjQ//ygeA//allD//yqhD//emrY//gutQ//sgbU//pspB//ykgO//fliJ//yefM//glgX//agaA//yiaL//fliE//tyrA//rybA//hypA//puuP//araC//treB//rimP//sulA//ttdA//nanA//tpiA//fliM//manZ//galR//modC//rbsD//fepB//glcG//glpF//leuC//mhpC//ompW//hyfR//nuoH//glyA//mtlR//
Cra	treC//ilvY//torA//argB//lsrK//efeU_1//ybbW//yjiY//rcnR//pgk//fadE//yqjI//cusF//phnN//agaS//potG//ynfG//sbmA//fliA//mtlA//napG//flgB//yegZ//sgbH//asnC//ymiA//wzyE//rseA//paaB//ada//psiF//dinJ//nrdI//dhaM//uxaB//phnJ//agaB//metJ//yhiD//flhE//hybE//kdpC//ydeO//znuA//ssuC//paaA//agaB//ydfX//ydhX//yjeV//flhA//dhaR//nuoC//yiaM//hycF//metE//dsrA//mtr//rutD//creC//hycI//uvrY//uxuR//metE//fdhF//phnG//cspI//bamE//aspC//nuoJ//nuoG//cysP//ygbA//nanM//fruK//yciX//sroD//exuR//flhA//
CreB	flgC//yegR//nfsB//purL//cyoE//
CsgD	uspE//polB//paaY//focA//frdA//glcD//ssuD//ybjC//hyfJ//yiaM//glgP//appA//mhpT//hipB//purD//hypC//ndh//rybA//pgpC//asnB//norR//kdpC//narL//spy//dmsD//znuC//rbsA//bioF//
CsiR	entH//srlE//leuD//fixA//tyrA//
CspA	rutD//ppc//
CueR	argI//sdhC//accC//hybD//lysR//xylA//ygdB//
CusR	ydhY//obgE//pspA//paaA//argB//hokD//rbsA//sbmC//sulA//moeB//sucA//yeaD//
CynR	nuoL//allS//ribA//tyrP//
CysB	ycgR//recD//dcuA//lsrR//emrY//cas1//ydeN//adiC//nanE//hyfC//garP//fbaA//ydfX//paaZ//rpoS//fimB//atoE//fimE//ydeM//inaA//ssuA//hdeA//flgC//yidQ//dtpA//cyoC//cysH//rbsR//fepG//cynR//tnaB//hypB//
CytR	grcA//accA//agaD//atoB//gspG//galT//relB//galM//trxC//ddlB//lsrC//mdtA//fucU//
Dan	dapB//acnB//paaG//speA//
DcuR	astD//yhiM//ymjC//yiaO//pheT//fepA//glmS//malP//nikA//
DeoR	cysE//ybbW//yfdE//astA//nrfC//nemR//
DhaR	agaA//ycgR//yeaR//nuoK//
DicA	osmC//exuR//oxc//casA//yjbG//wza//yhjX//dnaN//
DinJ-YafQ	mazE//hycH//xylA//
DnaA	hyfR//nupG//nanK//yafN//allS//malX//cdd//cyaR//fixB//oxc//hokD//ttdT//
DpiA	yhbT//purM//prpC//yebG//dapB//evgS//citC//yncE//bolA//mglC//tnaA//
DsdC	pspA//erpA//rcnR//
EbgR	tonB//glgC//
EnvR	glnH//fecI//
EnvY	sufC//rbsK//
EvgA	cysI//idnO//rffH//lysA//yccT//fliM//soxS//cueO//uvrY//cynR//uspD//gudX//exuT//moeB//accC//folA//yefM//ascB//talA//
ExuR	ynjI//tauA//treR//qseC//asr//ybiT//bluF//glnL//flhB//
FabR	cirA//cyoC//
FadR	ompF//paaI//btuB//chbG//fecD//acrA//hyfC//pnp//cysE//ynfF//dmsD//yiiS//ydhX//lsrB//alsC//caiF//nikC//atoA//cusB//norW//hycF//cvpA//yaiW//
FeaR	relE//ymjC//
FhlA	dkgA//grxA//hha//accB//hyfC//nfo//flgC//rpoD//phoU//nmpC//gabD//lsrC//fimB//yoaC//citX//efeU_1//epd//fecD//ydcV//nupC//rplU//rhaS//torD//ydeM//mdh//pgaC//pnuC//ydeI//exuR//rcnB//
FlhDC	caiE//malI//tnaA//glcB//ppdA//lldR//purE//fabG//malK//cheA//rstB//hipA//ftsQ//chbB//iscR//ybaT//gspI//zinT//lhgO//glpF//acrZ//glyA//fliO//bacA//phnO//mqsR//oppB//ftsK//ppdB//tnaB//gspL//poxB//dinF//mazE//cynT//pykF//btuB//ybbW//chbC//glgB//tyrA//fnr//fecB//truB//fliK//wcaA//nuoE//htpG//trpL//trpC//sbmC//casD//ssrS//pitB//dgkA//gabD//aidB//rutR//efeU_1//fumC//ydbD//caiF//ampC//pdeR//gltF//cysC//iscS//nirD//asnB//chiP//rseB//rnpB//ydjM//ihfA//feoB//yfdE//ecpA//norR//gpmM//eno//lpxD//yrbL//
FliZ	mhpC//cysW//dnaG//cydB//torA//argC//gloA//mpl//psiE//astC//dinI//yccT//setA//tnaC//ompC//fabZ//fecR//rtcA//pykF//mglB//hyfD//
FucR	xapB//allD//iscA//idnT//fruK//napG//arsC//
Fur	mraY//tyrP//phnN//lsrF//skp//zntA//caiF//yfaE//dicC//cydA//paaZ//artJ//rffH//nfsB//glpC//yqaE//mazF//higB//fadI//ygeH//gadB//grxA//lsrK//ftsL//rseA//malS//mntP//pstB//ybjN//sulA//rob//entC//purM//sgrS//rdoA//leuB//yeiL//umuD//higB//nirB//fliF//atoB//rcnB//dpiB//yhdX//yafP//pheS//fbaA//hycG//pnp//aldA//pspE//tdcB//argH//ydhU//ygaC//waaZ//ompW//artM//lsrC//ulaF//flu//dinF//metC//purL//asr//waaY//ccmB//zraS//cusB//garK//paaY//pstS//nikE//rhaR//xylA//wzyE//gcvA//hmp//ompT//sgrT//rcnA//uspA//flgA//lolA//melB//murP//fliA//yecR//metI//fixA//fecR//moeA//potH//glmS//sbcD//puuE//creC//pfkA//rcsA//pspB//fepA//murD//hybA//cdd//narH//treR//gspO//rffG//lsrC//btuB//gspF//hybF//tdcB//uidA//lexA//rbsA//codB//ulaF//hlyE//nrdF//gdhA//ynfF//uvrA//wecE//yegZ//nrfD//tcyP//dhaM//aroG//
GadE	caiD//yafQ//glcC//yjbE//lgoR//puuR//gcvP//nfsB//tsx//ugpB//cpxP//fldB//flhC//fucR//ugpQ//gltJ//idnR//bhsA//dhaL//sucD//znuA//lpxA//fecC//hyfH//ppiA//dcuR//lsrG//dsdA//recC//
GadE-RcsB	eda//betT//nanA//ykiA//cysN//garD//cusS//ppdB//fur//
GadW	rnlA//idnD//pspE//nanM//iclR//hybD//murD//rnlA//glpK//paaC//allD//phr//skp//nhaA//accC//
GadX	malK//dgkA//nikC//dpiA//hycE//dinJ//fliT//rpoE//oppA//sdhA//mltF//rplT//seqA//torC//phnD//gltJ//gspL//cpxA//yeiL//chbA//rclB//pgaA//glxK//glnG//gatZ//pspA//paaD//purC//uvrY//
GalR	moaA//rplT//tdcA//glpC//moaD//rpoS//ygiA//allS//malZ//nirB//
GalS	yebG//ybfN//ybiT//zraP//rhaD//asnC//hypE//napH//garK//tehA//
GatR	ybdZ//exuT//gnd//bhsA//nagA//aceB//
GcvA	yfdX//edd//cyoE//caiT//mazE//
GlcC	hybD//yecR//hdeA//hns//amn//yciX//csgB//
GlpR	murG//emrK//lysO//cdd//csgE//cdaR//folE//araF//nagB//
GlrR	garD//cyoB//dkgB//malT//hycA//
GntR	yedX//flgA//argD//oxyS//hyaF//flgA//dinD//hydN//metE//galK//fliM//chbR//
GutM	argP//hmp//metJ//xapB//lsrB//seqA//nuoM//
GutR	ygbA//fecB//relA//kdpA//flgI//pspE//rutE//
HU	metK//ynjI//asnA//fepD//yfdV//ftnB//fadE//ydbD//glgC//
HcaR	gudP//rhaA//ydhU//ubiX//rybA//ariR//
HdfR	rseC//rutC//garR//grxD//artP//
HigA	phr//glxK//
HigB-HigA	umpH//lysP//
HipAB	rstB//tnaA//evgA//alaS//yaiA//
HipB	yeiB//phnF//waaZ//yhbE//nac//recB//
HyfR	pnp//trpL//sdhD//rdoA//nirD//garL//cdd//rbsK//tbpA//fumC//ilvY//yeaD//
HypT	malE//astD//lacZ//lrhA//murE//marB//evgA//casD//mglC//araB//ebgC//cysJ//metJ//
IclR	frc//malS//gspD//mgtA//
IdnR	ddpD//napB//osmB//potI//osmC//aceK//ada//
IlvY	rplU//nagA//
IscR	cusA//hycB//modA//hyaB//exbB//nikC//fliF//phnK//ldtD//creC//hybB//nimR//fabZ//phnF//bioF//metR//nikB//treR//murE//napG//pyrC//gatC//nrfE//gltK//ygiA//rybB//safA//gutM//fabI//slp//glnK//yciE//
KdgR	mtr//rclB//
KdpE	hypD//rpoH//alkB//mazF//
LacI	mlrA//ariR//psd//
LeuO	aceF//araJ//dinB//paaI//caiF//narX//eno//cysU//uhpT//dgkA//sdhA//fabD//ydbD//gdhA//mngA//fadE//insD//yjjQ//leuD//dnaG//
LexA	xapA//fadD//ulaC//rcnA//cusA//lysC//narK//dacC//yegR//trpD//frdD//idnT//glcC//alaS//ldtD//iraM//glgB//aslB//yeaR//rnpB//ynbA//pspF//moeA//ygiA//gspH//iraM//omrA//nirD//gadF//nuoI//gloA//sucC//yhbT//yccT//lysO//sfsB//malG//rutA//paaG//yeiB//hcaB//yeaD//pheT//wzxE//fliK//mazF//zraR//qseC//ompW//ymjD//adhE//ydhU//rhaR//fiu//zinT//ycjG//alaS//glmY//purE//
LldR	gcvB//fepD//frc//
LrhA	mazG//oppF//patA//gabD//
LsrR	uxuA//insD//iscU//ccmD//yciX//caiF//gabP//ddpB//recB//
LysR	ydhT//nanK//
MalI	yfdX//ybhS//nhaR//
MalT	ugpA//tdcA//flgF//idnR//btuB//mqsR//paaH//ccmF//phnI//osmY//
MarA	srlD//psd//phnN//dkgB//malX//ycjY//glmU//rffM//sufB//fadL//yhjA//uxaB//ycjY//metR//yciF//hyaB//ychF//chbG//lysO//ytfE//ppdA//ygiZ//argT//cysM//leuC//leuA//sbcC//fruB//zinT//rnlB//acnB//hslJ//ydbK//fliK//hcaD//yjbE//yqjH//mazG//
MarR	ompF//dnaA//manY//
MatA	asnB//rpoE//phnM//nac//aspA//evgS//ygiZ//glpA//
MazE	glxK//yhjX//flgN//
MazE-MazF	nrdH//pspB//aroG//
McbR	astA//fabZ//mpl//sgbE//
MelR	cecR//paaC//ubiC//
MetJ	arsB//ycgZ//glgP//ftsZ//yccT//ldtB//tktB//malY//murD//creA//paaD//csgD//hcaB//ccmF//carA//
MetR	slyB//rffG//modB//hybF//ddpD//
MhpR	yfiR//xapA//yjiY//yqjI//lacA//melB//
Mlc	patD//hyfJ//hycB//folA//ydhW//aidB//aspC//crp//kbaZ//bioF//
MlrA	sufD//hyfJ//rseA//nac//fdnG//yfiB//cysN//glgA//cysM//luxS//
MngR	argO//pstA//glmS//
MntR	malT//iclR//zntA//qseC//malY//
ModE	yhhY//ccmE//ftsZ//osmB//rtcB//wzc//pgpC//tbpA//napD//fecA//metL//infC//rffH//fimB//malK//nusA//tdcG//yeiL//rybB//recD//flhC//iscA//insD//purF//carA//ydfE//yjhB//sbmC//gatD//araD//htpG//dgcZ//sutR//rplU//tauD//ygeA//ftsK//creB//paaY//sroC//potF//ybfE//cspD//dinF//ydcU//hyfI//
MprA	fabH//yibQ//yiaO//hycH//znuA//hemH//
MqsA	creD//casD//wecC//phoE//ybiT//entE//hycF//cydA//
MraZ	rstA//adiC//deoD//nfsA//entD//rpmI//melR//treR//gcvB//argI//ydcS//crl//nanE//kdpA//fdnI//hdeB//glnA//
MtlR	ogt//nanE//rutR//
MurR	argG//yaiA//hyaC//
Nac	gltL//mdtC//nirB//speB//ubiA//uidC//mngR//metN//ftsI//rutA//paaX//exuR//skp//rpsO//fadM//safA//rpiR//wcaA//lacZ//dgcN//rdoA//
NadR	pgaB//narI//rnlB//ccmD//
NagC	ygiZ//artM//cynS//ugpC//sutR//pqiA//hybE//ybjG//sroC//cysK//yhdX//glpD//ycgR//rseB//ugpB//fldB//skp//galR//skp//uxaC//napC//intQ//metK//skp//waaY//yecT//ycjX//nfuA//infB//sodA//tsx//gspD//ada//yciF//stpA//bhsA//hycG//
NanR	metJ//norW//pdhR//lsrK//astA//araJ//aslB//stpA//dtpA//uvrY//mntP//
NarL	yqhD//flgF//nhaR//grxA//fliL//dsbA//ydeN//ynfH//ykgO//nikA//ttdA//ubiX//aceB//hycD//mtlR//glk//ydiV//leuO//bioB//purK//rhaT//tauC//fadJ//malI//acnA//rffC//tolC//flgA//uvrY//trpA//ymgA//yhbE//narG//entD//psd//sucB//ydhW//phoQ//creD//sufC//degP//chiP//dsdX//uvrA//glmS//dps//ybjN//cysK//yiaL//metC//cpxP//purM//ugpQ//yqjA//nrdG//hypD//fucA//fliT//allD//lldR//amtB//flgM//glpD//acrR//bglF//ymgC//dsdC//ydiV//sufA//ykgO//ulaF//sdhA//cvpA//astB//lrp//molR_1//ahpC//ybhS//fixC//rpiB//fldB//infC//ulaA//uidB//yeiB//potH//lsrC//iraP//putP//ygbK//csrC//rarA//flhB//borD//melB//csiD//cysP//yagK//nemR//wecB//nrfF//glnQ//grxD//ygbK//ddpA//phnL//dicB//ulaA//frdD//ddpC//cheW//eno//fepC//lsrF//rffH//moaE//argO//ynfH//nanM//glcF//nhaR//rhaD//mdtA//
NarP	pstB//katG//gatY//sucB//creA//dhaM//csgA//nuoJ//srlB//hycF//nuoN//hyfH//accA//mazE//acrD//feaB//fecB//degP//deoA//gcvB//nagC//ada//metH//mntP//glpD//entF//hyaC//garP//accA//ccmE//araJ//hyfF//dinJ//ccmE//rpiR//sutR//ybaS//uxuB//xylB//ybhG//glgA//narG//ldtD//ymgC//narJ//deoD//phoQ//hcaR//nanA//fdnG//
NemR	mhpT//nuoI//pqiA//
NhaR	leuB//glpT//eno//ycjF//idnD//yciE//glmU//
NikR	chbF//uidA//mhpB//potF//efeU_2//cysA//
NimR	gapA//nirD//
NorR	gatZ//hyfH//baeS//
NrdR	safA//ugpE//lpxD//pepD//metF//dinB//fucR//pfkA//yidQ//
NsrR	ynfG//phnE_2//ycdZ//hypF//pdeR//mscM//marA//glmU//dsdA//nagC//manZ//tam//potI//mhpT//flgE//ssuC//fliC//uspE//cyoA//ybdN//pgpC//ugpE//rbsC//nikR//phoQ//gabT//kbaZ//lsrR//mdtB//allD//narG//ybjN//moeB//hisQ//hypA//gabP//potG//mngR//ulaD//emrK//paaX//ssb//phnN//dapD//emrY//ydhY//acrD//aceB//yjjQ//alsE//ecpR//dcuA//cusS//allE//pflB//hcr//yjhB//ydcV//idnT//ariR//ppiD//pncB//fecD//rcsA//yidL//betT//cyoD//nirB//moeA//yhiD//yjhB//ascF//mglC//sdhB//yjjZ//mglC//nanA//ppdB//hypE//norV//cyoE//tdcB//pspD//
NtrC	idnK//fdhF//flhA//bioA//cyoD//eda//hypE//yqjH//entA//sucD//nrdD//hybC//caiC//ccmF//fumB//acrA//nfuA//dnaN//yjbH//rffM//ymiA//ppsA//nemA//sufB//fadI//codA//fiu//hyaC//fpr//pgm//chbG//cho//flgB//insD//hycA//ykiA//guaA//gpmM//nimR//amtB//dsrA//gpmM//aroM//paaK//rtcB//trpL//argP//ccmE//rpoE//
OmpR	yidQ//infC//leuB//ydeN//iclR//grxD//ugpB//accA//guaB//fumB//slp//ptsI//hypB//pgaC//murD//malE//glpD//murF//yeaD//sgrR//cynX//
OxyR	grxA//galR//glnD//cadA//accA//recB//iclR//fes//lpxD//fadA//yeaD//cysM//alkB//hycE//yqaE//ycjF//iraP//mgtL//codA//ndh//oppF//oppA//ynjI//ruvA//lacZ//ubiX//hypF//waaH//intQ//ftsK//rutD//ybjN//umpH//uvrC//
PaaX	hypA//aceF//yjhC//lsrK//pspG//galS//soxS//dmsA//fumB//pdeL//ydhV//tnaB//moaA//glpQ//
PdeL	gspD//
PdhR	mgrR//deoD//uidC//ydcU//alkB//ycjF//codA//glnK//lpxA//agaA//nimR//rpoD//chiP//ubiX//tnaB//add//ppdA//yhjC//hycC//ubiX//malQ//hyaC//soxR//mraZ//rybB//yhdY//fadD//malP//dhaL//allB//glpX//nfsB//murG//phnN//yhdW//dnaN//gatB//ecpR//zinT//glcE//pnp//
PepA	pspE//bioD//ybhF//
PgrR	ttdR//hyfC//asnB//lysC//ygaC//fepD//evgS//murP//
PhoB	phnD//btuB//rpmA//glyA//ebgA//puuE//thiP//dacC//ahpF//nrdD//rffM//paaX//napF//yjjQ//cspE//glnP//glnP//mngB//exuT//mqsR//kbp//paaY//copA//purL//tktB//psd//moeA//yciE//recA//glmS//malX//manZ//lsrB//ecpR//fliN//umuC//nanE//cspI//cas2//dctR//yfdX//crr//melA//prpE//appA//lysP//insK//crp//csgB//yiaO//fepG//yefM//prpC//narH//recA//chbB//micF//moaE//glcC//hcaB//
PhoP	fhuE//tsr//hdeD//rpsU//ydhT//dinG//pdeR//cynR//oxc//rffH//acrZ//glgP//mtlA//pgaA//hyaF//fecE//ycjY//agaW//ugpC//bglJ//ybhG//narX//adiA//dinB//fliZ//ilvC//flhD//puuR//hslJ//lldR//ppdA//flhC//phnI//mntP//argE//thiP//modB//isrC//fadB//mioC//gadF//waaY//hycG//phnM//ygbA//nuoK//nuoK//rpmA//fliD//cysJ//ptrA//accB//slyB//rutA//gcvA//xylA//
PrpR	galT//oppF//fecD//tdcA//rffC//
PspF	cyoC//gloA//ugpC//mqsA//rffC//gyrA//ugpB//
PurR	nanC//recF//rpmA//envC//napA//glpK//pdeH//pdhR//frdA//ddpX//ppdC//narK//accD//hyfE//ymjD//rhaT//csiD//ydeI//hycI//ydhU//tbpA//serA//rutA//mprA//exbB//idnT//napG//yegH//hcp//narH//ulaG//
PutA	yhjA//ebgA//
PuuR	gltL//napC//lrhA//speA//puuR//tadA//metN//
QseB	paaA//gadC//umpH//umuC//
RbsR	fliR//molR_1//ccmE//gadB//pepD//ulaC//creA//gcvA//osmC//
RcdA	mioC//ulaF//hyfA//fhuA//ahpC//glgA//pck//fliZ//fldB//
RclR	tcyJ//dcuD//glnL//
RcnR	slyB//narI//ybaT//
RcsAB	phnD//nupC//asnB//napA//cysE//entH//xapB//feoA//trpD//gspM//casA//iscA//ddlB//fucP//zntA//znuC//
RcsB	dnaG//purB//artP//mqsA//ygeA//allD//rarA//dtpA//cysH//hypB//lysA//yhjC//mdh//dhaL//lacY//ddlB//caiF//prpE//gpmM//bioA//uidC//yfiB//fliQ//xylR//phoU//
RcsB-BglJ	phr//rbsK//ydhX//sucC//fliC//yccJ//yciE//lon//glnD//metB//dmsB//marB//zraR//ebgC//araF//aroF//
RelB	rhaT//mlrA//yoaG//
RelB-RelE	tyrP//recX//flgD//
RhaR	argC//tyrP//
RhaS	glgB//rutB//recF//araB//srlA//higA//
Rob	dtpA//pitB//rtcA//yqhG//oxyS//tyrB//hyfA//metN//fucR//hypB//fixA//nuoG//hyaD//citE//purC//hcaB//tcyJ//araC//napA//oppF//pdeH//rsmH//hybD//grxA//lgoR//glpA//
RstA	hyfF//casC//purA//garK//xapB//nmpC//argD//fepB//cydD//rffM//
RtcR	glnQ//aroF//
RutR	gdhA//rpiR//fliM//phnM//mgtL//osmY//fliO//phnJ//yegZ//dcuA//glgA//rimP//rbsK//setA//ulaE//aceA//motA//
SdiA	malS//ppdB//argR//motA//yhbE//
SgrR	murD//cspI//recC//fepG//ybfN//ompC//nanE//glgX//lpd//
SlyA	nuoE//
SoxR	chbA//nohA//hcaC//
SoxS	trpC//pnp//rutC//hcr//ycdZ//sroA//alkA//yjjQ//tcyP//fliH//yebG//rsmH//ogt//araE//pstB//phnH//yeaR//gadX//pstB//fur//gabP//ydcV//yfdE//acnB//purB//nuoA//glxR//ydiU//hisP//ascB//purE//tyrR//creA//uhpT//hcaC//dsrA//phoQ//poxB//tcyJ//yafN//
StpA	rffM//malK//phnI//hyfF//rffT//atoB//ydfE//
SutR	wecE//fadA//hslJ//soxR//deoB//
TdcA	hyfC//decR//yegR//ptsI//alkA//yccJ//ttdR//
TdcR	ydeI//nrdD//putP//csgB//csgB//artP//nupC//
TorR	frdC//hybD//aldA//nuoL//dgcZ//phnG//glcF//malT//hybA//agaI//frc//rseB//
TreR	ulaG//prs//
TrpR	dcuR//dcuB//rseC//fadR//nemR//lolA//ydhU//yafN//fucU//leuL//flgC//pqiB//
TyrR	gnd//ilvY//melB//ygiB//znuC//nanE//nanK//hypF//lon//argR//udp//artM//
UhpA	rpmI//
UidR	soxS//gabT//metJ//nagC//
UlaR	metL//flgG//speA//feoC//gspD//citX//cdd//
UvrY	ldtB//ydeM//paaX//fimB//pgm//
UxuR	rutR//mazE//mepH//sgrR//ilvY//cueO//astD//guaA//patD//
XapR	mqsA//dsbG//
XylR	zntA//idnK//envC//fhuE//pgk//ynfH//betI//
YdeO	yegH//cpxQ//katE//fliO//ftsI//nagA//ybjN//glpD//argH//yiaJ//ccmG//sroA//puuB//gatD//folA//mgtL//ynfE//wzzE//rybB//ygiB//ynfH//
YedW	lrp//nanA//rbsA//gspH//tdcD//tyrB//pheM//yhcH//gabT//phnI//eda//pepD//
YefM	pyrC//uspA//
YefM-YoeB	codA//aroG//
YehT	ogt//
YeiL	sbmC//
YiaJ	recN//adiC//gspG//araD//malE//rcnR//ssuA//casE//cdd//betI//
YjjQ	aceK//yqjH//ymjC//nfuA//manY//puuE//ycjY//ryhB//hybG//cas2//
YpdB	setA//
YqhC	narI//hyfB//
YqjI	nuoN//stpA//
ZntR	cspE//
ZraR	glnB//yjbF//cysK//
Zur	rplT//treC//yeaR//rffT//nagE//norV//
