#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sgbH//dinQ//
CueR	nhaA//intQ//fepD//bioF//allS//lysA//wecB//
CusR	argE//znuC//cydB//pgi//ugpQ//cysN//garD//rarA//gatB//cpxR//rprA//appC//
CynR	mgtA//flgK//glnH//betI//
CysB	ydhX//hyaC//fepE//oxyS//moeB//pdeH//btuB//codA//hybO//rstB//iraP//gatY//glpQ//xylB//stpA//yidQ//rnpB//sgbU//fdhF//ybhG//astE//cyoE//ulaF//potH//slyB//skp//cas2//idnT//yeaG//pgm//infC//pfkA//
CytR	ygeH//glcE//adhE//ycgZ//yafN//hcaE//mtlD//yiaJ//caiF//entH//ybaT//creA//modB//
Dan	lldR//uxaC//gspH//yhjA//
DcuR	frdA//rffC//lpd//mazE//fadD//codB//alkB//ugpQ//dmsB//
DeoR	chbF//ccmB//accB//gltF//yciX//appX//
DhaR	soxR//casC//tnaB//fliI//
DicA	aceF//yhdZ//dcuA//dpiB//cdd//rhaR//lsrB//glcC//
DinJ-YafQ	cydA//prpC//speA//
DnaA	ydcV//malM//ssuB//yqhD//amtB//mntS//yfaE//trpR//ybaS//acnA//ddlB//yqjA//
DpiA	tauD//dnaN//rhaA//fliM//gltK//tpiA//xylG//glnP//gspD//wzb//tauC//
DsdC	mlc//ascB//ftsK//
EbgR	puuB//ykgO//
EnvR	ilvY//hyfH//
EnvY	glpB//deoB//
EvgA	rbsD//accD//caiE//nuoF//tolC//nupC//carA//mraZ//pgi//gcvB//hyfJ//phnF//hyfE//nuoM//ddpA//uvrA//setA//wzxE//carB//
ExuR	rffM//yneM//fhuB//phnJ//tpiA//tisB//bluF//mqsR//yhjC//
FabR	lhgO//artM//
FadR	narG//trxC//norR//gatZ//ddpC//metE//mgrR//gatY//cysC//nrfF//hycC//astD//hlyE//nirC//agaS//grxA//phnD//rstB//argO//sodA//tdcG//hisJ//ascB//
FeaR	hypE//dicB//
FhlA	emrB//dinF//tdcG//trpR//cbl//flhB//csgC//oxyR//efeU_1//gspJ//betI//yhhY//yjbH//astC//dcuD//frdA//purN//paaD//recD//yjbH//rclA//rpmA//lexA//rbsK//citF//sgrS//mtlD//purA//kdpA//galT//
FlhDC	yqhG//isrC//motA//rsmH//pstA//yiaL//rutG//sucA//gatZ//tdcE//csrB//ftsK//allD//aroF//gnd//agaD//flgA//aceK//metN//uidB//fbaA//betA//ydfN//zntA//fiu//malE//qseB//rnlB//tyrA//appX//fepG//rpmI//relE//moaE//bioF//rcsA//idnK//gadF//uxaC//dsdC//dsdX//nuoL//ftsZ//fur//idnT//yccT//skp//malS//hyfB//rimK//ymgA//entD//aroG//argA//cyoD//pck//higA//appC//gadB//focB//hyfD//dpiB//cusS//alaS//cbl//rcsA//mtr//astE//chbR//sucC//wzb//arsR//nuoK//entF//astD//caiD//xylH//sgrT//truB//lacY//ssuA//paaF//
FliZ	galP//ybdN//argF//ycgR//metL//cbl//yeiB//psiE//uspD//gadE//mglA//narJ//frdD//xylG//yfiR//flgI//puuB//cynX//fabI//cdd//ldtB//
FucR	ydcV//aceB//phoH//ynbA//acrZ//wecB//marB//
Fur	ssuD//nuoE//acnA//yqhD//yhbS//gadX//kbaZ//phnK//lamB//bglF//dkgB//gdhA//lysO//ymjC//sufB//focA//norV//speB//slt//tcyJ//ugpA//puuA//pnuC//ydfN//ssuA//ftsL//gapA//yoaG//sufB//asnA//spy//gabD//betA//adiA//metK//tsgA//hyfR//hokD//malQ//fecR//sdhD//gcvB//cysB//psd//yqaE//rffT//galT//dinD//bdm//uvrY//rybA//fdhF//lpxA//ssuE//malP//gadA//psiE//zraS//pgaA//mazG//ppdC//malT//hdeB//kdpC//pstC//rutC//dgcZ//ssrS//flgG//rpoD//csgB//asnA//mhpA//rplU//rclB//ssrS//fnr//gspH//fadA//purN//chbA//cysM//flgC//gutQ//uidC//zraP//moeA//hipB//gltB//yeaH//torD//moeA//malI//cusC//uxaB//setA//spy//frdB//nagA//hybA//fepA//ddpB//chbA//uvrC//ihfA//appA//csgG//sdhA//wecB//gltL//rimP//cadC//adiC//glpK//gadC//serA//glcA//ydeM//ssuC//ulaF//ygiB//gcvP//guaB//nrfF//flhC//yegH//cytR//sgrS//hisJ//ymgC//
GadE	creA//pheT//caiT//cusB//pck//manX//iraP//gadW//sroA//nrdB//aroL//gcl//napB//hcaC//pstS//oppB//yhdW//sulA//mnmG//iraM//yegH//norV//nuoA//spy//citE//hipA//hypB//cadA//frdB//
GadE-RcsB	mraY//ubiC//pdeR//fecC//bluF//entD//alkB//malY//malX//
GadW	rcnR//gntP//allE//iscS//fucK//rhaS//gudP//emrA//hybF//nagC//mngA//grxA//gspH//citF//ldtB//
GadX	gadW//cusA//narH//araA//yafO//phnM//hokD//atoD//cpxQ//yhjX//sdhB//aceB//modA//hyaF//astD//trpB//puuA//fhuC//ulaF//yafP//zwf//napH//gspM//relB//fhuD//crp//sucB//purM//sgrR//
GalR	sutR//recD//ybjG//sucB//wcaB//oppC//ldtB//mgtL//flgI//ybbW//
GalS	ppdB//lsrR//malQ//nuoN//dgcZ//ydcV//fepB//murD//yafQ//tyrA//
GatR	cas2//fhuC//napH//wzc//ydiU//oppD//
GcvA	ybaS//fixX//flu//rpoD//frdD//
GlcC	ascB//fdhF//cadC//appA//entB//yoeB//flgK//
GlpR	acnB//caiD//mhpE//emrB//fabA//pepD//sra//ttdT//cysJ//
GlrR	nrdI//mntS//rybA//efeU_2//rutA//
GntR	gspM//flgG//seqA//bglF//flgA//allE//fepD//dsbC//ftsI//ilvC//glcD//lsrA//
GutM	rutG//purC//uspD//yhdX//pagP//lysA//dkgB//
GutR	hdeD//ydcS//chbC//nuoI//rffH//hyfG//nrfD//
HU	htpG//fhuD//iscA//lacZ//lsrF//allC//argI//astA//nagA//
HcaR	mazE//accD//leuD//nimR//leuL//caiT//
HdfR	betA//hycE//ecpA//ydhU//tdcG//
HigA	lldR//gntT//
HigB-HigA	narG//gatZ//
HipAB	appX//pdhR//ssrS//nhaA//gatA//
HipB	tam//fadB//metC//nuoH//hcaE//leuC//
HyfR	gspJ//rpoD//hybO//nuoC//hypA//ybaT//ulaA//uxaB//fabH//nikB//hipA//tnaA//
HypT	rbsA//ulaA//hokE//malI//hybC//grxA//fucP//fruA//hcr//yccJ//codB//hha//potI//
IclR	gltB//cyaR//carB//wecE//
IdnR	ecpR//gapA//tsr//glk//feaB//wzzE//phnI//
IlvY	fabI//mtlR//
IscR	cdaR//znuC//qseB//lldD//mqsR//phnF//fimB//hyfR//ynbD//dkgB//ycgR//metB//frdB//manZ//fixC//rob//spy//pqiA//frdA//speB//nrdH//hcp//chiP//ynfF//cpxA//yciW//malS//hyfJ//mgrR//mgtL//fpr//ulaE//
KdgR	ulaF//ubiX//
KdpE	nuoE//aroM//zraP//creD//
LacI	ydhW//psiE//rdoA//
LeuO	sbmA//aceF//sgrR//murG//tauD//ulaE//ulaG//iscA//citD//dinD//ybdN//sulA//aroF//lacZ//lpxD//murI//metC//tisB//fdnI//bioF//
LexA	mazF//mraZ//alkA//betI//fecR//yebG//marR//caiF//yciX//purN//nemA//nimT//ssuD//gdhA//fdhF//rybA//idnD//yiaL//sbcD//uvrB//ydhV//emrY//fumC//ynbC//flgJ//hisJ//dinG//asnA//nagA//atoE//fpr//nadA//kbaZ//hyfJ//murQ//cas2//hypB//allS//mhpE//zwf//ccmB//fabA//fucR//paaH//yecT//murG//melA//rffC//glnQ//cysC//cysE//hyfE//allB//acnB//entF//hokE//hyfC//ydfN//aceK//
LldR	dhaL//relA//nanE//
LrhA	ugpC//caiE//argH//phnE_1//
LsrR	tehB//yccT//fldA//dicC//deoB//ydfD//argA//ygdB//nmpC//
LysR	potF//asr//
MalI	pheM//fucA//ugpA//
MalT	alkA//xapB//feoA//casA//uxuA//ttdA//pstA//ssuE//hcaE//potG//
MarA	narX//sufA//yccJ//ydeM//flgG//mngA//iscS//mtlD//murF//evgA//flgH//purM//ddpD//cydA//mlc//dnaG//cho//ynfH//flgN//omrA//dsdA//lacZ//yjbF//pnuC//ubiC//ppiA//ftsW//ynbA//zntA//gspO//hcaB//pstS//melB//mgtL//ymgA//folE//fumC//yccA//
MarR	yhdW//safA//recX//
MatA	ariR//appX//mdtE//hydN//atoB//tdcG//amn//fur//
MazE	speB//pitB//glmS//
MazE-MazF	yhbT//phoH//sroA//
McbR	mraY//mhpT//xapB//yccJ//
MelR	cheA//tauB//ulaD//
MetJ	lsrD//ftsL//gcvA//fldA//fucO//glgC//amtB//paaE//fliQ//appA//lldD//osmC//mqsR//icd//umuD//
MetR	mglA//cpxP//mazF//glnG//galP//
MhpR	cysA//fliK//yfdE//rffG//aroL//gatC//
Mlc	flgI//fabZ//ssuD//ydfX//sgbE//purH//ycgZ//gadX//ybaS//tehB//
MlrA	bdcA//cysD//fnr//fdnG//tisB//agaA//hdeD//purH//cdd//dapD//
MngR	lsrD//lsrC//cho//
MntR	fldA//nrdA//yeaG//fabD//uxuB//
ModE	glk//hyfI//yqaE//rffC//glcD//ada//nikC//murF//pncB//yjjZ//obgE//ccmC//ssuA//sroA//nanK//iraP//tyrA//wecE//pnuC//cspD//trpC//rstA//cbl//ptsG//tolC//yecR//hyaB//fliJ//udp//lacY//dgcN//nrdA//napA//ydeP//sgbU//ssuD//glmU//nimR//hycA//hycI//ynbC//nfuA//tbpA//malP//yafQ//murQ//
MprA	csrB//pepD//tnaC//pheS//nikR//glpF//
MqsA	tnaA//nuoE//lysR//dgcZ//metN//gatD//mglA//mhpT//
MraZ	bioB//puuE//glpA//sodA//fhuC//adiA//glxK//nrdG//crr//yfiB//rsmH//garD//paaX//nrdF//dapB//manZ//gspJ//
MtlR	ydfN//rutG//mngA//
MurR	cysD//leuO//leuA//
Nac	yhdW//fliJ//obgE//ddpC//metE//lolA//ydcV//iclR//hcr//ybiT//yafO//infC//dtpA//osmB//nagC//hcaB//zraS//pyrD//yciW//nagC//ynfG//
NadR	pck//yhcH//paaG//gfcA//
NagC	paaI//rhaR//uhpT//nhaR//hybB//ydeI//gadF//poxB//metQ//ydhV//eno//relB//hflD//mnmG//dsdC//ulaB//puuP//frdB//frc//higB//aceB//ftsA//tyrP//mntS//creD//idnO//glcD//narX//tisB//gcvP//yciE//sbcC//hyfR//ftsZ//appY//cytR//rplT//
NanR	dnaA//putA//ugpQ//yccT//xapA//alsA//fumB//purF//omrA//relE//allS//
NarL	dsdX//glnD//nrdI//mgrB//nuoB//iclR//higA//pflB//hyfB//sgrR//nuoN//ydfX//uxaB//ldtD//codA//nadB//polA//mazG//hyaA//trpL//zntA//agaI//aldA//tpiA//phoB//uvrY//gatA//atoB//gatZ//wecB//yiaO//ytfE//ompT//symE//ykgO//yaiW//xylA//pitB//fhuE//dgcZ//fecR//ulaC//galK//norR//rutA//yqhG//hyfJ//ydeP//rbsA//atoB//erpA//cynX//deoD//hisQ//dnaN//kbp//rpoE//garR//argD//malF//ccmA//cydC//slt//ychF//hypE//ccmE//wcaA//hypA//rbsD//narI//entE//pdeH//sbcC//sgrS//fliK//citC//ddpB//mraY//hipA//fepC//nrdI//frdA//uhpT//paaF//gor//mgrR//pagP//tehB//gcvP//nanE//nanC//feoC//murQ//flgH//fumC//gatC//astB//tauC//bioB//yeaE//bglB//hyaB//garD//cysD//frdD//tdcD//srlR//fadE//hmp//manX//recA//hyfG//moaD//rybA//mpaA//gspK//nanE//tam//thrS//nikB//speB//puuR//artI//
NarP	csgB//hyfC//rbfA//fabB//mgrR//rsmH//mipA//copA//fadI//ftsA//fepB//ilvC//lexA//sutR//nikD//ogt//ugpC//pspA//nuoA//gcvT//xylA//ecpA//ppdC//eno//sra//hypE//sucD//chbC//rseB//kdpC//flgL//gadF//nuoN//accD//rseB//hemH//gor//mcbA//rstB//tauA//mnmG//hybC//rutG//umuC//dcuB//dcuB//pspF//metC//gudX//hyaC//
NemR	entA//phoQ//fliZ//
NhaR	purD//tnaC//fadJ//hycA//appC//ecpA//sgrR//
NikR	yfdE//uxaC//nuoI//yoaG//rtcB//fadB//
NimR	psiF//ykiA//
NorR	nrdG//ydeP//aceF//
NrdR	uidR//treC//ybhS//fecB//dinQ//uvrY//nagB//sgbE//pspA//
NsrR	lldP//umpH//nuoA//gspL//gor//gadA//gntU//rhaA//rhaA//gatD//asnA//yfiB//yjiY//higA//dctA//nuoI//entS//ycjX//norR//ftsI//epd//narJ//fabD//accD//fecI//metK//sodA//adhE//nusA//cysC//deoD//hyfG//purH//grcA//ydhY//sroA//trpL//bluF//agaR//qseB//pspG//serA//asr//mglB//recA//ubiA//malM//kbaY//araD//cirA//hcaE//argI//speA//glnG//leuC//tdcB//mngB//gntX//glnH//uspD//sbmA//uidA//creB//fimB//agaS//agaI//atoE//trxC//treR//ydjM//mhpE//nirB//phoA//fucI//nrfF//ydeO//micF//puuC//chbF//purR//trpB//lpxC//cynS//
NtrC	citD//mpl//murQ//murG//moaC//gltB//aceK//efeU_1//lolA//caiT//rcnR//oppD//caiC//ybbW//purD//yaiW//nirB//nanS//ydbK//potH//trxC//ahpF//ada//napB//yjiY//ynfF//cysB//relA//soxS//oppF//prpE//yedX//nanE//focA//cydA//paaC//putA//ulaF//yjhC//paaA//ynbD//ynfE//recX//modA//nuoE//lacZ//asnA//cynT//bhsA//
OmpR	rutR//symE//tolC//amn//gspF//lpxA//higB//dtpA//hycD//ybjC//hyfG//rffG//cpxA//gdhA//dkgB//caiC//bioD//murI//ydhW//tauB//napF//
OxyR	sroC//mngB//gspI//ompW//murF//rutR//phoH//ydcT//lsrA//malZ//pheT//argF//rseB//yedX//xylR//trpR//katE//pspE//ppiD//lacY//ydeI//nrdF//purK//sulA//dhaR//dctR//ddpC//rutF//yeiB//symE//fucO//ccmD//phnP//pgpC//
PaaX	fimB//cysE//gabT//hyaE//thiP//dinF//rpoS//gcvA//nuoM//cysA//luxS//gspD//argD//gspH//
PdeL	aldA//
PdhR	idnO//trpA//mdh//yjhC//dinF//torD//glnD//rcsA//luxS//emrA//oppB//nikE//gntU//betT//ddpX//zinT//gatD//hycG//puuB//feoA//ybhS//hslJ//dgcN//dsrA//yoaG//rcnA//fldB//ygeA//molR_1//caiF//yiaJ//paaF//entC//zraP//bioF//psiE//leuC//flgI//hslJ//malZ//hybC//
PepA	ccmD//emrB//relA//
PgrR	pgaC//ymgC//agaA//mlrA//feoA//dmsD//gapA//rpsO//
PhoB	fimB//purL//bluF//glmY//mngB//intQ//dpiB//chbF//fadM//fabZ//rcnA//norV//glpC//fes//hyaA//ptrA//fliT//ydiV//rutC//hisP//mqsA//ydhV//tauA//leuD//atoD//fliE//phnL//feoA//cytR//yccA//mdtE//nanC//ulaC//motA//rutG//glgA//ihfA//omrB//crp//yfaE//ssuA//wecE//tyrR//hisP//cyaR//fadE//hcp//hyi//lldR//acrB//asnB//glpK//leuO//prs//nrfE//mazE//yjbH//cysN//dsdC//rhaT//
PhoP	tauD//lsrD//lon//moeA//nuoA//marR//ftsL//bioA//hycC//nrfD//hybE//ybhL//garD//fimE//ecpR//tauD//ompT//yjbE//aceE//serA//yncE//yciG//ydcU//ygiA//lysC//rseC//appA//casC//csiD//yecR//serA//phnK//fliP//yiiS//arsC//cyaR//ynbA//rffG//sdhC//fadE//yfaE//ptsG//glpX//glcC//ydfH//qseB//cytR//osmB//rffC//rstA//sufE//ynbB//cydD//symE//paaB//aceB//
PrpR	crr//modC//mazG//yeiB//yafP//
PspF	ulaA//degP//gutM//bdcA//ydcS//ydeN//flhD//
PurR	yebE//gdhA//chbG//uvrB//alkA//feoC//lsrR//bioC//mioC//gadX//ychF//dnaN//yfdV//uvrY//fliH//rutF//yafN//rplT//hyfA//artI//mdtA//sbmA//yegH//cho//decR//appA//carB//yjhC//pgi//fepE//mhpC//
PutA	znuC//iscU//
PuuR	ydhW//htpG//fecC//trpA//bhsA//lrhA//ttdR//
QseB	hslJ//oxyR//pepA//rprA//
RbsR	purL//ldtB//purR//yccJ//ada//yhjX//insD//truB//argE//
RcdA	glxR//nrfD//ydcV//paaI//hybA//nfuA//ssuB//spy//glpQ//
RclR	fliL//rpmA//cspD//
RcnR	lsrK//yedX//rplT//
RcsAB	yciG//xylR//grxD//phoP//higA//allS//cyoA//ppdB//aspC//nanS//glnL//fiu//yncE//xylA//ydcT//ybiT//
RcsB	dcuB//sufA//oxc//flgM//malK//hipA//flgK//atoB//mpl//cvpA//cysA//hcaR//melR//murI//ppiA//ebgA//borD//cueO//glmY//yhiD//gcl//lacY//slyB//hdeD//treR//
RcsB-BglJ	chbA//glnB//dgcN//phoB//efeU_2//csrC//cynX//ccmA//deoB//fliP//fecI//rutF//lacY//ddpX//malI//cspI//
RelB	fdhF//srlB//bluF//
RelB-RelE	soxR//fruK//patD//
RhaR	ynfG//mqsR//
RhaS	yqaE//manZ//cydC//rpsU//dsbA//nirB//
Rob	ttdT//uspE//ulaC//fabA//ftsI//phnI//mpaA//qseB//argF//metE//asnA//uvrY//btuB//hyfH//dsbA//cyoA//rhaT//cysW//znuA//hycD//ahpF//paaX//cysC//aspA//citD//wecE//
RstA	fabZ//gspE//hyfA//flgK//osmB//yjiY//manX//cpxQ//gntT//ynfH//
RtcR	mdh//ugpA//
RutR	treC//mhpF//puuP//gspI//ssuD//ydcU//gcvH//exbD//ygiA//uxaC//ssuD//hcp//mscM//allC//yiaM//tdcB//yagK//
SdiA	metN//fliL//decR//cusR//yhdY//
SgrR	yfdV//glk//pagP//agaW//nikD//gspO//pck//ssb//yhjC//
SlyA	modC//
SoxR	argF//csrC//narX//
SoxS	rcsA//fliH//ung//phnK//puuD//oppD//fumB//yqhD//allA//bioA//luxS//feaB//rcnB//bioC//speB//rimK//gspD//ydhW//nrfC//galT//hycF//acnA//moeA//flu//glpB//ndh//yagK//cysG//gabD//csgG//emrK//fixX//aceA//cusS//chbA//cyoA//fucK//leuD//pstC//csgG//
StpA	bdm//ydjM//recB//dhaL//paaA//metL//norW//
SutR	artP//mazE//rclB//potF//feoC//
TdcA	rnpB//mdtF//cpxQ//phnC//leuB//pheT//oppC//
TdcR	bioA//cysP//uidB//flgN//yhiD//hypF//atoD//
TorR	leuA//ompN//artJ//alsB//manZ//bglB//glnB//yhdY//dapD//rffC//fecB//yfiR//
TreR	ariR//ascF//
TrpR	tdcA//dcuA//ccmC//lrp//gspO//rsmH//purC//ftsZ//sroA//purC//appA//yegH//
TyrR	nikC//mngR//yafQ//fliH//nrfB//ariR//yegZ//araE//flgB//astB//puuA//rimK//
UhpA	modB//
UidR	rpmI//icd//uvrC//gatD//
UlaR	ecpA//wzzE//nanM//argD//rbsA//frdC//sroD//
UvrY	mraZ//slt//ygeH//yfdV//glgA//
UxuR	rffT//yhdZ//ymjD//glpF//treB//hokD//psiF//ldtC//yhdY//
XapR	uvrD//pdeR//
XylR	hycD//intQ//yjbF//gyrA//mntS//tdcG//tdcF//
YdeO	cyoA//mioC//tomB//asnC//phnG//agaW//phr//feoC//creD//paaB//aslB//dgcZ//nrdG//nuoF//bamE//garL//flgE//glgB//yidQ//flgH//ycjX//
YedW	mpaA//lsrC//yefM//katG//nanM//cdd//ubiA//kdpC//aroL//gntP//yccT//wza//
YefM	accC//appB//
YefM-YoeB	potI//narH//
YehT	cydA//
YeiL	metL//
YiaJ	sgrR//tolC//gadX//uidC//leuA//mgtA//nrfB//ttdA//bioC//setA//
YjjQ	yidQ//pnuC//uxaA//garR//asr//ascF//atoB//ribA//xylF//ttdA//
YpdB	chiP//
YqhC	pspB//ydbK//
YqjI	ccmH//glpQ//
ZntR	rcnR//
ZraR	gspH//lsrR//fadD//
Zur	nrdE//gudP//ygiC//marA//argT//creB//
