#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fdnI//speA//
CpxR	nikB//recA//nikB//fabZ//ascF//grxD//rhaT//lexA//flhD//cysE//emrK//galR//glcF//dapD//csgB//glnB//ftsI//ldtC//cecR//nfo//moaE//betI//cysD//yjeV//cysJ//glcB//gspC//ymiA//metC//yhbE//tadA//rob//wecE//paaB//nanS//norR//uxaC//wcaB//ascF//gadY//aldA//hypF//lysO//flgA//rtcB//entE//fadR//fliQ//ftnB//phnG//fdnH//yqhG//glcG//hns//hcaB//yfdX//mzrA//glnQ//ynfF//oxc//nadB//trpD//lysR//sroA//fhuF//hycC//hypB//ilvC//metN//phnH//
Cra	pheM//ccmH//fliA//insD//malS//dinI//tynA//yeaE//codB//paaD//umpH//fur//lldP//purN//csgA//osmY//csrB//exuR//chbR//lrp//astB//hybG//gltK//rutE//decR//pgaA//lsrG//btuB//ssrS//treR//pnuC//wecB//napA//leuD//gloA//csgG//wzxE//phnN//argI//cas1//nrdG//insK//phnF//ldtB//torA//mtlR//speA//dgcN//dacC//allC//ybbY//ugpE//ybbY//uvrC//thiQ//pqiA//fruB//gltB//uvrB//glnD//dkgB//nohA//mgtA//nmpC//nikE//cysN//ybjG//mpl//argC//gntT//csgD//allS//ybbY//nirB//ycjY//wza//ascB//yhiM//glmU//
CreB	ybjN//kbaZ//rcsA//fepD//puuC//
CsgD	gspI//tehB//slp//sgrS//adiA//aspA//hypE//dctR//fabH//yiaL//purM//flgD//uxaC//ydcS//hyfE//adiC//phr//modB//caiB//dicC//fbaB//srlB//narI//osmC//gyrA//yegR//entF//potH//
CsiR	yiaM//bluF//prpC//gfcA//phnL//
CspA	chbG//ycjX//
CueR	appB//hyfF//mraZ//rffC//nfsB//uxuB//polB//
CusR	dhaM//chbA//uspE//fliN//polA//purN//pdeR//fabD//ccmD//lacA//fecR//rutB//
CynR	hdeA//polA//gor//fbaB//
CysB	ibaG//ilvY//mngR//fhlA//murD//srlA//bacA//putP//fldB//focA//fecC//mdtB//nhaR//fliK//bluF//glpC//hypF//yeaD//yhdZ//paaE//gadC//ttdR//ilvC//moaB//yeiL//rffH//yciE//mnmG//rseA//mngB//dapD//deoB//
CytR	fucP//ibaG//pagP//yebE//yfbR//pspA//marA//hybC//appY//speB//ydiU//manX//cpxA//
Dan	nuoC//lldR//frdC//feaB//
DcuR	torR//caiF//yegR//hypC//gspK//nrdB//metB//ppsA//aroM//
DeoR	fecD//ydhT//oxc//ugpB//nuoM//ynfF//
DhaR	frc//cecR//ykgO//yfiB//
DicA	gadE//yeaG//fiu//potI//pncB//hha//acrA//leuC//
DinJ-YafQ	argP//ccmA//crl//
DnaA	feaB//glnH//gcvP//atoA//xapA//lldD//tcyP//aroG//phoA//hcaR//cheW//uspD//
DpiA	lsrK//tauB//iscA//sroC//ccmF//puuR//ybiT//ddpA//oppA//hycA//fecE//
DsdC	xapA//ftsL//fliH//
EbgR	mipA//ydcU//
EnvR	osmY//glnP//
EnvY	copA//gcvH//
EvgA	lolA//yeaE//sucC//malI//betI//yeaR//hyfR//glcD//fucK//agaD//uxuA//caiC//murR//pqiB//ydeM//flgH//nirB//psd//accD//
ExuR	flgL//dhaR//ulaB//phnJ//mdtA//puuE//rnlA//katE//tauB//
FabR	malQ//gcvT//
FadR	gatZ//ppc//nrdD//xylF//wecE//fecR//glnK//cyoA//phnF//hemL//nagC//mngB//hyfA//phnJ//lpxC//gspG//malY//ybdZ//motB//epd//malF//amtB//bioB//
FeaR	mdh//potG//
FhlA	lsrA//nusA//ftsZ//ccmD//btuB//mdtC//yjbH//aceK//yciG//ydeN//ygdB//ddpD//hcaC//mprA//gltK//melA//fhuC//araA//nuoN//fliS//napB//tcyP//treC//pspD//dsdA//yhdY//intQ//slt//bglG//mgtL//
FlhDC	fur//dtpA//nrdE//yhbS//murG//rutC//dtpA//norV//lsrR//rpsO//srlD//nadA//bioB//rhaD//patD//lysP//chbF//gapA//yegH//gcvP//rybA//purD//sroC//cpxQ//paaG//cecR//arsC//zraP//gcvP//yegZ//rseC//ccmD//hcaB//glpX//hyi//fadJ//gltB//argT//dctA//paaX//sutR//fliS//lsrG//hycH//xylB//yafQ//cas1//phnF//yidL//paaH//srlD//argO//hslJ//fhlA//focA//yeaD//hcr//ssb//hns//artI//ygdB//atoB//lpd//sfsB//fdnI//lsrF//rimP//betA//gntT//chbF//hslJ//oxc//pykF//narG//exbD//bacA//yhhY//fepD//ydeP//mhpC//pncB//purR//
FliZ	pgaA//fliL//ccmG//ykgM//yafO//phnC//dinD//astA//norV//tisB//torR//tnaB//argT//recA//bioF//citG//speA//phnJ//entF//aldA//fliT//
FucR	ulaC//dcuD//cspI//glcB//narG//ddpC//tauD//
Fur	nirB//gatY//fabD//folA//ftsW//yoeB//csiD//tisB//cirA//gabP//narI//hycB//alkB//caiA//astB//rplT//gltL//ryhB//mngR//mazF//dsdC//lyxK//hydN//alkB//asnC//phnE_1//fepC//isrC//hycB//qseB//osmC//hcp//bglF//marA//rffC//creA//xylR//glpC//hns//hycB//hisQ//hydN//nhaR//metA//phnO//sufB//fadL//srlE//fdnI//ptrA//wecB//gadB//fadL//rutF//safA//nrfC//oppC//mraZ//yqjI//lhgO//alsB//icd//gudP//higB//spy//yhdZ//dgkA//ygiZ//nrfD//eda//sroD//hyfH//yfbR//nupG//infC//acrB//fliJ//putA//zraR//skp//yegR//sbmC//cysW//crr//pykF//dnaA//tauB//dinQ//malI//galK//mntS//rseA//hyi//tfaQ//codA//osmB//kdpB//rbsD//fbaA//bioF//glnB//hyfI//yebG//yoeB//ulaB//ddpD//acrZ//ptsG//caiT//alkB//fruA//rpoD//cysA//uof//aroF//bioB//mscM//hypC//ybhL//ariR//cysH//kdpA//atoE//psiF//deoC//ecpR//tam//artM//sfsB//sgbE//
GadE	cysW//gabD//uhpT//dinG//hflD//sucC//lsrR//mtr//nanA//dsrA//murD//rhaT//fucA//gcvB//phoR//tnaB//insK//chiP//ynbC//astA//fes//speB//erpA//appA//argA//omrB//stpA//norR//ybdN//
GadE-RcsB	aspA//leuD//murQ//ebgA//fimE//ompT//ydcU//nuoM//mqsA//
GadW	glgX//ulaB//flgM//efeU_1//ecnB//cho//ccmG//trpL//yqjH//wecC//psiE//malX//hybC//cheW//garL//
GadX	ugpE//ulaC//rffG//nuoC//gspE//hypD//rstB//argB//araD//sroC//malS//bglF//fixA//gloA//mhpC//cydD//ygiC//flgC//nanE//rhaB//trpB//ynbC//ccmF//mscM//hyfJ//ygiB//ubiX//hcaF//pspE//
GalR	cecR//tdcF//hokD//fecB//pgaA//glpX//nikE//rhaD//glgC//chbR//
GalS	nimR//tdcD//rstB//htpG//ssuD//nuoJ//cusA//rclA//rbsK//wcaB//
GatR	glnD//nrfB//gcl//frdB//recB//arsC//
GcvA	mtr//ttdR//fucA//yrbL//ppsA//
GlcC	wzzE//sodB//hdeB//hemL//amtB//cusC//ydiV//
GlpR	phnI//mscM//lysP//thiQ//srlE//nimR//yccT//ybhG//cusA//
GlrR	amn//ynfG//hypA//emrA//atoB//
GntR	fliG//nagB//treR//sgbE//yiaK//gadX//wzxE//nrdD//dsbG//gadE//nrdE//uxaA//
GutM	nikD//csgB//umpH//ydhW//srlB//arsB//degP//
GutR	lolA//ybhF//csgG//nirB//sucC//ybhF//ybdN//
HU	malK//uxuR//pspF//ccmC//dsbA//uof//cysJ//thrS//gspC//
HcaR	ugpB//malI//casB//rutC//dinG//hypC//
HdfR	gatY//cvpA//yjhB//ykgM//aceE//
HigA	tolC//hyaA//
HigB-HigA	lsrG//rpsO//
HipAB	nac//ugpE//phnM//glxK//ecnB//
HipB	narI//metE//dgkA//pstA//relB//hybF//
HyfR	yhcH//nikR//lpxC//purK//allE//purC//sbcD//mazE//flgA//ppiD//uxuA//glcC//
HypT	fecR//rob//sfsB//uxaC//rutA//ugpC//narG//hisJ//mhpA//yjjQ//yaiW//kbp//modC//
IclR	fadB//lpxD//rcnR//dsdX//
IdnR	cas1//gatA//ccmE//exuR//fliR//fhuA//purB//
IlvY	dmsC//yfdX//
IscR	cynX//fepG//hycB//glpC//ddpA//hipA//atoB//nuoA//hcaF//talA//fumC//dcuD//xylH//moaD//rplT//rutC//flgA//ybhS//malY//cysM//pncB//gspL//ppc//hycD//nrdI//lldP//sucB//metJ//yiaK//ddpD//uspE//yjeV//
KdgR	malF//flgD//
KdpE	xapB//trpA//mzrA//rffG//
LacI	rpoE//phoB//fhuE//
LeuO	cvpA//csiD//yafQ//rnlA//nanE//glcF//bglF//dkgA//fixA//rpoH//spy//ppc//sgbU//thiQ//dmsC//sucC//ydeM//dpiA//xylR//ybhL//
LexA	nuoC//dapD//spy//lysP//ydfN//dinB//uxuA//leuD//hyfJ//gspI//mglC//amtB//glcG//artM//ybbY//artI//lacA//agaD//glgP//marR//murQ//lsrA//sodB//tfaQ//ygiC//rutD//xylB//garD//fimB//rutF//mhpT//citD//talA//dmsB//pstS//glcA//mazF//gadB//garL//ftsQ//nrdA//pdeL//fldB//hybG//gcvP//acrZ//ybhR//chiP//dmsB//tyrA//bioF//moeB//zraS//ydeO//araG//ttdR//appC//nrfE//murD//
LldR	entC//hybE//fadB//
LrhA	iraM//purA//ppc//malY//
LsrR	fixC//soxR//hisM//ydhX//mscM//modB//fliE//uxuA//glpB//
LysR	pgm//glgB//
MalI	focB//lsrD//flgI//
MalT	cadC//fixA//alsA//fucU//yafN//ampC//ymgA//pdeL//galT//uvrD//
MarA	glcE//ompN//exbD//uof//fadA//murI//uidB//trpL//gcvB//murI//rplU//yibQ//sufC//add//ydcU//rsmH//ccmE//ftnB//gadX//nuoM//hypA//btuB//ymgC//tcyJ//hypA//sucD//astA//ybaS//agaI//bioC//cyaR//ulaA//malP//acrR//eno//rhaD//lsrR//nupG//
MarR	paaI//nmpC//gadC//
MatA	fecE//cpxQ//hyfB//yiaJ//sroD//fadR//phnN//garR//
MazE	baeS//yfdE//purR//
MazE-MazF	oxyR//torD//nadB//
McbR	ddpC//degP//btuB//sucA//
MelR	mlc//narG//cusR//
MetJ	pgaC//argH//ymjC//fliL//higB//rffG//add//gcl//dpiB//fabZ//rpiR//phnF//oppC//ygiZ//tdcA//
MetR	srlD//fadD//aroH//bioD//epd//
MhpR	glmU//paaA//hycC//sulA//frdD//purD//
Mlc	zwf//decR//cysN//nuoB//yccJ//cynT//fecC//entH//murD//zraP//
MlrA	betB//yhjA//rseA//nuoB//epd//metB//ybfN//agaC//ppiA//uidA//
MngR	ulaC//fhuD//dapB//
MntR	emrK//argG//lpxA//lysC//ftsA//
ModE	yccJ//decR//yafN//mgtA//ppiA//yegR//hisM//oxc//tdcD//ccmE//entB//paaI//gabT//bioC//cysE//hyaA//araB//ydhX//pepA//wzyE//puuA//fumB//glpC//yqjA//mscM//dctA//ydfW//yeaH//nuoG//cysK//aroL//leuD//ydhV//xapA//rbsR//malT//argI//psiE//pyrD//pagP//lacY//rpoD//gyrA//yfdV//aspC//fliD//
MprA	hyfB//mngA//entD//fucR//gspJ//tktB//
MqsA	seqA//hycB//cecR//phoE//dmsD//phnH//uof//torC//
MraZ	puuR//uidR//cydA//yafO//wecE//fliO//ubiA//cadB//ldtD//allB//yjbF//tehB//yiaM//pgaA//dinQ//rhaD//mraZ//
MtlR	inaA//flhB//mqsR//
MurR	cpxR//glpQ//ynbA//
Nac	wcaA//glcF//hisM//znuC//yibQ//accA//yhbT//rpoS//paaY//ymgA//dctR//mioC//gabD//csgA//hisP//mlrA//crp//mazE//wcaB//sodA//hybE//
NadR	guaB//frdD//flgG//sgrR//
NagC	moaE//kbp//asnC//yhcH//phoQ//recX//tnaB//ydhX//nfo//moaA//alkB//lysP//galM//hycG//tauD//yjeV//artM//flgB//napG//mepH//rpoS//amtB//srlE//insK//pitB//nupG//ydjM//dnaG//ruvB//lldR//mntP//glpK//garD//gabP//phr//glpC//cysH//
NanR	hyaA//gadY//yecT//gadA//tynA//nrfE//cadB//frdA//citE//gcvT//ahpC//
NarL	yagK//tbpA//tdcD//srlD//cdd//gudP//kdpF//ppdB//yibQ//exuT//glnD//tdcA//creD//nikB//fliN//efeU_1//mhpF//cra//rbsC//tam//mglC//mhpE//chbA//deoD//mngB//tdcA//nanK//yaiW//ecnB//caiC//alsB//gltJ//fadJ//ydiU//yhhY//yccA//ugpQ//argB//tcyP//rdoA//isrC//sufA//lldP//fhuD//hypD//dctR//yeaD//rob//entH//hokD//chbC//fadB//efeU_2//mntH//carA//hypE//flgK//codB//flhE//srlA//fixA//yhjX//hyaE//kdpB//pdeL//omrB//ynfH//paaK//nanM//dapD//mazF//cydD//ybjN//galK//araF//hycB//hypC//yhdX//mtlD//phoR//ptrA//agaB//flgE//pheT//zwf//rdoA//cysG//fliI//dacC//edd//umpH//kbp//eno//cysN//cysN//fepE//ynbB//rbsC//fnr//entD//exuT//fliC//relA//mazG//hypD//acrR//cysG//lrhA//recX//cadC//insK//fixX//gatB//ompW//nrfB//sucA//sbmC//artI//patD//paaJ//narG//accD//idnT//
NarP	asnB//ftsQ//nemR//ulaF//eda//argE//fhuA//frc//wecE//murF//tisB//gspF//xapA//asr//yafQ//dsbC//mhpD//sulA//aroM//bacA//yecT//paaH//yecR//gspM//pgaA//wecE//yhdW//prpC//lysA//exbB//gabP//rhaD//cysC//phoP//mcbA//bioF//modC//ldtC//uidR//ftsZ//ruvA//pgaD//acrB//pgaB//cusF//hcaR//yciG//phr//ssuA//murQ//
NemR	crl//gspM//gatB//
NhaR	alaS//ttdA//argH//cusA//gspF//fucO//hcaR//
NikR	paaJ//gcvA//citG//ruvA//agaV//yhdY//
NimR	cpxR//nagC//
NorR	cynT//cdd//entB//
NrdR	setA//aroH//fhuF//creD//glgB//mepH//glmY//cdaR//tynA//
NsrR	phoU//rhaB//pstA//ydcS//ahpC//tnaC//aldA//glcB//ddlB//gatD//ygiZ//rdoA//fhuB//moaC//symE//wza//rbfA//tam//lsrD//slt//gadA//ppdB//mhpT//csgB//ygbA//argE//yecR//mglC//waaY//gltB//mpaA//ynbB//caiA//dinG//yidQ//nikB//rbsR//hcr//dhaR//pgk//cytR//tbpA//argI//nirD//cadB//bhsA//hybB//lrp//malQ//nikD//hyfI//rffH//yjbH//torC//tehA//ddpF//yedX//fiu//citE//rffT//kbp//yegZ//nirD//aldA//yjbE//ppiA//ugpE//yfaE//pepD//melA//cheW//mazE//pepD//seqA//flhD//ftnB//rhaS//fecI//fur//gutM//caiB//atoD//motB//
NtrC	ycjY//trpC//ddpD//motA//ynbD//acrA//ecnB//fliS//sdhA//lpxC//ugpC//feaB//frdB//nmpC//fixX//fadA//hypE//sbcC//iraM//tyrB//ftsW//bdcA//trpR//emrB//codB//fes//bamE//malI//flgK//ftnB//paaA//rffM//ydhW//zraR//hns//nanA//mgtL//cysB//sroC//ampC//ugpA//yccT//ybhR//flu//ynbB//trpR//sodB//zraS//modA//
OmpR	asnC//nanK//fucK//fimB//dicB//sdhC//yedX//sgrT//yjbH//yrbL//dgcZ//cynS//lyxK//ddpF//hipA//setA//pspC//ccmE//wzyE//gcvB//yqhD//
OxyR	nhaA//uspA//wcaB//hycC//narG//adhE//hycH//hycA//ycjG//nrdA//bioB//hyfD//ygbK//cysH//rhaD//gadC//srlR//ebgA//folE//recB//malK//fabA//arsB//tnaC//pitB//artQ//glgC//cpxR//srlA//kdpF//ccmG//pgaB//creB//nuoC//
PaaX	rtcB//fecI//ykgM//tynA//nhaA//ttdA//pgpC//trpR//obgE//xylA//patD//srlR//oxc//tnaB//
PdeL	rbsR//
PdhR	yjbE//nanC//molR_1//caiB//nrdF//allD//hybA//dmsA//csgA//fecA//astC//nrdD//cysA//hyfR//sucC//asnA//copA//hdeB//yeaE//folE//mlrA//cpxR//pepD//fldA//rpsU//rpiB//glpA//yebE//asnB//gspC//mglC//flgJ//bhsA//ccmD//cbl//yafP//fliH//fecA//csrC//nrfA//tadA//
PepA	gutQ//cadA//rybB//
PgrR	bioB//phnK//dtpA//ulaA//adiC//mhpC//nuoK//gltB//
PhoB	rutE//agaV//pgaA//nanE//putA//ydfE//yeiB//galE//acrZ//narL//yfdX//btuB//tnaB//sgrS//ycjF//spy//baeR//fldA//trpB//glpX//phnP//glgA//fecE//ppiD//lamB//fadJ//phnN//malE//rpmI//pck//lhgO//gadF//xylR//rclB//flgJ//thrS//ydfH//nemR//tonB//ppsA//folE//crp//phoB//puuE//fabH//melR//ahpC//pflB//nac//ydfN//nfsA//frdC//norR//hisM//ydiU//murC//speB//wzxE//nanK//arsR//
PhoP	gspO//ddpB//yccA//araH//iraP//gutM//hflD//flgF//ydhX//xylG//hydN//mgrB//flgA//cusC//garP//gadC//ilvC//oppD//yhbT//fabD//agaA//malE//ccmA//dgkA//glcE//cydA//fumB//hycC//tauA//purH//ddpA//umuC//sroA//dhaM//murD//ulaE//mhpE//mgrR//gatC//cyoD//ymjD//uvrD//gapA//gabT//cynX//pheM//qseB//prpE//mgtA//paaB//carB//atoB//mnmG//add//hyaF//rffC//
PrpR	mngA//fadR//kdpC//osmC//glmY//
PspF	yjjZ//fadD//dinF//metF//icd//cusB//nimT//
PurR	sucB//serA//rclC//cusS//pncB//yjhB//galE//cspI//yhdW//nrdB//hdeD//uspA//frc//ybfN//bioD//relE//aldA//ddlB//puuR//mtr//yeiL//ibaG//fepC//cyoC//ilvC//cpxA//tnaC//glpD//aceE//fucO//paaX//
PutA	leuL//manX//
PuuR	carA//glgP//fadB//ssuA//leuL//nrfB//narI//
QseB	yjbG//gutQ//rdoA//galP//
RbsR	gltD//nanK//allB//ahpC//omrA//fliZ//narG//nrdD//moaC//
RcdA	yeaE//wcaB//malG//ssrS//csgA//citF//gapA//ulaB//frdD//
RclR	dctR//ydcT//glpQ//
RcnR	amtB//nanK//eno//
RcsAB	fucO//glxK//flgL//fiu//ndh//kdpB//rybA//glcB//setA//gltI//lexA//flgI//exuR//glnK//aroH//hycD//
RcsB	yjbE//hcaB//pheT//phnH//hcaC//agaA//waaY//malK//fdhF//waaZ//nagC//glcG//cysC//entB//bioB//frc//ymiA//thiP//agaA//creA//thiP//ydhV//skp//cysI//tdcB//
RcsB-BglJ	dcuB//hemL//dicB//ybdN//marB//metJ//sroC//glnD//yibQ//gudP//gspH//pgaA//entC//rcnR//hyfR//ulaF//
RelB	nikE//asnB//ygiB//
RelB-RelE	symE//ldtD//fliL//
RhaR	rdoA//ariR//
RhaS	rpmI//dcuR//gntU//dinJ//entF//torR//
Rob	ydjM//hns//sbcC//ulaD//metC//yhbE//nhaA//yjbF//ddlB//emrB//murI//yfdX//ptsH//yqaE//grxD//wcaA//cytR//cecR//dnaN//talA//cydC//hybC//hyaC//appC//fepB//leuD//
RstA	gntK//hypE//ibaG//folA//napD//yafP//envC//aroP//recD//ydbD//
RtcR	chbB//phnG//
RutR	metJ//galP//waaH//yfdE//tolC//pgm//sgrT//cas1//yciW//hlyE//gntT//ascB//fadM//cspE//cspI//crl//uof//
SdiA	paaF//rpiB//flgI//nuoL//yhbE//
SgrR	nanE//fruA//nhaR//wcaB//paaK//evgS//gadF//ccmC//rpoS//
SlyA	rstB//
SoxR	sucC//aceB//fliP//
SoxS	lldD//crp//uvrC//creB//yafN//nrfB//potG//sdhA//ygeA//lsrB//ulaG//yhhY//ybhS//hyaD//zraS//metA//murI//ynfF//fepD//rcnR//flgE//lamB//phnG//aroP//yciX//ulaA//nfo//alaS//idnT//rprA//metJ//emrB//glnA//pstS//csgB//xylG//alsC//gatY//flgI//glnG//
StpA	gspJ//ompC//focA//oxc//yiaJ//ibaG//casE//
SutR	srlR//pyrD//ddpD//psiE//uof//
TdcA	fepE//relA//galP//citX//ydbK//xylG//cpxR//
TdcR	acrA//wrbA//feoC//uspA//zraR//ftsL//yhdZ//
TorR	uxuR//rpiR//zraR//sucC//rutF//fumC//chbC//cynX//csgC//ecpR//icd//sgbU//
TreR	seqA//yciE//
TrpR	frdA//metN//spy//emrA//psiF//tnaC//hybB//cspI//flgN//rprA//qseB//hycB//
TyrR	nadA//lldR//leuL//ptrA//srlB//sutR//hyaB//lrp//uxuA//pgaD//manX//bolA//
UhpA	fecB//
UidR	yoaG//fdhF//pgaB//lsrD//
UlaR	caiT//phoU//ydcV//fliZ//hemL//ycjG//fliC//
UvrY	deoA//sbmA//rutC//hslJ//pspE//
UxuR	sufB//cydC//marA//gadW//lpxD//trpR//nanC//flhA//wcaB//
XapR	hokE//fur//
XylR	cusB//nirD//zraS//trpD//melB//mdtA//pck//
YdeO	relA//gabP//ruvA//yciX//entS//pqiB//relA//rdoA//hybF//flhD//glxR//ddpX//focB//hokE//flhC//amtB//tdcF//bamE//tehA//gatY//moeA//
YedW	agaC//pagP//crp//flgH//nrdA//yciX//xapB//flgB//arsB//edd//sodB//sdhD//
YefM	yhdW//micF//
YefM-YoeB	rpmI//fliE//
YehT	ppiD//
YeiL	fhuA//
YiaJ	hybG//dcuD//uvrA//dnaA//mntS//yiaM//slp//bdcA//ydfX//citX//
YjjQ	symE//cyoC//ppc//luxS//trxC//rseC//glpC//dsdC//moaA//mngA//
YpdB	dkgA//
YqhC	rnlA//epd//
YqjI	ybhF//patD//
ZntR	gnd//
ZraR	cytR//ugpQ//dhaL//
Zur	feoB//ybhL//rclB//zraP//mdtD//pfkA//
