#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	osmB//grxD//
CpxR	hokE//caiE//agaI//lysA//ydhW//truB//nrdA//fixC//kdpF//fadM//rseA//glpC//sucB//ptsH//nanE//ung//lsrG//ybiT//yiiS//glcA//ynfE//ygeA//pgaB//pheS//ftsQ//yhdY//rutR//baeS//pncB//aroF//phoB//gcvP//glxK//ccmA//oxc//lpxD//oppA//fliH//cynS//fixA//aspC//cytR//dsbG//flgH//copA//ynfH//xapA//talA//puuA//gudD//rseA//astA//cyoA//ybjC//argE//ndh//fimB//wzc//ybaT//yiaM//nanA//ydbD//fucU//tauB//ydjM//yfaE//ymgA//cusS//micF//hyfI//
Cra	nanE//deoD//glnB//atoA//fldA//fucO//glmU//ddpA//emrK//napA//flgG//rbfA//gabP//ftsI//wecC//caiC//gltL//dinB//paaI//relB//yhbT//cusS//flgD//adiC//fiu//baeS//ynbC//cecR//exuR//nikC//rutD//recX//murC//iraM//yqaE//accB//hyaE//waaY//mntP//tadA//bamE//glnG//wrbA//argC//bglJ//dhaM//yiaL//araG//hslJ//lsrR//deoC//lsrD//hycH//yeiL//ybhF//modB//ttdR//ulaD//purN//ydeN//ykgO//accA//entH//hydN//wzyE//hcr//glk//mdtC//yjbG//deoD//glyA//envC//fecD//nfsB//fixA//yeaD//casB//nadB//pstA//
CreB	pspA//tdcA//phoQ//napC//lon//
CsgD	mglB//flgH//iscS//yjhC//ydhY//mglC//fecB//hyfC//ccmE//csgA//ruvA//hycA//fixX//rnlB//nrfD//creC//entA//ygbA//hcp//ddlB//paaG//nemA//uxaA//ftsA//idnO//aceA//ftsK//ybdN//
CsiR	bluF//ung//cas1//cpxP//treC//
CspA	arsC//fliI//
CueR	sroD//ttdT//fadD//mtlA//modB//sroD//murR//
CusR	hisM//uidB//rclA//ugpB//yhbT//ynjI//astA//ybfE//pgi//fliI//rybB//polA//
CynR	phnM//feoA//yiaK//tauB//
CysB	puuE//norW//fbaA//phnJ//norV//xylA//nhaR//narJ//gntP//nrfF//gspE//tfaQ//hybE//fliL//dps//sbmC//patD//umuC//nimR//yhbT//metH//treB//cho//fadH//trxC//cysD//cecR//pyrC//hyfA//mgtL//hyfE//xylF//
CytR	evgA//ykiA//ccmF//mdtE//mlc//bglJ//cpxQ//malT//napH//ftsW//yciF//pstB//fucO//
Dan	puuR//aspC//tauD//sulA//
DcuR	speA//csgB//uvrD//ftsL//hcaC//ygiB//nrfA//yhjC//appX//
DeoR	yfdX//recX//setA//melB//gntP//ndh//
DhaR	fliC//higA//tyrB//yhdZ//
DicA	csgD//galT//ydhX//uspD//mngR//dgcZ//cvpA//hycC//
DinJ-YafQ	uvrA//nhaR//flgC//
DnaA	yafP//potH//metK//lysR//tauB//glyA//xylG//rffM//astE//puuR//hypE//yqhG//
DpiA	aroM//gcvH//hycF//fruB//nrdH//ybfE//oxc//tam//rdoA//dcuB//ompW//
DsdC	hyi//araA//hyfC//
EbgR	phoA//mioC//
EnvR	ulaA//spy//
EnvY	ugpE//fnr//
EvgA	cynT//yhiD//nadA//tdcA//puuB//recD//paaJ//pstS//pstS//pgi//malX//fecD//araH//nrfB//paaK//ugpQ//gcvH//ycjX//cpxR//
ExuR	glcB//prpR//hha//ihfA//cyoD//rimK//cas1//mazE//uvrY//
FabR	ascF//frdB//
FadR	fixB//ydcU//ydhT//metL//metJ//dctR//entC//tyrA//cspE//yeaR//ubiC//hycE//tcyJ//gfcA//gltJ//fbaA//dapD//bdm//metC//yegZ//tolC//betT//lsrB//
FeaR	paaC//arsR//
FhlA	exuR//araF//nohA//tnaC//rpoS//bamE//acrR//appB//tcyP//rutG//ulaC//fhlA//glpB//rfe//paaY//yccJ//yhbE//hisQ//rtcB//sbcD//creB//ykgM//lsrB//astB//entS//aceA//rcnR//yciF//kdpC//treC//
FlhDC	csgC//ttdT//ydfN//uxaA//sdhA//glnA//dhaK//metB//soxS//aceF//umuD//lysO//gspD//alkB//dsrA//hdeB//osmY//gspO//manY//sdhD//recX//frdA//rbsB//sufS//wzxE//aldA//focA//yafN//fau//recN//gfcA//nemR//flgL//fruA//guaB//mltF//xylF//codA//tyrR//rsmH//sbcD//oppC//gatC//hypE//feoC//lysO//bglB//argD//fucO//galK//nrdB//dnaG//mngB//baeS//dinQ//yhjX//hcaF//chbG//relA//casB//phnM//lgoR//nuoC//ydiV//gspK//flhE//rhaR//dcuR//astA//betT//rpmA//ppdA//citD//norV//obgE//agaV//puuC//exbD//emrY//prpB//fecR//hyaF//
FliZ	sgbE//cdaR//csgB//tsx//hha//asr//astC//gnd//ftsK//ssuE//yciE//fadI//hypA//lolA//nuoB//manY//yhdZ//uidC//sufC//kdpB//gfcA//
FucR	crr//leuB//hypA//efeU_2//nanM//rcnA//ttdR//
Fur	acrA//rffM//nusA//potF//ilvC//rstB//aspA//flhD//mraY//nrfC//hyaC//pqiB//aceE//gltF//acnB//citG//ybhF//ptsG//aroP//nfo//uspE//tehB//cpxQ//nagE//ydhY//gspM//glnA//yegZ//fixA//dinQ//nohA//gadW//nagC//ptrA//cydC//phnN//adiC//idnO//gspE//motA//hycG//yccT//bamE//hyfG//ccmF//caiE//casA//qseC//fliZ//focA//ydeI//flgD//phoP//yeaR//psiE//rseB//feoC//galT//yjbF//bglF//nmpC//leuL//fumC//yiaK//allC//glnP//sdhB//rutF//dinB//citD//paaZ//dsbA//nuoB//hyfD//hypB//efeU_2//rutD//uvrB//putP//ydfW//cysM//leuC//yncE//mraZ//arsB//hlyE//hypC//emrK//yiaM//putP//bglB//sgrT//fixX//fldA//lpd//yjhC//ssb//lsrF//fucK//yjbE//phoU//rbsD//fucU//mdtE//psd//kdpF//flgB//nrfG//ynbC//melB//purF//xylA//fliE//glnP//dnaN//glpF//puuP//gltL//dcuR//leuA//rdoA//wzc//araJ//uspE//hisP//hybG//znuA//carB//znuA//glnA//
GadE	tisB//ydhU//gatY//hcr//gspK//tehB//rffG//hyfE//mhpC//rffM//mntS//sucC//glgX//exbB//zwf//pstB//edd//sutR//entS//yqjH//ppiA//glmY//carA//oxyS//frdD//cyoD//exbD//nagA//umuD//
GadE-RcsB	ymgC//adiC//hyaC//ftsW//csgD//mngA//recD//yiaL//sutR//
GadW	glcB//pstA//csrB//appX//ubiA//dgcC//dgcC//glpD//hybC//agaS//fabH//lpxC//mltF//cysK//bluF//
GadX	nrfB//yidL//ftsA//sufE//lpxA//nagB//cysG//rutA//lrp//wzc//flgA//hyaB//ydeI//lysA//ybfN//mgrR//cysC//rnpB//rhaR//omrB//rob//fhlA//mtlA//csrB//garL//rbsR//mdtD//wecC//nfuA//
GalR	nuoK//cpxP//ygiC//napH//bioF//nrfE//pdeL//uxuB//ppdA//sucD//
GalS	leuC//gcl//wzyE//manX//sufD//citG//fadM//narH//sulA//cysB//
GatR	flgA//tsr//yidL//flgL//yhdZ//lysC//
GcvA	phnI//hyfR//crl//hns//cdd//
GlcC	focA//ydeM//nupG//potH//efeU_2//fadM//yqjI//
GlpR	lysO//rutB//ybiT//flgJ//gcvP//uhpT//kdpA//adiC//dgcZ//
GlrR	fadE//rclB//trpR//melR//allD//
GntR	ldtC//ecpR//ugpQ//flgK//nupC//glgP//ppdB//feaR//ulaB//yecR//mntS//allS//
GutM	ydhX//flgI//argC//rstB//glnH//fadL//crr//
GutR	yjjZ//alaS//tauA//purR//mraY//sufA//aceK//
HU	waaZ//yhbT//aroP//fecC//acnA//entF//dsdC//dmsC//caiC//
HcaR	cadC//ydeM//nupC//mdtF//nanS//atoE//
HdfR	cysD//hipB//aroH//fliD//fliI//
HigA	rpmA//rstA//
HigB-HigA	ahpC//evgS//
HipAB	yiaO//hybD//ccmB//gspL//yiaO//
HipB	nrdA//pgi//mdtD//fliJ//ydcV//yiaM//
HyfR	yfbR//purD//mtlA//cirA//lexA//hyfH//lsrG//gspF//mnmG//tynA//hycA//sgbU//
HypT	hokE//glpT//ynbB//hha//chbA//phnN//glpC//iraM//rbsC//hns//ada//carB//wecC//
IclR	flu//dcuR//ruvB//iscU//
IdnR	potG//fliF//cvpA//yoaC//fbaB//prs//hyfI//
IlvY	pgk//ccmH//
IscR	lsrC//aroF//mtlD//cydB//yhbS//cheW//cyoA//bdm//rpiB//hycA//citC//uvrA//ybfE//hipA//tyrR//ibaG//cusC//entA//agaI//tonB//chbA//oppC//astE//rutR//osmC//uof//higB//garL//feaR//ptsH//fliL//fabA//
KdgR	cas1//rseA//
KdpE	gspO//decR//asnB//fliF//
LacI	pncB//treR//betB//
LeuO	glmS//treR//rnlA//purF//ybaT//paaJ//yegH//mglA//ftsI//infC//ynjI//rhaS//paaX//marA//paaB//fepG//pagP//glmU//fecI//ynjI//
LexA	nuoI//malK//oppF//tsgA//ibaG//yqhG//ndh//yciG//mhpB//kdpA//ydiV//fliJ//mhpT//baeR//relA//dmsD//nrfG//yhjX//glnQ//rhaA//sufD//mhpF//gadX//uidB//aroM//pdeH//tdcC//ahpF//phnI//ulaD//sgbE//asnA//ydeP//hycB//caiC//asnA//gadC//aspC//rffM//prpD//purC//cas2//flgF//feaR//ydeI//ddpC//gpmM//rpiB//ptsH//nac//argP//puuB//ppdC//glnP//prpE//infB//rplU//nirC//crl//
LldR	uidC//ygdB//malP//
LrhA	wcaB//sufB//paaG//hycF//
LsrR	ppc//tnaA//nrdB//manX//yjeV//iscR//pyrC//atoD//hypD//
LysR	ddpB//ascB//
MalI	paaE//fpr//pflB//
MalT	fadH//wrbA//ebgC//ydcV//glgB//ybhS//glgC//ssuC//mpaA//murE//
MarA	ebgA//cynR//ppiA//narL//fruB//garD//fdnG//gltK//wzc//fdnH//flgK//fecI//cysK//ydcV//csgC//gspI//fepA//cysU//modB//cydC//fliD//leuO//lrhA//tolC//luxS//nanE//nrfB//mtlD//trxC//bacA//dnaA//murE//srlD//glcA//wzb//norV//mhpE//yhiM//
MarR	dinF//pstB//hemH//
MatA	gpmA//feoC//ygeA//emrY//hyfF//ynfE//iscU//creD//
MazE	allE//cysB//mhpD//
MazE-MazF	casA//acnB//emrY//
McbR	acrB//eno//gatC//cusC//
MelR	glpF//gadY//mdtD//
MetJ	nimR//rprA//gspM//ftsA//idnD//metR//sfsB//ftsW//sdhC//aroP//ndh//motA//sdhD//znuB//fbaB//
MetR	hycI//hycI//fldB//metB//ryhB//
MhpR	malQ//sroC//sgrT//sucC//oppA//lpxD//
Mlc	gspK//agaA//fliC//ttdR//cysW//fliG//phoB//ryhB//hisQ//nuoB//
MlrA	astE//sucA//glcG//pflB//cbl//skp//kbp//hybA//ynbB//hyfG//
MngR	asnA//nrdG//gnd//
MntR	pyrD//chiP//gudP//tnaA//metK//
ModE	yoaG//ydfD//ychF//mzrA//higB//glmU//tolC//hcp//yfdV//tsr//gspF//glmY//araD//acrA//tpiA//phoH//cusF//ulaD//gabT//tadA//exuR//pagP//nfsB//rseB//casA//waaZ//fabG//glcE//sfsB//hybA//nrdE//ydfN//mntH//pck//lpxA//gltB//csgB//xylF//hybO//hycI//lsrC//glxK//sodB//hokE//tynA//yebE//
MprA	mraY//murQ//ttdT//mtlA//ymgA//ymgA//
MqsA	gabP//prpB//paaJ//atoA//hyfE//ribA//pspD//tktB//
MraZ	yefM//bglG//hyfI//caiC//gatD//phoR//glgP//glpT//srlB//ynbA//purB//csgB//pqiB//ybhR//pspG//fadE//hypE//
MtlR	lamB//hisM//gutM//
MurR	pck//acnB//dctR//
Nac	mntP//dcuB//pgaB//mntH//gspH//leuC//gutQ//ssuE//gabT//alsA//cysJ//fhuB//micF//fecB//frc//aceF//fadA//baeR//yjeV//mngR//ulaB//
NadR	dsbC//yecR//pgaD//glpC//
NagC	gltL//yhbT//pspD//cusC//fliP//pitB//cynR//hyaA//leuL//wcaB//gabD//pqiA//yaiA//gntP//aroP//hcaB//ompF//xylH//hycD//chbG//rpiB//flhB//ykgO//srlE//melA//sulA//fumB//dctR//ybfE//yjbH//purE//ftsZ//nanA//aroH//appA//setA//dinJ//
NanR	nimR//allS//yegZ//lsrR//folA//araE//purA//chbA//malM//trpA//tehB//
NarL	narJ//glnQ//asnB//cysG//hyaC//amtB//sdhA//pgk//glnB//hdeD//trpC//idnT//ybhL//malE//yeaG//ugpQ//ydeO//fucK//fliP//cheA//ycjF//nuoI//glpX//hybE//gutM//fimB//fadI//araD//yciX//trpE//ptsI//ybaT//mqsA//murF//bhsA//fruB//ibaG//glpK//gltJ//wecB//dicC//ydiV//rcnR//appY//recN//agaS//tnaB//asnA//feoA//sroA//cysN//rpsO//gntP//aceA//ykgM//ybaT//rbsK//potG//mhpD//yiiS//ydfD//mdtB//uxaB//yaiW//dps//ybhS//ybhF//patA//paaG//nadB//bdcA//add//yfdE//rhaR//flgB//sutR//sgrR//ttdA//yiaL//relA//mhpT//putA//glcF//ppdC//fbaB//ydfE//fucR//recN//yhjX//rsmH//lacZ//gntT//citG//mtlA//rprA//citD//napB//fadD//tam//ibaG//codB//trpA//fliM//ubiX//asnC//paaZ//tisB//bioA//qseB//caiB//ldtC//yncE//yciG//rhaB//uvrY//phnC//ydfE//caiE//gloA//alkA//nuoM//fdnI//fucR//
NarP	rffG//idnR//murD//yjiY//rcnR//gspI//dsdC//hyfA//acrB//fliQ//yibQ//uhpT//gcvA//araB//feaR//cusA//xylH//aroL//ftsI//aspA//ptrA//allB//dnaA//paaG//motA//ydfW//artP//znuB//symE//fadR//nrdG//hokD//fhuC//ihfA//rstA//lon//frc//talA//argF//pnp//umpH//glpC//melB//casC//mzrA//dmsD//torC//fepG//deoB//metN//
NemR	adiA//yoaG//mpl//
NhaR	fhuB//iscU//mqsR//ycgZ//pheS//cysD//cvpA//
NikR	rpoD//ydjM//malQ//fadH//treR//soxR//
NimR	ptrA//purM//
NorR	mdtE//kdpC//potI//
NrdR	araJ//ebgA//csgA//yfdV//nanT//fucK//aceB//flgI//flgJ//
NsrR	metR//nagE//ygaC//cydC//ccmB//yfaE//manZ//nemA//nadB//ygiZ//dmsB//rbsC//rbfA//dgkA//pstS//iraM//frdC//cheW//csrB//ddpB//entC//puuE//pykF//flhE//melA//wecB//hycI//hyaD//cpxQ//marR//bioF//ydhU//rstB//lsrB//kbp//nikA//zraP//cirA//tdcG//aceE//artP//rpsU//purA//emrK//creC//yegR//oppC//glcE//emrY//pspF//fumB//glcF//yecR//nrdA//cusA//gntT//rbfA//exuT//ybfE//tdcA//sroA//nagA//sulA//norW//flgM//hcaF//napA//yfbR//mscM//purA//evgS//astA//tam//hycI//kbaZ//torD//mdtB//yqhG//allA//codA//fixX//rseB//ygiZ//
NtrC	phoU//sbmC//rcnR//fliC//glnA//kdpB//pyrD//relE//paaI//rutR//hflD//nagC//tdcB//frdD//glnB//ydfX//rhaB//dinF//efeU_1//iscR//manY//flhD//cspD//hydN//citX//nirC//ubiC//cydD//moeA//guaA//ppiD//torD//nrdG//casD//rpmI//speB//gloA//ydhY//fadI//cyoB//napH//lsrA//degP//entF//rprA//kbp//mhpB//ydeP//hyfD//
OmpR	hybF//ascF//ybdZ//ymjC//pck//phoA//dicB//cdd//truB//ydbK//hokE//sgrR//metB//phnL//alsE//ybhR//pykF//gcvP//gadE//gadX//kdpF//
OxyR	uidC//zntA//uxuR//norR//sroD//csrB//dpiB//aceF//lldP//cheA//rdoA//ftsL//cysW//nemA//nirB//ibaG//kdpA//gpmA//znuA//alkA//yeaH//ulaE//bglJ//betT//ytfE//lsrK//cho//fau//caiD//casA//ybaT//melB//mpaA//dcuR//
PaaX	lyxK//hisP//soxR//malK//truB//rpiB//ydeN//sbmA//yfaE//aslB//aroM//malK//nuoJ//citG//
PdeL	gspK//
PdhR	rnlB//rclB//add//umuC//exbD//ycjY//tsx//umuC//malP//argG//ung//aceA//ssrS//ugpA//sgbH//nfsA//infC//gltB//ruvA//lpxA//narX//rhaA//chiP//fliA//lsrA//rhaS//narG//nrfC//gltL//hmp//pspC//cadB//nirB//pepA//oppD//gspF//uidC//gcvH//trpA//pyrC//argH//
PepA	nuoC//cydC//zntA//
PgrR	fliH//acrR//leuA//ddpX//hokD//guaB//paaX//marB//
PhoB	nfsB//csrC//nfuA//aceK//xapB//dmsA//torD//cdd//ddpB//gatC//ydhW//pheM//ftsK//csrB//gspM//glcE//sufA//yoaC//sgbH//yqhG//gudD//phoQ//hyfR//ygaC//paaF//sgrR//envC//arsR//galT//fhlA//mdtF//glmY//purE//ybhR//flgB//dicC//mraZ//yjbG//hyfC//symE//idnO//ssuE//cpxP//pspF//omrB//ynbD//tdcD//arsC//casD//glgB//treC//ftsZ//fabH//uvrC//murG//waaH//hypD//nagA//atoB//fldA//
PhoP	trpC//yhjA//hisM//fadI//glgA//phoA//uspE//purF//adhE//leuD//pdeR//cadB//caiE//fliC//murI//cdaR//ldtB//ydcT//glgC//chbF//glpQ//cynX//yhjC//dicB//ynbB//argT//paaA//leuB//truB//argB//glnQ//hycG//fepE//cysB//ygiB//cheA//glnB//lolA//manZ//sucA//yafO//kbp//rprA//yfdE//hdeB//arsR//paaZ//ynbA//rpoD//gnd//dcuS//wecC//rseC//ftsQ//yeaR//yhjX//
PrpR	ftnB//bdcA//hns//argO//rclA//
PspF	glxK//ycdZ//nrdI//rtcA//fecA//moaA//cpxP//
PurR	potF//kdpC//fliA//rpmI//murR//torD//acrB//fabZ//ddpC//hypA//torD//insK//fucI//fliC//stpA//pspD//aspC//pqiB//dinI//sbcC//puuB//gltL//focA//cysU//mhpF//flgC//uxuA//fliD//galE//entS//hcaF//
PutA	hyaE//ariR//
PuuR	fixX//dhaM//glyA//betI//rbsD//creA//cpxP//
QseB	sucC//leuO//hmp//luxS//
RbsR	uxuA//ubiX//cysB//ddpF//pspG//paaD//norV//nuoA//lexA//
RcdA	nikB//bacA//aroG//fadD//fecR//mdtE//yiaL//sucA//aidB//
RclR	araH//slyB//dacC//
RcnR	galT//mnmG//ymgC//
RcsAB	hybF//malQ//mdtA//hybB//metI//creA//putP//lsrR//glcB//purK//cysJ//btuB//ftnB//rutB//gyrA//ybdZ//
RcsB	chbA//pheM//glnG//fecR//zwf//lysP//mazG//hyaF//sbmC//bglG//fdnH//pspF//mglC//kbaZ//oxc//bluF//trpL//yccJ//rutB//ompF//ynfG//araC//ompC//fixB//ycjG//
RcsB-BglJ	rnlB//cysG//metB//ryhB//fliK//melB//malI//yiiS//ptsI//mzrA//bioA//purL//phnE_2//rhaR//hcaC//sdhD//
RelB	mngA//fruA//alaS//
RelB-RelE	cysM//infC//hybB//
RhaR	malT//dgkA//
RhaS	nrdD//hslJ//amtB//gspE//mgtL//yhdY//
Rob	ung//nrfA//entS//mdtF//caiE//fepC//allB//agaD//ygbK//norR//pgaB//emrA//fadA//lldR//deoD//ssuB//sufC//nikR//yhbS//gspC//mpl//tadA//yeaH//trpC//marR//zinT//
RstA	uspE//uidA//ydfH//ycjG//cysA//pheS//pncB//uspA//lldP//nrfG//
RtcR	ftsK//casB//
RutR	nfo//ptrA//glcC//psiF//uxaA//moaC//potH//sufC//exuT//flgL//xylH//qseB//hybG//argH//paaZ//glk//asnB//
SdiA	bamE//agaB//hybE//fau//dmsA//
SgrR	osmC//yfiB//ulaA//ulaD//leuC//hypE//fecC//atoD//fliN//
SlyA	yciX//
SoxR	puuR//mhpD//hyaA//
SoxS	hydN//dinB//gadX//mepH//uxuR//metC//oppD//yiaL//creA//chbA//fadL//rhaA//nirB//gcl//lacA//srlA//napA//fixC//ompN//ttdA//dhaL//argB//ybjC//yoaC//feoB//lpxC//rclC//hyaC//cheW//arsR//pspG//gudD//dhaM//fecC//uxaB//lpxC//yagK//emrY//rhaT//ddpF//
StpA	cbl//yfiR//narG//ecpR//argR//entB//slt//
SutR	pstB//mcbA//znuA//yhjX//tsr//
TdcA	atoB//aceE//rffC//evgS//nfuA//fliF//ycgR//
TdcR	fadL//hycD//cheA//cyaR//rutB//yibQ//mtlR//
TorR	epd//micF//putA//rpiR//galR//ddpB//ugpE//carA//gadY//ybbY//dpiB//fruA//
TreR	gapA//allA//
TrpR	ubiX//ccmC//fldA//hybC//hybC//gntX//ruvA//yagK//kbp//garD//aroH//feoC//
TyrR	leuD//fadD//hha//fucR//mglC//rnpB//rpoH//mtlR//wcaB//ydbK//gspI//fliQ//
UhpA	yiiS//
UidR	nanM//hcp//katE//isrC//
UlaR	aspC//fes//rseB//fadL//dsbC//crr//metR//
UvrY	fimE//araB//sroD//rcnR//mhpE//
UxuR	dcuR//garD//sbcC//yeaD//truB//yqhG//cyoB//rutA//iraP//
XapR	yjbH//fliZ//
XylR	lsrG//atoE//hyfB//gadF//fliM//nrdG//flhD//
YdeO	malS//srlA//ybaS//ecpA//thiQ//malX//sroD//dmsA//waaY//ssuE//lpxA//ymjD//crp//ychF//malS//acnA//ecpR//cadA//glpX//mglC//galP//
YedW	exbD//flgJ//potG//fhuD//caiF//idnD//nuoE//lhgO//mlrA//rnlB//purF//alaS//
YefM	nikE//ldtB//
YefM-YoeB	prpC//rutA//
YehT	arsB//
YeiL	nfuA//
YiaJ	mhpD//cyoA//seqA//potG//argR//ybhR//acnA//glcB//relB//yccA//
YjjQ	hybD//sufE//gadW//ygiB//bglF//pstA//rpmA//puuD//phnO//fldB//
YpdB	fliF//
YqhC	ydhV//glpB//
YqjI	mltF//ryhB//
ZntR	glnA//
ZraR	focB//fhuD//srlD//
Zur	dinF//phnH//flgF//yibQ//sufE//wcaB//
