#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	lysP//codA//
Cra	purN//bhsA//hmp//lldD//wzyE//rbsA//hyfJ//hyfJ//gatC//ugpB//aceB//ssuC//yagK//hyfG//paaK//tdcC//gntU//flhC//gadB//rseC//ugpA//qseC//hisP//gspD//flgE//csgD//tbpA//wcaB//glgC//emrA//bglB//casE//purL//nuoH//gspG//uvrB//betI//decR//nanM//srlE//metB//rbsC//gadA//fdnG//cysH//kbp//yiiS//mqsA//galP//flgN//fadM//prs//yaiA//fliN//fabB//dctR//idnT//speB//glnA//fliO//hydN//astD//rseA//nirB//mdh//ogt//moeA//narX//atoB//rutG//fabZ//decR//lsrK//ydhU//alsA//sgrS//creC//pstA//napF//
CreB	entS//ppc//yegZ//cysW//phnE_2//
CsgD	mcbA//ung//gatZ//tyrR//phnL//csgF//trpD//glcF//nrfD//potH//dinB//infC//mglA//speA//yhiM//yagK//codA//hcaE//caiC//hybG//dicC//mgrR//yidQ//rutR//sfsB//efeU_1//rhaD//bioF//
CsiR	artJ//folA//purC//dsrA//iraP//
CspA	eno//wecB//
CueR	umuD//phnJ//uxuA//moaE//xylH//wza//rclA//
CusR	ydeO//murE//sgrT//crr//hisM//alaC//aroL//fliM//katE//hyfF//ddlB//argF//
CynR	borD//phoH//fnr//metE//
CysB	paaE//astA//cpxQ//phnI//rtcA//hyaF//prpE//allB//ygiC//cytR//entD//pepA//psd//ddpD//rutD//nuoK//wza//ygiB//cyaR//btuB//ymjD//folE//malX//paaY//hycE//bdm//araD//glgB//potH//phoA//hybE//adiA//
CytR	rstA//nuoE//lsrB//mntP//ymjD//xapB//cydC//uxaA//phnH//agaW//puuP//gutM//gspD//
Dan	rprA//lldR//ybfN//flgA//
DcuR	ddpX//hybA//malF//dhaL//flgH//citE//rcnR//katG//chbC//
DeoR	malG//ydcT//recX//citE//hybE//metR//
DhaR	yoeB//bglF//uspA//nirD//
DicA	rutD//pepA//uidR//evgA//cysJ//fixB//ymgA//nuoI//
DinJ-YafQ	pspE//hypA//deoC//
DnaA	atoA//citE//yegR//malM//fliM//hyfD//nuoC//manZ//mhpC//ppc//appY//deoA//
DpiA	rnlA//glk//deoC//manZ//obgE//ynjI//paaB//ppdA//degP//purE//gntP//
DsdC	tauD//yaiW//glnG//
EbgR	feoC//fliK//
EnvR	ugpA//rplT//
EnvY	gdhA//recA//
EvgA	focA//ptsI//ydbK//bglJ//hyaB//mhpD//exbB//hns//ybbY//metF//recD//chiP//bioB//gadX//dinB//ccmA//rhaB//putA//ompC//
ExuR	pykF//efeU_1//alsE//yegR//fimE//dtpA//nhaR//leuD//torA//
FabR	hha//mhpD//
FadR	borD//yiiS//dsbG//dgkA//aidB//pstC//hybF//wzyE//gspI//dicB//phoU//znuC//mtlA//ydhX//tomB//gcvB//flgE//tnaA//eda//purH//ccmC//gltK//srlB//
FeaR	phoB//napA//
FhlA	uof//fadI//glcA//idnR//malS//dmsA//seqA//ftnA//metA//idnR//sdhD//hokE//gntP//gspJ//mdtE//agaW//agaS//frdA//ybhS//trpD//crr//relB//yiaN//kbaY//kbaZ//cysC//degP//cysG//hyfD//nanT//
FlhDC	cho//dsbG//slt//dnaA//paaF//adiA//chbB//sdhB//rbsB//ccmA//flgF//cecR//garD//intQ//yafO//ynfG//kbaY//uspD//nanM//pspG//nrdG//aceE//rnlA//patD//dsdX//mngB//rutE//ydcV//nagC//pck//yjbG//mcbA//baeR//ycjX//glk//putP//gspJ//phnE_2//phoB//cas1//narX//rbsB//artJ//hyaD//nlpA//flgB//galT//obgE//arsR//cysG//aroH//wzzE//gutM//fadA//dkgA//bioB//casD//mlrA//gltJ//yjjQ//ydfH//phoA//kdpC//glpC//fecA//nanM//allS//paaZ//pdeH//gspC//ppiA//galK//flhC//mgrR//gcvH//ddpF//gabP//ompN//sodB//ung//cysW//xylR//
FliZ	srlD//puuA//iscR//tynA//glnB//metC//ymgA//ygiB//araF//chbC//ychF//lpxC//glgC//tnaB//yfdX//entH//dgkA//phoH//oxyR//ycjX//dapB//
FucR	yiaO//mglA//cysP//nuoM//tehB//glk//alkB//
Fur	intQ//cheA//phnO//fliT//dmsB//chbB//fecR//recB//dgcN//glyA//iclR//ybhR//fliN//mazF//galM//uof//caiT//mqsR//puuB//ygbK//nimT//alaC//fliD//creB//yedX//ppdC//ymjD//dnaG//metY//glcE//fixB//nhaR//nuoG//leuC//dkgA//nirC//mscM//chiP//mraZ//cspE//iscS//pheT//sutR//glpB//ycgZ//dacC//flhD//fixC//dnaN//rhaB//dcuS//napD//hcr//mdtA//cra//dinG//lgoR//malG//napA//mhpA//mhpE//metL//paaF//exuT//fecA//efeU_1//paaC//manZ//mntH//tauC//paaK//puuR//glmS//sodB//fldB//argI//mngR//glk//htpG//skp//ycgZ//napC//yciG//flgN//cspE//nrfE//ttdR//yoaG//napC//artJ//allC//ygeH//yebG//sdhB//fldA//yecR//artJ//atoE//btuB//pqiB//galE//napF//phnD//yibQ//fadD//feoC//ndh//aroH//hyfE//relB//metC//gatC//yiiS//dkgA//yfbR//appX//fliG//tktB//yqaE//puuD//ecpA//argB//yqjI//fhuF//tisB//sdhC//chbB//pstA//uvrY//citE//
GadE	sgrS//ybaS//baeS//fruK//yiaK//mntS//dgcN//gatB//pgk//fumB//mgtA//ynbC//ybjN//alsB//allA//ebgA//dcuB//dapD//hlyE//bglG//polB//nrdI//phoA//aroM//dinD//ulaF//rutC//hdeD//bglJ//
GadE-RcsB	phnD//kbaZ//phnI//rob//ompF//uvrA//inaA//mpaA//ygeA//
GadW	modC//murC//sbcC//glmS//rfe//purA//efeU_2//phnN//frdB//malX//araD//narK//nimT//idnO//fecR//
GadX	idnT//ybjN//yjeV//srlR//allA//ygiA//kdpB//ycjF//yccJ//dhaL//fliP//yneM//appA//ssrS//yqaE//nfsA//ptsI//malZ//gspF//artP//prpR//yedX//ppsA//uxuA//gspI//crl//lysC//paaI//ygdB//
GalR	hcp//evgA//csgD//alsA//yqjH//yedX//tauD//ulaC//ttdR//lldD//
GalS	yedX//mhpF//cysJ//adiA//rbsC//gadE//yagK//nanS//malX//fliS//
GatR	mtlA//yjbF//pspG//deoB//thrS//ccmH//
GcvA	tdcA//flgF//lolA//pfkA//phnL//
GlcC	speA//rffT//hyaE//gltB//creC//sbcD//fliC//
GlpR	ssuD//ompT//yqhG//phnI//murG//leuO//mqsR//znuC//ymjD//
GlrR	tnaA//ydbD//truB//ddpA//yeaG//
GntR	cyoC//ruvA//rbsR//tdcA//phoA//chiP//fumC//waaZ//fliM//cysN//pspG//fliQ//
GutM	cysJ//inaA//csgB//rpiR//nhaR//ssrS//chbG//
GutR	epd//pflB//fucR//nupC//insD//csgB//emrA//
HU	cysM//tdcD//argR//ddpF//dcuS//flgG//ycdZ//yjhB//tadA//
HcaR	yhiD//argF//caiT//fabA//purL//hyfF//
HdfR	cadB//pgaD//sdhA//csgD//dgcN//
HigA	glpD//fliO//
HigB-HigA	speA//wrbA//
HipAB	dpiA//rcnA//tpiA//rpmA//infB//
HipB	dinQ//aceF//fadM//phnH//wrbA//feoB//
HyfR	kbp//fixA//pspA//dhaL//ynfF//uxaB//lrhA//ttdR//xylB//paaK//ydhV//hypF//
HypT	ycdZ//yhhY//nrfG//polB//gadA//mgrR//lsrC//lrhA//nrfD//pspC//phnP//udp//efeU_1//
IclR	rfe//hyaE//cspD//gadX//
IdnR	hybE//melA//mscM//lrhA//cadB//ariR//kdpA//
IlvY	rhaR//lldD//
IscR	wecE//psiE//hyfE//betB//dcuS//allA//paaE//gudP//yiiS//uxuA//ecnB//nanA//sucB//artJ//tyrA//seqA//sdhD//nanC//rcnR//hycB//uidB//gpmM//phnG//pgaA//ynjI//flgM//pncB//borD//fadE//sgbU//hyfB//creA//
KdgR	slp//pheS//
KdpE	ygiC//atoE//slp//uvrC//
LacI	mazF//omrA//ytfE//
LeuO	rutR//gudD//pfkA//hyaB//deoD//ybfN//fes//nuoN//nupC//modC//creB//ampC//fabH//phoQ//ddpX//yciG//zinT//fucK//acrA//rpsU//
LexA	melB//dgkA//rpoS//ygiB//patD//ydcT//araA//fliG//ruvB//purR//mazE//rutR//fadA//rbfA//ldtC//accC//zntA//purM//paaJ//paaA//garR//nanA//fdnH//crp//cueO//wrbA//purK//gabT//bluF//dnaG//mtlA//dapB//mhpT//recN//artQ//cadB//hokD//lsrB//hisP//tomB//phnM//ydiU//ddpC//yciE//epd//zntA//norR//yeiB//amn//ompF//leuC//trpR//gadE//lpxA//dhaR//zraR//ygbA//dnaA//rbfA//
LldR	phoB//kbp//rhaA//
LrhA	mioC//fabZ//zwf//yhbE//
LsrR	lysA//flgK//yiaJ//sufA//yqjA//cysP//mhpB//decR//malM//
LysR	paaD//flgG//
MalI	gatD//dcuR//cyoB//
MalT	hcaD//metL//fruK//infC//guaB//lysC//katE//recB//yfiR//artQ//
MarA	bioF//dgcN//hycF//psiE//rarA//dhaM//torR//napC//glcG//glnB//metN//rclA//ulaB//casC//fepD//zntA//pnuC//tdcA//gor//ydfN//bioC//ulaF//fnr//hycH//uxuR//sdhD//yfdE//cysU//ftsK//yecR//cydB//leuO//yeaD//bglG//ttdB//hycB//ygdB//agaI//
MarR	fucU//xylR//bglF//
MatA	fadD//garL//lysR//hyaE//yegZ//sdhA//hybF//modC//
MazE	hybB//rffG//ugpE//
MazE-MazF	purM//feoB//yafN//
McbR	oppC//sucB//paaD//fucR//
MelR	alaC//spy//hdeD//
MetJ	yeiL//yqhG//malY//dhaL//flgM//yhjX//yccJ//aldA//lsrA//yoaG//flgJ//agaW//nuoN//udp//glnP//
MetR	moeB//hyfH//rhaA//tdcE//yhdY//
MhpR	exuT//ydhU//dinG//srlE//accD//ulaE//
Mlc	alsA//chbA//ynbC//pheT//yidL//ydcS//ygdB//arsC//argA//chbF//
MlrA	tynA//araG//hisQ//caiF//bglJ//ytfE//ruvB//umpH//treB//prs//
MngR	malP//atoA//pck//
MntR	citC//tehB//entE//pdeH//copA//
ModE	yqjH//appY//mtr//napG//ydjM//nmpC//sulA//ruvA//srlD//stpA//fliP//gntP//gltL//deoC//idnO//alkA//flhE//bioB//cysW//glcE//ccmB//xapB//guaA//fucU//entA//gpmA//ccmC//hlyE//appY//fliQ//pqiB//ahpF//ygdB//phoE//mprA//rcnR//insK//lpxD//ygiZ//insK//pgaA//fixB//sgbH//aceE//sufD//gudP//
MprA	hdeB//ydbK//gatD//dicC//fadD//phnL//
MqsA	moeB//uxuB//hycB//argP//fhuB//pspF//evgS//uof//
MraZ	gltD//ttdR//ydeP//alsA//lldD//glcD//ndh//luxS//xapB//wecB//citF//leuL//phoE//prpR//acrB//uhpT//ykgO//
MtlR	uvrC//glcB//crl//
MurR	ddpA//hyaE//phoH//
Nac	fabD//ariR//malZ//yqjI//hyfJ//flgD//gadB//dcuB//ychF//sgbH//speB//ldtD//galT//fliE//ftnA//mdtA//napG//uidR//nrdB//ccmF//argP//
NadR	argH//dnaN//norV//dinJ//
NagC	gltI//phnK//idnO//ybfN//betT//appC//mntH//dmsB//chbC//fhuB//gadA//mntH//rarA//paaF//yccJ//tyrB//rbsB//creD//yiaM//argR//patA//yqjI//dnaG//dnaG//garP//flu//ppc//phoU//nikE//phnH//phoH//gyrA//cysM//iscR//lon//rnpB//accA//
NanR	tfaQ//umpH//rffC//lysR//rutA//hns//flgB//hypF//guaB//flgF//hybD//
NarL	mdtA//dgcC//fhlA//yneM//ompF//phnP//flgI//paaG//glcF//allD//citF//caiA//fdhF//yiaO//ldtC//fadL//narJ//yfdX//atoA//pspG//bioC//fadL//thiP//gltB//ryhB//acrD//ccmA//puuE//gdhA//carB//potH//dps//yeaG//nemA//psiE//glmY//malP//mgtL//glcE//malY//fepB//sgrR//paaH//ppiD//phoR//fadL//dcuS//fhuA//feoA//srlD//frc//mqsR//galE//pgaA//degP//lsrK//ybbY//yqjA//gdhA//aspA//soxR//aldA//lyxK//cdaR//prs//cusA//mdtE//lamB//fliF//ydhW//ugpA//glnA//tisB//hyaF//sgrS//lpxD//wzc//cusF//recD//baeS//pspA//pgaA//nhaR//uxuA//yfaE//accD//purC//nuoJ//rhaD//sbcC//yafQ//yiaL//deoB//rnlA//mzrA//cydA//cirA//purN//yiaJ//hns//malP//cas2//nhaA//waaZ//casA//mglC//hybC//ndh//phnJ//mhpC//nohA//sgbH//cysN//idnT//guaA//dinF//phnH//cra//argA//grxD//galT//nuoL//galK//
NarP	wzyE//glnL//artM//mqsR//paaI//leuB//ynfE//cysE//garR//pdeL//lyxK//ttdA//cysM//yeiL//ubiA//ppiD//pspG//wcaA//rplU//rutG//trpB//paaY//fliF//mhpD//bacA//ddpX//araD//fecC//feoA//yegZ//metF//copA//ugpA//uidA//rbsB//ptrA//malY//inaA//hcaB//sbcC//tdcD//fucU//yafO//ndh//paaD//motA//glnQ//phnO//ftsI//ydcS//
NemR	feoB//fabI//focA//
NhaR	murG//sufE//yefM//guaA//aroG//ttdT//wecC//
NikR	xapB//melA//dapB//htpG//tehA//mngB//
NimR	dkgB//slp//
NorR	fadH//accD//flgH//
NrdR	patA//rarA//modB//agaC//astE//fiu//udp//ahpC//cyoE//
NsrR	malT//chbG//ydeO//aceA//ssuC//yjjQ//tcyP//flgM//yiaN//aceA//tyrA//recA//fadJ//rffC//thrS//seqA//ygiB//uvrB//ftsW//zraS//wcaB//nimR//tktB//tpiA//paaH//murG//lsrR//nanC//uxuB//cysA//ascB//ynfF//ycjG//moeB//allE//paaA//ttdT//flgL//yafP//prs//malM//cysE//metI//uxuB//hyfI//osmB//ddpB//tdcD//ppdC//nadA//slyB//tehA//hycG//ftsZ//ybjC//ycjF//argP//chbA//dapB//tdcG//hycI//bioF//araD//modA//fhuD//tnaA//iraP//putP//fixB//gadF//ymgC//glnB//rbsR//cysJ//frdC//rimK//prpD//rbsD//ubiX//ydeM//oxyR//flgN//mdtD//
NtrC	zwf//artI//glpF//fadI//yegZ//yhdX//agaR//nikA//tnaC//ydbD//yhdY//sufC//hyaD//glmU//ccmG//lsrK//gntU//araG//lldR//lysO//cydA//gnd//aroM//mhpA//yfdX//cysN//recB//ynfH//eno//yoeB//cusB//cysJ//mgrB//umpH//mnmG//casD//cueO//rffM//nrfF//gadE//bluF//nikC//lgoR//accD//metR//gpmA//fadB//tnaB//ldtC//
OmpR	hyfH//prs//uxaC//hyfE//cysG//srlB//uspD//cysM//marR//rnlA//phr//uvrB//exuR//gspO//fadM//hcr//ydjM//sbmC//rutF//oxyR//yhiM//
OxyR	mpaA//potI//pheS//murI//lsrG//lacZ//mgtA//uhpT//cadB//metF//ptsG//alsC//yidQ//gcvT//bdm//acnA//dsdX//ppsA//torA//ymiA//nfuA//flhC//yegH//exuR//nuoH//ftnB//rcnA//lsrA//glpC//marA//tcyJ//alsA//waaZ//amn//
PaaX	creC//molR_1//gspF//ygaC//fecA//fucR//mglC//casA//napG//entH//paaF//yqhG//acrB//tyrP//
PdeL	dinJ//
PdhR	fucU//rplU//moaE//pagP//gudX//cspE//paaC//ykgO//fdhF//torR//fliS//relA//cdaR//rbsC//modC//fumC//pepA//dmsA//nuoG//frdA//wrbA//dicC//rpmA//pnp//thiP//glpT//paaZ//ydbD//mdtA//pspF//yoeB//yidQ//mhpT//gudX//nuoC//csgF//argG//yhdZ//galR//dicB//dicC//
PepA	feoA//casE//nrdE//
PgrR	nrfB//rhaA//exuR//tauB//malM//entB//murG//yjbE//
PhoB	argH//lsrD//xapB//exbD//gcvB//ascF//prpB//allA//uvrD//uxaB//fliG//uidC//acnB//narI//cvpA//csgF//pgaB//oxyR//gadA//agaV//hypD//uidB//malX//hcaD//mtlD//leuO//gpmM//cysU//ydhV//rbsK//ybfN//csgF//torC//amn//lsrC//borD//ccmG//glpD//fumB//cueO//copA//marB//mdtF//murG//gntK//glgX//appY//creA//ydhV//malM//tsgA//cspE//hisQ//fliH//flgK//gabP//fixC//prpD//baeR//fliT//
PhoP	hyfH//nikR//fhuE//fumB//phoQ//dapB//lsrG//dcuR//iscU//yedX//garP//patA//ybjG//mepH//ybhS//purM//fhuB//bolA//sdhD//fliA//metY//pyrC//fliH//purA//allC//lrp//nlpA//mgtL//torA//rhaD//murR//recF//uvrD//tyrR//yegH//metA//zinT//ydeO//alkB//purH//metJ//ptsI//xylF//cspE//glcB//yiaO//insK//rutE//citE//efeU_1//appB//ytfE//cysJ//hcaC//iscA//metQ//
PrpR	dsbC//hemL//gspK//pgk//ytfE//
PspF	ykgM//phnJ//mtlA//cdaR//fucO//caiT//yjjQ//
PurR	mhpF//nuoL//cpxP//yfaE//dinJ//hybF//tonB//mltF//ahpF//malP//casD//sodB//astC//poxB//hyaC//paaY//rybA//hyfE//pqiA//ybbY//wzyE//aceB//fadR//bdm//mltF//ydfX//yeaE//ydfD//mtlA//cysM//paaK//
PutA	xylR//appB//
PuuR	uxuR//pgm//alsE//yciF//ascB//ybhS//gadA//
QseB	adiA//cirA//ybaS//metF//
RbsR	pnuC//tolC//paaK//nanT//paaD//umuC//dcuS//nac//cysH//
RcdA	ttdT//paaA//rffG//nikC//pspA//nrfC//fiu//yiaJ//exbB//
RclR	sgrS//yjbF//malS//
RcnR	rclC//pheT//nohA//
RcsAB	tadA//lldP//argP//mtlD//tnaB//pflB//ycgZ//cpxQ//dsdC//lrp//csgF//yciF//argI//focA//pflB//gspE//
RcsB	hyfD//nikA//fixC//moaB//fimE//ydiV//murQ//cysW//fadE//ymiA//ulaC//lpxD//yoaC//znuA//ytfE//torD//xylR//nrdG//uidC//fbaA//fadE//acrD//nuoI//ybdZ//gcvT//
RcsB-BglJ	dapD//phoB//yncE//gltF//fabI//uidR//gltJ//pgaA//fecD//appB//narG//sgbE//eno//phnP//lacZ//cdaR//
RelB	rseB//rhaT//torC//
RelB-RelE	nlpA//treB//metC//
RhaR	entE//pdeH//
RhaS	manX//rclC//ulaD//mioC//entF//oxc//
Rob	puuP//nanA//idnT//glyA//acrZ//ydeI//zinT//yiaN//rtcB//wzxE//mhpC//mgrB//puuB//qseC//exuR//phnK//cysN//uxuR//poxB//yafQ//fecE//narG//moeB//caiA//yiaL//glpX//
RstA	mlrA//mcbA//evgS//hdeA//ompW//bioC//malP//xapB//ulaD//yhhY//
RtcR	tdcD//alsC//
RutR	torC//potF//umuC//alkA//lpxA//fucA//cydC//caiT//flgH//fepD//rseC//ygiZ//aspA//aroF//yfaE//ulaD//motA//
SdiA	argD//yefM//dinG//pdhR//pyrC//
SgrR	frdA//argB//gor//ynbC//polA//srlD//cpxR//frc//gltI//
SlyA	soxS//
SoxR	fimE//pnuC//lldD//
SoxS	flgM//dcuS//pheS//potG//yeaH//yegH//flhE//narL//cadB//yidL//fruB//tnaA//rtcA//gadX//uspA//gspD//phnO//nrfE//caiA//oxc//glpD//gspL//acnB//nlpA//mzrA//rob//sufD//folE//yciF//oppF//ssrS//asnA//luxS//hyi//uidB//trxC//murG//uspE//yecT//cydD//
StpA	uof//glnG//phoB//dinJ//yciW//ykgO//ulaD//
SutR	dsbA//ldtD//tdcG//iraP//marR//
TdcA	erpA//bioF//mgtL//nuoM//nrdD//nuoI//phnJ//
TdcR	focB//glpC//nrfB//bglB//paaB//sdhA//yaiA//
TorR	cdaR//nuoM//murE//yafP//hyfG//rpmA//argG//ybiT//lyxK//entE//oxyS//wzb//
TreR	aroG//ynbA//
TrpR	gntP//fecR//nagE//yiaL//hemL//ptsG//frc//oppA//sdhC//mpl//bamE//oppC//
TyrR	adiA//leuD//mscM//flgE//guaB//relB//nfsB//mgrB//tynA//yqhD//hyfG//ychF//
UhpA	dcuR//
UidR	dsbG//uspA//pdhR//exbB//
UlaR	allE//fecB//yfaE//glcG//nemA//ydbD//gudP//
UvrY	cyoA//galE//hipA//glmU//ycjY//
UxuR	purA//alsC//trpR//emrK//sutR//tcyP//hycE//insK//cheW//
XapR	focB//araC//
XylR	rimP//bolA//fliL//glcA//hyaE//gudX//entA//
YdeO	dinB//relB//mtlD//mzrA//omrB//cysU//sufS//srlE//mgtL//mazF//sdhA//glnL//pgaC//nrfG//fucK//araD//nagA//kbaY//ybfN//yefM//creC//
YedW	recN//nuoA//nrdH//glgC//glcA//nrdB//ftsA//ubiA//lldD//fhlA//appX//yhcH//
YefM	uxuA//pheM//
YefM-YoeB	ynfG//galE//
YehT	phnE_2//
YeiL	torR//
YiaJ	ybbW//phnK//ykgO//dpiA//gdhA//recX//ogt//rclC//nrdG//yqhG//
YjjQ	gcvA//sufB//pspG//add//yqjI//nanK//rclB//aldA//yrbL//rplU//
YpdB	purA//
YqhC	ynfG//motA//
YqjI	glgB//yegZ//
ZntR	glyA//
ZraR	fepA//dmsD//ung//
Zur	yiaM//nimT//glnA//pdeR//phnI//lamB//
