#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	wzyE//ynfE//
EvgA	lysO//kbaZ//yjeV//lacY//infC//inaA//ppiA//kdpB//mraZ//degP//tdcF//accD//gcvT//purR//hipA//glnD//leuL//tauB//rpoD//
ExuR	leuO//gudX//pgaA//hypB//ynbA//srlD//leuA//yhiD//pdeH//
FabR	degP//yebE//
FadR	pgpC//feoC//glnH//ybiT//mlc//uidR//glmY//paaK//infB//inaA//cynR//ddlB//hypA//yhbE//gcvA//leuA//ydjM//modC//idnD//flgF//arsR//emrY//pyrC//
FeaR	ruvA//fliP//
FhlA	lsrG//yeaR//fabH//zraR//udp//yegZ//ecpR//creD//hycD//entA//purA//yhjX//ccmC//cyaR//dgkA//phnK//rnpB//zntA//rimK//cysW//rseA//pncB//ddpB//aroH//phoH//xapB//ycjF//agaD//rtcA//fadL//
FlhDC	napC//spy//glpC//moeA//ssuC//sutR//glcA//allS//cusR//feaR//cpxQ//kbaY//icd//rseA//yegR//recD//cspE//wecB//relB//ydjM//nhaA//cadC//yeaR//ybbW//trpA//uvrY//psd//rcnA//tyrB//putP//murP//malZ//feaB//talA//gabP//hybC//glgA//nuoB//fhuD//glxR//alsE//iscU//garR//sodB//ydhU//udp//mlc//flgG//mpaA//oxyR//ccmC//mnmG//wzxE//nlpA//gadW//ccmF//tynA//xylH//ymjC//hdeA//nemA//pnuC//sufS//rseB//yfbR//hybD//frdB//betT//gltI//ryhB//mdh//nikE//gltF//gntU//nlpA//flgG//ppsA//yegR//focB//mzrA//araG//hyaD//
FliZ	gltJ//acnB//codA//sgrR//cysB//chbA//dnaA//cadC//malZ//mntS//dsdX//ugpC//modC//degP//fau//ybaS//fliO//mdh//torC//borD//slt//
FucR	garR//paaB//murD//sbcC//wcaA//fepG//cho//
Fur	dinG//leuO//dinD//yneM//gltL//purH//iraP//paaF//hipB//dcuR//sbcC//aroH//katG//uspE//agaV//astA//purA//motB//cheA//ybhG//uspA//yoaG//nadB//znuB//qseB//pncB//pgm//malI//evgS//argE//uidA//rffT//focA//mhpB//phoB//fbaA//nirC//araB//hypB//nhaA//nuoE//ybjG//pdeR//ascB//prpR//ygdB//glpT//fimE//mtlA//nikB//cadC//dicC//phnE_2//yccJ//fixC//treC//dpiA//poxB//prpD//fdnH//hcaD//nfo//mntS//ddpB//nhaR//guaA//casE//murF//ecnB//glnB//casB//argH//paaD//mlc//alsB//ssuD//alsC//exuT//sgbE//hybG//xylG//flu//mngB//fucP//feoC//fdnG//gabP//metQ//bglG//uvrY//ynfE//ppiD//pstS//mglB//gutQ//bhsA//dkgA//sucC//mgrR//caiB//hcaC//hcaE//sroC//pyrD//ttdT//ebgC//lysP//glxR//cynT//nemR//agaB//sfsB//sdhA//emrA//gspI//alaC//flgL//glcA//moaC//ybdZ//malZ//napA//stpA//dgkA//araC//ycgR//yebG//napF//hipA//ybaT//
GadE	pstA//rutA//phnP//chbR//fhuA//ada//fliZ//paaG//moeB//nupC//lsrD//symE//dinG//yciF//nrdH//pykF//dcuR//sgbE//yjbH//gadF//tsgA//srlE//cpxQ//alsA//yccA//ddpC//ybfE//pstS//prpR//
GadE-RcsB	hisP//ydhT//cyoA//manY//sufA//sbmC//rffG//putP//nikE//
GadW	ydcU//hisJ//asnC//hcaB//aceB//kbp//fliO//rhaA//mhpE//garL//fliN//yqjH//rybA//frdA//cusB//
GadX	alaS//iraP//paaX//nfsB//pgpC//inaA//lexA//murD//recF//agaS//zwf//tyrB//agaD//ybjC//sucD//cysA//exbB//flhC//gatA//hslJ//wzzE//sroA//paaX//yqhG//yciE//fadJ//ilvY//ydhX//yjbF//
GalR	ybhS//hyfJ//ttdT//pqiB//frdB//gloA//dctA//tdcB//gatC//skp//
GalS	flgC//talA//phnO//yrbL//zntA//ssb//codA//atoE//fliM//yqjA//
GatR	araF//norV//isrC//paaK//rarA//fecA//
GcvA	malK//spy//mhpT//ygbA//dgcZ//
GlcC	paaD//alsC//gspK//adhE//astB//crr//ygeH//
GlpR	kbaY//fecA//paaK//glnB//fbaB//nanK//phoR//yefM//rpoH//
GlrR	ubiA//sroD//wcaA//glpF//symE//
GntR	kdpB//prpD//nimT//sra//uxaA//omrB//mcbA//feaB//pgaC//omrB//cdaR//flhC//
GutM	argP//manZ//purC//cusB//purR//cynX//ruvB//
GutR	ytfE//nrfE//prpR//lsrD//hypE//malF//malT//
HU	moaC//purE//astB//glnP//cysU//rbsK//ybjC//evgA//ppdC//
HcaR	hisP//garP//fepB//nusA//tolC//glnG//
HdfR	yefM//prs//ybjC//glcA//potG//
HigA	feaR//chbF//
HigB-HigA	entE//ptsI//
HipAB	entD//bioA//argO//pyrD//rcnA//
HipB	nuoJ//modA//gspD//dnaN//nadA//oxc//
HyfR	gspH//zraS//stpA//insD//lpd//xylB//yaiA//ydbK//phnO//gntK//dnaG//fliD//
HypT	nadB//tktB//agaB//sucC//yciF//fliF//tdcE//purC//sucD//napG//ynbC//iraP//sdhD//
IclR	fepA//dcuB//fadD//cysD//
IdnR	allE//rpoD//fliE//speB//dinG//asnA//hypA//
IlvY	ydfW//accD//
IscR	arsC//araE//lon//bglB//ychF//deoA//ynfK//mdh//csgF//pgm//rtcB//codA//atoE//nuoN//yeaR//yhiM//fucR//nikB//ybhS//appC//puuC//yecT//uidR//bglG//fbaA//psiF//mpl//uxuR//ihfA//pqiA//galS//sdhB//
KdgR	deoC//phnG//
KdpE	murF//hcaD//ydeI//dkgA//
LacI	ubiX//kbp//kdpB//
LeuO	allE//nrdA//yhdW//paaZ//torA//ttdT//ttdB//rhaT//mhpF//paaG//gspD//fhuD//dgcZ//nikA//slyB//leuB//glpT//carB//flgK//malI//
LexA	aslB//hyfF//ycgZ//ydcT//fruB//dpiA//astA//pepA//ssuE//leuC//citF//truB//fhuD//wzc//folE//rstB//btuB//cpxA//fucP//ydhW//fliD//fliC//frdA//tolC//yciE//lpd//nrdH//polB//ykgO//agaI//yjbE//phnN//malF//cysH//fruK//uof//purE//codB//flgA//tpiA//metH//phoU//yiaM//mtlD//fabZ//arsR//csgE//edd//napB//ytfE//ahpF//ybjN//uxaA//lon//agaV//hypD//cbl//lacZ//glcA//
LldR	glgP//ulaE//ulaA//
LrhA	osmB//gspJ//fecB//rimK//
LsrR	rclC//hycH//gspI//nrfE//appX//leuL//dctR//ugpC//rplT//
LysR	cpxP//aldA//
MalI	hokE//moeB//rbsA//
MalT	yhdY//atoE//fixA//paaA//pspD//purH//argP//yhjA//fecA//nuoC//
MarA	gspE//deoC//polA//pagP//xapA//wrbA//fliE//dsdC//phnL//cra//uxaC//oxyS//cysJ//lsrR//yibQ//gspD//ybhS//phoQ//galP//gutQ//melB//idnK//glxK//sulA//bglG//sufC//nuoE//torC//ygeH//flhD//yhiD//asnB//fecE//glgC//mntS//cspE//thiQ//dgcN//
MarR	ykgO//aceB//aspA//
MatA	nrdF//gspF//hyaB//zinT//fur//yjhB//pgm//nmpC//
MazE	ddpA//yqjH//mraY//
MazE-MazF	uidR//napG//kdpC//
McbR	citE//mdtC//dhaR//yrbL//
MelR	cysM//entD//aceB//
MetJ	torA//lhgO//mglC//lsrK//gor//allA//carB//recF//tcyJ//fixC//cspE//uvrC//ykgM//entC//yjbH//
MetR	gltF//acrD//appB//exbB//rob//
MhpR	fumC//hemL//fabD//aldA//fdhF//mazF//
Mlc	rclB//ynbA//tdcC//zntA//edd//yciE//yiiS//rbfA//fliJ//yncE//
MlrA	xapA//araE//fadM//citC//moeB//gudX//rimK//ppdA//hypE//molR_1//
MngR	arsB//fliD//dicB//
MntR	argH//xapA//ompF//fepC//metN//
ModE	metY//flhE//mazF//gadY//yjjZ//agaI//cyoB//rpsO//cysG//acrA//csgG//paaI//ynbA//fumC//dapB//rimP//kdpB//treR//fixB//hyaA//rpiR//frc//fadH//purA//yagK//argH//mlrA//yqjH//mdh//nfsA//argG//ascF//napG//prpB//dpiB//dmsD//gapA//agaD//chbC//tdcG//mgrB//yjbH//baeR//fau//pqiB//nrfC//
MprA	glgA//galM//ykgO//malF//flgJ//ycgR//
MqsA	betT//fadR//hcaC//fdhF//cra//ahpC//nuoF//rpoH//
MraZ	agaR//nemR//yidQ//creC//ynfK//sroC//sbcD//hypC//ttdA//bioB//tnaB//ung//fiu//rnlB//mglC//pgm//ydhW//
MtlR	yhdX//xylB//xylH//
MurR	cadA//fabZ//ydfW//
Nac	gadF//murF//aslB//pgaD//borD//flgG//carB//yhhY//yefM//gnd//yafN//ygiB//relE//bglG//rpiR//pdeH//gntK//dcuA//hyaA//ydiV//mtlR//
NadR	mcbA//mgrB//glcG//emrA//
NagC	yhdZ//oppD//fecE//leuB//edd//hybO//malT//yefM//yqjI//gltI//narK//ccmD//potG//napF//malS//rpoH//csrC//ymjC//hyfA//dmsB//argB//nirD//galS//hycD//mazF//entF//ecpA//zntA//pfkA//agaW//fliE//fepE//agaW//bioA//rhaS//htpG//mgrR//
NanR	phnD//phoP//rhaT//yqjA//slt//ompC//yjbH//pspF//argH//aroH//nmpC//
NarL	gatY//csgF//mzrA//nuoJ//gatD//nhaR//trxC//glnB//potH//idnD//cpxA//phoR//atoB//treR//yjjQ//yneM//isrC//pspC//fabI//mngA//ydbD//phnF//ulaB//entA//fadH//ddpX//fhuF//sdhD//glcE//pgaC//ompC//ydfE//entA//tdcB//nrdF//ydbD//rfe//feoA//ykgO//ynfE//hmp//galM//ihfA//fucA//pdeR//hypF//csiD//bglG//torC//glgX//dmsD//ssuE//emrY//nupG//hypF//fadL//phoH//fabG//tauD//tynA//metH//pstA//iscU//gcl//entH//tbpA//fixA//gloA//paaE//alsA//hybD//uspD//glgX//metB//obgE//mhpD//nlpA//gatZ//fliR//cusF//hypC//malP//mhpD//sucD//sroA//prpC//yciF//pspG//ftsA//mlc//purC//ubiA//acrR//norW//glpB//fliJ//pgaA//ssuB//nimT//tdcA//yebG//norR//grxD//ariR//ybhL//sdhD//narG//glcG//tisB//tauA//metJ//sbmC//ribA//ydjM//gor//glnG//leuA//entD//alaS//ulaB//dmsB//dps//cysN//
NarP	ttdB//nanC//nikE//cspD//citF//cirA//ydhT//hcaB//ompF//mtlD//sdhC//motA//edd//sroD//exuT//citF//rutD//galE//phnH//ubiC//ptsG//yidQ//ybdZ//flgN//lsrG//glxR//dinI//focA//sroA//envC//chbR//exuT//hdeB//kbaZ//cusS//nanS//slt//rffC//stpA//entD//higA//wcaA//fecD//tdcF//sroC//sbmA//fabB//mngA//tehB//fecR//
NemR	phnP//gspO//cusC//
NhaR	purH//ugpE//cydC//aspA//patD//dinI//artQ//
NikR	fbaA//yjiY//gatC//gadW//ftnA//mngR//
NimR	dpiB//gor//
NorR	sgrT//gltL//cbl//
NrdR	pgi//nac//nuoK//gadW//gcvT//metF//fabA//efeU_1//ydiV//
NsrR	dkgA//uvrC//araJ//stpA//fecB//nagA//purM//cysW//puuR//metQ//gltL//metN//ihfA//rffT//modC//fau//argH//garD//speA//aroP//gspO//ccmC//znuB//tdcA//dgcN//ecpA//accA//chiP//kdpA//ttdR//glnH//omrA//csgF//fhuB//prpR//metA//yjbF//yebE//metR//nikD//cspE//nemR//mntP//ddpB//uvrB//metY//relA//glcE//manX//ybdZ//fpr//glgP//yqjH//tnaB//iraM//zinT//entS//ytfE//nanT//gspO//mdtE//rimP//tam//cpxP//uvrC//casA//caiD//appB//glnL//nuoL//phr//ycjF//yhiM//rbsA//sulA//caiB//hybC//ptsH//pgaB//yjjQ//fliC//moeA//murF//
NtrC	gatC//epd//chiP//gutQ//pnuC//ascB//iclR//gatD//udp//rbsD//ydbK//yqhG//ydcS//ydeN//ilvY//fepG//gutM//fecI//cdaR//cadA//ssrS//phnE_1//frc//umuD//mhpA//mqsA//nlpA//znuB//creB//metE//creA//lldD//astC//exuT//csgB//truB//uspE//ymgC//cpxR//fliN//lsrR//treR//csgD//kdpC//gdhA//sfsB//gor//rpoD//paaX//
OmpR	nrdE//nrdE//casA//nuoJ//metH//soxR//ulaF//pstC//rseA//ppc//lsrC//rimK//ybbW//aroG//gloA//ccmH//amn//cydC//garP//rpoD//tdcE//
OxyR	dps//lacZ//glpQ//lacY//ndh//poxB//yjbE//phoB//purE//leuL//treC//ymiA//copA//rcnR//phoQ//flhE//flgD//flgG//murR//xylB//hisQ//exuR//dsdC//ynfF//casB//glnQ//flhB//yiaM//gntU//folA//gloA//glmU//tdcF//aroF//
PaaX	higB//fur//dtpA//glcE//oxyR//casD//kdpF//glmY//pck//mtlA//ubiX//dpiB//aroL//ccmD//
PdeL	ryhB//
PdhR	fldA//uspD//asnB//yjbG//zntA//yecT//glnQ//iscU//hypE//mlrA//feoC//purD//lrhA//umuD//rutC//cpxQ//ymgC//hyfA//hokD//nrdA//acrZ//tisB//gspD//nuoN//uidB//gltL//fliC//ybjC//moeA//ppiD//rtcB//yncE//dinQ//hypC//galP//potG//aroF//fabD//fhuA//csiD//aceA//
PepA	mgrB//ymiA//hybE//
PgrR	dapB//nfo//agaC//phnG//yidL//sroA//folA//add//
PhoB	dacC//yqhG//poxB//pgk//fbaB//emrK//flhB//ssuC//mdtA//pgi//wzyE//sufS//ybhF//nanE//ttdT//dmsA//entS//artM//creA//gatY//glpF//fadB//moaA//citD//treR//fimB//feaB//hyfG//nikB//omrA//bioD//nrdG//ybhS//pstS//iscU//gltI//fiu//mgrR//degP//cysW//rhaA//yciW//fes//rffT//spy//nrdE//fepA//sufC//bioA//phnL//fbaB//wecC//fliJ//hmp//ydeO//acnB//uvrA//creA//ugpC//waaH//
PhoP	rimK//truB//fecE//evgS//fadE//mhpE//hycC//paaE//creC//yhbE//hemL//ubiX//ydfN//yccJ//glcA//znuB//marR//rarA//relE//rbsD//malZ//nrdB//yeaD//srlA//sgbU//hisJ//ssuC//mhpF//phoR//glnQ//uxuR//ydjM//ynjI//fhuD//fliZ//malX//pck//ftnB//rhaT//tehA//nupC//metR//agaR//ogt//csrC//yhjC//puuB//bdm//ttdT//ftsK//gudX//lpxA//katG//recC//rseB//uvrB//
PrpR	glnQ//rbsR//gabP//hemL//agaC//
PspF	soxS//flhB//nupC//gcvA//ygaC//ugpQ//argA//
PurR	tbpA//cysD//wecB//ydiU//chbA//nuoA//citX//feoA//hycA//cusR//yjbG//accA//garR//gabP//hybC//glnL//cysE//melB//fecI//fucI//lrhA//ybjG//frdC//caiE//fliQ//metE//sucD//yeaD//narL//lrhA//csiD//
PutA	cecR//sgrT//
PuuR	tdcA//cbl//serA//lsrB//ftsZ//hcr//rybA//
QseB	gor//mraY//sbcC//ebgC//
RbsR	sutR//fecD//feoB//rpoH//araF//araJ//ynbB//ariR//trpE//
RcdA	mngA//obgE//exbD//rnlB//efeU_2//ascB//glnA//hypE//epd//
RclR	ugpE//sdhC//aceA//
RcnR	uidA//nagA//erpA//
RcsAB	yafO//rcnR//tdcE//fdnG//dsdX//murF//recA//ybaS//yoaG//hyaE//sroC//nuoL//tdcB//fdhF//purA//ahpF//
RcsB	flgN//cvpA//yccA//yoeB//citD//focB//tolC//ygiB//cydD//napG//lacA//purE//fixB//pnp//tyrP//hyaD//yedX//napA//purM//tsr//osmC//patA//oxyR//guaA//murF//
RcsB-BglJ	entC//nagB//uidA//mglC//astB//leuB//metQ//norR//dcuR//glyA//hybO//hyfI//recX//nanT//potI//dcuS//
RelB	malQ//chbC//yneM//
RelB-RelE	grxA//hycD//ptsI//
RhaR	purR//kbp//
RhaS	kdpF//dsdX//dtpA//fepD//grxD//sbmA//
Rob	murE//gadA//purK//mprA//flgL//yfdV//fumC//waaH//soxS//mdtF//manX//fepA//nuoF//glnG//xylG//alkB//hyaB//ecpR//pheT//ccmE//umpH//cadC//allD//flhA//ulaC//gltK//
RstA	rpsO//feaR//atoB//ddpF//treR//purF//yqhD//setA//ykgO//fadL//
RtcR	glnQ//fur//
RutR	idnR//yhdW//xylA//yrbL//arsR//fliI//metA//gcvB//flgD//aldA//guaB//glcC//ycjY//deoD//ybhG//yhjC//pfkA//
SdiA	fumB//purL//hcaC//glgP//cydB//
SgrR	fhlA//hyaE//motB//dhaK//uxaA//fadL//dicC//artP//yccJ//
SlyA	tadA//
SoxR	trpE//rybA//malX//
SoxS	rarA//pspA//hybA//hyfH//guaA//fliM//hyfE//metR//hyaD//baeS//ccmF//fbaB//argP//ulaF//accC//cusA//patD//norV//gcvB//fadD//mtlA//umuD//bglB//hyi//wcaB//znuC//arsR//yfdV//fau//ymgA//fixB//napC//torA//purF//betA//phr//cysP//fadR//tolC//pgaC//
StpA	galK//mqsR//ihfA//napD//gspI//mqsR//ulaC//
SutR	phr//accA//srlA//ihfA//truB//
TdcA	cydB//crp//flhA//gcvA//tcyP//yjbG//wcaB//
TdcR	lldR//lldP//cydA//ydfD//lysA//aceF//ilvC//
TorR	seqA//marR//glgX//slyB//ddpF//mqsA//leuC//lamB//ybjG//cspI//cydD//emrK//
TreR	aceA//ydjM//
TrpR	argB//gltJ//rtcA//ycjF//ydbD//amtB//cusB//gadA//dinQ//flgB//csgA//cusF//
TyrR	argR//fliT//rpiB//cysA//rutC//rutC//ydcS//hns//dicB//csgA//decR//torC//
UhpA	csgA//
UidR	metA//glnA//fbaB//casC//
UlaR	yafP//modA//ssuC//aceA//rstB//bdm//adiA//
UvrY	phoE//hyfC//allC//puuC//ynbC//
UxuR	dhaK//manZ//rutA//ompC//cysA//yiaJ//rob//phnI//malX//
XapR	ldtB//xapB//
XylR	gspH//purE//wecC//hflD//astD//cydA//tdcG//
YdeO	tcyJ//nrfF//yeaD//cusS//bacA//focA//dapB//ftsA//phoB//yeaG//caiE//casA//gntX//ydbK//umuD//mqsA//yhdW//hyaA//xylA//cyoC//entH//
YedW	ssrS//atoD//ygiA//yhjA//inaA//casC//nagE//cysI//glmS//lysO//ulaC//fixA//
YefM	purE//dgcZ//
YefM-YoeB	luxS//murG//
YehT	glgA//
YeiL	sdhB//
YiaJ	metF//feoC//gspK//crp//dnaG//sufA//srlD//ybhL//psiF//ydfE//
YjjQ	tdcE//yccA//gcvT//aspC//modA//allA//caiT//ydhW//phoH//higB//
YpdB	fabB//
YqhC	yidQ//nuoB//
YqjI	chbB//wzyE//
ZntR	yeaH//
ZraR	nimT//tdcB//sroC//
Zur	flhD//yciX//rimK//ydcU//ygeH//cysN//
