#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	mscM//alsC//
Cbl	cysG//hybC//ybhL//feoA//creC//gatY//arsB//cyoB//argC//
CdaR	ynfE//hycG//fadD//exbD//idnK//cynX//entB//yoeB//ibaG//hybF//
CecR	pepD//pgi//norW//dpiA//potH//
ChbR	tnaC//yaiA//argG//phnD//paaY//yeaR//
ComR	asnB//
CpxR	ycjF//hcaD//wzb//paaF//ilvC//tpiA//idnR//phoP//ldtC//hyfR//ymiA//yciE//yncE//sra//uidR//fau//hisM//deoA//katE//gntT//mraZ//mipA//ftsA//hypD//mprA//mhpE//fumC//fabH//cynT//ribA//nuoI//deoB//glpC//rpsO//rutG//glnH//nuoG//agaI//sdhD//casB//sroC//nuoJ//malS//sfsB//motB//sra//fixC//pstA//recA//yrbL//focA//flgD//znuC//acnB//dsbG//tdcE//fabI//araB//pepA//yoaG//flgL//skp//ulaE//yagK//yiaJ//rimP//fadL//metA//mipA//rutF//
Cra	eno//nlpA//gltB//lsrG//paaF//ompN//cspI//uvrD//tsx//hisQ//zraP//ftsL//dhaM//ryhB//malQ//eda//dpiA//agaW//araC//malT//lldD//bamE//nfo//mgrR//hisQ//yciW//yjjQ//ycjX//argA//caiF//ftnA//galR//hybC//gltK//gcvA//wzc//fadE//soxR//ptsH//ydhY//fixC//garP//pgaC//yhbE//pheS//tdcF//umuC//nagB//paaB//citX//rbsR//fadH//yhbE//rpoS//ynbB//psiF//borD//bdm//gadY//nirB//nrfB//rimK//artQ//nuoM//hyaE//dgcZ//galP//galK//hmp//pgaD//dcuR//treR//nuoE//nikA//yciE//ptsI//sroD//bglG//nmpC//
CreB	acrZ//nuoM//yiaN//sbmA//hyfG//
CsgD	ppdC//fliN//entC//hyaE//ssuE//hdeD//oxc//entF//gatA//mgrB//dacC//paaE//mpl//araH//creD//waaY//uvrA//idnD//ariR//appB//ssuA//wecB//sufC//mazF//sgrR//pgaC//iraM//mntP//
CsiR	yneM//uspA//mltF//nikA//grcA//
CspA	yeaH//murR//
CueR	asr//nagE//pgaB//uvrB//chbC//srlD//dnaA//
CusR	ychF//entA//cusC//ampC//fadI//metI//creC//gltI//flgE//fecC//cusB//hyaC//
CynR	flgL//nupC//yrbL//yafQ//
CysB	hypE//ygeA//yhjC//tfaQ//sutR//ymgC//hybE//gntT//nlpA//arsR//nuoM//fruK//accD//glcF//sgbH//garD//dps//yoaC//rcnR//nupG//yfdE//fecE//gspI//tnaA//yhjX//purH//uspE//lysO//hipB//glnK//ompT//flhA//
CytR	crr//kbaZ//iclR//glxK//yjeV//sodA//glcC//yhiM//dinF//leuD//norV//frc//cspE//
Dan	fur//yqjI//ycjF//accB//
DcuR	ygiB//talA//fliD//mhpE//murQ//pnp//gpmM//casE//yhbE//
DeoR	btuB//acrD//rpsU//xapB//pgi//entE//
DhaR	csgC//cpxA//cho//feoC//
DicA	betI//wecB//hycD//phnP//hybF//gspM//cusC//nuoE//
DinJ-YafQ	dgcZ//ssuD//bioA//
DnaA	uidA//aceB//rseC//add//zwf//allD//tadA//yjbE//nemR//tdcG//glcB//flgK//
DpiA	cadC//polB//dinJ//cusS//rcsA//gatY//hisQ//fepG//galR//fhuE//cecR//
DsdC	tsx//betB//tcyP//
EbgR	mdtE//lsrC//
EnvR	nirB//mtlD//
EnvY	dkgB//cydB//
EvgA	caiB//nusA//trpB//gadA//yqjA//pstS//pstC//tbpA//xylH//dmsB//galR//yoaC//hcaC//aslB//lsrK//hybO//phoA//citG//rplT//
ExuR	phnO//ulaD//betT//nuoL//tyrA//fliE//rutG//atoB//modB//
FabR	entB//cysB//
FadR	lon//ymiA//obgE//pagP//ynfF//fucA//lysR//spy//cra//yeaE//umuD//ygdB//safA//yciF//wcaB//purD//yfaE//argE//fepC//fhuE//nuoI//glnQ//fadR//
FeaR	fadD//yncE//
FhlA	glnQ//casD//fhuD//gadE//ulaE//bioA//dkgA//atoA//fepC//nuoM//tdcE//nikR//ynbD//napH//yqhD//ppiA//ygiB//tcyJ//artM//cysB//ynbB//rfe//yqaE//phnK//pqiB//malS//oppB//cysW//ddpC//dhaL//
FlhDC	rtcB//yiaN//rutA//nhaR//eno//nuoN//malI//yqjI//mgrB//ruvB//murP//pyrC//napC//cbl//hycE//fhuC//hydN//frdD//malM//fadE//gcvB//dinG//nrfC//ykgO//chbR//ydhT//fumC//gntT//yqjA//sodA//ccmC//cydC//hslJ//alaS//nrdH//icd//allS//hdeB//gloA//citC//uspE//flhE//tsgA//gltD//ptrA//tehB//galS//csrC//pnp//setA//mprA//wecB//rhaR//gspF//pheT//purH//argC//purD//glnA//hyfI//emrA//ydcT//dcuR//flgB//rseA//carA//nuoF//agaW//ldtB//acnA//argA//ybfN//gspL//rpoS//cydB//mglA//fumC//narL//idnK//hyi//dmsC//entC//
FliZ	btuB//sfsB//fabI//allA//nanT//molR_1//ahpC//sodA//pspD//sufA//rstB//cspD//feaB//rarA//sufC//allC//hycF//agaS//ybfN//nagB//xylR//
FucR	glmS//ynfK//aroH//znuB//rtcA//rffC//dcuS//
Fur	entE//tbpA//purD//murF//ybbY//argC//cas1//cydC//deoA//glpD//deoB//ugpB//lsrB//nagA//feaR//rhaT//ykiA//sgbH//glnB//dps//aroL//fliC//dsbC//nrfE//gadE//glmU//nikB//efeU_2//phnM//aceK//narK//purC//gltB//psiF//ahpF//hycH//srlR//bioA//ccmC//galE//rnlB//ulaF//marB//nrdB//caiA//yebE//tdcG//pgaC//ynfK//cusA//fliQ//feaB//tehA//gapA//narJ//alsA//appA//cvpA//fliG//cynT//gcvH//yfaE//ebgC//uspE//ynbD//hyaD//appB//psiF//insK//hybF//gntK//ccmA//entB//ebgA//ftsQ//zinT//tadA//gatZ//fliT//rutE//fimE//bioF//uof//prpD//nusA//inaA//hokD//sucD//csiD//iscR//hyfE//fliC//decR//gor//acrD//glgA//melR//dsbA//rbsD//cspI//ymgC//astE//gspG//crr//yqjH//hybG//ihfA//tadA//allC//crp//wzb//gadW//flgL//adhE//caiF//gspI//ynbD//yqjA//cysC//ecpA//nikC//prpC//prpD//nikR//garR//zinT//hdeD//phoU//chbG//arsB//
GadE	metI//mqsA//ykiA//putP//umuC//bglG//rsmH//artJ//gntK//phoR//fliQ//creC//rhaR//cusA//ybfN//ydiU//uvrA//cysP//araJ//pyrC//ecpR//pdeH//leuB//pheT//glnQ//cpxQ//mtlA//nuoB//nrfD//
GadE-RcsB	gltF//mhpD//ubiX//fliH//tauC//omrB//ynbD//rutF//gcvB//
GadW	yhbT//yidL//hybE//puuD//ycjG//fes//ybhF//dpiA//yjbH//mglC//decR//aidB//rcnA//cyaR//galK//
GadX	mntS//hyfH//rpmI//yeaH//rffH//ybjG//ynbD//garD//nadA//pstC//cusC//cusC//treR//argI//rbfA//sucB//moaA//purB//gspG//glmY//tolC//paaX//argG//uspE//hyaC//pspG//ydiV//mgtL//skp//
GalR	artQ//aceB//iraM//ycjG//rbsC//rbsC//sodA//mngB//ttdB//fadL//
GalS	nrfG//spy//hybA//ymgA//uvrY//ssuA//artI//ulaC//atoE//glpT//
GatR	wzb//yhiD//pck//glpX//mdtC//lpxD//
GcvA	nuoL//torC//ynbD//ybfN//nuoI//
GlcC	ydhT//dcuR//ascB//narL//fruB//iscR//cydC//
GlpR	glnD//nikB//aslB//tbpA//yafQ//nikR//xylF//lysR//rseB//
GlrR	puuE//pdeH//fecA//rutR//rybA//
GntR	cysU//mgtL//tyrR//rclA//gapA//rfe//pdeR//oppA//yibQ//recA//napD//codA//
GutM	nanM//artI//ftsK//fbaB//agaA//yjbH//glpT//
GutR	ccmC//ynfE//appX//yebG//yrbL//ompW//rcnB//
HU	gltF//uvrY//ulaF//ahpF//mdtA//lsrA//iraM//guaA//ccmB//
HcaR	nanS//torD//ydfN//ykgM//metH//purF//
HdfR	ygiA//gadF//hisP//argP//fliJ//
HigA	tsgA//sodB//
HigB-HigA	fliE//ydeP//
HipAB	dapB//mepH//iclR//hyfI//metQ//
HipB	lsrK//rbsK//ascB//csrC//fliE//hflD//
HyfR	ydeI//murE//ttdA//fldA//znuB//lldD//prpB//oppF//fliT//ydeP//umuC//caiB//
HypT	aroH//pheM//pck//lrhA//ydcT//gadW//gadE//hyfE//ydcU//amtB//ddpD//thrS//fhlA//
IclR	rstB//motB//ung//fixA//
IdnR	rcnA//yeaE//soxS//ygiA//cpxR//hyaC//gabT//
IlvY	rclA//sufD//
IscR	argD//flgA//nuoN//moaA//puuC//paaE//gspO//ybfE//yafQ//ssuA//araD//sgrT//pheT//pdhR//hcaF//truB//pstA//alsC//qseB//ydeM//gadW//bglB//skp//hyaC//potI//hdeB//hyaC//ldtD//ppdC//znuB//osmB//ybjG//
KdgR	hyfC//agaS//
KdpE	dhaM//lpd//ftsW//gspD//
LacI	yeiL//insK//micF//
LeuO	hycG//ihfA//pspD//grcA//exbD//entC//tdcE//rplU//tdcC//sroD//yjeV//mqsA//yciX//wzxE//fepD//iscR//glgB//ybiT//tauA//appA//
LexA	mioC//yciW//gspH//fecA//gatD//csgG//carA//cysA//idnR//gspO//emrB//hns//omrB//tdcE//ssuE//sgbH//hycE//creD//glpT//hypE//fixA//mgrR//csrB//fhuF//lrp//yidQ//yncE//dsbG//nhaA//oxyS//ftsZ//fliE//manY//fimB//sbmC//ycjX//mgrR//uxaA//sbcD//tam//hyfI//nrdA//ubiC//idnR//psiF//glgB//gatZ//ampC//xylB//gspG//evgA//gabP//phnO//ccmD//nagA//rybB//hyaC//yqjI//bioD//
LldR	nirD//dcuR//bioF//
LrhA	lsrC//hyaD//moeA//leuO//
LsrR	arsB//qseC//uxaC//ynfK//pspF//eda//obgE//idnT//mraY//
LysR	exbB//csiD//
MalI	flgK//entB//hyaE//
MalT	nrdI//cvpA//mngR//sufE//dapB//cysA//glcB//rtcA//wecC//mglC//
MarA	rffM//rstB//dcuA//flgI//pepA//yhcH//chbC//dnaN//hokE//feaR//baeS//katG//phnM//mdh//yafO//yfaE//cheW//pqiA//nhaR//iraM//glgP//pspF//hypD//ychF//kbp//fimE//fucP//puuD//bdm//uvrC//ydbD//dmsD//nac//caiF//zraS//casD//araH//gatB//
MarR	infC//cyoD//yegZ//
MatA	gutM//nikA//bioF//mntP//mhpT//caiA//tauC//yqhD//
MazE	ftsK//osmB//cas2//
MazE-MazF	sufE//hns//yaiW//
McbR	bolA//ecpA//nrfG//uidC//
MelR	metC//mtlA//dcuB//
MetJ	evgS//hyfE//mgrR//feoA//hslJ//glmS//acrR//hyaC//cysH//phnI//ppiD//citD//tam//metB//glnQ//
MetR	rclB//purC//fhuF//ymiA//soxS//
MhpR	hyaB//bioD//astA//cecR//ccmB//soxR//
Mlc	sra//kdpA//rbfA//aidB//murD//cadA//narK//nikC//oxyR//araA//
MlrA	ydeN//idnD//fumB//ydeI//fixX//ybfN//murG//mdtE//ydfD//fepE//
MngR	uxaA//mdtE//tehA//
MntR	gadC//glmU//fdhF//rutB//aceA//
ModE	pspG//hcr//ybhS//hipA//hcaR//cysJ//moaA//gcvA//betB//yhiD//flgD//pyrD//cusB//fdnG//znuB//accC//glpC//yfiR//mlc//hypF//nhaR//leuC//kbp//fabB//hyfI//araF//nrdH//araF//agaA//yafQ//xylG//uvrD//acrD//nuoC//dhaK//ecpR//leuO//rnpB//cusS//ycjX//gspM//nupC//fruB//carA//fadA//icd//
MprA	gltL//hybB//ymiA//gadY//entH//rffG//
MqsA	hycG//nanM//ynfE//mdtE//cyoD//yccT//yafN//moeA//
MraZ	psiE//bdcA//narJ//fucP//napD//citC//ttdT//yfiR//narK//dctA//gcvT//ssuC//lrhA//nanK//ibaG//yfaE//phnI//
MtlR	narK//fabI//tauB//
MurR	exbD//fepD//hyaD//
Nac	sbcD//uhpT//fecB//yeiL//dapB//nirB//marB//ftsZ//ydeI//paaG//gntT//hyfR//dinB//sdhD//caiC//cheA//moaB//acrR//norV//ygbA//fpr//
NadR	gatY//yaiA//paaF//tdcC//
NagC	cysU//pfkA//mdtB//uxaC//paaE//dgcN//fdnH//ecpA//pgm//pspB//ldtC//uvrB//yhdX//hypF//betB//galT//flhE//lpxA//mnmG//hcaF//malS//purH//uspA//tauD//glnD//glpT//sfsB//gadE//hha//dsdC//safA//cysB//hdeD//relA//chiP//gudP//creC//
NanR	gspM//flu//nupC//ynfG//agaI//dsdC//recX//mhpE//mdtB//caiT//malS//
NarL	csrB//purB//ftsZ//rffT//fhuA//phnE_2//mngB//ygeH//manZ//ccmE//tynA//glcG//ybjN//sbcD//chbA//mhpE//osmC//exbD//metE//ddpB//gadX//ahpC//phr//uidC//nuoK//dgcZ//yfdV//metH//glpX//yafO//yiaK//fliI//gadC//hcaF//tktB//ydbK//glnQ//flgL//paaA//mhpF//glmU//bglG//codB//puuC//oxc//ccmA//cysM//ccmG//yjjZ//araH//melA//yhbT//ymiA//cyoA//metH//alaC//nmpC//artP//murQ//agaR//ydhX//nrfD//leuB//hyfH//nrfB//fliF//mdtF//rpoE//chbG//gabD//flgN//fpr//mazG//mngR//cspD//yidL//hokD//hyfJ//rnlB//tisB//paaD//crl//yafN//ssuE//glgB//ydhW//nrdG//ppdB//ihfA//evgA//dsbC//patA//malQ//metH//copA//cpxA//waaY//bamE//yeaR//gatD//tomB//rseC//cpxA//pgaC//sbmC//gspD//feoC//phnO//gntX//gapA//tolC//rfe//feoC//mntP//chbG//molR_1//garR//cas2//gspL//glpF//yeaG//exuT//ynbC//
NarP	ubiA//metH//fliM//gspK//trpR//fadM//umuD//purL//acrR//gutM//melB//ydfX//uxuA//higA//ybhR//malM//rhaS//efeU_1//ydcV//dcuA//idnD//dsbC//flhA//dhaM//cspD//malQ//gpmA//yccT//ccmH//rutD//truB//evgS//phoB//nuoN//deoB//nuoF//sfsB//citX//yqhD//tomB//dcuS//dicC//ygiA//melR//adiA//rbsA//hyaA//araH//csrC//cusS//
NemR	uxaA//csgF//sra//
NhaR	cheA//glnD//frdD//rffG//pitB//mazE//cas2//
NikR	hcaE//moeA//nagC//pgaC//ppsA//ulaE//
NimR	hyfJ//fadR//
NorR	osmC//ycgR//inaA//
NrdR	fucO//paaX//nuoH//ybhG//ulaC//truB//putP//wzyE//ahpC//
NsrR	galT//uxuA//mipA//recC//hyfE//tcyJ//glcA//paaF//lldP//yeaH//fnr//purF//ulaE//cho//zinT//cas1//fbaA//pstB//ccmD//lsrB//dhaK//cpxP//aceA//hycA//flgM//metH//yagK//phnM//entD//rclB//yqaE//sdhD//lsrB//hyaD//yfiR//ygdB//paaA//yafO//ydcV//frdC//symE//mtlA//tsr//pstB//nikE//gnd//cysC//fdnI//lsrF//mnmG//ebgA//idnT//ompN//gatY//entA//ubiX//tynA//phnN//prpD//mdtE//fliA//pspA//dcuS//stpA//cysB//fruA//acrA//lsrG//aroF//deoA//gudD//hybD//napH//dhaR//araB//malS//uof//glcC//ompT//rutG//fecD//hycB//dps//
NtrC	artM//hcaD//soxS//fhuC//ybfE//betB//narI//caiC//lysO//dsdC//pgi//gloA//gntK//lsrK//yhbT//glpT//tsr//cynS//metC//astE//katG//mdtF//phoU//cadB//hypD//ydcS//gcvH//mpaA//gspF//xylG//tonB//sufB//pck//rbsR//osmC//rpiB//patD//puuE//napC//entB//ybfE//argH//exbD//zraP//yeiB//lldR//fixC//tynA//dcuS//
OmpR	asnB//ydfX//metK//dacC//glpA//chbR//cysU//amtB//uxuA//chbB//napB//cusF//frdC//yfiB//cysM//fucA//exuT//aceE//pheS//yccA//ldtC//
OxyR	hyfA//fabI//fiu//napD//zraS//dmsB//eda//baeS//ppdA//fucR//ttdT//puuE//zwf//acrB//lldD//hslJ//gatD//nrdA//gatA//treB//psiF//exbD//tnaA//rimP//sutR//trxC//potF//ydbK//narL//add//flgK//micF//udp//ybjN//
PaaX	pspG//lsrK//paaG//entH//trpE//mazE//nupC//flhA//fldA//oxyR//tehA//hyfJ//yciF//pgaC//
PdeL	gudD//
PdhR	artI//nirD//glgP//araD//rhaR//aroF//ygdB//dsbC//nrdG//mltF//metK//ulaC//gloA//metB//purC//nuoI//puuD//glcC//cynR//accC//phoQ//katG//glmY//yiaO//gspI//wecC//uvrB//tolC//argF//casB//entA//artJ//glcB//dcuS//tdcE//tehB//astB//yoaG//gpmA//ygiC//pstB//
PepA	purM//rpmA//hha//
PgrR	dsrA//yeaD//rffT//adiA//argG//rpoH//melR//exbD//
PhoB	yecR//fnr//rhaA//ddpF//gspO//nfo//paaK//rimP//ssuE//fadL//yqjH//accC//nuoN//lacA//gntU//fixC//paaI//dhaM//fpr//narG//artQ//adhE//sdhB//yiaL//tyrA//accA//dinI//copA//hemL//dicC//araF//yjbE//osmC//purD//potI//ydfX//flgH//lldP//frdD//ulaD//gcl//rseA//cirA//yjbE//ybjC//galE//hyfF//flgA//gadF//manZ//tyrB//agaI//hns//uxuA//ybhF//fimE//adiC//murF//oppB//phnE_1//
PhoP	fhlA//yaiW//yegH//rutA//exbD//hybF//flgM//cysH//sodB//nrdE//tdcD//dpiA//rseC//sgbU//paaA//fldA//citF//allA//pgaC//cydA//ymgA//feoB//yebG//dhaK//tnaC//yccT//arsB//ompC//yqjH//yagK//nikE//hypF//waaY//pgm//rsmH//rseB//galK//agaD//norW//ttdB//ygbK//idnO//fliG//ybhS//safA//fabA//sgrR//fucI//gadW//pyrD//fliS//zraS//rseC//glpF//atoB//phnM//
PrpR	adiA//cra//wecC//yafO//grxA//
PspF	tbpA//ldtD//ygeA//nuoH//glyA//fliO//hycE//
PurR	hokE//alkB//ddpF//hisJ//gadX//ecpA//ydhT//lpd//cydD//kbaZ//lldR//oxyR//udp//mepH//truB//cpxP//cusB//fliT//glpA//moaD//nfo//nemA//uvrA//gadC//frc//pqiB//trpC//pyrD//pstC//glgP//nikA//
PutA	yhdX//tdcC//
PuuR	hcaB//xylG//yfbR//katE//nrdF//mltF//argF//
QseB	potH//fes//infC//sra//
RbsR	ydiU//dsbG//purF//carA//dgcC//yegR//appX//hycE//argI//
RcdA	artI//gabD//ftnB//nuoC//gntK//araG//glk//cysJ//hycC//
RclR	tyrA//fepG//nfuA//
RcnR	nikD//narG//fixA//
RcsAB	tam//gspL//garL//pfkA//yciX//tsr//yiaN//murE//fixC//nagE//mntS//rffG//hybE//motA//mngA//yfdX//
RcsB	umpH//gatC//citF//idnO//mhpT//lrhA//hyfG//ydcS//appA//purD//metQ//nrfB//dsbA//purR//pepD//aroP//crp//dsdX//rbsD//slp//nagC//zraP//uof//metA//potH//
RcsB-BglJ	pgk//sufS//manY//csgF//flgC//rprA//oppD//paaA//chbF//nanM//dmsD//hcaF//fadL//ptsI//yegH//lhgO//
RelB	pstC//yeaH//hypC//
RelB-RelE	rseA//ybdN//garL//
RhaR	fpr//mntS//
RhaS	hlyE//purD//lamB//dmsB//emrY//yciW//
Rob	glcD//cysH//manY//cydA//chiP//yafQ//rplT//fliL//glcB//uidA//relE//nrfD//entF//creA//gltJ//pheM//glnP//decR//pyrC//edd//chbR//fhuE//tnaB//citE//gntX//phnC//
RstA	hypF//pdhR//betA//mqsR//agaB//borD//gapA//mdtE//nuoL//ycjY//
RtcR	gadE//mazF//
RutR	hyfD//nuoI//phnJ//lpxA//gudX//hycD//fliC//gpmA//moaB//ydfH//fucR//malI//ruvB//pstB//tdcB//rplT//aroL//
SdiA	thiP//artI//argB//ynfG//ykgM//
SgrR	bioB//mhpC//gntT//lrhA//mgrR//trpC//trxC//purC//napC//
SlyA	ssuD//
SoxR	betI//astA//nmpC//
SoxS	murQ//rffH//ftnB//ssuA//pheS//phnE_2//srlR//csrC//ptsG//rpsO//napH//yhjA//caiA//ydfN//nemA//cydD//rtcA//dhaL//phnC//glpF//potH//mpl//xylF//galM//nupG//fadD//bglB//prpD//ybbW//nfsA//nfsA//bluF//ibaG//yebE//focA//nmpC//uspE//fadA//fdhF//ftsZ//
StpA	gadC//metC//cueO//ptrA//astB//ftsQ//mglA//
SutR	pdhR//cho//ykiA//rpoD//ynbA//
TdcA	dinB//flgD//cpxA//metB//cecR//napA//hybE//
TdcR	lysA//fixB//cysW//recC//gltJ//rffT//nupC//
TorR	zwf//codA//lysO//astC//fecR//ydeN//srlD//nagA//garL//caiT//yidL//uidC//
TreR	agaD//galM//
TrpR	phoA//flgK//malQ//rpsO//pgm//fldB//csgA//flgI//xylG//ycjX//ybfE//mscM//
TyrR	recX//rutA//caiC//polB//hipB//kdpF//gudD//yjbE//glnD//hypE//ebgC//ynjI//
UhpA	fliJ//
UidR	mdtC//bolA//ulaA//hisP//
UlaR	fhuD//sulA//fliO//citX//glgX//rbsK//lsrD//
UvrY	pdeH//hcaC//hisM//murQ//insD//
UxuR	yccJ//ldtD//hybC//sbcC//oppA//ssuC//yqhD//yeiL//relB//
XapR	yedX//tsr//
XylR	melA//uxuB//nrfF//hcaB//fepC//rutE//hypA//
YdeO	bluF//yfbR//stpA//fur//ppdA//ygeH//yqjI//narI//ubiA//purE//lsrG//phnK//ibaG//rbsR//idnD//aroF//uxuR//tsr//gcvH//chbG//cusB//
YedW	flgM//pspF//edd//glnA//glgC//cra//phnK//tyrA//nac//cysW//melA//arsC//
YefM	fruA//lgoR//
YefM-YoeB	nupC//nagC//
YehT	bglG//
YeiL	rplT//
YiaJ	ynfG//nhaA//fabG//btuB//metB//glnQ//grxD//ftsQ//mzrA//grcA//
YjjQ	omrB//ilvY//gspD//purF//infC//yhdY//ilvC//hisQ//ybfN//sgrT//
YpdB	yjbH//
YqhC	hypC//hcaC//
YqjI	mqsR//edd//
ZntR	yciX//
ZraR	trpD//malG//accB//
Zur	sgrT//glpT//uspA//cyoD//cynR//fadA//
